""	CD74	ENG	SORL1	APLP2	PLXNB2	TSPAN15	NCL	LRP1	LAMP1	SDC3	ITGB2	PILRA	LRP10	ITGA4	TREM1	TLR2	ITGAM	SIRPA	ACTR2	RPSA	PLAUR	STAB1	TLR1	TLR7	ITGB1	CMKLR1	NRP1	CCRL2	NCSTN	ASGR1	AXL	CD93	VSIR	TLR4	CD33	LY96	CD81	ADCY7	NOTCH2	ITGB5	LILRB3	CD163	ITGAV	ITGA5	TGFBR2	MCFD2	CXCR4	TREM2	CSF2RA	CSF3R	NECTIN2	HAVCR2	KCNQ3	KCNN4	CD69	NRP2	LILRB2	GPNMB	THBD	ABCA1	MERTK	ADRB2	C5AR1	GPR84	AMFR	BMPR2	CD63	CD44	ADORA3	PTPRA	ITGA6	PTPRJ	CD46	MILR1	STX4	TSPAN14	PLD2	PECAM1	FPR3	IGF2R	ERAP1	PLXDC2	P2RY6	CD40	DIP2A	PILRB	CD47	CLEC2D	CADM1	LILRB1	IL6R	FPR1	UNC5B	CCR1	RXRA	RHBDF2	TMIGD3	TNFRSF1B	SCARB1	TNFRSF14	TSPAN17	TRADD	TFRC	TNFRSF1A	RACK1	SORT1	PTGER4	PTPRC	CD9	CD4	HLA.DPB1	SMAP1	JMJD6	CD68	ATP5F1B	TNFRSF12A	CD82	SLC16A1	CANX	C1QBP	C3AR1	ITGAX	SLC1A5	SIGIRR	ITGAL	MRC2	LPP
CD74	1	0.775251560817077	0.868968322732854	0.703944628684571	0.696661295006767	0.779483720383488	0.703316742924165	0.734101629241466	0.717499297826232	0.817205881041362	0.796769608765993	0.564241145460172	0.84098148495412	0.747407299548974	-0.0607721968012238	0.820056648733616	0.706588503555888	0.712655699441156	0.771619301720472	0.657661244743203	0.649591077016626	0.750170260289256	0.815180236424819	0.888562024892952	0.778793353226283	0.86776853157339	0.6478027978173	0.706232333783741	0.722466561845867	-0.0629556693889532	0.933964620611282	0.510708803684011	0.957388809107925	0.734811114455537	0.849293388220997	0.939101307284904	0.82987378103191	0.845985541043583	0.500305645295375	0.66456333645514	0.44857346953961	0.860983733479772	0.838665035085195	0.2456407648699	0.825471069414329	0.683044668211008	0.46466810674264	0.886640791988478	0.884472784101115	0.830710359573118	0.819404907511186	0.800009266977242	0.78014719890425	0.47151289427236	0.762975953912416	0.2490864620645	0.767994851894981	-0.098371692016055	0.617773403065803	0.0626716496233583	0.856737783818431	0.785315943629967	0.561060418155296	0.822861584797196	0.439698315147964	0.796370048856353	0.66129828869791	0.0369862417301357	0.909393108806962	0.724138964004151	0.798776641811311	0.711080694199521	0.803544204040228	0.90891700186943	0.819157439333276	0.809791662234793	0.81637335245424	0.893175124282367	0.776733240413098	0.224876842657555	0.751517334038923	0.888423911980137	0.673485481816981	0.768353938160641	0.62125243688913	0.829410480710091	0.745067172564357	0.614859402963345	0.712532220167846	0.895047096924244	0.363662727637208	0.849928398264152	0.809827205834048	0.737667110494935	0.26268953991077	0.851131132266158	0.623798518930968	0.671087113063389	0.717387370702109	0.301783633065793	0.762728657976543	0.834373267361205	0.638143080570507	0.865300062559778	0.734451909049776	0.729218291541987	0.756335332883557	0.864409751301754	0.36123722067474	0.833874257763121	0.956463118025163	0.585497216654652	0.759723857550552	0.664972987032927	0.665822551469759	0.369588125589597	0.544603283494601	0.618546078061996	0.676984846176426	0.663817807233065	0.879523116243246	0.0775473231406451	0.752669203664974	0.59957145140403	0.791306387747107	0.755177365033865	0.788602669944795
ENG	0.775251560817077	1	0.910558244109687	0.938221605918544	0.851832588798313	0.947121188254105	0.919819724474148	0.824363951399723	0.849927014404176	0.692256066239178	0.963482944849886	0.421583353466249	0.851167101187961	0.922305290083415	0.359211093805031	0.859847912708682	0.883306858731612	0.89108745324758	0.943798859797752	0.873742259188639	0.83694043504092	0.887416175741464	0.871295168302463	0.75093506615167	0.914099906627651	0.672443467934699	0.908176917481754	0.775919150673511	0.911424558409477	0.268616926290466	0.784728534404857	0.820585737002478	0.834309824084721	0.622595537479272	0.9282474243796	0.828893650894734	0.884141169181043	0.801713095959508	0.446549324714558	0.757493644411497	0.459703621421288	0.949685933153154	0.850870949406275	0.620749730354131	0.829537602853682	0.839022191549793	0.287688384616794	0.946572379464022	0.551847988285031	0.704400391873235	0.932022396772016	0.917553745730475	0.710163709734371	0.853487314442392	0.608152369026998	0.386334047529678	0.676234368708067	0.0760403072310706	0.753063286874802	0.159981279192325	0.739512496807352	0.658253675791207	0.455561452013748	0.913440618446865	0.465157536139806	0.814995776797712	0.885860459698665	0.23222056219268	0.906093459297731	0.773809707860156	0.81294113005611	0.851185396538713	0.872512317629198	0.854009687460066	0.814829269583543	0.762829204455585	0.803283783958753	0.657222125902676	0.780998141685145	0.427237552706964	0.867726333349191	0.867187510614975	0.910304286039754	0.818652842178294	0.482877580009637	0.687959181403393	0.924400751848208	0.689948276594654	0.739061677836311	0.86065969885303	0.522263301447397	0.933704628530779	0.773335435309084	0.836666834427035	0.51102459459447	0.891989565621776	0.916656746453965	0.708165512780892	0.788299812008949	0.289639595585413	0.862982438031782	0.843182536716983	0.450255818106092	0.924881419575003	0.833233425886943	0.756096398297677	0.586955265211249	0.923579286167195	0.513084814055177	0.913209091420967	0.63078214433911	0.695959088686733	0.77536442727514	0.748580912634009	0.922736220900955	0.78234423085701	0.816683907976451	0.854489374994241	0.900157719381127	0.913467404406156	0.91109162393715	0.154750045565355	0.892420989069126	0.763641696058029	0.809264761512988	0.75276895221562	0.884063489587569
SORL1	0.868968322732854	0.910558244109687	1	0.888188595850336	0.87699996265593	0.896981424212963	0.841500137649877	0.902908122071395	0.851725103132232	0.821041063665259	0.911598130556301	0.572821400795232	0.915780651611859	0.883433550894267	0.195639462605913	0.898658537636924	0.864885001371074	0.889734140626892	0.906271405892476	0.846804475404188	0.825272103984471	0.878120306434355	0.892717502422907	0.851398101962672	0.915968400573671	0.823655884619906	0.873941537909482	0.803612384004449	0.866518219746863	0.104589212612768	0.884090213143965	0.721482522045194	0.902599376760529	0.792457133018319	0.895265698290047	0.92070934647056	0.923849959077382	0.877622972197584	0.583443420711842	0.846592538271178	0.548767933156643	0.948161993875858	0.915258561238335	0.512782683043754	0.919105499874368	0.879150902440791	0.374110080714825	0.925641272663537	0.74327124217291	0.832415333298165	0.924642823561926	0.905441541872776	0.835614834152023	0.68683860778736	0.730499584540168	0.491194973732758	0.752363269135319	0.103418060887547	0.719409724562282	0.274014081189578	0.867721163083111	0.752717683693523	0.632444840920919	0.891835024954091	0.597075551320845	0.881217219030761	0.834498374134928	0.245537826140963	0.945530595820049	0.871540915917988	0.879108685417751	0.869653884828091	0.889140585746775	0.907359850054712	0.874466013908114	0.876447085860839	0.843757007057172	0.816475589219789	0.808590726976815	0.493325396843044	0.845149627653118	0.949309310773603	0.812440333694761	0.830154017037412	0.670906803039238	0.826729707545251	0.874926704965857	0.75571865435736	0.817613470711507	0.914682960078424	0.575234371114894	0.881415814871328	0.856734042176213	0.888825659677945	0.553287826691457	0.938096536081816	0.835491280397296	0.801128825977096	0.838090482529474	0.420220497405101	0.899560573544676	0.892557151666515	0.61067720396361	0.951019005457779	0.878049094302811	0.867935673161528	0.737832599140398	0.946891978141889	0.507860374016272	0.945334274224427	0.774051622000033	0.747430711121774	0.812852929149946	0.804740972159597	0.81696729081897	0.645927103461673	0.760164404133763	0.768921913067405	0.881749220407446	0.81143142585534	0.896175136010944	0.256691951169927	0.847606536112362	0.772967010793793	0.883191781051628	0.75947416005341	0.914365537063262
APLP2	0.703944628684571	0.938221605918544	0.888188595850336	1	0.855785233841503	0.911145963208024	0.905001769269783	0.803772272429359	0.937396800827384	0.618559085397614	0.967277755926463	0.527829449149669	0.822548959043541	0.88571911345689	0.463223696773384	0.855340787865771	0.885741864945005	0.886472253206322	0.922600454899161	0.890759813968762	0.891535881442048	0.807440245649179	0.901940346995592	0.662088794009817	0.954795163423774	0.637068285326716	0.939334818681877	0.812725232402051	0.921294689606115	0.290067620119377	0.714168738507367	0.762644565040473	0.783614986326513	0.635295609353945	0.890020705714137	0.81086732595547	0.828838416291629	0.73823866178047	0.530891250418422	0.753375952879263	0.583117112611276	0.914053099606475	0.797200033603046	0.714097703936894	0.810579028606616	0.887515625195995	0.359889517027117	0.915289568660791	0.518179799740385	0.631146553505916	0.933501373172642	0.950843895724107	0.703037405684936	0.855603653901421	0.537868055208469	0.542734362328967	0.605140908545101	0.300047758500745	0.706498494816705	0.35113521816575	0.686768204527402	0.58783359045928	0.507502509061317	0.858905084081182	0.595659479042159	0.775598857452564	0.97073039239642	0.369953959036634	0.862951655526737	0.799219054217506	0.78698178723642	0.851117414515008	0.896102616030835	0.793895879167242	0.78459499668428	0.771944536169456	0.770731804641251	0.609955650436566	0.76427914962117	0.585052493072522	0.860909931162014	0.824660665215389	0.904883609442517	0.862924659692176	0.519843958441887	0.619072663946283	0.927931401332238	0.693383595976527	0.799962144140249	0.798782533807674	0.642162703802316	0.905568972600078	0.690362201016467	0.900922631033966	0.61500028874533	0.842690509305331	0.933801477576188	0.764770188429174	0.793873595334884	0.448380752559557	0.842429077571513	0.869435092074592	0.348915008360399	0.908049743495737	0.842784249728363	0.788325846141862	0.543070168055124	0.919114069036555	0.653931735639806	0.868680479564357	0.544162110153244	0.793693362590926	0.775893409441602	0.845024478135127	0.941561433167796	0.844687362549082	0.895299432502178	0.835398410981363	0.960546313847551	0.899613315681212	0.90462568712303	0.298550413497634	0.882319884183849	0.830747404546058	0.758257288555006	0.658356515501026	0.84623664966669
PLXNB2	0.696661295006767	0.851832588798313	0.87699996265593	0.855785233841503	1	0.846708763830342	0.864566341908745	0.864162692807444	0.780436234607399	0.695251824144399	0.852107175196227	0.448131228808309	0.852184298284636	0.889715822534862	0.374604594292364	0.835220120851359	0.881619755962424	0.897066198767583	0.896415380144577	0.889754648394519	0.8294489338381	0.846028519292766	0.799501988926769	0.72353375512395	0.86525965296901	0.697384407836239	0.885112753174803	0.763168467203487	0.806003073709635	0.329857371526224	0.726110120202595	0.814232337515436	0.758420120872361	0.750774937321776	0.833124109879184	0.778662923474471	0.856282660320566	0.796869379185687	0.61168615053116	0.821429966873607	0.542890764546015	0.871189749293162	0.831565278664078	0.643421849465746	0.847456368449657	0.870039561379608	0.357857705051363	0.800400827309458	0.562401499257054	0.737421458772119	0.872377072400529	0.812163069204361	0.741496661823605	0.746702733642606	0.705090326457426	0.5391687086697	0.690518096887451	0.15894042642126	0.777442184946444	0.296648452350751	0.766655528460101	0.710664348116418	0.566074520175511	0.839291425520477	0.653888173918491	0.836618460255503	0.808042973628796	0.420585664057196	0.832155292518423	0.836081271658475	0.812898156999617	0.854378980046037	0.78463453722127	0.775071113376166	0.79777158716336	0.795619422710617	0.732617244318244	0.672652487432365	0.766031117797891	0.558049773419327	0.816300204433546	0.869385912533505	0.769894077379852	0.759099354194484	0.640620942178514	0.729718147304297	0.861918993686684	0.719779300906033	0.761035585118336	0.824106127961797	0.652230361333387	0.783808477206363	0.774141794008452	0.845275002746418	0.661370636417323	0.87616973321158	0.817663616322911	0.764215222604718	0.791420726108445	0.422569746150055	0.873940841851361	0.808915652322784	0.575943639465277	0.877132195032124	0.879842886218192	0.812392821941918	0.696711193517842	0.866556416928843	0.486514182692698	0.886419035559409	0.598844664626811	0.7557813585356	0.790468203620962	0.753655119393046	0.813614290702608	0.716599133142515	0.772797743214165	0.804559260510766	0.883076753610011	0.83585913783707	0.757521231785035	0.315169775106375	0.823858033583486	0.808738187228694	0.819410737272337	0.695032178573524	0.879126146449647
TSPAN15	0.779483720383488	0.947121188254105	0.896981424212963	0.911145963208024	0.846708763830342	1	0.888982429848337	0.83825651557427	0.84806327555171	0.722315421646689	0.931472342525179	0.435343836561283	0.875450853352703	0.911618268511365	0.262527791379904	0.83555000540822	0.862817366423726	0.884863144388655	0.928845791291708	0.872644234651279	0.815499018883082	0.896370348340015	0.879954656430379	0.78373186886189	0.889738099482572	0.722613890243288	0.903561555253127	0.762908209602459	0.884552720646006	0.214871083157454	0.81886209688847	0.797271139411578	0.849296619225481	0.659549306999356	0.906726656077497	0.842367880050375	0.883325898958734	0.824998795102978	0.477126157636488	0.785148171784913	0.452048751560685	0.931996811153259	0.877124482548206	0.553496821009961	0.849394500754617	0.855463411554787	0.229505332226737	0.932639397772028	0.576257184671903	0.70918622159173	0.906212964815384	0.894823458721802	0.739873232573417	0.783410844941513	0.625955066194095	0.41339234753034	0.699304767040668	0.0547437979256245	0.731103310855341	0.15982785193445	0.779298504555155	0.697427589243842	0.462147131976126	0.917007151992238	0.495211230394028	0.825345548235321	0.8686032577705	0.212295806536045	0.924332894963323	0.800921423128639	0.846853510856335	0.856014552061303	0.844795310626728	0.868179883887641	0.804701400882167	0.777495834635243	0.773652329955343	0.693320709775681	0.756380080996442	0.418856277372573	0.858331252753939	0.87966503472634	0.887458698124012	0.807177685104194	0.526065593792667	0.698829546953769	0.901966575793121	0.685062459997981	0.714847878840727	0.88465944940271	0.527684437782964	0.897263300264399	0.816569170453882	0.847923892815933	0.502568390419195	0.906076297212291	0.902519432827372	0.696836694215782	0.818360239351822	0.307137866732271	0.870306378349877	0.853543847251186	0.477545330308441	0.930059024598432	0.850588128365967	0.752260030615176	0.621777293603943	0.910100580759213	0.442124443237641	0.919721901626943	0.650426228317406	0.717895106732979	0.763711086429859	0.778100118289068	0.88380185073969	0.733420559945311	0.762744165429377	0.81209265233996	0.887543981297869	0.883531910690146	0.877392921013048	0.160789751991151	0.869792016233456	0.750512976671427	0.812431894763199	0.761155307382417	0.882813447884447
NCL	0.703316742924165	0.919819724474148	0.841500137649877	0.905001769269783	0.864566341908745	0.888982429848337	1	0.746609171358833	0.79832340564194	0.604168763681985	0.918350427992016	0.348984561048377	0.815533816315034	0.947197360310033	0.437029906292387	0.821097130996055	0.888135008051837	0.884303679235391	0.9563779980508	0.932946918920998	0.79488897145748	0.844198807964109	0.810824029267225	0.676788600452475	0.872685582296858	0.586611363612842	0.87889140894176	0.729272015281742	0.88413411118655	0.429305329531623	0.678605836132177	0.830768763038837	0.770693368810511	0.607979412447541	0.911411406026348	0.771013524563227	0.821827599331854	0.78560877817571	0.519408593542983	0.72672969386703	0.443787328899373	0.889087037502679	0.805334883472937	0.687062803975008	0.789477586613112	0.855060932343999	0.346922138848746	0.857197078527162	0.478620415536176	0.644284768626652	0.912527769032502	0.84880878759367	0.647021990118042	0.860043473767014	0.62226262816973	0.394431199786364	0.664840567236935	0.0729029312927458	0.81496511700822	0.152909470029781	0.666111969018174	0.628869682207159	0.398532726084142	0.870715869435491	0.523371596515336	0.76862900239864	0.8575857064406	0.40311706786424	0.837386782207567	0.785926850086663	0.820832139220419	0.810479079211439	0.824024290876243	0.782054291802797	0.737804965609604	0.719575807005761	0.709111597400946	0.599318491852889	0.793248146247609	0.447193782375676	0.886728057379446	0.812176786970282	0.891094942004248	0.784423185290724	0.523149097405278	0.666630687092167	0.948414048005085	0.686117756603716	0.691753725660937	0.809502238009687	0.596267830030039	0.881461037006907	0.702884783165973	0.819116166517839	0.565093166128122	0.830658345585847	0.859096289055832	0.666804038582336	0.786006297700725	0.2908588780864	0.871721655249215	0.813602675765314	0.42177137958018	0.870460088219763	0.855937420362271	0.736644933112559	0.5680485944518	0.890939780426389	0.467988428403705	0.875212332334907	0.573571948698139	0.707992194269419	0.757031900225362	0.700934541658299	0.951463186275717	0.758324420164832	0.805037583590827	0.897808138006075	0.913406894442418	0.970616580269574	0.838298974948291	0.131163915522046	0.940151575675148	0.807981757092979	0.768933887539355	0.671828746433295	0.847270667808429
LRP1	0.734101629241466	0.824363951399723	0.902908122071395	0.803772272429359	0.864162692807444	0.83825651557427	0.746609171358833	1	0.78124807180349	0.782954159512977	0.803194546963817	0.55381353072004	0.881197870156908	0.822399334366681	0.275218618376859	0.828825542536853	0.83764289264711	0.87052295233868	0.830731666503418	0.81446963059791	0.830878233524913	0.838342986514621	0.80127209725763	0.804879521783621	0.846392030172746	0.786450714238688	0.845705998316148	0.806227525898247	0.76426613484682	0.193527186096914	0.815419196851292	0.740775713145407	0.772524290151772	0.808470779011897	0.769527653851928	0.82286866378309	0.894404485104784	0.832812156529814	0.595176266544963	0.856367574286301	0.601539749505299	0.862436275155326	0.865710653690177	0.533656009420238	0.878237861840566	0.843594651515649	0.349464256713	0.815597585390268	0.666103698108181	0.839445238010761	0.84188057614172	0.811458223366549	0.800691015724935	0.620286159239337	0.725316617159568	0.58527259445927	0.721585570264692	0.183950965600203	0.718728408788635	0.344735582099938	0.871547937288395	0.728935798795708	0.707364806508497	0.827370430097217	0.645426781419063	0.874708331633033	0.76300851239165	0.335430385685526	0.84542516550137	0.845063783945596	0.802839942660089	0.860215409128765	0.785964468512457	0.775978481244989	0.865576565302509	0.873557481143048	0.765285947917415	0.765224602923411	0.756069150426335	0.57432089984553	0.734965228227962	0.909346170154559	0.701480000423112	0.73804052184725	0.660529176205188	0.779060977873059	0.770566443516154	0.725895095390168	0.774152502225505	0.86133514277108	0.620475314794796	0.719730100296991	0.820310613373553	0.817868683362204	0.615649596779211	0.879796135914156	0.800140277884909	0.813832948075957	0.779291682437931	0.472797890226954	0.836759815387644	0.795596211741169	0.682825248221878	0.871127036161356	0.866459862715322	0.852231534113101	0.755653727195392	0.851560081843419	0.51487141825913	0.907629115793762	0.661850980028703	0.765557167375733	0.797472419898401	0.802384437035813	0.687136540553881	0.637973985206941	0.699921585744924	0.691059985337002	0.82426526534815	0.704508325575398	0.740103900149287	0.425545795666572	0.728637755620377	0.757510963638734	0.864990294885105	0.727613456792706	0.87985105937748
LAMP1	0.717499297826232	0.849927014404176	0.851725103132232	0.937396800827384	0.780436234607399	0.84806327555171	0.79832340564194	0.78124807180349	1	0.606677174948509	0.920912309719331	0.716497578460852	0.813403392384983	0.788386764710089	0.395751953417923	0.815460954247684	0.836295778390239	0.824234868358593	0.83441304184292	0.837181676705728	0.869418990897349	0.711374031687153	0.91863583716808	0.667196096700184	0.942405983766676	0.653973688086323	0.887978550051443	0.843127068828482	0.850797237374229	0.203728789990087	0.725460009289068	0.613367129819677	0.781199470969475	0.684395898318007	0.816373528036518	0.845297965136121	0.771940038702979	0.702380862014104	0.603437577572462	0.718624443805811	0.69553795280191	0.847705678273476	0.746469379497813	0.637432285385499	0.815836599110765	0.862578741085995	0.443749768931344	0.880272391916591	0.6027036096562	0.604584420660125	0.890169736987722	0.936879102173214	0.72746212298316	0.734498556260793	0.501839284811913	0.646820474177809	0.570800045911606	0.450514838625533	0.576503511133131	0.496024108979996	0.690674439785075	0.546276659887209	0.590181435510773	0.788855342866457	0.685628934853482	0.751851478519813	0.971420039662472	0.406391714314477	0.824706361437897	0.791211063114414	0.729641655336064	0.849859587670332	0.906161127690044	0.760537252840462	0.778952427854849	0.80866515243767	0.757817365105842	0.64782338401224	0.745357806745675	0.657713304757234	0.797458263954069	0.809015150358911	0.836330323556174	0.877176629142906	0.580889103422809	0.607160619668867	0.860354004871947	0.682331727356483	0.835226657430168	0.75207922620039	0.707295487901359	0.831337856775879	0.631404968230652	0.90675571152168	0.613189850390884	0.79171249032341	0.869855029215458	0.809754504228234	0.812922908313508	0.60811116146956	0.764161687225635	0.889734924208177	0.325702991936083	0.87495458101499	0.830022391878695	0.796753343303631	0.546739475529202	0.886126681463692	0.725578282675639	0.808792355353432	0.587685630270079	0.842213581150802	0.763849934089976	0.934718958163467	0.859519099386767	0.758070860763823	0.861155242250888	0.715219217551929	0.928240255451407	0.793094753225345	0.883507100190369	0.41750789161275	0.815436656156929	0.804392136464239	0.715358408441566	0.587127467699245	0.775893373249956
SDC3	0.817205881041362	0.692256066239178	0.821041063665259	0.618559085397614	0.695251824144399	0.722315421646689	0.604168763681985	0.782954159512977	0.606677174948509	1	0.653609187334102	0.430254213862728	0.787891003351466	0.671861251606981	-0.140218629327473	0.715892479348944	0.630158347709675	0.718263237008079	0.695302310971874	0.593987802296611	0.602212502691703	0.812716266056705	0.716258838887998	0.851847821696883	0.709692879710027	0.851061325635143	0.652198687940778	0.672660410485554	0.66297648023291	-0.148330589736806	0.867460468794286	0.545901160214981	0.766763492381812	0.731684775021797	0.686635144227535	0.800150050889752	0.890354401842762	0.823077744952176	0.489205203871227	0.789298925244494	0.354884808619638	0.799003237626134	0.869044996767516	0.181121146356598	0.818530034174594	0.683264969214062	0.243191308362247	0.766932918340431	0.708595080347482	0.818833361112969	0.723483181024216	0.688866896356285	0.776513569144659	0.370479075905739	0.786550790191843	0.354648996403167	0.69031034481683	-0.109369850245405	0.576241809126876	0.107600625922245	0.887232646173057	0.753662131578606	0.606379993110235	0.7748534388418	0.452218555019286	0.818461494900503	0.554164005318594	0.00655848606474024	0.822988724897849	0.776334750405451	0.782705646869293	0.725942633694591	0.682824256534989	0.814422724241601	0.816948442938592	0.818991501687188	0.742298273399237	0.842659341097864	0.647090449654186	0.31004817094251	0.633121593903739	0.863896850135804	0.553007519488116	0.64282284558032	0.65530903446662	0.820548004755636	0.64087711851526	0.647871769493445	0.647117805105994	0.843351237694851	0.348326472591208	0.688836219111266	0.880597067720199	0.678109353434795	0.274821350396343	0.821191659384322	0.623592812470042	0.636073217950286	0.694245721959774	0.24493549759584	0.758810296607026	0.714408607952944	0.754944907273639	0.772800077821089	0.677715266665754	0.699071781240272	0.762900139413202	0.770158190177051	0.246301220844537	0.835150419678173	0.781605924645743	0.553481801881553	0.629417516354637	0.618296091777881	0.529870616493128	0.35185847903899	0.485162700017295	0.572196220135439	0.629750007605446	0.539676021803975	0.711282019028434	0.177000360037073	0.64271528116037	0.523255385325538	0.82245583374043	0.771699688567901	0.801577738159476
