""	CD74	PLXNB2	NCL	PLAUR	HLA.DPB1	LRP1	SDC4	ENG	TNFRSF21	APLP2	LRP10	ACTR2	FPR1	SDC2	CD44	SDC3	CCRL2	MS4A4A	ITGB1	CD36	SIRPA	ABCA1	LAMP1	CMKLR1	NRP1	ITGA5	HAVCR2	PILRA	NCSTN	TREM1	CD163	THBD	NRP2	KCNQ3	ADCY7	TNFRSF1B	ITGB2	KCNQ1	TLR2	SORL1	BMPR2	KCNN4	NOTCH2	TSPAN15	STAB1	TLR4	RPSA	PDE1B	VSIR	TLR1	TLR7	TNFRSF10D	CSF2RA	C5AR1	ITGAV	TREM2	CD46	CSF3R	CD33	ADRB2	PECAM1	STX4	ITGB5	PTPRJ	ITGAM	RXRA	CD47	INSR	CD93	ROBO3	CD63	PLXNA3	PLXNA1	PTPRA	AXL	ASGR1	NOTCH1	TFRC	ADORA3	MERTK	LILRB2	LILRB3	UNC5B	MCFD2	IGF2R	EPHB2	EPHB6	SIGLEC7	SELL	ACVR1B	SCARF1	IL6R	CXCR4	CD81	TNFRSF14	RHBDF2	LY96	ITGA4	TNFRSF11B	CD40	ST14	P2RY6	STX3	NECTIN2	SCARB1	CADM1	DIP2A	GPR84	LILRA1	GPNMB	LILRB1	PLD2	FPR3	JMJD6	AMFR	TLR6	P2RY12	ITGA6	ERAP1	RYR1	CD226	TSPAN14	PTPRC	SORT1	RACK1	TRADD	PLD1	APP	CLEC2D	CD99L2	CD69	SLC16A1	TNFRSF1A	TNFRSF12A	PILRB	CANX	CCR1	SMAP1	PTGER4	CD4	ITGAL	RAMP1	EDNRB	SIGIRR	C1QBP
CD74	1	0.279742784786449	0.567876989069804	0.442625568185766	0.936018014408065	-0.172331189407462	-0.338009337204343	-0.0892196960944938	-0.289671882838802	-0.155095710110161	0.22543138177109	-0.0420142611391892	0.522765592443019	-0.38002131232578	-0.356870031607607	-0.194901225059441	0.630511251594538	0.152801483170541	0.0557994745847516	-0.209637068833831	0.0383220275024816	-0.235822453479371	-0.167178458196804	0.229978239335442	-0.166545952198757	-0.23289219347419	0.508208395578984	0.821145386959964	-0.0820621305140674	-0.108618937562771	-0.130615361248167	-0.391361581220161	0.311263275415776	0.77985331688886	0.440177397326283	0.169339153612058	0.244710949384371	0.551350820023431	0.444012380512158	0.91873436400559	0.270815318259663	0.207986876300909	-0.188291268995562	0.381127660861035	-0.157223851373326	-0.187037347736821	0.627121441688325	0.0404223152434846	0.896167408984924	0.634779794187478	0.871827594407043	0.440536537337118	0.947392553803101	0.0676267268097433	0.441123279808974	0.881770356589657	0.132071001610345	0.406663471117199	0.456362829124422	0.844394074202788	-0.0261394437137863	0.732657724427308	0.0128049708900393	0.323537964644294	0.59496832165896	-0.351354175302414	-0.0747625564763036	0.0888572124980662	-0.391276072662368	0.855853824044728	-0.00281691366228021	0.0922376039389283	0.106167046769531	0.331510362266525	0.953390687251125	-0.441195932724808	0.0580669260154932	0.100877508250667	0.573688935394388	0.197092577150132	-0.462722230865613	-0.499099209787425	0.846203249115838	-0.0178539965373522	-0.342182681958263	-0.117553082521095	0.735687071796617	0.0584175916235192	-0.0693629726643071	-0.165610729446079	0.576557160424656	-0.130761066966522	0.688887625414766	0.730091208119396	0.00394224892313776	0.884983293689305	0.373164044726521	-0.218610647690747	0.801646158935388	0.84918597473191	-0.311507834854865	0.64513795097661	-0.264874981930758	-0.0507693315776821	0.0508973866935812	0.19456570043234	0.479756946343372	0.688358451009529	0.0947473711456389	-0.232972749789649	0.39452575004845	0.573370570732563	-0.253289779128223	0.668340603926322	-0.245914723585953	0.327515275853821	0.898586497090593	0.249589796881249	-0.267423970830343	0.825048583953646	0.161908227888318	0.208451588369468	0.616682027691929	0.607174253382637	0.796256113790182	0.452601441910577	0.141998264090014	-0.344890169983344	0.118384302681104	-0.0459117597282742	0.826013623023151	0.387281028765698	0.262165994509702	0.534004636533606	0.080229349660624	-0.123080802827863	-0.195591662680929	0.149246511738811	0.622120062772657	0.419007105714535	0.453140071464237	0.2912190386786	-0.421576660090131	0.318271473751534	0.426961284418114
PLXNB2	0.279742784786449	1	0.717205091738797	0.559280520197031	0.028852483583823	0.844687438455108	0.585299624918419	0.88231131643167	0.715673010540824	0.801592694307646	0.868403112930288	0.821903429354045	0.320059566367169	0.542162644464954	0.579438524359353	0.810906488863452	0.356400206673052	0.877161680255819	0.849287369645544	0.590491522376445	0.9009484994555	0.775454806073067	0.722265309793782	0.849884361425916	0.852581946301724	0.711067678107599	0.868565789040391	0.595620554105405	0.841046814545601	0.312348127029639	0.838666083003586	0.57087607571901	0.829158426984953	0.377203280606406	0.878508091792889	0.614691073353896	0.931113633361504	0.744445169608441	0.711522991449366	0.297679573644499	0.891663093302543	0.839932809150039	0.719080465481111	0.794983145770479	0.849287297273293	0.812368903705749	0.578772918963873	0.670622261114482	0.0668173645567278	0.690829489135492	0.441455372602778	0.501817908392911	0.372609729122801	0.734222813072651	0.890738529875244	0.543407919700537	0.878188580140262	0.516416627843443	0.808519922942389	0.284851527068925	0.837876661215798	0.357746426899346	0.844646035510447	0.915574634725785	0.706149800111157	0.699225765467017	0.78852277141903	0.490218548057221	0.44821985666803	0.142712145784359	0.809236405438195	0.703376251870762	0.876763266520048	0.841777470399282	0.396066904530774	0.556777745573152	0.730679141322653	0.758377044598865	0.853054634357368	0.89476065854205	0.372128120182434	0.463994821178473	0.385563753221915	0.818568222953812	0.684334090685892	0.843725959467708	0.556319613988756	0.87626153817388	-0.168531704969558	0.756977695956972	0.697626577778332	0.768523117352738	0.15588082680353	0.762415267589046	0.830953828610605	0.524813925994415	0.858045443987357	0.724887107663125	-0.00147113123397831	0.334299024741945	0.693355079254945	0.589611754108015	0.698488384269102	0.85415265289633	0.883050289862007	0.894433508978976	0.667639349335272	0.40005646364277	0.0495637806898812	0.722691532938199	0.690897572901497	0.745876491311429	0.774731398148323	0.274928136653359	0.75107576601996	0.65341790036785	0.00611639095361565	0.865955675803845	0.752258559190676	0.17783010525895	0.602114129354085	0.909974634833145	0.609641174398384	0.695631437043394	0.481606655377108	0.739604199828646	0.839625402409635	0.679633800354849	0.278281360591387	0.835335357083816	0.00682418525071241	0.669109660165909	0.926938579187176	0.559608254713658	0.631694449515633	0.833588041371485	0.715667286080693	0.837026984020402	0.55318338154106	0.925421087291678	0.349180319681033	0.106624925437374	0.555999531991526	0.702080268285432	0.761653474492459
NCL	0.567876989069804	0.717205091738797	1	0.778085679350104	0.385173841918959	0.487640870804914	0.377268279673676	0.548065856626056	0.359557261715663	0.518775332618353	0.723223123575657	0.635286960525981	0.642761709713952	0.275523415013432	0.415489300660994	0.341884768639416	0.717796000999086	0.61931663287968	0.720174030069931	0.276508922260285	0.649376227192686	0.446400650396205	0.400432525058278	0.647173389983103	0.479865738216544	0.52036578051008	0.836018413316667	0.760663731056377	0.489308592467868	0.503211148962688	0.562449144089975	0.345154508141863	0.809320711668628	0.631055659465534	0.781260747025	0.736478383051546	0.679829878728002	0.699578832420394	0.853670105985124	0.61843637806311	0.797171753012778	0.610919103414708	0.499495232200868	0.573839045980668	0.434939680146111	0.454748642307294	0.716254657271189	0.639872407697056	0.333049586682572	0.74654179292704	0.568348568494839	0.784731137010632	0.676738173095062	0.700653845588267	0.860685223350174	0.682321944831575	0.741111356846791	0.627087523079306	0.720459402759411	0.667019592950006	0.550645460738757	0.766253384429145	0.530315875152942	0.824738645329247	0.752330274621076	0.35844331849788	0.562884946165652	0.384126778334393	0.204611001990225	0.452692128757781	0.550934410880523	0.651143552209769	0.666125381894827	0.8143242300037	0.602730766000028	0.178201017071316	0.652963805212498	0.636522393218116	0.713462572162282	0.74367120275278	0.138476142386527	0.175812622442362	0.669237949612739	0.60259527288966	0.328228125068951	0.485534367499258	0.738204130977629	0.594105466167639	-0.113622100877687	0.460026741823223	0.787069498887269	0.594189849871513	0.497779979024629	0.746404915802474	0.534917776367883	0.758843919210769	0.719938110934085	0.303756093937944	0.429263355369144	0.612435246803992	0.324511690690952	0.485630050644392	0.453862561276998	0.594907286320619	0.543248599099336	0.643995400559925	0.856126983610196	0.814301681982664	0.239152182760836	0.345928298232058	0.754964910188356	0.792647002020647	0.409878380192221	0.756170246647762	0.406043044562614	0.680145443158033	0.426216701186463	0.631166176337563	0.420918965115242	0.56511297381467	0.637937097428338	0.735682713479524	0.81564136913563	0.718908722818016	0.693883455060332	0.602020507256937	0.610228008512777	0.419767682701507	0.305552592451238	0.539888161746878	0.502760216159083	0.76903338783935	0.699466734871861	0.729192224140203	0.589520991783179	0.5686117190515	0.479696936071962	0.750146814777762	0.84129706814286	0.712299533281625	0.513250818789591	0.389179709102782	0.339884291667373	0.593986767255275	0.777227915983855
PLAUR	0.442625568185766	0.559280520197031	0.778085679350104	1	0.331099599637329	0.387538937032746	0.428935906042902	0.414072976832636	0.38051130622275	0.511810228484183	0.642086635891935	0.545670552442701	0.695007112585644	0.361758292432166	0.438727685830646	0.297120590971794	0.897606402873513	0.546229386106454	0.586903649949128	0.418681786698465	0.576597179376033	0.407270390916456	0.462191406864732	0.567762101359987	0.350602174974542	0.489077974939396	0.705796925528691	0.668148543529564	0.449269552578787	0.622712526672107	0.453951755174424	0.389450145365863	0.801740694385844	0.323525007308676	0.655357738196017	0.679406981714121	0.585076567442166	0.495398590577099	0.666641947879452	0.407050184816249	0.590751952502644	0.401868249418702	0.441899551570554	0.320803046265741	0.325731232855986	0.333548890979939	0.566605443071022	0.587635708971967	0.219047035254966	0.375460595729921	0.280832312801702	0.690046413134917	0.559602844289283	0.812746044961472	0.62647193821459	0.522752545958243	0.609090283791308	0.510953664244374	0.631611768587959	0.47481635908698	0.405538122264333	0.831982648001261	0.519888583342457	0.640594090708636	0.536552889816338	0.285867106846469	0.525866752121185	0.253024623965402	0.067624538043804	0.281967574426201	0.557310692954153	0.644437516948145	0.528391050894166	0.604316983403731	0.39699772441531	0.2717751199362	0.62657525706617	0.740067731713917	0.505760495236125	0.491625910054054	0.0568739574043453	0.234503895502716	0.440483498278817	0.553384561731948	0.358569749611	0.321773829305283	0.617750631190687	0.482989810880908	0.0229280090711711	0.457625917373672	0.616632969643895	0.581015618860475	0.482917148731657	0.649065181488656	0.511552387038178	0.565720652826128	0.658852712276189	0.0989794775370406	0.466159027880898	0.548458662897242	0.369522575958543	0.260150942691297	0.401990860854672	0.540022358874868	0.476393850144014	0.510239548479262	0.630025030425094	0.788335859600076	0.178441671240817	0.393212067410584	0.43913827428856	0.585979668477797	0.328638637578104	0.76876968440776	0.356029982190266	0.392325678423501	0.334309880673366	0.384806374333646	0.306165445447332	0.521407036295016	0.619075345556949	0.616182251101347	0.633795400602205	0.624094781261813	0.564390604478598	0.518330431238242	0.50387936686942	0.336587201533319	-0.00353340192450732	0.458816899362637	0.535404055216285	0.617920561397289	0.522470112878755	0.628019187897543	0.400462847959081	0.483606024383419	0.508079964176082	0.597264921427838	0.737449991833345	0.546084395368295	0.383765852897397	0.22554716580389	0.271839147525488	0.480116931778766	0.650506788019532
HLA-DPB1	0.936018014408065	0.028852483583823	0.385173841918959	0.331099599637329	1	-0.378143253578702	-0.426916396322333	-0.301801293749312	-0.435932671350313	-0.32825458852141	0.0262511974991276	-0.226128781936748	0.448806248714087	-0.472228215484552	-0.461377549525124	-0.391119451625141	0.539266594015375	-0.0525261355249346	-0.12602240203023	-0.313343126435939	-0.171087787530365	-0.413375779788561	-0.312602384530048	0.0256230841230413	-0.372986342822651	-0.377594770444307	0.292503660229341	0.711851702910641	-0.264865878547368	-0.149092805794877	-0.323287586959469	-0.485287884161547	0.0828756450749498	0.618990521859846	0.228627166234596	0.0112856656731706	0.0311208554137362	0.3661933468317	0.249890355532203	0.829906002916145	0.0340962919353441	0.0128211510518678	-0.34158535109832	0.170538945945499	-0.375804204145431	-0.382037565409814	0.572861226006368	-0.124387577624304	0.919497178485495	0.409357126257843	0.728955713225123	0.322404707891327	0.844378384769265	-0.102994038974455	0.179373930802361	0.731163411468163	-0.0717788052296205	0.269587304099164	0.289578951196892	0.748961299897677	-0.230225465367304	0.628310852744137	-0.17757773706894	0.0722179923140696	0.380290652612083	-0.520353985831763	-0.232692153866895	0.0316493102852308	-0.505506385861366	0.83611793875378	-0.172123453455179	-0.0468834666675662	-0.108178940597759	0.12738628231146	0.839909080609767	-0.542664639227109	-0.129073771446415	-0.0827098011880985	0.354328266643019	-0.0634303722173576	-0.539545770614877	-0.580423377537654	0.693751527041143	-0.189607256317065	-0.487248552760123	-0.330830316781431	0.608648571074347	-0.163444581372725	-0.00627377072667564	-0.33536938064736	0.347370825011732	-0.320191750447682	0.756081767147558	0.562299466127259	-0.171885013564184	0.718076710617978	0.201920368910109	-0.393785691181056	0.770973621007713	0.766079091727476	-0.450371337802858	0.502694357316	-0.420508033197305	-0.239190654171915	-0.162178660326508	-0.0323412748899253	0.287825717156486	0.551580114815349	0.0705817758441925	-0.385738264715535	0.186074711812107	0.360435184144986	-0.429488762513544	0.593489478750993	-0.414132697368107	0.133309114515823	0.869230950580209	0.0112249366390221	-0.439498269816714	0.754554920508282	0.0401612494190537	-0.0217473374169267	0.458871449489245	0.435136654371946	0.760799814710933	0.303261102874583	-0.0730966088376273	-0.492939995749003	0.0602413969221085	-0.221926439100578	0.809283303608314	0.193164723524622	0.0471635927770865	0.384933338159067	-0.1009839051964	-0.314837115101643	-0.344363626832266	-0.022592481957892	0.451252229426671	0.173884711280743	0.351129495636155	0.22915534964227	-0.546289526664997	0.226767864028425	0.296158040620495
LRP1	-0.172331189407462	0.844687438455108	0.487640870804914	0.387538937032746	-0.378143253578702	1	0.839940781921282	0.97586232284002	0.93466489227643	0.941694763507462	0.819968994489839	0.907035135827591	0.0605728946351242	0.819325184778128	0.820286087320382	0.947981129307975	0.100438456001522	0.907478590593341	0.878084990510183	0.756460139363456	0.930099686239586	0.976354738676317	0.896220417498333	0.84879788803567	0.959885507642308	0.882484527180713	0.677203263325101	0.273883461311508	0.940417187307855	0.408570206456761	0.972336697301647	0.80618537077012	0.750504300989721	-0.0560437953218949	0.724470278638525	0.520195038214735	0.864856947619186	0.50978168990113	0.486527485520411	-0.130064440152765	0.784864362782366	0.737143564955187	0.880056411128583	0.589693924324986	0.971713865604053	0.953746134438298	0.32894460262492	0.756748134214764	-0.356638242717214	0.365413895548652	0.00774925072913679	0.330118330147058	-0.0692845443297346	0.760116192870926	0.707922648218045	0.126227812907162	0.871660509186707	0.323133587376094	0.65294154932821	-0.110759336478373	0.893110267365237	0.0414178241069511	0.888506174043636	0.796040350853139	0.371217223784215	0.902079114363643	0.912691035574203	0.420171291833034	0.594881107950485	-0.25209927848635	0.890561187268739	0.739912867053282	0.885436994154857	0.718998729987679	-0.0718068031100525	0.816688451410151	0.767794729004794	0.772436919163889	0.646223399783776	0.849764839477601	0.598627121620908	0.75072917825355	-0.052334362337641	0.894411580982849	0.924951830042552	0.938755810304127	0.216071894898489	0.908650252792592	-0.225723424870048	0.902873341407328	0.414379499861736	0.88157263071175	-0.136877708176611	0.472872043007689	0.922867347650505	0.0903450599024813	0.767107996787447	0.805790409326264	-0.383491692421741	-0.0497621017196345	0.923483101701715	0.312201032233131	0.891810530179328	0.942759593321204	0.930131042570323	0.837918329326355	0.487271277242192	0.0989062530778622	-0.0288450399190649	0.926877306475054	0.516501329641332	0.518304016256948	0.971384088371013	-0.0390775053622795	0.922025996344253	0.526525338539103	-0.430651006850181	0.728947077917654	0.938580935193493	-0.219934577908082	0.608901317595519	0.880215891413414	0.306205937761843	0.420018814490702	0.148397627736505	0.563727056423197	0.812829917156656	0.897515258323754	0.248986332092245	0.923194423073032	-0.375070630971875	0.517869164229387	0.861101341779887	0.264411401460828	0.671638643209485	0.969927312838796	0.889196598546722	0.83622999855389	0.243218151656034	0.756381322589821	0.083895340822747	-0.0923512593237944	0.83457483526802	0.615321615658165	0.631400433283927
SDC4	-0.338009337204343	0.585299624918419	0.377268279673676	0.428935906042902	-0.426916396322333	0.839940781921282	1	0.803937815728258	0.913683175104131	0.907660961642139	0.705808242596922	0.876402300196273	0.118714545040583	0.936124008688186	0.953826304408351	0.732491805432897	0.112780526614068	0.734130889046697	0.826322160381139	0.824527671162395	0.817152719801976	0.895588342206351	0.887304865245922	0.661959096873056	0.780777573651262	0.928718281532658	0.495158191848699	0.151952361969623	0.831756427422085	0.655096487285362	0.858313000437932	0.934151416072947	0.605391099606471	-0.328985070767647	0.518876743461281	0.545049903762059	0.683694063752015	0.231851660466649	0.379742769354217	-0.272210093433518	0.541686156398916	0.518880043352842	0.841288700111889	0.234571500698758	0.748099568877414	0.805939936327813	0.299680111301208	0.775426891731577	-0.443198627045337	0.0310025871285249	-0.310948412775075	0.320927360122936	-0.258581156215048	0.811818081336682	0.42339324794599	-0.131674170306477	0.74003551298652	0.242719912086722	0.487971453027743	-0.222340529521783	0.703752119082375	0.0123500036595789	0.77598104245329	0.596408291287339	0.103908288900496	0.841571136194539	0.89465456747215	0.400832188843665	0.541738642157887	-0.407397609912715	0.843835032087343	0.729724993173111	0.704869462194553	0.564487888127495	-0.331649075288758	0.877478698736845	0.753000421767092	0.753660625457573	0.342788613174728	0.59737211760408	0.64063316264855	0.861128520901379	-0.32624960308329	0.859441677558273	0.909665317330272	0.704771576304383	0.084380377426891	0.715891503781171	-0.0794650877768073	0.862661936341139	0.177601320153059	0.868299447743596	-0.122988350848233	0.254265800371492	0.814971800447579	-0.136846989856176	0.628157929400916	0.552777002877066	-0.427601988232148	-0.19029391787788	0.920713404360036	0.0200542342964908	0.877648945961429	0.836760767966117	0.695452560390668	0.588191360385661	0.3171411057158	0.0295344738906241	0.0615726500445449	0.868889285838966	0.29868199459244	0.2548631077439	0.86732634711634	-0.0149388025082109	0.832072068548134	0.350784286920976	-0.518496748109531	0.439259065315155	0.842841257681366	-0.312842927440829	0.676774912378943	0.718064662293626	0.203670238980484	0.252737291037446	0.10316858770998	0.435753248313757	0.662572252660154	0.867324538581975	0.121030874513913	0.777479618836413	-0.408817218749156	0.371607756270346	0.653349349292903	0.151548318237116	0.574898074356608	0.89518780226526	0.934102456230179	0.783847574823783	0.0967919966735714	0.430027051370042	0.0428660224720933	-0.174754429547365	0.850218154336225	0.574910169438652	0.586097090514483
ENG	-0.0892196960944938	0.88231131643167	0.548065856626056	0.414072976832636	-0.301801293749312	0.97586232284002	0.803937815728258	1	0.89665965060457	0.92627993536225	0.850026142830442	0.916463701347193	0.121046703322727	0.783339019680602	0.799255904556835	0.916994967677282	0.13914418712178	0.906761796253594	0.901876541850409	0.716869293014446	0.942210576220099	0.946480932010957	0.854762135825063	0.835650772580651	0.964203562386553	0.873521575231997	0.730318154805561	0.345099186025419	0.928219716301566	0.448976753719857	0.970287845082889	0.788388728270219	0.753464031508396	0.0357290388185881	0.745510174147114	0.558172604204968	0.889110375302048	0.586922351427402	0.559682280260496	-0.0566704734696716	0.806244361954743	0.797511928686005	0.845244828920691	0.660176663254297	0.965723994676497	0.936129689913233	0.413530047363176	0.75287430514994	-0.273157198159977	0.450856181666923	0.0903701784333552	0.373396655743375	0.00619017267438895	0.758210593813726	0.758347230672383	0.225111044892102	0.867180486244756	0.328071824202834	0.706454783555424	-0.0243050317318073	0.886077407310711	0.0904025642342728	0.882145433005722	0.836775109902754	0.438811591968033	0.890054104751426	0.901997171631826	0.43510085958241	0.624598575266692	-0.182959395511924	0.886707121871215	0.73931940518086	0.886271061639121	0.732935379911035	0.0212775847256992	0.770340128633271	0.738462534867934	0.75677261042844	0.686998050359912	0.878143211400335	0.598261572504957	0.700277805563143	0.0332968328562306	0.895027054377722	0.881173773175765	0.942445922256934	0.259640175501667	0.93522510952306	-0.258763728061208	0.887463512902779	0.47743655627963	0.864062715623014	-0.0928572695387276	0.53057621346329	0.901766224820914	0.183979834926683	0.802854863908335	0.811352811200791	-0.330751548524381	0.0388675166048966	0.891124788884102	0.395340122367891	0.877507210021161	0.944655483384742	0.906958461861493	0.858655626068819	0.523316168824421	0.148158952666044	0.0142783580103078	0.876692025528679	0.595281663871639	0.564457418814612	0.958513103441997	0.0252018606433787	0.884788242722128	0.575372571528568	-0.356125870484267	0.7556926817304	0.928056305529559	-0.149083316477098	0.627405560103961	0.883229646143785	0.360841441576572	0.440708757818681	0.233264571418906	0.616961655342382	0.802238481318082	0.856405203269022	0.253186745943281	0.906925110440099	-0.311518523738904	0.527372555537083	0.893402439260248	0.361501956940763	0.660533945754816	0.962091719245681	0.871881688522543	0.865106870643266	0.309319199345874	0.796492533850627	0.113984057842237	-0.0663321791551603	0.790607059475719	0.67013735242933	0.673372490629053
TNFRSF21	-0.289671882838802	0.715673010540824	0.359557261715663	0.38051130622275	-0.435932671350313	0.93466489227643	0.913683175104131	0.89665965060457	1	0.958283269217511	0.76650967764723	0.887852621691869	0.00951238891709104	0.941366232409492	0.856536676316575	0.892493443032847	0.0604494900979934	0.842786952467758	0.850917033126887	0.903991181873736	0.900893554381677	0.969290939943253	0.970103625343271	0.81153330317079	0.894454645395265	0.894887313007258	0.592320700161524	0.195839126829137	0.918243418652047	0.473505430501604	0.904153866725386	0.857368435452276	0.678821786906049	-0.252171628573419	0.632835748273275	0.444199547481827	0.796444825793039	0.313251414158946	0.329708183897445	-0.229905095616987	0.639193027346075	0.600752496407425	0.85192022869454	0.363343282965911	0.871325393322065	0.883386127458456	0.278742229548481	0.783034361220737	-0.430490557120561	0.141264963410614	-0.201894758168699	0.253458604130093	-0.214893091545251	0.777415925396714	0.517157913734416	-0.0250845119806355	0.801831664582622	0.212103758415527	0.574537588953642	-0.244146320542633	0.790596205406446	-0.0171539158579531	0.901245703747573	0.683189729306572	0.154641035549042	0.870401285037436	0.930791325460583	0.389708887156028	0.481085229106949	-0.381832545115121	0.920755190805751	0.766600013478543	0.798078652012633	0.611124550251419	-0.248367860170283	0.899207805848515	0.734301689064009	0.816838613397483	0.509814669841987	0.68255709509297	0.543775035078979	0.807808248695076	-0.266167638927606	0.91571933705747	0.979064887334468	0.822991938033126	0.136888875762208	0.815222531581128	-0.171308996952613	0.922155063586591	0.224013055760239	0.860295613802874	-0.175374595765958	0.376021844668618	0.905058437571879	-0.0610310549966615	0.70498109971569	0.65157605259923	-0.444529778931994	-0.152573584889556	0.985818612584774	0.146702789484627	0.893155853982285	0.907402294141593	0.844228819241577	0.767094100267598	0.338526776573814	-0.0114570685985354	-0.0829304353440705	0.972701927236768	0.332672202837439	0.351955790478579	0.935191599389722	-0.114916525116003	0.937304425938339	0.399737230334211	-0.504609547823193	0.575367015060014	0.899814852713522	-0.312480505371356	0.679977591468083	0.811326175218843	0.195228085008027	0.373159176471244	0.0850363721863255	0.52779329131196	0.742802257013468	0.881679231737687	0.139968146141331	0.874237528575248	-0.437846961688667	0.422862418821185	0.747283541153781	0.155378438765533	0.596160859080533	0.942959296577101	0.944505172712923	0.785448393858984	0.0877497960374222	0.580089169900367	0.0710224237442977	-0.16988445695466	0.830811665957263	0.614592389676191	0.610565303681273
APLP2	-0.155095710110161	0.801592694307646	0.518775332618353	0.511810228484183	-0.32825458852141	0.941694763507462	0.907660961642139	0.92627993536225	0.958283269217511	1	0.855932796574162	0.955575079311802	0.227249510095903	0.902020613573281	0.877851832913107	0.882932884379804	0.202129889125263	0.882749581414025	0.919092448631918	0.88920665908769	0.959757362351672	0.953315019425011	0.961532530614043	0.84345035983158	0.905928349848655	0.917721495518367	0.712941338579607	0.325456644401449	0.953617093327856	0.559587280172639	0.942878267295059	0.873999214533533	0.762242182293596	-0.115582765848121	0.725068704043188	0.609197882520242	0.882612677592971	0.417858600318231	0.520868991336995	-0.107640798454642	0.745692677857788	0.690578333887921	0.895208290288351	0.462931785955529	0.881556411203325	0.91506120371997	0.416815841448764	0.824090638393191	-0.311444699979528	0.280237360832578	-0.0739406258940222	0.395816044524309	-0.0701175559864586	0.875150508337177	0.642746638712126	0.124810620936943	0.895012956774088	0.389109097112902	0.679555328520877	-0.0990925524654249	0.864145432453514	0.132605798985946	0.934207518124806	0.787631197094375	0.330730616962334	0.894057192141742	0.961928370443155	0.472952409979108	0.566143587284529	-0.275002397439773	0.962372754431773	0.789937072643206	0.833905144904298	0.736435779771011	-0.106322716990753	0.882083905290973	0.824915177421159	0.873822221244289	0.601699763646887	0.755799921427517	0.577663656998214	0.821155307330259	-0.118935572526474	0.957127086489575	0.959192794050973	0.828610618307747	0.269301128659048	0.868070728828466	-0.0935816543611242	0.948486527182538	0.366791436687898	0.933621911696362	-0.081883370205874	0.500139437431778	0.929772618420614	0.0936083594021522	0.802310831789072	0.681942023601581	-0.329541663434432	-0.00299545378411814	0.961445945013051	0.214474229849194	0.913208664603942	0.937554841565846	0.877955141193883	0.819029592045852	0.482004674459514	0.145432496512887	0.0833835090857406	0.95104660654099	0.47035570187082	0.462670546822789	0.915143488558672	0.0643406216158351	0.933166778410435	0.514863272115227	-0.383016291426042	0.655026265030248	0.911120591852853	-0.184118943678162	0.707586009486476	0.887149251388413	0.385701782359633	0.491903132506637	0.237311173087065	0.633966860860023	0.806040969390294	0.89744695027202	0.152953195805665	0.910752500555106	-0.311451242219245	0.517764291455612	0.832891022858011	0.302780151563994	0.657478835965202	0.972105094315309	0.963253014438011	0.870410696828065	0.25197059229764	0.680222592828147	0.210883863152465	-0.073609947774078	0.840485851426115	0.691038098170108	0.70830850919129
