""	CD3D	CXCR3	CD3G	CCR5	CD2	CD8A	CD8B	CD247	KLRB1	KLRD1	ITGA4	F2R	CXCR4	PTPRC	ITGAL	TNFRSF14	ADGRE5	PILRB	SIRPG	CD47	ITGB2	ITGB1	CD44	ERAP1	S1PR4	CD69	PTGER4	RACK1	TSPAN5	SMAP1	PTPRA	CANX	CD81	TSPAN14	CD74	NCL	APLP2	PTPRZ1	CD63	C1QBP
CD3D	1	0.664927454926368	0.937905569316254	0.426714549563283	0.859707801347375	0.648386799727178	0.747859689626004	0.898108401824548	0.485337182145716	0.466809446425793	0.480153132003782	0.104795708857677	0.802366792238994	0.834347161818796	0.738247659739261	0.667536311781969	0.840968177661587	-0.184916179375353	0.5724155508256	0.345948006031735	0.688213604308577	0.522827657876108	0.928313394027558	0.369926250649217	0.571524880409222	0.786194858673984	0.560537697707716	0.580717730110776	0.587029704885695	0.421150531510606	-0.255588191329708	-0.148513201291497	0.303557060813492	0.559926290952614	0.342419436657383	0.121521796931007	-0.285633378783119	-0.602250216293368	-0.318175807614726	0.021128126503194
CXCR3	0.664927454926368	1	0.785670997599851	0.39172423290892	0.793254355758029	0.669784617042784	0.670064460006895	0.794369668460358	0.305188176856838	0.608129419989521	0.593068508724609	0.312357911165822	0.634780161964087	0.688484424640874	0.48350872932226	0.488228938527181	0.600796796924221	-0.13785648655441	0.66772522022265	0.550835035067572	0.624926744448531	0.522952631563608	0.708652119953416	0.378188842334724	0.633766076419833	0.548104680921412	0.506399821689662	0.404183380874199	0.692251601538903	0.366759964960325	-0.00100725070800415	-0.103857893556016	0.134424563801314	0.523875810369105	0.274920703451046	0.238928307963233	-0.334862855517605	-0.504238029127579	-0.268610027932055	0.0641110943794282
CD3G	0.937905569316254	0.785670997599851	1	0.54674841940417	0.894507813090267	0.713846109178695	0.774071636100914	0.924076982388863	0.471351632547476	0.533444798829835	0.544720054550206	0.203217773210001	0.762756278568932	0.877525532431422	0.685612540944684	0.612706619437505	0.795890785872474	-0.161861361208192	0.605537530759506	0.46650261129674	0.682032544085013	0.665564392918714	0.940627307252823	0.488467552484842	0.608822595563611	0.759001485013131	0.520052019496184	0.551179146089531	0.55929456555229	0.417592060715132	-0.206802131134076	-0.165433409672786	0.206896476668814	0.590423246077894	0.348491759168612	0.113911142671082	-0.412845772435769	-0.645510785387155	-0.402414760715064	-0.0012525508003205
CCR5	0.426714549563283	0.39172423290892	0.54674841940417	1	0.391726875972091	0.768946040404119	0.662353943169611	0.391172941302958	-0.264217153867229	0.323970414010578	0.377579135067019	0.637030814928412	0.0205047048101271	0.603427209025374	0.591756949750149	-0.0229086690743648	0.432603765366052	0.528424315542798	0.196007257351057	0.124092964263806	0.153505955516896	0.561514802219094	0.468696096312318	0.474256036096257	-0.0603591413236814	0.00583369310063861	-0.0952905304311292	-0.196560049884006	0.0307420917182079	-0.113870950206096	-0.199520139859381	-0.413559396705372	-0.345338337734791	0.180640318421656	-0.247974610758371	-0.282943021250604	-0.672723882137179	-0.513692661157652	-0.635042390117407	-0.475219087497833
CD2	0.859707801347375	0.793254355758029	0.894507813090267	0.391726875972091	1	0.587888821076661	0.652451685339286	0.914770512885751	0.574382932204653	0.737875376191521	0.710474195311312	0.120363392126051	0.884271411635677	0.922741818468265	0.517221125422811	0.738282148041163	0.721973645507044	-0.226616691151485	0.792828096909097	0.590942441582169	0.652087618421162	0.665751451661312	0.882760797353064	0.405710371986407	0.677039743955948	0.835647163017338	0.779086338981639	0.614697680241898	0.746716543815234	0.509794459025815	-0.0425680417672057	-0.00412442989532591	0.215515868422292	0.748353159146825	0.466134689185395	0.379640611285734	-0.181221796596521	-0.580711186444709	-0.252577033487736	0.100054813065019
CD8A	0.648386799727178	0.669784617042784	0.713846109178695	0.768946040404119	0.587888821076661	1	0.964865392831639	0.587280606851441	-0.223476110471991	0.473302147182943	0.537576052082484	0.524841639881057	0.251752119475723	0.70520665336326	0.644764422059714	0.144256639249857	0.629446869708748	0.220744029061067	0.522363102744872	0.122337803090749	0.350211965021236	0.595724968851565	0.682766868185668	0.271385016727156	0.121072079906784	0.20012659529054	0.0378022577262894	-0.0658873890699237	0.416842206570519	0.0201984072381876	-0.142400139760738	-0.502970168095978	-0.179152976161015	0.131223212244525	-0.22738095836369	-0.226740130842166	-0.633343519490825	-0.57036016314597	-0.599036539865768	-0.427880678739223
CD8B	0.747859689626004	0.670064460006895	0.774071636100914	0.662353943169611	0.652451685339286	0.964865392831639	1	0.682825807610813	-0.095304801178634	0.465968731912792	0.5406074225339	0.401583692285678	0.381884335426839	0.738435494962758	0.678875515468095	0.237535375573679	0.72388139043646	0.0786110659375761	0.578087594213924	0.12007497442529	0.423875013022301	0.595614601051255	0.765699639501268	0.232775922369663	0.200178997560784	0.345279948140733	0.131719700891464	0.0636901548240824	0.508240185719448	0.113752269867013	-0.14152854895993	-0.460047984518796	-0.0588358672305036	0.186114818043729	-0.14565399603073	-0.174337879332323	-0.571298890731496	-0.567063978666986	-0.538104709986138	-0.357388527210531
CD247	0.898108401824548	0.794369668460358	0.924076982388863	0.391172941302958	0.914770512885751	0.587280606851441	0.682825807610813	1	0.538080847791257	0.670044342262371	0.59979717648726	0.08148399868917	0.856920501761838	0.862549310557643	0.56917824966626	0.621708397451651	0.819343330606325	-0.279895633620322	0.688020849180575	0.505552581039132	0.650171673260668	0.630921699215686	0.896374953484409	0.358068112975737	0.631165223266209	0.80988380553942	0.693173566864715	0.579275503904682	0.733636977153211	0.539402464287834	-0.0290754104831948	-0.029759139076855	0.239710443819921	0.698086357386297	0.35393305677006	0.296484844480715	-0.250910858339141	-0.514194932695173	-0.245412855383176	0.0747791472828912
KLRB1	0.485337182145716	0.305188176856838	0.471351632547476	-0.264217153867229	0.574382932204653	-0.223476110471991	-0.095304801178634	0.538080847791257	1	0.185677441246072	0.12859176895043	-0.356717246379568	0.817230449387612	0.350719221296883	0.134677312705757	0.793168402041228	0.284378409251976	-0.547300544088146	0.299757675938562	0.548388731030467	0.590046530245942	0.146157145514802	0.462056915706119	0.369427294273502	0.811807888670495	0.866568873296498	0.744503495549706	0.93791391719526	0.365086702188773	0.536961493555084	-0.118156587713779	0.451309669467249	0.604116358773139	0.666065782445376	0.863719382293258	0.4936476619168	0.31939557504339	-0.202414225758857	0.226203291765762	0.588212735702303
KLRD1	0.466809446425793	0.608129419989521	0.533444798829835	0.323970414010578	0.737875376191521	0.473302147182943	0.465968731912792	0.670044342262371	0.185677441246072	1	0.752490497071558	0.0543435489786763	0.588771358430772	0.757333195644985	0.0600959964526728	0.348186077778824	0.532808852637055	-0.145946152418266	0.768435156748742	0.38494184047291	0.233865358651776	0.618117266202724	0.540139350364986	0.00482579868335339	0.30096848839758	0.445557302423707	0.692741269441871	0.160110548164532	0.761930750834947	0.333881248955365	0.282637702484179	-0.0179885651541009	-0.11361451531706	0.541017559390674	0.0741374922084847	0.440266849736311	-0.0803029329021721	-0.332707881545057	-0.179017280678403	-0.0915626175167313
