""	PTPRC	CD3D	SELL	CD3G	CD44	CD69	LAG3	CD6	ITGA4	CD7	KLRD1	PTGER4	CD226	IFITM1	S1PR4	CXCR4	DPP4	CD247	TNFRSF1B	CD2	ITGB1	CXCR6	CD8A	CD47	CD8B	F2R	CD96	ITGB2	SIGIRR	CCR5	CD27	CD46	C1QBP	TIGIT	SORL1	ADGRE5	ICOS	CCR6	IL2RG	KLRB1	CD4	PILRB	RACK1	HLA.DPB1	IGF2R	TSPAN14	CAP1	TNFRSF14	TNFRSF25	SPN	CLEC2D	RPSA	PTGER2	TRADD	RYK	JAML	TFRC	CD81	JMJD6	ATP5F1B	PLXND1	PTPRA	VSIR	SMAP1	LPP	CD74	STX4	LRP10	CANX	SLC16A1	CD63	LAMP1	APLP2	NCL	PTPRZ1
PTPRC	1	0.907006349065763	0.746344489149742	0.954999809893608	0.468961736115848	0.787665553959742	0.549801036138612	0.891394692334172	0.806748590547885	0.970271387420105	0.0418470486716932	0.901442234604946	0.912112513164024	0.871999548567559	0.906260531840929	0.835404061774253	0.807103364656623	0.967902864021842	0.703524329409285	0.966952173964032	0.675281943337457	0.842774876282392	0.20050930647646	0.88575766345005	0.206908222184493	0.423515908752386	0.958555597721498	0.136282358031166	0.812240662659066	0.690816071194988	0.92429992144347	0.458604697521288	0.0752462976370182	0.163903199442867	0.743312269330534	0.776785901236941	0.844916673705247	0.78327038609953	0.931606035140853	0.842288643201033	0.692586569218661	-0.0901021219277171	0.673722533334939	0.501554871832086	0.403299917008025	0.559017622518616	0.205413151922816	0.759235254633063	0.878309728112059	0.816619158324247	0.968963575128642	0.613175275054516	0.926049323301768	0.842381267241102	-0.172481667191085	0.831221023479112	-0.421395726702902	0.0760751909502819	-0.126830441558694	0.247442703081559	0.122282406698099	0.184079480200583	0.58799903397643	0.31057106310311	-0.0950667497344044	0.170208244135273	-0.106659750805796	0.259350214550434	-0.0561700615628428	-0.286278266363921	-0.25762967753659	0.0294756060861093	-0.145760600633201	0.0340265955956718	-0.303160452746878
CD3D	0.907006349065763	1	0.884263865509476	0.943576548116002	0.456363016804653	0.686611839143317	0.337208222586519	0.840382187961708	0.656967321482978	0.891277411945704	-0.251411757132498	0.942286728317504	0.776335026246461	0.92888464944115	0.952587847643126	0.643123135490301	0.901364174440205	0.921655363411398	0.572564272219004	0.922360841480738	0.583228161210015	0.726630237501615	-0.093505068167549	0.839427631339324	-0.0514908313626977	0.224282599872201	0.858496890103588	-0.0271732927819591	0.687902592219721	0.527891818941496	0.894491340499545	0.446074666055863	0.323865218948409	0.0576989594738445	0.629987504305583	0.714122828224528	0.803353459139374	0.900471379123891	0.957061473391135	0.950894846823863	0.739229318087942	-0.252106982640952	0.786791730277598	0.435155680987229	0.480485125962162	0.378737133853654	0.252741428689014	0.744605890585272	0.90340060095488	0.814177562008097	0.868006665973537	0.744597727335341	0.871468200739398	0.902301560905556	-0.0472661684565255	0.666913760475786	-0.277520384471966	0.106572507218328	-0.168605379134203	0.384469311894562	0.0892089025150791	0.271690136666696	0.535282164721328	0.526716211519506	-0.00274896862193685	0.0739545873275184	-0.0287003648551667	0.417641851621271	-0.0161772481713583	-0.139404962006668	-0.180685345514421	-0.0643981456076949	-0.14447139075642	0.149082489082382	-0.207920493510712
SELL	0.746344489149742	0.884263865509476	1	0.716546767602037	0.46032291247925	0.408674214344008	0.00553988531548364	0.586388417087446	0.42012967718593	0.681061492075076	-0.419025626805029	0.803783360802108	0.643276567938212	0.753089294775338	0.856804448004783	0.43250404715555	0.891717422786152	0.74245950632675	0.40561426690005	0.710688657000501	0.432300112794698	0.509123389623058	-0.287489038665193	0.686050756073257	-0.33593601051178	-0.112823206100845	0.707541620666943	0.0325153361615991	0.442344512492399	0.380945459224229	0.699213668545205	0.321648086984231	0.411212328883271	-0.190957425800072	0.507680532217894	0.390002384144351	0.672121553207264	0.970547922024415	0.838555880526846	0.950904617539907	0.755806809502862	-0.107719835274252	0.794379191858403	0.378459996629073	0.481634210188623	0.287756931167386	0.363211755501774	0.721419585236582	0.8753120413678	0.662062589631931	0.730187627285488	0.757504188531777	0.74930479753923	0.909205701787982	-0.0517694670325533	0.614803602657246	-0.19842032192807	0.184260587911499	-0.387718459111163	0.41023377281717	0.158103801468882	0.238095629995231	0.586993625041501	0.591199985433246	0.13240533759104	0.138360750668997	0.0828782047793782	0.378063051221358	0.058286653335858	-0.105139079773468	-0.0466166325165193	-0.0931598154488565	-0.0366780943474333	0.0947899196091589	-0.142671950407632
CD3G	0.954999809893608	0.943576548116002	0.716546767602037	1	0.403641997485245	0.825287865245731	0.565892961322015	0.896931754591586	0.775943791047177	0.960420497403258	-0.0140454558388113	0.924372651534508	0.859938103287294	0.912954507900693	0.893987853416387	0.798706069181268	0.805511514466262	0.958108199866799	0.647786540160321	0.982407800522795	0.631965762586527	0.810535852284251	0.140361721561432	0.865953207331363	0.196625786189332	0.441660642892347	0.92452787988953	-0.00567372713555975	0.807943012103178	0.628611638895326	0.954322039335418	0.479028506664463	0.165378624524406	0.20767438740455	0.662421352450033	0.86019360681616	0.822923315983629	0.758620321011864	0.939638881518266	0.846834640228384	0.633394621445818	-0.241492868160973	0.687560364998682	0.475235163998642	0.375597989655872	0.434874054644764	0.163097528117601	0.702239456618705	0.852788873571961	0.819749500549729	0.911029612575101	0.637053425164061	0.893757660782397	0.810545316740558	-0.0861250858374577	0.734520888540259	-0.366887056984557	0.0422172407226507	-0.041745383444254	0.286301641342836	0.010757518820728	0.218535502023861	0.491067745537845	0.375952043065365	-0.136758092012577	0.06379875465963	-0.128085821048215	0.323891342900856	-0.099446670017401	-0.201495819714807	-0.275626301750916	-0.0600955638319859	-0.225858415446297	0.110368693212369	-0.270782554794662
CD44	0.468961736115848	0.456363016804653	0.46032291247925	0.403641997485245	1	0.363476619480138	0.0523236637664594	0.352282523327734	0.30713695943311	0.371507086818973	-0.191664907355493	0.520710773388032	0.339154602348068	0.428443952331151	0.455838882104779	0.391608285264038	0.508252140908218	0.400052468266647	0.57083807523134	0.381446669505917	0.859455761823786	0.339982596510533	-0.199152753499539	0.693574747590685	-0.17836125787561	0.121639501512196	0.371566421131845	0.633299225793488	0.513543424355312	0.390094255625545	0.41897277486651	0.656587014522869	0.515380151696359	-0.238935881279849	0.680000903388685	0.328062519568671	0.42338011439714	0.461980702223648	0.396857897384534	0.492809857041913	0.801160038108714	0.0411492412363001	0.730130426294988	0.435150462945602	0.794794631159892	0.677977121006716	0.815498639122167	0.809765721484425	0.517233958016422	0.348659485560617	0.399898728414615	0.758531863209046	0.453149253142122	0.576199121369924	0.217643582385244	0.414250212533597	0.339473404752822	0.770795815618981	0.335508167824523	0.775553757470134	0.614999807126812	0.523735300816951	0.659006894193637	0.688149563641546	0.52150118217691	0.434148122289607	0.615212656779797	0.668551038879966	0.793814020790025	0.226801759758185	0.676142571040723	0.762160001357619	0.717290296102676	0.611079069166284	0.25694209664253
CD69	0.787665553959742	0.686611839143317	0.408674214344008	0.825287865245731	0.363476619480138	1	0.602572818595909	0.798781845595148	0.668721119528239	0.795574934250386	0.237160086860552	0.800608095349676	0.653479130555645	0.690612226314738	0.688051241261448	0.919524669111065	0.453276587706424	0.781560431703336	0.573522994111591	0.78829672563009	0.595736252663034	0.718723068927576	0.208106979260746	0.761832411590689	0.348907355395593	0.603932014812061	0.770487704383685	0.020196593864238	0.93858855336211	0.453898830936033	0.806813642013104	0.359421693254949	0.0247399568749043	0.0460026347260694	0.526488714223776	0.759423193769378	0.73937543599637	0.431694744211954	0.655725734413615	0.590203902193153	0.415688356926412	-0.289328610687217	0.526189732374385	0.39815757380525	0.161386642198509	0.420708623609719	0.0903185190742282	0.620905569684372	0.744021592913631	0.526523536063282	0.715088269508768	0.512847295136074	0.796283308771758	0.579802675363613	-0.269876160134469	0.742665547564782	-0.342136211831186	0.0145964328036348	0.16188107324849	0.207973634736643	-0.0161945649033986	0.0652601119907123	0.348888135627657	0.277435702560518	-0.21506673326287	0.00837274019448335	-0.186658438338043	0.181676370391472	-0.154066174595755	-0.256846814872419	-0.263524396307	0.0189908458470136	-0.236653963995862	0.148300315235644	-0.252240171620793
LAG3	0.549801036138612	0.337208222586519	0.00553988531548364	0.565892961322015	0.0523236637664594	0.602572818595909	1	0.485006495966409	0.648595837401043	0.636128847234871	0.459031751579341	0.298070484923015	0.550778980853641	0.344172820564874	0.300904895986172	0.57493884102542	0.155006214729852	0.565223970234982	0.411817864405685	0.59965243002716	0.355759248001069	0.554117049970932	0.731658121121787	0.449236737027136	0.814839861987512	0.659655426663915	0.602401903133846	-0.0441087475274541	0.618138090752438	0.33576502106408	0.503793131433589	0.305006863728802	-0.278024640103003	0.613312314781643	0.247916255176287	0.660466049855546	0.275109182653148	0.078116955606586	0.44441944103165	0.14869769087747	0.0678813812062567	-0.149200169121581	0.07595017442326	0.138036828445392	-0.0318160817284632	0.232013431433599	-0.169077571022578	0.185965019453492	0.242452493973859	0.299815382684443	0.476724849472122	0.0332197213058484	0.439604856277842	0.175268589283599	-0.108210622594232	0.363411366350929	-0.320563228333898	-0.114350701837831	0.240469179833694	-0.115134591470161	-0.168604836661725	0.0528598930118183	0.0857483753750803	-0.203519486402187	-0.311330414522543	-0.0799262952591091	-0.241605508085068	-0.0601001683956738	-0.184543261403894	-0.195602164736467	-0.335562800800771	-0.0170688850281359	-0.290767221481768	-0.066425825334476	-0.209535256970457
CD6	0.891394692334172	0.840382187961708	0.586388417087446	0.896931754591586	0.352282523327734	0.798781845595148	0.485006495966409	1	0.691864160907124	0.910235826796612	-0.0550691532064079	0.88340870561733	0.816559416274484	0.90111118757817	0.895312347917553	0.768652824268161	0.68959562873841	0.927771713076149	0.543306184976358	0.898302948352699	0.563020519196498	0.898060528979565	0.0524821289782136	0.827257754621065	0.148585693983268	0.484022719404633	0.809233761523564	-0.0727829433293741	0.746475999367954	0.623241107834963	0.856643826475362	0.377111153657757	0.0918741062961039	0.133195094851603	0.659476438986661	0.706379498755375	0.85421461605081	0.651695684989393	0.817698670513157	0.736500329426003	0.556116232732354	-0.278196304031949	0.608819451806043	0.304943502521972	0.295554450601687	0.427399863819482	0.0709887773961353	0.598682098239079	0.773519199753895	0.743236830395647	0.876366816348915	0.564118466748897	0.881295981508855	0.743813592657826	-0.140197776655659	0.673347189618678	-0.345860549504268	-0.0393537330239443	-0.00925181603935751	0.233550528044583	0.00434704583086486	0.197058959178286	0.357728985292775	0.273520024813669	-0.17460641308505	-0.0361934009368931	-0.216323645494724	0.256716861611469	-0.119567492133757	-0.212522041880433	-0.305281359101637	0.00381657439106018	-0.228023800742636	0.103794173474842	-0.28093862079254
ITGA4	0.806748590547885	0.656967321482978	0.42012967718593	0.775943791047177	0.30713695943311	0.668721119528239	0.648595837401043	0.691864160907124	1	0.769340824701594	0.390858156358635	0.625378390650788	0.660641048575177	0.572707013333486	0.562812909054219	0.635780720480926	0.492707843924732	0.711871768991595	0.847262723322024	0.753991177466882	0.640608990808409	0.521483263284383	0.497642613614064	0.62898710330083	0.53035578742851	0.690573097717482	0.73816323641791	0.28933616850096	0.728888024536947	0.550425303832047	0.642462575419162	0.447163787458379	-0.194069093468854	0.569879116218311	0.627849050768888	0.843568884300857	0.479151669904583	0.394454763543711	0.763551983714702	0.485235286142179	0.521805765080691	0.199681607464306	0.288820405912461	0.522228969623642	0.402562846009907	0.598977355223965	0.0743006759864146	0.634873104448677	0.52049529782757	0.804976668711241	0.778594065045	0.220202864924405	0.555488100660843	0.42972729384086	-0.12322824939395	0.519726719620204	-0.409902611364846	-0.00711792502515363	0.0847266911590076	0.00777963512273883	0.296541331431153	0.12606626571354	0.567310929450934	0.0143514701452799	-0.00109882843244443	0.356624261824598	-0.0160994012307191	0.224357528915867	-0.0833439947499531	-0.295250687762032	-0.301366573660709	0.138921868893694	-0.0621731151511659	-0.0658293684378549	-0.264477094815201
CD7	0.970271387420105	0.891277411945704	0.681061492075076	0.960420497403258	0.371507086818973	0.795574934250386	0.636128847234871	0.910235826796612	0.769340824701594	1	0.0418666219057794	0.858876710004306	0.898893217099907	0.883896792089562	0.891758094994911	0.812161714976781	0.786496106892587	0.97654995537238	0.584291385281861	0.97423210811067	0.575988355417908	0.892638823727068	0.243655084115461	0.849212882746004	0.284311551362809	0.46977243452278	0.948355488035526	-0.0386982193342366	0.793574376763968	0.666128359110256	0.921604586270542	0.409562788453112	0.0597558903640892	0.238483459021645	0.64211972939024	0.782032112115993	0.809378815300104	0.744695927509742	0.92849526845079	0.806605329469361	0.57327171178081	-0.195104192356986	0.630847950660775	0.355113722038426	0.27891853300774	0.407089852774163	0.0882420669890891	0.629777265176599	0.839881578335668	0.780557882480243	0.945565536079367	0.573946247314951	0.919543425689232	0.797899397787192	-0.16473906760472	0.775726748365555	-0.434312700701049	-0.0267587143623923	-0.0968231952655239	0.199647224071282	-0.0420689413212799	0.172901289781105	0.431668501290042	0.239990718005459	-0.208082498139054	-0.0136344606650807	-0.205360610544702	0.193306098906195	-0.148204935558684	-0.268131338954799	-0.331520233110579	-0.0754545567742927	-0.278200784468009	0.013568363254822	-0.319473033345467
