""	NRCAM	CHL1	TNFRSF11B	ITGA2	SDC2	THY1	LRP6	EGFR	LRP4	ITGB8	C1QBP	CAV1	GPR37	CD9	GPR37L1	TFRC	LRP1	RIPK1	LDLR	SCARB1	CNR1	TNFRSF12A	TNFRSF1A	SORT1	FZD3	LRP5	MRC2	FGFR1	LSR	ADORA1	ERBB2	SDC1	TSPAN5	FZD6	CD81	MET	MTTP	RAMP1	ADCY8	PTPRK	TSPAN12	ITGA6	SDC3	CADM1	CD47	LRP8	COLEC12	EDNRB	IGF1R	NOTCH1	SDC4	SLC16A1	AQP1	CD44	CD46	VASN	IL17RC	NOTCH2	ITGB1	RYK	NCSTN	MYLK	F3	NRP1	ADGRV1	TNFRSF19	VANGL2	ADCY9	ABCA1	FZD7	TSPAN10	ANTXR1	MCAM	FZD8	PTK7	TNFRSF10B	FZD5	SORL1	LPP	RACK1	MCFD2	CXADR	NOTCH3	NOTCH4	PLPP6	ITGB4	ATP5F1B	FZD1	SLC1A5	AMFR	APLP2	CANX	INSR	CD63	PLXNB1	RPSA	ERBB4	MUC1	OPRK1	RAMP2	ADCYAP1R1	PLXNA4	PRTG	PLXNA3	KCND2	KCNJ10	APLP1	GPC1	ITGAV	PTPRS	CAP1	PLXNA2	CELSR2	IGF2R	LIFR	CD82	TRAF2	PLXNA1	SMAD3	ITGB5	CD99L2	PLXNB2	NRP2	GPNMB	TGFBR3	SMAP1	PTPRA	JMJD6	DAG1	LRP10	UNC5B	STX4	KCNN4	PLXND1	ITGA5	SIRPA	PILRB	STX3	F2R	IL6R	PTPRJ	SLC16A7	SEMA4C	ACKR3	RXRA	AXL	TLR4	TRADD	TSPAN14	TNFRSF21	LAMP1	PLXDC2	CD68	ADGRE5	FAS	ERAP1	TNFRSF14	MERTK	ENG	CD74	CXCR4	CLEC2D
NRCAM	1	0.988270789048187	0.828831139538156	0.950245595759827	0.800523360912072	0.698612186434796	0.971975910826289	0.923417814475613	0.667588951615636	0.974326593257315	0.783321337441123	0.387589557676625	0.945413881836534	0.755205777581901	0.910452459710165	0.678583229391943	0.935533855256858	0.942260930005261	0.905376726356647	0.654348453594782	0.945276668729906	0.625012149895846	0.901518803645056	0.962741122380497	0.968550165742626	0.926062253517183	0.962889030328325	0.869970486837644	0.700516036511832	0.814452993794109	0.762102430542504	0.723675405932602	0.919749735987909	0.960930112407224	0.898205466902634	0.525645918125589	0.972895847252462	0.841688779099022	0.502021768457919	0.817563074933717	0.916294593443026	0.919725333736187	0.971742586396709	0.95404247023672	0.931710204777318	0.943243649063978	0.946513986830943	0.960879776054411	0.861971411036265	0.957290451011583	0.520479313173392	0.709005878680665	0.906001246966799	0.914338952590183	0.925532020489065	0.583289920850585	0.819461344903654	0.965388306881831	0.918966049046643	0.943970655933957	0.894252033064571	0.932392147081502	0.95128217019581	0.861965940953176	0.933625293145073	0.89058541918207	0.968776912829533	0.926391434912429	0.713564151728602	0.828132869122595	0.599489125140337	0.958582054086859	0.822851217271595	0.950011501928273	0.773758548706268	0.945973237578801	0.946767730173878	0.592336138440261	0.961676895265625	0.748754986965857	0.864034580138015	0.862598001155769	0.584860120937587	0.797685668997006	0.677987207694155	0.964732357383026	0.823212904493456	0.881733674535136	0.528375822837416	0.880125219645683	0.975560207311127	0.956550405304147	0.711980952446894	0.842259153603042	0.936859080259457	0.760945814486969	0.950504365033567	0.900093238428009	0.946623175931441	0.815152308433015	0.664113096049944	0.755560811882651	0.953874413840073	0.899080675065236	0.586607970496483	0.94168917893593	0.847703871218074	0.860795728922771	0.967298307607831	0.91714785276117	0.831845233620442	0.793989488565516	0.963554636891122	0.913705928266421	0.975363696285481	0.872359484716699	0.628717230572607	0.8434912692529	0.939161731882097	0.81676714902238	0.968419274097432	0.860196839457714	0.957489596952254	0.283829333925786	0.600580978543618	0.905705301065084	0.961468382928319	0.720945189900644	0.959487024733645	0.93567649141756	0.215850750215466	0.777114041399229	0.827690246669778	0.812823515791894	0.752656600958473	0.749300684941494	0.898161679260928	0.745786710347286	0.873227230029279	0.829199887751206	0.829602786303567	0.928745447732658	0.863325644414719	0.654760048168476	0.801788840447604	0.624145818758646	0.585818430599154	0.797959437792719	0.852291102850369	0.877665622639695	0.919156462564899	0.261086383878876	0.251544496295399	0.905907112043829	0.728253780150714	0.938094929319277	0.817248328952475	0.300910262106189	0.541383027235766	0.102237190987501	0.033582664378678	0.824168031162741
CHL1	0.988270789048187	1	0.821683753832215	0.908815847068074	0.778739013805077	0.716678756445052	0.957394625343797	0.899982542335637	0.647997932182565	0.950534665662187	0.786808396444972	0.35385441279004	0.936947721309944	0.759626885308544	0.925327766330165	0.66751828288237	0.926834231578055	0.935669422124754	0.893540023828105	0.623758335435865	0.952279638786455	0.638981676667612	0.907829063027611	0.934325826584548	0.964388234037161	0.898943054110168	0.956142086015476	0.842252544017465	0.698889691036959	0.838346449682306	0.752753653471745	0.676446337094079	0.911283394521064	0.931514051743139	0.890199641331555	0.496746392094481	0.971735503629834	0.840582827503622	0.481599209287779	0.781253075502592	0.925612029524731	0.901979356512981	0.966530222458009	0.937232903659345	0.906002955487594	0.930943336689644	0.924415731677675	0.959057239581013	0.835372509565353	0.940218275590819	0.494339542166528	0.697816207603615	0.881057033067261	0.909302974889677	0.898647743679188	0.553221453443018	0.828565653438164	0.938231957475582	0.884269217213355	0.925478512607333	0.873322594900519	0.929347017680759	0.967940825960555	0.820337438296789	0.910645632936628	0.901799457970765	0.949216617055978	0.912214970936219	0.673507469615176	0.817069473227435	0.556561557861263	0.953507781877644	0.781161467301218	0.926907487686043	0.730666396753452	0.92461659579075	0.93218412825027	0.580466444023049	0.934571596925739	0.739000309129659	0.845733467430252	0.852309283068925	0.564813126093528	0.7502104355938	0.624920602240628	0.949744103911191	0.811115929316976	0.842788063455635	0.49389447133644	0.852162156359745	0.95269670494245	0.938533439994322	0.651304169827005	0.849834560862417	0.923259335508953	0.757134648961953	0.95122491158486	0.898096130581806	0.935586509305781	0.796393595881121	0.701145335230429	0.72995807809886	0.917913778749206	0.879441150490564	0.566553686711432	0.95615579965986	0.830357335737741	0.830885732771366	0.967574422573119	0.887282195222801	0.816958645720666	0.74874778367302	0.958430271914116	0.872491052168603	0.963662539768963	0.83284381887667	0.604007858343153	0.83570487150151	0.919218058466457	0.790893777750163	0.953640383626727	0.838586408135565	0.972871301375089	0.24416542997114	0.532529362138426	0.899733287373759	0.948921912232926	0.705195621153035	0.95036029377686	0.921260608277431	0.187548129086437	0.770883541111109	0.825121760403679	0.772042883098104	0.719896066023941	0.733273663392577	0.860369076536464	0.707941517581657	0.837756931641235	0.811471969619987	0.832850913684515	0.902817223506299	0.827995100427659	0.586502993502079	0.756069481876058	0.583741176593535	0.552271916043923	0.788376811482182	0.840173178708503	0.871886984826758	0.902070680141475	0.238053418285904	0.21848345069466	0.891841021407348	0.72403058573302	0.943893612953967	0.791874139600349	0.27353350895787	0.500638939213798	0.0932387998614129	0.0311037320676906	0.782404443428333
TNFRSF11B	0.828831139538156	0.821683753832215	1	0.811637178546866	0.88589834126406	0.769273925166048	0.832932587252941	0.893552035328601	0.743325013114093	0.793545794707295	0.9124006335463	0.645714848046388	0.899406362328583	0.877951609653342	0.796295348313828	0.821185626613489	0.920244492600315	0.886081031445394	0.850214248603955	0.696589291310493	0.820234117973337	0.845386404371268	0.940965392298141	0.851377442558851	0.858739170491864	0.80786355754578	0.855310981620744	0.903044783412257	0.866861921025659	0.829175247260083	0.884982568033569	0.76487144251241	0.892824330840349	0.873593488058463	0.927127574249578	0.713587700770588	0.865265164242774	0.811446627762274	0.664405814734372	0.679187154082448	0.84306661175921	0.727763164747604	0.869224121680695	0.876687670329799	0.914648989389965	0.773687248849739	0.814685960246267	0.855952194771707	0.798276717282256	0.8607309358408	0.739391649082245	0.8146060722614	0.815976633815803	0.843136717611137	0.846801933209765	0.643414984525617	0.850728690385745	0.815284485314228	0.801830066430891	0.888303557564085	0.951219002010255	0.8412122770057	0.848101538386211	0.767046864236721	0.693323157921303	0.839405960375012	0.819034933021722	0.843332744223562	0.636257203038722	0.921813694379509	0.680958245837245	0.859513995651217	0.655113576571812	0.819774694196338	0.839347608420591	0.905797562462894	0.908527950439121	0.455645857025749	0.830991387090885	0.903995333475466	0.935630513582795	0.928567987186835	0.783576625759862	0.654902723500519	0.737386661191323	0.855085996832179	0.906839472005095	0.827204887891787	0.709004878139704	0.906532992894378	0.814865407949087	0.852665439412841	0.527529030834955	0.928318690447334	0.866477296059844	0.899659402626819	0.844765971922389	0.813691724135902	0.847152869735384	0.803548663725583	0.762318192688148	0.905579894670657	0.781782076426908	0.920745219946827	0.779908063558437	0.826690546671191	0.876147736502935	0.876972911855098	0.833864922311001	0.733323913297758	0.916743837560312	0.613305312721783	0.873245892004702	0.772714574732809	0.820812512152798	0.791360087743754	0.869634861772839	0.820662507081731	0.726686351637255	0.780567533103721	0.841573258803225	0.80035129873701	0.831117006366883	0.475135544682449	0.543670838444629	0.906716788127972	0.904729898687422	0.854342554381927	0.871285531869561	0.926739147210529	0.471712930122207	0.923877872255177	0.845590771988423	0.721454067895245	0.646090921143373	0.84262501580981	0.776119836356341	0.709568939254084	0.632536054331627	0.66655241923576	0.688103668426014	0.791336382439092	0.822021278024316	0.445989540501761	0.747528880252794	0.603752968732942	0.399980131565311	0.941277671363339	0.639226889791924	0.811867290442535	0.858281677517053	0.129556873598686	0.178449830086704	0.765186897152551	0.835216888867298	0.76728328356667	0.708507975962648	0.0640711642185332	0.3472531134026	0.0278128549233142	-0.0898985881072429	0.556290259249398
ITGA2	0.950245595759827	0.908815847068074	0.811637178546866	1	0.813336860301792	0.646079265999713	0.948176685747421	0.900416913573283	0.617169076005356	0.96957046703299	0.758062494640866	0.443503546889207	0.904681364313627	0.676838116267471	0.815856729784438	0.635934391406749	0.885676240901186	0.900248959751506	0.850895655947653	0.634397107465211	0.849884968862555	0.56892555422521	0.845876276769753	0.961273993721178	0.898586337415555	0.897872019565362	0.914436518965262	0.868776439178609	0.68539349595698	0.698681430792337	0.730896704890366	0.78570690280838	0.902275898926696	0.971834315140867	0.889475252679464	0.543233512116634	0.916953399878239	0.814349211282437	0.490781997860534	0.874930062322672	0.83594321416586	0.91218102266596	0.928981686207593	0.94004327549947	0.950104173857177	0.892802137139736	0.947288523732165	0.913970689777741	0.855516159347935	0.93485781149257	0.516565127664464	0.655982337777697	0.893654588000753	0.86081112363038	0.928042048581126	0.669819218782358	0.789859784531548	0.960695609055602	0.945115526578495	0.927440382179709	0.894845389329167	0.901808076281793	0.860638113527326	0.886376006612013	0.928242360841683	0.786527367709244	0.957223978552141	0.889846305522189	0.751012150492931	0.806384285624	0.688733415402482	0.902924054473996	0.868216223825355	0.948980839563265	0.827273306089635	0.92558686686545	0.918649633929138	0.575034866198062	0.957484333998162	0.744333075466401	0.873683718301436	0.817186266622485	0.584862973962169	0.856906275673431	0.786297412801564	0.954733728158759	0.826244247548054	0.903834485399054	0.57496146483453	0.895376217548266	0.958629431349381	0.922364749389331	0.783595677573864	0.791289881775322	0.91865565731267	0.741775058198517	0.896302660454893	0.871039516671152	0.906609995453923	0.824725225411516	0.521006845645967	0.773188228255873	0.953496319939421	0.895951467015214	0.603707207808555	0.855565601849973	0.843233912049249	0.89111540734762	0.898689164411216	0.939860062133661	0.833431176429246	0.835685496160929	0.903441125857639	0.953132400009526	0.926561782752424	0.912410689340125	0.693514937004978	0.827422255904491	0.942112710246588	0.8480212715879	0.932035161681226	0.864997722710651	0.858902997692453	0.331944361917264	0.70498670309501	0.864506249140969	0.930433644406247	0.711568358582738	0.918260502490271	0.914418417041152	0.246254729129295	0.759950007757245	0.794742754225763	0.831384685003177	0.780162541447804	0.737996863465318	0.913159350583231	0.750058645546132	0.896439644946982	0.8257035322487	0.7633905468137	0.913819696982439	0.871518651660311	0.784187141334974	0.855037126377157	0.677763148501048	0.621296908425572	0.782271742143704	0.829610106083328	0.805211878003589	0.916056875081825	0.299736719369911	0.296952014797508	0.871970657619967	0.72663189004306	0.846740649165043	0.851022191367249	0.333422183979231	0.598692946277084	0.125405301545503	0.0301487384102814	0.844918441809418
SDC2	0.800523360912072	0.778739013805077	0.88589834126406	0.813336860301792	1	0.849961759130415	0.822251322203779	0.887362858060659	0.792903813667671	0.786617623347821	0.909529768378089	0.803088603357289	0.829533718894527	0.857080236500871	0.75889564939169	0.827263329206458	0.887826216598142	0.869876040146468	0.869329038700163	0.709654187608528	0.800424516035677	0.859318815705581	0.892029299613876	0.843975659013718	0.852939852299065	0.821441894928264	0.849969055518536	0.934107202220639	0.852749703105633	0.798368108158677	0.823986131359782	0.727771604874958	0.859702350042943	0.847222397261635	0.904960770904079	0.701649645866222	0.816972950271647	0.773369950838442	0.691537634457679	0.696353033293652	0.790579285287583	0.705926453641421	0.834616599589351	0.826766438903527	0.898650848478713	0.746112855206479	0.791361799055278	0.817800555099833	0.780343778804874	0.860663326704541	0.765220605159808	0.850684489964947	0.798057820515527	0.850360118868255	0.871631155494631	0.842803026569601	0.758051214175661	0.823826404795938	0.872958785701662	0.871846165117868	0.935112660341172	0.855460711015639	0.822249914250677	0.808042104004186	0.691513330413118	0.847620441519557	0.813759500626016	0.830534269680034	0.70297238458234	0.882392665402132	0.713793323184661	0.861805872218412	0.794462557049585	0.78353713612078	0.909809862012723	0.910072658331391	0.902332602274024	0.446479038357397	0.845494104620166	0.903021460219323	0.948140695316467	0.88791559025251	0.907467737409645	0.658768612162307	0.705809330323636	0.819111278432295	0.937151754614223	0.873720721600525	0.863489938021549	0.906662488121725	0.811112382826519	0.865227829478263	0.581698042572888	0.908753351270529	0.877303380991504	0.88541938603092	0.779687666052942	0.747614736346937	0.8154119485665	0.852935163644838	0.662165456751083	0.847703705920382	0.786766510267775	0.887518482797701	0.787316232279079	0.784836794864579	0.836073104175305	0.932602972154396	0.807141689826669	0.773295079594592	0.953349240158184	0.622636290134637	0.84236252208363	0.819196790928296	0.81013932326253	0.801032334488813	0.897302342882377	0.806479247528166	0.759089793287284	0.820773659368925	0.832295519872386	0.810966147899846	0.808737099654992	0.551782491981946	0.599906592544536	0.905320335477328	0.891886729256547	0.956024437175754	0.861430346272067	0.892178898429118	0.570285239620836	0.913451286710018	0.815195071445246	0.754494200813377	0.767194327480629	0.845381299420463	0.835784826209691	0.796020214991806	0.677983146408864	0.66636743046779	0.649714317145759	0.784875313979263	0.806929950085009	0.493428819296373	0.820789133261283	0.648004722391295	0.430703332460996	0.885288639615821	0.669776710686627	0.834857209339144	0.892598111896192	0.164505047989915	0.224097532231903	0.787261602682236	0.864843456979301	0.71532427223284	0.736054450831406	0.126182813105451	0.413558358378402	0.0412517653735572	0.0190226027904849	0.611059348423907
THY1	0.698612186434796	0.716678756445052	0.769273925166048	0.646079265999713	0.849961759130415	1	0.688925445560103	0.747483196173669	0.503120187652462	0.675530980085465	0.904461032525621	0.516847520298743	0.740464130269551	0.762919888388536	0.809008855169754	0.567705556312974	0.742926158296268	0.689835262937608	0.742231404032216	0.372983344187462	0.697987549094955	0.780380335859037	0.817911395341002	0.70670207378699	0.739300680429765	0.729214431644711	0.798654884282272	0.719431416187643	0.840517749611625	0.804004069288366	0.662210965564466	0.663795296295057	0.847130035207517	0.673484802055819	0.856313196901752	0.355395481619394	0.779402564902498	0.84488454149527	0.3623387668275	0.469277711560589	0.803945868010524	0.610076822564021	0.797920965565981	0.770955384728936	0.789025163354691	0.693167100992695	0.634683476174422	0.795194042910649	0.509035541999565	0.778364815496523	0.473140101352826	0.592310350711618	0.700362557168352	0.685812560288739	0.638056360247706	0.775051797298257	0.749871476944709	0.690868059971831	0.72345426635691	0.693865830088523	0.785945755024057	0.762095743885546	0.79608980855107	0.555916505076755	0.598966897791765	0.81758595766713	0.667031370752582	0.750705107258209	0.376317591206514	0.714211522245598	0.590643151008919	0.771437841391117	0.706398645932318	0.637320405322976	0.684242111877335	0.751850545672475	0.75625302991076	0.311258832201542	0.656906245901848	0.80583388706821	0.780658566170863	0.769821886953933	0.727359622284613	0.483588141891619	0.53447911241461	0.722966974433084	0.854788613515365	0.616805796186641	0.641601377943364	0.703803679426887	0.687530862080945	0.706427242758451	0.315975860198529	0.8846802048863	0.80681986655207	0.855508122172805	0.730288864147525	0.659866869697791	0.676126185703097	0.855325554572662	0.771261936036537	0.632205689928259	0.633177316324926	0.721906502367691	0.491268340533372	0.78758722400324	0.832392205335281	0.839544496412884	0.762644910499668	0.585732511464967	0.800928343819218	0.45611964337675	0.764152385602842	0.594264404254795	0.712591842711213	0.72943412472921	0.742432183507235	0.739894060314938	0.596920197907022	0.654132905195149	0.755267212522077	0.623437018275975	0.793604859449074	0.1429060798971	0.212596345885909	0.827043049889928	0.781809323343973	0.762622560835482	0.764257854792281	0.72504800612411	0.245992262993286	0.777244601551601	0.8518998826136	0.560873356752561	0.600585937898778	0.563175347580429	0.607047649404292	0.488516040203804	0.51960538959125	0.504821107486838	0.609267423405781	0.682383354145537	0.602973467655571	0.308514242255928	0.516179641753208	0.437176390311349	0.26692959307947	0.784888948875656	0.565993959559793	0.770556203496308	0.758957342126983	0.0405280972337253	0.016118351519859	0.672491020786319	0.698528837438673	0.646303719282809	0.578819913820182	-0.0126520276100473	0.242907368895204	-0.0306090145559735	-0.114959211470627	0.443787536511163
LRP6	0.971975910826289	0.957394625343797	0.832932587252941	0.948176685747421	0.822251322203779	0.688925445560103	1	0.905325344239941	0.690347657192322	0.959704211606318	0.782783925949414	0.440746804260383	0.896095664586249	0.744001346447659	0.878564328390549	0.703067465996382	0.923350146853411	0.923010588615828	0.909426745898995	0.69296112207257	0.912190018395101	0.628719603959075	0.881463927225804	0.947763156828004	0.943333542963217	0.889059844620304	0.933070450572364	0.890774889968487	0.704358198790145	0.788644345280379	0.791564283101126	0.688921691164389	0.909187686848154	0.94159856258648	0.890048049728478	0.55407343760957	0.941552657081642	0.814468576500252	0.521771145622138	0.860361174221104	0.879823204479062	0.920327797855435	0.951691643253888	0.946123427585173	0.929704379671642	0.902143504569735	0.923614033579183	0.940777161979306	0.878515238492276	0.954705825554369	0.532191830560508	0.713429365675793	0.857674992372724	0.881391111280766	0.948126712208787	0.639234993208424	0.818865981720112	0.958316983852043	0.926705893406121	0.958780196459783	0.897918842674159	0.905090570344032	0.920739090330085	0.890958309761858	0.904297945052468	0.876974654197958	0.967262461347705	0.915460460808295	0.766544948243609	0.846270398506662	0.626531461002574	0.951062336892189	0.832079051638652	0.9355352955968	0.800324039354855	0.935239351491728	0.942618405025359	0.614802575484164	0.957271605628689	0.759092807836378	0.875809053766544	0.847641704515425	0.629241661966045	0.837383802099751	0.738505300856704	0.94320746939274	0.829017083627721	0.89706239440859	0.552170704956661	0.892447658819849	0.949535922960963	0.941008759133233	0.743191521644973	0.831978602486981	0.913891981938375	0.750786378683837	0.935751227013113	0.870058414808291	0.890960574243552	0.819127041045911	0.633863576011173	0.768531053268113	0.940302067452141	0.899883319932732	0.640652110006312	0.92882991401851	0.798487155098797	0.848501873680581	0.939920844119946	0.936530051858525	0.849690787838285	0.819131503654016	0.931232789211687	0.923436399075039	0.968474561156592	0.884691554801539	0.664837696422774	0.863121314316895	0.942914635982332	0.844162402283711	0.942111200188818	0.877073716399584	0.919190008825866	0.344241322981288	0.641031372620027	0.88746543943253	0.950377271372939	0.745769718227024	0.936820671403666	0.93110603105962	0.294439484622174	0.800352047672154	0.813248915299121	0.816061873846867	0.790436432715792	0.774047024531831	0.908707364174171	0.764295614980978	0.876966193826084	0.835577307311345	0.822910881382168	0.879754132285089	0.886478767286146	0.696878063017362	0.848626761985089	0.672441738090051	0.612494029339494	0.800852037459278	0.855546660739177	0.839091823555083	0.930423210616921	0.30706063476968	0.311151327991018	0.913909004071421	0.735407730653473	0.908212791652342	0.841904427379863	0.354294548693775	0.591889160949411	0.146431702626891	0.0945068162784167	0.824141797783548
EGFR	0.923417814475613	0.899982542335637	0.893552035328601	0.900416913573283	0.887362858060659	0.747483196173669	0.905325344239941	1	0.79177791597315	0.926973908559855	0.879606218839573	0.581735682969113	0.917267448841623	0.846816696330892	0.905039007411847	0.817941577318337	0.95331413535452	0.936988090538049	0.912220633370421	0.715039982707527	0.931982779004359	0.756453391650268	0.913917470767472	0.930934026257641	0.959341012294405	0.941885657382933	0.937649811589511	0.927219643975002	0.762106615076008	0.849099771568739	0.765265415256678	0.772041530082147	0.926540651152431	0.925160224428033	0.912702861805442	0.627107971898023	0.920531754640611	0.854041235219338	0.615260241305854	0.693309480731867	0.930965041196375	0.789427816517559	0.942947631423687	0.922532217906725	0.938521327460546	0.921955066930533	0.880400870665425	0.941747978823407	0.834293956290136	0.940088092517676	0.666073687099141	0.832258845768706	0.875283921360649	0.889209307572585	0.898570983574172	0.624493861596463	0.773110132321311	0.920240098803408	0.88512795148461	0.928689210079166	0.928885267830692	0.871139328290609	0.899690629987974	0.83098165502639	0.868098113109797	0.895628757255814	0.910013237903425	0.898932775294638	0.677480851400781	0.850341797277683	0.661877327722935	0.922508061068846	0.768859926559477	0.891206210523489	0.847601269160749	0.947191425211759	0.960061524170843	0.52261647100275	0.930705605830821	0.870678354308098	0.938491475317333	0.954606985653581	0.736021611023356	0.711342025527005	0.689469732069618	0.90666632461566	0.909388731219006	0.906339729304909	0.700564253450157	0.919426321784447	0.928995653862074	0.960266936682738	0.615610536487629	0.90590202171572	0.944557369814409	0.864282228282331	0.923850497621576	0.782002197489667	0.914427503734691	0.827740927437277	0.679723089931192	0.787277609792625	0.916729741611282	0.882052274057328	0.75880565413793	0.896413462570949	0.869918262379308	0.889648711921934	0.914666161896578	0.853472891308479	0.901599849692413	0.653925940914721	0.940322766641026	0.868956576102987	0.92232522288397	0.856899852000635	0.770667511833875	0.835954370436517	0.866563567591369	0.759856491741034	0.917883662439313	0.829844726981388	0.914699550528706	0.422675204274234	0.633191360842215	0.96028352655641	0.97642719393031	0.85214525815453	0.961999792522354	0.920730111001958	0.383032098332863	0.871981676310662	0.858738255863507	0.783792426616014	0.685199423583749	0.829125476518161	0.882555992442822	0.812316271804759	0.751563676696383	0.700169951101183	0.753137850331185	0.921003339128564	0.828898129541761	0.533686611075026	0.839461590254141	0.617941509207346	0.474997114968226	0.879286981204402	0.777815603621425	0.897254342341322	0.903636200997395	0.188433611709819	0.208162334288916	0.917133130252648	0.758186932792209	0.839575309037851	0.745767430631853	0.168588994760922	0.397463582984804	0.0332957561212332	-0.00865461115046703	0.778092626167763
LRP4	0.667588951615636	0.647997932182565	0.743325013114093	0.617169076005356	0.792903813667671	0.503120187652462	0.690347657192322	0.79177791597315	1	0.617185988181484	0.667966632831485	0.771685573709592	0.685009615766095	0.822120695493244	0.599661644447519	0.916514809129475	0.818852998196095	0.802725418787114	0.802143877127698	0.883307705935392	0.777933434074651	0.761452564356847	0.750066505900886	0.686626228841929	0.776132677096312	0.688960555775275	0.672885225251157	0.845328946176246	0.610621766468853	0.705000036754002	0.733307624562954	0.52442155990695	0.612992700897362	0.691231403638953	0.658334131551094	0.791832548155875	0.63854981213952	0.481402053769326	0.857083441547722	0.562328204317107	0.63774098222538	0.522693491704236	0.647476645550003	0.60330509832103	0.678849697912825	0.636135510690891	0.653254834958374	0.644415941297968	0.799754816010289	0.686130267419383	0.855938656412067	0.953061503470554	0.616868105537821	0.788267985047003	0.789595595567755	0.462897115062827	0.531643759542588	0.668489002096983	0.664424106105223	0.76718973677897	0.781585891163551	0.665218594215942	0.685076475019637	0.735998149231515	0.544341140552165	0.750013050486809	0.686393939573029	0.674432092695341	0.728870067738212	0.759881994052292	0.490610995021721	0.712637246045889	0.505269826245416	0.639390048056111	0.768063741045283	0.776918015376289	0.790013985689407	0.491018730812344	0.741939842788981	0.733426742569985	0.795630261280678	0.808640164122732	0.816247133481914	0.513131500554575	0.497306916973398	0.628757833801394	0.728645347892099	0.818131789558663	0.751747212385012	0.799125110914791	0.668262201883768	0.783823120906091	0.508666234422503	0.710552629745918	0.68930865440898	0.662243679533538	0.629492599025286	0.573369049445978	0.718527830856598	0.539817474256711	0.550347118180078	0.735567706494548	0.659435151587293	0.754737725510898	0.844147540161197	0.621372868627574	0.58820817182373	0.674090506186721	0.67020367514008	0.616593865118113	0.799028132443132	0.469196544946784	0.71807952466268	0.687550052199758	0.684187665880104	0.550463225299071	0.715249625354901	0.655073014475243	0.622175817779042	0.637314670419905	0.659231584168613	0.709636229019094	0.682849880603692	0.751578687917142	0.641921286771623	0.757107991951189	0.746549980583706	0.860283070799577	0.741385535230687	0.767782725886144	0.735026519766487	0.796722932211502	0.565551492822467	0.661409416808199	0.594833773981938	0.885520995132845	0.76034585678983	0.853670608175621	0.505972548922679	0.569659477082016	0.588106785681194	0.645778978276687	0.717842426182855	0.272283929436426	0.804128318556842	0.591661859257536	0.408290149409092	0.747973864613753	0.611562070687115	0.737119306603348	0.729265859145122	0.213592133445562	0.324243657665374	0.708765852825993	0.706765788573751	0.640688802704428	0.566688103091914	0.169221586305401	0.312544273689388	0.101072702179644	0.197551980041179	0.567727333805987
ITGB8	0.974326593257315	0.950534665662187	0.793545794707295	0.96957046703299	0.786617623347821	0.675530980085465	0.959704211606318	0.926973908559855	0.617185988181484	1	0.768268891272304	0.355994608751871	0.90159681179629	0.67819168811764	0.900552887428362	0.630813606629675	0.894800163884935	0.909333334166408	0.865173854753583	0.599601944248477	0.909754007355375	0.552280680664767	0.845292416349997	0.952880339105393	0.936994506764839	0.933567929805009	0.945085204186048	0.849317969307463	0.652603296850573	0.748914777180525	0.684002330163642	0.744246890577224	0.931398663849184	0.95569630788757	0.888231076684809	0.456044017188182	0.951927932637323	0.86072382906454	0.441938608307919	0.804935412505897	0.906364652469584	0.904452080270481	0.963199931735448	0.960982523636737	0.939982886145454	0.949450720246715	0.935254555879977	0.958866095026349	0.834282068970943	0.954547003209792	0.45658589263324	0.649668132840105	0.89047801375479	0.85285726498753	0.90281377660094	0.617516425149314	0.780732650139963	0.973267460369261	0.920172690253017	0.927736759649217	0.867301207797193	0.900888365749282	0.899359168173302	0.844565509978209	0.969447490037153	0.835990807386065	0.966051047802222	0.899358688960967	0.693071823411089	0.775333131240662	0.639013152004545	0.931192042540032	0.839013481972512	0.948964690157722	0.767383093750553	0.919659332519435	0.925163586279824	0.572398208540289	0.952712517977404	0.736569400661039	0.854658582962887	0.832505153190506	0.546468365281156	0.805244561162604	0.703053490709916	0.944755314588683	0.816067414153156	0.886201262265637	0.502808950679143	0.859505876112439	0.972300054511052	0.941599493580382	0.710280387887173	0.807235476338453	0.927583687959361	0.745693975623975	0.948201033679222	0.8516483323738	0.908291592040929	0.813506805690165	0.58244427303907	0.708962424823175	0.970508434149085	0.857780568466844	0.584487610936846	0.921813728902415	0.835160401550647	0.854298335164099	0.940308353584552	0.942112164452021	0.803835031433112	0.780296054177936	0.932076451507167	0.919615863434593	0.959497252133155	0.902742781985578	0.615055173293304	0.840271194616398	0.960869507999463	0.796359075229443	0.950437446093439	0.836780475620039	0.913327562656872	0.244335332524066	0.61639622942373	0.88722783442841	0.95402905975068	0.69177317067725	0.946006252169853	0.893978467418412	0.159944401593176	0.741913780123054	0.815974517750035	0.792708871812338	0.726640539476215	0.70907763609676	0.890006073823969	0.727837007075272	0.875482287688197	0.783201550254851	0.792184391777721	0.93608498507874	0.825243699761892	0.716014824085112	0.815935766025895	0.613575721443301	0.578859754661297	0.7576463783794	0.846834676899049	0.830242180027413	0.902180857258953	0.271176013619525	0.246352243080265	0.914065724213775	0.672237505189062	0.886117738245471	0.819837191917873	0.311925799471798	0.534272615537676	0.0962378105076899	0.0214922839369253	0.861921406496767
