""	GPR171	CD69	CLEC2D	PTGER2	LRP10	CD96	CD2	PDCD1	PTGDR	F2R	CXCR3	NCL	PTPRA	S1PR4	RPSA	SORL1	ADRB2	CCR5	TNFRSF14	SELL	NOTCH1	ITGB1	CXCR4	CD6	NOTCH2	SLC16A1	JAML	IL2RA	SLC16A7	ITGAL	ADCY7	LEPR	SDC4	SMAD3	FAS	ITGA4	PILRB	CD3D	SIRPG	CD44	CD46	PTPRC	ITGA6	LAMP1	TNFRSF1B	CD3G	CD74	RACK1	ERAP1	ACTR2	NCR3	LY96	JMJD6	TIGIT	ITGB2	DPP4	CD47	TGFBR3	OGFR	TRADD	KLRD1	CD247	TFRC	TSPAN5	PTGER4	CCR6	HLA.DPB1	CD8B	CD8A	MCFD2	LAG3	PTPRJ	CCR4	HAVCR2	TNFRSF25	IFNAR1	CRTAM	STX4	APLP2	TSPAN14	CD63	ATP5F1B	CD4	MCAM	RIPK1	CD81	IL6R	CD82	TNFRSF1A	CD226	SMAP1	ADGRE5	SLC1A5	CANX	LPP
GPR171	1	0.601571438050795	0.410808890785794	0.318341821545456	0.603214996530706	0.868921232677045	0.779680062850947	0.857629585855396	-0.492034752969709	-0.184379996386175	0.798877439307787	0.446791649891225	0.363586393878607	0.707937051870191	0.555961833873086	0.441081879261743	-0.184727267307896	-0.000359944073989706	0.518903674715688	0.182384191110397	0.30892087346344	0.543041105910851	0.358272282293736	0.919891144908464	0.533952349797251	0.407775370432326	0.551362890410398	0.698376938146168	0.34412555709665	0.474375267743264	0.375565901582694	-0.084506801979001	0.672505429621339	0.490931524449486	0.416162736230309	0.54413661743819	-0.587470904343874	0.789702322674144	0.811114981943118	0.445872813453536	0.626192600118236	0.532831921539764	0.0415714814317844	0.573435988927287	0.491255133273606	0.698197452378763	0.154021134414536	0.498156915324682	0.0773101508807122	0.59464980262364	0.799833270104803	0.299546784564085	0.414312557050413	0.234276795431532	0.753274721419253	0.730211244444824	0.45356376552789	-0.101715024339863	0.640722419720547	0.824457895925048	0.456407169324447	0.835164778419761	0.668783157735636	0.680330155449388	0.605536777713677	0.398805406621015	0.0436874482300317	-0.406755772680839	-0.425292026499698	0.486677578733321	0.732538891804837	0.455983880920151	0.32150523449441	0.745333779755172	0.794808016359901	0.483623717734995	-0.433536693014198	0.451639212743909	0.0335442467670046	0.579137689955614	0.310286644128289	0.580377110014942	0.715703805835013	0.852441666759101	0.309193937215212	0.156958040133128	0.506852405073046	0.847268801582349	0.318498624521238	0.892378302900757	0.73206615064744	0.730416693913005	0.652785084798604	0.513091100302242	0.322089515864808
CD69	0.601571438050795	1	0.7427875776659	0.778453394044609	0.727125818070466	0.566547049970067	0.60293812472187	0.503096224761685	-0.489599008266073	-0.310273321865645	0.433870329630037	0.70659922289445	0.652887918527928	0.802228336913568	0.920826900357612	0.800943709191369	0.0798562381433607	-0.298890423834618	0.799650931119426	0.812141842717537	0.28847312934616	0.780607133536047	0.887241016576234	0.685434619441675	0.458404825580043	0.540920631718829	0.55390193220229	0.501391537615415	0.532265092711432	0.49079668968593	0.461112301005923	-0.00601862364363018	0.45719450674491	0.685294260016744	0.624172902732138	0.553904524001471	-0.402588373752917	0.703473053754058	0.610571949096877	0.699587889489585	0.706706561366571	0.601684981809849	0.584749078924519	0.572579944458418	0.567976190902365	0.831437526188496	0.311593129560347	0.876606235609143	0.216304361498012	0.648111010977146	0.716442960081262	0.768436166177373	0.535864342241014	0.506421337909009	0.462429284971977	0.722974462189892	0.751763572437517	0.00609222346665464	0.644070756706632	0.831654935261647	0.055647470726295	0.65629048743957	0.539357552521452	0.477368612815617	0.853501746127056	0.753371641413057	0.223145284368439	-0.224667631627737	-0.376249089997093	0.521143198100642	0.302371203782394	0.423012780650867	0.71332026323561	0.318455303383842	0.847182045779887	0.587591531403786	-0.227459028262709	0.567755376203564	0.137732260483143	0.713444521526268	0.255381900355254	0.643986579521478	0.642973651211125	0.623626675304035	0.485006198769292	0.205959850327568	0.68106951944043	0.541324241353604	0.22556627735946	0.563167724443945	0.753090856856005	0.486015572928228	0.56732468257792	0.545572473868174	0.434606273540439
CLEC2D	0.410808890785794	0.7427875776659	1	0.560686142155781	0.757522203110902	0.606248167306813	0.70061758003731	0.483853377333596	-0.212615247310875	0.105789580605832	0.510438548688304	0.83748396369526	0.812361356829556	0.806664097387231	0.715149822475585	0.690499482986461	0.288449796191871	0.134892016597057	0.824308130001049	0.582715895437489	0.430680939636662	0.686049720234322	0.698113525489872	0.568960559309822	0.609780714621382	0.691548045606068	0.644556407702827	0.614104417490299	0.756871897864095	0.759828170436256	0.539627944312995	0.0226118093862786	0.551053783011595	0.552738702074847	0.769034749247503	0.780085814631834	-0.0364949318616466	0.748792125504866	0.646789666282494	0.835196435471024	0.71670807821446	0.869385470173411	0.414091148950779	0.628300942582984	0.745507362285456	0.862847315420034	0.44181404538662	0.723786205175491	0.501720398766246	0.748313342271202	0.575601219673153	0.701185358387718	0.750508124633005	0.759699645817896	0.57675847628246	0.442714457292817	0.753469417600219	0.0479461579409524	0.624246185082443	0.650982375076937	0.113337683191776	0.694322369299194	0.632433626233256	0.555120840469678	0.664878010775235	0.736216242768776	0.363863568983399	0.068336371625935	-0.00746819972289528	0.567254755326044	0.447673363005724	0.680854755579986	0.772830115156151	0.419850459237245	0.67470370934535	0.65738081506262	0.144594519942859	0.614683733936433	0.229138793798585	0.733258882949155	0.304614342090549	0.642187317495461	0.670832305798246	0.488034060379808	0.719108845568053	0.359202433714707	0.706463314681933	0.588338905772304	0.278192592488369	0.498196630633949	0.648669325217193	0.600858699038083	0.637143199558932	0.614568211213835	0.571630386956393
PTGER2	0.318341821545456	0.778453394044609	0.560686142155781	1	0.426197835982507	0.215785236793127	0.196398207266061	0.102749181777083	-0.345753030330732	-0.277458583353412	0.0886067139137855	0.46542868428948	0.51912682306265	0.520168040750022	0.740483092018363	0.695768658574016	0.0517738036811968	-0.312906410529175	0.533500447465423	0.812952008784009	-0.0748695347439894	0.519879261304162	0.695845193517431	0.325386686973074	0.153971600425661	0.202566594854023	0.20747430557789	0.122998597595411	0.359233589967533	0.149678236978876	0.224459198758003	0.0297440289837276	0.080731013325012	0.59927825603294	0.278005696845657	0.286549115900601	-0.271093007972326	0.30965024097452	0.244995434802197	0.400888304625503	0.432893049704053	0.290538755227865	0.624735311033573	0.268875890049482	0.188122057694893	0.501498457253846	0.0898833933269315	0.683324679070531	0.15520103219271	0.300142658718219	0.28155336493493	0.51181549011611	0.224952724091288	0.184541449945264	0.0914299721824593	0.549472905215207	0.544059906535694	0.0341884842105129	0.319677862734942	0.524538616056116	-0.173933631925681	0.277582851851965	0.163845907808295	0.163945583520659	0.661946151602242	0.478418342092288	0.080923371296669	-0.0861087047948693	-0.281900372038647	0.274624088272722	-0.0532361560022235	0.115854807913071	0.476552144042965	-0.0194612458868659	0.513942898337226	0.310478106063406	-0.114976095569817	0.247833854837484	0.0674073750284554	0.417125195864704	0.0920182158817328	0.326519654379034	0.277542160132586	0.252725138763792	0.294204720448615	0.070401929020141	0.450163705018099	0.194553016467178	0.002305414203962	0.197305280968481	0.478525639902545	0.0922416585231057	0.183952793318394	0.287168793544411	0.223510980596556
LRP10	0.603214996530706	0.727125818070466	0.757522203110902	0.426197835982507	1	0.67518432816631	0.798027335228972	0.624420707371431	-0.133751054415553	-0.206427025447149	0.672756696608495	0.912983178903214	0.8684901497993	0.852702729275049	0.795126986194692	0.717036443408307	0.0200773073959344	0.0290506596921538	0.841667496862245	0.518500176441237	0.609704175288993	0.907124847899756	0.539671652686288	0.733509684885235	0.873277189210753	0.897695803572862	0.85647427288443	0.827602364634478	0.650562187586044	0.637795050635608	0.648246600151208	0.36225557469977	0.818120958576089	0.742995898463791	0.855018289047724	0.782397657931863	-0.170477119217637	0.773705193022502	0.797170231666621	0.902067048778948	0.934450455915753	0.779392778649391	0.422306404778697	0.914662852939227	0.868680990176961	0.824602734599618	0.669378666769817	0.83418534743139	0.530444660845652	0.934287391705576	0.720809742452897	0.796797049992073	0.647030028818996	0.734396590277887	0.750213543203627	0.626934566342841	0.899937864256739	0.361651353534904	0.826249650669194	0.864521580672034	0.0914235767773665	0.796105949776522	0.845459575026473	0.787695301072214	0.693481484129321	0.845407886893439	0.561322528844726	-0.378892687195431	-0.428527296006967	0.89306057836533	0.574783455412941	0.812369599684736	0.783943682542649	0.651269979125489	0.830969786769628	0.899410429145594	-0.2531982521274	0.822077852950333	0.580768342000476	0.893298509969019	0.709614403738066	0.903559148417227	0.914258652597486	0.753099719800292	0.730217475235332	0.582859669389782	0.863314299359333	0.796088619147986	0.705280273228398	0.764255735421509	0.857356972225483	0.778902566154353	0.854592311017453	0.903127701694326	0.862319691552524
CD96	0.868921232677045	0.566547049970067	0.606248167306813	0.215785236793127	0.67518432816631	1	0.913760927049969	0.876655173904691	-0.392541212541277	0.0379027344258874	0.873116571062135	0.59451025556409	0.538849505141936	0.79143367055386	0.512926952639011	0.406955769284932	-0.00620013221023056	0.273927568155558	0.621693311813862	0.105488179027358	0.489051745651845	0.573761465481864	0.408253488651183	0.902261487746452	0.623478893163588	0.56494262824388	0.667623724317839	0.798816110929663	0.517218965610424	0.684774858271254	0.49773252476851	-0.101869663910344	0.760947409364488	0.440193114504778	0.596779199599997	0.712579461667078	-0.411082369828566	0.912119905197954	0.874916952968853	0.603792369027128	0.681267257704884	0.757470187038219	-0.00477803537294818	0.625935589142376	0.686645785271614	0.813802113937675	0.260216995426532	0.490901078985884	0.318370681900542	0.720527026752811	0.82798814722882	0.376373966275147	0.625862022992628	0.507498571974276	0.838834226699033	0.597895010597464	0.541284872260704	-0.106951209975849	0.738373619088234	0.778255265663777	0.506703397920057	0.902533100574676	0.769835936151512	0.780764926307879	0.593590734144955	0.469512843649688	0.140442930768303	-0.224390489084549	-0.186208616086109	0.550037517652508	0.822461481131526	0.649606606556422	0.435008363633523	0.775228355064877	0.773740667534193	0.555264409020658	-0.197194510961708	0.54672407659699	0.0721862842524216	0.67356011842054	0.332966780595142	0.635374426467935	0.780738327248737	0.817920970496465	0.498277150477977	0.254136929137308	0.57829113043448	0.891391707758373	0.397637426536845	0.879418881460142	0.732590008661131	0.829439004391434	0.774028198939558	0.583295029448052	0.440146676158804
CD2	0.779680062850947	0.60293812472187	0.70061758003731	0.196398207266061	0.798027335228972	0.913760927049969	1	0.883188173161984	-0.319571860976224	0.0298304491454143	0.930268670386623	0.724590613793858	0.64348800358167	0.871386046085264	0.58806122029906	0.464587768372631	-0.0579556534125043	0.289378555256214	0.772216300956558	0.211327517032217	0.653970415262103	0.687557190085135	0.436662913530682	0.897978151296039	0.749337393083572	0.736908609870696	0.773801900817481	0.916765500408193	0.657051009592691	0.805726186756371	0.585273633745289	-0.0307481141390991	0.859294744319448	0.459993498918638	0.765176931318582	0.847960572487169	-0.287066390232045	0.96184761753133	0.937784284078813	0.761727786727902	0.79002474394266	0.882710858557819	0.0814463543450307	0.77417636938561	0.855814551596159	0.895453665883074	0.419510093405241	0.588067656176975	0.425466456994167	0.850879744160468	0.815222334934593	0.541276807425264	0.716317399792341	0.697529778012739	0.914565902137234	0.591934302992134	0.661105258872795	-0.030306977646449	0.817509668617385	0.836223150090616	0.46050531265496	0.963061794173	0.879719853805178	0.809621009055626	0.623325290272302	0.627212000340875	0.291569497497246	-0.227469294975113	-0.192448205962633	0.665977488350917	0.85722893080407	0.806631956730161	0.608809853931089	0.827357763459588	0.799129047628043	0.671835190556603	-0.12769522416931	0.674884859811425	0.195873338786665	0.797202868436386	0.428095687815186	0.769388152766414	0.889938534887395	0.766448736655168	0.588878563364073	0.355314067803359	0.693398580992513	0.92919682911795	0.521252910982144	0.891092026393141	0.766443680544883	0.923391055779808	0.87655577594946	0.68279057499348	0.599047092057954
PDCD1	0.857629585855396	0.503096224761685	0.483853377333596	0.102749181777083	0.624420707371431	0.876655173904691	0.883188173161984	1	-0.328277352049988	0.0487752683585747	0.854244553110891	0.530983879864932	0.395222404213946	0.704399869552688	0.436530732748891	0.300107476972259	-0.113002658488496	0.196697650312685	0.571142764606218	0.0150967973098453	0.552751904962867	0.532832375183931	0.362055962156057	0.930360007955635	0.610965904883797	0.526034523830585	0.631545753214319	0.762628962913715	0.515962958527891	0.659660197993736	0.359144081363939	-0.0557267023312253	0.761391366202461	0.400823955347568	0.501852876214486	0.685568692556924	-0.397734986157252	0.885442632853476	0.842066970502431	0.540545330240199	0.607814639726562	0.691678382332802	-0.132856298983898	0.642037157865946	0.637249887124959	0.773180582492752	0.226049282427336	0.420731627896274	0.22090811922174	0.664353532792565	0.784558073191346	0.318320408837497	0.629296450244899	0.442427103936861	0.838597262443054	0.57219366401873	0.444632989648392	-0.0605453654529236	0.730949492820078	0.740163821428075	0.607901034782303	0.88928682672162	0.772833736331019	0.764834693299782	0.578062891137103	0.374148888737738	0.116997740410556	-0.251789738320493	-0.199337244925065	0.530299549925183	0.848489633215127	0.604751461269345	0.32853313904894	0.82242732542599	0.711738336645249	0.489590828550081	-0.13115800469634	0.492164539876505	0.0960985239757503	0.633362373941422	0.34570245535025	0.633294161382356	0.726325288976446	0.801734837419464	0.420500700915663	0.27464669781969	0.50815990293964	0.8644098459294	0.405956618644009	0.873265013733446	0.692616824487899	0.816622548698135	0.715591359030214	0.533047553798196	0.415988105438901
PTGDR	-0.492034752969709	-0.489599008266073	-0.212615247310875	-0.345753030330732	-0.133751054415553	-0.392541212541277	-0.319571860976224	-0.328277352049988	1	0.280811861380453	-0.277242410257968	-0.058709684017495	0.0145090374055097	-0.410359924638938	-0.392358168016446	-0.261362232284469	0.278024590810165	0.239675332201117	-0.265122186302133	-0.357685371713682	-0.00613325339987402	-0.157539645455425	-0.379002309244948	-0.443236357635997	0.103081100512517	0.0355468943048109	-0.150496706903384	-0.246762567369361	-0.0167637929780029	-0.0763248992910509	-0.18746132665341	0.712307503508509	-0.181735103103117	0.033894026502917	-0.17487165995785	-0.170000606627115	0.755369340486465	-0.377609507481367	-0.357636525347965	-0.102013024664463	-0.0961978361795787	-0.146595100057687	-0.266775673065912	0.0459234846600968	-0.205777493069295	-0.374106624582306	0.0720219330626752	-0.28636926145002	0.259901901091862	-0.153901432678008	-0.477136140005942	-0.304221793386413	0.0195416625040579	-0.150584356170348	-0.199252268016474	-0.546497288059214	-0.026107568925677	0.717066257808369	-0.192367672719439	-0.447444056091762	-0.000592366875772005	-0.356082557424914	-0.171139596612746	0.0522941131388447	-0.358049434529638	-0.30520479173073	0.0851338528902945	0.286172881226385	0.362953938350668	0.0745171738513705	-0.208181802795053	-0.0137760685182289	-0.242109386552207	-0.13703309068332	-0.468068553300998	0.0190211513284771	0.376257830008247	-0.0310803414565818	0.586496142661509	-0.199250933952856	0.399732302096641	-0.0885969516059383	-0.289763482264822	-0.328168950809685	0.114905862482971	0.50234241206897	-0.257011328742602	-0.323761131911194	0.277240587785143	-0.358752447939736	-0.228039905543632	-0.199706142097939	-0.241320988705384	0.0803448229339217	0.253792331522327
F2R	-0.184379996386175	-0.310273321865645	0.105789580605832	-0.277458583353412	-0.206427025447149	0.0379027344258874	0.0298304491454143	0.0487752683585747	0.280811861380453	1	0.0221718514739131	-0.0218945842781031	-0.0280739125123258	-0.0991094099061447	-0.312092372654135	-0.284910865656861	0.458922422563887	0.551196147301527	-0.100543808163949	-0.434146313467626	0.0473723113225596	-0.262511697154802	-0.0479639421402931	-0.135367461385181	-0.105701722118108	-0.0865518060931466	-0.0939652161266801	-0.114305342907553	0.0749568455294167	0.279414235404168	-0.0720586330569657	-0.083302713678865	-0.079684584224552	-0.264006972562507	-0.145635275829246	-0.00574652972130985	0.420871122663317	0.0750273128475203	-0.156125725098464	-0.0703291879332092	-0.178420508091451	0.216676559797833	-0.252959456879337	-0.12369478400284	-0.104991337472829	-0.00269793880123646	-0.0308194179516492	-0.258608985376178	0.248899761517222	-0.101937470164526	-0.178904837434676	-0.301728973337918	0.32555091109081	0.000423074510119448	0.115924207251053	-0.272466581571905	-0.146537536906648	-0.0420442906459253	-0.0247370887791228	-0.318491996980885	0.41994655209819	0.00581074297864849	-0.109603482789812	0.0558708859861981	-0.122276834147641	-0.355523360973446	0.0194412761870562	0.703390488143468	0.805097091659312	-0.158452433436914	0.177532791634367	0.0366757435643993	-0.331551772300407	0.091342779405262	-0.378856035406888	-0.144413811485236	0.704533084512251	-0.0802618978724503	-0.0654606753280016	-0.154730474183282	-0.051188817171457	-0.0667906428962314	-0.244090891703559	-0.256567153876029	0.173734682379749	0.276726141100315	-0.329344280656598	-0.0973983509692171	-0.0551630676998883	-0.176971394368154	-0.219712869666365	0.0308868835165041	-0.0992354566645417	-0.101661632836547	-0.0855242723652842
