""	CD44	ITGA4	GPR171	CD96	CXCR4	PTGER2	CD2	CLEC2D	PTGDR	TNFRSF1B	ADRB2	TNFRSF14	JAML	ITGA1	CD3D	RPSA	TIGIT	TFRC	ITGB1	S1PR4	ACTR2	CD3G	SORL1	KLRD1	PTPRA	CD74	PLXND1	PDCD1	CD47	TRADD	NCL	TMED5	CD46	F2R	LAMP1	JMJD6	CD247	KLRC1	PTPRZ1	CD8A	CD8B	NRXN1	CXCR6	VSIR	APLP2	TSPAN14	ATP5F1B	TSPAN5	HLA.DPB1	PTGER4	STX4	SMAP1	CD69	PTPRC	PILRB	CANX	CD81	C1QBP
CD44	1	0.884657498080693	0.900925102220615	0.955971942387269	0.972619795385688	0.836518323585522	0.933770169028886	0.827340418849447	0.925590588898255	0.747388304576611	0.89340421801262	0.949851301397125	0.805105906693251	0.871346818039763	0.946354638431261	0.908382504749822	0.937038117132716	0.413118239992475	0.755360034792225	0.962785277618831	0.792154607530162	0.919905668793157	0.525144794000261	0.867656951537094	0.433235389902548	0.255291428539724	0.131404978011435	0.906031775000955	0.692873253873762	0.964634979108664	0.86347278529274	0.679413468932118	0.569639719583134	0.630593381528783	0.498262934331326	0.817475146795762	0.916858723674281	0.937593007495074	-0.448188527530561	0.960657109030009	0.918001426054977	-0.337328680970156	0.984098424076968	0.402999805634031	0.22685120121629	0.855959446144079	0.398997840857258	0.389610454869144	0.593004869600881	0.960199351518123	0.757093336329178	0.634661936535082	0.976803634552062	0.911868614008622	0.358892082467244	0.540178881114185	0.330089714641349	0.708817429141421
ITGA4	0.884657498080693	1	0.742123241026445	0.956291638117319	0.948801488995174	0.984279010392233	0.988366668594945	0.985437783816556	0.979996803999578	0.945705888683923	0.734203024629353	0.865170549794562	0.978221162609689	0.877353555914449	0.965995720211517	0.89567816448805	0.958848728261175	0.403000285286152	0.858976926411646	0.933381862784871	0.900398503481135	0.988097281546167	0.471412655965979	0.946643765400628	0.358277385445441	0.129362503944163	-0.186017445612593	0.992500717917524	0.745989161318294	0.92585329551226	0.925678444259645	0.906075741244856	0.605240540150623	0.333187419259754	0.299900336841013	0.969571532231341	0.96214640083671	0.914530887422036	-0.388221620642016	0.784146071840913	0.991701581650441	-0.286212999202826	0.929933979857588	0.233969891861576	0.371205643028465	0.796436450062993	0.504372326784106	0.104988724216462	0.400875133174262	0.949928490386129	0.9020458406063	0.685973785039189	0.935569709903762	0.989395934230659	0.411948451513831	0.631296050922486	0.218839146955215	0.845571553039388
GPR171	0.900925102220615	0.742123241026445	1	0.883677274501476	0.883247326079174	0.729030644598871	0.808423754413981	0.679824952609611	0.836513184682488	0.56903667684393	0.931055391216501	0.903790294002986	0.691620300999029	0.851110302052268	0.866151908931497	0.91208022086641	0.802483507557677	0.583063358321751	0.731579660481027	0.83923026095358	0.774692048896204	0.793809335609458	0.592798805043355	0.844597097278166	0.464967398098687	0.444859940478984	0.395023484342042	0.75225342735849	0.639742823248831	0.86942177838899	0.774653425695009	0.589120359484284	0.61043132700631	0.819707098791085	0.653204517189782	0.689345799864351	0.869679666510616	0.916379906940133	-0.443816740038538	0.966186658910102	0.77665840654554	-0.375402079530767	0.875717191766505	0.650080681984864	0.277812741784887	0.84377170880346	0.51882436130512	0.616626651857688	0.755886212615775	0.827102994753722	0.600654995611142	0.762099917317761	0.836435372941134	0.790284966379636	0.438889237209895	0.569231115882714	0.526744370601894	0.598422066726641
CD96	0.955971942387269	0.956291638117319	0.883677274501476	1	0.988249355328571	0.943323277671004	0.982309983904947	0.93048826583083	0.982698919242332	0.863798910784575	0.844652686636145	0.933631145160174	0.924524106340436	0.91601509155957	0.990186959881188	0.952059635823415	0.973833476369793	0.471012371006476	0.853512181888925	0.967350593130087	0.891757949369679	0.978105947392323	0.521106515635888	0.950079041436467	0.427478762719124	0.237124142285148	0.0222718590494819	0.960558793677399	0.723192403293074	0.969829914788555	0.904479637791676	0.821491397731545	0.628891218304123	0.531559895835189	0.465239051564036	0.907925613683117	0.984212709825853	0.970625017758387	-0.456529619469516	0.902433952126079	0.97193364044152	-0.358996817403736	0.980859933348682	0.377726010010453	0.31006075726532	0.852336861903363	0.495837229285889	0.304620357379921	0.547399143175975	0.971519324554417	0.843257241494638	0.722894101436209	0.968411977107356	0.973853224486126	0.457734633935058	0.612848039862091	0.315944889074152	0.780269706782473
CXCR4	0.972619795385688	0.948801488995174	0.883247326079174	0.988249355328571	1	0.92217258229622	0.978936462456945	0.915949701849033	0.978202668729932	0.855887449240894	0.87464736542689	0.947049502437546	0.902537520021441	0.887636299197629	0.986282066016287	0.955976945912224	0.979583023049453	0.439792809294038	0.833747785167867	0.980978582469725	0.876472684789515	0.974341284594905	0.571191965888765	0.932836325221903	0.440320147214315	0.279923634404172	0.0253256586639942	0.959603747186859	0.750739632994379	0.983238213166938	0.923425820191767	0.812213409011944	0.616854891735851	0.527580978945231	0.463490918499622	0.904943859451656	0.96973029639864	0.968509260126824	-0.428209792384917	0.919395050145542	0.96983541757213	-0.330948281668198	0.99031882943983	0.393285538411572	0.34529049896455	0.877676814793968	0.498969031465072	0.320313001818993	0.592684165344744	0.983938946157292	0.855668634211487	0.722760832512303	0.987858572137992	0.971922032473357	0.40373022889882	0.623260961438868	0.354313028546485	0.808572917751114
PTGER2	0.836518323585522	0.984279010392233	0.729030644598871	0.943323277671004	0.92217258229622	1	0.971993817043183	0.990353401735055	0.960464282933722	0.957650688898784	0.690524240853448	0.846343481611784	0.985209740572804	0.878253904399461	0.957537132834043	0.901306920938907	0.941138117053051	0.440884694460447	0.88711677611747	0.904778390624681	0.925361910187698	0.971778872216865	0.455813132414865	0.949111680455738	0.346013663094478	0.15729231612266	-0.181354960853289	0.969611437325459	0.718030200774286	0.906750457595876	0.893625629988231	0.937630108303935	0.618636486129581	0.316585348612385	0.307026994701975	0.954246848555226	0.967343455919395	0.892805955290129	-0.4038349564045	0.740312301369554	0.970231667088848	-0.332340689117568	0.895253671657933	0.270315653195847	0.384055193144528	0.754239555959107	0.548431532798557	0.0888643173501131	0.399762166504509	0.91897550126013	0.890466484331857	0.728619332548439	0.89300994046605	0.97993703603006	0.454721346451574	0.637935017004374	0.228620760784934	0.838509847347796
CD2	0.933770169028886	0.988366668594945	0.808423754413981	0.982309983904947	0.978936462456945	0.971993817043183	1	0.970596634901657	0.98590762316791	0.921144341705798	0.784041960550455	0.910438058609502	0.95922827718529	0.89725502401314	0.990756374799765	0.929700593296969	0.984046665440195	0.411976006759693	0.861587699689118	0.970627523497086	0.897607705963438	0.996894146664812	0.491353297507066	0.944653658249146	0.376209124496454	0.180232051785512	-0.10051676425191	0.989898646868633	0.729404428849602	0.96510508891476	0.919038626979999	0.873924966800266	0.603692735399563	0.416071545828255	0.362159677957909	0.944255483015761	0.978034688824281	0.939810000395439	-0.444606237532364	0.848665574833895	0.995785941658011	-0.345845608224515	0.968763486707901	0.299275512270452	0.32739113635804	0.822345131021723	0.483498649853751	0.176773842519873	0.475343025964547	0.97939132274109	0.87905308722285	0.694016132784269	0.968746699916369	0.994365837211317	0.411738751089193	0.604416590582882	0.25131931964405	0.821622546412685
CLEC2D	0.827340418849447	0.985437783816556	0.679824952609611	0.93048826583083	0.915949701849033	0.990353401735055	0.970596634901657	1	0.954603732513292	0.975555816504945	0.663215227874509	0.824931902984663	0.986142499907715	0.848250706411214	0.946840764229153	0.873134318191416	0.948925270645343	0.385976676035983	0.862640832800364	0.906184411221046	0.903024906798268	0.974705590271039	0.443449832083623	0.92532538619171	0.350088114101425	0.10958084350967	-0.239726023422821	0.978610961681351	0.718211810785245	0.900655646716285	0.892739518805732	0.938176889010117	0.603009972462811	0.246191520981388	0.261986575951353	0.962213450804452	0.946979688459067	0.874673061312114	-0.373478191199985	0.712929178827306	0.976022988927049	-0.290887577517457	0.891471446091199	0.195359783515108	0.385029139020054	0.739490852517526	0.508799291368329	0.0383599840700143	0.351596236943304	0.922596036231051	0.909020823152838	0.679562758821025	0.898808111362245	0.979309068511806	0.441059500688988	0.62216128428391	0.179565345399468	0.844049630143014
PTGDR	0.925590588898255	0.979996803999578	0.836513184682488	0.982698919242332	0.978202668729932	0.960464282933722	0.98590762316791	0.954603732513292	1	0.889016360755041	0.830887155632951	0.90792329105659	0.953143603148204	0.897530909085384	0.982197709833253	0.942856701664772	0.967976166300554	0.437181896902755	0.855519875801565	0.95498787919582	0.902544769282378	0.98806089683761	0.513526547317159	0.973214786792542	0.425970695820211	0.193343719969024	-0.066693368819195	0.980559052623482	0.745185258398115	0.952167326027867	0.944176527686515	0.867602618768149	0.626263576595871	0.452181115212894	0.398252796296539	0.955055038938045	0.981599714705069	0.968975450544711	-0.399159313233065	0.869239966774344	0.988152307336293	-0.306182024177869	0.958890562237706	0.315957752244434	0.37842912738174	0.835446629321184	0.540999295058829	0.268493373441345	0.495420825205214	0.962842561785334	0.877338900478004	0.740147709419593	0.958505954233266	0.984723061929912	0.42519451218573	0.657775734930303	0.313210781157018	0.838732335945876
TNFRSF1B	0.747388304576611	0.945705888683923	0.56903667684393	0.863798910784575	0.855887449240894	0.957650688898784	0.921144341705798	0.975555816504945	0.889016360755041	1	0.563414361714314	0.760036204042379	0.95444616269444	0.764229565597771	0.888477794393806	0.809164250795634	0.90400861301061	0.318719052069915	0.825627986458688	0.846737381388977	0.87363885181862	0.925615154377851	0.45663859060611	0.854113496762025	0.278501025509736	0.150385878656013	-0.316751022714288	0.934528703161347	0.68330148858024	0.847027820403071	0.837394614792493	0.944030136108818	0.536197100580925	0.117498671749103	0.186027385818537	0.927027914295015	0.883006917670205	0.790963606258941	-0.372697019774764	0.602561063499892	0.927138762563155	-0.291690536652441	0.82276334377025	0.163489724457249	0.394400345552138	0.703175416920586	0.46413389084225	-0.0965444285237988	0.333906846041894	0.867058030373239	0.904873355862232	0.620929391818369	0.839530290701233	0.939437988344119	0.376946047553345	0.587943121518526	0.160171580105553	0.825389265323975
ADRB2	0.89340421801262	0.734203024629353	0.931055391216501	0.844652686636145	0.87464736542689	0.690524240853448	0.784041960550455	0.663215227874509	0.830887155632951	0.563414361714314	1	0.904171523744446	0.641866844764309	0.808139792431878	0.824095038722276	0.871661342120381	0.778133385038469	0.560321862606715	0.663828391641656	0.805743875183658	0.743981007265981	0.768525305482242	0.669220768004841	0.838930849019532	0.573321882169504	0.439430579530947	0.370518570848968	0.759642873917587	0.730373471295066	0.855323860176292	0.826370063189123	0.577848989583065	0.639799753737484	0.78430558590363	0.636087921072482	0.728745849470714	0.825868332816541	0.918608731074339	-0.249790971743688	0.956978818015665	0.772405069545302	-0.186275991673802	0.84990955000494	0.58516111076766	0.405256785198758	0.879663720821222	0.549354385397469	0.663902440054385	0.728910722566318	0.800120828146616	0.65839174546042	0.749333117137079	0.836909086103114	0.776240761941903	0.388367879838503	0.67366597406137	0.577480299350838	0.674952079165849
TNFRSF14	0.949851301397125	0.865170549794562	0.903790294002986	0.933631145160174	0.947049502437546	0.846343481611784	0.910438058609502	0.824931902984663	0.90792329105659	0.760036204042379	0.904171523744446	1	0.798668608993891	0.918190279403097	0.938197612276127	0.93687450939685	0.903416140653796	0.570752200547445	0.847599003303595	0.920208527355799	0.884970645659235	0.893589622939246	0.644317936727507	0.891721946116467	0.529228612306015	0.434651118494399	0.256511570076083	0.884342848184323	0.726638223066245	0.953086516541513	0.864601411690287	0.758515197582714	0.694342250930373	0.669168591358474	0.616716910761485	0.825614107673797	0.93028691747605	0.923502197180901	-0.395118803404486	0.936283307966237	0.88924067790035	-0.353811365193921	0.932024758860213	0.575881762690279	0.347694216813364	0.872769142194249	0.538215706723569	0.443177973168163	0.68994357341121	0.914727770142477	0.757637572548308	0.753515643414651	0.919376285170635	0.910866547532734	0.475964014283955	0.676694137159524	0.499395528417482	0.73949305691162
JAML	0.805105906693251	0.978221162609689	0.691620300999029	0.924524106340436	0.902537520021441	0.985209740572804	0.95922827718529	0.986142499907715	0.953143603148204	0.95444616269444	0.641866844764309	0.798668608993891	1	0.837778153051256	0.937957735985527	0.872382690234336	0.93103382077104	0.385211781617418	0.874487024168466	0.894373354416304	0.900423819178904	0.968932226383377	0.428339420316233	0.926219579774173	0.317891139454992	0.115714393760506	-0.249541771317594	0.9617155603372	0.689370792325205	0.873309552619497	0.886755268090163	0.936300353797775	0.583644792629862	0.23623689953312	0.25754410048689	0.955660713969168	0.943028692360691	0.870128500367511	-0.404888395302173	0.701435442895849	0.96380198952844	-0.318170467341502	0.877621069015178	0.204135362697676	0.381965137287808	0.734338288973529	0.519809333834045	0.0309704988605956	0.362100351442166	0.911648693103971	0.894957318101295	0.69065664124438	0.879578350382237	0.967056707636833	0.435327930719992	0.607423247269065	0.188942975724139	0.828444702193338
ITGA1	0.871346818039763	0.877353555914449	0.851110302052268	0.91601509155957	0.887636299197629	0.878253904399461	0.89725502401314	0.848250706411214	0.897530909085384	0.764229565597771	0.808139792431878	0.918190279403097	0.837778153051256	1	0.91503539020301	0.885693567220685	0.856436390798499	0.715461751985926	0.894466727616125	0.85883074479947	0.908426800416037	0.881315892309801	0.527587904874055	0.913370554701586	0.512493644062313	0.24732923563752	0.220267514547549	0.873288324885144	0.735763557256527	0.891938229005167	0.829229511138935	0.783462922653959	0.802477911281566	0.62705698951556	0.605767084252817	0.82549521953803	0.934570870381532	0.892347810499924	-0.353394711122353	0.855787659346133	0.877666420846743	-0.289958964321768	0.871795487652888	0.500041868213594	0.316476389388183	0.822215352618511	0.545863050285697	0.365254495237182	0.505768303661651	0.862811852506661	0.720332658143405	0.754116731668749	0.845884048661213	0.895929281933495	0.637219253304789	0.679808439948594	0.369986930466216	0.697317187039227
