""	CD3D	CXCR3	CD2	CD3G	CD8B	CD8A	KLRB1	DPP4	CD247	CCR5	CXCR4	KLRD1	CD53	TNFRSF1A	ITGAL	F2R	TNFRSF14	ADGRE5	SIRPG	CD47	TNFRSF25	CD4	TRADD	SMAP1	FAS	CD44	S1PR4	CD226	CD69	PILRB	LAG3	PTPRC	RIPK1	TRAF3	PTGDR	SLC16A7	SELL	RACK1	ITGB2	TFRC	ITGB1	ERAP1	ADCY7	TSPAN5	PTPRA	TSPAN14	CD81	LPP	CANX	PTGER4	CD63	SLC1A5	CD74	MCFD2	TNFRSF1B	APLP2	SORL1
CD3D	1	0.77620494297613	0.914314766639329	0.94087713728906	0.724348374586901	0.42541948003501	0.627721831351799	0.736165789125586	0.893268731314578	-0.213367564238935	0.631311873172582	0.187522778236032	0.647680647464705	-0.170885458198382	0.2747657382136	-0.512560722636902	0.735827257603485	0.768092531475852	0.756726541155477	0.703574128659521	0.642005868778151	0.461847187742715	0.767693608292174	0.667725432358759	0.317890805860068	0.403852924405365	0.811991723015292	0.709299489520886	0.527301652047498	-0.293881720955209	0.58381196990978	0.504970906480366	-0.0779460759814914	0.0114608970234866	0.437090323854126	0.661444836553227	0.65364278165936	0.749354382276419	0.141370327802674	0.257507409092751	0.234775787016664	0.0692386497617181	-0.193055376524402	0.314248811998283	-0.145746367120307	-0.095198230303115	-0.0515103047782428	-0.0709518163001944	-0.118662499342932	0.464875379207471	0.210448224128269	0.252925085049975	0.00644173344704915	0.100361720524063	0.388232255776823	-0.093842452945623	-0.216224835338987
CXCR3	0.77620494297613	1	0.647070728669467	0.669258897810307	0.647593700788443	0.356854057478769	0.404313031207838	0.428207706515293	0.743987491075971	-0.107370193615057	0.416908793243364	-0.153397274765575	0.466419140742974	-0.22249233681683	0.418300057848076	-0.288727099855195	0.558497468741921	0.374694878898794	0.829990007646343	0.458422620192132	0.345564046596493	0.217118196670877	0.605721921259137	0.575590078976593	-0.0104803470356774	0.295565088073062	0.687250797972505	0.352119028742938	0.25118466879313	-0.388353649870435	0.579904325215574	0.0784967288059022	-0.12409166070548	-0.0823000698089158	0.1891280398012	0.385908800105299	0.545884975905103	0.59210973359938	0.189283199126928	0.040023214524699	0.0593762152639552	-0.191852759954757	-0.427893495170737	0.233610711887255	-0.306365601643259	-0.372653173200724	-0.0727707672293496	-0.178004386869593	-0.220375336098599	0.264054615037861	0.0959732240290251	0.0152124025101363	-0.0570992872108981	-0.0575970029329956	0.248782898722203	-0.150208670656221	-0.270947757328172
CD2	0.914314766639329	0.647070728669467	1	0.948632390539684	0.715253552457598	0.489451732220331	0.673994803866041	0.69428966781487	0.884251574439272	0.0285031882341671	0.688090340371096	0.369942971625332	0.625130678754131	-0.145231582415802	0.227868763970441	-0.398822838108665	0.688780739644312	0.800501857366323	0.645128733505404	0.662804929859302	0.607915988282109	0.464971953248448	0.776350873590025	0.508786581817539	0.399167887913076	0.508279651237808	0.674320075884965	0.66947891423826	0.493626269137069	-0.227787309916835	0.63507029815896	0.591991607037678	-0.0352194946124921	0.166217540420388	0.662783353612877	0.792648297312177	0.614520920815857	0.626550703635092	0.122120239540025	0.189737706501657	0.266458657940063	0.21919510798636	-0.129546960356834	0.20803455183979	-0.129038641673137	0.0250144950373906	-0.0621404176970302	-0.122307264712627	-0.164508188357123	0.49107860702057	0.148462432218553	0.243862841659997	-0.0076536085190595	0.0600380950223423	0.350313710711265	-0.137716852958058	-0.306605028439548
CD3G	0.94087713728906	0.669258897810307	0.948632390539684	1	0.621212849455255	0.397919846986218	0.714427292917708	0.770856115576865	0.857583825909195	-0.133422957485234	0.697618204092148	0.282109707248428	0.621973760474592	-0.145968628869959	0.256377081657557	-0.456224259403522	0.689516579015307	0.793068240584414	0.625046970083789	0.712821190265931	0.688065370433659	0.464324110392111	0.812517110650577	0.556385128123272	0.440726425036128	0.46934531846694	0.748482851671427	0.720578057739668	0.54215148948518	-0.291309970362541	0.610696707449038	0.588155794077029	-0.0952841628448891	0.120322195299897	0.598661547623567	0.709242046063241	0.640056440540915	0.683244694034233	0.10561217831466	0.214669776326923	0.269158355849427	0.133722632231992	-0.102106887797663	0.195292065883952	-0.145630851848213	-0.000193858606869003	-0.0883595468842802	-0.12996374356352	-0.160786569057901	0.500751495571131	0.129201819556446	0.217769641820504	-0.0416654846955839	0.0761079534970303	0.347893615934192	-0.142127863728709	-0.271401239354867
CD8B	0.724348374586901	0.647593700788443	0.715253552457598	0.621212849455255	1	0.800868377865257	0.110574331097123	0.204892223883468	0.761113709573112	0.378982482922607	0.245069777861906	0.397164175534266	0.470275030953037	-0.205122005007065	0.291954646536411	-0.162484078632214	0.479921336900643	0.492487190080383	0.71585631247555	0.407083899443767	0.144261294040643	0.110372548497946	0.403685492617546	0.420850729737268	0.244234427718558	0.392400679481033	0.631294641189535	0.220137059957489	0.117382527227509	-0.00522298211866425	0.526795213018701	0.349337466207617	0.0925012440357937	0.000162784217766943	0.440833633146436	0.371510412581289	0.350703677337361	0.404009936820465	0.127434050253645	0.126966047128157	0.135984381842033	0.00951042023639523	-0.213304188372019	0.366345164855511	-0.222483888565686	-0.182794832479665	-0.0607460184288608	-0.088990036289251	-0.171860603487179	0.0186592984172775	0.089889303808575	0.340883304798682	-0.012725907085718	-0.0684292603745951	0.190772063472265	-0.17614499908743	-0.234505678741748
CD8A	0.42541948003501	0.356854057478769	0.489451732220331	0.397919846986218	0.800868377865257	1	-0.106656950915686	0.0121641547004537	0.378610712595161	0.620270028488495	0.0178113050196496	0.53805454716308	0.263558097452729	-0.0681046565112898	0.361084988271681	0.202286520049755	0.459637734286881	0.404095133629558	0.312736481759568	0.151006205075138	0.0569711433511239	-0.00527431616192389	0.103505851630146	0.153077306072018	0.301997451414771	0.487221682980974	0.320985370942402	0.010857929478279	-0.106706521486136	0.169106095068035	0.407026136005017	0.451491124701141	0.180782624738029	0.375218023100251	0.483353790364686	0.160665876225097	0.019345257729764	0.0690414503060677	0.0555236992370979	0.0919686602748029	0.107824472842581	0.190707581374955	0.0702979007956166	0.376108496959069	-0.131765257846695	-0.0322240579429828	-0.0498709946181268	-0.0224715282935283	-0.119532452325038	-0.121257841774059	-0.0293161567721551	0.554748514953599	0.0361724815366755	-0.0964870556742564	0.230298078667863	-0.168480995160918	-0.159293163883357
KLRB1	0.627721831351799	0.404313031207838	0.673994803866041	0.714427292917708	0.110574331097123	-0.106656950915686	1	0.82264768236636	0.501371548164015	-0.467144718649067	0.748627959955644	0.0336388670204123	0.425181329196475	0.00318842038691778	-0.0837998562361462	-0.64837836957479	0.570526758116405	0.576847883168913	0.452259930684009	0.422200210262972	0.815767432156477	0.482973674965153	0.866173010288403	0.377913516576293	0.0520338463207612	0.107256201050512	0.54943932575281	0.784444528592294	0.560991748989918	-0.507964045560969	0.317370493658918	0.272515652262739	-0.35693554942274	0.138980210209333	0.397822175482116	0.664999978969013	0.415590797949499	0.529936794040535	-0.0625813647337238	0.11440473092068	0.0652677077621095	0.20532100829531	-0.0969432579578744	-0.0638902746868036	-0.125264667979762	0.0268519448918964	-0.12069612614299	-0.182838674321281	-0.174001487893001	0.610467870651711	0.0276836083773685	-0.188045505817103	-0.0806257483664935	0.0557404161373138	0.310479704466097	-0.120096687045829	-0.280585085127715
DPP4	0.736165789125586	0.428207706515293	0.69428966781487	0.770856115576865	0.204892223883468	0.0121641547004537	0.82264768236636	1	0.495019054462257	-0.524063042649932	0.725079179705798	0.0290920570502265	0.522029920987903	0.0401058444040304	0.158801020488131	-0.565746055113379	0.715002025668557	0.73230297106384	0.387368829890038	0.560701551718249	0.885181132645391	0.659138972229993	0.734572925365245	0.530640876187749	0.254852169425823	0.305250290588295	0.480245642233615	0.869498240123484	0.669566803861362	-0.388339224114874	0.24151334799722	0.522831634380098	-0.176511135845249	0.218111242332943	0.385952067964971	0.685433754604101	0.540509065223512	0.616171145671762	0.0615765813007828	0.314012220601379	0.231427071204741	0.255426781340808	0.0324806879255175	0.24068914221012	0.0265025404533931	0.106272347289403	0.00311304029520488	0.0524386594894469	0.0321927470594585	0.717695780642377	0.205979759024704	0.146290032524908	0.058990365560378	0.207592602467403	0.427950148333539	0.0456164402496311	-0.0800575788329101
CD247	0.893268731314578	0.743987491075971	0.884251574439272	0.857583825909195	0.761113709573112	0.378610712595161	0.501371548164015	0.495019054462257	1	-0.0226257228735678	0.558689787655281	0.260921159459849	0.579218077900244	-0.243458926339675	0.201359112992383	-0.441653661141259	0.474763918384495	0.607170155569658	0.774574762668455	0.674946345882711	0.405358980488004	0.320982242056805	0.673817424114732	0.542964951275545	0.311208416018538	0.333819229788642	0.790410269469933	0.507191279892546	0.418015144851886	-0.241250335418141	0.605179170440081	0.38706094792215	-0.0276295607856077	-0.122990467296361	0.473898640481493	0.653916056768064	0.6551667644621	0.663639611126682	0.167572126241638	0.145287169755698	0.205165878658454	-0.0497204980104575	-0.253172756664792	0.176032048659547	-0.206674959771681	-0.124269055405263	-0.0836690155444724	-0.16023157369149	-0.19122833047756	0.328217227812396	0.14999711436568	0.135423239747829	-0.0542128702053765	0.035056824902641	0.229743903229987	-0.160781615547092	-0.275538885038528
CCR5	-0.213367564238935	-0.107370193615057	0.0285031882341671	-0.133422957485234	0.378982482922607	0.620270028488495	-0.467144718649067	-0.524063042649932	-0.0226257228735678	1	-0.314583939492547	0.461833090452182	-0.135428846394123	-0.0859292291733574	0.13684070828993	0.511789448411599	-0.202958029292748	-0.125998953463563	-0.118564351207822	-0.229519786287695	-0.473533358681037	-0.354278111320052	-0.3085892979154	-0.356850567668233	0.199546172116993	0.245205953841492	-0.225340001376726	-0.49377899670515	-0.458376118217478	0.390425888111608	0.218681127556756	0.0681740677481462	0.210381426036979	0.199707697415754	0.332009227151758	-0.109148338409948	-0.286339912830127	-0.42442094008008	-0.0297698544300129	-0.229972135825643	-0.0223434279967837	0.061866806661791	0.0508630145984088	-0.0226268934650788	-0.124329583626783	0.00137242759674738	-0.068770674529029	-0.119742087929866	-0.161236619129949	-0.424216608647036	-0.218446542220308	0.188605163050747	-0.0887772998921262	-0.26877225566941	-0.193709762864212	-0.198858161947387	-0.153336267937551
