""	CXCR4	CD2	CD44	RPSA	PTGDR	PTGER2	CLEC2D	GPR171	CD69	PTPRC	ITGA1	CD3D	CD3G	CD46	CD96	ITGB1	ITGA4	CD47	LRP10	SLC16A7	NCL	FAS	S1PR4	KLRD1	LAG3	CD74	CD6	CXCR3	ACTR2	PTPRA	SIRPG	NOTCH2	TNFRSF14	ADRB2	TNFRSF1B	LAMP1	CD8A	ADCY7	SORL1	TIGIT	CD247	NCR3	VSIR	CD226	CD8B	ERAP1	PILRB	DIP2A	KLRC1	TGFBR2	JMJD6	CCR5	KLRC2	F2R	BMPR2	CD63	TSPAN14	PTGER4	STX4	CD151	TSPAN5	SMAP1	EGFR	APP	MCFD2	CD81	RACK1	TFRC	ATP5F1B	APLP2	PTPRZ1	HLA.DPB1	IFITM1	TNFRSF1A	CD82	HAVCR2	CANX	CD9	ITGB2	C1QBP	CD4	RIPK1	LPP	CCR1
CXCR4	1	0.949839688522512	0.910924349550086	0.892475632562998	0.558007827469569	0.899402895808971	0.901477822951705	0.926579274065926	0.971715299528484	0.929494757718773	0.632534639896179	0.944229755590231	0.928397580628205	0.638791346534446	0.912885471312258	0.747944643819352	0.934060619508594	0.856766574891784	0.681255683593909	0.834409003826201	0.557167817903621	0.875643176834645	0.889643661440599	0.504347149133123	0.887349021389836	0.499993778002288	0.876022004490325	0.931788286153736	0.744626983777043	0.457295830157377	0.798247592367551	0.4836303547722	0.884931601245742	0.85705147105182	0.89771841742518	0.537583846139391	0.841870528669334	0.86930967278051	0.708559282676915	0.669347051013367	0.513496496628444	0.78588041559099	0.825846835162125	0.85740390881881	0.833872286662791	0.780455223802188	0.648186327297373	0.580430291623266	0.456391512964145	0.853977850941809	0.205134106607096	0.365179056733309	0.239378801017431	0.667895351891256	0.337984103661452	0.381519891292053	0.945958503311718	0.916234036750941	0.282484581254724	0.112472772023309	0.602642037954049	0.798949964980112	-0.215215412157966	-0.094276915023079	-0.301357297642269	0.535381698225331	0.839411550038539	0.501844977038408	0.322500669659147	0.0940610559362102	-0.167479146148747	0.616267500686599	0.821836141210251	0.490337839872079	-0.0660952411486175	0.544288290889597	-0.0746615124330934	-0.208812180598663	0.770383481940955	0.382944804878953	0.851740222301176	0.737694520048108	0.224161548049438	0.279510548196254
CD2	0.949839688522512	1	0.932752499281862	0.776758749107556	0.575988779449395	0.845323730865023	0.856572971099761	0.890901531207239	0.913873893454214	0.957481011764267	0.773329157453622	0.910514276626295	0.904006295777151	0.552779038106565	0.939997462371795	0.804618246222224	0.90974657396677	0.805179533135764	0.70247743617533	0.742820025886474	0.540273583135629	0.909138619121836	0.816111765141221	0.579811270142726	0.903250141121741	0.511920993411411	0.899993209392219	0.952639377087067	0.770987615136789	0.440533629256091	0.829258061969714	0.444929507912731	0.842476029142088	0.823888408496494	0.880902720216774	0.472257301152432	0.848494225694976	0.768078518973259	0.718347729593407	0.761247987024812	0.604475378103423	0.802960875131614	0.85258142966797	0.846885545882256	0.837469478556307	0.852102720902283	0.605344603094701	0.569503367089964	0.516374109354221	0.900827682481153	0.279825438247944	0.526903565341463	0.32223465173875	0.747961471238115	0.362077219974299	0.375975359913429	0.945004828610245	0.893834905236909	0.291471175258046	0.118045156506779	0.514324634816084	0.753797501414924	-0.230550072906959	-0.0936118662501182	-0.350552738958856	0.577654547228009	0.71506546679604	0.512460858341107	0.305350154538032	0.123183819985646	-0.176353076303597	0.624158703145979	0.845434298125137	0.522715578831974	-0.0633014765784988	0.590725081923452	-0.094857477391668	-0.232198103461808	0.818466440674581	0.343286034659743	0.780640163652218	0.771281994297468	0.244058979899487	0.390675659657991
CD44	0.910924349550086	0.932752499281862	1	0.71097507410694	0.70915283349196	0.712489269453618	0.78504997241136	0.83493508108999	0.831488474040869	0.970137798582422	0.803659396695544	0.796602682614245	0.782447765108523	0.582574007546423	0.960011357719085	0.889546759813582	0.87969414669418	0.852951635549044	0.736832726190118	0.748009897986306	0.531212928987048	0.85942443002452	0.851465120903168	0.719845421140553	0.785481507493367	0.577431798133798	0.759289623097912	0.906261222331932	0.784828522582628	0.492668700686058	0.67611588490064	0.588192947471401	0.834992114182262	0.916027576290121	0.872548686251918	0.496889983896582	0.700208699533057	0.825262609641302	0.745916031306334	0.853208406683686	0.75108152983052	0.786455493779088	0.779488882134453	0.686058550410789	0.699324914850636	0.850288987710625	0.769945421326931	0.549113312233471	0.672527574182213	0.870989726672632	0.368918431685682	0.573353195035802	0.518952920182718	0.751376311741271	0.319888430863031	0.474814328120757	0.884098752206402	0.77881576655516	0.262364308625063	0.0485645738250173	0.523598123916549	0.718019576060648	-0.157288780060213	-0.0786937578737577	-0.368508149337739	0.6973923475236	0.666339000078065	0.359699362843569	0.295884696405212	0.127624588624055	-0.10266806759086	0.701079585529761	0.898460824916998	0.681152385702096	-0.00578130470656606	0.739051968105711	-0.027288069033871	-0.185898214993761	0.863304834191152	0.247738143062254	0.773538069992161	0.683578735771616	0.368262220485947	0.581172565047549
RPSA	0.892475632562998	0.776758749107556	0.71097507410694	1	0.224797836826222	0.909972657368217	0.808230454562708	0.82373404689925	0.914326080008469	0.694050439974545	0.366232567787465	0.899346487279758	0.890259519672169	0.655538609951653	0.664067258426121	0.522274752483189	0.837497710339485	0.75173580232316	0.513108758989477	0.808373548032668	0.636655736216072	0.752123575583835	0.761278650974991	0.154193200178712	0.75323567204885	0.412234666825341	0.830984331974965	0.822257815373813	0.721615940071563	0.45650074569812	0.732469404913759	0.455456570184761	0.81059138996232	0.619347516079638	0.838082897373135	0.641425872457903	0.792426873300332	0.760347554893107	0.565379037987438	0.316970839517802	0.152193404970661	0.69582289447456	0.794784221512908	0.881868815075171	0.784534051733688	0.581251408818588	0.485071573874507	0.554241803212257	0.151994077746884	0.675948512712967	0.33216507203351	0.000263487307404337	-0.0656078669597566	0.441978976727697	0.359592269392894	0.468434192349745	0.833292674212711	0.878380211727642	0.435414842506129	0.247251293563174	0.614562975158299	0.832274418951465	-0.156228264417797	0.0417840779027475	0.0343685800943313	0.423137765483865	0.973512215536257	0.643235888537665	0.480940731265065	0.19450319274113	-0.121004818167167	0.476887955744732	0.607151092867922	0.303473861201113	-0.00686897251827224	0.345730080175958	0.127299106588901	-0.0505388012511545	0.578869125267055	0.637109321915741	0.823198725685809	0.699332819995527	0.132950707750632	-0.013477119296012
PTGDR	0.558007827469569	0.575988779449395	0.70915283349196	0.224797836826222	1	0.250092020888449	0.487967605696219	0.613062674652953	0.471408525422525	0.699039817520584	0.68247388388982	0.365953558707769	0.360504956568821	0.347579844258419	0.747926856850919	0.735266587574766	0.566745087214649	0.542530995719209	0.535314294742494	0.525528932224124	0.132133479555742	0.426760207383098	0.62445838763154	0.888702863855113	0.459848828902203	0.419161273116488	0.365574560723348	0.468044127641931	0.385704073189599	0.225819750750944	0.318904380956115	0.30200305480718	0.461899455033263	0.727052073532994	0.459406507906178	0.18243476265167	0.32122745844854	0.599505924949319	0.496295823721557	0.799633460071291	0.847708375075538	0.427961838114881	0.358596798902926	0.239140247668288	0.284115054014782	0.582641772074669	0.651030538419413	0.237701344061957	0.831761999750178	0.59000432614381	0.0713961654650816	0.56201880292394	0.663790939496753	0.650027128900854	0.0679457991975577	0.17190751919085	0.517225978656897	0.369652489379616	-0.0150644116576508	-0.239195421730901	0.221864424677904	0.260311605008284	-0.185016407924433	-0.272363919258631	-0.580957589595912	0.48160130547864	0.164081778297357	-0.147807939253785	0.0652807078860812	-0.137363002242072	-0.147392928170468	0.544003305073893	0.710897546044147	0.637421612076461	-0.133201872675776	0.740110220311215	-0.286337344195869	-0.294428539017409	0.640419304713434	-0.286912367635791	0.469919139145684	0.244110031884129	0.334746652645451	0.599723173809334
PTGER2	0.899402895808971	0.845323730865023	0.712489269453618	0.909972657368217	0.250092020888449	1	0.921140503948316	0.844547831343204	0.955684426286666	0.763702512313511	0.430092583791603	0.943366417777675	0.967382932008137	0.646963098570152	0.70913731600604	0.472745947451415	0.78351616481358	0.785301913854873	0.65673835981837	0.778007959181343	0.699489983018208	0.825875497679871	0.6406803522461	0.128588807122645	0.88148307150061	0.291870520727394	0.900914009025991	0.803541000904633	0.6844266923232	0.527222585293034	0.921750346692874	0.359830578729767	0.741139832859365	0.600031869715541	0.741259809087067	0.571867361222131	0.953183172747936	0.653505704782113	0.628423783380175	0.424372203315744	0.143713058382194	0.652624199672271	0.749336593598551	0.938800897730457	0.947284115360406	0.729649699192697	0.373258272621043	0.700086295822658	0.0743197809367985	0.813526967469963	0.13009140084827	0.192583800429706	-0.157914776792725	0.492690088797992	0.455009678238065	0.365466820595405	0.891661862137945	0.966623869887235	0.463127174058094	0.293179478690963	0.662598702466297	0.863449068487045	-0.122750652502996	0.0866196367758333	0.0153467182992594	0.319117183718091	0.888559319505547	0.764439995072873	0.402866867129819	0.204230676814002	-0.0759237975823718	0.346071784640995	0.538440460896006	0.219648212996174	0.0120864804786168	0.287877473741286	0.122353803556257	-0.0483501391125529	0.482138289108225	0.64239287884583	0.703629737454687	0.863401912465213	0.100454443784457	0.00468303600140311
CLEC2D	0.901477822951705	0.856572971099761	0.78504997241136	0.808230454562708	0.487967605696219	0.921140503948316	1	0.882623146036764	0.926719856499665	0.837304901767978	0.518240291691944	0.895119897014818	0.931764525384478	0.661973028836632	0.79637115390187	0.566972017662834	0.817456474108934	0.87592888709705	0.804682337690837	0.822786488583966	0.685722832263321	0.823107973124274	0.647161935186342	0.305465970823092	0.881861160810926	0.351910802268746	0.85033287514737	0.764225949633094	0.644046855709533	0.567058337256352	0.914190416343595	0.368778533480593	0.734496518778029	0.683138574591224	0.705392452719547	0.567131695989082	0.931784248337607	0.665386323765736	0.721335552722568	0.591912030645445	0.315173151884928	0.589876749217897	0.705880576455072	0.885667921946912	0.939625939243443	0.833444352740658	0.485692805164097	0.752178881921076	0.235894720877581	0.889425526015944	0.0660552666162045	0.321489172586808	-0.0358122501814639	0.59483824268448	0.463987668032412	0.358329661531538	0.888690827781736	0.944153109529866	0.437092074994601	0.213212333779318	0.671734142366184	0.832320314690631	-0.0905592100984305	0.0659990723280043	-0.111011502409142	0.372974084412408	0.796590511864464	0.66858876356569	0.338442485289909	0.175120692176256	-0.0342064584220414	0.406290305894453	0.579811838590055	0.33011573248652	0.0304925670752605	0.429659866792983	0.112683595802078	-0.0595082226227923	0.51888946001674	0.502388867626206	0.720003821549561	0.822775223749481	0.222178110066994	0.150908345049268
GPR171	0.926579274065926	0.890901531207239	0.83493508108999	0.82373404689925	0.613062674652953	0.844547831343204	0.882623146036764	1	0.938369783971932	0.830565972346424	0.615541128859092	0.918506032559778	0.919897220640023	0.719944782713169	0.825497466825575	0.689346515496618	0.874227160581137	0.816220727000591	0.655066903241194	0.885769384718809	0.540221893417539	0.758334085279644	0.803869970398876	0.450578653245418	0.881486260612381	0.417863718890858	0.907464058390237	0.817937853275381	0.753528293549985	0.484716067461782	0.805623782647261	0.454944602652485	0.845250307450169	0.7520658822976	0.860574883933491	0.624245007625053	0.841448148967829	0.753371930994748	0.695245858416452	0.581079557069746	0.44117187047277	0.624135610719543	0.763927974648537	0.856731455225249	0.785654540299804	0.745854227195669	0.589082622859246	0.565435849737483	0.401311757247845	0.825327505485729	0.202562508871932	0.30183149903624	0.128728610253063	0.734814959807018	0.42554641523803	0.398742311033681	0.935320707926896	0.895555716517142	0.375650307312523	0.231191675950442	0.621605448052278	0.748314017182984	-0.139302443225292	-0.0138111174179754	-0.266203981853036	0.523039928499244	0.76038417851894	0.50556501291109	0.452705111974368	0.167648090863357	-0.0922851460681693	0.488795301686979	0.706783847206735	0.491599473247131	0.0289656135049393	0.572708370307737	-0.0512462018573379	-0.118545345182149	0.73306557031374	0.347874226285532	0.863420847500881	0.717401199657338	0.28940193361206	0.182900617234153
CD69	0.971715299528484	0.913873893454214	0.831488474040869	0.914326080008469	0.471408525422525	0.955684426286666	0.926719856499665	0.938369783971932	1	0.86130174761936	0.56123209659995	0.961876945509009	0.966677232861626	0.683449723901319	0.838082847019209	0.638934358551062	0.886059478730196	0.827033610557508	0.674466744315411	0.865753144961179	0.61661369542266	0.846429271026222	0.793735864421267	0.355811266754639	0.896840100015076	0.384088914200023	0.902818061798167	0.877967210967646	0.729702982715114	0.497004043578123	0.86392695926473	0.431204376975618	0.826673817215601	0.753139794438402	0.836136979825639	0.578827737086219	0.91220526353595	0.783110994939273	0.688070516393311	0.558604806101274	0.359984148452895	0.728529989264982	0.792896509474346	0.910656132080776	0.889380406140868	0.756926690912998	0.541397969186078	0.637071788535875	0.30075954160499	0.855747523868598	0.169441580050722	0.266515614281734	0.0551343828934904	0.614253287962841	0.400417401467391	0.378450518229236	0.949266245158496	0.959696885804344	0.381441859714735	0.213493092471715	0.649707293281673	0.832524615689574	-0.175672370143743	-0.0166148552362816	-0.174466145669069	0.446620235129789	0.862197264115001	0.605936511434417	0.390561807114566	0.13421795540981	-0.126631155639997	0.469766411482417	0.708406675427199	0.380693100330543	-0.0281902849472198	0.4515957472125	-0.00902810689174596	-0.14183303805734	0.655582643093882	0.482136490389541	0.800937339026709	0.799294084596995	0.186979466836907	0.147755548595537
PTPRC	0.929494757718773	0.957481011764267	0.970137798582422	0.694050439974545	0.699039817520584	0.763702512313511	0.837304901767978	0.830565972346424	0.86130174761936	1	0.787606154632065	0.821911572631669	0.809964395015843	0.505145143184862	0.983033545054868	0.847949174710462	0.878259274596672	0.837028630012934	0.754791192174191	0.71400607334564	0.494549279324578	0.885596954928147	0.831930288906665	0.70570593314817	0.836853310253706	0.536276487247874	0.775431617530671	0.911213450197715	0.699408729146663	0.441006088936572	0.741847081718212	0.480664141571497	0.79447568257614	0.908668119460329	0.816430672890542	0.39238773482217	0.76133556158874	0.817913207826408	0.728322378663267	0.873347832357928	0.735419477287293	0.802707050904258	0.767274241219474	0.717577737599403	0.770701830417785	0.864379514900839	0.690448747372864	0.565032762817678	0.641099825552228	0.900793509218034	0.202205904419147	0.618035559095177	0.470028837343913	0.716628070176574	0.280088875545287	0.34851548901183	0.887216494687595	0.815968238282656	0.195615518328322	-0.0118047241841904	0.50344490259536	0.701810779114855	-0.227578888988897	-0.152447936599853	-0.428789545572298	0.585714653529667	0.645010705720612	0.375935431797297	0.179724631692346	0.0419607010364795	-0.171228951548861	0.671732270470221	0.887373489405431	0.586416102907607	-0.096941566167671	0.650099189328182	-0.120036161961648	-0.271619512752092	0.809199069190039	0.217054632771591	0.721326553667654	0.704403012052957	0.270080189514279	0.543633556974716
