""	CD2	CD3D	KLRD1	CD3G	CD247	KLRB1	CD8A	CD8B	KLRK1	CD44	ITGA4	IFITM1	CXCR4	KLRF1	FPR1	PTPRC	CD69	PTPRA	ITGB1	RACK1	ITGAL	ITGB2	ADGRE5	ITGAM	TNFRSF1A	CD4	PTGER4	ADRB2	VSIR	HAVCR2	CD46	CD47	CD9	CD74	SORL1	CANX	AXL	TSPAN14	C1QBP	CD163	TREM2	LAIR1	APLP2	LRP1	CD81	CD63
CD2	1	0.954002082836398	0.890339373948603	0.858676600327051	0.778233864775865	0.833762007965078	0.671963296548975	0.808884478067246	0.901771303865167	0.919580983815705	0.414695399883021	0.881681206114068	0.612380376967417	0.794240181111177	-0.45219803821952	0.476294171804012	0.629356219271017	0.0926692764008166	-0.0796697351659813	0.133066186628103	0.275341260584382	-0.147766318905439	0.893010085892804	-0.430538373395833	-0.0662429866046281	-0.21993202971922	0.124389749403059	-0.29925859749376	-0.39027395729432	-0.284650534274503	0.0792074593249312	0.511781806405581	-0.322302756740384	-0.380324080171793	-0.384567999734898	-0.0939617494007981	-0.414241232145622	-0.250116933393862	0.267067196952002	-0.274031433283145	-0.421968214473569	-0.354675276281708	-0.312130496223331	-0.360481686069787	-0.394153326981857	-0.449621584433198
CD3D	0.954002082836398	1	0.874714968613654	0.727376420465214	0.796126502018874	0.853413621287073	0.839831362349738	0.811987298277357	0.815420670764102	0.887032951657505	0.593012652158027	0.855330512662432	0.74877356712367	0.724213791620481	-0.345493452840066	0.523802875028293	0.745051296073309	0.113942133783527	0.0490250546756014	0.2125920882707	0.306582549619805	-0.0708981690974945	0.888984536291669	-0.360113182005146	-0.00830079047857324	-0.135874510563711	0.204228760632282	-0.225122183781656	-0.273422605045211	-0.212400109893174	0.167537643855388	0.680160741724044	-0.196438181634049	-0.282251977466132	-0.282104677385074	-0.0312702895096498	-0.31813990008315	-0.139958703329015	0.300251791323706	-0.180588386162972	-0.336101569262822	-0.264043115123847	-0.232971802027693	-0.28157083185212	-0.319626284057817	-0.376257740115537
KLRD1	0.890339373948603	0.874714968613654	1	0.731075537219187	0.960941497117237	0.905466613860274	0.620944203833884	0.77298573130986	0.92559386851375	0.80131781276891	0.449798738667112	0.976801428815932	0.554670269073884	0.929121844279874	-0.47271334566459	0.378692860223886	0.577912253671998	0.125936809810882	-0.0605547093736955	-0.0464305663479212	0.242043097826674	-0.153338726729133	0.729142040726254	-0.411534523366776	-0.186807433007923	-0.213560165158744	0.114804940806044	-0.276295221397236	-0.366400081873402	-0.286918844274179	0.00101524528784725	0.620548014153511	-0.385965353227089	-0.443764538183649	-0.43148486106556	-0.129337978528789	-0.428852769167957	-0.27074418361825	0.0893539988347032	-0.324956643191275	-0.427057329151271	-0.366667587059034	-0.336927994467772	-0.375793068035081	-0.412912735403531	-0.449455709284029
CD3G	0.858676600327051	0.727376420465214	0.731075537219187	1	0.594509087489658	0.730731622717973	0.335655519654963	0.826037597566092	0.906491459753627	0.870378005516685	-0.025403235570437	0.789442948971941	0.329915431437643	0.791159970257601	-0.374512995272713	0.464952729950743	0.380012125016717	0.292523117031594	-0.0722824716683681	0.121376910817613	0.412394594730198	-0.0946988478883131	0.810314712425741	-0.371232416412759	-0.0276702888421855	-0.160455108352358	0.250021472897203	-0.193914005135897	-0.376071424484249	-0.211185132876635	-0.00822848047725386	0.256715310097998	-0.274418458589654	-0.308910036646446	-0.306063525743753	0.0343158295574644	-0.37750816749837	-0.189336523302665	0.307258938581119	-0.214204249072104	-0.338505889059723	-0.232004607612918	-0.192630452431094	-0.248992560938798	-0.292937962739569	-0.332221443860857
CD247	0.778233864775865	0.796126502018874	0.960941497117237	0.594509087489658	1	0.92056547198898	0.58742336877032	0.696309290095154	0.859903831498258	0.692296360411821	0.444651293193839	0.949470413080484	0.499848013010538	0.921841336970658	-0.467185779821631	0.309324623986029	0.52243934779811	0.0425142381107997	-0.0607587701082174	-0.120210277004041	0.222615888735951	-0.15868764711887	0.602333204775183	-0.414008020584012	-0.243637385442724	-0.238571224699934	0.0767294100170463	-0.249676109163819	-0.319854987053483	-0.306840685783789	-0.00340453212803963	0.602551959534853	-0.393639448150672	-0.437975215309992	-0.421412796290924	-0.184808769940019	-0.412887565682552	-0.269553689925416	-0.0553696134218805	-0.329346636760145	-0.411815697190082	-0.373063342497771	-0.377387292978595	-0.415199783790719	-0.42445575664223	-0.450888892280091
KLRB1	0.833762007965078	0.853413621287073	0.905466613860274	0.730731622717973	0.92056547198898	1	0.614463756011636	0.844191817636845	0.889332947428597	0.827701326926003	0.351484837151687	0.934114862819115	0.549741348707013	0.911059438669539	-0.395857333922091	0.47063204868563	0.55637888333073	0.114672316812582	0.0430179508692696	0.0687843623251479	0.448976325712302	-0.0860724791951628	0.736321822982672	-0.369118142576607	-0.103530435492207	-0.161787663457763	0.244862024282771	-0.157565725288579	-0.271615883800408	-0.253663207119738	0.09615603734185	0.557001897817624	-0.278873548860828	-0.305522089355758	-0.301485159801186	-0.0860795908475206	-0.340888906851511	-0.167889243055929	0.0955495267914274	-0.206042060652666	-0.335228161665511	-0.27094649472738	-0.304501569473383	-0.335112720505674	-0.359463012434902	-0.392450065515386
CD8A	0.671963296548975	0.839831362349738	0.620944203833884	0.335655519654963	0.58742336877032	0.614463756011636	1	0.631699777019179	0.459226293588393	0.653263639337623	0.822264147629976	0.575773635514785	0.833621502201277	0.384497190544415	-0.00409177494479598	0.545688674851595	0.85495210949472	0.211573158599231	0.313899092044631	0.361482821881658	0.225867609532736	0.120131506694188	0.694666701861113	-0.105467761946613	0.172371664477853	0.111651501000828	0.305135702048216	-0.0352805051667334	0.0289895382896892	0.0375798514879624	0.380136558874724	0.775518259012202	0.132480766863496	0.0116531702342714	0.00980323258242374	0.131204889827951	-0.0235543328973666	0.139202691005208	0.347568589299114	0.0521305594406009	-0.0572093660074375	-0.00678249539678901	0.00237887679103126	-0.0238475266575099	-0.0673116496560767	-0.10616838287442
CD8B	0.808884478067246	0.811987298277357	0.77298573130986	0.826037597566092	0.696309290095154	0.844191817636845	0.631699777019179	1	0.838761239558774	0.885102856130527	0.235548772803308	0.840248450436756	0.581887234251605	0.777143272425525	-0.139474414897778	0.641611695720311	0.634495563408929	0.51556850605763	0.266881264667495	0.319932973732889	0.594302961507821	0.11216032474365	0.836267910817617	-0.175198064405086	0.138256204223298	0.0720220492938316	0.560242877772434	7.22606305996557e-07	-0.126235864146751	0.0194570858415769	0.209919795372077	0.565126895956722	0.0138691180898203	-0.0796504134815747	-0.0660916994076859	0.253106862001649	-0.158541005295209	0.0809220704171729	0.393697283747956	-0.0112375384492384	-0.123152281217939	-0.0131312381670388	0.0266386599780042	-0.024450746854733	-0.101783994654196	-0.126779325822079
KLRK1	0.901771303865167	0.815420670764102	0.92559386851375	0.906491459753627	0.859903831498258	0.889332947428597	0.459226293588393	0.838761239558774	1	0.861007517013973	0.15351530020703	0.96063949622239	0.398556889159334	0.961159102903031	-0.496865368014197	0.404601755804046	0.44963564269124	0.195924655578802	-0.114562768639572	-0.0293671140028121	0.311352355966193	-0.181027315757224	0.775571170228436	-0.46535537937224	-0.165244792663417	-0.244752634738798	0.154987089055385	-0.263595344734854	-0.414844333670607	-0.308893004034161	-0.0378788592270506	0.444634743539575	-0.395089592745161	-0.445271777349405	-0.437224883240869	-0.102031922125069	-0.473466202520398	-0.28793086368406	0.143497781613126	-0.352917624614216	-0.443548679033947	-0.366698271068585	-0.335825596566821	-0.389804612767573	-0.428324108558414	-0.4534069869333
CD44	0.919580983815705	0.887032951657505	0.80131781276891	0.870378005516685	0.692296360411821	0.827701326926003	0.653263639337623	0.885102856130527	0.861007517013973	1	0.321454224771154	0.835398831891363	0.586617482466893	0.753088035761437	-0.201061152593061	0.657183642281875	0.728991193041244	0.284483163695585	0.183218361873718	0.376446425632899	0.52892200048251	0.118794064938391	0.951273776982619	-0.196242521566085	0.196076945726455	0.0625501662455634	0.358330276973726	-0.156608090413769	-0.202876819648206	-0.0526217795307796	0.282084596285305	0.50443585805078	-0.0605045529622381	-0.10101145475755	-0.149299015783088	0.194284210586526	-0.165434232021029	0.00966275128462557	0.464769792057251	0.0212981017154453	-0.151215480086073	-0.0826009249123446	-0.0421802581305422	-0.0959234463309965	-0.124828867831519	-0.158379391517086
