""	CD44	PTGER4	CD3D	ITGA4	KLRD1	CD3G	CD69	CD2	CXCR4	IL2RG	PTPRC	KLRK1	CD8A	CD8B	CD247	CD28	CCR5	KLRC1	ICOS	CD27	ITGB1	CD47	CD226	ADGRE5	ITGB2	CD6	SIGIRR	ITGAL	TNFRSF1B	CD46	F2R	S1PR4	RIPK1	KLRF1	CD96	C1QBP	HAVCR2	CD4	CD81	TFRC	HLA.DPB1	LPP	KLRB1	SORL1	PILRB	TNFRSF14	TSPAN5	SPN	TIGIT	TRADD	IGF2R	DPP4	JMJD6	EGFR	PTGER2	CLEC2D	TSPAN14	ATP5F1B	CD9	RACK1	CD74	SMAP1	CANX	ITGB8	ERAP1	RPSA	PTPRA	CD63	APLP2	LAMP1	NCL	PTPRZ1
CD44	1	0.831775575027022	0.885601840845197	0.965535095817531	0.353180929763732	0.876040991432458	0.872535682215879	0.932393025628059	0.949199087694351	0.929374833873336	0.921588656987467	0.718944326333638	0.851987179852273	0.86559257781948	0.787892349564141	0.751430204231965	0.877106007026312	0.429443325524772	0.752806396210778	0.839139779373569	0.714205154452266	0.61952661089234	0.721849761808145	0.91656986678633	0.640991401779474	0.855363246509338	0.805226310912357	0.696357555385206	0.74322673495658	0.313886028583842	0.454513903599296	0.66440034702237	0.527982052945787	0.322843879783853	0.931429831878553	0.647110246486425	0.30233663692137	0.431757672360708	0.181508815394988	-0.0876029057746756	0.253366589838522	0.197340882690197	0.674575604564199	0.141600918630746	0.0291140798320029	0.802569021926086	0.417504098877842	0.773086175835414	0.783536586298136	0.769105585221099	0.467517817871807	0.72673544386445	0.935576143751498	-0.323547350727063	0.661757799226389	0.852108092968632	0.381523771675376	0.492163137489822	-0.180302861954207	0.665035268379748	0.0989798052835286	0.602373067711673	0.0586386046390035	-0.414092474946591	0.833509600270965	0.708255748974958	-0.0834977902874458	-0.135926976848901	-0.202536528395751	0.229067123332681	0.624852279127711	-0.417345381346247
PTGER4	0.831775575027022	1	0.924855182065254	0.780093844378211	0.294600068030856	0.876589480892035	0.912064517376763	0.918657764842066	0.940771527041679	0.910454836831875	0.948651414019141	0.453670259472459	0.732940927063717	0.851381527978727	0.879526946992229	0.867955756770403	0.728762843220383	0.344652588429795	0.93720255576635	0.814505317000373	0.660158070451053	0.744515639582709	0.865024859587244	0.94598551760947	0.771599848513433	0.875125109017907	0.916841627623696	0.827918894153708	0.867922245136412	0.542377795550379	0.336003192080638	0.868029409121601	0.246618980740366	0.144480285914296	0.944674507996158	0.741130612735923	0.481171131063238	0.684392741624324	0.275212796083785	0.082080422086784	0.356121203473726	0.281471007076343	0.886913553823631	0.263597650037684	0.0954512457007007	0.9156431581343	0.615066760283309	0.891000490791175	0.667554105636991	0.868531184803813	0.65141863996636	0.947952842181588	0.776342549095824	-0.255808539251807	0.868852766615636	0.908305794254977	0.726267024835587	0.632227567197223	-0.135762875238052	0.837507599826618	0.221245577814852	0.704593826694375	0.189998548126227	-0.362625292089939	0.775677876706239	0.894525835523724	0.00190760161471511	-0.0141084149610434	-0.0260251445054716	0.433682725490186	0.768270381890822	-0.341378151512316
CD3D	0.885601840845197	0.924855182065254	1	0.856865082921511	0.113218534910058	0.989519288546994	0.927676397300694	0.977499537400007	0.929520375907092	0.951066685843671	0.948228888194449	0.463785778328459	0.895470338290529	0.886345048505212	0.754732394368443	0.871586439531751	0.747586826860255	0.193801477242813	0.903500586432679	0.946178949312107	0.599239136518702	0.569551328279764	0.914612760864225	0.966055258792042	0.715137005910469	0.963172093654597	0.870880366716475	0.688327280646492	0.791463000100199	0.429954549765905	0.276242671097806	0.841366288046214	0.365052154347888	0.0107504347404153	0.95135966509504	0.647225540547188	0.299287871240165	0.627117877020233	0.204027048245995	-0.0489238516939565	0.302660424022139	0.138349613298763	0.830799308376213	0.150111845088531	-0.101400449592478	0.874853993255034	0.509887137003903	0.800442045716499	0.714544208360602	0.902555857397663	0.447485183509766	0.903239645821431	0.860677080804246	-0.315838374344175	0.800096064247832	0.907179392272928	0.529973373420162	0.564076706261554	-0.240278049263632	0.791238670996646	0.128654250881954	0.59508615453109	0.0542967380331954	-0.422597710016984	0.852899022708756	0.865567333552304	-0.100686432517711	-0.112802366671834	-0.176242362765286	0.31663824556668	0.647501686613246	-0.40549470660432
ITGA4	0.965535095817531	0.780093844378211	0.856865082921511	1	0.380391191995503	0.850750684043159	0.837714106364981	0.88551790674721	0.929899350647761	0.906689055526845	0.89902235962771	0.761469313868362	0.853520606905934	0.831235320330794	0.760429666020853	0.693937660868761	0.899213650040704	0.472454818748054	0.672448192804851	0.81733062904456	0.704635709896834	0.553328368763264	0.707744497740385	0.891635076858084	0.655636565934791	0.848452707750182	0.774996405896103	0.676897228895629	0.736390871054834	0.224137068961209	0.45854686408487	0.586754780107061	0.548781351927067	0.367702358014944	0.897217700664001	0.62699930173904	0.33024000539131	0.407718002803444	0.213495808730338	-0.121726610492321	0.299944338224758	0.157173701344541	0.60920482550646	0.184818423428858	0.0538476318221341	0.757102702568308	0.348874853848595	0.74357016047753	0.783837068325333	0.713991816397678	0.438858466206428	0.663758670905538	0.931366934112358	-0.364263334072451	0.550978197608002	0.805458463036724	0.308582366373173	0.495631414873506	-0.157202587455159	0.622275077684656	0.15150613904678	0.577748687666605	0.0490370292168357	-0.435670972492237	0.809469354340481	0.658596475136014	-0.0848148048441308	-0.151775341882529	-0.212739836763114	0.240310222928394	0.592358050589822	-0.445516061835714
KLRD1	0.353180929763732	0.294600068030856	0.113218534910058	0.380391191995503	1	0.0329552969785287	0.149073228613238	0.138950313565828	0.41258766327331	0.20840771847448	0.284996072119135	0.774778429566483	0.129555345347758	0.327515719877543	0.631894957235532	-0.0134519927953181	0.501700440396754	0.943072885578969	0.064700713386418	-0.0806228762129862	0.318563807804696	0.300201783279672	0.0228427693890713	0.238761381135193	0.205007504670542	0.156994357335071	0.321343680738953	0.650945904216543	0.350330184893884	0.0252317257696482	0.603906052273566	0.102543795711168	-0.0397360710875689	0.930740669755317	0.34577881620746	0.248984809003332	0.419923073770429	-0.195471162966529	-0.0072763062261215	-0.0188312053959223	-0.00747510404273349	0.216892776749199	0.0647489351854263	0.120266159577002	0.628154474051995	0.143660365568186	-0.0247342839279448	0.371834315338429	0.400639332504137	-0.0829949831619952	0.585882220289396	0.129223805214076	0.323556781568608	-0.17666733468756	0.0974103282194835	0.0835005653279013	0.142040870186862	0.149585788417554	0.103250470917796	0.0256022316369162	0.0137680163454249	0.260056516126816	0.0596722654872639	-0.16826253986441	0.0390619088551745	0.0077361788068777	0.0665511999871397	-0.000206266631721786	-0.0568598705051574	0.0311747640285685	0.325079019169687	-0.200495736333903
CD3G	0.876040991432458	0.876589480892035	0.989519288546994	0.850750684043159	0.0329552969785287	1	0.89501479358325	0.963233686968111	0.891598500985131	0.928023468070302	0.918358138178713	0.438226357669745	0.917798032928748	0.87714688819241	0.682076521463259	0.857593186393597	0.741529011505974	0.124491559696423	0.872680998155845	0.952168847349872	0.581761992031875	0.513026550808245	0.894613469351447	0.939356434273805	0.687567871572455	0.954505156829947	0.828746676672507	0.622496984716203	0.744807720451813	0.399387453511184	0.266946038521193	0.808300370952888	0.401882281201566	-0.061985325802057	0.923048331013423	0.610968075879027	0.256992038612377	0.60561488227828	0.199714949166031	-0.0759084523137214	0.299200138748442	0.117342155609279	0.782561582762101	0.128293612114945	-0.163912808969175	0.839339389115719	0.469277616992999	0.748018668284457	0.694877078046974	0.888519169360168	0.387905893240619	0.859860543506763	0.864322505400837	-0.312207791148776	0.757171688675552	0.882838407379166	0.4689839466727	0.538204003993385	-0.25264100058464	0.762218153582641	0.119718444848711	0.552733433335764	0.0269547446652702	-0.413930783996402	0.846989254370671	0.833009484678835	-0.110871912093677	-0.121018766091651	-0.191123980835308	0.281286335945368	0.606047699443943	-0.399417876674474
CD69	0.872535682215879	0.912064517376763	0.927676397300694	0.837714106364981	0.149073228613238	0.89501479358325	1	0.958286885134913	0.920269433799061	0.975248122951581	0.921460654454853	0.412756462243841	0.720410535617139	0.731606224323425	0.792164243015798	0.839851003267459	0.659001441556787	0.200537481795661	0.885759193766635	0.941417294071455	0.590347417792163	0.63717974477802	0.874575972273969	0.971342027748848	0.709595562185668	0.888054456367737	0.834482852385322	0.615810029154764	0.737076165991629	0.40200123077214	0.211188104014526	0.76686883689566	0.341743014331508	0.0899652254412392	0.932096013984497	0.686208340890738	0.255420985122075	0.685609205046877	0.185830005537768	-0.014160512666414	0.25378500071072	0.11861415541119	0.923706545050151	0.156503825982117	-0.136785469765755	0.930650987990599	0.582239686983096	0.827901828356289	0.616345682547671	0.943577906875799	0.4198614027862	0.878428287533009	0.762762832391422	-0.320644162707736	0.826944021265727	0.952834014896154	0.535147952011556	0.536246775385706	-0.257884636181642	0.8049175211403	0.101621260565524	0.688631266588435	0.0953562675413025	-0.431142696260747	0.849759205780748	0.902133962150461	-0.101696941064478	-0.123864346194116	-0.161469299875959	0.366236122344698	0.6131097134944	-0.400987040636494
CD2	0.932393025628059	0.918657764842066	0.977499537400007	0.88551790674721	0.138950313565828	0.963233686968111	0.958286885134913	1	0.946213126631408	0.979876256615021	0.956769665867394	0.494333816902263	0.86402037620054	0.864467261513461	0.76813403228382	0.877511223087758	0.753137034692052	0.219597421823909	0.902072370600147	0.951706591769176	0.641470878007609	0.629936846968145	0.869707017693212	0.976097407175718	0.693117959985678	0.924823382956075	0.850315196135174	0.661916035334518	0.777355447100122	0.396435868689894	0.270311871990776	0.815532383032346	0.439988948919074	0.0703280434312768	0.958478845906381	0.667497621710437	0.267506955670844	0.618130012683687	0.198799411971518	-0.0542104978782789	0.28628112001706	0.138559565484871	0.843432116671631	0.139654941350021	-0.123923387249585	0.889314127236922	0.533678944232585	0.820837380206014	0.730302172283522	0.91819759213944	0.411944632919696	0.878300107359562	0.87592839807655	-0.323285945008274	0.821494489621631	0.939518829625704	0.507074029415723	0.54387262773711	-0.240363500611836	0.7969112647168	0.114809783791637	0.63111992682068	0.0590937633320804	-0.43164524165112	0.887263656847731	0.867233930836873	-0.115976077480768	-0.117012402774994	-0.186008365216118	0.295113960499196	0.647055772075618	-0.417720720251972
CXCR4	0.949199087694351	0.940771527041679	0.929520375907092	0.929899350647761	0.41258766327331	0.891598500985131	0.920269433799061	0.946213126631408	1	0.954243497266701	0.979048560390143	0.67547649449839	0.824627919012635	0.891445131463404	0.89843634549491	0.80489550585656	0.858825732856862	0.469579996447623	0.839578187064808	0.839431472155263	0.704490723075138	0.686361060117377	0.817933747935088	0.96575094121995	0.751398886480784	0.907504261908786	0.906852681650911	0.818771845196309	0.852748372388931	0.392453452943659	0.421225580062218	0.764348588008991	0.39044077524668	0.334383105659475	0.974168779719114	0.719807829507968	0.445082852418464	0.551346600939125	0.244424030679441	-0.030480187534957	0.333503767631433	0.232147410690651	0.786116245185421	0.244869278807314	0.102046189859248	0.873875663431599	0.477508141303927	0.871932997775476	0.771288035506816	0.820573158153002	0.583539946567061	0.846783621914127	0.903145333409518	-0.345902630175265	0.756063215351591	0.89638501435237	0.556254272955368	0.583077837711498	-0.152427116190925	0.756633658122371	0.189800179150695	0.672125354837849	0.108348683907862	-0.442472759358265	0.833197383100348	0.806916176008554	-0.0559134953068255	-0.0980242618712473	-0.145716533173544	0.342304070169382	0.719698920368152	-0.434225942643312
IL2RG	0.929374833873336	0.910454836831875	0.951066685843671	0.906689055526845	0.20840771847448	0.928023468070302	0.975248122951581	0.979876256615021	0.954243497266701	1	0.954067863300889	0.527425784665356	0.822374764766873	0.823025040998631	0.79613519637719	0.85960556292963	0.742233575342975	0.276545748057537	0.867373486267389	0.938484789037418	0.651622553519571	0.654759277238786	0.872504415671683	0.982748687678614	0.726256795403694	0.91037170333536	0.849487080734271	0.653059931948023	0.78791439701752	0.376775735890338	0.285244629296403	0.763952825306457	0.433756106963368	0.15072742341997	0.955220689454297	0.713497681207651	0.314534197960325	0.641537918942953	0.232968347668297	-0.0539274694436598	0.320156517227949	0.139941942157731	0.861108534948163	0.193236896358223	-0.101807679039836	0.904588727986361	0.540520425223544	0.842738593499098	0.690116073311744	0.91810734887838	0.426378160274617	0.859622835515523	0.844964430857764	-0.338249345938422	0.807402696339059	0.941717851667023	0.508526271473218	0.568390062399958	-0.209831063503403	0.806017414956152	0.157688304800041	0.689102527666609	0.0979121181778626	-0.442438764571643	0.891746028765129	0.87832764040371	-0.0898435419165775	-0.108286119286318	-0.162531829279762	0.34192203104595	0.657266848650791	-0.424555558607416
