""	SDC3	THY1	LRP6	LRP1	CD47	C1QBP	ERBB3	CD81	ITGB1	CAV1	LPP	INSR	SORT1	TNFRSF1A	GPR37L1	AR	CD9	CD44	KLRC2	ITGB8	ABCA1	CD46	MRC2	FZD3	IGF1R	RACK1	ADORA1	TNFRSF21	ATP5F1B	ITGAV	ANTXR1	NOTCH1	TYRO3	CANX	MYLK	CD63	NRCAM	CADM1	CELSR2	MCAM	RAMP2	VANGL2	PTPRA	FZD5	TRAF2	F3	APLP2	SMAP1	TNFRSF12A	RYK	ITGA3	CDH11	FGFR1	TSPAN12	CHL1	TSPAN5	CALCRL	ACKR3	RAMP1	NOTCH2	CD82	LINGO1	CD99L2	GRIN2B	TSPAN17	NCSTN	GPC1	AMFR	S1PR2	LIFR	SLC16A1	APLP1	MCFD2	JMJD6	RXRA	STX4	EPHB2	GPC2	TFRC	SLC16A7	PTPRZ1	TSPAN14	LAMP1	NCL	RPSA	HLA.DPB1	LRP10
SDC3	1	0.788083676669251	0.869387287915801	0.928678197719445	0.884053875337627	0.782404352325996	0.82062555546187	0.951007154478082	0.915070310176007	0.77591927963576	0.914599445686598	0.54232390134256	0.879721066828608	0.887372804418658	0.770761341823404	0.849818041942751	0.757881995188045	0.426621744724035	0.779616520827432	0.929990450921315	0.169065705893666	0.777930237557274	0.815336343491883	0.79251230512403	0.639180716128892	0.641492468064385	0.813659625315473	0.850792935054997	0.772789011728321	0.887875482730265	0.885732541563824	0.848719119332939	0.855813120024402	0.864421216705565	0.227905117282899	0.906139840993269	0.940292119944491	0.816110279869443	0.891674358150183	0.761718050613696	0.859506963862409	0.871433865006311	0.90854277624271	0.793536476924038	0.731930726065562	0.736640415854915	0.929733234486081	0.860806837910977	0.813952748267914	0.846903455367067	0.843480136218689	0.888177954877437	0.851792118273407	0.759454665486248	0.926703722427371	0.859619417432644	0.78882370206565	0.777922495594793	0.890556009140141	0.806273723953138	0.737972223473916	0.929192709406713	0.90227564494394	0.902975214490638	0.788858636419141	0.772276685009369	0.940369367563176	0.894719098067161	0.778957691874567	0.881961946407219	0.631971084582383	0.797996589247798	0.83603637749317	0.681310316056983	0.352129889873302	0.817742741642831	0.832076481772447	0.703338912316602	0.738060509592966	0.765978695902255	0.931258492547718	0.817849771123709	0.88192444512644	0.794112076796061	0.775582815548537	0.616694205146325	0.737781553981766
THY1	0.788083676669251	1	0.831842537702991	0.774288614915066	0.904690888879067	0.962452575284253	0.925788328588323	0.860722202105457	0.837301169013325	0.591622172872234	0.73827139683401	0.290459647874468	0.812571391849241	0.767856679236783	0.859977852529347	0.733040945638186	0.589777183846158	0.134695513161416	0.938068202243448	0.773202708411737	-0.229216255375159	0.579493125870104	0.502092254930951	0.523271252708299	0.276159144881421	0.540513894276216	0.880721357706524	0.844923052181273	0.937655266036431	0.610033519640506	0.796484745505835	0.894070526581068	0.883465245556365	0.752643123693989	-0.071016699990435	0.874622143044244	0.775207209070646	0.78599320492393	0.769319777762278	0.929016918668341	0.862977772945222	0.742095922198963	0.786676557105872	0.730297356833623	0.794957487900506	0.524219573027598	0.834174679537801	0.875326224677957	0.768234581728736	0.831792303383228	0.576309467626334	0.745996181508444	0.734964589185857	0.943626649541823	0.766298767030692	0.74710979471172	0.661305507725132	0.786130435257222	0.856425551544994	0.557733582988431	0.911181461972213	0.860658422307393	0.843512132997706	0.791138085997925	0.89058396375983	0.570056387469895	0.791611937950681	0.751543113988324	0.850174286667318	0.774939361802536	0.427377413239243	0.799648682660313	0.768667843907413	0.71924771130668	-0.0507735863402708	0.775295268023013	0.818371235492346	0.896132181684813	0.664128344296241	0.532956930566889	0.897850372468299	0.689387605451587	0.883576865609584	0.930623253538492	0.833284163937744	0.633647158027289	0.51730627564975
LRP6	0.869387287915801	0.831842537702991	1	0.892846723110275	0.886199754515557	0.845517394159608	0.867450440074459	0.919158999995184	0.887321347691801	0.726692458986096	0.877255638421029	0.570278491242138	0.908306464921699	0.808782392357365	0.732201370444269	0.862944414194723	0.663617437560288	0.305099623476481	0.831488314141866	0.878334575570259	0.133507692406253	0.776974460852917	0.718675168035932	0.770316704697778	0.585093996675598	0.666104115238912	0.794507420831114	0.826046025313182	0.840974774764682	0.814288735907011	0.87682212378967	0.910732126597661	0.845013599200154	0.83614637363749	0.170624485910312	0.828151059193087	0.882259215771369	0.879606839979522	0.892164396025001	0.845866377930839	0.835762207582837	0.87257008880793	0.867604212613235	0.819564319638764	0.76547531847731	0.631501702324475	0.87714714182219	0.894830218221806	0.704227761753993	0.902568646606357	0.742154748794285	0.888728711229077	0.821721772217519	0.812860542289437	0.849797960660121	0.834567086451582	0.817517668903721	0.791208987167874	0.846121218776113	0.786003830201041	0.740675076297832	0.900225258838531	0.870360720434116	0.831190882152509	0.789673907694224	0.733039466306907	0.820569819498027	0.871967808023729	0.802309730235197	0.841265351144669	0.639557425026122	0.822166957999845	0.847821204907907	0.743132096553266	0.266668023023372	0.831947586997508	0.868946528351765	0.75788527677795	0.794549449949954	0.704827484413964	0.91248056547016	0.804578823574372	0.864550647374161	0.874579976127755	0.822088320699887	0.653687818379297	0.677485805455033
LRP1	0.928678197719445	0.774288614915066	0.892846723110275	1	0.872545734742488	0.794224892993916	0.82254151200079	0.938819917733985	0.917783129797193	0.822761004036744	0.944153489861796	0.673278833942758	0.873291540792768	0.870821645659682	0.756977367721086	0.863811375758451	0.736536537669874	0.434652729589625	0.785005526804149	0.920018927243959	0.288351737886751	0.804244845538042	0.811116817234936	0.853096786958257	0.720964135836099	0.763510441121359	0.794599335951115	0.83139358324505	0.773902571094307	0.899785112061445	0.910674579659069	0.858263186898448	0.847266139260345	0.901912630142068	0.314865161980571	0.873492274340066	0.933648280471018	0.855950734244343	0.896720284468581	0.754196033101568	0.883588671345098	0.882943920962664	0.928918275797275	0.800467082917536	0.760909306480467	0.707180682354926	0.907493341982836	0.905593275792209	0.76203412951306	0.887003260704689	0.809085332961067	0.909370885846648	0.876001577059776	0.736551471487463	0.898985369126674	0.866339789020126	0.833672614294633	0.759461552101258	0.877713878174475	0.848390103975403	0.71389279183708	0.92983070734334	0.88674403649422	0.85513737781334	0.762552276966798	0.805763203143997	0.902341019458259	0.904677323880564	0.766671849929572	0.850162148911574	0.727818735743682	0.8316205210213	0.878383482427275	0.743514873834488	0.440056256705813	0.867966134677825	0.856695317359888	0.718112609834035	0.798408064637226	0.78868228935438	0.917806877865015	0.833195348569711	0.864354894131407	0.818400817519983	0.83716885106278	0.680901218735029	0.792081922842486
CD47	0.884053875337627	0.904690888879067	0.886199754515557	0.872545734742488	1	0.904017603591833	0.863727837096974	0.941671472389289	0.939705422350943	0.746249736207857	0.876177948011154	0.503109982541209	0.904303140339188	0.893207320558032	0.810510537942661	0.83960039890419	0.746201080503621	0.413620743630583	0.875239484101572	0.886846565102649	0.0788482739912411	0.736891066810822	0.713613621454804	0.727369374534102	0.520107291590486	0.676008384196438	0.846603422358151	0.879724823841647	0.910450697490168	0.800622837043428	0.878348961177803	0.904078482593715	0.876636076152	0.870186639715297	0.173725715418775	0.953158704324652	0.90403558726613	0.874074198625132	0.865847509745846	0.878946397741981	0.887229800111417	0.846987256073032	0.904201322299932	0.799156817820245	0.815807323157222	0.712187032677463	0.943021319709742	0.926942798149731	0.808887194662219	0.881032233778509	0.740055334417974	0.854902323952867	0.846193170653494	0.883810389549576	0.893404767768662	0.859886218316031	0.757552435201207	0.831922325387	0.925893865667157	0.744556772541444	0.844466235574409	0.908876857807502	0.915053841514959	0.881187299686397	0.839559639098756	0.736957509509526	0.895675091049079	0.868679910901932	0.839741603058253	0.895263607092569	0.589680277932231	0.8256143597961	0.871289926389608	0.797761693815211	0.19494730566651	0.844990297245324	0.852668691223157	0.799286322770852	0.762019073867193	0.723893072400695	0.914058220380643	0.806680220475887	0.955473082665388	0.905751660241998	0.856830613339082	0.688313053497819	0.713186748679106
C1QBP	0.782404352325996	0.962452575284253	0.845517394159608	0.794224892993916	0.904017603591833	1	0.886250188723226	0.871400370445385	0.87081660845688	0.666893935749942	0.772119097006304	0.381838698957104	0.831394324053539	0.7825266468406	0.782115989641512	0.74906761345987	0.646449267397299	0.202089149657364	0.912400920207285	0.771891181724053	-0.136130341903934	0.616526552602946	0.53050118356194	0.59723800138093	0.359566616880801	0.648849607242275	0.837089837033633	0.83208420558273	0.965561407527028	0.631041609982116	0.827585428728806	0.906066781672044	0.84667994880433	0.795955281942515	0.0465107775681656	0.879312664552704	0.7691396750984	0.825764138207254	0.790255266251075	0.912212715920009	0.880002247883153	0.7735229670452	0.802827010016534	0.752031541232858	0.83427288918997	0.540208524233271	0.843478541790639	0.913849300342332	0.769400079890411	0.86691171407004	0.590021500897076	0.765883532868893	0.762153521880947	0.901129702197751	0.753502086003573	0.777426889948416	0.708608479518527	0.773568298954224	0.829692850578119	0.60365247150064	0.862229719206761	0.869012640355913	0.851645429925213	0.776550710599665	0.870998692752102	0.624468301012803	0.797380729348745	0.782491705711455	0.843984770404746	0.794128034608539	0.531715824960362	0.807072610416089	0.814988167355545	0.780394600813625	0.05875748280034	0.80682111249528	0.86852666304827	0.876370367877686	0.739923988280765	0.573718976746103	0.867974606794428	0.734325733286918	0.882975938505218	0.963167254380318	0.910042030025532	0.704727003830407	0.542587925480757
ERBB3	0.82062555546187	0.925788328588323	0.867450440074459	0.82254151200079	0.863727837096974	0.886250188723226	1	0.877243666763958	0.806753473117956	0.609326676331517	0.766981262128585	0.352654279146564	0.795239516818442	0.773949964245624	0.888018390045746	0.761644790070058	0.574267622977244	0.152252647984872	0.907798767382324	0.802563110537479	-0.14990374663016	0.610012237653008	0.538176914282557	0.587729139059951	0.354122190020454	0.542464460639634	0.888708874700449	0.887323696994975	0.846177781047922	0.662702166654732	0.812168213863828	0.858870968284517	0.890527554368178	0.74257878400988	-0.0145803178884028	0.837906639698841	0.806751631884941	0.781576625773422	0.796859401368666	0.888008020341116	0.851928441650586	0.772228918716458	0.793684659800427	0.720056198734075	0.698354550286611	0.550365601434955	0.797433486614411	0.848580981986146	0.734228957279857	0.835303198896679	0.621685442714567	0.786024084895652	0.729467100186914	0.881257969333392	0.808928884662752	0.718923151847884	0.69249292533158	0.710942923459987	0.852740712688894	0.634921762409097	0.893328305959832	0.862846132975479	0.833989304954322	0.780647364428993	0.856949374853912	0.588921625890607	0.7764225959772	0.77253132011683	0.831297583634517	0.779010664414392	0.421977752866135	0.819364854837585	0.764796728893345	0.652555644466537	0.0125037345873806	0.821397497354735	0.767686616196232	0.834511043003307	0.67702733736525	0.554529322463431	0.914690095380494	0.684110412174239	0.849364862706929	0.842899510798707	0.781379579246554	0.583514509082507	0.557507665165073
CD81	0.951007154478082	0.860722202105457	0.919158999995184	0.938819917733985	0.941671472389289	0.871400370445385	0.877243666763958	1	0.948000141202548	0.789827434735149	0.925869405452614	0.570285435485534	0.926158896662086	0.911067776624122	0.80536528459857	0.8820050044144	0.769433174192514	0.44318724992449	0.848693415301114	0.935449994668721	0.152871872613051	0.786055391387361	0.789422894575531	0.804077226272563	0.616133581548834	0.698211906301059	0.842036851491025	0.883671576902501	0.863801256885661	0.877217091475814	0.927361096798705	0.910293954205721	0.889943207887817	0.892935462522121	0.233022206533871	0.93948852042781	0.946099702270191	0.883634482967363	0.911078211071303	0.842967600633876	0.905545720390413	0.899760973266131	0.930498549131764	0.823641277251898	0.791569667596724	0.750674569041702	0.948510605850359	0.924764738044556	0.802715486079978	0.910144015640423	0.795666145914632	0.91365734623287	0.861430669523078	0.83127279613344	0.933796983879192	0.877117936010632	0.829113489331279	0.818335224569733	0.923845327493622	0.820295413534817	0.793698411466634	0.951903661339488	0.930365506052062	0.891645468256902	0.828365841038823	0.78584508672466	0.917884492049752	0.912195509238025	0.816885010415353	0.912519177832211	0.647977519350205	0.838963359918256	0.880688422764382	0.771099277718446	0.301331764435393	0.866963996723475	0.870234913410615	0.769722169936455	0.796039527556065	0.768716058850715	0.946138991640478	0.846274284480161	0.935421314356095	0.873601624274468	0.853162533061211	0.707327291460206	0.758072553764776
ITGB1	0.915070310176007	0.837301169013325	0.887321347691801	0.917783129797193	0.939705422350943	0.87081660845688	0.806753473117956	0.948000141202548	1	0.81407890454535	0.936326315008683	0.599741606277163	0.901637865377528	0.907444098842496	0.737325297489919	0.854463243641824	0.782558942938158	0.476687794028196	0.823410463086351	0.915126964757434	0.206335873963766	0.777857602932713	0.779094479342329	0.815985373824072	0.63521694986436	0.744931431069039	0.812157936321423	0.849481537832493	0.869557116102535	0.863737678258499	0.902261675595968	0.88858136561225	0.845974085707237	0.905975915058373	0.30653768236375	0.945424770166782	0.923786341699384	0.877897446916513	0.900860528408779	0.817191055427656	0.913333593440761	0.878862863121793	0.934245374017678	0.816488733340486	0.830822350819662	0.738037236184321	0.958980185623394	0.938351117293723	0.837410905433602	0.90316724444409	0.805190973349332	0.883868367764553	0.874606563296837	0.807163604292411	0.898896513103782	0.913019125810245	0.806584496283221	0.819662493662966	0.900684090979934	0.7991083206915	0.779831561029147	0.928907352044398	0.918051834367775	0.893518485365141	0.810631495938226	0.798216154798003	0.932587542489777	0.904111616064524	0.815375078502699	0.892922321874835	0.70300583659827	0.837110869892103	0.899418261926388	0.818309523264647	0.342039902775132	0.858459950414549	0.895805664402072	0.770823211654276	0.807617528001783	0.798379094180703	0.91202501333766	0.858994176577395	0.930300847742944	0.89897590395143	0.875211155986551	0.729204370463457	0.784579342888885
CAV1	0.77591927963576	0.591622172872234	0.726692458986096	0.822761004036744	0.746249736207857	0.666893935749942	0.609326676331517	0.789827434735149	0.81407890454535	1	0.836456064353154	0.66798047164482	0.720429895894054	0.848027121684905	0.514350259415372	0.741074296718429	0.877827143197907	0.532451611712239	0.613002172169109	0.778035571391728	0.412934191188283	0.732624340741217	0.749850694752416	0.844028304808118	0.73702833987377	0.834218139873258	0.600094382069884	0.675045320926951	0.681577517832662	0.803191642014381	0.812351624933806	0.640170348394758	0.626913664223171	0.843298220429147	0.514347199795059	0.789631528652875	0.764769433865513	0.729677636426338	0.720147373838321	0.570365587778853	0.764880016594042	0.722231407009483	0.805850838276469	0.682787749812735	0.673684361881074	0.643601537230329	0.797143267354134	0.792023052239485	0.704420395566038	0.748253596129518	0.735091590071348	0.755482102255822	0.820732166421669	0.564816754906111	0.748841356389745	0.766471807399601	0.772433849309619	0.594898805029026	0.708008765615704	0.783591991564454	0.508806563479444	0.782770535015393	0.771556926560304	0.709217061035987	0.64481307459572	0.765877417443064	0.812170442892041	0.762374004480148	0.679106884481408	0.756202060243675	0.811077931882596	0.67121268886021	0.819960222581045	0.697566041898647	0.61176005907671	0.750777939290601	0.735485666981635	0.513512610072134	0.764122888349863	0.753316199918179	0.716453198925162	0.747572623725845	0.742096061009795	0.707725881478148	0.795257498654359	0.594185273861381	0.693305114178699
