""	TREM2	C3AR1	CD68	SORL1	ITGAX	ITGB2	CD4	LAIR1	HLA.DPB1	PLXDC2	CD33	ITGAM	CD81	HAVCR2	CCR1	TLR1	NRP1	TLR4	TMIGD3	ITGB1	CD93	TLR6	SCARB1	MERTK	LRP1	PTPRC	PTGER4	TNFRSF1B	CD46	STAB1	CD163	SDC2	IL18BP	CD74	ADRB2	P2RY12	GPNMB	FPR1	LILRB1	C5AR1	AXL	TLR2	ABCA1	TNFRSF1A	SLC1A5	ADORA3	C1QBP	CD180	COLEC12	MRC2	VSIR	LILRB2	CXCR4	ENG	CD47	LILRA4	PILRA	SORT1	IL6R	RHBDF2	ITGAV	ITGA6	CD226	RIPK1	TFRC	ST14	PLAUR	APLP2	PLXNB2	CD44	ITGB5	ADCY7	UNC5B	IGF2R	THBD	CD40	CANX	SIRPA	SIGIRR	TSPAN15	PECAM1	TSPAN14	ITGA4	TLR7	PROCR	LPP	CD69	STX4	ITGAL	RYR1	ALOX5	PLD2	FPR3	KCNQ1	ASGR1	SELL	INSR	CD300LF	TRPM2	KCNQ3	GPR84	OPRL1	PLSCR1	PTPRJ	ADGRE2	IFNLR1	CD72	SEMA4C	PDE1B	SPN	CD9	TNFRSF21	ITGA5	TREM1	STX3	TRADD	PLD1	TNFRSF10B	SDC3	RYK	CADM1	NCSTN	CD82	TSPAN17	MCFD2	ATP5F1B	NOTCH2	JMJD6	TNFRSF12A	EPHB6	CD99L2	RACK1	AMFR	RXRA	NRP2	TNFRSF14	LAMP1	SIGLEC10	SMAP1	CD63	NOTCH1	PILRB	LRP10	EDNRB	ADGRE5	ERAP1	EPHB2	PTPRA	RPSA	CCRL2	SLC16A1	CLEC2D	NCL	PTPRZ1
TREM2	1	0.90818938076552	0.73965649691641	0.891964067053661	0.948178618308172	0.955147580635052	0.95535395812184	0.879116123650503	0.35726582059006	0.937629951769905	0.887493117251126	0.866815903333888	0.920644345814952	0.979984255476301	0.820457635804839	0.900269109354587	0.877079003407306	0.687045499883551	0.927090269532254	0.97994672508764	0.377781410403794	0.717407665244394	0.712029527390297	0.761886740241827	0.865161232194756	0.902175309876319	0.802517174691996	0.863162918574945	0.788953846194147	0.919131555673193	0.958359553012786	0.822747253213902	0.894749339399264	0.66763732773257	0.632421981796299	0.385670085577737	0.416018106740895	0.864552643416677	0.863226563917084	0.81209618560869	0.818016284859052	0.764277093780114	0.758594425035771	0.918880151061603	0.804325239697349	0.862421229537964	0.949131268668939	0.948135012261015	0.749978631133339	0.7430913561852	0.0942407386233586	0.490732519993713	0.28606135034845	0.938595453198634	0.80876831018385	0.383361082395381	0.911552743784487	0.865248558979632	0.925796260328646	0.772463170807768	0.911289346040409	0.96064984248445	0.766008474240335	0.879415474087614	0.862885330741382	0.765360154616217	0.835680458252541	0.881302950663969	0.842253553844772	0.310562549486047	0.840459639372995	0.880475498384012	0.792768869590539	0.737320995821508	0.749493955031753	0.958869196835611	0.88506427382675	0.928337634721397	0.827317818477951	0.885423378269849	0.473569433824573	0.827110573318339	0.0585172122739253	0.835186033756335	0.895840526849427	0.833917293282271	0.746233866594182	0.845417043456092	0.900495497441125	0.137560817426149	0.910165672754233	0.781040214763667	0.591703319031904	0.873620800629769	0.155564712273803	0.476747186830206	-0.0128288205669454	0.683678280216816	0.891197877968701	0.751829093590754	0.86709174163463	0.783696571341891	0.877640047440926	0.906074899814364	0.774236581199801	0.863155791437535	0.205755004566936	0.545929705495485	0.775871788924521	0.53399637437765	0.352334725465117	0.598096460007347	0.732260961150464	0.847114312611686	0.631848280567921	0.831938892096092	0.857970599376244	0.835987578327834	0.557978504450864	0.645970153354754	0.710045641284064	0.853287501386863	0.584462900170381	0.809950840546804	0.935485899883051	0.901218319278693	0.369328125005933	0.860633562082491	0.844654370482107	0.894771128151872	0.705621089848206	0.928983312461812	0.638020117817009	0.891873485876063	0.87007387756512	0.527021537077573	0.70703717320843	0.806577615243617	0.774057042713205	0.871954577327011	0.538012591924589	0.747622043276135	0.929829772696063	0.741002126138703	0.71783203081516	0.728829861081971	0.606121909939736	0.857669692575139	0.939911862548399	0.808639185258456	0.771951049120362	0.624739390309637	0.91940454444419	0.166846395021155
C3AR1	0.90818938076552	1	0.765626055944286	0.839933591017752	0.898906671012952	0.914217168088034	0.899680326874938	0.870914495301039	0.512254309509799	0.939936138542205	0.886926197661454	0.85468786070818	0.920542018395531	0.910753128463179	0.847986908003318	0.86963857071009	0.796063812836276	0.730194230852841	0.832822841422859	0.87907790075999	0.377904809126409	0.718558824994847	0.770303721544182	0.881749164807453	0.884169591350618	0.901989935311084	0.832381515399281	0.879217674807177	0.83158304382534	0.874688385666548	0.883589942542595	0.836060725575	0.854496142904236	0.788317162687466	0.554974475455958	0.383673864556351	0.507461912158043	0.795836792623777	0.904623295169672	0.873834986061642	0.856950504172466	0.844033835294122	0.797891209470101	0.907175785376159	0.855632035515399	0.883779174054233	0.924483701574209	0.832127284441191	0.731268811895555	0.69141446217289	0.222939268377719	0.555269220748116	0.455376736623769	0.828539344827521	0.834568348803443	0.483054010644982	0.916141516463426	0.884387543282526	0.849404333228905	0.784688670376325	0.846901626282859	0.846198051881921	0.680325946146338	0.889018708033938	0.876405687137806	0.756281746214632	0.811961308997253	0.88999734869255	0.887560716016278	0.41335545777449	0.841255060986256	0.905160603073285	0.777289966666454	0.750184870822551	0.681574331145246	0.917902189935081	0.8925327402277	0.906590956798261	0.853346647718946	0.779499913133088	0.587076635455366	0.917050494221773	0.166700550521053	0.837078639279072	0.753231871782722	0.892689176855141	0.74707375416709	0.89584178305142	0.768249361699856	0.180595463507762	0.862194167408132	0.71900445229749	0.692233260631399	0.829802478432672	0.249576113262258	0.600622591954891	0.169415946354325	0.704584643477737	0.902591149512106	0.671552167784068	0.726683642210309	0.822300022069246	0.836938645145217	0.923807379522732	0.740160163312074	0.798882110561967	0.334322193682497	0.603758900925442	0.700612316314357	0.593137862457464	0.475223031792812	0.679750418592337	0.717515253118432	0.760704396572744	0.730218350509546	0.838093488817857	0.798244426175651	0.789919845970797	0.652692067405281	0.737066825959729	0.757119172710888	0.889807259308912	0.67779211116238	0.806859008186667	0.912639797498611	0.875315597711198	0.51028316361342	0.858174310980039	0.786265837607619	0.858901350473883	0.734804261854553	0.934164723500425	0.723037972716278	0.849215812863891	0.847587449742884	0.60012718152745	0.76816619622725	0.805862281284646	0.830322557017073	0.854765321654226	0.619974558887968	0.749565868328327	0.920155319391757	0.807144863339727	0.73303179338497	0.764313476926657	0.624580883954949	0.867256774650589	0.919462223331797	0.825885357362104	0.799980908441545	0.607453720483548	0.934288854285319	0.228979890226752
CD68	0.73965649691641	0.765626055944286	1	0.463680565746414	0.780236240546547	0.854456367543718	0.709426265347565	0.92763722700653	0.796481335372282	0.811829167996694	0.700024411853466	0.604951200422648	0.927678519428792	0.685081807851491	0.793794619300017	0.632381050899476	0.599786119886448	0.943684687339039	0.470577788962252	0.764640505612799	0.126180050654587	0.383589941401993	0.958593794862852	0.752997804773057	0.932223001777275	0.598890615488698	0.877283985843772	0.579555106869552	0.911407889083327	0.690341820304436	0.755019607586822	0.679309892195196	0.837524030140942	0.895272138467406	0.160817136827712	-0.18946919408155	0.905216583709206	0.379505815226373	0.631697653934436	0.861557047568542	0.953770130397719	0.468622226586716	0.943731641459089	0.74196055553821	0.523077985632681	0.951086571926954	0.829089621892625	0.783120690780645	0.929336051204738	0.338236624984904	-0.333079089770028	0.701173602392698	0.527836142641603	0.599842952214583	0.941126571680118	0.815625863395163	0.829623633659791	0.644804774489577	0.779571522453192	0.314840456563868	0.482114975488013	0.669222608160557	0.334257541345572	0.819459878335945	0.78599695157786	0.953909900182517	0.96530878628557	0.936940383067799	0.59672110456581	0.824025865104198	0.638384481390952	0.720554094429693	0.376741828121716	0.968150369852793	0.485708872514337	0.698537872201132	0.894624569111861	0.861741853227803	0.746529028493219	0.389237152138898	0.89786412875691	0.862348590767866	0.617697401357517	0.784428704949995	0.425184056188838	0.777880756562408	0.271045118083618	0.746041418219292	0.525370706994462	-0.383758992281738	0.668439610492852	0.43247527500305	0.939839291531538	0.441737948948075	0.716965734919804	0.549775369405601	0.239920891871452	0.942192784052622	0.748179037624586	0.229470829307717	0.43937352444639	0.531076824684942	0.508609125805937	0.735090485215944	0.430898160865927	0.443145234319416	0.773768030985044	0.528171412924852	0.423951646173159	0.914452410268597	0.875540037141864	0.886351845443056	0.765930513969578	0.50423712274471	0.773373908061304	0.918982819167808	0.55703642105652	0.442878348367491	0.914124504176425	0.686117990750127	0.911077766969298	0.862426329285742	0.911211923975345	0.782632421071672	0.861228619775987	0.934037398535413	0.843025622689738	0.536840861648202	0.515049834245028	0.673360569373598	0.834064376582909	0.871010430010912	0.858889406634485	0.771563912146964	0.911917684212145	0.94045238307611	0.977665062220493	0.35903975475028	0.955968569542562	0.96674387112327	0.676601667260282	0.651268024661784	0.823078085620252	0.759076735179835	0.51990623176903	0.780699402357642	0.712845695353654	0.794604952621003	0.839340044222152	0.953899977121922	0.712206104365612	0.528266891450722	0.817155992836179	0.241526597428493
SORL1	0.891964067053661	0.839933591017752	0.463680565746414	1	0.867243228937624	0.807171635995474	0.895930857922618	0.686097405642252	0.0965912186298132	0.862941912987604	0.79810905957905	0.860691059129858	0.724538086734999	0.922963883735582	0.747011917618224	0.860789022572782	0.840147741454998	0.469003317455315	0.945588534007736	0.869337709012355	0.447504076138087	0.842816739914366	0.484421578404764	0.757024578108293	0.700494006396828	0.935302908160354	0.659113439983187	0.903083085318225	0.633568856025578	0.849471137813934	0.8619279236106	0.782422269175645	0.748274603472846	0.472234888262318	0.774473097101255	0.663264822257953	0.118395088564497	0.932187916307136	0.878564594833257	0.699609725504404	0.609107540137694	0.861922639859824	0.560799859415739	0.842065162453476	0.854497796382039	0.660583484729754	0.812634823441685	0.810095003506963	0.507601005233294	0.821298931189118	0.38576218809699	0.344739293857555	0.200562664487895	0.88373902363283	0.59408083148564	0.111977174071188	0.796729775865155	0.879555900165448	0.831664675376647	0.915216732719792	0.961250884428714	0.892115418002775	0.851567286487585	0.773121067387831	0.789003400656143	0.52029977593151	0.593499704297592	0.700257043770529	0.863327072974906	0.0198259134486823	0.792001411420305	0.83712835128891	0.880059656055711	0.488847375640244	0.732522398299391	0.881925851698802	0.741980410058651	0.791756133358681	0.702269971064596	0.927559107063927	0.253175075395066	0.720667423313903	-0.222203033454791	0.723323645563982	0.894568076959697	0.787744984215771	0.869271756513958	0.799783490948139	0.883844010121412	0.485864350629574	0.855153021577804	0.827408879133021	0.3483748522441	0.926561711565317	-0.149130788647829	0.441403256878264	-0.00834526011518389	0.428637676056017	0.839012824384129	0.906801368581719	0.853877310142071	0.796792535939528	0.906617960185787	0.873178577974707	0.812191246208564	0.918442520193197	-0.076295486417985	0.482536435583402	0.783815134969296	0.277638408489424	0.0551027573514558	0.388550725400175	0.569191020512275	0.863000371678959	0.523685721352706	0.629287959782342	0.866638956997195	0.882962925000399	0.31741369389461	0.593903786746998	0.474989583489864	0.699023603663228	0.348350698380724	0.655427385655401	0.786549988226046	0.694817508160814	0.128518630542958	0.890743074560877	0.840739255861407	0.863425440332626	0.557964837227111	0.768016902427104	0.466043952023224	0.791286977526523	0.69596948755357	0.238045088268734	0.470474069626749	0.91885495328638	0.549897130917916	0.632296242308106	0.429060463327738	0.645355993709523	0.798826189443255	0.618386735605869	0.727659498059126	0.622061740269978	0.454553313424951	0.766803859443208	0.79117596438311	0.589267606565432	0.690439473296182	0.625074267377917	0.835359667748923	0.156153001423148
ITGAX	0.948178618308172	0.898906671012952	0.780236240546547	0.867243228937624	1	0.931681074920482	0.908909499509273	0.875657259016287	0.4300712945132	0.944313766067024	0.83410374782501	0.806640026674577	0.912092901594606	0.93048495365038	0.852182446222145	0.860797867990253	0.818174284041155	0.748332416733851	0.837662128071447	0.952825937620045	0.29951219416827	0.712658996463686	0.773581074158081	0.820497127191104	0.903744394815128	0.874209292198611	0.850550644398463	0.83295107413345	0.847408957924823	0.863122756058433	0.931732358950853	0.839164177778706	0.901783980643633	0.709451865048884	0.588440021089565	0.279391008372607	0.508399074068638	0.768830493926509	0.863564139292737	0.854884604427767	0.84871884542933	0.762643479643176	0.815170524335052	0.87205719731884	0.800956421174817	0.874964828263183	0.916792459188855	0.931625100156433	0.782628772931641	0.672685371258444	-0.00310306781294141	0.541247646306823	0.374985358903188	0.859369243814762	0.84611617215596	0.4535087488406	0.911230340289465	0.874453903653026	0.926006266825555	0.691397591575678	0.861638540276882	0.920095805215376	0.721706522030038	0.884535904374953	0.899206823824424	0.791940459574585	0.863266989238255	0.8974686141312	0.805058768752993	0.402569690062848	0.801159809941572	0.88050319548925	0.71980856413135	0.79241180018916	0.729403547571662	0.907015320857079	0.896145781869514	0.933002395480016	0.820896468052328	0.779587228747994	0.580435531644188	0.866887651101993	0.150011676881699	0.840911010952168	0.812460697859735	0.857469512603438	0.682632088661957	0.873360526814667	0.852888521401848	0.0869185329000652	0.853080898069162	0.725170651641794	0.66652080169981	0.790639140956443	0.238668638958969	0.501361823176925	0.105914458044064	0.719430900366154	0.889357301602651	0.70165810694735	0.783179781207639	0.742622059971136	0.807034359863152	0.909338331975792	0.726233880141512	0.818433382216411	0.306017240238613	0.485817146403872	0.72583360821122	0.628138946038531	0.444009037650669	0.671457120601224	0.751764814101544	0.808477030985037	0.685617651653816	0.848217416161367	0.836788771905473	0.780379584010271	0.636251162429492	0.6951410628507	0.750372871597775	0.847007243150991	0.648800547913004	0.796646667535279	0.922675200156532	0.895486818041269	0.47466784416761	0.807055604126143	0.824881667486723	0.907869660840404	0.737292883162865	0.904739344043513	0.705404740286129	0.911787734054613	0.907900210930383	0.607450249809727	0.767817388698806	0.745990986006374	0.78818074124131	0.886337405532119	0.591000840008226	0.729105919426699	0.89911059968098	0.75449385201176	0.710387072077254	0.753522838892458	0.652129850844819	0.884213631229983	0.904813293202979	0.844147728929325	0.784098188341105	0.65097254911735	0.92503755350579	0.231584813770557
ITGB2	0.955147580635052	0.914217168088034	0.854456367543718	0.807171635995474	0.931681074920482	1	0.95370745857259	0.96590657923887	0.511773707207766	0.964133943668288	0.860056917075094	0.890075387452347	0.96802390142917	0.942700818014158	0.888678553004655	0.870933873480539	0.891993805071189	0.834698906741526	0.823211937226322	0.967446519646711	0.430876879693625	0.666098937244754	0.833213932429983	0.835413054677663	0.950221135680851	0.886349712051475	0.890091011903727	0.864528624728123	0.869892984695677	0.934453966945761	0.969224202478637	0.846966060049236	0.911948031638324	0.781553555116437	0.477099542178744	0.272618341218576	0.600808972703081	0.789190661463879	0.850715306582291	0.908655107810762	0.891927130653947	0.737770101626914	0.889470253151251	0.934943388922679	0.745459435264275	0.93460792880993	0.95660803523765	0.945699414789552	0.865689814775226	0.725978298842241	-0.0309932866912104	0.643983984166829	0.340244557458996	0.914621344127623	0.902937321505664	0.531241170248335	0.939867239269305	0.878315930426654	0.941853136526582	0.687142788671445	0.835087076525375	0.918488316138142	0.709564598118387	0.915082428667023	0.925145365402802	0.881234160158307	0.926912890569809	0.967069869777255	0.867311175625177	0.516494713018377	0.877934846671871	0.874744297766993	0.742328266972578	0.867142633424218	0.776011407824641	0.927959572596983	0.96411495301261	0.977799350389285	0.822508757914623	0.777731171727876	0.642509917508138	0.900313647348789	0.235111260789034	0.859457719624826	0.773084688503145	0.892525836477372	0.630867523236217	0.871297088087147	0.834242485051039	0.00916972014988202	0.909692611298005	0.726978700081881	0.735895190849448	0.785075171031793	0.330990273225765	0.51597965707366	0.106268974870779	0.815163843755102	0.918332719729241	0.64064076232138	0.787254649255968	0.748590863929348	0.846221437801106	0.924453802186671	0.78321271450656	0.778643212961683	0.405224641848086	0.595321843503765	0.730278110734505	0.675724986658495	0.548249742826836	0.747425701297855	0.795655145157296	0.826652983499898	0.747454110162191	0.909291607175607	0.830401971558546	0.77312806555161	0.72387122782486	0.728031058708072	0.803048757496915	0.914670281449667	0.742929456555125	0.862370929338465	0.973362437272185	0.951276199999118	0.560997627905036	0.815586347924711	0.795206524122643	0.859548765886573	0.806206218588214	0.954597846263645	0.778846076069374	0.923848535267474	0.930749990998075	0.684763989053535	0.848031039629112	0.746474620030311	0.876598355326972	0.938402994350632	0.632845333434327	0.764277201928559	0.968942463146458	0.805646788414343	0.745963038837001	0.830590366745665	0.658461128705411	0.908601116539268	0.952749325762945	0.884323988015716	0.818238692468013	0.626243322201498	0.945134006752228	0.228044588552087
CD4	0.95535395812184	0.899680326874938	0.709426265347565	0.895930857922618	0.908909499509273	0.95370745857259	1	0.890290990627601	0.38288071954222	0.957863148914651	0.884826317789695	0.929593660578515	0.894243817306472	0.966663163977053	0.865058205552004	0.924666722393019	0.939446271047949	0.70663467517505	0.891024313258211	0.959846663352714	0.526044951249356	0.745935704994045	0.683433990001676	0.834438369044663	0.865089612188216	0.947181114631131	0.836118328264976	0.925624303933029	0.78843754604747	0.961530995828686	0.968286881085034	0.848665653731331	0.850679564836543	0.699458174462338	0.601032502778847	0.440657807597191	0.393912970276997	0.886529197825956	0.879780769728439	0.846891134744754	0.796651363775341	0.827726364404615	0.781473818620964	0.951512869329065	0.802947002327706	0.840042410635744	0.924524827002848	0.906735197700323	0.719144291741294	0.805928931636662	0.160366115816315	0.575745028123483	0.317085788876339	0.951509904457743	0.804230980283495	0.326223040763988	0.920601136369433	0.901065479835495	0.928766664064507	0.814001219231369	0.90576300776352	0.94158847466095	0.808524999989308	0.886662784260425	0.884710388133758	0.7712287649061	0.80754702125111	0.879944825035096	0.892687988061149	0.347332036151159	0.890512475426073	0.895156856554721	0.831994227563895	0.735152137195688	0.823020420754448	0.932479744489422	0.904418337200702	0.926421043137536	0.802127412246151	0.870156419737693	0.496156308559957	0.834169816625498	0.0887818677733376	0.844329544323399	0.846495510737667	0.859538383327752	0.729259682413683	0.871764036408996	0.878631700331247	0.192783778911411	0.91300722420396	0.821726830002018	0.595798621921292	0.878328420610178	0.153378295504278	0.522500246111009	0.0397914001009723	0.686886511650775	0.936493809162412	0.768755474064456	0.849842466818785	0.772149479698844	0.925571833803486	0.916528802648151	0.845223154491461	0.853074062173084	0.229618290583116	0.601787192568389	0.785384326659333	0.522808592614087	0.350714401592398	0.645152049358542	0.729443929156632	0.862293831949539	0.680372726269648	0.822065388442892	0.863357170045957	0.832755414887743	0.576659638666853	0.687039173953882	0.714400195007868	0.855672545710779	0.57938431516048	0.772237157715933	0.931484702387049	0.877824441758497	0.366358654002187	0.879661044447361	0.806724976112087	0.862891148275138	0.739295864772874	0.908976335343374	0.67953462594657	0.902269965352358	0.859089933722844	0.504680790865527	0.704863086152133	0.836828525578361	0.774164278131813	0.824145313490524	0.533283326761043	0.758060821020476	0.938340794369217	0.721596906348028	0.763935930730048	0.784426846805801	0.613376356519777	0.872690553517911	0.922355693119773	0.764540432505306	0.793542498140079	0.616079957267344	0.928389854541895	0.158370443075976
LAIR1	0.879116123650503	0.870914495301039	0.92763722700653	0.686097405642252	0.875657259016287	0.96590657923887	0.890290990627601	1	0.660468749670887	0.930564574519383	0.832880126205866	0.826106587156014	0.974900333538473	0.852891232251542	0.910813640249694	0.794194395726265	0.824398423378349	0.919221012281369	0.694721259087541	0.906845649517521	0.386156335459501	0.577645212794601	0.901065362562665	0.84491044850587	0.968234406076044	0.808988366083791	0.927255930772183	0.793960842452932	0.923650690282473	0.877190656014106	0.912166096979496	0.834491219087175	0.898347650779834	0.86926748981961	0.316541903210423	0.0989038476178576	0.739039702618004	0.645777230438202	0.776759079988916	0.937590689531816	0.941204027108064	0.647584765763764	0.948093851507592	0.888628848579145	0.661307093028803	0.960984842694199	0.931264801353571	0.899708894175691	0.902884092569328	0.625810091608195	-0.130087381991281	0.733607079731981	0.450028109134654	0.8175587093687	0.94466082244032	0.6507839902272	0.92114317821333	0.814006423535885	0.899849838370326	0.563008556271876	0.712224675606698	0.840010881609217	0.58937689643037	0.886937789205383	0.894560352798118	0.950639251777792	0.964321859388867	0.979097767586297	0.793549122635939	0.68172530463419	0.818003059617947	0.838472429106341	0.641956394883178	0.932334358858657	0.702571472430379	0.849695400388257	0.968925741756821	0.967158760302394	0.815546888725512	0.642156907881148	0.781720496283044	0.916562242496772	0.425012741055682	0.869164722674158	0.632593821845784	0.893424269542903	0.499105557465899	0.864370171974816	0.735583152847848	-0.133373882000643	0.833832885411638	0.637816197521461	0.845495174204602	0.679674561911559	0.521510202015246	0.588819637282852	0.20206837905064	0.891743513198779	0.904352859212843	0.492991794627072	0.640771656036257	0.686562646959975	0.754111425330497	0.873561266394521	0.687939882747811	0.652995756892808	0.583422266483741	0.630016747775752	0.640965325215058	0.791253126255142	0.70599913681594	0.836933914455177	0.832622749053157	0.745266546846707	0.813422247470763	0.960879632965075	0.760122251907762	0.655746566113909	0.828674532807436	0.743610233910697	0.884413215299668	0.926056883930929	0.835865845010237	0.846985126502412	0.96238449625967	0.969253440452314	0.695644035548828	0.722455904534067	0.70391746360019	0.792309110213203	0.836954563044287	0.94926838201385	0.846318427375531	0.898678321539203	0.952422672733734	0.796090787577878	0.926299709581971	0.623955084369271	0.939533019069606	0.962187840922941	0.687659469906997	0.734378535465388	0.944680916798192	0.80064633698342	0.712132975231634	0.86787851317124	0.72032717658889	0.896538280246393	0.936219462586701	0.91921612574745	0.808068755638591	0.583502254482172	0.919804746630424	0.239757313085982
HLA-DPB1	0.35726582059006	0.512254309509799	0.796481335372282	0.0965912186298132	0.4300712945132	0.511773707207766	0.38288071954222	0.660468749670887	1	0.520739633921828	0.492290813662272	0.322042682524478	0.655125261403188	0.317682385275479	0.562239281437048	0.371880216364164	0.261608219905675	0.786925967270084	0.0659545420696927	0.389493445233342	0.123239182245249	0.0860719993059196	0.744230738448075	0.578707861840307	0.653244099894883	0.331782592779782	0.696389472323072	0.323648263342133	0.736889741988553	0.37395552875221	0.412866294288022	0.438790050594342	0.506081978187223	0.907881526367543	-0.142649376088247	-0.438872319831201	0.837149170253001	0.0285194266602847	0.366332035826714	0.660404685517979	0.767396175300357	0.326677567566436	0.734063920906711	0.474679686545352	0.287951564284104	0.688084710056596	0.532435951814168	0.381523649302548	0.630294350219782	0.0486808930097181	-0.294868352086669	0.706048366339973	0.787818134061378	0.222521838961745	0.757337614607987	0.743562276285924	0.581001154580678	0.338361903082865	0.422297504533723	0.0389548646139171	0.109811044904635	0.287182899596003	0.0550955072350237	0.558254059312912	0.474317002770768	0.747445921160291	0.688217545708857	0.650857074895	0.319175035920742	0.902187428576884	0.317900425418554	0.466886779129292	0.0745144034493824	0.758943510716195	0.225563125922973	0.346543800297291	0.61786262314975	0.546992153780568	0.609332534910659	0.00406118052901748	0.86996681735776	0.659911709306839	0.888214178719251	0.595159180771374	0.0359475845576773	0.528658569076019	0.0172755761580871	0.52342112153746	0.149352411586969	-0.500914787136959	0.331321218820344	0.151840785706539	0.860045794992118	0.15199866170426	0.851316747580258	0.551548950498573	0.4738569575406	0.780146042501482	0.496023259932688	-0.109860316652841	0.0540108909531443	0.255715784223971	0.239712085106099	0.427491435895397	0.174098774405507	0.0717323547891774	0.896419430782372	0.480641616475939	0.104046580575985	0.803347293074171	0.897536804920614	0.786866518654075	0.544826287456817	0.14789382671972	0.642222158287609	0.711789629670796	0.197625432505951	0.0936719816224801	0.802910220524322	0.562672187255613	0.812858326999251	0.632759689202411	0.759160757526619	0.493737559237706	0.563658916263167	0.667080534204042	0.826402143310581	0.256758799460804	0.146666337748123	0.354493629416258	0.598345537828101	0.630960674700165	0.761704215573856	0.476782856796529	0.631337428223225	0.865121402823317	0.787684602873119	0.0570844983861182	0.801959947932818	0.684880254103155	0.506712031469049	0.440966308241028	0.536620562311924	0.531574432129899	0.305202438589875	0.582967532249373	0.630806051582027	0.531060571983811	0.575272995382819	0.704493090091929	0.512434530542417	0.326639175482838	0.546512219472495	0.168207136600224
PLXDC2	0.937629951769905	0.939936138542205	0.811829167996694	0.862941912987604	0.944313766067024	0.964133943668288	0.957863148914651	0.930564574519383	0.520739633921828	1	0.888896975235187	0.894763533911467	0.942950818010955	0.947263515674539	0.914295592987714	0.90788990822352	0.872263465058619	0.806858555982922	0.821286085329779	0.947158741911224	0.431005402890868	0.746988481369527	0.808364504372916	0.912567243928237	0.936336185326639	0.936406720924473	0.900034874599945	0.908733435481593	0.889299604114751	0.927604310897516	0.953164197750513	0.857557269110273	0.89785748361115	0.807630018059087	0.556435878397839	0.344076445950744	0.546637509536073	0.802308638615117	0.90082497611537	0.91873226486791	0.88276428621619	0.834769492559374	0.873235629000603	0.938017498244088	0.812485048013289	0.916277041697583	0.945390969256522	0.911489170823437	0.797960288471923	0.732393546758436	0.0784210954754225	0.62467856129797	0.430391522227982	0.891115173248847	0.886205317199663	0.47738822962231	0.941663160929009	0.908796321307524	0.941888866029217	0.763153222642855	0.862628942502211	0.915324382957719	0.737835459099937	0.939762783845901	0.933382256364313	0.840190519343145	0.872425572525871	0.942336928648358	0.890350999209428	0.478759582572504	0.865876416471859	0.929717540998172	0.756862498335646	0.827926894399283	0.774079996675856	0.918962889131518	0.960207082416293	0.960356625913599	0.832533771772854	0.773952379641145	0.651322827021851	0.929908480061135	0.225332035622164	0.90625059502028	0.766657335070201	0.924613763172181	0.689695620947021	0.920598525418454	0.822763976469076	0.114527251239169	0.901714600451861	0.762816072205616	0.72293982434569	0.822844016559666	0.302987282982892	0.574412089678103	0.175666537032683	0.777265339660094	0.944435770534371	0.693356833717241	0.774648627003448	0.776393561131983	0.86977821113834	0.947949558537926	0.787411778187664	0.822728193941906	0.38493158680893	0.600481721757459	0.728861491079224	0.652454628767615	0.50549035162586	0.74223434187351	0.76615844736948	0.81127876692222	0.764971738490555	0.875242107405125	0.835793814960013	0.820134811919768	0.706201579746229	0.775213990575887	0.801534878859246	0.908595678533243	0.709131730688527	0.829014179726096	0.958487439859399	0.929708164384846	0.530398025506473	0.868232658605753	0.782579769207093	0.884017309898231	0.821277894448658	0.942972932268103	0.775144776554637	0.911129212857303	0.925564481604409	0.643780100774033	0.815121553694113	0.790656464037459	0.857554590409191	0.892417791196935	0.638594759295077	0.785368089541265	0.952030417609944	0.799323316814327	0.755199027296655	0.828424383035919	0.688003355531995	0.91817194126668	0.938675395255552	0.860802063619082	0.841760322561413	0.667750178467546	0.971211405852202	0.241007059270938
