""	EGFR	THY1	GPR37	LRP6	SORT1	CHL1	ITGB8	AR	ITGAV	GPR37L1	NRCAM	CD47	AQP1	VLDLR	FZD3	LRP4	SLC16A1	ITGA2	IL17RC	CD9	RAMP1	LIFR	LRP8	CALCRL	ADORA1	TSPAN5	NT5E	INSR	C1QBP	ADCY1	DPP4	CADM1	LRP1	TNFRSF1A	MRC2	TLR4	TSPAN12	SORL1	ITGA6	LPP	ABCA1	CD44	SCARB1	PTPRA	SDC2	SMAD3	ITGB4	FGFR1	CD82	CANX	EDNRB	TFRC	MYLK	NOTCH1	ITGA3	CD46	RAMP2	NOTCH2	CD63	TNFRSF12A	CELSR2	TYRO3	CDH11	ITGB1	SDC3	ATP5F1B	TRAF2	AMFR	HMMR	RYK	RACK1	APLP1	TSPAN10	SLC1A5	PILRB	APLP2	ANTXR1	SIGIRR	NOTCH3	GPC1	RXRA	NRP1	MCFD2	CCR10	NRP2	JMJD6	TNFRSF21	SDC4	CD81	TNFRSF14	NCSTN	TSPAN17	IGF2R	ITGB5	MERTK	CD99L2	PLXNB2	SMAP1	PLAUR	CD68	RHBDF2	TRADD	ADGRE5	C5AR1	LAIR1	GPNMB	CD4	HLA.DPB1	TSPAN14	ITGB2	TREM2	ERAP1	ITGA4	CD93	CD74	VSIR	PLXDC2	SIRPA	LRP10	ENG	RPSA	CD163	CXCR4	ADORA3	STAB1	PTPRC	LAMP1	FPR3	TREM1	CLEC2D
EGFR	1	0.738673300602541	0.850439125818415	0.764951418915681	0.862963439053178	0.899400405272257	0.900805224217209	0.771677985357791	0.857680816438317	0.833414814341988	0.877246185082289	0.787681029331694	0.51196107859146	0.823196104133936	0.916117916408678	0.796135081108592	0.715446544942038	0.778096333020241	0.795160128028046	0.784986846577998	0.902224135309895	0.883584625111849	0.702877033771601	0.925067742286597	0.875897865939134	0.932721261509442	0.770911619233822	0.764110826751938	0.423415756200909	0.824002945030288	0.758435484360221	0.727218974839459	0.652131014424627	0.619424477622198	0.850642360886614	0.59661172710081	0.872430433424673	0.604681309050585	0.543293703005175	0.767151950511757	0.590777568504552	0.548160315621658	0.630777006427205	0.926222114966808	0.410928313831278	0.799704742253137	0.832714508601346	0.662949538942753	0.841407122091623	0.773559866680046	0.731696297229995	0.559418423405175	0.780408735102221	0.687330663715776	0.761539162762335	0.55506405247404	0.431137992770339	0.803880125304927	0.711845818046155	0.544163185185973	0.772156152416447	0.766831317892221	0.765093987309436	0.457326872423439	0.496024973042045	0.671608929853313	0.700410196745563	0.49930593913428	0.600363497009712	0.57843726715609	0.550356333542516	0.71920215062563	0.816321776972088	0.599751653180704	0.88295693977589	0.545104200866579	0.582069557452608	0.247389052419016	0.71542036283819	0.708081826679159	0.189053689793768	0.0480458526946093	0.605958912683008	0.903835650500747	0.563356309702211	0.597177964849038	0.72322039231999	0.612950437143504	0.350944026728789	0.408926931015149	0.462788767401113	0.556213177826132	0.126475097153015	0.122472616091312	0.0641989470604997	0.528256408009676	0.178716195006287	0.444482611645801	0.0595328874894708	-0.00418347817913944	0.284336135973029	0.281939279468852	0.154984126187323	0.0642636337158729	0.00210144936663635	0.0483502779902964	-0.0487398836821093	0.0877092995817031	0.237079423211218	-0.0704474260035564	-0.0320010204734792	0.624079452770647	-0.00372205463351533	-0.066934373176964	0.0594405555722632	-0.0109620240300675	-0.0475694295480135	-0.0278797794715224	0.614917907420994	-0.0491882845840152	0.519080194805508	-0.0950511154050619	0.0167344161422043	0.0087498020556852	-0.0393757804629811	-0.118889622678171	0.31702229518303	-0.055340713115639	-0.123004305873493	0.458724425399148
THY1	0.738673300602541	1	0.87197764315828	0.849105771564055	0.892197823466092	0.823033186881568	0.874199343830657	0.9228252632383	0.872326002230133	0.842883335960648	0.928088174028438	0.894595239463009	0.831078149785384	0.63852236000261	0.841980138685653	0.519158681864483	0.449369898301905	0.769257987338671	0.774003350104644	0.523663584650421	0.848487639486534	0.8377458801032	0.87277110296173	0.800816518683861	0.798122816906323	0.898703732669819	0.654100502512665	0.406176521697387	0.471562730328784	0.626546519454593	0.739799631965839	0.813160292393358	0.631103726818374	0.689365962534057	0.838764454036101	0.665977055889809	0.671313416940816	0.621613903934196	0.503410271166886	0.77558710622692	0.543187817682134	0.600944617563621	0.526928120076814	0.826560050507637	0.534610472621827	0.870424308063569	0.900914893025042	0.603117564346118	0.855086722098418	0.784673207047067	0.75310635932866	0.457404268224369	0.845449150761802	0.783500302916477	0.677265238330204	0.671167974509819	0.439253174066213	0.904267942939598	0.811790993836443	0.840928708221765	0.72875240293486	0.816773408870466	0.697743699669992	0.569924359306607	0.634510530379802	0.76891496094185	0.855636482477353	0.55889069090502	0.776767823375366	0.726334851996901	0.4957076920106	0.840859452925353	0.694329327773123	0.747166057955853	0.862443248774825	0.609553863407353	0.70049460981002	0.343818036988086	0.492474574338583	0.888685440956735	0.213544301389296	0.145077800021829	0.716362047635779	0.677403014954373	0.722767538493311	0.767675399294936	0.629563115024659	0.790640151393204	0.423082278393387	0.32361283824982	0.573852869371274	0.612002090346127	0.240913582391053	0.195525893681275	0.0976759506020057	0.687438099591066	0.219979828722089	0.537239093133346	0.126425157570073	-0.00841722103592545	0.271832234265758	0.422165447598962	0.204881964387582	0.0509324713476481	0.018072440671513	0.0201274777954062	-0.00785226790756193	0.0971230107326441	0.2648277227889	-0.0275624391166259	0.0134941002815451	0.582440223586751	0.0508971743691172	0.0114354081037087	0.08855159982439	0.0469586073594023	0.00915986237416914	0.0767164984424379	0.617493225726712	0.00967686568024896	0.525704297305789	-0.023107916292103	0.0279999071800316	0.0795066941111272	0.0443459120718749	-0.0872779285575336	0.397736920260303	0.0205765384029051	-0.0782615271450082	0.461478159427136
GPR37	0.850439125818415	0.87197764315828	1	0.908115696767967	0.9365376855303	0.881181983434841	0.931293015708592	0.901815775768619	0.92322019380298	0.858279275303505	0.959385633480459	0.919052616858689	0.738395637508593	0.756293433402456	0.877355354587136	0.687212535753577	0.62618597875519	0.723617940304082	0.8547229231145	0.687587373470339	0.867952718760307	0.913792560920067	0.857008003575115	0.8168879737285	0.913215409798075	0.916477457873739	0.729463663151584	0.572716505262169	0.539828068525636	0.697143678814228	0.701789975621061	0.816912870106939	0.70365470453338	0.740051909893543	0.876748063374408	0.704940605122003	0.738628578395908	0.705932655541272	0.495471613690177	0.828881546279276	0.663151132895404	0.670099589774352	0.666523006773053	0.896733480812372	0.546522858537832	0.901107813929537	0.915781401779437	0.642067815306218	0.810469207321384	0.829450762215132	0.804711044795368	0.547284453522508	0.816761006168881	0.833928560924515	0.795344707387427	0.717156537021844	0.382762997388472	0.914507966473889	0.84528925542159	0.811070677798382	0.700677208906306	0.784545119840435	0.802883506619719	0.612679394172344	0.644784148508194	0.811076944238045	0.845913884861975	0.576976314421987	0.773716959728786	0.74641201735157	0.613238057618501	0.869087368341704	0.707053547655477	0.742602081978868	0.92810334718662	0.646327410307467	0.70881835906925	0.39544228352091	0.557163169123605	0.836830564062499	0.255033265454725	0.175366535410231	0.758347848359316	0.80909066788499	0.778024755909531	0.776473162825297	0.764093002590465	0.777083148970199	0.448245190693833	0.416615274174427	0.589745079626892	0.706386995345671	0.237080980923282	0.227706201738931	0.130811493774038	0.70620365575033	0.272115095811485	0.577394283641777	0.153687274778607	0.0482170394424984	0.319065905211456	0.374534497833246	0.264178444385767	0.11601502042371	0.0744952752112807	0.0775310239425709	0.0267789082887739	0.148378656815901	0.294007555177165	0.00575242326662669	0.043361593105753	0.589086638331769	0.0761985363768575	0.0200522334770283	0.131777920500983	0.07402286802001	0.0374827426203032	0.0790588160459048	0.674236239732868	0.0268506095763096	0.605192346894787	-0.00143135417238842	0.0772337590409605	0.0930666220629015	0.0578989017022973	-0.0431032780443252	0.431643921182558	0.0436590943126822	-0.0511376903808981	0.511245459614113
LRP6	0.764951418915681	0.849105771564055	0.908115696767967	1	0.86559140739015	0.760182920662299	0.837120608656371	0.884878524446249	0.858688688379415	0.750392336354439	0.891128321400737	0.873940106308277	0.728454005558178	0.75250072260356	0.855753234997573	0.672118275804399	0.690471503799889	0.593288815280102	0.857600426063627	0.685374799948815	0.757233489710987	0.820972208612161	0.866687128556797	0.711135510341617	0.822352673422432	0.862992871358748	0.768756635111028	0.460462550872173	0.528849397263119	0.533159697433232	0.610435116627891	0.734038212264957	0.626982888391464	0.722605437989543	0.807067335582983	0.624123174383011	0.605519867737123	0.625498363411665	0.395879771254498	0.746779604719203	0.599045079165167	0.64885137262307	0.63695171236904	0.85204394385751	0.506413654088448	0.89221781227406	0.842975660093282	0.659220659192122	0.71050011511153	0.780056805240244	0.773268079847174	0.613042473071193	0.771333347943469	0.789381182671272	0.692490090723188	0.702817868666333	0.372335890501999	0.856156247212348	0.795186145017313	0.869241846684575	0.592906267912835	0.743165139917644	0.716526625907592	0.571992554294521	0.598990637118274	0.81796203344146	0.823263021762724	0.537280439473643	0.783739315111702	0.734568799921821	0.624934199521142	0.823398531681031	0.675539700182356	0.749110108755046	0.878185754695009	0.576651443222031	0.659669979414744	0.399416557909121	0.573013453289926	0.788210935847821	0.230648248581641	0.175567267116099	0.72755545964904	0.786872774843522	0.810462647801287	0.837070148618477	0.653932640427239	0.724222624937223	0.407602642210406	0.349733033346176	0.547341900352321	0.630516300526012	0.203352909540149	0.174862319958466	0.0911824361041702	0.723059781190913	0.243913290331304	0.563656774593396	0.139480099378357	0.0179774512499017	0.268655241421434	0.418610750187268	0.258247644010004	0.0611661649858533	0.034025190736777	0.0423709300500646	-0.00424363572896688	0.114402631391737	0.263532164697643	-0.0133976054811102	0.0181954800839161	0.499160534586815	0.0512729757119674	0.0015957706734103	0.101685971697633	0.0456138991706438	-0.00532302271121912	0.0454165938166336	0.597898628898909	0.00468735578042892	0.571269388749875	-0.0220942079991817	0.0852291772123268	0.0612559100445912	0.0252000006292094	-0.0610602114106635	0.375730158869915	0.0304163241461663	-0.0611913807343155	0.467222928353006
SORT1	0.862963439053178	0.892197823466092	0.9365376855303	0.86559140739015	1	0.891139465664898	0.91772112109157	0.89480287471345	0.952167135433348	0.850401248398914	0.9646656430642	0.928908143857318	0.747082046769242	0.693375306989163	0.857249504397182	0.624003277325956	0.602353682430358	0.776435524099086	0.869452962541495	0.672459642002498	0.897197671615412	0.876196099524876	0.870220780172242	0.875607551357191	0.908538730378784	0.931945733753419	0.730357656369479	0.495363425895534	0.565992608439452	0.706109935090762	0.700742681091269	0.871047564563992	0.777012912676746	0.778221860317669	0.93400547406723	0.780711820168006	0.764183235994465	0.757814810591173	0.576062078310323	0.873245229618986	0.703009327463954	0.737196166517907	0.711720693781541	0.917406417976944	0.617200536366546	0.868391143552115	0.894141502761374	0.550347120359375	0.872370454625613	0.891943468004344	0.82434320220646	0.578344268988852	0.795705822053267	0.871830509369415	0.788509642493881	0.742096274419128	0.299489918861884	0.952018094897129	0.875658235018132	0.782286346770006	0.746379934036205	0.741645809620625	0.823819539981693	0.674718733184854	0.711488979576623	0.833685823776831	0.86950402974711	0.675402415690449	0.814376114721486	0.746714877997404	0.667595381101419	0.81818941727886	0.786972540435949	0.798199747688312	0.953818091872815	0.728138860449133	0.740721239489766	0.453209582505125	0.60675581071951	0.863229766606331	0.346595617895908	0.261974321370244	0.801719284085004	0.789718470887573	0.793789592892168	0.799072566210869	0.777892544428292	0.8168149907518	0.541919510055909	0.551163480928181	0.636155459533663	0.768183863260846	0.344182548058148	0.320459569180659	0.225475386541451	0.779055240591151	0.354274046653419	0.658811425884471	0.254452309047831	0.158598817046341	0.454930839529914	0.48436379786499	0.356240007525862	0.234501729308437	0.173153473306209	0.186864014896585	0.137055925359319	0.259798372650762	0.389203561519679	0.112887211402564	0.151563539932805	0.688887570765904	0.179892178948267	0.118552696345011	0.240103794720616	0.174323697091063	0.144325240733349	0.173250956291491	0.755526827020735	0.124527076448456	0.666302535097655	0.0983176460938068	0.191557326701959	0.202233876877468	0.157413294203206	0.0531998115272376	0.543926292286394	0.142584588453518	0.0532259514138421	0.593208279587763
CHL1	0.899400405272257	0.823033186881568	0.881181983434841	0.760182920662299	0.891139465664898	1	0.937444119312112	0.809423588840315	0.886793464764107	0.941879993742802	0.933905870813489	0.84456929411416	0.669220493545462	0.731171440914026	0.870092686578606	0.598525209585856	0.600463555790094	0.879338402095318	0.765594972376116	0.675930713513359	0.968406282770262	0.953443302048083	0.69130815154298	0.936833054203344	0.915937528460036	0.930008553759995	0.719027299355132	0.675685268486412	0.443700680616917	0.894700340541963	0.858415903896986	0.802519930744639	0.662424784402683	0.654206266200854	0.821847040304793	0.684963934122183	0.878985531396031	0.682143488040944	0.546920086141786	0.819800133887137	0.569232598901571	0.574364513214955	0.582018181079443	0.915937371674956	0.485830541856528	0.834812377165156	0.940064686400379	0.656175282011778	0.854225631009733	0.792908755905823	0.796900306989605	0.394347521554286	0.869466934433438	0.697430134604168	0.836239689077812	0.508409944826134	0.408929915945591	0.874547477692667	0.78703546640015	0.648120708404023	0.784926048016693	0.719444594056107	0.838773204789353	0.518232181222811	0.534835714750992	0.691939022522845	0.713923381863975	0.533199487690245	0.57580240640743	0.601938910739921	0.496433626864348	0.787567693473401	0.746257231901308	0.573500973514032	0.867039096786856	0.611731849759999	0.626246858853748	0.239248485428023	0.554676042539462	0.834276062376259	0.191377190111697	0.0988401897886443	0.680790372919876	0.806560951432315	0.615110068157452	0.544285790681649	0.737708584255266	0.804291658805491	0.368840465752425	0.388854362433689	0.52310120697515	0.58235846619468	0.171919751916157	0.192054909536438	0.0785828241907779	0.527313048455032	0.163433974925002	0.431610830774216	0.0669099611957396	-0.0111054084482411	0.242114811420812	0.253498019695198	0.156680616121741	0.0576597367698502	0.0028624604089808	0.0351975692797871	-0.0407599472253406	0.0714447658122843	0.218738573996958	-0.0715071548948127	-0.0215864660361195	0.694049445508609	-0.00554450365918882	-0.054018240324934	0.0550131642155461	-0.00791536075933767	-0.0191686786031815	0.0209567562221689	0.619162642242145	-0.0235229078167082	0.531163967649767	-0.0841992904217744	-0.00132638970714206	0.0358690183080944	-0.00437418858831946	-0.122157336677897	0.344522267100469	-0.0411520127231317	-0.124500375137055	0.425076275995997
ITGB8	0.900805224217209	0.874199343830657	0.931293015708592	0.837120608656371	0.91772112109157	0.937444119312112	1	0.894938655638156	0.925381561342773	0.933053275203446	0.966210341134373	0.887246186161062	0.731386785681134	0.791174825572006	0.915147997393189	0.660559035378628	0.616778211897567	0.841696736089386	0.805364140802005	0.703470373359128	0.937311786810028	0.963702697596652	0.766922892756702	0.885781506042354	0.899226954762877	0.933067572895306	0.710506347959748	0.673192472669613	0.52554262888048	0.830173152414486	0.786425296242936	0.872606260737218	0.718619687188892	0.715712194032431	0.870673524719898	0.731878355247905	0.877884795017085	0.70932711730654	0.615904473645005	0.856486601625018	0.663309472084486	0.630651149611763	0.595819633692363	0.932238037758241	0.556560907029662	0.875137166696259	0.940795661321513	0.705426279635602	0.89300357856432	0.831918909958351	0.795230555963355	0.445937063042295	0.817969831757016	0.789745398236824	0.872389027432475	0.648983894259846	0.510240559002198	0.904218111046541	0.852405304317016	0.73516595919898	0.830510446459917	0.812118505467512	0.830478779830118	0.587653360922259	0.63111236686315	0.760025255743512	0.796264529942368	0.57408579194572	0.670935843611223	0.700402395727075	0.568848860065641	0.8763912062677	0.694335880678174	0.655750696320719	0.896386382192723	0.662696085740201	0.719801607462421	0.339143667481985	0.641468947951106	0.801186541061813	0.250200429528507	0.171673681994467	0.723499427500117	0.823503163779736	0.699148845396783	0.669073027657737	0.755328620250354	0.799037929353227	0.446261742723577	0.445006069443454	0.615157056954909	0.664244356102671	0.233222586653924	0.244415947194229	0.156387818243745	0.625608237293062	0.255903497327391	0.530549922680973	0.132465280614169	0.0459001050711288	0.308409809237775	0.336994515638951	0.211016817227553	0.111699973947751	0.0663905450328192	0.0869026375276953	0.0175558143212359	0.129791921630963	0.293000522369478	-0.0157207365456838	0.0313817966609334	0.674995905938675	0.0488871967622124	0.00518021247925865	0.116994943412872	0.0572345664530931	0.0356188898956461	0.0689553008231827	0.672810135023611	0.029847682812119	0.58976886191014	-0.011636951091895	0.0328441006104786	0.0860769747844108	0.0555179325466612	-0.0711796418783971	0.41570183061241	0.0233125199129577	-0.0652104950380338	0.498731949475065
AR	0.771677985357791	0.9228252632383	0.901815775768619	0.884878524446249	0.89480287471345	0.809423588840315	0.894938655638156	1	0.906262267665791	0.841917910366353	0.929815361524314	0.909920812927254	0.777022381012683	0.701389170021829	0.826014497989935	0.626176870516291	0.481712914145405	0.680688296713439	0.848127572757782	0.55244749257149	0.836744579394097	0.840370644415775	0.901523677317741	0.749060498987337	0.85853154234075	0.881869814957977	0.679860491381007	0.450300343271492	0.559505537877711	0.615597152390683	0.72444849662604	0.803346723849334	0.704571817503314	0.75311066938244	0.886629610548484	0.716856773969053	0.662261469245271	0.704856616457032	0.501424547077462	0.835846688207702	0.681691418446375	0.701711824854355	0.666488769449823	0.848971076505437	0.568511300040294	0.853520317205031	0.901958917517937	0.587906742045451	0.809627455887105	0.80730538968013	0.784875133221755	0.550312478199803	0.763655481858795	0.860381974193401	0.712494046926034	0.767024915015632	0.373101709201792	0.92414692331977	0.862698493834003	0.829417223744386	0.684594830190479	0.752717975557675	0.770914395471121	0.649966239320452	0.732029726936834	0.81177755785626	0.918049890695543	0.587272640321252	0.827746819576839	0.798040590763305	0.607832885200415	0.812690623804426	0.628494871618911	0.812286096575035	0.910314270750493	0.678791466699959	0.748446566430918	0.450428541377603	0.523859231028348	0.826281501922453	0.34324085734888	0.222488291514517	0.766044332862968	0.717969703801077	0.764423954313823	0.834456120777063	0.748818830971352	0.806112027867749	0.523392228188283	0.447040306421444	0.625562444570396	0.66186910418126	0.307568391615237	0.292784259607391	0.201607249896236	0.751086623001464	0.353065884682669	0.664501497659373	0.244926064437202	0.12479486875927	0.391103911266799	0.45614957388686	0.322759681618747	0.177400768342262	0.142814155013222	0.141264111473412	0.110360703706082	0.222801875247536	0.369008489233572	0.0958121538744869	0.127481436107242	0.579964989241609	0.165169839965115	0.119707963945854	0.209666125850247	0.149455305322742	0.113031974399517	0.151674626953648	0.716812022296091	0.110190127192394	0.62716362550826	0.091768243489334	0.162204307824775	0.16000540699234	0.14375278963206	0.0351548650436692	0.479255209803363	0.142230995839354	0.0399469509685101	0.573056533931812
ITGAV	0.857680816438317	0.872326002230133	0.92322019380298	0.858688688379415	0.952167135433348	0.886793464764107	0.925381561342773	0.906262267665791	1	0.884262832026169	0.94899829184391	0.938106554791342	0.75541737208543	0.745619096260653	0.858395559923853	0.671301750646879	0.592018903657419	0.737056285397905	0.909440137647028	0.703825486825944	0.920741982113386	0.883799531161398	0.851859904290807	0.833073677759487	0.902065559521625	0.921843844442275	0.774070875551662	0.562209411714546	0.653098622900085	0.730166772654834	0.735078752414737	0.906240852344178	0.867321117103324	0.872216366057228	0.945739796205174	0.841151948158159	0.748761864803825	0.854935937460631	0.646801636731869	0.946585111790183	0.808465538557381	0.825903332732554	0.788314069059283	0.943015439108478	0.704917140009727	0.858088851757918	0.917400508665714	0.638141661754304	0.864945181864008	0.928893508565057	0.885200018875269	0.644497014764538	0.795431454616696	0.89806835813186	0.788310991838442	0.803464435091282	0.358871814164664	0.966074507703697	0.926855840525862	0.76197359594037	0.737161018719465	0.698826828278908	0.857823772528012	0.774164096663752	0.810147245986985	0.866594695334296	0.872216087281483	0.721939152030716	0.792919648064301	0.833727667627031	0.752201937883286	0.780197944384562	0.748385584462309	0.83819664044356	0.955938352121585	0.811758092715852	0.807551943118873	0.570505198209737	0.623852747110866	0.849302160131092	0.487430115539648	0.388573959009334	0.882427123681646	0.802893744623692	0.833070131658092	0.802704928060866	0.867907386915186	0.864066793980804	0.659914041767624	0.639401056931155	0.740344306501187	0.768423267454757	0.445108993385933	0.458073412007331	0.370347516816578	0.809590763272992	0.488591896891089	0.735378027763789	0.393445022043065	0.292463053016047	0.555026689961226	0.56255844938284	0.435517962740246	0.354858127055108	0.306070900482079	0.320040647071816	0.269357670136427	0.382209901286907	0.53638306967385	0.243996463723429	0.282677334511067	0.744829976882892	0.29869239402052	0.258899572719175	0.366575352051656	0.299688833747793	0.274774830302306	0.306824584601317	0.843817285801165	0.269397286462718	0.755497790809536	0.241512465592844	0.29602679462212	0.337490783802249	0.304998150736827	0.181565142117434	0.631372906365478	0.285321766488805	0.186161923830179	0.694244699248173
GPR37L1	0.833414814341988	0.842883335960648	0.858279275303505	0.750392336354439	0.850401248398914	0.941879993742802	0.933053275203446	0.841917910366353	0.884262832026169	1	0.920162927429572	0.848651233469256	0.687063072615748	0.706342187007808	0.816671166253628	0.550494200077568	0.524292639596685	0.858874063927493	0.76129006591105	0.602322370552572	0.952314284035084	0.924885224747703	0.668451717993565	0.874296507123296	0.853314037796397	0.884968809233912	0.693345663458899	0.648503408051468	0.48711701661281	0.864043580880799	0.8196668401414	0.834812119671375	0.686992705037721	0.69935501873422	0.80406088920478	0.731150737519809	0.822343625915642	0.729240817132789	0.576850350986666	0.852143586982878	0.627815742965742	0.622367300347343	0.563970715230289	0.88081988590433	0.563329615586973	0.815505065717125	0.92280238468955	0.663129237200767	0.857394347925295	0.799855879095118	0.802114256435832	0.363978368600023	0.842751604498333	0.731920566886753	0.804069022199109	0.537866693693713	0.48147466813939	0.861464273678282	0.817346781361028	0.673442093556231	0.797848994789094	0.701327654365695	0.834713331922538	0.58975941623469	0.613744484852128	0.688977660699383	0.714513987980431	0.585564085461582	0.563127598948798	0.670068815914495	0.508646997718735	0.793214894395969	0.677480708839485	0.592042897740158	0.836590577223413	0.651780278868389	0.687158601750547	0.326379143679167	0.581676278070662	0.809476372240597	0.285119427817688	0.193767764632993	0.720186650493946	0.724287734194859	0.647837088917647	0.567093252180503	0.73422819572054	0.844849638936751	0.451540487398338	0.426231218439623	0.607136971120063	0.573082333549813	0.261392946531222	0.272744869558585	0.171696184356773	0.557796213024874	0.25235825064649	0.483250463801046	0.161014090422809	0.063074176681815	0.31720882712079	0.328099449646295	0.230709697389582	0.139556977285379	0.0919449463684715	0.109051078453443	0.0548926803915863	0.146364261390786	0.310694257590552	0.0115022676649402	0.0605461035602053	0.729743871160642	0.0700828093057712	0.0466451421203725	0.135039572364241	0.0783395120829538	0.0765071974449016	0.113190829187204	0.67623221618804	0.0799859513509364	0.560897142618411	0.0202709218937552	0.0640705078284121	0.12806862482464	0.096120845060157	-0.0354787067907116	0.410274341316996	0.0430986438507118	-0.0372621472022148	0.507834662607953
