""	CD69	PTPRC	CD44	LAG3	ITGA4	IL2RG	SIGIRR	CCR5	CXCR6	IFITM1	ITGAL	PTGER4	CTLA4	CD47	CD2	CD3D	TNFRSF1B	CD27	CD6	CD226	CD82	CXCR4	CRTAM	ADRB2	ITGB2	CD46	CD28	CD3G	CXCR3	S1PR4	CD96	ITGB1	C1QBP	F2R	TSPAN5	CD81	CD8B	SPN	SLC1A5	CD8A	CD4	ADGRE5	TIGIT	CD7	RACK1	SELL	TNFRSF25	KLRD1	TNFRSF1A	ICOS	SORL1	CD247	PTPRJ	TFRC	PTGDR	TSPAN14	JMJD6	CLEC2D	IL2RA	HAVCR2	SIRPG	TRADD	CD5	SLC16A7	TNFRSF14	FAS	CCR6	IGF2R	TNFRSF9	PDCD1	PILRB	HLA.DPB1	JAML	VSIR	SMAP1	PTGER2	ATP5F1B	KLRB1	LPP	CD74	PTPRA	ADCY7	LRP10	RPSA	CANX	CD63	STX4	HLA.DPA1	LAMP1	NCL	APLP2	PTPRZ1
CD69	1	0.653639976208492	0.748036438127364	0.258893401678274	0.613385377341876	0.777105311115528	0.828799366396144	0.0754958292226507	0.496163050181421	0.889571691675633	0.542085742432049	0.897902841542594	0.493909489600324	0.838181537766901	0.695900891450257	0.803189666875603	0.587843797875815	0.470801016574531	0.85101445188225	0.819939775504036	0.750936238308942	0.907747644243663	0.0636313577784003	0.13901233552978	0.619269270744471	0.667869485537335	0.707750019143427	0.836887586786947	0.357433641641785	0.865896919227834	0.761330395020733	0.767129819480865	0.803457219262158	0.149339233479291	0.693002696708155	0.34468060597787	-0.0278147754005161	0.742060718931472	0.673528914773586	-0.0861012598602348	0.692565870967233	0.634271061041584	0.397078599086864	0.756407475038212	0.90175294100204	0.715234686273414	0.816308924603603	0.138095495748588	0.471838176202488	0.598179731197027	0.662412501279384	0.802290298744731	0.365337704229167	0.573229161524044	-0.161153906307478	0.747015059439017	0.35745162890856	0.722807537157797	0.498873335311235	0.428091726714812	0.625995710323043	0.853569847259943	0.774562096744356	0.680278146778504	0.789683358207715	0.636745292652112	0.74477894025205	0.526952610896506	0.425667617213938	0.604469283134527	0.171330578163075	0.311711043056694	0.633232130382376	0.81675000201786	0.826909282613462	0.732427519671215	0.748246014075742	0.816025656226288	0.55817294285569	0.363093636221513	0.690514752230911	0.566575348902025	0.778440457121835	0.891763125802347	0.658342825578401	0.38037017310532	0.623399051048701	0.303977419929974	0.74599306587212	0.736324720362088	0.247404607097058	-0.137345915254436
PTPRC	0.653639976208492	1	0.939087277049369	0.654982218970143	0.887894858680321	0.822830641198927	0.736650782694524	0.575283779553444	0.634664445371779	0.559085277319155	0.89035172518679	0.614895939663768	0.560318973826156	0.787767357975622	0.856336417978425	0.815953458566239	0.777780727690649	0.779144878580887	0.67196332908215	0.589641899472946	0.772473096138889	0.768751453893097	0.401598573248853	0.471955529663659	0.777024125983197	0.786867371254466	0.803464655005783	0.88467248403867	0.620231823094398	0.666223213387921	0.873618839373056	0.757103999631465	0.518783721078899	0.557112586202535	0.814788413336323	0.615311576525479	0.247055262882342	0.821325218801059	0.581944988397103	0.265562843696202	0.607723972895698	0.871693313316191	0.66892736592014	0.712838747485672	0.614764626328405	0.308980032256289	0.483144952066558	0.252111687998769	0.546748436717605	0.640636001903137	0.562488738844225	0.80252883154885	0.748754336011592	0.734440526793978	0.22690538219942	0.816109050575466	0.628880061396027	0.878694251261839	0.561292143563648	0.706646662283981	0.721415240768108	0.424730579575204	0.692928717770565	0.798217075093904	0.809401939328062	0.744232632093353	0.611579359935187	0.795293023792563	0.690753644970302	0.551649702622143	0.570108137844787	0.575979896398919	0.745360202180463	0.523087523571944	0.67950745131602	0.268179340839579	0.638696372548178	0.365022815436428	0.734286568859761	0.509486565223782	0.842418121495882	0.800103858755277	0.768491888061051	0.514088355486554	0.652326973622321	0.450427730228574	0.817095220959918	0.47675056082343	0.711889550347484	0.878598248634893	0.378229656411054	-0.0433621341784629
CD44	0.748036438127364	0.939087277049369	1	0.58152233871676	0.822947993782345	0.801277081896275	0.779131639680899	0.497408040149107	0.543710707150312	0.648632348540537	0.851449622917589	0.719415945610642	0.483491017028968	0.840319546997517	0.810740027518391	0.808698928904921	0.714964374375836	0.711051065637437	0.703528520129354	0.629485222878851	0.781059386611894	0.836550472986953	0.383829811217142	0.472961704949892	0.770272109770321	0.799019157075331	0.779885618882009	0.895409248848048	0.575471568182801	0.716674614648909	0.862803900926345	0.805163147698188	0.618396812092392	0.529669421554759	0.799279653082041	0.634288434783009	0.23509642461442	0.823831445901503	0.625454228588327	0.246208608599124	0.606523793065445	0.870139880475205	0.563883480114942	0.701415890282541	0.708629235377451	0.427361058269161	0.526982908769546	0.246692448437842	0.572397342367896	0.59375913961157	0.6350909862467	0.792353264215709	0.673629787436199	0.736931957742478	0.164324784588584	0.820247467424886	0.621784666380444	0.85621279481012	0.498753970928694	0.654823115548612	0.661359892605468	0.52927910141877	0.700297524655019	0.844350717944604	0.820250764552665	0.714874637634451	0.611079705436645	0.778081395114766	0.595268151845424	0.512979281463654	0.526301807261414	0.580073124841969	0.750947346359859	0.599127365530636	0.714089784834694	0.403327711801125	0.682353819931525	0.439668369889507	0.73734382301707	0.535592149858334	0.835056488631841	0.77745708295637	0.775808045378013	0.61984316321197	0.699829812750661	0.477010414452237	0.823187230766737	0.494073984081603	0.754114020772624	0.890156413343375	0.411356523436804	-0.0514071631592371
LAG3	0.258893401678274	0.654982218970143	0.58152233871676	1	0.511346788936433	0.585223368617785	0.500398421881055	0.620141062229826	0.553775914197438	0.263214990466064	0.683066291699867	0.19618251671207	0.329893590998689	0.431386277014617	0.663328618634111	0.599568949489038	0.488611539099206	0.700800033011881	0.389322853580148	0.125185811154902	0.485049340939252	0.502062313044807	0.547637913194065	0.476403694225607	0.627019241959462	0.40648740679891	0.375211790981299	0.579570511415281	0.710516028942242	0.318202235380012	0.616683548006053	0.402642794983475	0.227424473696766	0.593980760185475	0.546751369894864	0.691838713819103	0.526243672625042	0.528434432110085	0.388679964648813	0.5501676839015	0.232700101337772	0.683085088109913	0.437647389533675	0.478896193770197	0.246971942937335	-0.115214542537442	0.11390487366636	0.418692934238092	0.519174628786981	0.356301125400347	0.198034562331144	0.559091090954122	0.513326062269488	0.352766207572144	0.386438988032014	0.4312882736273	0.698808539851557	0.438860372705846	0.296323726755269	0.561412457604206	0.454307091866982	0.0187130844488319	0.333319092767097	0.375985464270621	0.497481980241907	0.438723473383473	0.153216676583092	0.496718992120948	0.433966118807792	0.461744389150804	0.5603887655055	0.563981401833678	0.597314578321308	0.207088501311721	0.362934044276954	-0.0861491292995769	0.461782381014449	0.0486539069561788	0.42666344426508	0.429931302165096	0.461540526742244	0.49497900327631	0.41445943164859	0.149574627804749	0.398693618891548	0.354515571915302	0.556725359072126	0.42556585164697	0.440919163227867	0.462470807523725	0.252361720821625	-0.00672992481817683
ITGA4	0.613385377341876	0.887894858680321	0.822947993782345	0.511346788936433	1	0.835043561114843	0.701733494412285	0.441429989665193	0.722189912510466	0.493906774762919	0.795331845726649	0.50495198386569	0.722396164964399	0.701796811795064	0.838453501704563	0.788617643937883	0.859703259143503	0.74069231384818	0.632316186158697	0.660110871191224	0.770760194180491	0.658219787649357	0.15914673993685	0.246083736694193	0.730715222488534	0.749891532162987	0.849156475775611	0.803500746901825	0.543998114756285	0.690567687678808	0.799659219797201	0.728024996516265	0.503924159587236	0.403503598863184	0.80892141134765	0.442275730513502	0.0157810192418165	0.777239830280593	0.598551807544556	0.0102438906303222	0.724244483313195	0.736597368304351	0.76853479534629	0.746416266892348	0.580539117874598	0.269016140381358	0.580448387878326	0.118752488549712	0.52246301870699	0.742745188578909	0.522260007052802	0.786034660506131	0.779152612117458	0.768992657721511	0.0695874884748184	0.819744041884356	0.415984284453374	0.881969802911215	0.718018177437045	0.741248281414283	0.819634959412558	0.449516868657295	0.733734263540827	0.700033492651047	0.808657845763125	0.797568772290051	0.722796493162398	0.767001667039409	0.769818429887893	0.642629341190857	0.37140315873214	0.476555129690752	0.74412637348063	0.539294870077407	0.713442646404363	0.257288719347808	0.634710765306066	0.439708623634065	0.743338279851599	0.476857032871893	0.859076931805244	0.729901645630998	0.760083398461711	0.478552075574248	0.627623072627429	0.477014050846416	0.757617228629606	0.438877089006884	0.689681110653152	0.816860850323625	0.399670136686363	-0.0166911989425487
IL2RG	0.777105311115528	0.822830641198927	0.801277081896275	0.585223368617785	0.835043561114843	1	0.891669309614544	0.369353313227327	0.821248760643717	0.700891145428693	0.78613072488958	0.619294237798348	0.784376312566875	0.785961480851549	0.929062928873518	0.948842103525674	0.888354552595986	0.796515000537936	0.827539286331966	0.741769968528581	0.899163654728299	0.807008759322447	0.136626277365235	0.173276151919027	0.830163623275393	0.710855402079835	0.844671168634582	0.897384770011999	0.635482077326944	0.818381660001721	0.861261494246657	0.791097687412167	0.70670140402678	0.338256302215021	0.878560586775138	0.504048517955396	0.0347170993809118	0.837579572308058	0.752282123304278	0.00374675616881238	0.80327121422882	0.734807311088984	0.733423896708592	0.896495718879993	0.761998030982868	0.391351750820041	0.758457560031577	0.155634604392679	0.665508556119159	0.811868474039314	0.583106110846024	0.90936589614884	0.695896696999775	0.719212934507788	-0.0410083908337949	0.859054529426109	0.469016610529324	0.833481986527381	0.751636602881863	0.770699621208725	0.883645417657531	0.638175993014369	0.855577896026862	0.650359127177607	0.898860706431696	0.835092628243749	0.7884385732545	0.671743003067088	0.749589575163515	0.815321326440536	0.290232721578634	0.524265123333363	0.79515603356263	0.73815256331337	0.859733488516063	0.395177778337713	0.827173642580544	0.661009492073632	0.747244174001112	0.5427299401235	0.819058395977696	0.711368280402412	0.87343644691819	0.680118241315871	0.731567896779836	0.539971074242232	0.758757985867155	0.495990983612526	0.803586722865795	0.790380699265967	0.396367747175546	-0.0628843233288683
SIGIRR	0.828799366396144	0.736650782694524	0.779131639680899	0.500398421881055	0.701733494412285	0.891669309614544	1	0.287488059979747	0.661479466307402	0.805419548432407	0.699592961549767	0.725543901524737	0.640364287794488	0.789743409839982	0.839440952756919	0.906145385897629	0.752076741342166	0.694334219948354	0.818777937821109	0.719515790815459	0.842811982739749	0.84727310114009	0.154063492655727	0.176743776498188	0.761217042572901	0.688049884985428	0.760193829874847	0.878913153811264	0.569451285269314	0.847688192642469	0.802919735660355	0.800256373919903	0.784447203922008	0.306887917864065	0.787967894909126	0.490159189174051	0.0510964315154132	0.771195367101804	0.709818919364574	0.00451501166574737	0.740992366336279	0.69325764813468	0.587362724168438	0.851916163839792	0.852947322760791	0.526044338208437	0.757151811538511	0.150176770946221	0.63863607636557	0.725453081560002	0.596233725520868	0.852144887198111	0.53681700562019	0.635209093435227	-0.0669662621484389	0.813050668047263	0.467746769125107	0.745433800373972	0.621604698028261	0.610570867456768	0.769730786655059	0.729576953833238	0.833952004359848	0.633495926143018	0.885581420947445	0.748603961626593	0.738381343156525	0.611876039214206	0.595823901257013	0.73521181603629	0.235282657577204	0.482236194758429	0.726240644853232	0.793481921549133	0.856588798633531	0.541751453144279	0.829530660552395	0.705060610328267	0.680422391081779	0.510865619962383	0.755162166181802	0.642906475409004	0.828627485820262	0.793423112033283	0.723514341567082	0.504542421510891	0.710045691718421	0.46113954517759	0.797374886654623	0.757994521364382	0.372936417498666	-0.095579894872372
CCR5	0.0754958292226507	0.575283779553444	0.497408040149107	0.620141062229826	0.441429989665193	0.369353313227327	0.287488059979747	1	0.4350020925887	0.02903641859571	0.673137877289727	0.0512627924704797	0.0690508248259636	0.271679001063378	0.521619081097696	0.402990658398385	0.288585983464163	0.554915291386859	0.231595401161695	-0.096467142721929	0.301783761386948	0.318004103787405	0.641492558909388	0.625144183385421	0.519616577215757	0.205402581442447	0.222429522959433	0.442342619447181	0.59668206413148	0.0825330435180405	0.543856914519013	0.196101407387675	-0.0505570385371023	0.720555818294474	0.463165012565372	0.603945984514336	0.63733846546878	0.40798449830238	0.160435595924124	0.689099422805474	0.000308818203319036	0.615105540344087	0.276279735141256	0.161989846205998	-0.0103251376435588	-0.318215918008976	-0.11757921093321	0.39717965062359	0.334343142357075	0.0876432880323382	0.0122750019244524	0.388203576466394	0.438575849124482	0.270776608781869	0.618949001500373	0.264590451701064	0.598356808678599	0.317289799077012	0.0515023096496674	0.404014718043313	0.281005405590494	-0.184936821525598	0.15005123651157	0.285304378084851	0.301446373711148	0.251434412857643	-0.0218769508748886	0.377636958813892	0.31116788669343	0.244500484034922	0.608866591678903	0.44457516285204	0.455341392312686	-0.0886554947661082	0.139928340562349	-0.248040348042538	0.155579760541597	-0.161498814741428	0.252903271047097	0.251025351146937	0.336894404422576	0.421831042554432	0.219305888053383	-0.106228546973023	0.167919596724171	0.135135823308169	0.396116714119172	0.290919642013285	0.190174675175146	0.331155489385608	0.0561086534930379	-0.0763738034887273
CXCR6	0.496163050181421	0.634664445371779	0.543710707150312	0.553775914197438	0.722189912510466	0.821248760643717	0.661479466307402	0.4350020925887	1	0.370666100482921	0.644254676330683	0.26439938795597	0.77062534613137	0.511839634972155	0.866455524112118	0.798240574965294	0.785549615709898	0.744510563167884	0.659570081876265	0.486584461307112	0.685611740967964	0.548326297480804	0.0972106394518277	0.0786508132224409	0.690445897662586	0.466036856893361	0.661792164141911	0.681971312402415	0.61931201544407	0.565319258329126	0.71276633095825	0.455869827511543	0.360177930829687	0.256112963765794	0.750688631445568	0.351916648300623	0.046695647511403	0.670902746791955	0.506784652349149	0.0205990525115053	0.633318635624572	0.542555447381995	0.717699735871436	0.684649346440748	0.416172498020529	0.0188637506810503	0.549771483911504	0.086398406072644	0.489152388427776	0.705206269825124	0.251234662447767	0.726934049251572	0.624829964920699	0.539460668475277	0.0230601301189415	0.600916897760176	0.347837076425031	0.622210251974515	0.66300396814402	0.708189511430864	0.819233086896309	0.3330594935273	0.651212813664229	0.353263994007131	0.690882460397447	0.707339490289737	0.60570061937519	0.484637144393239	0.684118533659352	0.814049439198922	0.17529508594192	0.39430763849061	0.673700817263398	0.438231219677238	0.634763872823764	0.0756466713865227	0.564307776035316	0.472953388044712	0.52010713941374	0.360290924115547	0.640918110041513	0.476014997674539	0.605538006137169	0.328718030933616	0.434623622964523	0.353146674173374	0.521845886437631	0.361472628976389	0.545038674661613	0.505832923889917	0.209011267450835	-0.0667015639371254
IFITM1	0.889571691675633	0.559085277319155	0.648632348540537	0.263214990466064	0.493906774762919	0.700891145428693	0.805419548432407	0.02903641859571	0.370666100482921	1	0.469123691184857	0.875494758519629	0.387953040643612	0.790040192995313	0.599497269514395	0.74549345660838	0.471406760562245	0.388680572365396	0.777765466548535	0.741836918152012	0.690863345777964	0.839685889689238	0.0438793885105828	0.103284987390738	0.588533297456105	0.617077786697294	0.626736153656368	0.760820282428657	0.344182910823723	0.835419511267949	0.65668012984205	0.772743442858015	0.873785769148209	0.164821323318919	0.595793202468174	0.398313111141215	0.0083556599963707	0.653034254091376	0.634402320845665	-0.0586596528564844	0.618465614625092	0.572958672857178	0.276032840581871	0.74045223383794	0.928364382331667	0.759025202697694	0.755596637162	0.210374099740171	0.51835517535122	0.517576868976006	0.645573196574863	0.749490586961907	0.258277552276003	0.473388352829011	-0.144624984339592	0.693202539042953	0.354459790807308	0.598067144894333	0.405987703169036	0.365855241937362	0.513816859449565	0.85871995394683	0.711147619178539	0.617999256248293	0.741363078865182	0.525888675237134	0.640376524788846	0.467514566018758	0.301895019276147	0.535919713026942	0.148911782301437	0.323845975640795	0.542963807250925	0.836940755365005	0.804305161991903	0.761728037168265	0.781943580949274	0.790427760319298	0.533805329181433	0.379423130018491	0.603135295717394	0.4844883605104	0.730733952399456	0.930236774904215	0.690503614110895	0.431177150001093	0.581056288222598	0.311920396311998	0.739230303852305	0.694688449056567	0.289937555262109	-0.108888238378294
