""	EGFR	ITGB8	GPR37L1	SDC3	GRM7	NRCAM	GPR37	ADCY1	C1QBP	CD9	FZD3	NOTCH1	CHL1	S1PR2	THY1	CD47	MCAM	CD82	KCNJ10	CD46	CADM1	TNFRSF19	SCARB1	RYK	TSPAN5	TYRO3	ITGAV	CELSR2	LRP1	ANTXR1	NOTCH2	TNFRSF12A	CD81	PLXNB1	TFRC	MTTP	MCFD2	ITGB1	TNFRSF1A	PLXNB2	TREM2	ABCA1	ITGA6	LPP	ADCYAP1R1	ERBB3	CANX	APLP2	GPNMB	PLXDC2	HLA.DPB1	SMAP1	PTPRA	PTPRC	PILRB	SORL1	RHBDF2	RXRA	CD74
EGFR	1	0.982209896686588	0.995370279754658	0.983609724981562	0.73934047969883	0.996460622175808	0.983365324502529	0.90923317047251	0.995826557410682	0.990940670350065	0.947182470587808	0.990763171322541	0.969214316699253	0.961391249229567	0.0162379157540421	0.980724217984734	0.925650239642079	0.621521873824234	0.987339919412818	0.966266828892336	0.983550187465521	0.994164361712867	0.20041129170903	0.810521881932689	0.967644943178644	0.423119247367909	0.969039108573691	0.841775756049006	0.952001668866537	0.954798722824241	0.9941417503847	0.90890390341635	0.891708462605175	0.989763672760503	0.919639560081814	0.981124130621102	0.989636472801728	0.95365298279352	0.912230286943309	0.270280409329316	0.267141346733418	0.57260480737228	0.912953821888597	0.874434406776697	0.976127186901954	0.0861785945440373	0.996570759916768	0.978421317099092	0.45233532190124	0.3390850257562	0.281963017036787	0.992328254400191	0.990919865468119	0.258951588061696	0.983140479940831	0.503749120199454	0.541390137660843	0.875746034057932	0.27696105855343
ITGB8	0.982209896686588	1	0.98910641900921	0.997471985929878	0.820276572843507	0.991074436124554	0.995920908084842	0.970173060208814	0.964806340925873	0.952392356573189	0.990057099487194	0.992296070702634	0.970376422585708	0.89508572942409	0.00411563015820735	0.978693521730937	0.955285050727709	0.57777167712149	0.986576263118057	0.934432141861022	0.994669374244227	0.985304165109864	0.327678209335249	0.885105441366898	0.921281218192029	0.409911754933004	0.979465890722754	0.829061626666088	0.97540798534825	0.989923487522948	0.992301923120573	0.965222965482019	0.954094688367186	0.991516362134463	0.969663323144917	0.996263683881627	0.968585556357818	0.982351257093438	0.959915906840006	0.397244117933229	0.411320837173958	0.699336977392631	0.961715397122566	0.921173532762688	0.970015808812323	0.138450844637841	0.990356810640446	0.99135706172176	0.58428314694101	0.471416677328349	0.424057829836834	0.988543824673178	0.995488590541414	0.392093754113554	0.991344808835169	0.623864735769094	0.648046600179509	0.94477467596502	0.416290983937629
GPR37L1	0.995370279754658	0.98910641900921	1	0.993756872346914	0.797983358739857	0.996779323885812	0.988094111466576	0.928649456531878	0.984143748622528	0.983183149456389	0.964405725896926	0.99106632305917	0.986940770897511	0.941403172116356	0.081281954594803	0.991903300924207	0.956428024837373	0.660846116647698	0.99525447879073	0.97261327438995	0.993357439801353	0.992808335304547	0.268545891505627	0.820128786199384	0.94823608139719	0.484331098901462	0.984733337158824	0.817931254806292	0.971644199431432	0.968062093723198	0.997158105962061	0.92417763673497	0.913995631624924	0.990621290992052	0.938903410094771	0.990941292210595	0.990063452940276	0.971000858454078	0.936573079494747	0.33392884623362	0.316841290133913	0.620649001191678	0.922758705782105	0.903023525093923	0.966037390180125	0.168728207247081	0.996691671948085	0.989996254605527	0.496256059232314	0.396008749034422	0.324191362705549	0.996477905639749	0.9975840394486	0.311229610717797	0.99406273319219	0.556326990962599	0.590653368125732	0.902145667254416	0.332669106315488
SDC3	0.983609724981562	0.997471985929878	0.993756872346914	1	0.834337936288558	0.990713091903212	0.991289671671074	0.960855967496244	0.964147429707847	0.960018111760396	0.98726899648299	0.988367342899405	0.982226558176254	0.90189440349592	0.0617241470827009	0.989085496517538	0.969114762909144	0.620356281752898	0.990602783413952	0.951726008696786	0.998230060033324	0.987138202939286	0.330916397485469	0.857710621114899	0.916597739786398	0.462054111513073	0.987739630195637	0.80292668918283	0.979669130541582	0.987400197739531	0.994344586400325	0.954851192666049	0.947336046283478	0.98798218936453	0.964968706420538	0.998946433560782	0.97691384781135	0.984600048211461	0.960046839073545	0.40161009445834	0.396545114978224	0.687880867025321	0.950121457841215	0.925563386467338	0.959630405260551	0.179658074621524	0.99177802002636	0.993676737108646	0.566584803346112	0.464601107654826	0.404843979825137	0.993218865510534	0.99856506497703	0.382725650991019	0.997027811263371	0.620319712474675	0.647534680675001	0.936351571244155	0.407837990125063
GRM7	0.73934047969883	0.820276572843507	0.797983358739857	0.834337936288558	1	0.780130857245921	0.81259760788773	0.875724631590433	0.688807942695345	0.690227974180777	0.870668712718308	0.783168754066749	0.865115287205368	0.57870216138577	0.392092630117097	0.817018267029516	0.921692750063565	0.707707994694902	0.824514762722725	0.757507905693667	0.82588189694844	0.75721026276253	0.679828689298894	0.771340144945863	0.620989893863093	0.692110730183358	0.854650617639388	0.555212953156504	0.883710478393551	0.844154718293782	0.788987558285655	0.844743719303552	0.87370638018685	0.787098305926984	0.871338154251637	0.826706652251676	0.745708176841167	0.862501169948477	0.887695158713002	0.676561504140453	0.598245659777462	0.835954715780303	0.814418328343157	0.887331470948906	0.715527890959674	0.627275016781183	0.76815037791705	0.84395035495427	0.716011186748544	0.711278062957038	0.556222881742339	0.790931263195578	0.812530838835062	0.616945994125316	0.830341789422072	0.800081019816764	0.793546859800692	0.908676849349318	0.649668532509906
NRCAM	0.996460622175808	0.991074436124554	0.996779323885812	0.990713091903212	0.780130857245921	1	0.993145065865686	0.934173196147669	0.988638636532519	0.978412009156513	0.964315306048128	0.996866400690789	0.976528727832588	0.940679138557116	0.0260403108278288	0.98003611613187	0.940410447673355	0.626201936396822	0.994960869482614	0.958269048733275	0.988196500977627	0.990766265883257	0.262225930398506	0.849354723713056	0.960315081559877	0.434101401073823	0.977707870358864	0.855051349426796	0.968397420276892	0.969109862709323	0.996118763215613	0.932684437403903	0.916593867824304	0.996513402805878	0.942249841746187	0.986797007779293	0.981800734542144	0.965757360111181	0.932901711002231	0.319457769493322	0.313426149292149	0.625444779616275	0.93727919845264	0.898478284751527	0.980802604223681	0.126517963883827	0.996321332628671	0.988155404796184	0.502505350107957	0.396357073467591	0.323482564545451	0.993125416063766	0.994463664245733	0.317419726248931	0.987427579258375	0.556276009857794	0.587192891552041	0.908118865582775	0.331797239072591
GPR37	0.983365324502529	0.995920908084842	0.988094111466576	0.991289671671074	0.81259760788773	0.993145065865686	1	0.962964499265347	0.971414985799116	0.953802422814104	0.980638694393845	0.996246854225816	0.970298433698791	0.903617254838094	0.00443310544488967	0.972120884722471	0.94616188948054	0.594090786640203	0.988182405888796	0.933774665243664	0.988467678036108	0.982424021745682	0.324202714928836	0.888576348039109	0.938340015657059	0.417688012185557	0.975234307771022	0.856170121660115	0.97540379411656	0.980043434872167	0.990607446361103	0.957052773602378	0.945556983541253	0.994779512517574	0.962718329076847	0.987277745341404	0.966648018341962	0.977481972183291	0.954354135763745	0.38009906007556	0.397863325870026	0.688197370602012	0.952306157722781	0.915132612102748	0.97735549569428	0.150699193127058	0.988402947239652	0.99101724059071	0.578688697034346	0.464282557908317	0.408007359698784	0.984754134486089	0.991108140301916	0.380714955762024	0.985707678310999	0.611483983776448	0.635285977058941	0.941888537871444	0.403374344183601
ADCY1	0.90923317047251	0.970173060208814	0.928649456531878	0.960855967496244	0.875724631590433	0.934173196147669	0.962964499265347	1	0.878220456337226	0.852636264001457	0.990920314973817	0.947141956640059	0.920773480265977	0.762615857737747	-0.0161507861642122	0.922255951383089	0.939254552640796	0.493885249571743	0.934537683192537	0.843593236055883	0.955059961567922	0.923569019313142	0.492583558121548	0.943571561120018	0.81873417508596	0.366970723527366	0.942114593285936	0.779102998283426	0.960111424504708	0.983231289614477	0.939262263235598	0.992472076354266	0.989260893594338	0.943581015704577	0.988143111033384	0.959047313753537	0.890258507758899	0.969755150426555	0.97545854241999	0.554379653952711	0.587761041865162	0.836994832337478	0.975159684534889	0.94126728442666	0.915141963173891	0.195292154423599	0.930426267846475	0.959401752499924	0.741608038857451	0.633737526069735	0.596265991935323	0.931502800315841	0.947775533076869	0.560742893586364	0.948422764463494	0.757734175645076	0.765071717849675	0.9903999287551	0.588820902139751
C1QBP	0.995826557410682	0.964806340925873	0.984143748622528	0.964147429707847	0.688807942695345	0.988638636532519	0.971414985799116	0.878220456337226	1	0.991329905418018	0.918544587875738	0.983048373938304	0.951230308340435	0.976628858482458	-0.0121255217838953	0.96248061894841	0.893041485331347	0.613010578078378	0.975088388160252	0.956757347938691	0.964264092410505	0.98505329259419	0.139828143239526	0.788801827085418	0.984351587531593	0.395050919120266	0.9468711463797	0.863310656641869	0.928868101166065	0.928041872117105	0.981728929775442	0.878999644320175	0.857028475812499	0.98208296334926	0.888822725376583	0.960363584828612	0.981082845434155	0.927763042331206	0.879812105940006	0.205965019794119	0.207581894513757	0.516374375044945	0.886603392012523	0.838911887067449	0.977507912366213	0.0424071870621463	0.986558437172689	0.960396538090737	0.399564882639701	0.27941665685208	0.224843704654767	0.978412092949026	0.975311293009177	0.199346611631173	0.963654346023322	0.443816195284383	0.484454117048834	0.842527581224885	0.214058563896969
CD9	0.990940670350065	0.952392356573189	0.983183149456389	0.960018111760396	0.690227974180777	0.978412009156513	0.953802422814104	0.852636264001457	0.991329905418018	1	0.905543424654138	0.96621336797301	0.957994774141212	0.982098790806191	0.0580611128591159	0.974826148346147	0.902747561243755	0.655878834065394	0.968524041538434	0.981063720323088	0.96448866980235	0.983141446817474	0.130678146906145	0.729140040195772	0.965338992503012	0.457892293423705	0.952591517271746	0.797030161498385	0.923330763658546	0.918412991013309	0.979059666760623	0.854766667250931	0.839871571344307	0.964017026858271	0.873218276744782	0.958209386861873	0.992593127878785	0.926574873904853	0.873935626373237	0.203731292328784	0.189224956537289	0.488137528927119	0.857650040045027	0.838511080446027	0.946187490127185	0.0843662089335629	0.983602576899086	0.955018109573639	0.368248031443904	0.262251419731944	0.205037272358508	0.980176459776415	0.972619608313497	0.178324520825671	0.966909315883512	0.430113905410722	0.478272756640105	0.813007208337995	0.200192337740676
