""	CD3D	IFITM1	CD3G	LAG3	PTPRC	CD44	CD69	ITGA4	PTGER4	CXCR4	CD2	CXCR3	S1PR4	CD6	CD247	CCR5	CD46	CD47	CXCR6	CD8A	C1QBP	CD8B	KLRD1	CD4	CD226	ITGB2	ITGB1	SIGIRR	TFRC	TNFRSF1B	TNFRSF25	ITGAL	SLC1A5	RIPK1	CD96	IL2RG	SELL	ADGRE5	FAS	TRADD	SORL1	TSPAN5	SIRPG	PDCD1	PTGDR	KLRB1	TSPAN14	ADCY7	CD82	DPP4	F2R	CRTAM	HLA.DPB1	SPN	TIGIT	IGF2R	PDCD2	SLC16A7	CD81	STX3	TNFRSF14	CLEC2D	PTGER2	RACK1	PLSCR1	TNFRSF1A	PILRB	SMAP1	JMJD6	LPP	ATP5F1B	VSIR	STX4	PTPRA	CD74	CD63	RPSA	MCFD2	LAMP1	ERAP1	CANX	LRP10	NCL	APLP2
CD3D	1	0.940671880333067	0.94087713728906	0.58381196990978	0.504970906480366	0.403852924405365	0.527301652047498	0.600485355148334	0.464875379207471	0.631311873172582	0.914314766639329	0.77620494297613	0.811991723015292	0.444818784908909	0.893268731314578	-0.213367564238935	0.603817101582785	0.703574128659521	0.0238353942619979	0.42541948003501	0.417095538112793	0.724348374586901	0.187522778236032	0.461847187742715	0.709299489520886	0.141370327802674	0.234775787016664	0.790754889192774	0.257507409092751	0.388232255776823	0.642005868778151	0.2747657382136	0.252925085049975	-0.0779460759814914	0.916076004639785	0.944375180615922	0.65364278165936	0.768092531475852	0.317890805860068	0.767693608292174	-0.216224835338987	0.314248811998283	0.756726541155477	0.257995667820973	0.437090323854126	0.627721831351799	-0.095198230303115	-0.193055376524402	0.534919285679265	0.736165789125586	-0.512560722636902	0.528221462880803	0.092601814126427	0.769042096358456	0.157920368601463	0.0244937732308818	0.6372440102358	0.661444836553227	-0.0515103047782428	0.542364275570071	0.735827257603485	0.744873577226645	0.888447956651545	0.749354382276419	0.0771269060908273	-0.170885458198382	-0.293881720955209	0.667725432358759	0.526294266370518	-0.0709518163001944	0.335361225468483	0.307835971559145	0.466545974588117	-0.145746367120307	0.00644173344704915	0.210448224128269	0.842799694056065	0.100361720524063	0.241127125378376	0.0692386497617181	-0.118662499342932	0.0697471112607165	0.255161847685638	-0.093842452945623
IFITM1	0.940671880333067	1	0.844260863102103	0.432771121825695	0.432220499092757	0.33198571008458	0.560310320617112	0.470280701552246	0.532700450467953	0.652149010275392	0.85928987606629	0.769142255854114	0.764032728840733	0.391298356569504	0.854480927783929	-0.256378556489112	0.540274631393653	0.612619366999647	-0.076015500453586	0.342171241749655	0.423355051345936	0.684087342566625	0.151978811721805	0.522645243382755	0.728849400911457	0.139008473488671	0.191155452668216	0.723797620715177	0.260749955160676	0.420804689331628	0.689766484848946	0.271874346666869	0.207692515697549	-0.113202639405611	0.830483028715843	0.898237348371544	0.587933601327345	0.703808405222553	0.193461325152872	0.741659034993433	-0.180590442558893	0.359106970380382	0.788175613374029	0.243051986783011	0.3956181507847	0.650162407096031	-0.109100440239827	-0.185340005753029	0.565708328701681	0.751908495802321	-0.574042250722599	0.44488753592762	0.0984318665716711	0.732842124832173	0.059726196786688	-0.0214264884634064	0.559006322070362	0.694045561102256	-0.0330629263402253	0.607945660829662	0.726937872708714	0.712987968969535	0.907741155345945	0.716308805143935	0.0652850433756172	-0.113136647538005	-0.384468190306823	0.668726212579885	0.554860686482986	-0.0347197153279193	0.357015546857502	0.308853867988962	0.473932587123467	-0.143830627186071	0.0348410638714034	0.221309288500209	0.811914834564046	0.108914341849064	0.184504976456816	0.0964334934399112	-0.0874358804099692	0.0296700281500167	0.259489648901806	-0.0595215322139354
CD3G	0.94087713728906	0.844260863102103	1	0.610696707449038	0.588155794077029	0.46934531846694	0.54215148948518	0.689227617725776	0.500751495571131	0.697618204092148	0.948632390539684	0.669258897810307	0.748482851671427	0.575208961024987	0.857583825909195	-0.133422957485234	0.556105856686912	0.712821190265931	0.0728858425179091	0.397919846986218	0.333238413824838	0.621212849455255	0.282109707248428	0.464324110392111	0.720578057739668	0.10561217831466	0.269158355849427	0.750758127870835	0.214669776326923	0.347893615934192	0.688065370433659	0.256377081657557	0.217769641820504	-0.0952841628448891	0.925595467100086	0.903971386291559	0.640056440540915	0.793068240584414	0.440726425036128	0.812517110650577	-0.271401239354867	0.195292065883952	0.625046970083789	0.290551485648953	0.598661547623567	0.714427292917708	-0.000193858606869003	-0.102106887797663	0.433916869458507	0.770856115576865	-0.456224259403522	0.38701345440485	0.0467089076466709	0.731978289199734	0.157743361480561	0.035991872081616	0.520240808239724	0.709242046063241	-0.0883595468842802	0.563205645037014	0.689516579015307	0.815557178130284	0.840337218297693	0.683244694034233	0.0380663136766266	-0.145968628869959	-0.291309970362541	0.556385128123272	0.465675171258265	-0.12996374356352	0.241451078200525	0.221840849753531	0.357728080758742	-0.145630851848213	-0.0416654846955839	0.129201819556446	0.737592067903715	0.0761079534970303	0.168182490537312	0.133722632231992	-0.160786569057901	0.0881306360568823	0.230131666768322	-0.142127863728709
LAG3	0.58381196990978	0.432771121825695	0.610696707449038	1	0.118379812870068	0.308222976867209	-0.109303708630405	0.279041654086367	-0.0848715795901716	0.173982074034612	0.63507029815896	0.579904325215574	0.451943087601917	0.534244059627443	0.605179170440081	0.218681127556756	0.140156882594142	0.473015824144482	0.372752644265196	0.407026136005017	0.0601519788552016	0.526795213018701	-0.083544288638809	-0.0967550877801463	0.178315182926638	0.0305232351468072	0.0441613742097901	0.711195254445055	-0.0987182391873424	-0.00516692776886434	0.12564192649757	-0.00529811586587458	-0.0225371232079845	-0.0863118795333027	0.580918741646811	0.385283301266758	0.509323022010324	0.462621973862641	0.224025993150599	0.447230031131611	-0.363366274253105	-0.0292182774060115	0.428964694355768	0.530085506812992	0.243408958520394	0.317370493658918	-0.270371786270766	-0.331508448730973	0.198659186303712	0.24151334799722	-0.0884746941852693	0.329913177165114	-0.0930601017128277	0.152117207136824	0.371287689348847	-0.0969497142167233	0.287541299390349	0.339235754728442	-0.0995493746844328	0.0446391367014463	0.382038924207672	0.28584874146951	0.350897396916023	0.357459137524612	-0.147047139946737	-0.27823560766515	0.0246961125130966	0.25192254922874	0.0782213145475792	-0.241768790650136	0.120496806475704	0.200547446937213	0.134594628971298	-0.239519881643408	-0.146503923531226	0.0196420735937163	0.351254346693135	-0.108518443337917	0.136293525509075	-0.048832119391506	-0.25290552374394	0.137718355458401	-0.0468539457680376	-0.213621972968294
PTPRC	0.504970906480366	0.432220499092757	0.588155794077029	0.118379812870068	1	0.758069664672479	0.560666437392057	0.801069821155237	0.568543508781718	0.553493253829028	0.591991607037678	0.0784967288059022	0.280145542410464	0.271379518044242	0.38706094792215	0.0681740677481462	0.703026243045645	0.643201155997212	-0.0260527158403441	0.451491124701141	0.553445487489487	0.349337466207617	0.587174310835375	0.698034884447211	0.605132674905779	0.466047001368131	0.710586195416678	0.338700285544467	0.634799118040207	0.679432474002173	0.511935306159187	0.523141589900749	0.810281757793334	0.509278408731481	0.520556289598629	0.565149487751467	0.456447264478485	0.82096497218525	0.675365687187988	0.333007325023329	0.370402495856451	0.573861082351797	0.0798561049339711	-0.089699437185824	0.573815610231932	0.272515652262739	0.65902994126241	0.611453924941523	0.57511335549843	0.522831634380098	0.0972603671169452	0.271857656949262	0.608760351873431	0.639345942014111	0.127025025476677	0.607853709323559	0.606665462168822	0.553323230724065	0.420649517733525	0.718464890673578	0.626772321820297	0.793664129922716	0.373934238613027	0.505899844966657	0.645720762964509	0.405967087967451	0.259449225061262	0.501580939403766	0.592540217871338	0.488469103875825	0.494399830256625	0.450739922294578	0.478561431023482	0.484313184042733	0.52039029916464	0.503689935270981	0.490834010861091	0.527898107689028	0.366204344937122	0.67350798722611	0.435140005147058	0.35266484219854	0.693409712563205	0.393849511812899
CD44	0.403852924405365	0.33198571008458	0.46934531846694	0.308222976867209	0.758069664672479	1	0.367844702265314	0.571526252415229	0.486560662559378	0.483619452175353	0.508279651237808	0.295565088073062	0.228262663106271	0.349821922723579	0.333819229788642	0.245205953841492	0.500735798917552	0.674142491457547	0.222003242388741	0.487221682980974	0.654288190669506	0.392400679481033	0.300284035421298	0.579737188839317	0.392159038639796	0.705527687464448	0.820830951685614	0.450388920548135	0.663071402077839	0.702818298932145	0.272746563428191	0.720717746779108	0.708735411860942	0.618493120548952	0.432419940221498	0.387161207165609	0.562907028806766	0.703250686215031	0.611206753560776	0.305368216786106	0.412806299959688	0.679954981139817	0.23924830319028	0.141703707835984	0.401745920912444	0.107256201050512	0.587913950862723	0.507325989562269	0.6096874139451	0.305250290588295	0.470697703742441	0.278570099432258	0.679465437634127	0.424738911729728	0.501302353502885	0.510047538046647	0.609756385486243	0.374423252616647	0.643786657914315	0.465217013751087	0.597722579403033	0.608839852725264	0.235707625705394	0.566027906813498	0.68982818795049	0.546938703794459	0.34791965386631	0.61256903901322	0.533085989354047	0.571629576105068	0.684034650726952	0.673857994716123	0.571609556057336	0.583015815530406	0.646633501244679	0.661913153935046	0.460137877507705	0.630435225822121	0.565595801865244	0.686557859890848	0.560205684432833	0.534794486318232	0.745864833657961	0.573884557461475
CD69	0.527301652047498	0.560310320617112	0.54215148948518	-0.109303708630405	0.560666437392057	0.367844702265314	1	0.558451021644355	0.901640167113064	0.897295305196826	0.493626269137069	0.25118466879313	0.41074543484265	0.321278248449011	0.418015144851886	-0.458376118217478	0.582934567938372	0.509842984706779	-0.358726447469194	-0.106706521486136	0.543927184255715	0.117382527227509	0.24303227609936	0.900412791551626	0.661141772645562	0.408084628564562	0.495118264943092	0.358972083139927	0.481164723365132	0.534461793894517	0.571144586408778	0.359628881957738	0.280490943265104	0.0271147323430522	0.510079387801301	0.70775165877326	0.420790192036542	0.510877403935052	0.349401035474634	0.655763722028643	0.200408553826836	0.338578545095584	0.355027084768413	0.0232489216117625	0.371316594444512	0.560991748989918	0.450785948365282	0.196960053699406	0.465360673603501	0.669566803861362	-0.369827099299365	0.263119792301388	0.356676840290817	0.658150616093771	-0.251984726170677	0.121024813024239	0.501903922595704	0.543717692875845	0.25765446043643	0.718169967885994	0.409181813643107	0.661127018907445	0.729549881403585	0.656872672765559	0.361206955199684	0.282592167730142	-0.243396801013087	0.550933927848932	0.732121489807323	0.286607393905145	0.440438380769527	0.462549532240525	0.531343464193344	0.264627859316763	0.353618936505581	0.378292332044643	0.68238903716805	0.363573375943993	0.376931865050067	0.274682101334373	0.229020605978949	0.391929285304343	0.5245986460276	0.289165019255197
ITGA4	0.600485355148334	0.470280701552246	0.689227617725776	0.279041654086367	0.801069821155237	0.571526252415229	0.558451021644355	1	0.511727556228254	0.54737957258872	0.711436140839575	0.211575833461065	0.261348426194301	0.458177291901602	0.515834363236831	0.118404519053081	0.527651711452731	0.500609961385258	-0.0988135028919155	0.445187289973745	0.242584229298311	0.432458583125754	0.549463865177545	0.527343796518176	0.472964925245612	0.149050150318567	0.392010971354725	0.466146518871993	0.233051894637015	0.319925633926537	0.403661373861099	0.309792660794808	0.532796426040121	0.215156161173386	0.682263966914248	0.62268551278306	0.409319388031352	0.671455430829638	0.614336860440776	0.413939058862043	-0.0922616880590867	0.203470080096879	0.160448739653258	0.061659151240684	0.618563311213298	0.322789791663148	0.310853745408709	0.132101769198197	0.303965356964278	0.509793143689339	-0.121844065861791	0.406518565330085	0.225056043495773	0.47242816493767	0.164140935209995	0.348388559129199	0.448585931144465	0.674158659820466	0.0137086927882801	0.57401811868184	0.5131882701865	0.775027642392817	0.497776650832828	0.370246141098012	0.234425917951638	-0.06058239442913	0.045703837388844	0.274990099105587	0.342022140548044	0.0492051091628859	0.185164803971672	0.19275392438322	0.216959954422274	0.0901176638842028	0.115655936583817	0.146023780728956	0.434585669822957	0.114243030201059	0.114528227587752	0.304210732198567	-0.00694397471329555	0.292110982818813	0.329658887477205	-0.0204007263757202
PTGER4	0.464875379207471	0.532700450467953	0.500751495571131	-0.0848715795901716	0.568543508781718	0.486560662559378	0.901640167113064	0.511727556228254	1	0.876858354373983	0.49107860702057	0.264054615037861	0.267303930825753	0.437517229248943	0.328217227812396	-0.424216608647036	0.57993406266722	0.49187091742432	-0.440312570851784	-0.121257841774059	0.578580483897309	0.0186592984172775	0.147912350821052	0.925773674026861	0.709073336163434	0.44304827371972	0.523620389822994	0.278009545417505	0.48765430863717	0.642500509083366	0.636097763447623	0.428854258665806	0.285627669551372	0.0675445443706545	0.415341260957964	0.603166393169666	0.461653440694928	0.560687000187131	0.322175615183295	0.605134349584267	0.22872971542242	0.364778948016257	0.310983124311083	-0.0508497776584623	0.334722129063246	0.610467870651711	0.495808636809514	0.271729270475392	0.504251239687145	0.717695780642377	-0.236695844279691	0.104816741145126	0.391663836912937	0.563386137644005	-0.278779488611875	0.238323368594188	0.411059339939092	0.629790729860162	0.343987891572564	0.741550728023125	0.514988049842484	0.742630643824476	0.637221833627257	0.62224104050859	0.415761741964934	0.384457278146093	-0.235688970189558	0.542902413331971	0.71905570567547	0.347514119011885	0.502179506989342	0.469741147866128	0.528793844940031	0.356642703770547	0.41108340262662	0.437631220106921	0.585926921883752	0.440633470088584	0.324673743026796	0.437214216319615	0.316278426582156	0.419194880410773	0.588568692858204	0.379114079696178
CXCR4	0.631311873172582	0.652149010275392	0.697618204092148	0.173982074034612	0.553493253829028	0.483619452175353	0.897295305196826	0.54737957258872	0.876858354373983	1	0.688090340371096	0.416908793243364	0.535614719469339	0.614960681052115	0.558689787655281	-0.314583939492547	0.493908533616793	0.590038312593479	-0.225135301431137	0.0178113050196496	0.519327074370764	0.245069777861906	0.235117428136859	0.856998154021776	0.69827484140356	0.431810812861495	0.497367617503191	0.548809145255587	0.448089363484192	0.574722948312321	0.618230189007721	0.337648540914129	0.196756414491829	-0.00579198417157716	0.665401496723313	0.741882317849664	0.534805463519192	0.636591084551982	0.297444012146769	0.862112483761549	0.0524096460417242	0.299361734102633	0.5087890146086	0.255873364458869	0.532608350245704	0.748627959955644	0.424717963105845	0.136362641934935	0.506466806076625	0.725079179705798	-0.328527140431916	0.221405039356103	0.339352583604925	0.608555940466139	-0.1257594602194	0.133158579984597	0.458114584383339	0.671109671191415	0.255994046992615	0.775915641936358	0.548826737574719	0.724005606377597	0.779744003974169	0.720513585428794	0.29950203438489	0.287841029773234	-0.272581054424923	0.577479978384097	0.73017672509982	0.190536237498423	0.466920639519679	0.500269802492673	0.501476587014575	0.207185212856039	0.32981858359557	0.359280934501148	0.695030892148549	0.335982709946772	0.329742430358971	0.362185754904773	0.14489927111125	0.433546730413921	0.49760430510759	0.225504812078875
