""	PARD3	EGFR	SDC1	SDC4	F2R	PVR	ERBB2	CHRM3	TFRC	LRP6	CD9	TNFRSF1A	ITGB8	THY1	PLXNB1	KCND2	CANX	CXADR	CD99L2	PTPRA	TNFRSF12A	PTPRZ1	SMAP1	PLXNB2	APLP2	PILRB	KCNJ10	ADCYAP1R1	GRIN2B	TNFRSF11B	CNR1	CAV1	INSR	ADORA1	ACKR3	ADCY1	IGF1R	MCAM	EDNRB	LRP4	NOTCH1	TNFRSF10B	ITGA3	LRP5	IGF2R	PTPRS	HMMR	VLDLR	RIPK1	ADGRE5	LIFR	NOTCH3	SDC3	GPR37L1	LINGO1	CD81	SMAD3	TRAF2	TNFRSF19	LRP8	SLC16A1	NRCAM	RACK1	GPC2	RXRA	LRP1	ABCA1	NOTCH2	LPP	MCFD2	SORT1	NCL	C1QBP	S1PR2	CD63	ITGAV	AMFR	ASGR1	SIRPA	ITGB1	CD44	LAMP1	SCARB1	CD46	SORL1	CLEC2D	CD74
PARD3	1	0.893876996928967	0.789480107656268	0.508360760194857	0.777113039621218	0.824694302214383	0.542731504784942	0.615847853820884	0.745869096895964	0.741753334044458	0.780742697910213	0.656751514691713	0.690352328044363	0.750292284639567	0.781784959567458	0.690629194957816	0.77878890212937	0.795308426871562	0.676208188812238	0.846983512139245	0.575811550333404	0.795314337381075	0.902642474578198	0.702131711022304	0.742551604746921	0.843431335904092	0.757393711025451	0.579434278199698	0.659159896024697	0.779112006015396	0.540912020114401	0.32229760199939	0.771233411105706	0.653066285679042	0.841375023122975	0.791183882064843	0.759809663596406	0.789724880248237	0.692397477116512	0.623827602533069	0.881842675846558	0.731011973223548	0.329166316139436	0.823444957706429	0.668611568645653	0.866884049094922	0.787987289680744	0.54396891746785	0.794693602863275	0.690898405171725	0.567985525338615	0.85594038937974	0.72824945470331	0.712535525945775	0.718806529148939	0.756348168561487	0.544109051915565	0.872175104181245	0.756177295806991	0.784031486457999	0.760364519724389	0.592089608904033	0.819195859101665	0.717930973682701	0.811934774375989	0.821749028030158	0.525698659299343	0.802312938383201	0.69527525097598	0.719694041789065	0.824142304398223	0.916817744676173	0.842362446751029	0.796420912983433	0.733567303810133	0.642006174038957	0.729824791224592	0.708439685489213	0.549487693358302	0.635416415087256	0.273406819543218	0.712098768248917	0.722745566788773	0.78076431845705	0.386850240369848	0.752885021728945	0.0435347470826186
EGFR	0.893876996928967	1	0.738703918313193	0.43291840096016	0.812648373653764	0.826126522280902	0.555086449331921	0.609220070614363	0.76692371147942	0.849194651335665	0.69889825367799	0.636616071436318	0.756178215458763	0.806722881793697	0.875575451049584	0.8186126770837	0.778426076127583	0.852443854115539	0.707653901434416	0.882261173697025	0.473617168198182	0.896376089972873	0.900667517213023	0.681060907187693	0.721199280342947	0.863795578059744	0.857999563732086	0.625899179185232	0.712096021524116	0.847683794060897	0.566320136736321	0.258252950734255	0.863532288388118	0.670203786994864	0.890602326519546	0.804023255703554	0.815117482489295	0.814515302776569	0.736223297958172	0.790957140470033	0.924769449280818	0.781088292000485	0.298538945013207	0.89291512932725	0.724569090053287	0.894664103027595	0.703963398539673	0.500328784176832	0.822851914178431	0.721492685893398	0.586747132039839	0.843083688096947	0.768854938404951	0.772490383077008	0.780039326978548	0.757984427420286	0.539458720205073	0.816206212249688	0.742160844845643	0.861765752403387	0.703758232734344	0.63658954663463	0.758632294603095	0.813031730955882	0.863742252344201	0.892182363174566	0.539346572405967	0.814489426077391	0.713945820035085	0.726750228470364	0.840769631956857	0.932235750578488	0.818079244312111	0.830887548802463	0.674339676848655	0.684798300642358	0.714901476719937	0.787144899811449	0.558745256064184	0.600900869582869	0.267206331192301	0.706488940277688	0.696258932432809	0.852735165822639	0.373950255722323	0.845745735396588	0.0525070068914355
SDC1	0.789480107656268	0.738703918313193	1	0.578899470255094	0.75861061569856	0.796857765510932	0.549109189149293	0.413159271331009	0.630882852831054	0.579135699636314	0.674182133311798	0.663007962424446	0.582044696434555	0.712494935409608	0.690368687254129	0.533967057964018	0.715774475548755	0.685377112185979	0.688702068175213	0.753314591983594	0.62562378916622	0.627732657464022	0.805572303076721	0.724631536633853	0.725548161096441	0.679495772672551	0.64660679118267	0.544073260135473	0.493264860301527	0.609173785759676	0.444127887275274	0.39060828623446	0.725327170227506	0.66882205783129	0.679442637110976	0.747282926248735	0.640116302919534	0.699086680416368	0.623367298699148	0.451034666666498	0.748318084975236	0.753797597544192	0.441436211388942	0.749542685413098	0.671758689056255	0.705449012044062	0.617047573889164	0.543233959450729	0.705795838208351	0.707570739496046	0.527613541863612	0.81183160264588	0.642095611418494	0.693718292862371	0.575005776395138	0.759312604159258	0.655090640362143	0.833371117029864	0.643821919415911	0.663990550925424	0.633404384465988	0.577234065967299	0.79354741345048	0.531937332864696	0.754476719254843	0.711574245990494	0.542849267773299	0.711680479784498	0.638867478488782	0.72660739518525	0.756627495005548	0.807403161473059	0.839658886835482	0.706842292366043	0.73799209286939	0.669030905397737	0.723137635288434	0.641198613214475	0.61599783007206	0.662430708886298	0.407527385798215	0.738216619437531	0.712535050769519	0.625236293075141	0.482795122100103	0.600125327716358	0.0804477317070713
SDC4	0.508360760194857	0.43291840096016	0.578899470255094	1	0.784699525381998	0.755273671522765	0.829556401155328	0.346151642651056	0.653574684836259	0.323919315700068	0.609422525291623	0.889977301330673	0.740721207685456	0.364834571386585	0.541545015038321	0.123224491706008	0.840630731418851	0.387185247396993	0.833067494211994	0.708098505235204	0.878989825574631	0.541085347368527	0.652817523649808	0.884692504493569	0.888098214731653	0.638584323844379	0.563899236858999	0.62583568059074	0.217823554269584	0.318966656841955	0.758571653947618	0.873670975400483	0.453391878461376	0.761047538296711	0.294447888391631	0.279352578003717	0.661240452975361	0.652249764151351	0.703616026476459	0.246212937875108	0.36166144489727	0.71641199787467	0.923572669191515	0.540271800124283	0.770716398284658	0.591785784710206	0.349178631502713	0.863957302680338	0.74460927810731	0.775097608049935	0.841231127054045	0.668931417932429	0.6641660313858	0.723050533729685	0.177443606123031	0.768178462022256	0.872367219397822	0.465315739506658	0.688797196595947	0.524649776319761	0.614442041779665	0.849057282101424	0.655279558021323	0.157481024300804	0.671328696124702	0.633901147576473	0.898099148614212	0.785228707922241	0.846895458154918	0.868675414790079	0.744869853807024	0.58058725860377	0.616790380864692	0.294992567681576	0.785027607566254	0.835182098957245	0.845483352483739	0.504352552728347	0.8384746335701	0.92976283340224	0.865530093147995	0.866269914117533	0.71165435189048	0.574359521846856	0.847497183848254	0.354151443835601	0.155250820504907
F2R	0.777113039621218	0.812648373653764	0.75861061569856	0.784699525381998	1	0.914855286797478	0.871884471734817	0.475028258625174	0.832498955879698	0.661581955351679	0.707507557364026	0.927108581595218	0.888174968974191	0.681714717770844	0.839416439371165	0.535272318739055	0.930201282739433	0.717460875262698	0.928165679457762	0.939119325086901	0.79486331880553	0.837285324199306	0.896316019145075	0.916476796558782	0.937724903549289	0.863048619925685	0.845634333611007	0.763347934008313	0.533049470346062	0.698791600419367	0.802847330603689	0.61425641892778	0.751693490314774	0.881740986061097	0.702067967918116	0.570893309949171	0.821321707835315	0.861885767295718	0.897109347615997	0.60224134226549	0.711894553196314	0.869503480172338	0.741994681134848	0.843138613814642	0.879435887856657	0.866193878847594	0.542895302978921	0.777355946510058	0.919592835122419	0.935878879653918	0.858054521667455	0.870556373834975	0.869757063145543	0.935179877820755	0.513547245774166	0.931285654903959	0.86636381757718	0.713038106649205	0.832869704505913	0.783221063163245	0.671147282506574	0.880916328238184	0.813701510585201	0.554616820336762	0.864624413910832	0.899367810004007	0.863681973780566	0.950939366560078	0.910977887971947	0.956340701017567	0.937360193657671	0.861913384694834	0.858315219937066	0.633839409913199	0.878362406158941	0.922036894716207	0.906603995307253	0.755311023235593	0.857122254757654	0.877611398422179	0.721377084003417	0.948781743336283	0.815304636858694	0.816191391927939	0.749777785456095	0.670433391986699	0.136279755407092
PVR	0.824694302214383	0.826126522280902	0.796857765510932	0.755273671522765	0.914855286797478	1	0.76506031094516	0.608319486579815	0.849017594771558	0.718029017583154	0.813343856654055	0.860966131787623	0.827710661804986	0.761212681221377	0.847595801386071	0.607019333469874	0.924493203179007	0.801646111888061	0.857255361396874	0.910824827008529	0.778118500422847	0.820341580616632	0.931150286601133	0.889138777359675	0.906186457937398	0.856201725359491	0.832285055292278	0.703376571397435	0.582860314831896	0.729463684455892	0.73326762137889	0.611323980062821	0.817919836615026	0.833091679502495	0.746964208531998	0.673958437246738	0.843035344319316	0.86032930580923	0.804968192948447	0.617951554525179	0.812432396540696	0.882238995327968	0.63719754144163	0.867133582538101	0.863869444750085	0.868109657021824	0.586003731293495	0.781471427215844	0.886725548721985	0.896140672957016	0.771408983599948	0.899090172176776	0.841083465497992	0.866198044761784	0.655606952668669	0.902211597724093	0.765092365955958	0.804131743021242	0.818529550823695	0.838674961669391	0.785715390644502	0.819925643069827	0.879625242204894	0.645792815647993	0.915596989676713	0.899751281254607	0.778575434372786	0.906522092154256	0.869887163855207	0.902039342444319	0.90952174627879	0.899507859967028	0.897195250805882	0.756065118381103	0.86652466295589	0.8371264378796	0.901664472914566	0.807179185774796	0.767066552137463	0.854094305600171	0.579113802034197	0.898309551539042	0.854585243058367	0.834679929027498	0.654118428285169	0.704892431814483	0.122420956222297
ERBB2	0.542731504784942	0.555086449331921	0.549109189149293	0.829556401155328	0.871884471734817	0.76506031094516	1	0.296880157830982	0.772579344036704	0.398758059799704	0.533190361935136	0.943864462606538	0.868833145184057	0.38499137846181	0.646523223288866	0.259326634342778	0.871827671689113	0.431294876939287	0.898594902414404	0.842346138978101	0.810394111129981	0.704575227973841	0.705544822078946	0.895070845796072	0.901271592746736	0.688008504092143	0.699588601122333	0.816190203238995	0.356943295361018	0.501357777876874	0.895220399525187	0.655253237802489	0.555870324501428	0.878973686479402	0.436586493364159	0.345800584755852	0.693069787547057	0.71015364353932	0.904096775369841	0.4214888694504	0.419404102425406	0.721216000944963	0.870225497017282	0.66270621171984	0.809691758072493	0.69736965919634	0.261449891127299	0.81515352756672	0.837806491829799	0.856689285875899	0.934681913201088	0.743763286819817	0.853412015124395	0.910228248887043	0.196306315142314	0.853933315185603	0.892448181702659	0.460133892803884	0.796110650483223	0.561444398410743	0.52008936559605	0.862434299450952	0.625283407790234	0.221931917249444	0.698994260968053	0.773473187528867	0.925129465732624	0.86831542188813	0.891430762516464	0.910464671368499	0.848620272802144	0.631182687124262	0.657134840549094	0.335882736283626	0.822579440311041	0.895250488824799	0.852305134924143	0.587484590139067	0.939497508920588	0.859407883488468	0.872652112272445	0.921538400913678	0.675133180998322	0.680311696792417	0.8668694734972	0.444354276195236	0.154954290205438
CHRM3	0.615847853820884	0.609220070614363	0.413159271331009	0.346151642651056	0.475028258625174	0.608319486579815	0.296880157830982	1	0.706958021031675	0.698405807030486	0.747145432606745	0.392952182167011	0.551636340857375	0.582147307552801	0.622184407628649	0.619375434517496	0.63363541771126	0.731865422819099	0.41025418818279	0.570723324259185	0.413499558760646	0.642566157134767	0.645884691514231	0.454739067799359	0.510788214667494	0.534362439609266	0.592764870584266	0.348600178651493	0.771806547498551	0.553504527046222	0.485090112762964	0.4146693096604	0.610976396662307	0.466856863470808	0.621598012273244	0.564854677753922	0.692009568448473	0.494140017601462	0.446745046694252	0.57874022742309	0.691073895775649	0.504738141664892	0.160656063444512	0.645657919879848	0.528858956961785	0.642274089587226	0.392327219066916	0.576864884982986	0.509602494275161	0.445456362914899	0.368652187775972	0.625764782543802	0.555432655794531	0.461016740357667	0.771955297237583	0.468474075694946	0.243215848555421	0.543140996521165	0.579948797637966	0.618711555113583	0.866046365773356	0.404488362042852	0.617665241707563	0.643167007149694	0.670924020651203	0.660370910848254	0.380101740800904	0.515261648897864	0.51764172162736	0.437171226497952	0.548610077086783	0.668073900833954	0.545972854578997	0.701080516491388	0.474717511858589	0.374845410289023	0.524802063897476	0.680505645375804	0.272707253271683	0.482744780500006	0.0115827329407938	0.427809585574591	0.584214425288932	0.705620330474676	0.160065019012334	0.614097673079574	-0.0117823939935541
TFRC	0.745869096895964	0.76692371147942	0.630882852831054	0.653574684836259	0.832498955879698	0.849017594771558	0.772579344036704	0.706958021031675	1	0.636655912651371	0.811476400753534	0.814924408712091	0.849132830186157	0.614080439097158	0.769117960317525	0.534110872609942	0.90121677027184	0.762363689748629	0.781599336721382	0.894672474600605	0.731193616251847	0.824180454985212	0.860543295901158	0.799478424314994	0.856565972188928	0.714147521642505	0.770484048773784	0.746150805327341	0.716235898266418	0.782416167472583	0.826018523306669	0.543098723071064	0.721714002937533	0.855767959936745	0.739196502190295	0.591367495078378	0.782560827425347	0.753249927029562	0.854530109581915	0.584599990097858	0.705849322233094	0.751238000702432	0.559409771328259	0.829377118387976	0.807391366699666	0.829096518985562	0.400368192609261	0.792974970781827	0.841989494293749	0.807740900624786	0.764302259433275	0.875682812783253	0.885059941351418	0.855180818204348	0.599752875228642	0.851622695113388	0.66242515349824	0.657440176197359	0.858717933147029	0.704474404153581	0.831150647113063	0.711432044176031	0.816653377520918	0.533287779435117	0.824866499667947	0.885736277899447	0.737578074837856	0.849049301260559	0.835187193519009	0.825630639333305	0.85800835765795	0.836436999298357	0.81447038164253	0.673230535433263	0.847207405755353	0.755171804024421	0.818238824358189	0.760828947481009	0.73808272513471	0.792814132090139	0.487260429479265	0.835256852151405	0.773501762007531	0.849477005031662	0.611459735351393	0.632772897462282	0.128986939998749
LRP6	0.741753334044458	0.849194651335665	0.579135699636314	0.323919315700068	0.661581955351679	0.718029017583154	0.398758059799704	0.698405807030486	0.636655912651371	1	0.571816443957682	0.464964784900415	0.700576646218829	0.823909977232542	0.89008214485168	0.917718219951276	0.682454975249132	0.825923355905419	0.60562680944634	0.736650762284573	0.294741541492365	0.878561162284965	0.766890880875442	0.556407328348912	0.58499524832241	0.786910489594247	0.85509122187942	0.466687911416632	0.681130875171991	0.674521824858941	0.491011801315005	0.258222803042522	0.860642851087113	0.508913388632166	0.757648813562083	0.752401210368597	0.845100280466227	0.682575905778857	0.590519068646413	0.841705218399689	0.887701589581885	0.740790849792896	0.213572379579632	0.806693319122269	0.688074620639091	0.833253997456708	0.541405985147924	0.476529545868777	0.691339251244686	0.598842399856419	0.49701684267251	0.678451988347724	0.622391523731167	0.640899314190346	0.846129167482868	0.586781589006902	0.412644098769799	0.651167353874216	0.540614348215721	0.863417888810358	0.656498480955432	0.639639651812264	0.583847919184569	0.881796480371455	0.819171827120308	0.827562522648909	0.488424661521842	0.660434608542328	0.642235833279229	0.58424729846123	0.724190933899509	0.831727169810332	0.63197302416449	0.794856679808032	0.440300037625222	0.596381189482702	0.579099456351685	0.79376312432916	0.431100674188243	0.499757906978572	0.170373967917879	0.544761800746008	0.642959379933255	0.849009809195847	0.264580153907853	0.891233408003636	0.0501217543597949
