""	CD3D	KLRD1	CD3G	CD2	CXCR3	CD247	KLRB1	CXCR4	CD8B	ITGA4	CD8A	KLRF1	ITGAL	ITGB2	ITGB1	CD53	S1PR4	TNFRSF1A	ADGRE5	SIRPG	CD47	S1PR1	PILRB	CLEC2D	CD69	RACK1	CD44	RIPK1	TGFBR3	SELL	TNFRSF14	NCR3	PTGDR	TNFRSF25	TRADD	GPR171	LAG3	SLC16A7	TNFRSF1B	EGFR	PTPRA	CD9	SMAP1	PTGER2	PTPRC	VSIR	NOTCH2	ADRB2	NCL	CD81	CANX	LAMP1	RPSA	PTPRZ1	CD63	SORL1	PTGER4	NCSTN	CD74	LRP10	C1QBP
CD3D	1	0.902786548207536	0.995260169068623	0.989761387946566	0.981572722526899	0.978571706576215	0.882702608871294	0.971406661720244	0.995983586171355	0.956451538860683	0.987706573569531	0.888127793314865	0.878656567633622	0.865339895203591	0.907327439192812	0.9076254222865	0.96291924834802	0.75534490010997	0.839212364607283	0.970073663933851	0.897028900124204	0.842228241861888	0.867782714442728	0.959643162786854	0.966459397061418	0.919940404899129	0.870695316139322	0.905299174308181	0.988215792241642	0.915193117027248	0.839411883278514	0.837804953442834	0.92118359135574	0.95976568551116	0.983829072961625	0.985927340102946	0.898871614238811	0.981658502339372	0.905402943051265	-0.778901546398667	0.860662037962482	-0.262345463881796	0.861318091485814	0.996177234417443	0.975957817792272	0.809205987759492	0.547579226289769	0.890609044586018	0.916672344845377	0.657212597188646	0.244831928388516	0.87468655399398	0.936578377430832	-0.749011840274836	0.123990521679845	0.704187979687001	0.974161700971093	0.763255492076938	0.748178294433394	0.776703157852892	0.666883366836195
KLRD1	0.902786548207536	1	0.865600181706979	0.896573215352296	0.818647409996426	0.965083798387728	0.64030637652303	0.791914896985857	0.914497902136928	0.76350541995476	0.953274625809326	0.994908040309183	0.984770851976301	0.932058215423292	0.70113913030365	0.834651833535152	0.776251176471322	0.838369892971704	0.96385872482393	0.795506230468714	0.708626829989573	0.577594056031492	0.80705596871259	0.768480706748801	0.781430712777566	0.704471798568622	0.615264489284096	0.700292347804985	0.927570679835321	0.672827250840724	0.578380620869722	0.977898046509986	0.990409321269196	0.795378486780163	0.845514086762871	0.854104150912573	0.995584245729337	0.866799159613581	0.872835851279872	-0.612300706437603	0.644434475780055	-0.469344414510043	0.66123218823232	0.913418639602931	0.862673355185379	0.871821783403432	0.643758668606032	0.912711450329069	0.771076231597514	0.669632173817513	0.346411346310042	0.726866809279197	0.714390651022028	-0.58501167660249	0.155695412670282	0.745197019337518	0.853117405528673	0.534972050198421	0.629726671719363	0.879033296125605	0.355281647493881
CD3G	0.995260169068623	0.865600181706979	1	0.990364302769574	0.991360938083494	0.95531133251304	0.916663901111667	0.988061138174531	0.992427644153682	0.975191984461036	0.974507328698029	0.849147529320044	0.836895562978708	0.837797667882873	0.936233645198891	0.908815421982154	0.983286877346915	0.730531055034964	0.794342807958625	0.987923422618845	0.920637134300579	0.883258511853501	0.873241814174126	0.978010261725992	0.983735342154457	0.945093205370669	0.909785573314486	0.933664311377351	0.982933297120748	0.947252230044106	0.881140201644062	0.78719605868863	0.892505961595163	0.976930795996398	0.988784671488085	0.99477627489251	0.861182258059544	0.985832116472802	0.901292535511377	-0.795552458918862	0.884236158545478	-0.22052563027767	0.880839808443815	0.990860962276799	0.982952869026075	0.786517925873015	0.526154982269478	0.879149103791664	0.92960261725095	0.648541116057319	0.216929457623335	0.896227107257202	0.962384912742763	-0.766441181184458	0.115452419040923	0.692017280908377	0.982025370603681	0.79624415167121	0.76761326188284	0.74468353492805	0.721709275218265
CD2	0.989761387946566	0.896573215352296	0.990364302769574	1	0.980368612292246	0.960530451999515	0.887170570465725	0.971088400556638	0.990428316951063	0.958442555538285	0.983942582345861	0.888069689840046	0.873643446867983	0.889410498352907	0.92245676524589	0.938849221402841	0.964135572996948	0.790892900756615	0.841685063184411	0.978174893099245	0.907273056211326	0.848799704598022	0.887401252719065	0.954311998766662	0.962522042928781	0.935953135682816	0.88194393282477	0.91256196137843	0.984603434153962	0.917466386112257	0.858443304616168	0.825340256916112	0.929446441439838	0.964945741465406	0.987007611226632	0.987764212999874	0.896764541449509	0.980753957859395	0.938366841867529	-0.772429089091546	0.857266735547787	-0.232951036969112	0.872862776503605	0.988438602313713	0.987829203266597	0.842202842529506	0.577210760230889	0.918502470534373	0.93593030504524	0.717898118463037	0.270382526799982	0.909800761706873	0.941736405047277	-0.748527365381264	0.192617756866654	0.74420785569031	0.990069126513282	0.769065059479768	0.805806946345687	0.784668262032578	0.705876670877404
CXCR3	0.981572722526899	0.818647409996426	0.991360938083494	0.980368612292246	1	0.926915136052634	0.94476956733398	0.994589185568275	0.971541709887897	0.990554646608683	0.947609712020963	0.800009984434139	0.790867200728254	0.810655838778465	0.959486417154017	0.911871177414727	0.988512785311515	0.714849499070775	0.752273399355511	0.988330225171905	0.942593187624453	0.914900380726267	0.873593282698469	0.988250898243878	0.99071192942834	0.967623130508463	0.939291532023009	0.949490525389838	0.963257261032622	0.966502375189435	0.920248033294452	0.732501837511274	0.849950378670897	0.983717756266775	0.990690997063949	0.989405159712478	0.812554850692435	0.982165728769422	0.889594317546343	-0.792138312961714	0.907710006244593	-0.136652607245692	0.902581584247165	0.978092603432942	0.981196474641706	0.758977181333789	0.523055086676396	0.856191693537393	0.940406894865494	0.655949386521076	0.231941411891885	0.919534659008136	0.980844360280516	-0.759989103384076	0.138649436182013	0.692333685535456	0.97890508645648	0.840424622692285	0.789450807367312	0.716595764750399	0.777287254675011
CD247	0.978571706576215	0.965083798387728	0.95531133251304	0.960530451999515	0.926915136052634	1	0.786673415443379	0.906288442232485	0.977053424702581	0.88491969395737	0.991059189881504	0.953257254846887	0.945593615626491	0.90071199006031	0.821694808716521	0.876384486592537	0.892929797662439	0.791050803277125	0.911011845142595	0.902935296578636	0.822830566031243	0.732582167468245	0.844393369452262	0.891780854108119	0.900747566904871	0.832072194707048	0.76353437873595	0.823540913972662	0.978379559210712	0.818332957346952	0.727200169561197	0.924778400311869	0.965150482775402	0.898726597436821	0.939314346770508	0.941386884263307	0.959658240487655	0.947558921960053	0.890199143175976	-0.719370280841733	0.77853007267434	-0.368873429178912	0.780924541953645	0.979420172189908	0.935163832736588	0.835796960166405	0.585884330258171	0.900006069330044	0.860503363441274	0.64978105410554	0.284804901505722	0.805962054657509	0.849808151606575	-0.68853548001715	0.118146156167759	0.715233944452681	0.92832029260064	0.671177819888952	0.681178195772574	0.832361703025569	0.523281807303189
KLRB1	0.882702608871294	0.64030637652303	0.916663901111667	0.887170570465725	0.94476956733398	0.786673415443379	1	0.962891372945965	0.869677892340897	0.965866262581045	0.821387725946929	0.605474865033478	0.576526759262583	0.61967415926529	0.982243305698781	0.797371700194578	0.970388401975432	0.55270912118995	0.523806661091894	0.946578081265981	0.960661158890487	0.994362247335439	0.84316112787078	0.976248347865498	0.971887084302018	0.948864888189101	0.993632595838201	0.98752866513347	0.873945858426788	0.984880295326717	0.988712097237243	0.506879520478698	0.683131939288232	0.970846546641805	0.913411865051867	0.938606716268169	0.619428752620464	0.920368283452429	0.754698025230894	-0.752197800791343	0.932640395123631	0.000124798752225182	0.846251961254346	0.887091745102592	0.913126994543653	0.558990360228421	0.43094193860118	0.714387751999909	0.904811618217327	0.51574153946595	0.109021296261813	0.89106067979872	0.977311865605803	-0.725402457265719	0.0214859351399293	0.573963076253545	0.89674563524846	0.919488739919975	0.721996533710221	0.583536334175532	0.879800831802077
CXCR4	0.971406661720244	0.791914896985857	0.988061138174531	0.971088400556638	0.994589185568275	0.906288442232485	0.962891372945965	1	0.964915699139769	0.995563556581123	0.933137709911856	0.768857306462335	0.755677402019214	0.783495037079566	0.975288043003519	0.900840117274235	0.998292195738727	0.694371320770591	0.713059023640373	0.993240885180415	0.955223232332943	0.940716951087084	0.88049562228053	0.996248677961427	0.997961174150766	0.974201551188513	0.961511928106748	0.968461969056523	0.957227315241884	0.983590828429188	0.941529985585808	0.691505319910207	0.825931098552871	0.991992205593017	0.983053009154713	0.990781054625807	0.782354426321477	0.979367784206774	0.878351708894251	-0.792044515381531	0.925103977998589	-0.117496043731677	0.901344309558631	0.970051986655074	0.980948208831483	0.734881509355517	0.515460009355196	0.845733275515248	0.942911882643774	0.637454935090981	0.207538386050205	0.925245932751202	0.990965532708005	-0.761144042619158	0.109981185184564	0.682895398038185	0.976132395818233	0.861332637596721	0.792281637064308	0.701151537507737	0.801121394273737
CD8B	0.995983586171355	0.914497902136928	0.992427644153682	0.990428316951063	0.971541709887897	0.977053424702581	0.869677892340897	0.964915699139769	1	0.945284770612756	0.992807716591796	0.901521284719096	0.889558058468747	0.876280309281031	0.898402858871827	0.909494337018711	0.958682252156455	0.764678544323176	0.849727201397709	0.967061153526355	0.886118935456334	0.828805199860539	0.868318597113535	0.94982038451447	0.958267723676917	0.908759267964123	0.860142995575217	0.89742351217859	0.991806427587493	0.905266387377894	0.826764522950333	0.848740109036889	0.935250902774804	0.954014539389888	0.976939888042137	0.984825197541177	0.911787725477757	0.97851113399194	0.915579774596834	-0.78024215139312	0.8407438839639	-0.28780262726278	0.850123641426681	0.993965127823835	0.9758085744881	0.826717623163143	0.54578392612535	0.907364802661072	0.910987766807785	0.660513164945741	0.237905210476284	0.871275389117693	0.925351232570871	-0.751731458134156	0.119819716372093	0.710478442771883	0.975500725618883	0.74479301310634	0.750803071851331	0.78206472690957	0.649983212225279
ITGA4	0.956451538860683	0.76350541995476	0.975191984461036	0.958442555538285	0.990554646608683	0.88491969395737	0.965866262581045	0.995563556581123	0.945284770612756	1	0.910857944736096	0.738760375235805	0.732034360992945	0.777529229014256	0.98334078387535	0.91043439577341	0.99167496880136	0.701864046204472	0.694685434696356	0.984857302507761	0.960952629376713	0.947321483903512	0.88806760963875	0.992924335165514	0.992177366619784	0.981665302524889	0.969089946799134	0.965812387679311	0.939828258037151	0.986397128800859	0.954277617686416	0.658151718262431	0.797410490856138	0.987495505640225	0.97700214469086	0.977495147388762	0.751302537452573	0.969965594956244	0.878454633228736	-0.775008683606441	0.936449016538002	-0.0708782710949425	0.913977979857587	0.956222168195234	0.977770206586837	0.731866233831378	0.546371606902332	0.841755580570267	0.940918400854016	0.660911404849249	0.241657551284017	0.944855309676393	0.993279293399738	-0.738328242851676	0.135600738514687	0.70781859360803	0.970976751285164	0.879637785683685	0.81927502933791	0.697434813708408	0.81770480393766
