""	F2R	SDC4	CHL1	MCFD2	ITGB1	SDC3	CD63	LRP1	INSR	NOTCH1	PTPRZ1	CHRM3	CD44	CAV1	DDR1	PTPRA	LIFR	THY1	CDH11	MAG	LINGO1	NT5E	GPC1	MYLK	DDR2	KLRC2	GRM5	FGFR1	NGFR	ITGA3	ITGA5	FZD6	NCAM2	FZD3	APLP1	CD99L2	SLC16A1	CNR1	RAMP1	FGFR2	ROBO1	VLDLR	LRP8	ITGAV	GFRA1	CD81	PILRB	AMFR	EPHB2	NOTCH2	LAMP1	CALCRL	PLXNB2	LRP6	SMAP1	ERAP1	TFRC	APLP2	SORT1	RAMP2	CANX	NRP2	NCL	TREM1	ABCA1	RPSA	RXRA	LRP10	TNFRSF21	NRP1	SCARB1	ENG	NCSTN	TNFRSF1A	TNFRSF14	PLAUR	SORL1	CXCR4	CD74	STAB1
F2R	1	0.874817619104566	0.251832874882547	0.871277571501251	0.973281252411052	0.365387688893727	0.882544220864235	0.874695386408751	0.282169276464081	0.674487178848923	0.264779912346533	0.287358548486501	0.926824860531863	0.937083810269578	0.697229868446212	0.827669551267902	0.720743284921144	0.75116694974504	0.586144699470107	-0.0726824983510264	0.241240466729249	0.909433327723783	0.847534179065118	0.732782862194516	0.942508687818845	0.190340266926567	0.222446005355048	0.926730483347111	0.630730221731241	0.766840880320713	0.846978392400716	0.849291984367936	0.271205497963593	0.863504026936636	0.249212207091009	0.81958832754562	0.874547082051084	0.356852753215735	0.462532828180085	-0.0817217376681732	0.876790353519266	0.795634271180624	0.699698602825207	0.866253736089426	0.297770788204324	0.890363852178914	0.893493038985114	0.396229484428457	0.714842583913753	0.960047251231787	0.916379542925882	0.778500632169445	0.876885727088616	0.586584575300291	0.808250640394778	0.827451651212999	0.852018753493062	0.95419231222993	0.608170591708248	0.177361578219605	0.861214064737035	0.804320264511181	0.84954727722056	0.662437471982202	0.926962186106444	0.883368261395255	0.898398238955699	0.896465042481438	0.625676583721193	0.94622060940891	0.825259433151639	0.892049226999616	0.931411460127145	0.899187288176425	0.709129822291835	0.804586349777243	0.413079752030884	0.619566271764998	0.200421593613992	-0.05798214032153
SDC4	0.874817619104566	1	-0.0649417604850648	0.873302396358128	0.933136818760862	0.0713886749372321	0.898589260801238	0.772978632963344	-0.0152603003880707	0.471288906860451	-0.0568352979461286	-0.0359419026141703	0.955545358893969	0.972083710113157	0.602156044788727	0.620428682498197	0.448867760839717	0.735353368774991	0.283448068765073	-0.0355124902636244	-0.0470411640989051	0.980592379234062	0.857409825356937	0.705701763529144	0.923422452115878	-0.0900544620909759	-0.0847398821999122	0.813757049375941	0.456413984743532	0.777865539730852	0.910315975953053	0.678549205778126	-0.0429434478226087	0.643320164920634	0.0736235936703092	0.757607821402479	0.771824325833031	0.0318786089094127	0.283266272481376	0.0067612287037098	0.683453976663382	0.605366650004549	0.481624474784252	0.773504191234898	-0.0373341039802418	0.895774896779826	0.795490162636263	0.534217474504789	0.527824843950314	0.915427877287106	0.861210417323655	0.655110227884967	0.834253965980035	0.290189969449385	0.6837418749005	0.883299226819204	0.842147618969491	0.861004940896595	0.348699256468772	-0.0988818113572689	0.833554024517555	0.825274260014673	0.723411509573982	0.745264098864131	0.805602390861177	0.849295283087035	0.792682652243672	0.821071495335827	0.407667170151258	0.957929101661526	0.82610996171806	0.876488732096097	0.8762297093028	0.909170425629846	0.805754711802793	0.899842040756693	0.158956975060582	0.507517885883982	0.178204007893504	0.0312206545814228
CHL1	0.251832874882547	-0.0649417604850648	1	0.128587264460806	0.20913160375462	0.978320267544875	0.210636840576597	0.407737153841217	0.778958117510482	0.760789473536049	0.991003743978199	0.979528974364962	0.0353513223461393	0.00515828311188816	0.44311592233605	0.700319598344168	0.77079164466271	0.200091846685771	0.871087577732441	0.166995331007417	0.968197310045714	-0.0148525495584325	0.13990341142089	0.251967513409697	0.109882953808276	0.958745261691752	0.973258083547335	0.412435494011709	0.383555374915883	0.177417895475448	-0.0755712231402651	0.573740697489325	0.978775976725806	0.615477613316048	0.768169303294684	0.408194261663854	0.343830484690681	0.921600004879372	0.741621805778001	-0.00311556036553486	0.628156613094011	0.581422971345087	0.745387622482589	0.306354552897034	0.942561368366114	0.234338143924253	0.429016852008623	-0.0211189395181646	0.760852744426989	0.225409829582303	0.353337721397621	0.324159056936471	0.317986955075309	0.897959600903684	0.474563433454837	-0.0255831360976056	0.135755834935577	0.392302577748101	0.79288090806674	0.924646806251391	0.226668959390892	0.0575406988637213	0.578759611195688	-0.102491918981171	0.295725242617944	0.377388680207709	0.43183616340638	0.353909559026253	0.723241118738986	0.00762087016369483	0.0399553978923705	0.160890091879036	0.295189383109947	0.192261757621446	-0.101740413496613	-0.0929156072674328	0.752854101292744	0.357865975899429	0.118035334052289	-0.128279064856498
MCFD2	0.871277571501251	0.873302396358128	0.128587264460806	1	0.926957403749994	0.235952883245719	0.891056222511686	0.90590310545403	0.154895613845535	0.503361278162458	0.137579966257953	0.16150063439172	0.828647974177	0.904609967126983	0.522086450498032	0.741943201536145	0.572145314110044	0.577379376560356	0.414964859968011	-0.111407060911838	0.132070390981578	0.888846547997743	0.710203020217124	0.578659905282418	0.966602127695193	0.0865940173516622	0.109133825762152	0.905755578285117	0.60215712799827	0.627077682428834	0.879616331743462	0.71571138295799	0.145529826012562	0.727555469199448	0.13597813766703	0.683539381991129	0.932362401298909	0.198790166885014	0.292593763096012	-0.101024069692061	0.76030784522991	0.799340985214354	0.533198392806004	0.695707430209493	0.15247158257885	0.810174561258946	0.840280255736876	0.389810116981687	0.634587789506724	0.868399410727439	0.90341728087111	0.578404389730503	0.776129192766757	0.427261711192927	0.904766318689256	0.96983164218561	0.939960320475258	0.87967903940577	0.425661586406896	0.0592305325516163	0.989626430842864	0.655028455006007	0.771607907084689	0.770834666086383	0.833971682076733	0.872111424517734	0.892999493539551	0.837168527043343	0.442775623514868	0.884655236203785	0.953620076532416	0.804259374989673	0.917861395726391	0.831143098078093	0.920211363001849	0.869471155758324	0.285838314370598	0.494550462312598	0.14641634667827	-0.0290541350748982
ITGB1	0.973281252411052	0.933136818760862	0.20913160375462	0.926957403749994	1	0.329450085996317	0.913558461027362	0.910641195427751	0.235473949832351	0.64479159608998	0.222336979836207	0.247143075034414	0.943733877492825	0.965764564702789	0.668536729179666	0.822887556854536	0.683849198698701	0.731322587622466	0.541180392157295	-0.0786790114960333	0.203804222452803	0.956677490526761	0.844235489114725	0.71998558311193	0.973756365013446	0.153024858376029	0.183680511363237	0.94825545688021	0.628384590402881	0.766381541171323	0.901739766109295	0.829934911546319	0.231312996170958	0.833613063596895	0.222394253121875	0.814739108205504	0.905235926548806	0.310697323076891	0.421482665596994	-0.080147932412367	0.864172386617387	0.802094137707342	0.669964703743447	0.842085514869397	0.251747906158273	0.907673622085839	0.90368420139594	0.417227389438027	0.717360155214965	0.963314427307141	0.945256790272575	0.735981069547592	0.87925954461343	0.544036167364026	0.845331679457243	0.89675020444848	0.90667682502359	0.96746664948445	0.561976733614046	0.131583349604569	0.917442333479481	0.805035757454392	0.859335825948429	0.743358172487619	0.912209475639488	0.912581517501053	0.918720941815672	0.904732677788587	0.581947762553721	0.968231004733917	0.869314058488542	0.905248217088795	0.951392200364086	0.916163678627274	0.794150403473265	0.873301418925599	0.382939786543653	0.594405555685128	0.205997942609525	-0.0371489186267729
SDC3	0.365387688893727	0.0713886749372321	0.978320267544875	0.235952883245719	0.329450085996317	1	0.339954255710953	0.49493176888699	0.758195572330601	0.838491706126412	0.974889026861883	0.961364566902473	0.173392933638636	0.136825268741194	0.557187968206792	0.782642370802164	0.83115086335647	0.333223122361739	0.907119594572938	0.1858467264641	0.971128505430039	0.114257375413254	0.276031123979342	0.369123182451733	0.227535662045924	0.942379591759312	0.950547061691418	0.509000205644749	0.433942192724445	0.303835830251095	0.031305307144012	0.669628685618926	0.972086580651687	0.709221234827064	0.793168394224907	0.523451891318018	0.424999757470367	0.916644299391221	0.806960082587991	0.0123605586963041	0.727116893071956	0.651271995315678	0.822694065416873	0.433139451948013	0.931346873727449	0.373257493495837	0.534417859019271	0.0764998754469502	0.832666130496226	0.356298772289569	0.474467784137487	0.432642389904583	0.446094135638117	0.938857045000704	0.554658584991877	0.0832106790463614	0.230083954771658	0.510593595761412	0.846487108011328	0.913493322524904	0.327987847816402	0.192060188364751	0.685842507773922	-0.0269866076324999	0.407864284451816	0.501266294784708	0.536031614663097	0.468584310394715	0.80997478133784	0.134638565843378	0.136967163127353	0.280640595253058	0.414893692517788	0.328976447873515	-0.00486800156418735	0.0189140049709172	0.772417959146431	0.446238519737186	0.156469066303628	-0.11547764824066
CD63	0.882544220864235	0.898589260801238	0.210636840576597	0.891056222511686	0.913558461027362	0.339954255710953	1	0.826514727393905	0.193219454119202	0.655651448011422	0.20430196123098	0.219963828557809	0.901422349928438	0.902552929526007	0.774815009790633	0.77357314641428	0.650541538745603	0.79292721156017	0.517227624040072	0.187556689660117	0.234568458435152	0.882804061237438	0.890507098113032	0.784719043773269	0.89879042262293	0.183166010510577	0.166609505662732	0.850271421731059	0.577388906702309	0.785518551704992	0.793100582749338	0.815966485931451	0.230611357993926	0.795528778261081	0.392443880350827	0.840354336580188	0.817864785470641	0.295303169557725	0.580414973914284	0.180783449441013	0.824956796007524	0.756462280485877	0.664485522282584	0.844528069731972	0.216596784191722	0.969226219488922	0.899892762722219	0.68016718431997	0.693362190002573	0.932193418640689	0.946941773368152	0.742669487766842	0.921153355922658	0.526747537666518	0.794515624196325	0.843973287478523	0.813382187330681	0.920216789145064	0.59772794170189	0.197175617474353	0.879951469453939	0.776649288840118	0.82361463523388	0.617385715316183	0.879642445890975	0.936619783037795	0.882735946611036	0.929829692739937	0.645407244317132	0.877652355269525	0.838857957585973	0.894826559426595	0.95808515121465	0.967137543810301	0.78100072453192	0.802104515003359	0.414596070238248	0.683670045846336	0.248945738102285	0.0965179058763003
LRP1	0.874695386408751	0.772978632963344	0.407737153841217	0.90590310545403	0.910641195427751	0.49493176888699	0.826514727393905	1	0.358420284567956	0.636787871936877	0.413515740431557	0.429102596116542	0.745551194933513	0.822312458712862	0.513506829063518	0.854309143860158	0.707292648926949	0.487989416310499	0.608624294587166	-0.0546414255241769	0.409029866680705	0.824127489384477	0.617339435924473	0.487480798931379	0.904884502324308	0.363077134893923	0.387562681842029	0.979052667034793	0.667991637909884	0.504610507364645	0.85738956519053	0.750715398615801	0.418984594543828	0.794530771129633	0.329901953049569	0.66308190953845	0.968673827541555	0.437299711887471	0.433766761987788	-0.0980023666611431	0.876411448113556	0.913052742359961	0.645150137287675	0.651156787336076	0.408683201472185	0.776474527667329	0.83563163843521	0.315277662834646	0.78260868673513	0.82571239645725	0.884650120249469	0.520130314001192	0.738978061632501	0.62333647359795	0.956349913692015	0.858912493261217	0.95040535431543	0.895663816596629	0.564736360409977	0.325419089439113	0.936031343296063	0.529336298932603	0.818259143589929	0.805509218049686	0.784292480876733	0.89516016564715	0.89160503269943	0.804167983275878	0.565846953793546	0.831446321497346	0.882802862611598	0.771773190875324	0.894695388455226	0.761076354835163	0.803190697476167	0.836968856840969	0.442220516282049	0.484214321312827	0.165159197643501	-0.0475619675406353
INSR	0.282169276464081	-0.0152603003880707	0.778958117510482	0.154895613845535	0.235473949832351	0.758195572330601	0.193219454119202	0.358420284567956	1	0.575179647335637	0.756539865376985	0.809613078777935	0.0842759810548714	0.0296383939534729	0.370020398875578	0.589114181149794	0.703384801268423	0.144786480677487	0.779251747007691	0.159953655309666	0.699848212878661	0.00885055801860273	0.132436060676723	0.2824524196926	0.140421698041571	0.71578881142264	0.731541293859167	0.367602245142296	0.525343639332517	0.157690559447207	-0.0193047836100394	0.485097913375928	0.752396957445669	0.536122823434087	0.621306983636958	0.366779180386646	0.378341240941295	0.772644736449499	0.561034924679145	0.0815318632466728	0.513894772940852	0.53824025679067	0.59595570190195	0.272534061949029	0.818082841584614	0.209093686970123	0.38413584840675	0.0144186998012504	0.588360682485799	0.197578839752497	0.349494596951052	0.314834219375168	0.320023483755867	0.713649296209054	0.421539856696592	0.0268662835353658	0.136882729742046	0.367865226051762	0.692502864734616	0.760251478013446	0.243621297901817	0.0722029890981471	0.473636914349912	-0.0482678325857163	0.350665818988499	0.293689086053321	0.422269276519437	0.369687454467725	0.559977867946415	0.062962448753403	0.0844690390166009	0.307812378749588	0.289875483462613	0.187995042034594	-0.0267452333643659	-0.0283358064370533	0.746707275414692	0.414005464690841	0.187821424456698	-0.0251312993910995
NOTCH1	0.674487178848923	0.471288906860451	0.760789473536049	0.503361278162458	0.64479159608998	0.838491706126412	0.655651448011422	0.636787871936877	0.575179647335637	1	0.768578154947724	0.770992967806207	0.584506462038403	0.523792735074427	0.829704479755887	0.90312271956461	0.886351800473727	0.732048021956565	0.884583737988174	0.158429227466851	0.777067718422016	0.491778650770548	0.687002213398269	0.725608501488384	0.537924611472058	0.707302347291111	0.739619307882885	0.698277695953802	0.473584770873153	0.717905981984233	0.321283275686548	0.913325356881896	0.786135467441877	0.904743495201122	0.706279162419289	0.829146857991627	0.573969172416365	0.777277316312706	0.840455461790089	0.00677147989897299	0.890560635105382	0.738065440696851	0.963179527377714	0.787706741295863	0.739905993427113	0.721151498028119	0.799404444552285	0.308515583697206	0.923015583362384	0.721231332580234	0.745222705741925	0.770629867884852	0.787890149628893	0.938636068613053	0.659302368192425	0.376395898760379	0.437865888622351	0.788938149287387	0.909127733245202	0.68230641997265	0.549476484667703	0.631101933929858	0.896154887233519	0.135775904132102	0.70699272355564	0.745773407975318	0.757129837725676	0.76374440365639	0.935824941813798	0.509796516242855	0.380943076206473	0.602206811747825	0.700173609220454	0.699120427744809	0.238866018073101	0.30623199895183	0.724327278405362	0.657813899792381	0.226199844108914	-0.0867445749106581
