""	CD3D	CD3G	CD2	CXCR3	CD8B	CD8A	KLRB1	CD247	DPP4	CCR5	CXCR4	KLRD1	ADGRE5	ITGAL	CD53	F2R	SIRPG	CD47	S1PR4	TRADD	FAS	PTPRC	CD69	TNFRSF1B	LAG3	CD44	CD4	SMAP1	TNFRSF14	ICOS	TNFRSF25	PTGDR	IGF2R	SLC16A7	RIPK1	CD226	VSIR	ITGB1	ITGB2	RACK1	TFRC	ADCY7	PTPRA	CD81	TSPAN5	TSPAN14	LPP	CANX	PTGER4	CD74	CD63	EGFR	APLP2	SORL1	NCL	PTPRZ1
CD3D	1	0.900363385622608	0.940571138930367	0.782461632381126	0.218348960234522	0.0223945492622612	0.659016257419679	0.81885627932712	0.64281402951747	-0.271543946802793	0.683196829562989	-0.0546988297072442	0.732820948907581	0.331099150956492	0.870532434978685	-0.382945372580643	0.787144406672285	0.820788758819389	0.698319757535149	0.709343438052927	0.485513193154617	0.494507143730872	0.697944278932569	0.546356137274553	0.240630578506234	0.513860582004085	0.422571115276601	0.752385321691122	0.665091699565767	0.489577347448887	0.524916295513579	0.473991552698711	0.358721739143831	0.423536849331037	0.374856561945979	0.541692304606403	0.676808647043312	0.602041158722282	0.589075894228149	0.814209892074135	0.29102324750438	0.496707363267117	0.106437104743076	0.201353901566114	0.373823569974712	0.587856111276082	-0.185546310369533	-0.0641072295858595	0.556352662789581	0.178724272692943	0.592661656523964	-0.407364387033745	-0.0241241361412249	-0.0490904722948886	0.580950974189533	-0.444908526833977
CD3G	0.900363385622608	1	0.860096757770082	0.836199337505497	0.0367255749082178	-0.102393722981079	0.738776519606331	0.789069535774743	0.63712557378399	-0.263493783434912	0.708824640081792	-0.150768824192814	0.755261618519866	0.344357256718433	0.880505280936016	-0.419277147824939	0.811108651139121	0.861086093952724	0.758641493770334	0.788339451549833	0.417132903569498	0.551242079050067	0.783476233672082	0.581933496911274	0.0705516130584297	0.538251725386741	0.494001728273031	0.738558170170787	0.715558373064558	0.510983380677644	0.597426605299963	0.384270106794672	0.311020432396579	0.340452190316701	0.571739269207202	0.609183906411352	0.677503124765444	0.45100750164395	0.519245153078068	0.821516732526379	0.317388498003453	0.551702562939904	0.141377002015234	0.167819472611201	0.469673334669063	0.630208573350077	-0.187729407132362	-0.0764747233558509	0.502272880147662	0.121797563789739	0.565538641054566	-0.402548537913769	-0.0185441252122038	-0.00222065749749661	0.601934857351915	-0.430244045849897
CD2	0.940571138930367	0.860096757770082	1	0.754553095881867	0.311605068433121	0.134125824335905	0.604708073862984	0.844446330254074	0.695481999218786	-0.194113920860156	0.635931761946064	0.0183643861674563	0.724772433908296	0.497318789340553	0.799874566454797	-0.230945397666832	0.730416539626615	0.740073867752899	0.588617438572614	0.594977132334582	0.595126540898894	0.596081410327182	0.658821357652643	0.515234019915378	0.334033534240253	0.654139049191491	0.493289575180631	0.651456834451858	0.651407023530857	0.486068124589999	0.581919628295632	0.543360971087874	0.391864685664224	0.403521842198242	0.368459637274395	0.557676899728097	0.627259059173419	0.626904292227031	0.575632307499341	0.70221693449522	0.308361772008848	0.49531954904344	0.115863682236838	0.200005367067013	0.422522628413575	0.615355085828419	-0.0473007335239701	-0.0230970997792735	0.610148490388269	0.192590249222036	0.532544409416788	-0.385192663958062	-0.0337221016643903	-0.018101109477917	0.634280543810229	-0.428974412010504
CXCR3	0.782461632381126	0.836199337505497	0.754553095881867	1	-0.107219423323969	-0.228698470538964	0.640244286880843	0.575610140837985	0.621159531995939	-0.347498546248957	0.551646690810783	-0.286582496985742	0.816670290836988	0.290729003670299	0.84696080735392	-0.25461568545644	0.809152145771234	0.787296737305916	0.603679030584853	0.655219037405725	0.29864108603645	0.446601271644326	0.748607448498258	0.544949019859776	-0.114876132643595	0.536612700984671	0.574825256636485	0.635531347454207	0.62542825941699	0.511737496413193	0.579694358491223	0.214904226424946	0.405218324002575	0.15422529434323	0.481281290289839	0.546799802021813	0.558324537995053	0.311374740333368	0.481147651842129	0.723414530317564	0.440053456659598	0.611906381302281	0.22258888735933	0.325826940570765	0.367332204438277	0.624675163532652	0.0474190321689841	0.153521447076531	0.324392466797812	0.272287069379244	0.615462362360604	-0.181084656370503	0.0890729318107844	0.147536702885076	0.660625009831756	-0.214852751874139
CD8B	0.218348960234522	0.0367255749082178	0.311605068433121	-0.107219423323969	1	0.918104559652507	-0.410537173264712	0.337366569666445	-0.179316291314323	0.705494886213681	-0.253739064822984	0.875326658130324	0.0705875635546155	0.418133605460861	-0.135653040926963	0.386012595540133	-0.0142662584789813	-0.280363427698167	-0.263726143248638	-0.407988051823101	0.22014316326902	-0.0114332077544821	-0.36360703339538	-0.427518899274776	0.84546992082784	-0.0101118520293759	-0.488354912023438	-0.118036275230668	-0.278108587961982	-0.180501626209374	-0.363137768723504	0.691354931269863	0.238900974606073	0.345742889441179	-0.272511335998695	-0.251536305761184	-0.17972790130366	0.542341104150351	0.0559343305460173	-0.262224558817496	-0.21386186190601	-0.113761293736256	-0.143603736949901	-0.111816620454617	0.174385394384299	-0.131995130434531	-0.263586738897644	-0.296122395588766	0.114752152933319	-0.115621751190871	-0.0579076762638611	-0.272225593838713	-0.210122248317566	-0.363501078106235	-0.129508504055279	-0.291613327808487
CD8A	0.0223945492622612	-0.102393722981079	0.134125824335905	-0.228698470538964	0.918104559652507	1	-0.536081868778315	0.202961059598638	-0.28640955041376	0.748496128166225	-0.381051077707558	0.915455571201384	-0.0525781481889548	0.489946311169343	-0.283496470955034	0.584942759069101	-0.152137351240059	-0.451146671716558	-0.370578848001255	-0.575014788513597	0.104065496647409	-0.0257584029453374	-0.486697958203633	-0.463576731131821	0.843929793864354	-0.0362639936834552	-0.477070204414944	-0.23116087290158	-0.416669996473428	-0.149583126766629	-0.447939767588055	0.581853377654764	0.138101156059886	0.205762470633545	-0.344150986927092	-0.303113951287275	-0.393181032603446	0.468476844215675	-0.0274798134660297	-0.440829477994351	-0.271629214759319	-0.234319139147405	-0.178862105033683	-0.122469845250488	0.15340559811429	-0.273141062939627	-0.187833620564304	-0.312010967918021	-0.00526029359894933	-0.128158676351575	-0.181612646161804	-0.244076114507678	-0.198906490857371	-0.336390248474561	-0.206532445256623	-0.257507761300873
KLRB1	0.659016257419679	0.738776519606331	0.604708073862984	0.640244286880843	-0.410537173264712	-0.536081868778315	1	0.507552211387656	0.79464822106797	-0.728727628516085	0.885749719913213	-0.594969312628424	0.631593546054057	0.0736416044195356	0.845351148386012	-0.597473994240218	0.698517788609714	0.84066144423041	0.811914697716903	0.90729616182468	0.471826659589785	0.63579783791167	0.930442178076524	0.762158901335629	-0.316056105837994	0.582674503687002	0.723327404169005	0.700905432597991	0.831013028270824	0.549729849797043	0.792951558857627	0.0926432428695058	0.286495135708774	0.0315961363312671	0.637476595360772	0.763521066977854	0.739347027326796	0.182316986781471	0.428074266270689	0.893892841980993	0.341489659998119	0.449351203027934	0.270054036408108	0.131413758134695	0.426355696088242	0.689442680612	0.0649942937378387	0.125766776908144	0.664232920993673	0.164355825284345	0.489230196517014	-0.185866894749266	0.0993464454430437	0.177590904078824	0.662875823345731	-0.214267721037128
CD247	0.81885627932712	0.789069535774743	0.844446330254074	0.575610140837985	0.337366569666445	0.202961059598638	0.507552211387656	1	0.49190238526846	-0.0372815782120859	0.563411668896465	0.154616882920175	0.657301332348658	0.514639857216535	0.701353998053764	-0.11222808090805	0.625754049777274	0.670774992822772	0.621048947549154	0.480511573974744	0.678396494868568	0.640069249234369	0.536201598815951	0.46415722105523	0.279790771535265	0.570776558760589	0.312891071767599	0.601386653596619	0.513205059075754	0.473040752196491	0.455293959731157	0.544076981184112	0.291710555588531	0.381946631382811	0.484032525691897	0.443876088108503	0.567390840398437	0.649507389470609	0.613595847055033	0.66415116763478	0.259239960288672	0.567455071963314	0.126952753677969	0.219626653273769	0.564873898309891	0.593671879122117	-0.0905439277149506	-0.104969894890405	0.587066577325116	0.218318104640049	0.535995621637767	-0.440724150672545	-0.00663056643192131	-0.0703079580139989	0.568237976067341	-0.489873782815748
DPP4	0.64281402951747	0.63712557378399	0.695481999218786	0.621159531995939	-0.179316291314323	-0.28640955041376	0.79464822106797	0.49190238526846	1	-0.624544988024101	0.70272915821857	-0.46747884073413	0.559725087887668	0.386677320112123	0.694454875339283	-0.300239279818088	0.662540039858527	0.660959603391836	0.561584663412891	0.66431565178384	0.631382803987855	0.704646780595902	0.75048052852541	0.578385690772745	-0.133639158250302	0.71743706142302	0.789846795586376	0.540116663515263	0.816816913557864	0.527819391028544	0.79008740756954	0.291762168699678	0.474345055517885	-0.0628054442375254	0.511646954352142	0.81552334703758	0.56026171356037	0.235872646883757	0.32703353381564	0.694086653760964	0.317942187213415	0.420649232125675	0.21064434097121	0.0578636658992021	0.436200574485877	0.66648228727883	0.208181842412329	0.157939422743603	0.687362567135013	0.107737839089409	0.369146202409309	-0.1725985230958	0.0112334833696786	0.140991496275491	0.694427062928292	-0.201417793237976
CCR5	-0.271543946802793	-0.263493783434912	-0.194113920860156	-0.347498546248957	0.705494886213681	0.748496128166225	-0.728727628516085	-0.0372815782120859	-0.624544988024101	1	-0.608565982889315	0.813377983172952	-0.293124540898197	0.134766877279018	-0.504574257028314	0.488193937911755	-0.392514307324102	-0.541982269607556	-0.528170594617992	-0.658615080954425	-0.208995269354127	-0.365335193884149	-0.640628494694776	-0.620964286763171	0.510241658722475	-0.302556128594539	-0.691099037968438	-0.426216205443088	-0.575183271737061	-0.384784637837708	-0.651218649959405	0.294145875837461	-0.144808360430241	0.262934423999229	-0.343110070362885	-0.629358575902121	-0.509425518781798	0.121600415552325	-0.227233977501296	-0.609141056144852	-0.265691720391501	-0.269157949135469	-0.189683906778987	-0.0934340554252795	-0.0898362248672028	-0.448620829468118	-0.289108574810332	-0.28491092875823	-0.328725509174422	-0.179615612039981	-0.277918894413565	-0.104121852493889	-0.188901093918459	-0.320408468173595	-0.4582426106228	-0.0917662856735671
CXCR4	0.683196829562989	0.708824640081792	0.635931761946064	0.551646690810783	-0.253739064822984	-0.381051077707558	0.885749719913213	0.563411668896465	0.70272915821857	-0.608565982889315	1	-0.492760636367083	0.523510380462287	0.0768032846599155	0.790706061239858	-0.573002371838935	0.483506614767345	0.802057679131352	0.889511986302241	0.877522456164645	0.536538001762156	0.518682763837659	0.88541321081654	0.648048210546922	-0.0765011875885384	0.550368034748153	0.559646528285517	0.659378857920919	0.797758055250989	0.552812847569995	0.710914449244533	0.0497370664209497	0.100315345261817	0.181400323756119	0.474098976438284	0.578226579019114	0.646580002351026	0.183538925274521	0.358997885627557	0.806687291315865	0.126292388346273	0.252417383069646	-0.0330263570610874	0.0121098324677665	0.294001496290454	0.467834519247252	-0.162469195144124	-0.114165762573417	0.656975447849682	0.0245633173061024	0.355915231444841	-0.376899946912473	-0.104838241517523	-0.0637896298039094	0.480203101762865	-0.418411414048995
