""	CD2	CD3D	KLRD1	CD3G	CD247	SIGLEC10	ADRB2	CD69	SORL1	ADORA3	KLRK1	TNFRSF1B	VSIR	LILRB1	CD44	IFITM1	TNFRSF1A	PTPRC	CXCR4	MRC2	FPR1	TRPM2	LAIR1	CD4	PTGER4	ITGAX	LPP	CD47	SIRPA	TMIGD3	TNFRSF14	KCNQ3	ITGB2	TLR2	CD46	SLC1A5	ADCY7	TLR1	SORT1	HAVCR2	C3AR1	ITGB1	CD81	ABCA1	P2RY12	CANX	APLP2	PTPRA	TREM2
CD2	1	0.989422796083916	0.97363877373417	0.980008371926078	0.928031530363674	-0.0535150594840019	0.279931239525149	0.867181917923243	0.0138457533616112	-0.0354950806766867	0.922489478779138	0.19964134972015	0.331873324386219	-0.0918655470262826	0.960319701070861	0.951635398080909	0.351011297040056	0.450010818700118	0.772981583545676	-0.289069175344217	0.0539893141105929	-0.0524096127001474	0.289369394891019	0.178254139270419	0.486622880121813	-0.247004397683036	-0.201425418997237	0.604184803791913	-0.130064563865763	0.181283622790546	0.805740875127662	-0.293527979688081	0.321007530390781	-0.0847930598663844	-0.228302749960479	0.0785670219121074	-0.122723760738659	0.0450331756819694	-0.337754313681757	0.0919900469838461	0.216939580850013	0.220523563809676	0.353568637968987	-0.144206357182749	0.226155161466409	0.131107486511163	0.0707655569276178	0.044018514942217	0.146175697846059
CD3D	0.989422796083916	1	0.961283303542069	0.990327740132883	0.938141280246254	-0.0249412521922239	0.296572228581017	0.902747409158797	0.0687891292932191	0.0244274439306248	0.920528610071236	0.238808075238065	0.356153050206925	-0.042423383220852	0.960932960959022	0.927433575063489	0.387190625587292	0.495121991173668	0.800141829774301	-0.263610093171739	0.108979357636017	-0.0203635250061992	0.342600040800421	0.22331805763856	0.554516078714743	-0.235914500397772	-0.164179672782549	0.647869185362326	-0.0755065845577672	0.244208522277058	0.840891012148735	-0.267842307328795	0.360882397211972	-0.0417132259817503	-0.215051344117523	0.121897698877535	-0.0967011961318212	0.102778405856638	-0.306595878838291	0.147231347664034	0.261690601511827	0.267657470694134	0.403972642610844	-0.0980898832918067	0.270550450295126	0.182045649174087	0.119161158651407	0.109227121412057	0.201032649272612
KLRD1	0.97363877373417	0.961283303542069	1	0.940840797751324	0.956536946242333	-0.025579570080163	0.349072875883822	0.848057538634265	0.0261233628800592	0.00806247859627281	0.93524955634713	0.24674356970491	0.358788208175391	-0.0870918841457383	0.941286927100884	0.93276750646712	0.373946972841375	0.499378324900102	0.785266209093527	-0.205909093395934	0.0935070613326647	-0.016322236046706	0.314566707647291	0.205379408063738	0.529635292038515	-0.163375270992122	-0.167402930572484	0.549204155464462	-0.0926292508127692	0.184584265423543	0.803640644761073	-0.205448408884699	0.368556719796196	0.0194727814274464	-0.209352103073761	0.107451436759583	-0.09661532215462	0.104298605995092	-0.301831697650201	0.159590487864146	0.231367143047103	0.201583889863244	0.349992518725871	-0.0980900628483493	0.229059367376914	0.128010179507227	0.0950111839556608	0.0340339722043539	0.177408467685738
CD3G	0.980008371926078	0.990327740132883	0.940840797751324	1	0.931250189928023	-0.0599501035766363	0.262052391713204	0.879450985391442	0.0328422966682988	-0.0203902527250013	0.886332446900178	0.170520560571865	0.334755139947621	-0.065709797287418	0.949012841668819	0.91739807520441	0.358657000006231	0.453729594678796	0.75206005553177	-0.309588931303408	0.0523524782892513	-0.050660850585974	0.327707309080423	0.180517678456296	0.511914695973746	-0.280196079143883	-0.201451312750084	0.61441659453989	-0.112653016196207	0.199147576865236	0.807567170889532	-0.327738858681765	0.314490505242273	-0.107729703374154	-0.253011074236099	0.0681911667519155	-0.0798282719063763	0.0572623803160541	-0.339823010608336	0.0967715233750818	0.208210113107897	0.220494017935999	0.357663707140632	-0.147489880508912	0.237095590233896	0.129878564027182	0.0655897042816613	0.0681041608985589	0.146598466565456
CD247	0.928031530363674	0.938141280246254	0.956536946242333	0.931250189928023	1	0.0179283463564422	0.370749042979958	0.796422470635162	0.0787387822912614	0.0367528560789757	0.853046287216634	0.221888113178006	0.363578268985418	-0.0685278321472255	0.887900428553186	0.839190229911194	0.383121308625579	0.531317671432759	0.720321758194756	-0.173713333128336	0.0573930594930616	-0.0242491529827947	0.348745691858199	0.211880847003442	0.528022594865625	-0.155337244739645	-0.139889082050835	0.488147069261674	-0.06563865306267	0.164367184352338	0.789136292449874	-0.207180702501556	0.361013199424878	0.0418268276553263	-0.229122239915719	0.0584017637192484	-0.0583624470828244	0.13489746300731	-0.303497860441	0.168552848725915	0.173131046574753	0.159241925351811	0.312294773850584	-0.102348784199202	0.229918356787296	0.105356556518652	0.0885040347177053	0.0354103629946018	0.143767402633583
SIGLEC10	-0.0535150594840019	-0.0249412521922239	-0.025579570080163	-0.0599501035766363	0.0179283463564422	1	0.722422849179899	0.105773005403896	0.896140587712571	0.748275627928997	0.0330390054425488	0.718462890782758	0.755800017752167	0.53751423529059	-0.0764744925504927	-0.13467946699721	0.693365905021787	0.758565923203144	0.345405497154493	0.400574281408838	0.662547469787137	0.516509339397355	0.717603767247803	0.779785061422303	0.253363665747613	0.666131374549875	0.615262372773819	0.228378385257765	0.796893406521593	0.716141361960364	0.377705985836273	0.529723183660972	0.800935949368263	0.57097287998826	0.370404506071901	0.714358583514952	0.568972264693983	0.626331725134618	0.28789414325001	0.721969113425983	0.671433310051156	0.662373607122596	0.678240699661513	0.686299905936336	0.822584324257729	0.713318678987156	0.792572741749399	0.45865951640004	0.718255015370512
ADRB2	0.279931239525149	0.296572228581017	0.349072875883822	0.262052391713204	0.370749042979958	0.722422849179899	1	0.370561568617389	0.656821146021343	0.547906466623587	0.386006460825779	0.582927378903275	0.797555976584521	0.376343703537462	0.27779280814199	0.194930177051412	0.729870472047265	0.779839671056969	0.547805445581245	0.137758085784702	0.592183155902073	0.290603614479065	0.805437572282898	0.671524573374244	0.334155955369898	0.39443846513535	0.254126731501774	0.256541980153599	0.574147371154579	0.665250898254561	0.533514503829441	0.247756153675461	0.795615856675042	0.510932095700417	0.0360561914503999	0.558645126239454	0.569299262953393	0.540451962898946	-0.0214086620624351	0.638109298552059	0.63126086298692	0.541493408472011	0.683075268169402	0.456961221093877	0.751002517867538	0.56536987991805	0.666977601718318	0.508295803518695	0.641256965942319
CD69	0.867181917923243	0.902747409158797	0.848057538634265	0.879450985391442	0.796422470635162	0.105773005403896	0.370561568617389	1	0.257950862568458	0.274224335978075	0.911531492110263	0.47704120021661	0.507368583091517	0.130229031237357	0.890564983784538	0.819574081006916	0.557291041358574	0.613954406644529	0.936753171484799	-0.195410409571112	0.432125544702487	0.155571884849714	0.525166414665329	0.428354440366336	0.744409969697231	-0.0835769680100139	0.0271717314025935	0.816894164696721	0.141283543112575	0.539128306081248	0.926896367677476	-0.0726550251258657	0.559996936818977	0.156812041513398	-0.110977692836136	0.397216897078439	0.0519240453021394	0.308882150031275	-0.134169065012585	0.42335116724601	0.556829385731353	0.527745654497444	0.661293416743435	0.137159500009229	0.487660461540419	0.445016123793876	0.33352365324499	0.337890105863627	0.511917704757546
SORL1	0.0138457533616112	0.0687891292932191	0.0261233628800592	0.0328422966682988	0.0787387822912614	0.896140587712571	0.656821146021343	0.257950862568458	1	0.907245526490926	0.113433052834163	0.856269111691218	0.739703710077851	0.683303747456525	0.0263995487271361	-0.0638589573445923	0.731579220324373	0.839101465011104	0.450697788554428	0.474376362165293	0.753212676838635	0.663551958291599	0.752279631753456	0.88326436609426	0.454347793001981	0.644867604315305	0.760358420348869	0.458732831058943	0.847954194884941	0.786149222771802	0.462714242118622	0.609816703541986	0.845063762580369	0.642232277122535	0.42640813159362	0.803070303905472	0.550335759729892	0.75900684499857	0.469525878876507	0.8109927040512	0.74734564585533	0.768225253667178	0.739440833989022	0.782251364260925	0.848271333169969	0.821443958242144	0.822946295862477	0.47109717544569	0.785230396518463
ADORA3	-0.0354950806766867	0.0244274439306248	0.00806247859627281	-0.0203902527250013	0.0367528560789757	0.748275627928997	0.547906466623587	0.274224335978075	0.907245526490926	1	0.111895361938057	0.892299159943227	0.664816382820327	0.637837993527597	-0.0070234344322582	-0.0929436184643759	0.702721443097954	0.792506426480509	0.464743489432625	0.595375632069182	0.79047165388185	0.672586456908046	0.695076900331179	0.841298094589934	0.586814699257873	0.609501659526586	0.801932815590089	0.473617778875348	0.846139860059145	0.778571886804567	0.40984353201821	0.74466859666295	0.796373300670835	0.714857861896937	0.374495077223643	0.800912909431268	0.551226201833531	0.822885763434429	0.541081385876738	0.864112201600503	0.743544465743709	0.727293991326017	0.709770562365034	0.7730893834958	0.804200695363857	0.814382407347586	0.765378356185836	0.402766158037956	0.779637355436772
