""	CAV1	ERBB3	THY1	TNFRSF1A	ITGB8	CD9	LPP	KLRC2	SMAP1	PARD3	ITGB1	C1QBP	LRP1	VLDLR	CANX	CXADR	LRP6	MYLK	PDE1C	INSR	PTPRA	NOTCH1	KCND2	RACK1	TNFRSF21	CD47	PLXNB1	ITGB5	APLP2	NOTCH2	CD44	KCNJ10	LRP8	IL1RAPL1	CELSR2	CD63	PTPRZ1	TRAF2	GRIN2B	AR	ACKR3	ADORA1	TSPAN12	PLXNB2	NECTIN2	CD99L2	LINGO1	IGF1R	TYRO3	GPC1	NRCAM	S1PR2	NCAM2	GPR37L1	MRC2	CADM1	ROBO1	TNFRSF12A	SORT1	AMFR	MCAM	PILRB	SLC16A1	ABCA1	MCFD2	TSPAN5	ITGAV	EPHB2	CD81	SCARB1	FGFR1	EDNRB	TSPAN17	TFRC	TRADD	RXRA	SLC16A7	ADGRE5	SDC3	GPNMB	CD46	TSPAN14	NCL	HLA.DPB1	CD74
CAV1	1	0.820143627169268	0.750634646497836	0.886789382593921	0.87944129948105	0.92467820664085	0.933507499555897	0.742286101448319	0.893820685438094	0.871649311962909	0.926965571574529	0.807715363099869	0.916775808416567	0.84919139091868	0.915601825940207	0.852253002145345	0.834188473583748	0.597455358194143	0.813920364622057	0.78938551398049	0.912740429260907	0.880286384568101	0.801812747661379	0.887583261016442	0.846329650630909	0.905201840560122	0.850283970258919	0.827276387650481	0.920508990280336	0.890369232782819	0.466095864166705	0.84572547553251	0.838593849641223	0.653139861309789	0.875228776835492	0.942523973428816	0.822923785242379	0.698178507500016	0.83828517443168	0.866362441609285	0.78366511859891	0.768626501931561	0.75295687386441	0.851058941716035	0.783115733944163	0.873683562498453	0.855528203141604	0.844441727172201	0.838436887368135	0.927412771221117	0.883962416894315	0.835042124753819	0.879119729920693	0.658072749060935	0.827883189011977	0.890137886413038	0.883828619821957	0.844832699044217	0.887274905366168	0.900394596907015	0.806676620876998	0.803418596550264	0.857851167880778	0.662700599458188	0.926998818095398	0.85198901164433	0.911530429392571	0.837974013624762	0.924585953010665	0.671183582567844	0.909996551894111	0.748013735193353	0.799598227254171	0.880571259873942	0.788212547843278	0.821721216991987	0.830385507956724	0.865350527543336	0.923187416072398	0.533349553179903	0.857771653985211	0.86080704186667	0.803143581171549	0.707340215104453	0.374827516531601
ERBB3	0.820143627169268	1	0.932371783106886	0.722028296510059	0.808865413875723	0.70517452137633	0.878857671988791	0.929582143483304	0.90130364596528	0.767965571062913	0.838514292047804	0.904441744715227	0.908591317079953	0.8617398410811	0.823659856591593	0.924411426670815	0.940360692664826	0.277564509262283	0.866650730857857	0.692450075722654	0.88540834781801	0.934517984098369	0.956964279472389	0.774014924230388	0.904233378666075	0.896369525477815	0.893391037566448	0.912891184896797	0.891369816855295	0.783596749506899	0.14012962114474	0.964466556306545	0.867679366748527	0.79328278094954	0.883633104387015	0.833823986436603	0.967901726178038	0.698226207251911	0.882504796034304	0.847930165902875	0.81290823029884	0.862667146411271	0.913850572963821	0.741451722341872	0.722311397112937	0.913781779875836	0.937008446587908	0.614495600104289	0.928632597419405	0.859538508538011	0.838788352109384	0.895400267619688	0.925189032381482	0.872277931802013	0.609510854670597	0.883680360980375	0.824713245008654	0.767671681892615	0.898968521326688	0.858404792797342	0.928212918647557	0.69227979035154	0.685933894363724	0.293713497621548	0.83347936991466	0.814639529214105	0.833071557300686	0.842099176773763	0.911197750910751	0.473354430113209	0.846417066827743	0.868801069972848	0.903048193316546	0.847014387307895	0.580210164756907	0.573984624596976	0.638522226758638	0.883521007053466	0.902604265814818	0.314315665786009	0.816665951321778	0.849529319950888	0.878971462634843	0.563420255348535	0.159328848904523
THY1	0.750634646497836	0.932371783106886	1	0.643079285077247	0.727859367286236	0.639421780711632	0.81787099314436	0.933188068999297	0.899549227394997	0.705963814564632	0.805716354225021	0.964768371805688	0.823512638017324	0.791142058696732	0.779738492154935	0.872180652581098	0.885600245745847	0.131781482624698	0.77727501266632	0.596015522417449	0.819531395754714	0.888014868026417	0.956425616280316	0.741730201010422	0.815575582923361	0.871020092363864	0.800087059022749	0.91141780151917	0.848385024739348	0.670447904823643	0.0684809644072603	0.89211221448169	0.838391486435431	0.767801756036747	0.801553386354589	0.78843849481966	0.930583698213105	0.790923688240735	0.81465252040474	0.797723340022031	0.794575704452692	0.819603201414981	0.941499188759271	0.681422264780009	0.679801770871273	0.870707669608818	0.890995919478631	0.493244312203912	0.857022168105948	0.796491832877095	0.730202569135319	0.875811551675356	0.859014220263667	0.837673079193973	0.472758183321902	0.828085444481976	0.713049818905328	0.76351279493015	0.840522893343212	0.794211364307509	0.927162069554536	0.596568455261981	0.671948763719893	0.137175008712657	0.772725024986923	0.779290995418143	0.730996888510728	0.82437738627	0.835217763598937	0.428407498672743	0.796692615870742	0.81481488751934	0.915089961515541	0.811481721880479	0.464881594038536	0.434009897886959	0.538872958364125	0.805013275032628	0.809786714647416	0.183006738287241	0.725755271803805	0.798549813996301	0.943932882683436	0.563425909942835	0.101789280660216
TNFRSF1A	0.886789382593921	0.722028296510059	0.643079285077247	1	0.945528031046406	0.913148000979357	0.904022772837274	0.638540894282268	0.821294969636691	0.811473433792765	0.902294373405935	0.705008796556748	0.870789871031297	0.75930964703629	0.84573913031454	0.842821169101821	0.774720312157918	0.675357703013889	0.814126414880064	0.757207106513628	0.890191961405875	0.816268041406954	0.708509080537655	0.756121427030862	0.82777834869709	0.894862047267057	0.837639974866087	0.728310328382971	0.891004697569811	0.894731255358513	0.655341408171991	0.78486836717787	0.756244989651218	0.617543101133116	0.883841410528399	0.930769005556536	0.75073110470726	0.652402579276974	0.823262271916337	0.880955511764354	0.842596146902962	0.767253843581839	0.662849530445558	0.837321284349584	0.839912804645817	0.837251182227181	0.781720335179348	0.861886245710642	0.823842471805515	0.904093650765141	0.914457359994217	0.736034836403981	0.864824616419818	0.62249432022603	0.900601015259299	0.839492129119746	0.899330594234175	0.81737418766764	0.873595749033804	0.877913418213363	0.726493877175906	0.84529594795016	0.756649509520815	0.746865162848594	0.859279665604187	0.857615854831599	0.941305058851033	0.75887045962591	0.890060802526554	0.515960929741847	0.85891194637672	0.7483697624046	0.681128640836905	0.783716666855061	0.794772987164397	0.788723710720702	0.821515991331515	0.774458695517331	0.89372731112587	0.503922966080458	0.808845047096698	0.836326845912633	0.695124126899232	0.821724074573027	0.594272376976452
ITGB8	0.87944129948105	0.808865413875723	0.727859367286236	0.945528031046406	1	0.86792121321503	0.934458115151729	0.725054050277699	0.864693277705354	0.837168730315258	0.913103165933458	0.760113215782852	0.905226580921331	0.789043308493577	0.843331525718108	0.904354895754986	0.866657025937604	0.594195562865442	0.862910145800533	0.761125233925079	0.933516647174986	0.873471186677873	0.793481603196553	0.741262653191985	0.87086223213833	0.93504687533925	0.902473821620136	0.797911434283444	0.922872117930214	0.917441143096442	0.61077660098051	0.867305021558931	0.817154350275691	0.678673471113733	0.925948883393233	0.931742958784598	0.837306163077981	0.668235739228146	0.87357472019554	0.924567552701695	0.890183007202361	0.829550352198065	0.76152892507284	0.852872774520811	0.854879019795042	0.891825587269583	0.84141168235248	0.844717132504624	0.901604657110002	0.924855775134032	0.952128728553627	0.78480678173545	0.91976961616719	0.703344645061905	0.876020354372391	0.878375318849058	0.948967648091829	0.799840124729883	0.926538461869602	0.908038984380283	0.817698919657087	0.841969257896761	0.731263037356348	0.663389297720007	0.860118446178186	0.902189908885201	0.975813724203351	0.804840866849391	0.930999304755874	0.463341054793602	0.8665196978791	0.817672480617679	0.749468142799194	0.802940295990192	0.756512352041576	0.733110910424882	0.836046033645282	0.806784940695861	0.919426502055778	0.423299815176095	0.836571043738945	0.859195520793838	0.755640400137334	0.819119984330831	0.567776183404448
CD9	0.92467820664085	0.70517452137633	0.639421780711632	0.913148000979357	0.86792121321503	1	0.879501057188242	0.626981868234711	0.823016149223625	0.819659115321312	0.898813032385978	0.717018390138762	0.84512184421501	0.755325175233395	0.863306792557421	0.806347526890356	0.735472609980454	0.690560181702658	0.757116161729033	0.735833170290749	0.859374557882702	0.796530783911709	0.686380914678572	0.795924159193097	0.778875507037486	0.866830711511164	0.778783314466223	0.729342115905297	0.887258421966437	0.85934737251988	0.561891416833638	0.755861291334144	0.753293100601848	0.569914481039353	0.827370784270727	0.929123677310733	0.717032366922054	0.66123319201599	0.773028477703828	0.831239510304132	0.767588828679417	0.725778885222228	0.656014100217867	0.810754814373698	0.775780455356355	0.813951072933714	0.772204207553996	0.823335278815647	0.766364641730701	0.878439392971647	0.849174955785201	0.751432269766189	0.818696680866911	0.573346882004229	0.84729984737012	0.844810662677751	0.859420431062978	0.78493201131714	0.833837634601643	0.863552499631617	0.707562092589816	0.781950707390701	0.820760086399447	0.701296017992615	0.879173290532959	0.820864254311351	0.889588289155867	0.761429442971866	0.869022008512689	0.632303503207278	0.849467599377592	0.696312842338598	0.704175636338615	0.797367897063637	0.80008885904821	0.834721514387259	0.80397885860832	0.763324486366313	0.883319876661274	0.490476369937912	0.80155032462508	0.81261163048945	0.718547739488994	0.721035640175885	0.451839817383706
LPP	0.933507499555897	0.878857671988791	0.81787099314436	0.904022772837274	0.934458115151729	0.879501057188242	1	0.79617089233789	0.942323469339556	0.902307994326524	0.965560906068799	0.845197318321383	0.970491834300866	0.889620891194643	0.936311083862169	0.926833188333201	0.919785464840801	0.559238524663585	0.890050444006865	0.844173191567225	0.97111276506881	0.943408003347683	0.877911845523617	0.858806955499635	0.894688738707763	0.944992530368484	0.921972734326127	0.878696780873043	0.971101368523495	0.922166446461959	0.416236012833209	0.90215198799966	0.902938963671254	0.746245004832729	0.948242041355523	0.945959260741917	0.911064784134776	0.78431847854618	0.918658271197932	0.925975249905944	0.877829633611113	0.823566162863772	0.821291902015226	0.894781848749721	0.842125682203031	0.936737733215975	0.929762889658609	0.842430089495722	0.922657488571932	0.959720734904232	0.946577917660747	0.873126660489552	0.933542457686478	0.74811859478787	0.850607913315267	0.943386814155195	0.941055861778803	0.855460586779996	0.953799243084358	0.938037811908647	0.884712451453623	0.864845183902383	0.865459380548872	0.633458464690472	0.943944124485196	0.922424354686531	0.954951847338729	0.904308428864899	0.969953692000333	0.614671383126844	0.936067075183115	0.840544134156611	0.853059313064273	0.888637172946584	0.799987712414357	0.81080096083748	0.857796373285624	0.897534126090702	0.958513342854594	0.490623330389317	0.918324420703584	0.905988270906559	0.867316839858322	0.727980530419869	0.357931513208712
KLRC2	0.742286101448319	0.929582143483304	0.933188068999297	0.638540894282268	0.725054050277699	0.626981868234711	0.79617089233789	1	0.869961891502389	0.706576300484009	0.779069170076304	0.905809981045845	0.824662042636355	0.765288888249861	0.749817632180034	0.880599696466919	0.871090837857478	0.150242223510768	0.773336492206073	0.602486611101232	0.817170816308027	0.88541750991918	0.932571880328382	0.727959914040068	0.811263610917979	0.853179788920929	0.823220935958788	0.89794550786539	0.835692073902362	0.694030884211816	0.0715490706621033	0.900631104311641	0.807234680196327	0.735258289922993	0.810089568256823	0.779025419655165	0.912544775601071	0.718730970275946	0.813842771019395	0.793347065594834	0.774331939983829	0.833518777102891	0.911416894171917	0.670581181051503	0.669624614014403	0.860874983856271	0.870030305858669	0.517195115724188	0.868590062186927	0.787760516053695	0.753685321083265	0.856403899639864	0.857477564368513	0.819409721531269	0.509043440888489	0.806487577446558	0.724373707729212	0.738822625174347	0.830883268502831	0.788304748392989	0.886797647413759	0.590178237678936	0.623769792326793	0.179962676925309	0.757485404444676	0.774689217232751	0.739430217635755	0.792930948441607	0.831770104206898	0.40443904961852	0.782716498569768	0.821283767222949	0.887146399089683	0.785162358734818	0.468401616316318	0.447983385635469	0.534106317369021	0.792579905008394	0.810364752137693	0.230114666555808	0.713093783286692	0.783670445035622	0.878477453752244	0.523920149686002	0.109578024138549
SMAP1	0.893820685438094	0.90130364596528	0.899549227394997	0.821294969636691	0.864693277705354	0.823016149223625	0.942323469339556	0.869961891502389	1	0.874545941712405	0.939221804267453	0.932615582407134	0.92584362595235	0.861259443606449	0.919128050050502	0.916733759568668	0.908664208301027	0.400377585318821	0.851169688273835	0.773552794111718	0.936728492057737	0.95690664553629	0.925332135469118	0.887255421202791	0.860415717432468	0.949094282533166	0.898689454262436	0.931050937893222	0.959837351229254	0.844830994759268	0.311903482688281	0.904779571490793	0.923592573357664	0.725270797717623	0.904948929083024	0.922172836131801	0.909156282465213	0.824372158846676	0.892572737347241	0.908001889151003	0.87354349550201	0.831114391533581	0.88940153173121	0.853863831541298	0.803283983804045	0.932279827061736	0.935570324696629	0.73940915443019	0.891213440719076	0.912366881335053	0.867260581438815	0.895756769323003	0.900018123459607	0.757242307631009	0.722433459613171	0.930817671043792	0.87114253763369	0.826892801246861	0.936533824859353	0.920795920316914	0.925571901290881	0.782694439705622	0.844884139852974	0.469134175463385	0.927583745887238	0.895672474379342	0.879752649671194	0.922853590950429	0.952124383872016	0.61827940957007	0.914081604789296	0.816871872685938	0.905608090493144	0.897482437455471	0.69573650670183	0.701830670743529	0.757021423729238	0.876823673806902	0.922676898723844	0.385358669395324	0.866626780161773	0.881378198390859	0.938885537531544	0.708304106023118	0.281905372872132
PARD3	0.871649311962909	0.767965571062913	0.705963814564632	0.811473433792765	0.837168730315258	0.819659115321312	0.902307994326524	0.706576300484009	0.874545941712405	1	0.899787353444656	0.739429560378857	0.877809842428186	0.821220318303493	0.863451062911688	0.804987424381667	0.827787943904602	0.520584720851224	0.77195287540448	0.786989234484072	0.895926855838399	0.858449240555667	0.784859552080357	0.817534575092845	0.786916747006751	0.845099786780208	0.831092891249305	0.81161752439095	0.894866070715469	0.843679368735722	0.362781331291944	0.800310178505693	0.867193521350532	0.690787217150158	0.838395085118819	0.86193715840717	0.800749720499614	0.715583990399514	0.798776647194955	0.851701636813304	0.758314493451836	0.7309884826589	0.707876656696895	0.836698932571613	0.782690061587354	0.82467450477686	0.84708223472207	0.812147953767147	0.810863472005435	0.884852545076862	0.857423349721853	0.773673328050955	0.814714289029505	0.601637462063167	0.80534980375473	0.853241393760968	0.873778217016435	0.766460555573127	0.842534145695568	0.863342005457067	0.791889089967838	0.843935985237244	0.83914075338821	0.648736101493664	0.905569557371966	0.806485265921985	0.862943693660205	0.846878014192348	0.891210798272605	0.613558432516385	0.864947362183591	0.713954147528196	0.763968595094943	0.802148963957025	0.777020731715746	0.787794593192264	0.786667991817928	0.786741628932199	0.865285210952832	0.44570230001744	0.864762773250819	0.814331187776151	0.779172613812122	0.645466249624184	0.288393141043312
