""	CD2	CXCR3	CD3D	CCR5	CD3G	CD8B	CD8A	KLRD1	F2R	ITGA4	KLRB1	CD44	CD247	ITGAL	TNFRSF14	ITGB1	CXCR4	ADGRE5	TNFRSF1A	SMAP1	TSPAN5	CD69	SIRPG	CD47	IGF2R	ICOS	LAG3	ITGB2	S1PR4	PTGDR	SLC16A7	TRADD	TNFRSF1B	NOTCH1	PTGER4	IFITM1	RACK1	TFRC	PTPRC	ADCY7	ADRB2	VSIR	TSPAN14	SIGIRR	HAVCR2	CD74	PTPRA	RHBDF2	CD46	APLP2	LPP	CD81	ITGAX	SORL1	CANX	SLC1A5	C1QBP	TMIGD3
CD2	1	0.916908464629716	0.936807331830309	0.745960806302663	0.97661968371932	0.94976160616468	0.963002545158109	0.902011763268954	0.915770629798163	0.956011516311179	0.843718733108553	0.941521524672375	0.945254086494775	0.961999443620834	0.904574784443812	0.900731779480625	0.978373356629717	0.978871467748933	0.82300486886451	0.85417174998666	0.959177808776577	0.985508722461783	0.95585429051741	0.887686488665799	0.51039612325563	0.850397892851342	0.913603479464699	0.796790972135919	0.923850989335576	0.944666510110409	0.904073852293429	0.815777830859638	0.737950020210368	0.401642600212177	0.900212100910018	0.968467033407703	0.980757781826613	-0.427061581945535	0.908372729153777	-0.24080195023835	-0.165918771381639	-0.0669659226973718	-0.325164007070675	0.846198830202209	-0.270130936401242	-0.283292879559295	0.479540061571368	-0.802422835875546	0.837400780171266	-0.147428705502892	-0.21285052609867	0.58209233148721	-0.88081350835914	-0.833869624051908	-0.244514870033995	0.18781819013589	0.935429070906557	-0.579312162715991
CXCR3	0.916908464629716	1	0.975090685048527	0.593068028098891	0.940736241262348	0.934637370120296	0.92495483425557	0.725910399756355	0.808498902463325	0.809742685519644	0.625236821353348	0.914694781123585	0.908938273239003	0.867945431003104	0.793991909364962	0.756750702876305	0.925712416759138	0.904510659548375	0.734945041046942	0.871066399201928	0.879227805985673	0.916359974075746	0.944785980056283	0.723989843083521	0.354614186156001	0.906734383577091	0.795762741217232	0.751329805864473	0.844304783114613	0.929629366263558	0.853833524080707	0.90006885704876	0.631710887559014	0.278610896882737	0.765966515152877	0.904449582433428	0.955050670804976	-0.244309816376257	0.782787222447029	-0.259704086104892	-0.232270281697757	0.0783269914048313	-0.390453167669955	0.880128073965481	-0.23170619626408	-0.186448886336762	0.252016853259566	-0.720223578747501	0.867031827879034	-0.186893573568633	-0.341299741781311	0.707080764133567	-0.821999801964061	-0.758766212311742	-0.244369951478026	0.299792563496821	0.913226026247111	-0.470481421886431
CD3D	0.936807331830309	0.975090685048527	1	0.614904506535879	0.954169783068044	0.944922614572319	0.932236108772388	0.733016445885669	0.791293778743876	0.816918468679974	0.661640767894511	0.91153174239036	0.941684121980628	0.888177771775046	0.810883274576355	0.753118451432146	0.959788237046362	0.927159140016715	0.728863582399406	0.901866842525343	0.861824151702102	0.935837621380156	0.959634834458018	0.711204451662426	0.311270215046218	0.922777764378997	0.799968073921693	0.724657305463482	0.908752384995202	0.933365126082328	0.880825616522007	0.934437564958402	0.647886026063563	0.271879186446939	0.763471862415423	0.91730973697565	0.974890906068189	-0.300714790072112	0.767650246571957	-0.285410241569225	-0.252560533574844	0.0496286445511602	-0.450319928456478	0.929917199686412	-0.27025498741118	-0.241736841211499	0.220045568063507	-0.767349078056954	0.894422850816277	-0.226531023442657	-0.370379595218616	0.679712792894623	-0.848314091554353	-0.785987937051763	-0.310876553127685	0.267271171935159	0.883144405802715	-0.515619866918521
CCR5	0.745960806302663	0.593068028098891	0.614904506535879	1	0.657604563649414	0.617157433402537	0.670270356705756	0.618741028939324	0.830539207091202	0.77719327081077	0.606697201538689	0.75668683520696	0.702350805941637	0.797853067644403	0.634836404951114	0.627282814482642	0.666469053838083	0.784822529805484	0.586263887036932	0.610578932755401	0.724660254851308	0.664879474998116	0.729338491558567	0.606269297057473	0.500134785840388	0.529617095267698	0.777495412688958	0.522757522090074	0.693346262907455	0.742475879804427	0.756247368632743	0.530634446308253	0.609902704336725	0.638074019010437	0.592991413390362	0.654721025193812	0.655012641888004	-0.46078826282831	0.80905036747296	0.196114733696314	0.167112713309365	-0.19800796718585	-0.213652472410177	0.640769774992247	-0.389834469863647	-0.248128238711233	0.5216505746959	-0.710324859276986	0.658305612567573	-0.148935417658426	-0.290686128680283	0.267738131521899	-0.729355167666356	-0.741738906460555	-0.119842030989932	-0.0727125670755945	0.587485530708972	-0.518354532875524
CD3G	0.97661968371932	0.940736241262348	0.954169783068044	0.657604563649414	1	0.985789526725506	0.991250904770877	0.887562054603675	0.864472482376298	0.933297386127328	0.794492501006438	0.950157893047394	0.919630493089558	0.921627743795603	0.927118058077817	0.902259097337998	0.96814187125803	0.929378523910844	0.840047049317215	0.8053421456952	0.949906910640998	0.987692623432544	0.938418872711239	0.868469774719814	0.473878740480512	0.919364153816313	0.909650109735996	0.773956805556726	0.886526938500469	0.904271059063695	0.842896687100292	0.837944446610588	0.747122459611655	0.249248500228521	0.899627475678287	0.987075615717862	0.987276602547655	-0.377146322907101	0.868128345080696	-0.215076255637226	-0.152344560484128	0.0280762659438732	-0.30339609484844	0.868827979491714	-0.206980592650642	-0.245893318489095	0.420845405107742	-0.743794568853787	0.872350082920671	-0.143032436507638	-0.219759683507882	0.613715704669334	-0.830192033482379	-0.78205339620573	-0.238742027523713	0.246914325068125	0.945043513837915	-0.531760399003844
CD8B	0.94976160616468	0.934637370120296	0.944922614572319	0.617157433402537	0.985789526725506	1	0.986532263409658	0.84730777269375	0.831324201485358	0.905221284772547	0.769525766384354	0.961995500986028	0.919339658925604	0.896708400046263	0.929555386643679	0.862704828069139	0.944977831210375	0.896772364440665	0.855354211937626	0.775206588562318	0.918033962992159	0.954346408134107	0.899699636134243	0.830921166378661	0.482372347900407	0.959451655102067	0.877544370417993	0.709001443016553	0.867713907787479	0.863943991912105	0.794284418722137	0.849265074382514	0.741879007365301	0.210273967824893	0.8522496552217	0.981920582764394	0.969043303030327	-0.321919763815506	0.828774864550013	-0.198210887781904	-0.184907575285912	0.072574562728645	-0.31275921655473	0.883904442270019	-0.213397024522027	-0.24194729144085	0.396525342636598	-0.721134243318879	0.868648020541583	-0.153359404134616	-0.211752233681633	0.602955338814954	-0.811329710171381	-0.758961740014945	-0.236975991261437	0.237103245083356	0.914019632449766	-0.525987577678038
CD8A	0.963002545158109	0.92495483425557	0.932236108772388	0.670270356705756	0.991250904770877	0.986532263409658	1	0.881590623605778	0.870871955726196	0.930097535481111	0.768787099502352	0.953436533484835	0.890091283077825	0.91216215904865	0.927943130384458	0.906663931469431	0.939357177830235	0.901851589686789	0.84618586330873	0.755292641545477	0.95317680103686	0.970406542227011	0.90701031090803	0.867068890012632	0.481214858774718	0.920200988095902	0.918924196052895	0.752080796912136	0.850787436004342	0.871940746583247	0.799805829108599	0.801694474486118	0.746331312107493	0.242550412189414	0.898097310149565	0.977246528940169	0.966348567698379	-0.375436805007489	0.869037032294093	-0.151498669144879	-0.122329153638074	0.0412436037209996	-0.242071783914398	0.843675484597137	-0.195126618101336	-0.235649206526605	0.455224065254586	-0.722163969823472	0.865432507310932	-0.124624846395139	-0.199078851661121	0.59021577087893	-0.807199763192983	-0.764134729226026	-0.210022425080065	0.243892727108003	0.933332973981136	-0.52197404962245
KLRD1	0.902011763268954	0.725910399756355	0.733016445885669	0.618741028939324	0.887562054603675	0.84730777269375	0.881590623605778	1	0.856320146880471	0.957004677009698	0.930547838678516	0.81057018984224	0.769751045065665	0.840277232950455	0.917080834255314	0.975393532224852	0.856148598972274	0.83255998804889	0.833948952602351	0.610316482579967	0.924047825457774	0.91901811664243	0.785453424076445	0.987208560497854	0.622882648551925	0.687596126641636	0.903860194516747	0.775032182256093	0.762666540042628	0.764979390216587	0.717921060229653	0.553254742422921	0.737520265691332	0.283872096876395	0.963047057770836	0.915893667930809	0.856566911630959	-0.469785477831813	0.882333162818882	-0.218198298889059	-0.0621565204020221	-0.112093716025777	-0.0964512281732337	0.613206933473875	-0.120212098463868	-0.254582550118568	0.660881117110246	-0.645528619385877	0.646359469195037	-0.00716345485635259	0.0534315714479437	0.421746327757014	-0.719415711819011	-0.692450955391703	-0.13054034236557	0.15847542968627	0.889840417004839	-0.505761337666636
F2R	0.915770629798163	0.808498902463325	0.791293778743876	0.830539207091202	0.864472482376298	0.831324201485358	0.870871955726196	0.856320146880471	1	0.932950037889513	0.775497449722152	0.876428256102135	0.810261347539184	0.887477711667972	0.838590795286922	0.868413254311037	0.847126350884358	0.901734847062029	0.798583695760426	0.723239982581147	0.937551113748258	0.877431996955295	0.876223942471974	0.879649902738458	0.614296504067171	0.684217314128799	0.945293799816824	0.775772738371389	0.752255225589485	0.876206024949607	0.801716130773497	0.605793639820735	0.636373854192608	0.529068289564333	0.83714751899865	0.858172555617935	0.858410823805672	-0.421888224565996	0.929931003965149	-0.111743235965082	0.0319148512740165	-0.14553185178394	-0.168379008873854	0.686941239747578	-0.237132770640876	-0.208121675238667	0.629370090369542	-0.727512773665908	0.728195213551088	-0.0805727991019556	-0.160607157516233	0.497978802920957	-0.817944932110602	-0.792978823306733	-0.100482675470115	0.160683886373176	0.869703203065762	-0.528032607702654
ITGA4	0.956011516311179	0.809742685519644	0.816918468679974	0.77719327081077	0.933297386127328	0.905221284772547	0.930097535481111	0.957004677009698	0.932950037889513	1	0.893847228967552	0.915727625601369	0.860157608436452	0.924986799819831	0.941327420577638	0.954662641605071	0.904059123931733	0.918082284255377	0.874288997539504	0.711360340064079	0.96041034639488	0.942912412457553	0.872882048079846	0.947171752585509	0.659286590640067	0.776486374408013	0.960335846268547	0.774540417612043	0.828568656568631	0.862373702807413	0.81968334736775	0.671970374821924	0.772914150863599	0.388336136510446	0.931104362487021	0.952894466932126	0.90972968151467	-0.470863531516699	0.95104391937278	-0.106049441357808	-0.00147391394171705	-0.0823844170636179	-0.18969565687888	0.747318479869155	-0.209224809453427	-0.251258977978513	0.628815498738541	-0.731103803956579	0.765617536206688	-0.0729878071372221	-0.0961891295389319	0.48038990805507	-0.809885417742343	-0.782661210227469	-0.157500110210809	0.132761080367743	0.909168779432396	-0.541999349292385
