""	CXCR4	CD3D	GPR171	PTGER2	RPSA	ITGB2	ITGA4	CLEC2D	CD2	NCL	SORL1	ITGB1	CD3G	CD8A	TIGIT	HMMR	CD69	PTPRC	CD247	PILRB	FGFR1	SELL	LAG3	ADCY7	CD96	DPP4	FAS	RXRA	CD47	CD44	ACTR2	S1PR4	HAVCR2	LRP10	TNFRSF14	ITGA1	CD63	IL2RG	CXCR3	CD74	IL2RA	JAML	KLRD1	KLRC1	PTPRZ1	CCR5	LRP8	RACK1	TSPAN5	CXCR6	NCR3	PLXNA3	DIP2A	TRADD	TGFBR2	SIRPG	CD46	DAG1	PTPRA	SPN	F2R	PTGER4	CADM1	JMJD6	APLP2	KLRK1	TNFRSF25	IFITM1	SLC16A1	TNFRSF1B	LDLR	AMFR	SMAP1	PLAUR	LRP1	CCR1	STX4	CD82	TSPAN14	LAMP1	ITGAL	CANX	CD81	LPP	TFRC	RAMP1	C1QBP	TNFRSF1A	CD4	CD68
CXCR4	1	0.96190594866089	0.929769968681759	0.788782900176163	0.71659920862639	0.252182687940882	0.827719115236426	0.836023311743954	0.932646319613219	0.294614854275015	-0.314312541804884	0.337291349746472	0.936624467002768	0.771224778168508	0.616813474619135	0.252287415493014	0.957162262763355	0.870445078769595	0.966843602993763	-0.0846119719230044	-0.358341569097138	0.58898143690907	0.531369155051909	0.415806112925327	0.872026393207221	0.414012648245494	0.645181101219503	-0.755788107525345	0.828247492608917	-0.25387853441236	0.584197980478965	0.758307257159714	-0.285183711348983	0.0214329731552635	0.22080233432423	0.201036212138724	-0.242058327438826	0.799125205534526	0.725479730521695	0.232000847622991	0.23071129783214	0.549407932210302	-0.208291988105685	-0.151409738537163	-0.506299778600361	0.406506974920872	0.633293701537759	0.564481596438947	0.264690492451249	0.646154954838712	0.57100842847497	0.397253879876195	0.283139618073665	0.905097006878221	-0.0864013980282976	0.843843472926301	-0.267837643157291	-0.379385271222132	-0.363889859370722	0.730167384186937	0.000201765503140506	0.421525902522561	-0.353992483249071	0.486229167446845	-0.675154261617872	-0.0737611012782456	0.917724427283875	0.430236588203428	0.00220410458637137	0.441296112165208	-0.525875849631634	-0.165623833771404	0.229715661310309	-0.595362801546717	-0.846730821513844	-0.420581992972101	-0.582792707620324	0.755226278726234	-0.40130580796485	-0.608742249593797	0.833990470746814	-0.511398498412176	-0.561258388395248	-0.134715414426892	-0.595705740958937	-0.478414247236055	0.358821090615011	-0.552267012423461	0.218642393972807	-0.49193283404639
CD3D	0.96190594866089	1	0.898923974014424	0.703705161243934	0.657059997915732	0.166353661293545	0.858055523697551	0.872050805951958	0.961501577264912	0.292901498146815	-0.380872121570601	0.307060371644904	0.973351034699057	0.799776310882762	0.723927145350688	0.349816330679827	0.888700635476661	0.87478107362074	0.951560176517217	-0.0304292514192053	-0.263488278139984	0.631482312006754	0.650823499351005	0.306844339050414	0.847327982397633	0.379875537522352	0.66945424399196	-0.761596491508596	0.824106787326366	-0.231855817579659	0.574499467075085	0.850455627115323	-0.387402532152393	-0.0347203977108626	0.316150060758843	0.179346407699703	-0.20481414060199	0.889176167361661	0.788014623657137	0.131614452155612	0.366472117956768	0.431444309760114	-0.128027278524527	-0.175185398736144	-0.427432810850465	0.48212716900982	0.703519525066128	0.497064792350219	0.369291012643048	0.780048802690396	0.575533089224004	0.538281138550188	0.350967142354997	0.911990510667177	-0.110006586619848	0.747020422985248	-0.28450946357325	-0.286423009033942	-0.3034728183948	0.770926514896772	0.0799451644074763	0.291816943074452	-0.316025557593257	0.478959954688893	-0.622382670160366	-0.0890509277493613	0.864177123451547	0.325403813782868	-0.0118540891970397	0.53115650210026	-0.469899057971326	-0.1226003330389	0.286965118873711	-0.628789578278192	-0.81746162183027	-0.449231947730462	-0.646920074151937	0.805824009848967	-0.476993683763837	-0.577474403059621	0.868123386934997	-0.459182476764848	-0.599094518352479	-0.126114836178845	-0.64250260275158	-0.409106050456897	0.316885960737774	-0.554861873202175	0.138913584827425	-0.523652885673736
GPR171	0.929769968681759	0.898923974014424	1	0.891971652929783	0.604987906510471	0.156183651631817	0.630385140584738	0.64984430459194	0.860453367710156	0.142173973595743	-0.389127301088045	0.173885940061401	0.847889632681412	0.581247132989842	0.39419000491925	0.0176864253805313	0.940559984623948	0.740515494239217	0.923179754486465	-0.132457379808929	-0.433153872527739	0.486924293298961	0.383726449067468	0.341277180615754	0.758955194251214	0.56131690242193	0.396836608140419	-0.751386083762677	0.664305901720919	-0.182696428874628	0.405169290098896	0.580805849975359	-0.396569846892394	-0.0723608577229664	0.260242993728531	0.223706621695592	-0.425860255214575	0.695705502918403	0.699992149888129	0.0808434914907219	0.0502549119190306	0.528581975089024	-0.132866107416884	-0.0975766663464739	-0.560348584083664	0.319786935011184	0.640758325296296	0.446665302721453	0.135632819433773	0.60609590488715	0.516705840590205	0.250039799959122	0.110135233484955	0.854379098102234	-0.151696177549662	0.820953006199835	-0.300603244578187	-0.496430354599895	-0.457764410372446	0.607252698069235	-0.133308913059711	0.291130933915118	-0.497255893196744	0.242282056818971	-0.804006407511916	-0.159426331163435	0.908472676148082	0.486778046277654	-0.0115966240766417	0.273402097557849	-0.564488179331781	-0.368605506255795	0.11549147450838	-0.57402682335522	-0.896515292813109	-0.466154528141181	-0.641084126438454	0.667058000946742	-0.490713992775813	-0.704322626951315	0.741990090103488	-0.60313474432957	-0.654902193783148	-0.170283766374612	-0.618122841592991	-0.610177630847365	0.210777353788264	-0.677858024868022	0.00802664914947751	-0.502245296436538
PTGER2	0.788782900176163	0.703705161243934	0.891971652929783	1	0.574722316845258	0.102941619433971	0.399696560084404	0.418218932660844	0.647279946156608	0.102396290804006	-0.434866646582321	0.167902443411981	0.631805274402792	0.368630651650581	0.100298370265702	-0.200356942522687	0.869593483261594	0.506219141818728	0.785124291200978	-0.269953829457611	-0.542449853190077	0.244530941285702	0.0695082166900014	0.346150141052089	0.589467956511655	0.766634337030318	0.238341096168945	-0.703566622769049	0.522981306661277	0.0620093918189198	0.253730642018887	0.284834797456954	-0.384886735585164	-0.0537372830710972	0.100443313902341	0.178632260393928	-0.443949822002264	0.387244778624016	0.411284627713737	0.0514585118525373	-0.227736325056529	0.606044766491578	-0.372002879380944	-0.0442301160602424	-0.64635896375434	0.0575218957054797	0.483835003370205	0.459170759884108	-0.0801114535093487	0.306285785271601	0.450383155526924	-0.0436032177303838	-0.150009229521415	0.7070365226855	-0.260036756528269	0.868141946107314	-0.368159755495991	-0.634309864309034	-0.564969011668938	0.377832568898714	-0.315614262026211	0.254350724453597	-0.58489539983047	0.105904969483581	-0.82159904756718	-0.327541568204121	0.814690907828496	0.488764816835917	-0.0518212867771234	0.00974162000727826	-0.514845882384179	-0.461525962527759	-0.00983479266408349	-0.379398368462723	-0.866935304435964	-0.367513954479709	-0.639249897899718	0.53040485776767	-0.480483371551071	-0.701770735025381	0.525071677385812	-0.450824224933981	-0.651492556808977	-0.262121643844684	-0.572066600870151	-0.698802436774307	0.222254236640822	-0.68389143662504	-0.075070169509958	-0.33804145510674
RPSA	0.71659920862639	0.657059997915732	0.604987906510471	0.574722316845258	1	0.362989033935323	0.751166995307624	0.638244687151036	0.547990062692699	0.815155770444408	-0.289742188012541	0.762866968025213	0.61482509814609	0.456924597069676	0.436060059085805	0.274129858182564	0.67098071749336	0.725634263151481	0.637186028491536	0.147643869646083	-0.0947383251264544	0.500206049643001	0.270995297478275	0.407546848224135	0.565738502760487	0.261646040863061	0.602962519132579	-0.45467739289366	0.904096481610899	-0.100848239550141	0.86485034090796	0.519245304104266	-0.0952350410473406	0.565108461872451	0.245412919073741	0.505403445654827	0.320173066568959	0.558185676125305	0.511738065859537	0.64003705239645	0.0710155103433966	0.892707893604712	-0.323155850251798	-0.0837880670184186	-0.327005386279144	0.1268809495182	0.614491734166667	0.97387359324512	0.442772790425799	0.308660892186008	0.667463296822949	0.311715952787697	0.319191471942193	0.827854675903233	0.0451920339261045	0.684602839464807	0.185968986605189	-0.173427083713532	-0.0597764018705611	0.76389006250659	0.219735241354291	0.672103519054852	0.084218672167291	0.652406077406943	-0.295549866805893	-0.207725037045949	0.560603180809171	0.632811526819392	0.507652452136531	0.287396987490749	-0.170204655407599	0.171680938660302	0.427474786284498	-0.40014385839992	-0.577667981586585	-0.228572036476863	-0.345549471952232	0.799965316289209	-0.226438594081491	-0.251295921204674	0.426257570110114	0.0416730647415798	-0.147169698212434	0.272963443093226	-0.445148270093806	-0.183358471702895	0.863927342020116	-0.0650878863890455	0.484732755922066	-0.249036870706482
ITGB2	0.252182687940882	0.166353661293545	0.156183651631817	0.102941619433971	0.362989033935323	1	0.190461390449194	0.0642246324107798	0.100326301466236	0.0774895224413244	0.613025282827422	0.335106579015146	0.097826130994143	0.152481794173814	0.0768643915150872	-0.199651024413111	0.280500349653096	0.542113635085159	0.157399038289767	-0.510795217984007	-0.569294877371247	0.0892861057158891	-0.0823022289070506	0.857796063743339	0.00651354934203529	-0.181796364476431	-0.0777742241716828	0.184313534290176	0.257199822234276	0.220107550478586	0.581991423518328	0.103669775955369	0.690764940046978	-0.0365348543981949	0.395776503173596	0.0731477821576907	-0.135606845978097	0.0697474110866131	0.449554192388487	0.784891369132591	-0.134429379770963	0.34617600982426	-0.291193817863813	-0.0759612028535233	-0.609846099934464	0.570220121448567	0.171541396445914	0.423041929880556	-0.395336124362822	-0.137917259588857	0.262313398187636	-0.0631166496269545	0.402512719520773	0.273896459798149	0.780218049362662	0.129073841952515	-0.084297655071121	-0.520726432631637	-0.472689362788761	0.173681780320934	-0.395906918901086	0.776576720508312	-0.303732102625583	0.646403517391862	-0.173800113916239	-0.0851554891012896	0.0464271868917744	0.0931247318940437	0.00614172793777734	0.472755921380226	-0.574120967874227	-0.040774029688283	-0.458081027462986	0.497572337506695	-0.187291776427467	0.652493644222204	0.362891801514012	0.241435518311723	0.671229917174462	0.0997279763587596	0.198545060165178	-0.289417216743448	0.4742351454479	-0.288346128741877	0.528450786802864	-0.366498400084798	0.133008401948587	-0.0319061246089291	0.878215421469158	0.598044365011449
ITGA4	0.827719115236426	0.858055523697551	0.630385140584738	0.399696560084404	0.751166995307624	0.190461390449194	1	0.945720420955099	0.828891801586293	0.556882064826291	-0.298310497971839	0.546986031120727	0.892208052920987	0.810382265593623	0.883285323292051	0.653868311368098	0.684582766986828	0.868901261436185	0.794067108081199	0.138907086497271	0.00681942223435743	0.676032713264252	0.767632465433196	0.254052160100536	0.830658036233308	0.121200110579935	0.869177256289967	-0.642104119619353	0.920281591505293	-0.320040096421526	0.746794113569485	0.906255850426144	-0.22714528032856	0.251530890061271	0.25003953024509	0.258084036462715	0.212427208412623	0.885192822009521	0.693821316661385	0.348270612322779	0.574237405808464	0.464909757281723	-0.13387860848238	-0.157932224920065	-0.210135099825955	0.409215278104409	0.577440662788784	0.652969491495631	0.620866973788257	0.747791457247174	0.616002696065481	0.602349314036299	0.564796834195485	0.834137253411551	-0.0260944484339053	0.584511040426536	-0.0807468708177771	0.00701142624484354	-0.0488295544633444	0.882600027821668	0.323868959908639	0.42856381388436	0.048660440923942	0.657127205850778	-0.283332392538439	0.0345879384830211	0.697329742993251	0.311651543025983	0.206094972593831	0.643431821115182	-0.248001579105761	0.201768311520066	0.508497874900325	-0.611866959122717	-0.607329717746002	-0.391423703204005	-0.439645012691568	0.809961248013802	-0.357036382741477	-0.343222857912378	0.739134987502703	-0.143944677986903	-0.355088088513413	0.108239935668214	-0.556867568166123	-0.0817536759601576	0.574012751264754	-0.238917695888481	0.379569299217736	-0.484459418133361
CLEC2D	0.836023311743954	0.872050805951958	0.64984430459194	0.418218932660844	0.638244687151036	0.0642246324107798	0.945720420955099	1	0.892140196780038	0.445839276703372	-0.332251025428329	0.35478157279133	0.929733645605267	0.845578331766007	0.8990288780177	0.697281376778744	0.723257157114126	0.79446731544451	0.826362314814263	0.173838722596407	0.0513050235195107	0.605560189349159	0.808072546873778	0.198505811591748	0.917142751722736	0.187938195888561	0.871020155200643	-0.687202857083479	0.877517340907012	-0.370457982511864	0.602710027620025	0.900395194567801	-0.339930828577793	0.152512936745282	0.0965105570793983	0.0714588859981987	0.120883427473857	0.858954876928206	0.616438397370394	0.159936296849361	0.591948998753271	0.331225028510459	-0.184439984556768	-0.128739221382064	-0.103591934077153	0.390835739097776	0.486177969225311	0.500620576801312	0.596140541777396	0.768008292912248	0.549877713786403	0.630161737867398	0.492886500583489	0.777739188005566	-0.168850529849175	0.641650595225391	-0.150287834031183	0.064455177940297	0.0106937819110246	0.773172713691966	0.34324654683419	0.267144443850448	0.0643209364958369	0.571319367657397	-0.275811137057924	0.0271895400112433	0.750928921458943	0.164353317202613	0.0951497752908949	0.524451717179464	-0.237701755847406	0.223662739926655	0.518314937251874	-0.69022531838599	-0.548631661361941	-0.445833434316355	-0.559945771403909	0.760795189843511	-0.453229490046149	-0.3334545453274	0.778033084040108	-0.200981001774866	-0.441259766722055	0.0182008993279633	-0.610984010011241	-0.0449378912760763	0.456432672430315	-0.281793249357764	0.226716772084958	-0.555766094682264
CD2	0.932646319613219	0.961501577264912	0.860453367710156	0.647279946156608	0.547990062692699	0.100326301466236	0.828891801586293	0.892140196780038	1	0.1850426955682	-0.359727710183403	0.227928685011703	0.97058075138417	0.804578352045184	0.76359197908368	0.403093949077609	0.8552044004207	0.799923077141159	0.911707095423515	-0.0172354942170917	-0.223943646126052	0.633194528637251	0.675431458601184	0.223920535888144	0.878791256641924	0.3903616169796	0.688097175400558	-0.795400561685602	0.76020305981689	-0.235486199665084	0.455009982607353	0.821757937702501	-0.425420405162896	-0.0552967568567233	0.258291612837721	0.0545949551720803	-0.191593338305045	0.871451554617676	0.726338499804084	-0.000127852605123693	0.469011240641807	0.291381533188203	-0.153380429832962	-0.231975018098331	-0.347517888668249	0.509746131977947	0.612919318096852	0.371171228682862	0.368868550771345	0.801202293865346	0.467316833333099	0.461900431896117	0.267338127175287	0.815158980066509	-0.0931629850423288	0.720773928385101	-0.292208207035332	-0.206680684382688	-0.265726447563139	0.7206306783731	0.0788487466373355	0.214304687337996	-0.288615037830964	0.379466623346584	-0.543443449177707	-0.0952076620453322	0.878590783323072	0.230052959399068	-0.101548538930065	0.508289742225037	-0.417760447719948	-0.0690058164432404	0.317915694801638	-0.641318483120392	-0.749302055958862	-0.43273944101248	-0.655520878945898	0.739820902075331	-0.45897731198782	-0.493034151693117	0.866472713964754	-0.470350527101931	-0.598907592566228	-0.154092774903847	-0.626024540782472	-0.30943471400618	0.244082405316542	-0.516291719122233	0.097156585591007	-0.527506787878336
NCL	0.294614854275015	0.292901498146815	0.142173973595743	0.102396290804006	0.815155770444408	0.0774895224413244	0.556882064826291	0.445839276703372	0.1850426955682	1	-0.305745764141237	0.795940899566617	0.27582047207719	0.226555161730036	0.342137266440596	0.413420661491758	0.204285273852329	0.375881945078749	0.234251070577678	0.511321746787094	0.404842314200779	0.37874494393395	0.183790517525924	0.0340807132553552	0.271630930603235	-0.072840994066641	0.581797480354714	-0.112083830507564	0.710729902138159	-0.199397646725643	0.768320957409633	0.36201512263768	-0.0848188346549982	0.796094647908252	0.0879560744102334	0.59156018463509	0.722892957782851	0.347982994750794	0.17479979508379	0.548575473565935	0.11165762680255	0.705120764511761	-0.113752671114389	0.0454374058045115	0.179956509140989	-0.140819332751848	0.433073827078819	0.843108522394796	0.682813940628505	0.116400042371361	0.515333323901971	0.411077859597944	0.317521480391318	0.514900975800736	-0.0623623887527274	0.277214624987903	0.543454799179138	0.308778548085146	0.454897004362113	0.603925526582317	0.625319201374513	0.45406823114216	0.569066433025026	0.539680269857152	0.180015640275132	-0.0477691528164633	0.134421218996469	0.526531811062505	0.736023206223609	0.0924631339596185	0.324965984039447	0.504431322089226	0.673607058325102	-0.390224211351909	-0.106036055969351	-0.264960020531098	-0.138531382917931	0.580664784235832	-0.187799082713	0.0980490660390973	0.10392592405413	0.471082957823092	0.0969270720870171	0.65612407906315	-0.358164478517468	0.28591518554398	0.939208427149614	0.401107654133253	0.350241911940508	-0.265027509915177
