""	LILRB2	LILRB1	CCR1	C5AR1	THBD	TNFRSF1A	CD163	TLR2	TREM1	KCNN4	KCNQ3	HAVCR2	ITGB2	IGF2R	ENG	APLP2	ITGB1	SMAP1	TLR4	CANX	PILRA	ITGB5	CD4	CD44	CXCR4	NECTIN2	LTBR	TNFRSF14	SIRPA	TFRC	PLXNB2	TMIGD3	PECAM1	TLR7	SDC2	TREM2	ADORA3	ITGA4	CD81	GPNMB	LPP	PTPRC	ITGAM	RXRA	CD68	ADGRE2	GPR84	ADCY7	CD47	FPR3	CD74	CD9	VSIR	SCARB1	TSPAN15	RACK1	TSPAN14	TRPM2	FPR1	ACKR3	CD36	TNFRSF21	TNFRSF1B	UNC5B	PLAUR	AXL	CD33	CD93	ITGA5	TRADD	ASGR1	SDC3	STAB1	HLA.DPB1	LRP1	TLR1	RHBDF2	ADGRE5	IL6R	CD180	PTGER4	C3AR1	ITGA6	NOTCH2	ABCA1	C5AR2	TNFRSF12A	ERAP1	EPHB2	NRP1	SORL1	ITGAX	JMJD6	AMFR	MRC2	CADM1	LAMP1	SLC1A5	ITGAV	CD63	C1QBP	MCFD2	PTPRA	CD46	NRP2	CD69	SIGIRR	SORT1	NCSTN	LRP10	CLEC2D	RPSA
LILRB2	1	0.833674769058705	0.613962127699899	0.531031460838085	0.648547342008443	0.853481581888741	0.745508072551197	0.836282419701859	0.328444992409611	0.640458954530353	0.653913191902999	0.756486007899802	0.743082931767443	0.363055502918237	0.800868509965659	0.758471896853764	0.7611277020557	0.72935776635018	0.708214118578417	0.766892479304559	0.480212506401339	0.505005724607467	0.717828826326519	0.653019589230916	0.64988589830331	0.798449913446173	0.792410898621684	0.515546369752913	0.810233351772036	0.727654215736895	0.679223745675373	0.515243115772034	0.635170235359881	0.838140342862024	0.246796172000275	0.794433759646216	0.719458388953765	0.763203026326051	0.800820600407386	0.107984158689734	0.744497858522869	0.785938733519019	0.707644320783792	0.599987543277896	0.57332901817192	0.770126188933305	0.807975161914608	0.823642146213009	0.803112988156099	0.778463571947401	0.770539719672037	0.67507838340434	0.797696370944205	0.724127497003754	0.805608399699326	0.74490964956747	0.71682294021728	0.798140795969089	0.826012706543324	0.348933530506032	0.374074638979927	0.669049701611619	0.681717249634477	0.711508781840069	0.704282915259375	0.660104821360613	0.803558623421295	0.728822713956304	0.532007813284292	0.801566518682605	0.66033458831617	0.492495451400643	0.637209743470924	0.706159714606899	0.643856075338494	0.768920158797234	0.730020248154681	0.678109173886453	0.617658740375067	0.551582332219066	0.721660774046897	0.838883380065389	0.739742336374992	0.559545439406488	0.0433448507802164	0.314216782287825	0.567558973766701	0.755244613949699	0.700336339234099	0.652179023538267	0.804122573445076	0.194974064987804	0.563842741375031	0.595239436835667	0.708464743234711	0.572496278566046	0.609230736733041	0.716718464375211	0.799559479993247	0.759301791545847	0.685590441559129	0.707726820033647	0.736424240579374	0.76460399055821	0.499834919471658	0.630546913478257	0.742303299693429	0.581011509127343	0.74186151727935	0.79826716614329	0.632630495646141	0.669940380752719
LILRB1	0.833674769058705	1	0.69427051289454	0.561689055578519	0.586532495848057	0.885933524810156	0.798337023087703	0.865949067202417	0.391529152124769	0.6082138047436	0.774540512676326	0.847585141983336	0.829246376205611	0.406763891168335	0.828088223844154	0.829553286599274	0.843057849749792	0.740452623606984	0.769113566589008	0.784692133603738	0.525207439238312	0.629000133800099	0.805516880456032	0.638770136112531	0.680601716149568	0.840440141660164	0.815775446044303	0.583040747016717	0.875894776246702	0.746663512474606	0.723198726262048	0.645901886639366	0.726123588286762	0.847186016461922	0.322226735520126	0.919553438896568	0.855918613473891	0.791736206384148	0.872626241052241	0.196991734962993	0.787346020882197	0.814600605380852	0.762547035950616	0.61596246305839	0.656462042911912	0.856629839427183	0.816617422096904	0.85964191273575	0.805455359446514	0.803502916223047	0.821440484504121	0.774546813214644	0.82460588811475	0.8029151359679	0.846675704215701	0.714866345222476	0.822502971960479	0.83132318447193	0.894741859390835	0.383889655562325	0.29779662260049	0.649541576538634	0.761112761277958	0.830988040071349	0.782291575380016	0.752033926869337	0.811187076917045	0.805257273822901	0.525612006906937	0.856920914328987	0.619516483225348	0.582616687828686	0.726144608533603	0.730038448954687	0.723407709917804	0.883383637524093	0.85726317038707	0.703104970154645	0.572328267818424	0.562908080324692	0.813718056871139	0.911165858838594	0.830969882558365	0.564071307920706	0.127285709505083	0.301311513104344	0.588343708188279	0.768253278478837	0.743686358321826	0.739736168905361	0.833620554478988	0.284844667841363	0.554418063797699	0.628190123892007	0.796777702464122	0.694989456086765	0.684227222128492	0.690208404704628	0.87500489993661	0.823322533147499	0.624944294390333	0.723484107434341	0.766226322667643	0.831423312525356	0.515520428112449	0.693575391328434	0.742624854537727	0.639885556415979	0.816975670684905	0.826821065626233	0.696246354517498	0.619947722701033
CCR1	0.613962127699899	0.69427051289454	1	0.51795020588266	0.684428498800846	0.792087749211274	0.824802016274368	0.732707673483279	0.740161461002844	0.627654843706525	0.616026889982153	0.7548662820028	0.7867922269582	0.747902966677663	0.810945316609791	0.901769306786476	0.859365185554737	0.799626602640573	0.745470148364344	0.847791207549751	0.367569998167013	0.793803014557611	0.836785083153062	0.785836355716057	0.480429228994606	0.763693309280418	0.81277889835653	0.731559544764144	0.815503442808274	0.612963941885098	0.815547306917692	0.73892331476726	0.423438021750187	0.553608800198284	0.628743085510806	0.712863212876626	0.62565840375553	0.647422492236533	0.843770577868015	0.629212964363234	0.787564618907217	0.679933813874635	0.810588147272325	0.771805864708202	0.764661363072128	0.632822008245786	0.628239759981556	0.715868688654598	0.743292899512483	0.785759638689931	0.408487451542141	0.665403857909477	0.53966357299259	0.758242362584455	0.790334342945573	0.691079503378822	0.757332120301447	0.690697000696759	0.573845796783294	0.621494472418356	0.687907625417229	0.7855012783432	0.728888727678544	0.562917663539753	0.859713892295012	0.343106125350804	0.76390442034485	0.708007814690936	0.787474651536301	0.745257512620009	0.638636966578107	0.553143291471771	0.686967927530467	0.29857661986401	0.796429331312241	0.603481157276666	0.65398687743527	0.729024026050313	0.72629143596307	0.706047927537712	0.50906218114588	0.715555243115195	0.606674586216731	0.689376504990982	0.563396676929868	0.553615203699624	0.727938348240396	0.687082767662658	0.746468342065855	0.825281673782802	0.592402485690075	0.606206661349275	0.665863543046998	0.769222498965033	0.619026589019867	0.507104074098423	0.854393902117449	0.615058423627375	0.667113906726641	0.885479315401163	0.583832735184956	0.831925571732594	0.705926183329902	0.750058042105273	0.818486357462589	0.446689973169067	0.707305766697094	0.558791143939689	0.786414876564783	0.69404032048442	0.599045262031266	0.623529889367074
C5AR1	0.531031460838085	0.561689055578519	0.51795020588266	1	0.136111325622959	0.486073794580414	0.650156165083687	0.612880365343916	0.240278430955771	0.012514392898756	0.612411880019944	0.444060554429265	0.434152572008988	0.55803077630461	0.420739528355431	0.610578707984194	0.605691087322419	0.547067867395059	0.792646324620426	0.412739031803229	0.875573321441289	0.603314543036242	0.549124930382627	0.431896470176839	0.425546532282394	0.385548377772919	0.551785828525054	0.773733204404747	0.550875866640226	0.744778694591988	0.442095335684058	0.677967125785297	0.777164757714511	0.523599394819961	0.648074646326516	0.597313479178697	0.671550100983955	0.216914977945261	0.573612516878264	0.59757455651084	0.60473657517218	0.387832637357022	0.474356101522551	0.280765899859181	0.826516202732854	0.655032648238824	0.341392663925093	0.440420184127077	0.310264622806233	0.649418454731685	0.674592669807101	0.706677991496728	0.430675501325748	0.551669827871118	0.421613735458222	0.295623318604237	0.70086945220827	0.443692653651035	0.497600130866621	0.289549305106053	0.197889068182562	0.503515194413647	0.735417871264659	0.597569216003526	0.550417535536041	0.578095509909432	0.384588591254405	0.40473329200578	0.22497545217722	0.538688092586845	0.0931435597645144	0.691949211603456	0.542400386484774	0.657549905442899	0.756968071970452	0.602272076810577	0.667804488114521	0.407969177387678	0.272921625570956	0.147591405802098	0.519391901789384	0.58131721153856	0.421516029707022	0.574860078592966	0.605697996041768	0.39796070446379	0.142793466013629	0.381546301916698	0.556388055252545	0.563626535300678	0.416793918832385	0.655227199918012	0.308639090827661	0.568984327752738	0.416565098846474	0.774823255452378	0.70281094027981	0.124196690382068	0.669038114937904	0.510703704243725	0.0480525792904749	0.428570505734359	0.349756497165884	0.597955058522166	0.636107722745745	0.166347257957875	0.411548083549446	0.321118121688442	0.45306341756207	0.581417966233861	0.58730130050818	0.110428631073443
THBD	0.648547342008443	0.586532495848057	0.684428498800846	0.136111325622959	1	0.785244045483668	0.591131407906578	0.673447506623515	0.690840765555901	0.871537879129283	0.42879674867215	0.718756572705269	0.775555508227792	0.476910770478048	0.811564538872006	0.721097568552729	0.702711559436113	0.744521424563371	0.500414579334373	0.855199958062012	-0.0387892068827875	0.456003477906542	0.694525627502497	0.819498962295923	0.52485707727287	0.792795400905815	0.734152155952622	0.414852921602962	0.730426197167275	0.486665844786967	0.77022814029472	0.317051215900304	0.166120153415307	0.566828227546299	0.224059756979482	0.550242052750573	0.337410810321113	0.820165461891181	0.712629941702238	0.20871094288539	0.687302409778961	0.7646075105913	0.765915109350507	0.848407442527822	0.343543448358592	0.492027881337604	0.743916862359773	0.711360682424846	0.852425820767962	0.62493999186089	0.293992566967194	0.460808784611946	0.620688005397799	0.617464967720841	0.786188190213294	0.878039052283086	0.545400097954926	0.687188371284375	0.539879743777115	0.627536162481433	0.722170477265432	0.72274936338701	0.510069265964865	0.365983347581527	0.740018293415696	0.230507041991658	0.84238405331836	0.687966630900119	0.837268279724449	0.691742956430976	0.884483786471066	0.147462284225453	0.470543433264253	0.202359285951012	0.495236037405083	0.452039076167313	0.459025357398819	0.75968572359994	0.824512128134292	0.808976846356293	0.482080960700971	0.617349198716781	0.568814898800894	0.595693349946294	0.125647138934337	0.514371139850454	0.816171216549857	0.6933971903725	0.627701242754166	0.600212629705723	0.707021970640028	0.210167690751161	0.70653662741055	0.624959987448752	0.572841053162355	0.207300919238961	0.519102736520638	0.835300814245475	0.527585359975183	0.758165898088288	0.873316173331804	0.834275080262652	0.765998676915657	0.637968815161714	0.587623971106874	0.642395471191675	0.77783057605706	0.610134362306837	0.722782460340206	0.662690831398658	0.494276205111093	0.897099612823174
TNFRSF1A	0.853481581888741	0.885933524810156	0.792087749211274	0.486073794580414	0.785244045483668	1	0.797087133403483	0.887621604435866	0.57258984483795	0.781670824023742	0.723054561738448	0.89930214042105	0.913008451736996	0.520746878643878	0.907572410325064	0.900830626905435	0.904318454368657	0.864919838744515	0.766722652627311	0.932660791568608	0.378299832192565	0.624742037101778	0.854953147010097	0.826635593275853	0.721958007929916	0.926389855226547	0.901829919726171	0.632045125479823	0.914764796646727	0.729200879124711	0.845268433294813	0.596139049645573	0.587150020257209	0.825651475374308	0.352786760938238	0.863324599660803	0.732912411230636	0.889888911148296	0.905980650150152	0.270866094270692	0.864338201296814	0.910084947160698	0.8581817719683	0.78840933015641	0.621090801485416	0.811483984829259	0.871816953153037	0.899045898561229	0.937590880901946	0.808518188021759	0.703870961582211	0.761588275787512	0.849424375545999	0.840513515531836	0.914503823423335	0.887438688595076	0.805289495654379	0.855620217012044	0.848446620256203	0.544452140902532	0.525529268805092	0.755047042387504	0.782546777257003	0.727743663021199	0.869525734735939	0.62657881068442	0.92188092978907	0.82438192635707	0.723912139781436	0.891509721431813	0.795326965521754	0.456567272612796	0.686016805608414	0.602657648484303	0.729077088751294	0.807475266691235	0.799954734125754	0.825110121361211	0.76462754377167	0.76089317514554	0.768175954647659	0.908337744778701	0.819752222464989	0.701431132303771	0.199631627206187	0.467516728810673	0.761767544534199	0.831989845776694	0.775002829172887	0.7630601061543	0.89021296492679	0.309223220182279	0.727872192462446	0.747291945100031	0.797448275213044	0.610955684501629	0.712317104469783	0.843382844430006	0.856595055172396	0.910356256579785	0.806822741410833	0.885766936391131	0.884178362175796	0.875253315186644	0.662558138304246	0.75306307510272	0.878459008592846	0.748267187800764	0.885024544008944	0.878735463366291	0.741572123756205	0.822772587497039
CD163	0.745508072551197	0.798337023087703	0.824802016274368	0.650156165083687	0.591131407906578	0.797087133403483	1	0.833811397522308	0.532491406756777	0.501386395768552	0.70280428165936	0.721409738187486	0.718572692431625	0.664255068714161	0.875199899611368	0.916286620596335	0.87137743626705	0.702630260234826	0.832134534883017	0.761844527777703	0.53315901807836	0.883563583686813	0.895245817858442	0.612870570585172	0.399076423793919	0.730229146319078	0.813917447339559	0.656437673802448	0.874048505398855	0.705566337001178	0.775215578250365	0.848571542273258	0.657697988903807	0.734379637833156	0.530818787057372	0.832949997941246	0.821269282031636	0.601712946817866	0.931365745118984	0.467557616311245	0.814607002388765	0.616022156961292	0.776213210492842	0.648718295689258	0.802535822576726	0.791110663058465	0.633231745544474	0.770906485867537	0.703178429403794	0.922077861971034	0.593195670798965	0.703975904543154	0.536787613793752	0.782770810802397	0.840813024345646	0.565887295034483	0.833193016646595	0.803549450847225	0.674030476714754	0.551251402290156	0.572792058757831	0.789617734126001	0.709230601512814	0.755860399136174	0.798160199114548	0.462809483104195	0.71709879498235	0.825137230063442	0.614710386595158	0.740539487324423	0.525390883330595	0.805938013555995	0.902463631196099	0.488863449182421	0.918417964346676	0.69485093572515	0.772883091778662	0.662719392192748	0.544358202283292	0.487590730230609	0.562559259097206	0.779676713893201	0.694574494888391	0.586809634950441	0.410026935441211	0.466921328100616	0.604877072115563	0.757830366674779	0.838673577188724	0.930685176318215	0.617873879889897	0.514649251687836	0.501570147299948	0.687492112792415	0.720812507112386	0.64638496622515	0.855010414509296	0.521550135016881	0.801476188600282	0.855255968128545	0.46793718282578	0.748573651481207	0.661934413466041	0.747056863254553	0.725233847415819	0.359128647510139	0.601706679514887	0.489534826417281	0.781043347997852	0.68512133927687	0.608790324571799	0.46475840426771
TLR2	0.836282419701859	0.865949067202417	0.732707673483279	0.612880365343916	0.673447506623515	0.887621604435866	0.833811397522308	1	0.537891514774805	0.641197026142236	0.792956639470529	0.842649312600759	0.851277577392531	0.530193467407511	0.881369940490437	0.870732825899472	0.899722503070137	0.786150725953095	0.799277610617168	0.819433966167211	0.487294743591188	0.690632619622041	0.860990411786617	0.737029861180285	0.669414276111313	0.850906913769014	0.845379950131203	0.642307450158361	0.902720321486904	0.793484426328362	0.797806929353609	0.652845689368433	0.718997066941987	0.829193898871045	0.407998660297548	0.888174997645399	0.794616014603085	0.798595674226402	0.910130776766443	0.307775747423642	0.866416718586927	0.820361804629037	0.840088912859989	0.728031557467021	0.659655137764402	0.877967304034203	0.809235692745968	0.854652122445215	0.810151983463388	0.851945216273118	0.736484187037713	0.819973675895732	0.779180636484944	0.83134722204063	0.875168575971328	0.763515702719221	0.850746584402637	0.842767513607882	0.827586398254026	0.554367494216803	0.415787329651133	0.757194879258508	0.792146681656164	0.793631615178549	0.850489346830957	0.660734222505671	0.820682799149046	0.846019785529767	0.619184610695308	0.840674391912162	0.664603061600815	0.571105359577158	0.755474615516257	0.644348681073794	0.797175815045152	0.798331624462408	0.860304741176507	0.776312501690417	0.623631944401489	0.603711088955457	0.784201083252533	0.891069313548908	0.811370719544959	0.648235726242699	0.245095213361564	0.515936569115035	0.660459832081728	0.800116023234284	0.781801351780231	0.800805888593987	0.833226655427153	0.381348282280892	0.648158817765413	0.732789624341851	0.812451832045391	0.727579642784301	0.69433609916196	0.691876655686365	0.865609197685239	0.84341636129826	0.638490554183703	0.776550323008386	0.815396466935674	0.842393904724453	0.636520350240135	0.659510040144263	0.791621862910724	0.667834014039112	0.821982082959485	0.851445948206775	0.746324954314258	0.661308545421846
TREM1	0.328444992409611	0.391529152124769	0.740161461002844	0.240278430955771	0.690840765555901	0.57258984483795	0.532491406756777	0.537891514774805	1	0.65105162312535	0.429039451548019	0.650052958561059	0.743044372246246	0.623019014188155	0.626849361420909	0.68948602782288	0.689255789656274	0.696657311469853	0.454037402964646	0.700963890744722	0.0380941359821034	0.592100443913755	0.649091057605979	0.767966381066446	0.459186215817965	0.654605758566963	0.580070161742953	0.57757834523284	0.608358518629455	0.39901016167864	0.691416421870415	0.482017942866699	0.113550336844915	0.27408915528471	0.640427671008729	0.492270040984641	0.275662936367258	0.586286483295949	0.623337218491705	0.667480758861157	0.592823594286302	0.581989397014832	0.742240064961003	0.805525042252861	0.524176368751733	0.405378302467941	0.507450259409107	0.486013739982364	0.612132904096906	0.525010420649637	0.100639205419657	0.580303830060323	0.398707690972702	0.528916329623146	0.618920372704365	0.653262876570022	0.532027401078423	0.465115950608893	0.359872242206761	0.765329927617354	0.701936813738171	0.692835340849318	0.525463563344552	0.270500261349894	0.814961886654528	0.123973815554254	0.641164530636634	0.508620901861035	0.777494735500509	0.579089800335196	0.663733682715418	0.163806383816058	0.367489829349192	0.0026742301547975	0.546962109536809	0.333027107662092	0.42762050719343	0.624561440899518	0.63184761020618	0.741653844823606	0.359904473679273	0.493365802877621	0.356956235268157	0.569632883140421	0.529305262925792	0.687105077899676	0.783451346868309	0.500744899969083	0.493541425190858	0.605489526654058	0.432767930431941	0.564893567995462	0.705440280012852	0.665427783320343	0.428570228812622	0.287417472122878	0.617093740796785	0.544808563371729	0.338670647538777	0.751980668001876	0.542395738111388	0.722623967765806	0.577040541640749	0.527838484917745	0.689922231111504	0.415078473448301	0.625052525033344	0.525008831436384	0.603884518449087	0.550706338672983	0.392609643829597	0.630194907481661
KCNN4	0.640458954530353	0.6082138047436	0.627654843706525	0.012514392898756	0.871537879129283	0.781670824023742	0.501386395768552	0.641197026142236	0.65105162312535	1	0.423117153616125	0.752657674785401	0.807919315515193	0.346009335103239	0.785768485101282	0.669596455595282	0.670849502274545	0.690488159667695	0.391414995520778	0.848777759873509	-0.094458121246838	0.350164829183418	0.620486499881138	0.767555657002875	0.581567993046967	0.819065744207877	0.691121678736778	0.30898548093981	0.7095318883599	0.420505013342176	0.727277232496581	0.235856281025861	0.130338100641049	0.549677851306715	0.144506920655246	0.578057799043332	0.315776875801536	0.869261228887513	0.671158625029815	0.093085783337167	0.624689270808346	0.800259669385239	0.738923104112353	0.802324038926021	0.249428634022435	0.48585442173752	0.802070918917378	0.723273436311058	0.885516431573713	0.52679354853586	0.317279774937631	0.470282368334485	0.673681182413379	0.61739351956074	0.768267447837256	0.870131064354134	0.482669770754796	0.684723035628327	0.599837574002683	0.508105197335862	0.569586813242143	0.641919409243507	0.460255876841343	0.369416767632794	0.726290923793855	0.28220744695211	0.828034925094116	0.630899676891659	0.756123831651451	0.682318989702606	0.893500196976689	0.0524253714929952	0.389927562402439	0.213976687768431	0.375440559561895	0.488804822745244	0.457856120451857	0.719098139967647	0.785623486559601	0.856018351154548	0.497523411703628	0.65736341822038	0.58246310070755	0.501535715845541	-0.0045921673014014	0.390258755173237	0.861638989460622	0.693097728043548	0.544896229467038	0.531703810908899	0.727500152776702	0.0922686848870872	0.709062927237935	0.577729142060781	0.591835879884897	0.163876730068887	0.435056575782711	0.921130412933354	0.500503329669267	0.746075139525427	0.946180163990551	0.79794895542608	0.779329678426349	0.645488658589227	0.43940402983541	0.715459978875935	0.791315814404861	0.621195227288433	0.71485470748247	0.659836389479653	0.462715195616837	0.917920323278362
