""	EGFR	NRCAM	C1QBP	THY1	KLRC2	ITGB8	ITGAV	GPR37L1	CD44	LRP6	EDNRB	IGF1R	F2R	LRP1	LRP4	AR	S1PR1	CADM1	NOTCH2	TSPAN5	SMAD3	NOTCH1	LRP5	PTPRK	CD47	LRP8	SDC2	SDC3	ERBB4	ITGB1	ADGRV1	PLXNB1	CD9	TGFBR3	IL1RAPL1	CANX	TSPAN12	CD81	CD46	KCNJ10	FZD3	RACK1	KCND2	ADCY8	CD99L2	TSHR	CD82	LIFR	ATP5F1B	ANTXR1	IGF2R	SMAP1	TNFRSF21	CACNA1C	INSR	TYRO3	PTPRS	GPC1	ADCYAP1R1	SORL1	TFRC	CELSR2	MCFD2	VANGL2	PILRB	APLP2	SORT1	FGFR2	RAMP2	PRTG	ASGR1	ITGA6	LINGO1	TSPAN15	FGFR1	RXRA	SLC16A1	CD63	RYK	S1PR2	NRP2	NCSTN	PDGFRA	PTPRA	TNFRSF10B	SLC16A7	CHL1	AMFR	ABCA1	LPP	SCARB1	DCC	APLP1	TSPAN14	LAMP1	STX4	PLXNB2	TLR4	SEMA4C	SIRPA	RPSA	PLXDC2	MERTK	LRP10	HLA.DPB1	CD74
EGFR	1	0.980776611001229	0.841624624785048	0.898267876659341	0.886113032953257	0.562198250648961	0.490028917306321	0.757798386105018	-0.0818673282914223	0.863653367440801	-0.125113789077628	0.941419182341185	0.637512688580978	0.913252836224643	0.860152425445087	0.793200338477686	-0.0898555045206026	0.716189296828084	0.907786353329226	0.65366683443518	0.961954681072445	0.905627995175511	0.897918250850517	0.950354717434515	0.62559862755184	0.932496554720491	-0.108657736700474	0.317526293929678	0.839261130189071	0.953181089183123	-0.124850427243262	0.771903771008741	0.0198888375966335	-0.0468414447628433	0.844931264644132	0.785466124717	0.918442101192882	0.641042860782032	0.882122088345833	0.777196799832056	0.626765787418963	0.846084438979132	0.913037419358093	-0.173894137252316	0.796565572450293	0.871522634283356	0.932443301593629	0.0779726968221774	0.825053772344447	0.859583864814882	0.916794126021486	0.780373351975334	0.909818449571531	0.910014679891045	0.900650123415294	0.924179267845987	0.94678167174964	0.748078653582275	-0.0140224308042745	0.0409525243173802	0.730287650701393	0.66911649838062	0.713915140249524	0.829983148745271	0.779858501737808	0.766486363996443	0.611187511056733	0.518902012908122	0.830634603817221	0.90403013674024	0.870103632355198	0.0464620154385574	0.914624382187384	0.901860871212077	0.356041281957495	0.454846501653125	0.935247751938951	0.38639256997313	0.940228823252664	0.90876292104228	0.083381973900447	0.746137408831629	0.929259244911987	0.635005091294305	0.898053152051599	0.865932698142226	-0.102843444124955	0.645253272219744	0.216143797205883	0.393658604487441	0.778273523419323	0.917484416389549	0.784202356173534	0.886733374911072	0.78934006586637	0.816001656683783	0.739224778396475	-0.0610640932700323	0.869200712233085	0.0867748138450925	0.859309973240862	0.111543934812234	0.12145397438994	0.228204747906693	0.349340111891106	0.360346280350851
NRCAM	0.980776611001229	1	0.875639555230168	0.897538499948189	0.896327138279176	0.597532438243701	0.54686797096528	0.798857274115153	-0.0126458264863863	0.89696157079961	-0.0624877780181286	0.969793959552139	0.689949828780605	0.936771716854631	0.877468322905151	0.827276416816393	-0.031707138924663	0.752992404720438	0.927825450440101	0.696102484646863	0.958938992861517	0.931435047616695	0.919402405203565	0.947838249778513	0.662026850940721	0.934435512292305	-0.0470301387780169	0.373399523312379	0.8734323032697	0.967663160907889	-0.0661341316174952	0.80263954483849	0.0747286892889888	0.00960210613579881	0.841902897619227	0.830848925039055	0.914905566083334	0.679538731904052	0.885152537032298	0.811123317550864	0.679089370326065	0.857251942978925	0.920836714916929	-0.109105196204561	0.83869950495544	0.880398397972178	0.928667878304355	0.139860639825828	0.850097694373214	0.902969429433876	0.942418315364687	0.823543540695552	0.931023528498927	0.916587335094708	0.926483682427551	0.90716738597754	0.949193739825695	0.785753394068219	0.0499668155178414	0.103316015659226	0.767540140036396	0.695726895635524	0.77004170154541	0.850782540022437	0.796239285798611	0.811078842545309	0.637920105832634	0.538009399690381	0.839271834659875	0.925418332080108	0.876706658598749	0.105608482018579	0.915961815011078	0.912743628563883	0.389253175955234	0.495087477443053	0.962011724057919	0.4494765517405	0.962506902299957	0.91993935225107	0.136301518462204	0.780149964714208	0.897564443163232	0.685734058150949	0.90316261521076	0.890589874884669	-0.032799224021257	0.696791366168828	0.272873268532209	0.444060711097809	0.811879157173032	0.911204361855833	0.797098922811995	0.909971795619371	0.825131600748078	0.846950399835946	0.774876467535528	-0.00497989078331084	0.87590245062313	0.13983577337978	0.876697585179263	0.164343497693043	0.138809027942366	0.293998141422376	0.357959037678188	0.369778518741117
C1QBP	0.841624624785048	0.875639555230168	1	0.934694193446605	0.877589875356861	0.416998129005684	0.520708171011918	0.873776489291126	0.0497427775993097	0.748729925807441	0.0157187832944446	0.845536847775475	0.658664128791927	0.895221228344588	0.80096989096052	0.797886607514031	0.00688011189234376	0.737607168130397	0.865168081774457	0.686727468514533	0.884071236229124	0.917498651364214	0.885839952785587	0.796638877379464	0.611456204113009	0.808566561703981	0.0447869485434359	0.430303402678809	0.769260245092722	0.896235145730178	-0.0135120508516648	0.86941568363554	0.227237022596407	-0.0154747837339233	0.613690975704497	0.80528310284785	0.812112086766822	0.847029635007614	0.655959296635727	0.720367909647492	0.5836222778922	0.975410119030821	0.787592060800965	-0.0722884361199069	0.852940895262035	0.858207087789863	0.896601870627541	0.13661132233381	0.989320836022158	0.863393780594154	0.863187516003037	0.852067594507222	0.954252773436019	0.802626059826841	0.864033984049576	0.786813551115288	0.785371491572521	0.884404726488186	0.16455513731591	0.141945538717601	0.646730282362047	0.661700439430038	0.766423458129219	0.665283914496788	0.75878647912407	0.741363229221746	0.544342096662574	0.443112709649363	0.906718977532059	0.835364111916156	0.911343541189287	0.131930626462326	0.917582376936649	0.935908337725707	0.233567288515	0.482686796354934	0.913424178644806	0.617863320467669	0.876843787132903	0.858017990514575	0.137458177867106	0.859533248224514	0.672947162105236	0.676926846223275	0.925438486707204	0.754911886568082	0.0602510786853533	0.693323169433763	0.209453310503533	0.386457811847408	0.910028358835036	0.842021931998455	0.785218084521292	0.87765926476526	0.814403400341405	0.903540550197772	0.829622019710464	0.0988244967113021	0.847707312462574	0.230800448363083	0.989283598179731	0.174380229530906	0.00640688165912861	0.354948945783137	0.498953098549134	0.494336860714972
THY1	0.898267876659341	0.897538499948189	0.934694193446605	1	0.940313806714457	0.321969322661705	0.324807347369335	0.743378062890185	-0.204778233009138	0.694130385221816	-0.254462766423231	0.830512088337019	0.503712820362395	0.851502062136704	0.729271976290138	0.708473461236612	-0.237012895184181	0.59267375221189	0.812030860686211	0.523157901528373	0.912480946533583	0.861587218794079	0.881035667523691	0.847390329672629	0.458060742482909	0.845890064055149	-0.224001171876986	0.201173330115021	0.687523899365185	0.882738312516087	-0.257965941984224	0.745723626546752	-0.0450974613123125	-0.228405459472785	0.632509873710542	0.673824607323106	0.831813174207644	0.671670023825282	0.716094109458486	0.615142121054552	0.457011344471339	0.964799374661255	0.785066380879187	-0.304591383061628	0.744316852615539	0.885373771784194	0.904976583654803	-0.094139153730277	0.922713570845182	0.774361540106976	0.827509211784334	0.721472598784651	0.905933825959754	0.862994917217676	0.81828919626479	0.819440961994653	0.844555303714622	0.766388158463377	-0.102799327186047	-0.105657264024315	0.586177240770036	0.518900392152831	0.610838803324693	0.623433145599906	0.672055897374511	0.62208330139167	0.41495499255558	0.312334113877825	0.858876659827059	0.784971903791037	0.933466435307528	-0.112982489885991	0.94521475314867	0.95094308376571	0.10781453029491	0.2919687103279	0.877462992140065	0.371070467271721	0.86036807208046	0.895872850409526	-0.0843867509861076	0.731238092210281	0.784204424117949	0.501671959922949	0.932909493170392	0.710027749067094	-0.20778336461056	0.534371124509784	0.0175837309133292	0.194472877557184	0.802648814572369	0.880614221280439	0.700050958186233	0.822586377273794	0.691240445903549	0.798364834872968	0.707178829804336	-0.163813557392305	0.823258183767322	-0.0288380298007669	0.958509294135912	-0.0289555821383404	-0.0890753903741492	0.101607144586214	0.405443980833559	0.402037405012405
KLRC2	0.886113032953257	0.896327138279176	0.877589875356861	0.940313806714457	1	0.295085034199119	0.289056445365434	0.699243196132343	-0.25873529951089	0.669691314256892	-0.300044724644235	0.818608777453055	0.453891160187712	0.813890971555564	0.668911887018124	0.614297933415264	-0.293654588170772	0.528804812829049	0.751940554484441	0.485701832627209	0.886463452219028	0.824791473494751	0.861293590412788	0.832434052568323	0.409578747962409	0.848483899234656	-0.273934216671861	0.157406481742776	0.663472849903666	0.836758089950677	-0.309961499477149	0.661885106464009	-0.0948532946954645	-0.279124987365332	0.639769843113277	0.624458899841748	0.854256949960395	0.577607732339112	0.743498669178792	0.573200901844799	0.421017559706323	0.895938375277875	0.805500213138818	-0.365772877530088	0.685317986739725	0.863880263382209	0.87537864135821	-0.141597900105854	0.842699163454558	0.75189762469859	0.785117437175776	0.668450789625147	0.855416448845546	0.857199897998388	0.791049473240694	0.802243427699023	0.885307130032062	0.669678092717354	-0.138347085187549	-0.165241140236159	0.562060019560469	0.464939480989406	0.557696073702974	0.621525550209858	0.575719425601104	0.576449662216157	0.360290136376987	0.248147856065474	0.806806357174938	0.767525339331556	0.886150758207977	-0.162619988386184	0.940756646929324	0.903055659109229	0.0886037901909559	0.233460098173026	0.859657268636368	0.293446314392924	0.833040582902234	0.892337898374941	-0.147015819894613	0.663814112637599	0.829863662114618	0.451452543764037	0.881374536821603	0.713194299997135	-0.228241977403416	0.476017577227183	-0.0347077279184513	0.144656348080405	0.719179418635711	0.84422748253868	0.635661102063903	0.770620340859473	0.634013258013238	0.721514756722398	0.63581647429439	-0.211360915367139	0.777350255046988	-0.0750884849125746	0.890530279192807	-0.0820659921901824	-0.138015985467034	0.0425917187296574	0.330095978940241	0.329158188114462
ITGB8	0.562198250648961	0.597532438243701	0.416998129005684	0.321969322661705	0.295085034199119	1	0.868577159409644	0.631637911689254	0.622667613463738	0.847580215853222	0.554716902670561	0.706947502134026	0.892672423703331	0.693114291089914	0.790879448943718	0.783362036163771	0.614681761924564	0.831809254730967	0.74057960332272	0.83329870632327	0.546000707821449	0.650544429680035	0.575879464887464	0.642909574985609	0.839925473282642	0.516718483409733	0.534393045119164	0.697537799333505	0.82398415137825	0.651574495422636	0.499824687984951	0.687064930902031	0.448779365610564	0.726552028215506	0.742540295168159	0.828701605209875	0.533196625664496	0.584430589350798	0.638478282239682	0.836078749544944	0.937285370397924	0.316014659904247	0.667493990938239	0.607906922384731	0.730598507163364	0.398465710599451	0.523211523969578	0.756928627076809	0.439212816071289	0.745161004143258	0.700314425496198	0.738655946382766	0.555006205314775	0.511613654812903	0.719257944530278	0.630015368899148	0.534153469569284	0.653554881431524	0.505746660856333	0.721456092170937	0.713158803831043	0.827568059079507	0.83139123842857	0.829894276278129	0.754819694194132	0.866144822783475	0.894881281279712	0.855908185086157	0.45118493040101	0.714472522921628	0.380997707439877	0.654838325227776	0.407197752254376	0.413898753063094	0.819204898816952	0.83763434706448	0.608138443833319	0.613928613744395	0.658182590872284	0.424409698417816	0.723502831599246	0.659456179652444	0.480898847184146	0.859246433062958	0.413373745314832	0.734266647822598	0.447769081292784	0.812938303843881	0.873490321755075	0.857713577412991	0.541924167914559	0.473600087429453	0.742101280971913	0.697189106389521	0.788858518005841	0.66935456928671	0.707680868563232	0.455658180963574	0.585112542278333	0.572883566621373	0.382349099352638	0.680116544147916	0.670761945187422	0.712798531751147	0.275798205924842	0.299880730623754
ITGAV	0.490028917306321	0.54686797096528	0.520708171011918	0.324807347369335	0.289056445365434	0.868577159409644	1	0.80445980347113	0.785721285051964	0.784346625233955	0.765523071094062	0.649691378975995	0.912297772332455	0.728541515092621	0.785925962662126	0.744470826284292	0.755086777621437	0.895891455609118	0.726205760610957	0.942938376023696	0.52736339881725	0.706316195288548	0.547418233285943	0.539570611879373	0.934638351141354	0.489465762973549	0.749538305596749	0.920061415176282	0.8458249652252	0.619090704410618	0.70544087825459	0.795885710607128	0.766126749838615	0.760258280676163	0.61929207340074	0.894284620832385	0.523205945206112	0.801795884149662	0.464191124177327	0.888529226391546	0.920594189482915	0.383595123927623	0.675193989971908	0.697950284184197	0.802207781290045	0.3801208365522	0.54845853016863	0.862760731355873	0.553229944002346	0.792138127571861	0.68222116120104	0.856798787008366	0.625819464037157	0.450416458839575	0.703693140306598	0.567240247341812	0.439030770468372	0.752869410541531	0.788659590342905	0.863353688223882	0.647157795792523	0.925741080270356	0.902394509349684	0.730233070744918	0.771673284657318	0.905036081456201	0.908456089410562	0.870932880507528	0.561465362833796	0.712806030693753	0.384817563709949	0.835818497427253	0.433877786506348	0.425801748719884	0.835514652839474	0.934873097220033	0.623134350277597	0.883652939034858	0.602361449523503	0.40693423136176	0.809765497828229	0.778286522668228	0.37142382633146	0.958848205052808	0.413433626158923	0.711675721360943	0.710287520592646	0.914119234521683	0.891360619162056	0.938111738081653	0.704215143841337	0.440181516440831	0.790251197915198	0.701326195662222	0.860418293758324	0.752767276710433	0.761001579699657	0.733065862357878	0.580199361225683	0.831588988505542	0.468090139287169	0.740675726392788	0.543590588709616	0.910033173022379	0.359991443360485	0.371949584060927
GPR37L1	0.757798386105018	0.798857274115153	0.873776489291126	0.743378062890185	0.699243196132343	0.631637911689254	0.80445980347113	1	0.415168146144688	0.811435053465587	0.404580184257074	0.822840105436877	0.831907196585434	0.923003684577806	0.870222906117842	0.796381547227868	0.382109920055298	0.880798378394985	0.86914563850519	0.884267652380788	0.820066411128799	0.919610412675215	0.792417468044319	0.728001415766161	0.834432145583008	0.749219405298075	0.426586440554329	0.762000780310176	0.890674660416259	0.833881175064676	0.367885253716239	0.939262580613383	0.574271171994808	0.327966214676618	0.653836164480067	0.929545131733377	0.762603452556099	0.943564459341989	0.578451233121037	0.894325887723885	0.787401117619105	0.78956582337045	0.840373279652241	0.282939911415973	0.923504721563108	0.733551666779789	0.848829711463168	0.501965170753799	0.887113771309324	0.916299161867695	0.851348006924346	0.955925405849262	0.89621982087298	0.714793155154338	0.859648121183164	0.752295274406384	0.688592326269639	0.914813081354903	0.545485726280126	0.507567189678892	0.664715144119325	0.871537859417538	0.90084695093886	0.719546114601347	0.819287276295005	0.877600805882815	0.759766764240616	0.687374371974383	0.858466986578509	0.862288975512151	0.75612628439493	0.505520124016754	0.808202997243587	0.785067152530424	0.516894378098261	0.760846219548821	0.857602748443273	0.8454149453552	0.801794243792355	0.724112918680979	0.457835571698117	0.924454062392709	0.604325964532258	0.888092531217841	0.75100284778265	0.798095371289955	0.420809846916635	0.878235364131689	0.536525559642208	0.682161049028472	0.931890423658858	0.725613660637272	0.872210523823923	0.868239580091536	0.916230226527052	0.918202207746935	0.898385138965985	0.46606846248149	0.775476496305663	0.597385781498037	0.844795006992575	0.439799536211122	0.200197011195853	0.674914092496738	0.455779424029532	0.451078422751665
CD44	-0.0818673282914223	-0.0126458264863863	0.0497427775993097	-0.204778233009138	-0.25873529951089	0.622667613463738	0.785721285051964	0.415168146144688	1	0.332468264036718	0.941427101301636	0.135186669169324	0.620442839089971	0.238104630855966	0.34060474319159	0.337875610509596	0.908603767597717	0.531356974446604	0.23923488074159	0.637293196585981	-0.0171202710607717	0.220211503623833	0.0307104388157572	-0.00438534389781816	0.634907671853482	-0.033004988410455	0.935239910364754	0.845841595884698	0.415821650135593	0.0930054091290315	0.873251337239636	0.422363204351013	0.837362675024575	0.899724955029605	0.140677410168979	0.508677869811707	-0.00824288783036185	0.503900733904923	-0.0528683723417229	0.496405667747896	0.654355363477674	-0.102915716637327	0.171921056910919	0.901999372341533	0.394143656830637	-0.12922113483039	0.024980445931504	0.927700077142041	0.0999247010285755	0.351206504247754	0.185719842216858	0.468382526649624	0.120219905379063	-0.0842086662932862	0.198956227148459	0.0322294988037637	-0.121229003047825	0.364557293289212	0.912373523345433	0.944201443197724	0.248154477826997	0.616147500328893	0.573540543326638	0.290204734349043	0.380897638462688	0.522143542451464	0.60976655643883	0.63235136827218	0.107582622105287	0.225884284701223	-0.124132029234913	0.909590652566692	-0.109943253511495	-0.104226356143563	0.70314690258305	0.749321358592286	0.10523849141897	0.768006613243531	0.085283982063261	-0.13687515284695	0.855564354236888	0.384375293513602	-0.185121234251951	0.682425840503693	-0.104075082699603	0.240814672442678	0.862737893804843	0.638042109424192	0.875166516670424	0.813746680063943	0.292686772042922	-0.0920378792507796	0.368699642766572	0.21963406368109	0.472142959119438	0.340177482712428	0.408239576680522	0.857753931908805	0.0880717249824474	0.878242540750604	-0.0160868382378829	0.774494477330237	0.517709334102411	0.895956431068771	0.192254747611097	0.193575489352711
LRP6	0.863653367440801	0.89696157079961	0.748729925807441	0.694130385221816	0.669691314256892	0.847580215853222	0.784346625233955	0.811435053465587	0.332468264036718	1	0.276910889565877	0.94340764535294	0.870024312693229	0.911992223554169	0.931270454454305	0.901547366440217	0.320455679754259	0.883956600499426	0.93453405779934	0.853775852586176	0.845523913129046	0.89533523797475	0.837890176112796	0.891348829834577	0.837058681266227	0.823535528450475	0.271483587129893	0.606348914594921	0.956618720806629	0.913678508573116	0.262965700159638	0.850008301947579	0.3160010576678	0.383177664456456	0.87700467852578	0.934046191005131	0.812414018023023	0.726162074091215	0.844595489281579	0.922982843089255	0.884576864670994	0.680335008141125	0.884744243850457	0.270956824261932	0.879373517185121	0.728740208638128	0.812274820756865	0.495510702242238	0.741122408545769	0.934446565930167	0.921358076921174	0.8821919791827	0.847311451033804	0.798280220722421	0.921992518166715	0.846088584266761	0.833058425531741	0.819357537773676	0.329227577219951	0.453633508969763	0.823892482005346	0.84770633056995	0.894747515379798	0.925729188607661	0.879253486032413	0.93539678324353	0.850294733913631	0.78225519563069	0.731035105934447	0.933632761776158	0.708004669670091	0.433518312400707	0.746599550252331	0.75798713532402	0.638840566237775	0.73354324690284	0.896010060843671	0.611204036367129	0.916630344194686	0.773259478978167	0.463736685089782	0.822494743716131	0.755227108290204	0.866530792876188	0.756271384004095	0.907894942294748	0.246488628305025	0.856270547665039	0.612403224786563	0.714028671596184	0.791464684518024	0.787393158081096	0.865076865734931	0.903092405167712	0.907464818738888	0.860441590390012	0.824517770819058	0.275088006767737	0.831105253280229	0.41768681469613	0.727447347409367	0.457300025964514	0.41273828028669	0.573595889462938	0.373921008751623	0.38549971529077
