""	CD2	GPR171	PTGER2	CD44	CXCR4	CD3G	CD3D	CD69	PTPRC	CLEC2D	ITGA4	RPSA	PDCD1	SORL1	CD8A	CD74	TNFRSF14	CD8B	CD247	S1PR4	ITGB2	NCR3	CD6	KLRC1	KLRD1	VSIR	NCL	TNFRSF1B	SLC16A7	ACTR2	DPP4	CXCR3	CD63	HAVCR2	TRADD	FGFR1	CD47	ITGB1	PTPRA	CD46	S1PR1	TNFRSF25	LAMP1	KLRF1	CAV1	TSPAN14	LY96	PDGFRA	APLP2	MCFD2	STX4	RACK1	PTPRZ1	CD81	RHBDF2	TREM2	CANX	RAMP1	PTGER4	SMAP1	HLA.DPB1	TNFRSF1A
CD2	1	0.916476136948573	0.945354645084104	0.970004307665861	0.950736223548961	0.94998770359104	0.949518042789725	0.898726727710847	0.962688812612762	0.649127139269788	0.882466482546552	0.535199192483393	0.914679497847468	0.209727447354135	0.700600216204721	0.366342789821387	0.895797801759577	0.720718601246256	0.866867837033177	0.916586293486091	0.635099595151706	0.562365795352372	0.836539059829016	0.326888995411932	0.587603075558865	0.670341460788004	-0.411678736870606	0.437540647402748	0.679920619920199	0.0864419491977799	0.82860898427141	0.831447206537627	-0.621502862574142	-0.0572656981847434	0.822774847185213	-0.515594951480179	-0.510380977978243	-0.373360253965769	-0.34129323811809	-0.254286976576173	0.866394681220211	0.795392314409668	-0.570440360826994	0.279056354184452	-0.667006858014099	0.744955958654739	0.274733179562082	-0.649788498847304	-0.782865244352687	-0.607753776722886	-0.407506521512248	-0.272350688336571	-0.704763077738756	-0.696500859168237	0.457995765778597	-0.0068386914220874	-0.703253240296549	-0.662172562246272	0.877758291640147	-0.458091227706157	0.460971121103022	-0.626832851773538
GPR171	0.916476136948573	1	0.87343617583812	0.905827230622518	0.94053362694973	0.834268612230795	0.929283434997785	0.957036700059	0.887228662137818	0.734315836075779	0.880608115193055	0.623378501176056	0.748737691077214	0.116535963796497	0.500825743615237	0.370473774553451	0.90716306733005	0.494591021795396	0.702969702008932	0.818365754491126	0.631245480884288	0.607783994960764	0.86519192138974	0.202042643127634	0.361667175650138	0.634995696681084	-0.445730072108124	0.371034606109875	0.683115172989709	0.0510928634160227	0.80729016719297	0.657900812600658	-0.627428739158264	-0.168743614708892	0.865870492896348	-0.582124636521793	-0.497404692230355	-0.426206846587151	-0.319042492881049	-0.120420014493052	0.923952138826692	0.90193649100156	-0.590586743501294	0.103360020452633	-0.65940696939095	0.622342093912577	0.288725749828354	-0.661285231364399	-0.781069574660208	-0.528323316990799	-0.47873170063728	-0.210974744575999	-0.706233870431456	-0.714508649268518	0.493385477310392	-0.0535076706026188	-0.664132126187613	-0.652673235378895	0.884979780904812	-0.471774559239672	0.438453779961281	-0.67952991642301
PTGER2	0.945354645084104	0.87343617583812	1	0.93653773373964	0.936116394397167	0.92346761496116	0.900415152113145	0.839536752303536	0.888502719200355	0.670630735201185	0.800508448648853	0.517309901449006	0.916054861090841	0.29046302616143	0.754989291041083	0.308915271980685	0.902838295407829	0.74703754662837	0.866522931991092	0.851637511021677	0.532189168255586	0.54873134545444	0.736842211938589	0.339038277564654	0.626064271418425	0.616541553652216	-0.305640614706028	0.348342737196717	0.701641849343598	0.0685206278108592	0.699635614243919	0.838317570449002	-0.556179400250756	-0.105075058436388	0.781133669704588	-0.375043806302744	-0.415137969442439	-0.305047353534702	-0.167961290087941	-0.127090501395168	0.801488714570871	0.789948069606755	-0.484320389345702	0.257484426822076	-0.527596766843817	0.72642640608833	0.236479134081199	-0.567710219592768	-0.684044666245123	-0.473653217802097	-0.31100004415343	-0.118042410647033	-0.617537466550179	-0.624607719995396	0.335213445804859	-0.0666241241342843	-0.562811404655362	-0.56950966957384	0.802473651768981	-0.317600091065617	0.474201338511781	-0.508369408376725
CD44	0.970004307665861	0.905827230622518	0.93653773373964	1	0.951972577522115	0.960097555032301	0.948793475799834	0.904892040330795	0.967283511733859	0.601727612780897	0.834428187137929	0.530092518840805	0.906653534523058	0.253792131130709	0.661533334067866	0.388680241983121	0.916624024981742	0.715957491606769	0.851724684375167	0.928392733708535	0.639095846566279	0.477380720532838	0.853211490090091	0.203650643370998	0.556473631628788	0.68040305422007	-0.425032494054951	0.524033200153408	0.716510417963627	0.0294427247898343	0.846215540217339	0.829493697391185	-0.612058973496955	-0.0533882134200932	0.866942469770667	-0.476470839365216	-0.515581036187302	-0.36459726138481	-0.333445538205239	-0.267878515359227	0.842330889913305	0.784353886065782	-0.546224179929746	0.226276172574489	-0.661553233497438	0.672232810546104	0.332782673192874	-0.671146675113986	-0.765638054869069	-0.605182993681527	-0.360069845785394	-0.239459371136976	-0.723922278697753	-0.685094464351691	0.481518268644035	0.0306910180489952	-0.686798209394615	-0.677471117730148	0.853835672626033	-0.451276168312722	0.488661974590961	-0.608108531442975
CXCR4	0.950736223548961	0.94053362694973	0.936116394397167	0.951972577522115	1	0.902572099471099	0.937663231479584	0.896649730732888	0.944403994149561	0.721982650305158	0.877615518772197	0.504012624544588	0.863119605162195	0.319171661824043	0.720763435659675	0.43469973921333	0.937519496009464	0.720217610692396	0.813593383609037	0.86553122194514	0.67096480830917	0.61682666326829	0.767148587899723	0.227925725604733	0.564789715510771	0.693282272280701	-0.431406464818338	0.464512006112405	0.67739804409439	0.0769512286287194	0.738121939991358	0.747751363248349	-0.611737243683803	-0.0297171952858727	0.780665181293137	-0.53795260236594	-0.533613825514834	-0.391673346202397	-0.293447002977413	-0.207351996965156	0.863397125890819	0.798853258482305	-0.540218187689638	0.165226401855539	-0.663360510357377	0.728558698920467	0.333022654395942	-0.675384495489314	-0.745526488221647	-0.536351707113325	-0.376600714594752	-0.237383467131798	-0.713858762073523	-0.691326767862128	0.487114408372137	0.0381647069782922	-0.664072437083135	-0.667806651758067	0.859234807602671	-0.462517619436172	0.560506628730299	-0.605864873635894
CD3G	0.94998770359104	0.834268612230795	0.92346761496116	0.960097555032301	0.902572099471099	1	0.920070968988499	0.845857399604593	0.929421478911665	0.538030386180043	0.744402538724429	0.463440206148077	0.921795360376288	0.235153981116369	0.690163435252243	0.260676820841037	0.878195251944842	0.743446179716012	0.891919487487747	0.915131842579088	0.500580572914406	0.395498062968531	0.849847266293978	0.209387553672648	0.578947444451633	0.588760143802284	-0.381933126361534	0.448458477934809	0.750775940863793	-0.0424172145103832	0.833933413618411	0.875545661856189	-0.611375457217684	-0.124400225443671	0.820021459035616	-0.339155767865068	-0.463367748550211	-0.320089703247346	-0.240339688530299	-0.24275033038244	0.77285762819374	0.737967813346654	-0.556601231190293	0.184251132146483	-0.634798225160072	0.609513461462474	0.212471736034348	-0.598588319012699	-0.728436745387238	-0.629254787250412	-0.304793030424628	-0.271934820268905	-0.632812870732977	-0.671298877626207	0.368938130744741	-0.0632900684229252	-0.641803727984603	-0.612741821816186	0.796469114440051	-0.406126338275951	0.398857631364375	-0.587427032707651
CD3D	0.949518042789725	0.929283434997785	0.900415152113145	0.948793475799834	0.937663231479584	0.920070968988499	1	0.971031569991686	0.918506071801808	0.777578729078165	0.895869466371589	0.486581818541388	0.804737811054712	0.0350480278047244	0.621102582061892	0.223820914335801	0.906342268102615	0.632960620201548	0.710108749082106	0.941818349835246	0.521523730580772	0.497685507501864	0.865249393508098	0.105399437261973	0.361545345807063	0.529984435299191	-0.529332525073153	0.484188613265187	0.676418475844523	-0.154017382178287	0.807261091266398	0.824874979064622	-0.735652427654459	-0.253146167340998	0.880454436288127	-0.583410133850167	-0.600572448740367	-0.522362994686789	-0.434812547810089	-0.320326614437464	0.919416477762539	0.86742282070214	-0.69182422426323	0.0209732781108678	-0.725336501445673	0.571087922564508	0.107131117600055	-0.724662962884303	-0.873447847019615	-0.676894886814651	-0.548016738291322	-0.358790907273314	-0.760089395004367	-0.815590275052865	0.408609510215841	-0.155712100976822	-0.764676712080254	-0.726289463776997	0.949723360989189	-0.553585490875247	0.298019456485557	-0.762486867538182
CD69	0.898726727710847	0.957036700059	0.839536752303536	0.904892040330795	0.896649730732888	0.845857399604593	0.971031569991686	1	0.871760549856907	0.768255084622783	0.886832780635249	0.559389642735859	0.709723347234544	-0.066365193969952	0.451986221378771	0.232895621982522	0.883367745501836	0.460334946575105	0.615108004526173	0.893421644646057	0.533219540580736	0.495300355049646	0.898099928253426	0.0691213299621338	0.219372952249664	0.522229303937642	-0.534656032034413	0.443136020288775	0.647169936815863	-0.144155996074259	0.830486483837166	0.715024817529537	-0.722914833901534	-0.295362758341438	0.923053680864012	-0.629626810692291	-0.579321388459587	-0.533597135037832	-0.45271222931192	-0.275159078969809	0.95393216673008	0.910114299443839	-0.690996768839208	-0.0279929634829305	-0.71874658952284	0.508133901582248	0.121204168918563	-0.712257399615876	-0.869613427389526	-0.643302317963986	-0.603496547147809	-0.331596148164995	-0.747686432689462	-0.801440617118009	0.456165240834539	-0.157554338691889	-0.754165986340884	-0.706516774511609	0.946852975467192	-0.557103982198426	0.261857414959141	-0.790364341936265
PTPRC	0.962688812612762	0.887228662137818	0.888502719200355	0.967283511733859	0.944403994149561	0.929421478911665	0.918506071801808	0.871760549856907	1	0.566509433655489	0.853867234980297	0.445345508997597	0.90735918595622	0.292978204499921	0.683660405837772	0.477929477683405	0.859103617736515	0.742631617647161	0.842873459352385	0.935321388879227	0.734466930255113	0.468844059161336	0.809360297659652	0.191349531438272	0.585524121869474	0.743427254872288	-0.489964990114491	0.578467513464642	0.638471984611911	0.0865136514890551	0.82557794805407	0.804925423371513	-0.630211199955864	0.068780695728302	0.803886532721611	-0.552544035014638	-0.58610674370318	-0.408117961432674	-0.420247892904848	-0.355724735319756	0.810290949766264	0.717499904958888	-0.54792307006307	0.26847461434787	-0.73958015223166	0.720340426872097	0.375553657056129	-0.707989889657566	-0.76708674256883	-0.645917199175756	-0.412373804849842	-0.335923597959349	-0.74680550585989	-0.681674594200294	0.550435920319676	0.143878015599073	-0.734505619769751	-0.712569863597154	0.83879843068559	-0.524579096550669	0.54998164264045	-0.619013964233862
CLEC2D	0.649127139269788	0.734315836075779	0.670630735201185	0.601727612780897	0.721982650305158	0.538030386180043	0.777578729078165	0.768255084622783	0.566509433655489	1	0.794200254261338	0.346108538512244	0.438385510544809	-0.110987269195002	0.533893645351331	0.0432842738627527	0.674066665231121	0.410922176619962	0.305237071491904	0.639685560992454	0.264253089086638	0.618468264737504	0.480220827325317	0.0726616083122011	0.0697540925143746	0.241493938595934	-0.405114828633306	0.264607102182612	0.420503468878589	-0.210809309008392	0.352453201617	0.580482221181777	-0.582272342334477	-0.356620398306839	0.588659114011114	-0.58415071017818	-0.482196504537321	-0.516109916998752	-0.357513997924483	-0.208705302029729	0.779607110547211	0.777711205786403	-0.559491794381669	-0.205764051761012	-0.478766083669339	0.428180674607045	-0.163117467034839	-0.549352621077461	-0.70023269502293	-0.395374331616282	-0.593444400519328	-0.241034383061813	-0.58033682791393	-0.685623695101943	0.207097318036358	-0.31539069074272	-0.56012743465489	-0.541288439113795	0.842393851373794	-0.413627870896258	0.0973837787011192	-0.628849814363864
