""	CCR1	SIGLEC10	TNFRSF1A	LILRB1	LILRB2	CD86	CD163	TLR2	C5AR1	CCRL2	CD4	KCNQ3	TLR4	FCGR2B	KCNQ1	HAVCR2	FPR1	CCR5	ITGB2	SIRPA	TFRC	PILRA	THBD	CD40	CD47	CD74	TREM2	NECTIN2	CANX	TNFRSF11B	APLP2	INSR	PLXNB2	SIGLEC1	ITGAM	ADRB2	TLR7	TREM1	GPNMB	CD72	LTBR	CD81	AXL	ADGRE2	TLR6	IL6R	ENG	TNFRSF14	CXCR4	CR1	PLD1	TSPAN15	ITGAL	TNFRSF10B	P2RY12	ITGB5	RXRA	ADCY7	TLR1	NOTCH1	CD33	TSPAN14	PLD2	RIPK1	SCARF1	CD93	UNC5B	NOTCH2	ASGR1	SDC2	SCARB1	CD9	STX3	PTGER4	SMAP1	CD226	LRP1	ERAP1	STX4	ITGB1	LPP	CADM1	ITGAV	SORL1	ABCA1	SELL	EDNRB	ADGRE5	PTPRA	S1PR1	ITGAX	C3AR1	STAB1	PILRB	AMFR	CD99L2	CD44	MCFD2	TNFRSF1B	PTPRC	CD63	SORT1	C1QBP	NRP1	SLC16A1	CD46	ITGA4	BTN3A3	BTN3A2	CD69
CCR1	1	0.840565611486709	0.909322353775133	0.819746372651883	0.518274405376355	0.850259241274954	0.845421572052572	0.844807592802675	0.680058979416166	0.767176482827901	0.893471099856091	0.269187270005103	0.676005995926006	0.302297984983168	0.812527359299224	0.902705767269614	0.855709303264217	0.675952806659909	0.870935330197751	0.897430786095044	0.72139325436744	0.698630717030692	0.628759968606971	0.512034518169229	0.746486718185758	0.558327589310022	0.875745689566419	0.839541185683903	0.874735468024474	0.628540396989013	0.899041977587272	0.429095405357582	0.764528831973142	0.375477444820683	0.774645017166575	0.681170948062936	0.676348515640241	0.579309143602788	0.564742992259658	0.524939385285707	0.834139292605017	0.872912865620853	0.542808705290377	0.698755138691859	0.604239589100033	0.790292361201979	0.86843559431278	0.632486475776576	0.50285733090564	0.447906340154369	0.71885576849509	0.816797592284565	0.58585940392251	0.772796168790058	0.464362240638337	0.617895761991376	0.688025163881574	0.744937837649762	0.802492779177121	0.790152770794375	0.837653085560392	0.798773235040629	0.783444990044238	0.820397476912905	0.585895889306923	0.413190191499175	0.653234865052852	0.653892134554291	0.41234579481587	0.762252046135409	0.698023046846561	0.577685380724718	0.681959964479016	0.74975466702833	0.84696386498243	0.580324528033109	0.810352977675066	0.714269459336826	0.838258755588204	0.857651710226299	0.682165694094523	0.499831637874965	0.813258331138652	0.765062457678841	0.666065582602176	0.546489507833973	0.73354971171654	0.718906194327408	0.810066468509685	0.839122850970373	0.652524369875477	0.813456533389194	0.694717626532054	0.532248687550949	0.591605510300675	0.750140000635307	0.54846109554698	0.836610026704472	0.802039230111665	0.832593675176037	0.87029243219772	0.785345154796892	0.591992103065228	0.825992398056233	0.676488810686226	0.769450497338746	0.479243293804147	0.647751149210945	0.837312454599002	0.567389346949057
SIGLEC10	0.840565611486709	1	0.86879084369741	0.796809215244473	0.661976942387769	0.881364299290922	0.845137321639001	0.873024636326693	0.686837837943417	0.747054143848386	0.855420839115899	0.268700782529807	0.740889527942277	0.409758167900592	0.822229970136983	0.833103028972677	0.855190196227984	0.577526303860377	0.8182876113535	0.826032622771894	0.691500324597187	0.71213835657777	0.591996356321166	0.548669221794458	0.661659605352784	0.774280214322432	0.819746216841959	0.731222467873234	0.761686465853888	0.61491385386495	0.791157147085224	0.494698331071739	0.644990944888968	0.378713997356736	0.673999388841276	0.629662024916326	0.790462255561229	0.489890916002182	0.490256833673733	0.662465550661538	0.771804344522152	0.879744160825789	0.666238735799272	0.689910840279837	0.579406964425118	0.668783984619667	0.746991975031472	0.569246927239169	0.643957854071847	0.500795122924227	0.623118668685084	0.649168011434752	0.544202150826858	0.721257955111957	0.436554946420538	0.473855587576488	0.532734473118988	0.729438482752563	0.812402509725053	0.72758830777339	0.804923797901063	0.801858168391776	0.715118741545876	0.756728254451435	0.644877324998998	0.419273244341872	0.657905964663948	0.672090513643787	0.391789027979539	0.697626086145664	0.691800556986403	0.524310647475578	0.626370574411078	0.715207832828323	0.838469738304267	0.555753341936013	0.803960957559224	0.688231986460138	0.725904514920861	0.79079500456089	0.634532125833647	0.567210625214247	0.833847887870732	0.822908045515506	0.593055552763586	0.645697732570385	0.745652104629366	0.587515117331567	0.746336343476579	0.769978651580733	0.522073849105319	0.861812433026129	0.672713438981818	0.403023969203793	0.605010495279802	0.662966924210717	0.464209225741808	0.747007981244072	0.796711066730667	0.83170146086491	0.806350129586363	0.741194029430282	0.521692700508199	0.621359037025993	0.506736885218191	0.807775517815738	0.419861099399372	0.685665033963569	0.807424847021626	0.509887758612733
TNFRSF1A	0.909322353775133	0.86879084369741	1	0.80717723176327	0.612338934572829	0.855965343140811	0.864106927452574	0.846424750890527	0.672904060620383	0.706686657650498	0.899929280683942	0.294960238264411	0.726414396151947	0.447244358543709	0.826661194033031	0.829901636177322	0.78852186319951	0.643969660157229	0.872912992753186	0.897673598451073	0.711669388435958	0.635317093256893	0.585908959362303	0.541271279473777	0.815278752057454	0.696458032042777	0.818251548103046	0.865583326299614	0.893801690292529	0.524829542898385	0.86976647785285	0.567207734881312	0.812330461629887	0.4454402133473	0.775266439649974	0.606549463061024	0.740414671533002	0.536943151115607	0.561200657347454	0.58803123870876	0.86895851919668	0.864696640605381	0.636762369918329	0.687365132542271	0.602589965991913	0.782828871892838	0.813693721481143	0.66269854230951	0.600576429669576	0.516537730506938	0.619453469522091	0.725473484129537	0.577006838425763	0.698495066629948	0.371027897825255	0.624421718377118	0.689237402393908	0.771057968290261	0.80086132357438	0.815055597545265	0.840554037645883	0.806171298804959	0.77604792226183	0.846345201820604	0.660673067238553	0.478343594288011	0.68496764699892	0.754812673610777	0.481351610061783	0.735811823350988	0.766591917891187	0.651192654809964	0.73022077881415	0.697327061237754	0.875234853303062	0.55781151611039	0.835878831539912	0.775485842391508	0.796605340835276	0.856813383929083	0.757663427645345	0.596531666577488	0.832968223304466	0.733618989775706	0.677800780906062	0.600874056216253	0.750397782815529	0.721042568838657	0.850516779832875	0.826824329858284	0.545530436348967	0.842702636185164	0.725752921967192	0.575570799297238	0.710365563519398	0.806390074636946	0.638604120082049	0.871885653982739	0.770595068678498	0.853519639651382	0.866681103105526	0.842104365171452	0.62939331327825	0.804111148674512	0.72021020074024	0.834973250447771	0.550520672111802	0.654803739590336	0.834871652815377	0.477841439908134
LILRB1	0.819746372651883	0.796809215244473	0.80717723176327	1	0.728327490777985	0.802861652947141	0.80165962770005	0.806727196006874	0.471013897443645	0.52123007745428	0.857459613996543	0.520612321780414	0.622665517432542	0.582518278650775	0.744290169040974	0.736454230697141	0.664996927581439	0.753069767941151	0.875523598814867	0.860507907297186	0.474709557811189	0.457127781299567	0.581375521674653	0.319926236960699	0.784834839855318	0.585871916757768	0.731015764831594	0.805341755229488	0.83540095878045	0.400051334614236	0.779591286130516	0.49456853330385	0.80409248769591	0.445042581942434	0.79419047913458	0.38696882203595	0.65395669705171	0.557439134201388	0.341791758240415	0.446424667289903	0.827349662545485	0.707146727821558	0.584169892169642	0.850621441742732	0.804067563408581	0.826754748232368	0.876027638465528	0.607910976183819	0.313153296945496	0.304450447474209	0.460299941393371	0.753193156940354	0.739697004871576	0.59226689909873	0.18440544923277	0.694200423387382	0.781100465120622	0.810950954403718	0.875249736111496	0.746270437700594	0.861265263879156	0.660353745750841	0.76222382095175	0.730574448448753	0.651088499821612	0.697228577742312	0.794641327037234	0.673090168841335	0.579980309410015	0.572836116228377	0.57283214767264	0.450557427529802	0.656654993299269	0.524196110123941	0.773675905945468	0.497516161493217	0.764912385775607	0.860861565052417	0.66219005106434	0.777329112078223	0.717974091362558	0.548202333248591	0.790732889453424	0.697311569798005	0.492496973689997	0.472320136606697	0.574413787367748	0.688131167355081	0.778983726717039	0.724069293083225	0.426239568765796	0.701538479446917	0.711566016663204	0.5951806825287	0.71512740310235	0.756942389050417	0.63179785019366	0.764941972723095	0.73997127177808	0.824238001137601	0.678583117310947	0.735768528260018	0.621196022073559	0.76718962990836	0.660518219609845	0.787338773607489	0.703070032040186	0.638914943921953	0.771113239362603	0.341374478899849
LILRB2	0.518274405376355	0.661976942387769	0.612338934572829	0.728327490777985	1	0.549555196995556	0.710899056782987	0.609583189077063	0.33580539258098	0.286036883659352	0.685563981922984	0.476130982618065	0.587507895617525	0.760287365046244	0.594821632921225	0.371837314149934	0.332117820740147	0.572081776323659	0.667036603828331	0.674326784782831	0.257114376356377	0.233078988675	0.459913055983775	0.136785323593748	0.58339077773356	0.642758462289714	0.406046733670764	0.615214770018381	0.640509206914208	0.0196500340395069	0.556514003804952	0.551777957273191	0.677684261655156	0.615801911279085	0.641048164689496	0.0248084058814701	0.5794629686403	0.396339526776303	0.320503138379967	0.471688098730364	0.639250118519066	0.457516061474582	0.598127405341155	0.73733090656848	0.636796024951042	0.526041619314078	0.672586110411205	0.562556164675374	0.330396343141277	0.426401854380165	0.114588120950592	0.388432819244344	0.487943797251361	0.208849443753103	-0.21259185369338	0.65590381824637	0.64094814315471	0.587084526297835	0.642446943981181	0.566222633256766	0.629698511882365	0.457921404983899	0.504506218285537	0.409884307347117	0.615198033045797	0.799276939074325	0.637018984928837	0.705255328002082	0.558076185764541	0.390365113324011	0.475898615664627	0.408704043392009	0.478874406763456	0.18270153273475	0.534306124066059	0.228620608847106	0.667991095435627	0.750225210119944	0.308474627638292	0.506687712260526	0.565507373261885	0.527401854729185	0.599314075569127	0.438321679557258	0.395901567949623	0.388608211079092	0.491010189928006	0.468841519257082	0.478868881784685	0.420901931991502	0.133108974643225	0.547257214249099	0.660216261606396	0.372728153581409	0.73599935810802	0.550007804594735	0.637483060718931	0.508108357114374	0.562091303016043	0.537475115212646	0.416396429666004	0.461655169020578	0.39559011188539	0.538943893355608	0.417000920190102	0.690274067985863	0.609922249103918	0.497241358281792	0.484293112208369	-0.0623428934373562
CD86	0.850259241274954	0.881364299290922	0.855965343140811	0.802861652947141	0.549555196995556	1	0.781415432995721	0.810557925680534	0.584514104120526	0.670183909621754	0.855606990271557	0.366862426051603	0.639336098895059	0.464902128180569	0.811174139446001	0.901203678771696	0.82159174625668	0.686148835936988	0.899231639725549	0.886133341630886	0.639136508881913	0.68624777909981	0.546692683289891	0.645412883971785	0.774803206416061	0.752221453856147	0.878814147390503	0.794165570469462	0.813781573602839	0.608763116361184	0.814500457870238	0.460335985334793	0.705698490444442	0.312688936100123	0.715451472980526	0.596166237746527	0.698259289979738	0.528672927672129	0.495391228950156	0.633092489258944	0.845281463266229	0.895322511183015	0.734121251485481	0.691985794715081	0.661715101212192	0.784107424296118	0.784486965156259	0.648928852898406	0.540907645922215	0.347152576445041	0.6512966584419	0.760157899237376	0.72733377540048	0.706513088197398	0.448487128239386	0.575179851078565	0.612791859738107	0.75728567009771	0.846667637595535	0.681039633360445	0.867192318081326	0.760822203824668	0.806207049803299	0.85548028169274	0.600250076623499	0.426399312434909	0.735772127846879	0.652642099061814	0.431950887309283	0.717646780442653	0.638629674088429	0.582457044055951	0.702075752887659	0.740411404943668	0.893946772737033	0.758439148849817	0.755646927425479	0.747702854757521	0.795081920471213	0.879192729455623	0.677316644961526	0.665196456055095	0.800912454539676	0.793153408388942	0.573517336047325	0.601048299234862	0.640607219684055	0.676135868138545	0.859158095243024	0.779365417222904	0.648504223206642	0.798818070381452	0.562285962928663	0.455905828194145	0.65612670403459	0.739493116342508	0.488661423991064	0.82789043732291	0.781322719800629	0.937989061648037	0.854884216198922	0.795808248722184	0.63571065952314	0.674048165400217	0.610113992042532	0.837088729836446	0.545397079251747	0.716319787873759	0.853510190995321	0.532874949291197
CD163	0.845421572052572	0.845137321639001	0.864106927452574	0.80165962770005	0.710899056782987	0.781415432995721	1	0.912747148714611	0.818656477147443	0.73017919507761	0.943305697795327	0.359199494058429	0.860091958518621	0.479717465745198	0.833495563587722	0.791658501093877	0.745835082818932	0.549354283871233	0.812176926047633	0.873758523010432	0.781674390129273	0.711217463807467	0.639311808209929	0.453364488022988	0.652930189512975	0.72864833337877	0.789287691888884	0.772693317044139	0.801570662027992	0.472420847662008	0.86609774334494	0.514074334383413	0.758211116879274	0.663918845608806	0.674660927500142	0.531775899733706	0.825191467255914	0.427133941450188	0.705385215569243	0.754615395542473	0.748165249552568	0.844718320286843	0.677773388218695	0.763204398623903	0.619294262869588	0.652672164950716	0.837318416562871	0.774260324632626	0.6724117599103	0.731836353827562	0.627101670363863	0.674818429328082	0.457762796401372	0.635698683190864	0.197386523984316	0.719408170793633	0.626802134358201	0.765646074600761	0.76403324169901	0.78894014319098	0.729107953235217	0.871630802839288	0.762572020483627	0.693448561903478	0.726307354300987	0.522027072332988	0.675732521457373	0.758259596709264	0.306984934098162	0.805924319694359	0.843571057976152	0.684782628814034	0.708664902594696	0.651417491438472	0.733952557478511	0.41787401223917	0.947546191254635	0.726252290011182	0.74972725722351	0.822835091577256	0.715586280879789	0.640610266273344	0.885170214790673	0.756153562719645	0.83267086360018	0.495484965809466	0.852252548237221	0.598499854768799	0.675150975156414	0.736927626158262	0.607284978948922	0.889528920948255	0.884298171413763	0.483462893090772	0.750115845020623	0.695387461523884	0.542099479781394	0.705036124552078	0.906670812983541	0.70517566358516	0.785588975793565	0.70461700748828	0.363497721191268	0.804964902572087	0.501069777568791	0.877362270406888	0.39762476859697	0.712043721896123	0.737265830168295	0.381843650009352
TLR2	0.844807592802675	0.873024636326693	0.846424750890527	0.806727196006874	0.609583189077063	0.810557925680534	0.912747148714611	1	0.764476395949457	0.755593344507497	0.888754283862423	0.426031362203824	0.872254819797687	0.369176658099385	0.799605449791288	0.858687005010019	0.82035600075528	0.508984232659743	0.748171777137456	0.829650295775907	0.779480943038757	0.763179281754875	0.506445138196726	0.512538077345262	0.631245117193721	0.71100983183018	0.82493789918725	0.731868740748954	0.720393890137354	0.640742699308037	0.771054338444356	0.483192415822838	0.701274553689838	0.546200153984029	0.588516458752236	0.658227021004597	0.872716486242575	0.368436036800889	0.55570065275798	0.708403674928136	0.733044433634999	0.847797267135613	0.696126835752049	0.789393346279084	0.674693220731741	0.714369503539361	0.771979306043482	0.683965350218149	0.674972187079627	0.566702975305715	0.727537190402419	0.693016191738876	0.508679339245197	0.74767963618961	0.415131288079446	0.609683418497322	0.565036859302612	0.838527317488246	0.828580586055542	0.800309006865449	0.722805825312987	0.904538561525733	0.765562229036798	0.722108444470356	0.70235585565045	0.447560524417121	0.678760865223291	0.659617754134788	0.240133203184714	0.720702483493207	0.792709070274544	0.563035609694236	0.700311101559746	0.764419256706578	0.72670567282786	0.43210966266289	0.903863137153353	0.694160960371785	0.797856141044581	0.789014551076328	0.705010481037705	0.596313627696222	0.905322124078597	0.861243583974425	0.763510163423944	0.52434013342178	0.782076912075818	0.541933932633144	0.706246007642867	0.785720142683925	0.628412035341626	0.915447181790078	0.799348987130037	0.526913054671029	0.650272458347277	0.663266466699721	0.430341976910006	0.676908699806799	0.874128258944946	0.754203085844919	0.755673263963795	0.758763005013968	0.338076093143708	0.703812325907192	0.461257630543735	0.852572120452194	0.355014928259858	0.776756588160941	0.794821557481644	0.531247050705583
C5AR1	0.680058979416166	0.686837837943417	0.672904060620383	0.471013897443645	0.33580539258098	0.584514104120526	0.818656477147443	0.764476395949457	1	0.852234540770346	0.705964883420378	-0.0331195054613675	0.749461587865682	0.00800609824405855	0.656169345343758	0.721028832724001	0.760301884680518	0.219387709719185	0.509854373322489	0.605002971679424	0.9381052402604	0.826345798721406	0.617590412880199	0.510223724305867	0.348846154953575	0.517847541566776	0.66930839315553	0.503012905722776	0.535302669523861	0.591606647391174	0.750967092483026	0.322470133341882	0.383172490308352	0.416206536568893	0.348408946384397	0.702338961889139	0.662786936878974	0.253212647262442	0.778328368092159	0.723625554077555	0.426685002952488	0.758317162876358	0.404185445385614	0.439970630824472	0.247785861096445	0.353332355249454	0.561390194752472	0.597441265989077	0.786918977971458	0.806579233956673	0.726063839679958	0.487114849347377	0.112723207497041	0.669724424465518	0.381605609145046	0.344261722552704	0.244822706815582	0.499382786037244	0.465907805108973	0.614712915064468	0.407907942404471	0.83766667791094	0.5905715033211	0.546528543278312	0.513779526735285	0.0390976025196952	0.321376671886834	0.496886981980128	-0.0557482416149036	0.850629651415611	0.794504701627875	0.67400803415913	0.585923553737053	0.726326916072137	0.562836053068939	0.325305359056671	0.789433685700952	0.324938015533887	0.74196098594543	0.684799676275954	0.500022848709219	0.45645114483484	0.70946330044128	0.654742544940674	0.887687192300301	0.429661326295128	0.881203498034913	0.415143703640361	0.474163397386479	0.583937755071259	0.722108178500957	0.78906475693476	0.677765162753323	0.280758266536775	0.398480758410787	0.43344980826772	0.260866297505431	0.502938540324803	0.847387684191246	0.464359700999424	0.717210042566524	0.536193033749074	0.083290657731946	0.601974146755808	0.268920810100093	0.648271864233856	-0.0639404267972784	0.557953421304009	0.557067327593482	0.558659174244934
CCRL2	0.767176482827901	0.747054143848386	0.706686657650498	0.52123007745428	0.286036883659352	0.670183909621754	0.73017919507761	0.755593344507497	0.852234540770346	1	0.68298235117993	0.00789164102275353	0.679366463305911	-0.0540066252705259	0.651948557964434	0.814653643795829	0.833718014426322	0.332467733553182	0.574865966997219	0.654966002765316	0.896299666836093	0.825664620156232	0.620381931104391	0.552097965677228	0.442383238990009	0.440650423946155	0.747142155155357	0.562767244349827	0.601641082498488	0.732194416402625	0.771095648136386	0.292003181849292	0.402313444840312	0.247265729326982	0.461922089949101	0.816519371365341	0.608957058875919	0.441480087400196	0.675693641876447	0.612031923064768	0.529275063100352	0.792921715257004	0.379185231935657	0.480919129056706	0.29306834663924	0.464610213340798	0.604668436149316	0.525896190829889	0.69642158971536	0.592071125650154	0.822246354845386	0.597557221486678	0.264410828192289	0.801404741820974	0.580583564560939	0.302364706024997	0.312153756499051	0.515545221921369	0.523709362760161	0.634127048662322	0.515094082553129	0.810858748139057	0.633717197139447	0.651374628447951	0.454538041125702	0.0117821954433229	0.36812626602994	0.482520617921654	0.0779094845536694	0.803804532263056	0.718514785066838	0.592719785968484	0.5866587241321	0.828179060286139	0.678343269405573	0.45051474647394	0.722139547403639	0.355676671073925	0.822506914567032	0.716682606582306	0.4939752578546	0.406431578597953	0.686970168781518	0.717183798658379	0.739847773999802	0.495936350109319	0.812478411305363	0.520906417032219	0.591656150715223	0.645300026699263	0.751448260281279	0.752888470907265	0.519352435192358	0.309941717615425	0.324481419297702	0.485757711835498	0.292467210158439	0.608263911143011	0.787252953746471	0.59403803416372	0.777691264188526	0.647259564362763	0.286343343437299	0.56742606049113	0.393268950130596	0.613691305414578	0.0311371387921658	0.617260074785366	0.662048507912514	0.723098606588723
