""	CD3D	CD3G	KLRD1	CD8A	CD69	CD8B	CD247	KLRC1	CD2	KLRK1	PTPRC	CXCR4	IL2RG	CD96	CXCR3	S1PR4	CD27	SIGIRR	TNFRSF1B	IFITM1	TIGIT	CD6	PTGER4	IL2RA	CD44	ADCY7	KLRB1	CD70	SPN	FAS	NCR3	SLC1A5	SELL	C1QBP	ADGRE5	TRADD	ITGB1	RXRA	CD46	CD47	TSPAN14	RACK1	SMAP1	ITGA4	CD4	ABCA1	HAVCR2	TNFRSF14	ITGAX	TFRC	SLC16A7	SORL1	LRP1	LPP	ITGB2	SIRPG	ITGAM	HMMR	PLAUR	RHBDF2	RPSA	ATP5F1B	C3AR1	NRP1	TNFRSF1A	LAIR1	VSIR	HLA.DPB1	CD68	CD81	ST14	PTGER2	CD82	PLXNB2	CD93	GPNMB	CD163	CLEC2D	PLXDC2	JMJD6	CD74	ENG	TREM2	CANX	CD63	CD9	FPR3	TSPAN5	ADORA3	APLP2	MCFD2	PTPRA	STAB1	PILRB	TREM1	NRP2	LRP10	LAMP1
CD3D	1	0.988698609809223	0.446635492855495	0.943249909832692	0.803910027804057	0.922974398670424	0.546630252216768	0.381186415317468	0.987242444380352	0.624575294363682	0.782725195019455	0.89765198059376	0.946451372422734	0.752380961489146	0.856271717289931	0.933727719262592	0.9303057818614	0.725866383215804	0.505429211838331	0.892508553301432	0.81799925655744	0.884129076735324	0.615299894858739	0.809896956131082	-0.283995507160494	-0.0501899368149788	0.466460852499153	0.66450831941481	0.841194095932645	0.896973379332279	0.683640731990949	0.395544049942664	0.769256067846799	-0.0915524248391351	0.748087766523785	0.856356466321368	0.00240696876943421	-0.414032065741773	-0.319864595023643	0.466527554486351	0.300988801174479	0.0186428701417047	0.174168887196737	-0.097740231966639	-0.463682683941206	-0.711046089131761	-0.263974004216385	0.0849720703052653	-0.70735192438148	-0.282779989949983	0.478916242972621	-0.359861451327663	-0.671811441234389	-0.131024560076383	-0.426238909090797	0.66144944646761	-0.567750024346018	0.470923108888335	-0.584589181303365	-0.49346903020647	0.217676510324174	0.111022235731789	-0.537841060212506	-0.640450352196109	-0.502905706735957	-0.420621142919288	-0.219528636353273	-0.272342579021198	-0.625612341697632	-0.420147189621373	-0.58229055937743	0.568216386013869	0.292635815597203	-0.589957122377361	-0.524342238382242	-0.659913303135831	-0.616823456413187	0.869808378416208	-0.517279056873619	0.0496738924454924	-0.329411374574255	-0.532286863363813	-0.453591431205951	-0.488522950438145	-0.300889464452436	-0.540694163530325	-0.631249443424221	0.330855111610047	-0.422941361645161	-0.599584792258842	-0.454533547046611	0.0756636358585091	-0.500647871186733	0.313073651861047	-0.637107936723947	-0.613563283876714	-0.305631241450494	-0.405798294168513
CD3G	0.988698609809223	1	0.420002074126529	0.947517220680927	0.746573374808695	0.911089538498628	0.486876537310715	0.324828966606303	0.979244971111971	0.572768248936558	0.762581786698348	0.87220711173253	0.923137076340638	0.696109294651559	0.843453887338009	0.928594841507637	0.935259681437324	0.726727727122085	0.483371721625667	0.863450701943153	0.80080244301989	0.872071471509045	0.618569032787419	0.829243646050903	-0.260700468450071	-0.0240027433369154	0.386568757645255	0.702916246091751	0.827784528652259	0.890369809686663	0.61562117259122	0.365979524139021	0.73365779859499	-0.107693560569368	0.721675520512056	0.837865308514137	0.0269837309392659	-0.425552843184272	-0.299704306935976	0.460507739469899	0.249081540704028	-0.00935629460020133	0.168212738325539	-0.0779268621314157	-0.419436660921613	-0.681879278749106	-0.262347786230577	0.0929163769774483	-0.691079290586452	-0.256707558398755	0.411972951939983	-0.325410616383117	-0.630762559426388	-0.123240070065761	-0.39346668517683	0.599440056832998	-0.536567721106528	0.484850097972023	-0.555949017742311	-0.454892312035515	0.168596068830934	0.108009899991387	-0.501853282354971	-0.607056747389576	-0.472655776852427	-0.38956038085568	-0.22243770210402	-0.241954937094255	-0.604617528543402	-0.39187207596314	-0.559782201618305	0.488986749058879	0.321649962766923	-0.563337853508558	-0.489313030615961	-0.637420591192326	-0.57771962594726	0.883489436857893	-0.478083922142271	0.119303838757814	-0.294366945104256	-0.497399043786488	-0.419727201500193	-0.465331803764519	-0.295771311772376	-0.50334945612109	-0.597103132748175	0.291706270908362	-0.39087867074761	-0.562564024725247	-0.42037304275381	0.0956912386536437	-0.464389460800299	0.299230715131846	-0.617540141679038	-0.573243718996464	-0.255381355218241	-0.376429001682375
KLRD1	0.446635492855495	0.420002074126529	1	0.483870753688834	0.497703424085802	0.485679184132063	0.577296300675087	0.840168414159462	0.522210366414045	0.824005655350307	0.376170241743331	0.395182282196898	0.565899251953015	0.611686206348771	0.658513430485689	0.424612592777113	0.464009574314163	0.294083290818659	0.093046084007097	0.651324266450207	0.558321693142407	0.33948397187979	0.124759059338794	0.309648167112982	-0.37486792354004	0.0371138891870905	0.587079370978121	0.158418771097143	0.333738295571438	0.275288989154475	0.564364901402567	0.294120386060952	0.228288149861673	-0.0714914661008172	0.577335410055634	0.254310320178098	-0.0506941025738987	-0.239093630613728	-0.215114010257224	0.0876205089240492	0.14417898421299	-0.131009597614563	0.00487916056727502	-0.24137805326293	-0.475970438286806	-0.537530440991188	-0.0863333371619311	-0.115151842272445	-0.372608321101461	-0.385794291887901	0.571362689098821	-0.400473516789839	-0.522483371081996	-0.0476636367658326	-0.419247443145452	0.494873116359143	-0.404494860098225	0.143153210210998	-0.49705382984994	-0.451104161941028	0.0564005828229481	-0.00509648376808875	-0.462772921771759	-0.505251586400784	-0.423824039372106	-0.394764847794952	-0.289888498066555	-0.327927627016471	-0.514035860332576	-0.370266401777391	-0.494130051918928	0.634685395060132	-0.0627043278892691	-0.479233638784867	-0.444058206723311	-0.510711747459964	-0.485142484488235	0.335279049365712	-0.431059881176465	0.0499971642190476	-0.338938530905819	-0.436079071360065	-0.381808315127679	-0.470845179449793	-0.230837553229788	-0.262199498554217	-0.502646517690254	0.302036560629265	-0.38948084537081	-0.503758122852399	-0.498299734217135	0.0637598308651639	-0.40767582265383	0.446824399600665	-0.521377629850766	-0.495594647943804	-0.321770201132905	-0.367985605884265
CD8A	0.943249909832692	0.947517220680927	0.483870753688834	1	0.691965108571678	0.925040520949974	0.450475253223268	0.352885100868569	0.926316566511745	0.589710141324004	0.687474824295468	0.788620303811498	0.847401915245184	0.647411655094147	0.812349684850976	0.841389823154623	0.871694141429087	0.666862113694331	0.329872359086524	0.82931066167187	0.696759046553702	0.798045665210832	0.563396255236628	0.748332237112507	-0.268080730484543	0.0256132309243324	0.366742089715131	0.629136325430106	0.757177967891617	0.812932068855579	0.551073269786117	0.333711265066787	0.695805260316537	-0.124344484987636	0.674728530884968	0.755687427083681	-0.0153177916260686	-0.428285523880161	-0.329770674336097	0.362612893930838	0.181118831630116	-0.0687317603309014	0.105095382473748	-0.107538386354182	-0.435321886388085	-0.666259935930114	-0.236590708759609	0.0455966655687279	-0.668348011594993	-0.320898049720632	0.441873378142753	-0.323449099310308	-0.633913583698654	-0.189664350135795	-0.400202248338697	0.557575200182438	-0.537538171563616	0.449056927729153	-0.553085008692354	-0.463225997082246	0.114170619239958	0.0549081459548403	-0.502440275537383	-0.605053818242818	-0.483027965220651	-0.389080232388917	-0.257292928786713	-0.260737160364041	-0.592062738221623	-0.393744237803872	-0.54440067887609	0.499948882588859	0.241911421316055	-0.548750400500564	-0.491809889994446	-0.620102687495784	-0.572236550688014	0.799902460144202	-0.480057866694116	0.195798581004027	-0.3121162282657	-0.493313509917691	-0.417266763226348	-0.48691978806613	-0.320927314702606	-0.51169050370204	-0.587435495409413	0.207664503733389	-0.384868849559008	-0.560344820345018	-0.478654492619943	0.0315164944886649	-0.457917066185798	0.338822146531192	-0.595951663403724	-0.575871325338226	-0.272271930007373	-0.394137832250867
CD69	0.803910027804057	0.746573374808695	0.497703424085802	0.691965108571678	1	0.779178680054765	0.875542553737871	0.681865293882584	0.786901866645686	0.847230422607176	0.850189545437753	0.892421190635406	0.895060155394146	0.975169244098745	0.72991645499732	0.792080068879321	0.64585868494985	0.678084559522831	0.615976247916673	0.913208222378984	0.815099296579344	0.768932629678925	0.562533764250446	0.493852868102795	-0.352300334200618	-0.0754931282351067	0.8516188300471	0.318706471145	0.801997217596478	0.732862745330716	0.932635859618054	0.558080901871382	0.72192543008613	0.172773311079482	0.835601636668023	0.758164795655065	0.031350000255337	-0.202336309488089	-0.157080528685447	0.516994574271104	0.621503642997269	0.297943254265251	0.352585969358078	-0.0553011210920465	-0.51767820769226	-0.742902927786228	-0.121850512147775	0.0568712872708231	-0.660819572931662	-0.262057366042153	0.806859610563629	-0.334031941520721	-0.664021929541134	0.0073814173897762	-0.429786235122953	0.944662673860269	-0.537226639883858	0.368253033478634	-0.553824472089652	-0.489404003310826	0.552632902952486	0.297396732761002	-0.504678539809425	-0.613005182000329	-0.426073108785512	-0.383103310433582	-0.0174899937200435	-0.229604855894729	-0.621644293715815	-0.351689751105045	-0.529875190277252	0.820047026727465	0.054132085795979	-0.535809761527541	-0.487624183737539	-0.681090254141276	-0.606244491270548	0.586045548341021	-0.475710108460792	-0.12473530449663	-0.287753732145996	-0.508197746890419	-0.424778029120976	-0.404430965842004	-0.113865047901465	-0.519523933068711	-0.611497128251647	0.617017567712172	-0.402663444115298	-0.585361601090811	-0.381417839775856	0.217295011766198	-0.477637160382686	0.432457083598956	-0.621213831090022	-0.659091527500758	-0.313447640692229	-0.390436946744951
CD8B	0.922974398670424	0.911089538498628	0.485679184132063	0.925040520949974	0.779178680054765	1	0.590937076162891	0.467093698206708	0.891899973118169	0.679419809479229	0.687971567125529	0.801537976975573	0.852558771471619	0.730887809202325	0.79866256140942	0.807359429872529	0.802402966788088	0.600139129968081	0.348654901093691	0.856894403699283	0.663313361021973	0.758981236709165	0.56496431305572	0.600899779255911	-0.37262222361646	-0.0942558229354415	0.524858106361575	0.464158658722707	0.739628437808073	0.761813403817793	0.629798598404072	0.268095278433018	0.806385984490428	-0.150700087548932	0.661711969202919	0.740026524606878	-0.0946858503450558	-0.433404424770014	-0.369899741754464	0.29114367123478	0.228576405983896	-0.0430591630174988	0.086754858255493	-0.184410940808485	-0.532503921834551	-0.722526979287573	-0.28524090967123	-0.0178537945241064	-0.709714755745782	-0.409206930488775	0.580966027588983	-0.42582495686402	-0.700067501794588	-0.225428372142221	-0.503423791615029	0.647941115819846	-0.633054542676603	0.30755739397877	-0.633298720637071	-0.519721132232453	0.160795507413092	-0.00389128467973558	-0.588048948550122	-0.673994275162232	-0.55307103709626	-0.477282972001651	-0.278127660869919	-0.333768175715418	-0.649186312699428	-0.476771282997806	-0.624241996581446	0.647646560104434	0.0741697398359219	-0.618530596582128	-0.553081354775371	-0.676231468595038	-0.651821319389838	0.668160562054611	-0.562063337220752	0.0574378010257194	-0.397810136321022	-0.58133494762709	-0.504476745897674	-0.561031307042059	-0.382472120033344	-0.595618587400636	-0.656817909374295	0.288573147738252	-0.474850871976742	-0.654029018906789	-0.583833983240606	-0.0411177995379659	-0.523111338397877	0.307756540788857	-0.67892020567736	-0.663147012563972	-0.352573998845967	-0.464182569587206
CD247	0.546630252216768	0.486876537310715	0.577296300675087	0.450475253223268	0.875542553737871	0.590937076162891	1	0.872512077281984	0.54317243863334	0.912947958866208	0.663783317875929	0.639733602086803	0.697487420051628	0.923558790493077	0.566865121290539	0.546399489977399	0.412068181955964	0.416090751853254	0.407992701375197	0.780421396130971	0.692059285857247	0.473237592421068	0.33397666184762	0.227015776618119	-0.488806859751873	-0.194313515965903	0.941133174047644	0.0396263380084491	0.518431070361849	0.422158302271718	0.902789563735304	0.423934187438158	0.456957971124444	0.113437638804745	0.671712682229464	0.431931580444614	-0.106910206199493	-0.22019086687139	-0.183276182444304	0.240745138758227	0.534247224737602	0.201217582017111	0.282814644944778	-0.219531856933416	-0.600767608763286	-0.673047559790362	-0.16589507951973	-0.0643239936633534	-0.546598766836644	-0.380830899121	0.829951540489996	-0.455281728745413	-0.647075856125053	-0.101261284613431	-0.516802299095763	0.926820425954802	-0.555193150441267	0.112733291861728	-0.571596603529922	-0.563620122233266	0.451287647383625	0.179225526334163	-0.534970472110929	-0.599066284668228	-0.458532212089347	-0.439295099787712	-0.0876220393932688	-0.338448029822493	-0.598685732111852	-0.400267798318555	-0.562680241210249	0.791943414152041	-0.20632523655261	-0.527313988942064	-0.505736513925874	-0.625869272156461	-0.610949548968791	0.277772509157321	-0.509952282514303	-0.152714325298497	-0.378625280553246	-0.539322509227225	-0.476293319716721	-0.455129101095943	-0.137882422794712	-0.483340502389096	-0.606767400608429	0.592654215965951	-0.45786605710044	-0.602104994838359	-0.45250140394535	0.167334346036397	-0.491350779038925	0.341176772179252	-0.612577476358625	-0.63584062620435	-0.344909501202331	-0.401917134300689
KLRC1	0.381186415317468	0.324828966606303	0.840168414159462	0.352885100868569	0.681865293882584	0.467093698206708	0.872512077281984	1	0.420047257014842	0.930853288070099	0.463627199574949	0.41820160729604	0.554952495836396	0.786240915321527	0.570256918707415	0.382068726017953	0.320161350550642	0.244874564279508	0.170035572819449	0.696053300313153	0.560277055630277	0.274077078885881	0.167191644151139	0.120195125171074	-0.480563520396532	-0.0889817268300649	0.879121997324768	-0.0880388457162603	0.304165909338538	0.221071786702535	0.761572367552753	0.347659942844489	0.307518640756504	0.0532677960347639	0.560935302991111	0.239397600436944	-0.111671081988605	-0.169795498420149	-0.184229111955181	0.073670068235529	0.356811759061295	0.0632119202780329	0.128065961676282	-0.274768408827606	-0.574352250503201	-0.601207170127195	-0.105454808737053	-0.13431790665788	-0.427203195715846	-0.423578058429451	0.801645597471758	-0.444920275555084	-0.585768495231085	-0.0780282983066284	-0.501374872038208	0.73602689513017	-0.481827839551694	0.00967362966509699	-0.537842465996193	-0.529736286218239	0.288584176094671	0.0521562069050278	-0.510534939933275	-0.555854666038102	-0.448175621520325	-0.427975047137723	-0.173633696815755	-0.356983488015114	-0.554002969815917	-0.392504565686566	-0.52653777746079	0.803396167312776	-0.242751706761301	-0.493718034367861	-0.473984440443457	-0.56566053266723	-0.555247500994283	0.148070154412484	-0.478844921527337	-0.111175922303011	-0.383241330818589	-0.497561329031526	-0.44140305549923	-0.46769451018443	-0.167882117126484	-0.357715066349021	-0.552050858213669	0.491595770000321	-0.435443467360867	-0.566189579984002	-0.498917974330439	0.100276768470762	-0.452399496140141	0.409843869278551	-0.566307927640059	-0.582843736260882	-0.348352473390184	-0.407398035680557
CD2	0.987242444380352	0.979244971111971	0.522210366414045	0.926316566511745	0.786901866645686	0.891899973118169	0.54317243863334	0.420047257014842	1	0.654507039601718	0.770014746990174	0.881847120239378	0.954871467315795	0.757494022847866	0.88922458213089	0.932339396805648	0.955849151121667	0.70717777211812	0.499573153762429	0.901807535218783	0.854534510171359	0.859954048955705	0.592238092337738	0.835234588246536	-0.299735067440585	-0.0581845240636748	0.468629105642213	0.676150613792811	0.827109983669955	0.874958448231667	0.69206585799672	0.395890908959637	0.734400859116828	-0.113221463690593	0.755285807714579	0.832077524985497	-0.00234728215593953	-0.425714249538021	-0.331511961626959	0.451531054271002	0.282453330789227	-0.0106838565280168	0.143315715650687	-0.130119599373663	-0.47697941577218	-0.720693722476788	-0.275789378137901	0.0849875791085576	-0.703994887325104	-0.299036087576526	0.461817649306158	-0.38752234777936	-0.681543734211611	-0.116301599582927	-0.441926173661127	0.656031936530039	-0.573792905666936	0.455613621127508	-0.600312930174768	-0.517460296030298	0.191801414988349	0.0950851900674426	-0.556419199742585	-0.652517894915163	-0.522370285403341	-0.441627727274228	-0.246071683755511	-0.291783796538127	-0.63557185851368	-0.439430607478335	-0.600438723800523	0.569686387725486	0.294960233109068	-0.610937656155631	-0.53925669613565	-0.666607853040925	-0.62844572254529	0.883212431067918	-0.534356120514243	0.028857131744205	-0.347616517227399	-0.544578260501504	-0.468395181518975	-0.511560497260561	-0.318499045583842	-0.535477103610441	-0.645325829517397	0.330263893506457	-0.440644678106174	-0.616600842076491	-0.456126823564917	0.0733058705636746	-0.514862314629272	0.306982835588559	-0.651797093433575	-0.626639790369491	-0.328364953016747	-0.411210114009242
KLRK1	0.624575294363682	0.572768248936558	0.824005655350307	0.589710141324004	0.847230422607176	0.679419809479229	0.912947958866208	0.930853288070099	0.654507039601718	1	0.665217925181896	0.6570746416118	0.757063912194958	0.916280413998856	0.716343016419014	0.591384355833255	0.540340909613027	0.457024256548338	0.347660935067164	0.855208161932539	0.73376081289921	0.528429132900661	0.354315468034275	0.321119457649882	-0.467297779846422	-0.0894219514891325	0.897572341504876	0.119394490129121	0.550930057361559	0.458139600287145	0.871140336806871	0.416218502996984	0.507967254475915	0.0558885017232103	0.745032698321084	0.467481072896413	-0.0748303114139744	-0.253365016907983	-0.216336056205578	0.232394989671703	0.453786828644372	0.102947811106143	0.185755631257422	-0.237011731183116	-0.612591336845747	-0.725439061508164	-0.138021742036138	-0.0494299670405532	-0.574413772258949	-0.426348089207743	0.841179247591516	-0.468916030465115	-0.684793507437081	-0.0667674051590396	-0.530024455902669	0.872018189587755	-0.569259627618158	0.13960609487069	-0.612020196722614	-0.573390168993317	0.361513534353477	0.122087283139426	-0.57438899602946	-0.648363069269161	-0.499903614922938	-0.473327773882351	-0.171618713348227	-0.354449319958693	-0.648240792046172	-0.43449044046414	-0.60062420749664	0.857915940203123	-0.152322101440272	-0.582362142977875	-0.537747799091859	-0.674434396321759	-0.63776668668017	0.377223163848112	-0.537173548030529	-0.0757052299461365	-0.395759747604824	-0.558043778297001	-0.487411783950134	-0.524729290776809	-0.211339202884945	-0.469604839956246	-0.642087718900898	0.542655966936273	-0.481992931177374	-0.646396278636481	-0.522177863371942	0.124375042658039	-0.515473231972846	0.439217643534977	-0.66152238402722	-0.670812381753271	-0.374523960654947	-0.447468177692365
