""	EGFR	THY1	GPR37L1	LRP4	LRP1	NRCAM	ITGAV	ITGB8	LRP6	LDLR	SDC2	SDC3	GPR37	ADCY1	ADORA1	LRP8	C1QBP	EDNRB	SCARB1	SORT1	AR	TSPAN5	CHL1	ABCA1	CD81	IGF1R	CD9	CADM1	RIPK1	CD47	CD46	CD82	CNR1	NOTCH1	TNFRSF1A	ATP5F1B	CHRM3	TYRO3	IL1RAPL1	PTPRK	NOTCH2	TNFRSF21	KLRC2	TNFRSF12A	LINGO1	NOTCH4	CELSR2	ADGRV1	F2R	CD44	FGFR1	ITGA3	TFRC	ITGA6	CANX	INSR	FZD3	NRP1	PTPRS	ERBB3	TLR4	LPP	RAMP2	ITGB1	RXRA	KCNJ10	CD99L2	ANTXR1	NGFR	PDGFRA	TNFRSF19	KCND2	VANGL2	GPC1	PLXNB1	MRC2	MCFD2	PTK7	APLP2	MCAM	RYK	PLXNB2	ITGA5	S1PR2	PLSCR4	PLXNA2	DCC	SEMA4C	TSPAN17	IGF2R	NCSTN	LIFR	SLC16A1	AMFR	PLXNA1	PLXNA3	TNFRSF10B	ROBO2	PTPRA	SMAP1	EPHB3	RACK1	TRADD	GPNMB	APLP1	STX4	JMJD6	CD63	AXL	PILRB	SLC16A7	ADGRE5	SIRPA	LAMP1	ERAP1	SORL1	LRP10	HLA.DPB1	RPSA	NRP2	CD74
EGFR	1	0.915776341840856	0.744006403128773	0.892841952580594	0.868256336403361	0.882606458061721	0.871521390110297	0.934394755914657	0.915331898958385	0.917045462475608	0.819051774445642	0.81194583564564	0.841481205250013	0.892710708369128	0.774399695158357	0.887995742388115	0.902703823403836	0.714321465158758	0.800866247967734	0.89944582480815	0.824972656704612	0.919550106504124	0.893682326507856	0.684506790748191	0.861388445037439	0.782155873423398	0.871319003599034	0.928854850854528	0.896265590114466	0.946182684858317	0.793404671108429	0.882815871792655	0.72626862074504	0.866793366375991	0.834194366252031	0.891555996461151	0.930301715699919	0.899328872947057	0.702984709728298	0.746313444100173	0.906836372686389	0.921879812305496	0.788556973868614	0.676707806788265	0.850024767671036	0.741781868010247	0.878186384339054	0.567306643186274	0.8341164892402	0.468926192323961	0.954582775378264	0.862425613942526	0.929152525952619	0.700626899624366	0.940130094089268	0.656503341889691	0.870573075128978	0.775971321667489	0.870098196176834	0.703246256804862	0.818339269303112	0.923243157106615	0.825140577633123	0.921239079264181	0.848387485780767	0.738695732072619	0.904555751765539	0.90676621921887	0.684086953212176	0.770143778949846	0.910555242690601	0.857105572017153	0.816748998216365	0.869295713729259	0.705478594313321	0.774557656455323	0.915315847803092	0.935433130274509	0.930198746247056	0.69476604562884	0.941718615300481	0.894021514263143	0.797359044094963	0.778283611928301	0.684759798016796	0.650633846508094	0.81298999345171	0.816101752941054	0.847114292687773	0.856510041711208	0.912852907213129	0.868025494368087	0.830277773094911	0.891510487545805	0.885588423794967	0.879083363377806	0.866954818895762	0.888220222662032	0.894135535127575	0.895399485931436	0.877282317992142	0.866438553144991	0.803899979201627	0.502135442958581	0.911798219395358	0.89104105101901	0.831370178950129	0.913228351932826	0.773081137862539	0.852985375153166	0.803497317698725	0.865325431439398	0.702611245223893	0.900317578617496	0.834509335993142	0.597890594727883	0.882884054160044	0.29390266115792	0.848080656979561	0.71291853394077	0.329303593793052
THY1	0.915776341840856	1	0.843150656243828	0.923906744240956	0.906792156821353	0.894942724407702	0.87550212120364	0.927150585346262	0.885344005511425	0.856103292146811	0.81251423137315	0.864628156293536	0.882251336996606	0.921823057210594	0.84051100434087	0.853790959602821	0.945391720491551	0.755106173585386	0.727601267482508	0.879068485162397	0.82880119380111	0.932618489924017	0.902206463271968	0.639472262863395	0.935852052719012	0.712143582469567	0.91221356407674	0.883371876481652	0.858698565605956	0.944340185604847	0.802016583111506	0.95184638720979	0.725989367748624	0.870991165571857	0.843257900402266	0.936868561565248	0.923481780649461	0.946230579456815	0.741871030593632	0.779840626205754	0.887703479162994	0.941651078147712	0.867921253708197	0.620985988039511	0.916281841559389	0.803100019515823	0.904807721065573	0.611225088446684	0.822820834372289	0.335818979788308	0.934181409437431	0.864508197155045	0.899874351828637	0.735371473406821	0.931400448216608	0.702810631611904	0.865560825565402	0.666838032967065	0.884925569295513	0.762595709829085	0.777790930050433	0.87831819034148	0.921579429164329	0.898097284429602	0.809204907398433	0.803864784732654	0.900941428164416	0.911643921452362	0.749965330464152	0.816115573568076	0.869084760887249	0.905479413528445	0.813238031165517	0.858712997413351	0.70927989144535	0.716756457869959	0.925801292709368	0.895557380899397	0.928656695324729	0.739688553144363	0.925412542017741	0.827642314110248	0.76009761945207	0.85080745682704	0.725025485747336	0.738879913911192	0.817396602383295	0.807199817598121	0.875362619076406	0.825842356486004	0.909146720123273	0.887476419607543	0.746314000728192	0.897811338155898	0.808754914772817	0.838232742267093	0.825935343580343	0.893370791207613	0.925080746056072	0.959682585286844	0.863256454902223	0.858468277552627	0.813599107319772	0.445357843159303	0.950753311114035	0.897081647926434	0.798838599855371	0.942730402666489	0.724274943156855	0.80795205033776	0.841365777088337	0.8589293054293	0.729575885318959	0.926975532402883	0.84191992776635	0.512680816249506	0.867811921162983	0.222998065233081	0.856908141212084	0.673795253263648	0.236675873571482
GPR37L1	0.744006403128773	0.843150656243828	1	0.905232329102141	0.928408600181101	0.877080944286697	0.894467449930372	0.853490888279792	0.83683452900332	0.708764417558646	0.732792406494268	0.951888384025617	0.879156942805566	0.896884593753581	0.930277193663516	0.756438007119455	0.72206221972543	0.860441664712674	0.544494462278689	0.799995143531462	0.827082135990252	0.75554159683855	0.864875369563456	0.637705580971424	0.893492226253297	0.665994051460745	0.780130050197007	0.70848938930851	0.729217945495282	0.794653540550953	0.802874344292096	0.796853300533311	0.765133882385686	0.889962122286207	0.766787214438319	0.736547707918682	0.819466651724105	0.88223305226366	0.802029180918916	0.815455948067506	0.827596112440783	0.871835193353083	0.813919056997443	0.327245855780453	0.882680434096568	0.804466507379982	0.929464751506893	0.782502125377731	0.772240446316127	0.0610968398437841	0.797894587382917	0.802885356577752	0.743724383236521	0.867075202086307	0.810524773585236	0.766753984912326	0.844668938637105	0.372765811536332	0.826191894669185	0.935394861470783	0.747436591233534	0.821007943690996	0.80833128855603	0.712926122616436	0.781940106872838	0.958436061266606	0.826323836756162	0.836282585867159	0.844168400186408	0.844759384346457	0.739121850853048	0.917095030036496	0.811912928197253	0.606888012341564	0.863983150040234	0.717491499815998	0.820776351227392	0.754500989194939	0.794652409716921	0.750974811446688	0.778662665490311	0.668014568074485	0.552813764823526	0.912412499683757	0.871235280801997	0.804190007494876	0.803811511884537	0.729366269985115	0.705935800861467	0.789486154678168	0.822320553025155	0.904874949711234	0.463290752256953	0.810414077182608	0.556210291452077	0.713136286345654	0.670529314119568	0.913369059706868	0.914189957110851	0.823392645905947	0.738934192229776	0.582027484920369	0.629179054817544	0.280738189594275	0.830026391947759	0.759699331506246	0.609705717619082	0.727862543864194	0.671928933566218	0.774928325177417	0.789119498721626	0.699408677114715	0.86412698120222	0.858938880210723	0.8089987282519	0.550399038495624	0.823329136389742	0.239819149937004	0.578459549598978	0.713916532291656	0.2682853048565
LRP4	0.892841952580594	0.923906744240956	0.905232329102141	1	0.97568912575746	0.919948783118086	0.907337610299493	0.960100509173884	0.946546207390681	0.855282080358416	0.754713425969533	0.920871877149568	0.922024477568671	0.956031451898416	0.88273709303806	0.883536512716604	0.82692933995058	0.775002166124182	0.658842111435317	0.881539987458823	0.879696323887573	0.849950486914099	0.903003730422663	0.686862152335211	0.892015143726817	0.802179919502129	0.833541223590745	0.834063203036924	0.86446456727309	0.905137931377694	0.889539229726308	0.917034355186816	0.760215583209252	0.922668783090907	0.815708586251376	0.820004836277157	0.947004419370437	0.961678737139498	0.858327668183865	0.881012181746963	0.90759521199789	0.923425410347319	0.914671061827771	0.504001149594272	0.935158794025375	0.775146738491172	0.956168341147643	0.659684048854702	0.820639828971904	0.262294516493973	0.928609679714149	0.866324776172789	0.878937554564841	0.782122027100991	0.905659817023217	0.778881534286155	0.926901367243329	0.577356221499449	0.933533683115151	0.850040967614372	0.829008214373512	0.919712248272535	0.836555624676112	0.852110722790715	0.87011244238408	0.900382601910876	0.889672768157492	0.929315722978047	0.747787965166133	0.91136984856571	0.847851474215467	0.944322031155255	0.903450672106789	0.755146270775789	0.841816778924052	0.757049563923399	0.909709683107666	0.895393596788695	0.895403053558167	0.77040016731421	0.911400067534468	0.811611276002028	0.703243633841998	0.907244674693883	0.819077618104405	0.787015579578149	0.908776748699969	0.828315273381862	0.802336705070083	0.875762893095327	0.896218694568964	0.928481062334472	0.646434982083597	0.873445850585722	0.75652531260362	0.827540161488245	0.820627071368613	0.946546332087015	0.946101336768569	0.888520771971325	0.811616846523777	0.718693255567602	0.747229272983894	0.421890902062113	0.909937670658073	0.859862764442154	0.750540383790201	0.833141052439834	0.720326746938143	0.876714059849391	0.895971273941007	0.868688500634612	0.774103497567847	0.917633252101051	0.894016282991065	0.615489630409136	0.874806693999913	0.312853237763133	0.703165841586459	0.735161362741272	0.356513843164462
LRP1	0.868256336403361	0.906792156821353	0.928408600181101	0.97568912575746	1	0.927360601655895	0.917875995544905	0.958242557366214	0.946191897859387	0.835512123102007	0.753449844804281	0.942194724492219	0.91285401472679	0.952258504141439	0.903546524420537	0.854462602035606	0.799187407210801	0.798500332024824	0.668720155146255	0.87822641742117	0.909780530164111	0.827948196403557	0.904038621867048	0.722048094673089	0.906294569075559	0.821752940199325	0.845968118733162	0.836969422948597	0.852699016642063	0.901010172210965	0.921515913387893	0.895481759643095	0.802868545535009	0.931537561702368	0.833885735807303	0.802742093078175	0.939387309429126	0.944017935043585	0.869809922624234	0.872814457496046	0.925407849780049	0.908001997806531	0.896076098498379	0.488407701709344	0.950964975582677	0.77636590939764	0.957929717630675	0.684965687197543	0.837039406957293	0.26938589628326	0.926665544165831	0.876540464008051	0.867411458180588	0.811301558760996	0.901502334588918	0.799405388309832	0.940542063702792	0.565740044403153	0.934816530904131	0.882475089568154	0.852855722374823	0.929283720988898	0.83885593201633	0.840087114160174	0.880984103245735	0.923285317619882	0.891189324954933	0.929676514528966	0.743278213801504	0.918952383872685	0.849805344786197	0.936478607873464	0.915833571831427	0.737345252666432	0.860131247266041	0.786157222511725	0.916778941658178	0.882694090372093	0.890409261869546	0.787378544895332	0.906813185937258	0.804043690668996	0.711017430877549	0.917713540494	0.858775088597319	0.803672228198469	0.914056435335091	0.822025827532664	0.786811006684969	0.881543368625933	0.906761966247977	0.935240628451592	0.64042079502702	0.883781632933971	0.728240953632746	0.847412080193692	0.808516416735142	0.962613313059764	0.964617198011989	0.885688663758842	0.817384176780158	0.707942105830489	0.760896056123879	0.446870301731192	0.889996360679052	0.861279705236952	0.764825023278845	0.817515454608623	0.737020303425739	0.875012528359975	0.901706148386927	0.860076034475765	0.808338994004777	0.918782716922045	0.900198620045158	0.636789641225172	0.895662239185749	0.343629264829081	0.671145478470862	0.772901198049997	0.38653484820954
NRCAM	0.882606458061721	0.894942724407702	0.877080944286697	0.919948783118086	0.927360601655895	1	0.978263156175673	0.948280288371769	0.926351190935374	0.878040722150632	0.911420369414041	0.956284882395714	0.948008897107032	0.879722496884211	0.93044914604205	0.854218127595491	0.85992188222393	0.91305691103428	0.820764039356089	0.948217413380312	0.926518864587882	0.883013494318217	0.979815275336987	0.85897977807726	0.942661409899107	0.85744943985892	0.907818672367292	0.910920558926477	0.917218531338081	0.938260550120253	0.849023307125429	0.793581619226564	0.90470048359918	0.945688691245458	0.937809468282058	0.869669732851665	0.932735105567913	0.885889535727154	0.739545155469731	0.821866417499951	0.957387833384867	0.960429127640264	0.753765379958407	0.611386979055892	0.835406725474942	0.831627267318737	0.947094567347327	0.826886658717533	0.934964502661602	0.448098272051148	0.930450121309992	0.916728838595949	0.91648089042749	0.897061377723036	0.963573134769856	0.779006003127271	0.948659325943146	0.699006252777808	0.856416031485692	0.844456926895712	0.857304040519801	0.943925330259228	0.828563800811622	0.894317650642262	0.931689138428144	0.899351270004428	0.942702463383329	0.949013497402928	0.851256233756528	0.7629423879563	0.90404559930818	0.906140065399509	0.827419441124753	0.843470114889932	0.868505525824813	0.909877850550892	0.959214054782631	0.899271148789955	0.955889561156997	0.766254849079221	0.919469497661313	0.907451520659509	0.776968292549466	0.842176848366419	0.882058006490283	0.769040645882973	0.807801828639385	0.863230728362689	0.776485679585874	0.934758543135687	0.950341489824082	0.977838426939426	0.776153654867505	0.949728371060041	0.81748177301041	0.909805420532287	0.879089440941634	0.962392312605508	0.961728615713596	0.896548504578294	0.813321484232588	0.808990414134648	0.833426739727755	0.501282479401331	0.918244592361392	0.908711623414228	0.812959241801788	0.883751863021433	0.868293595950869	0.855712784044093	0.800098818144314	0.798057754129373	0.902230024589894	0.960786490539714	0.889307192909493	0.701892163547474	0.969697578434586	0.312004718215246	0.776235509020348	0.891181950683127	0.35609890340522
ITGAV	0.871521390110297	0.87550212120364	0.894467449930372	0.907337610299493	0.917875995544905	0.978263156175673	1	0.935166126101295	0.921544334613111	0.882408411432187	0.919208894871501	0.961906293319136	0.933873764252061	0.87732019782172	0.950555331647724	0.859011262171483	0.84533379364665	0.943780261657704	0.790133369805209	0.939876872545989	0.917058885040978	0.886471109710167	0.984841253348365	0.810968443573119	0.94226891984442	0.806054170368242	0.88930469634498	0.895474288576301	0.884300304016375	0.92063476540643	0.826403922341965	0.770342121612287	0.894886920938878	0.951967992151668	0.904593347415106	0.859669235964372	0.916732068701897	0.870797895115856	0.726162222098736	0.796875083168661	0.940476849911806	0.958086404236017	0.728541194332973	0.559357169006059	0.816938512518704	0.829385726186188	0.95036339296708	0.869380256724526	0.926287679259276	0.360171624831375	0.916301367311034	0.901814446934753	0.899504759931337	0.929592927485491	0.953313564274388	0.746002422541048	0.92906179801092	0.660471539217027	0.852631121469969	0.862124211171499	0.872745458185607	0.93455598556157	0.813590197979815	0.872579064219522	0.920771496999779	0.923081048274944	0.936306671865811	0.941312001796712	0.882841708320164	0.746090006169616	0.893375949714317	0.911925446635246	0.799484238863762	0.799089206740374	0.881049844242062	0.912191236351063	0.938626744882844	0.89318991519658	0.942461361130725	0.749422295883584	0.892610758635558	0.880443817461316	0.728970640679546	0.835385723771229	0.878134318145678	0.753598858482777	0.807450211175513	0.807772348413405	0.769748259089875	0.919439919535685	0.941644751483298	0.979407496711282	0.735189526983172	0.930033674224391	0.779567134194216	0.867797508859662	0.844856382880212	0.971484074817751	0.963603534571936	0.877671883866093	0.811296446582583	0.775842480956566	0.781234541690517	0.434020465328564	0.909126464452967	0.874906063612722	0.766496340070976	0.866235857844786	0.880258044765742	0.861367654056481	0.772508458591517	0.749636857663931	0.927861723379044	0.959537366817046	0.862892498140146	0.734685773510008	0.957779669224324	0.333295389327068	0.753121748396928	0.884557127148354	0.390869671197595
ITGB8	0.934394755914657	0.927150585346262	0.853490888279792	0.960100509173884	0.958242557366214	0.948280288371769	0.935166126101295	1	0.976961332747456	0.905707341424472	0.814183634345404	0.91424071057599	0.920642946249895	0.940248837054693	0.87746016936002	0.910777173161704	0.86895759561629	0.789579192605941	0.75932484845188	0.93582811092618	0.923231506742538	0.888356898838129	0.938440874190835	0.756596359858372	0.90044039715121	0.860836836523475	0.858514472987087	0.908944187889574	0.914304214848571	0.949939218636749	0.91198467735759	0.893402226736452	0.812654458214939	0.944564406078992	0.858687860798671	0.856525717703167	0.972880384679901	0.942272337253882	0.82683723110995	0.856386301272282	0.947748959601812	0.944603173070153	0.849301014493799	0.593626603414822	0.910515847140059	0.795922764420764	0.950345556085417	0.678643664289212	0.88165016640834	0.383626331020001	0.970270332127846	0.906693130026614	0.935172072084533	0.803855324118617	0.953861678053991	0.783084348612082	0.948349015193005	0.701539310022707	0.933638709094557	0.818146182164494	0.888508954275301	0.969164812565383	0.842090795041903	0.917645833115417	0.912796411811915	0.870540727139824	0.937256543457031	0.965299981062172	0.74688998102654	0.866556038147693	0.905508072853789	0.929372149027042	0.905178531405389	0.823738554679815	0.836900573110272	0.832511459587946	0.947545307717816	0.940038811055395	0.946644894258632	0.78555201336905	0.962147672628222	0.887778478179381	0.783008907428507	0.845936181675565	0.80789652810086	0.784051493139357	0.893291104000129	0.854744125691291	0.836212850829049	0.922719440267191	0.937420321078349	0.947865334091305	0.749867050624969	0.915324049383239	0.838315982281029	0.901996381513373	0.872907108807224	0.966805190580793	0.963764940422941	0.896598049212904	0.847070573978592	0.797089921883752	0.811155129355289	0.486754198068656	0.924867212384615	0.899286991147304	0.824352256142943	0.879299179918248	0.778797365598654	0.902736254305491	0.895048649388539	0.870603300187769	0.792556333908779	0.93957045673006	0.898667022292241	0.677365838037647	0.923601904321258	0.340514121002329	0.76821303168341	0.804444671946256	0.398924947830085
LRP6	0.915331898958385	0.885344005511425	0.83683452900332	0.946546207390681	0.946191897859387	0.926351190935374	0.921544334613111	0.976961332747456	1	0.907050230338037	0.7796397421764	0.892124659319047	0.900778248291171	0.916769838846927	0.861858118444277	0.910586115229774	0.81626816731279	0.769521695450771	0.748901041697385	0.916836864094972	0.924536347723104	0.848480245660767	0.910287259668059	0.743978681670858	0.862271201975245	0.869718501672913	0.823223647841666	0.887877952588367	0.899873188563801	0.930672519399751	0.928256378179152	0.865388980351951	0.803102480935068	0.939181996304775	0.84155617501349	0.811779606712533	0.964915454441134	0.912487737582334	0.835857783780319	0.863849748784534	0.940459063123223	0.905053137422213	0.841299634885577	0.592423714210011	0.882651726353746	0.768966794292752	0.927737767916321	0.669450831798423	0.868930433439244	0.391390771491727	0.954106053349595	0.891617346758573	0.920077275668496	0.797797728437949	0.927548971779201	0.78145098799465	0.954211088759705	0.694999478620833	0.935232754702849	0.816524666667366	0.888631918601043	0.964551620555186	0.786897864073081	0.891418103995231	0.915675080865359	0.864453166767979	0.903812703508732	0.942197605816155	0.704333916497243	0.868392718877662	0.892771688795027	0.910091889812445	0.899718237804297	0.779404769834632	0.844710055769368	0.823404714186939	0.923241547425728	0.925619883364841	0.916749719072438	0.774340918301857	0.9364938862184	0.877382102365076	0.771971241655458	0.839520304306293	0.789895479360387	0.766049701462211	0.910191729828724	0.845788272955476	0.809897486306528	0.913583325310004	0.917215205098123	0.932537814392146	0.730806419475565	0.891184505981309	0.814821369052042	0.880626076752585	0.857652483474047	0.955935853859504	0.940458614842885	0.866688448224786	0.819037261912798	0.754227566231616	0.776064237902724	0.482253794762336	0.887970421488322	0.887224015472253	0.817700754274448	0.835182936002859	0.786870549591568	0.927490450259021	0.882094292327652	0.879360887311832	0.780860177977945	0.915435770253999	0.902270495522388	0.706097877535712	0.901222360180616	0.383143520345909	0.712870443410372	0.810624550239769	0.444399020315835
LDLR	0.917045462475608	0.856103292146811	0.708764417558646	0.855282080358416	0.835512123102007	0.878040722150632	0.882408411432187	0.905707341424472	0.907050230338037	1	0.830781031145765	0.803415813125545	0.840725037964302	0.818811349595234	0.77595394783789	0.928635337922758	0.866622248696551	0.745754496665146	0.805302058343467	0.913794591972442	0.824637383751129	0.914673485598807	0.887194152185558	0.681103185348883	0.825483804329549	0.783074604515192	0.828400033985247	0.93430364863656	0.875795593608025	0.929117250259045	0.789719311650949	0.795718411462785	0.729241691717997	0.868940922713769	0.802033028836271	0.869388132969413	0.913206267757307	0.831226647718412	0.694517507642311	0.738620489079192	0.887923615978927	0.878185899465665	0.72201100627886	0.659455650104936	0.761175518969326	0.700246394261142	0.857740235409796	0.648949560542004	0.865967038058044	0.469020915740025	0.947788832564596	0.85750468846564	0.899030812396771	0.744515334415261	0.926853701275025	0.628436986253801	0.874512815623686	0.764524894812073	0.866471566064731	0.688623875433868	0.830945286005613	0.90955826972377	0.757527171910289	0.906445760230933	0.877655653447113	0.755721015577422	0.886437026322831	0.901957481147329	0.70349014092123	0.731971834521448	0.90540501559357	0.836106537885236	0.77806386309618	0.850593663059696	0.716829967091483	0.824586662874325	0.886923611848061	0.949063970424345	0.920207931376428	0.683451822545682	0.886484205973892	0.900781407546	0.765406567355821	0.712706386900965	0.711384290859855	0.632749540771757	0.817957754179425	0.769718021564982	0.800651417526261	0.842475677399491	0.896869328985322	0.884123267255234	0.814641361580887	0.867584412089951	0.879962866681062	0.8466848593734	0.861159167959997	0.878963927232743	0.872110566437755	0.852310121670268	0.821377250740625	0.832537921645487	0.775385868783681	0.450747107853557	0.887880957542849	0.844607633798298	0.826614114483214	0.875437824911993	0.828152675361379	0.882591457156575	0.752603756468054	0.805066149057972	0.725640689096466	0.900547748160433	0.824377745370408	0.69322618402724	0.877444157641176	0.378019759526259	0.812484733112995	0.762725711043799	0.415187403696612
