""	PTPRZ1	NLGN1	EGFR	NLGN3	TSPAN12	PTPRD	SDC2	PTPRS	NRXN1	NRXN2	FGFR2	APLP1	LRP1	NCAM2	TNFRSF21	ROBO1	THY1	LRP6	F3	ITGA7	SDC4	NCL	FGFR1	APLP2	BMPR1B	LIFR	ITGA2	ROBO2	SDC3	NOTCH2	PTPRA	NRCAM	FGFR3	DAG1	ITGA3	ITGAV	PTPRK	RPSA	RAMP1	RAMP2	SLC16A1	ROBO3	LGR4	CALCRL	SORT1	NEO1	PLSCR4	NCSTN	TFR2	LRP10	PILRB	DDR1	BMPR2	ADCY1	CADM1	PTPRF	ADORA1	INSR	TRPM3	ITGB4	TMEM67	FAP	LRP4	PLXNA3	PDGFRA	SLC16A7	CD47	CD63	CD9	CD44	TSPAN5	NOTCH1	MCFD2	CD99L2	CHL1	TRAF2	AMFR	NRP2	DIP2A	SORL1	AR	ABCA1	HMMR	TLR4	LAMP1	ITGA6	CD46	ITGB1	DPP4	CD82	NRP1	SLC4A11	SMAD3	STX3	ITGB8	BMPR1A	ERAP1	CD81	ATP5F1B	CDH11	NECTIN2	TSPAN10	GPR37L1	GPR37	TSPAN17	ACTR2	STX4	EDNRB	TFRC	LY96	MERTK	CD74	NT5E	SCARB1	JMJD6	RACK1	TNFRSF1A	TNFRSF12A	IL17RC	PLAUR	TSPAN14	ADORA3	CANX	VSIR	CLEC2D	SMAP1	TRADD	CXCR4	MRC2	LPP	C1QBP	RHBDF2	GPNMB	TNFRSF14	ITGB2	TREM2	SLC1A5	SIGIRR	HLA.DPB1	CD68
PTPRZ1	1	0.974568408829832	0.980570628993287	0.958499806618534	0.955664759052039	0.882217333711979	0.944461433938663	0.875671642494441	0.982961653654946	0.974405891419774	0.838269879263767	0.919095901289086	0.960259744343616	0.978065414497434	0.940925634455628	0.929285287724108	0.961893097169428	0.971466714805002	0.984924411567787	0.962901574249078	0.871908154209063	0.927337558458136	0.829919118175054	0.960176505183317	0.98640308224072	0.986567909104712	0.891741904842215	0.967204087298287	0.934037775623667	0.936971493782717	0.988139756623757	0.994346119596225	0.92896368856518	0.976107176223217	0.889004359336921	0.984312829288427	0.651550092799712	0.904931847494628	0.940326812135744	0.931122139486241	0.91078793739848	0.9790289220452	0.952900329471975	0.973338161784123	0.979240472176323	0.974212638760138	0.95833505952145	0.943893749854245	0.937156614643946	0.93444340453817	0.985234469369117	0.983149669738941	0.953449314797464	0.961899606363382	0.978145536428634	0.935668268309493	0.980365578029051	0.828817846806628	0.979502156389356	0.974692023551421	0.92186009599885	0.883043557965093	0.74001961129717	0.88388772993804	0.962385632409641	0.837291481440687	0.963551508427301	0.987111823609744	0.914204443796006	0.822807253256527	0.966632474244083	0.96163133107616	0.810612550910175	0.884456533071202	0.993270341063045	0.848557332504279	0.693044209130077	0.702890923505815	0.789537826521474	0.76792903378625	0.967457954449582	0.86503407401769	0.886831385600699	0.734474195444644	0.819369870611019	0.970957297451844	0.845921356476809	0.859280019955192	0.78144086544243	0.959513275165936	0.746943552567197	0.718539177570744	0.980062741368543	0.580098315533064	0.994292171677023	0.961952587970887	0.931509287696286	0.625895667701917	0.96586840286391	0.924768869197265	0.826167533356513	0.577223160362206	0.952774771095897	0.922654349093477	0.941612426940988	0.711897693264592	0.768676704556065	0.835892099486855	0.591089968406715	0.336498005633921	0.572162608602962	-0.0508463066492493	0.980290749645066	0.730077871232271	0.863323286033297	0.828796770211734	0.974417924032906	0.913817660923231	0.849183359512713	0.114752507404844	0.653005708218624	0.0350229058332073	0.968236271805823	0.161233263560726	0.204310799110101	0.81138847653125	0.414754388393638	-0.433496665732768	0.974772757729949	0.95946237556232	0.966086103627018	0.567397770541605	-0.0886468077418142	0.644394839087818	-0.116835532151157	-0.0375540961663741	0.507443800935578	0.667556995808438	-0.037190219229129	-0.0183570699953608
NLGN1	0.974568408829832	1	0.957100470636121	0.988162467487685	0.905589027336535	0.875416429374057	0.899292919932593	0.948380821720203	0.971760794015952	0.970469226234189	0.771285860731454	0.891589771368613	0.928486639705782	0.978017886069665	0.872720490388498	0.977979062811634	0.938563821244942	0.950069878735286	0.986310049524678	0.947549579278594	0.905358474768175	0.938880018637365	0.881349847214814	0.939992693163125	0.962176106633027	0.934200915893492	0.834049489845449	0.92840483116753	0.947801504860581	0.973269053151218	0.985062625571441	0.979888466640952	0.916730157320898	0.931174193534354	0.837168083045195	0.969489248963034	0.673114633348039	0.896950363271708	0.882669736806592	0.941249339055252	0.893728158678032	0.952191358897168	0.920636288216744	0.983012596196343	0.969769992392022	0.991392117933986	0.893775847074411	0.883618248136202	0.891983714869559	0.918040271070653	0.956270125113368	0.939399798204921	0.914930828825954	0.951409863429324	0.957010639997478	0.915498045966485	0.964659657474114	0.904062958720354	0.96867254610776	0.943755158220814	0.864089872242366	0.936397362129973	0.612489255754168	0.9355344458942	0.976447235027249	0.758601948172544	0.940289665301036	0.968847249958992	0.882525874243312	0.838551448975092	0.920557092210295	0.926390795226	0.763274893930075	0.922792054720555	0.967644077212879	0.860258015626891	0.747168860682141	0.763094017018763	0.747191135750493	0.810338376501696	0.978074473877338	0.896657206965017	0.909503377429516	0.663929510463376	0.842053964016667	0.95599984241627	0.885622406709197	0.870677276141267	0.72026013464472	0.929858905675062	0.761339549763259	0.63853209692632	0.956540002359695	0.63391959013368	0.954316241303933	0.913607159717566	0.961865347071958	0.651492124859759	0.941701270901213	0.876386431667392	0.850171622939567	0.477295692546944	0.925195893398577	0.882860617977879	0.951290286708509	0.745788510840142	0.855800112772802	0.744772073139995	0.636835165971925	0.391783665358179	0.626758342125143	0.00342330821847472	0.97846816267265	0.711842273675834	0.867202704116115	0.849790997097189	0.973175421184428	0.961561640384048	0.76351625490306	0.17570490952167	0.74395168374934	0.0676317133238134	0.945667146186307	0.220535090147646	0.249352935109635	0.777278488417971	0.480660856894991	-0.35438832340469	0.973254694788507	0.952489050021716	0.939499018090017	0.623966514321997	-0.00149033731064666	0.760945526371801	-0.0490531437342801	0.0137329140983472	0.394433695428056	0.707561312341105	0.0193566352127134	0.0522020177623253
EGFR	0.980570628993287	0.957100470636121	1	0.940566534075393	0.971149944577964	0.938195810793529	0.961592994074877	0.83402671293395	0.988098639512256	0.954618157702082	0.832153107643713	0.916737358975375	0.962342295901733	0.984191754784302	0.9370220491396	0.909146743951447	0.928704288226926	0.919621583473326	0.978610502358509	0.932542583202648	0.883817086114441	0.916730479961401	0.84975132690488	0.962806871165587	0.962513186795398	0.961680650566089	0.84468014456167	0.978895481321178	0.887307760291857	0.909228112102613	0.970032714551042	0.985857469129394	0.925809538321763	0.980341575526215	0.922853015304622	0.959616189127613	0.611187725695825	0.908360847032202	0.912561974698099	0.891313879005171	0.963775849921522	0.986254196718885	0.949328491886206	0.944067082670653	0.975564796105041	0.960515806126322	0.971691234131228	0.935843399506579	0.969973126931826	0.917849032192834	0.986961412745655	0.960935700934547	0.948508552287048	0.949176685607023	0.982270879240412	0.968931539288594	0.973959950823308	0.811460897601595	0.969332302956716	0.940778249447946	0.90066540776117	0.876032312714237	0.801773994939877	0.864131623334998	0.949635291772657	0.894515483441729	0.964300301815339	0.961589011626887	0.965045242548084	0.851815971390202	0.959233963552046	0.941435011048659	0.826156572027434	0.831842297686463	0.992023240394526	0.889868584057111	0.624049191350838	0.759307638309679	0.806607934161805	0.735089279741215	0.955797110843451	0.851901847693973	0.889427909779134	0.697743947992771	0.794163530325413	0.937062701804014	0.836752999770901	0.831540296109693	0.751468782720101	0.96340275292253	0.735336318956563	0.702558207285462	0.975065480774287	0.652472010250656	0.986039102944845	0.969649132023847	0.910039605730634	0.582805304847884	0.957090063005401	0.908173515457951	0.815225193546562	0.669029981384239	0.928066225462734	0.861745791590199	0.904305044218556	0.693007270148854	0.746800369450407	0.865102968107792	0.628577006319578	0.308561855284472	0.523144800499197	-0.0767508238849821	0.968393110500502	0.821202906754951	0.869550479141572	0.867948758719531	0.955091249494111	0.892946030107201	0.887770756858853	0.0812913160793333	0.599811430220603	0.0180361391741373	0.987129547973251	0.132539674073135	0.235797515941161	0.803684272344515	0.385956752772846	-0.421887577399696	0.962410690311796	0.946488172837031	0.94296472138735	0.534306135773164	-0.0789385945662761	0.598999536920799	-0.143804387683613	-0.0608470829416322	0.548628790744224	0.606534141231462	-0.0636036667327264	-0.037131835841527
NLGN3	0.958499806618534	0.988162467487685	0.940566534075393	1	0.890141643623834	0.855552261559464	0.89664951480615	0.934875649474923	0.955637761456574	0.953740041687771	0.773805607126232	0.891311671821747	0.903698731399045	0.963343966557095	0.851422449037637	0.965306356679696	0.931681721894	0.937800455073878	0.972444514759789	0.938046468177286	0.881690269053142	0.91966400369953	0.865483323598889	0.924582692349637	0.943649969180135	0.922259305596133	0.83710984603515	0.91148266554631	0.92740035987768	0.967604507387367	0.974899216392362	0.961583487451712	0.892252428772658	0.919830962352842	0.797242717346947	0.953426901302848	0.671847548422573	0.875328207518622	0.871643156248055	0.923191247166459	0.880539131206121	0.936246869262007	0.907830234027841	0.974132613103385	0.963758196328846	0.980277402045113	0.877739219464782	0.855068369539202	0.879582046397673	0.896566171986832	0.942986592474025	0.933585855634838	0.896068429485613	0.942860920507842	0.942523219766177	0.906415635126602	0.942788378256055	0.899694315338463	0.949105572279266	0.927159775569512	0.859663649761924	0.929329025483206	0.583040230413937	0.921816705301958	0.971726837839837	0.743567299552457	0.926213845265404	0.957969669973774	0.85985715354897	0.826834158561049	0.911944836393931	0.905721365110396	0.730961791775688	0.904621936552044	0.949896001260894	0.845951424166587	0.759112359309501	0.75119008979276	0.730447841613572	0.789134941706367	0.971249096813392	0.881194785322218	0.910557472287497	0.648635608258744	0.81973088746319	0.938546052241543	0.867694584350619	0.851064017746177	0.725434664467992	0.916325601819745	0.727321487876039	0.647797885773534	0.948868649062409	0.613234131208723	0.940829049570788	0.902075265710935	0.944047605386287	0.622711119970254	0.931516429987356	0.887940870920856	0.830305216141263	0.45302424307766	0.918512383277367	0.883336471633355	0.936595512592649	0.723016941414359	0.848311681179869	0.736502674585482	0.599860538229549	0.359863111015665	0.606203839348299	-0.0258389606504995	0.966017246069922	0.674552534618325	0.854859512284134	0.8183314910685	0.950833956903737	0.950894804554119	0.746204870287797	0.147563436046664	0.735221908208938	0.0352444017990399	0.92483596845611	0.191122981551525	0.247408025759603	0.751576993445577	0.465514910175029	-0.345646900265288	0.953158805518494	0.930372894907532	0.92597149894484	0.604752838518833	-0.0204396283318811	0.759048168152326	-0.0734136970681701	-0.0151392682898659	0.356013326205057	0.698921398190091	-0.0126227860210356	0.0234251403408639
TSPAN12	0.955664759052039	0.905589027336535	0.971149944577964	0.890141643623834	1	0.856764324641527	0.931764706053283	0.755873401815068	0.945288292819817	0.892995855809037	0.926982948669704	0.96275650467169	0.908678712623449	0.935088978747335	0.980004064270889	0.818584043308056	0.945769991063425	0.893372098699415	0.93451459408266	0.94893613879841	0.759008628446668	0.867913544054737	0.708224150020247	0.961076995058737	0.932042563169403	0.956830861194196	0.887518072722087	0.975624137833418	0.841158143113286	0.83988753631355	0.94375423759716	0.950994605138544	0.834495795333901	0.960990946324827	0.860960520289712	0.931205955584658	0.474633125911055	0.895648990646895	0.955454845238792	0.834172505289607	0.906522691037462	0.944586005746674	0.974559328360177	0.887278527389994	0.970078666177901	0.89972592539667	0.972424121673887	0.963937131047969	0.960847753334881	0.925173672620737	0.97206287708346	0.961844281317349	0.914656660232022	0.95712793811903	0.977012705060425	0.919249646435318	0.955756064907955	0.707254582112539	0.906990395154961	0.94067745083418	0.942300092692054	0.855772924089409	0.849967184400335	0.751814262195726	0.903345711292212	0.949823225398208	0.977032233350858	0.945220035822397	0.910358791356072	0.835882398277614	0.979893255265153	0.941468552709461	0.815232962409617	0.775747849150115	0.962779662645401	0.90495422106691	0.567432412993336	0.634649564878893	0.756555113957918	0.689727112529918	0.944556417668782	0.751038635564054	0.870095777943608	0.765585833850563	0.769473564780692	0.90767803848582	0.739179868516568	0.791275966821659	0.848062422815631	0.982494332175009	0.651572685057221	0.817948971243144	0.963504169822486	0.49976581568866	0.969417632451307	0.974194342259601	0.874127178683045	0.526539318422213	0.975240462559916	0.928182910492554	0.798537816098289	0.748718956851555	0.952738943287262	0.87988497912049	0.850327191736018	0.656978746118632	0.629590542564965	0.942543855754512	0.474422398890397	0.23905194169414	0.473512768349193	-0.114382370885462	0.928815050519254	0.745288269686708	0.80313454188477	0.774800967378853	0.906925102679601	0.791343939707337	0.953629705436291	0.0269834582348486	0.505514686688321	-0.000532443380022025	0.957450618874442	0.0814502287275531	0.206528135316194	0.856111512637785	0.329201865303783	-0.457852097157843	0.907040486033707	0.882051585186397	0.939787558624866	0.485194299287286	-0.148083532227167	0.495856963747316	-0.185302113658494	-0.0928632501887422	0.567559952109935	0.547046201199485	-0.108801685729094	-0.0999554845962571
PTPRD	0.882217333711979	0.875416429374057	0.938195810793529	0.855552261559464	0.856764324641527	1	0.931220128982094	0.746388469708537	0.941579499648583	0.900992227653149	0.647601297183658	0.754167213242006	0.919020567966445	0.923328541322897	0.780627052739418	0.87623559168698	0.762513797907874	0.794751520167909	0.900636747113435	0.783811522308054	0.931916782351703	0.85682839478923	0.921979434826018	0.858200287475244	0.876823985662298	0.841259738023001	0.646245306402387	0.882102281172899	0.770041241127702	0.839027340063511	0.869091018459225	0.903000201009046	0.916951021678032	0.898572165235644	0.942075268093599	0.856192762732403	0.647310506188992	0.81415638955225	0.735719197119211	0.795009629672748	0.979279166659794	0.925522904618089	0.801368773096055	0.875003190365337	0.86165040802989	0.897070559322026	0.883498462454162	0.8093943202791	0.905223157648303	0.774031465191904	0.900267480432275	0.835760641666854	0.886097104515257	0.797401115418638	0.875491951974662	0.936966734552972	0.873013470988381	0.811537288913075	0.926237422306382	0.802515997059242	0.738848975499601	0.778080261475213	0.752248372139533	0.850053139186547	0.882640433461549	0.80196420338664	0.843214122384335	0.838541150149949	0.985798315292459	0.795981407808833	0.835018801358389	0.799675296002683	0.782627503137021	0.75319996207227	0.919469480296744	0.792857764594955	0.551343851100442	0.843932798087528	0.810673549970102	0.653727423091509	0.824922950636496	0.856702181934961	0.808952420642499	0.502227953669128	0.702372873309905	0.839389568066733	0.844006939380959	0.756206666588915	0.539845354245698	0.83214001041548	0.753461906211508	0.463599279169735	0.87055360342971	0.789118658258386	0.889432477933878	0.865659084558774	0.813199665287873	0.531994647190363	0.817581516741213	0.774080168980037	0.714530487616866	0.597667166370426	0.758696884362811	0.704622043275513	0.819464764157713	0.622297976995444	0.741313057408425	0.724236191337366	0.759484692640476	0.300831156740169	0.447748570910802	-0.0661906951224127	0.886499390060065	0.924965961298263	0.846798934960104	0.900532350155318	0.880623043104135	0.86351547995168	0.761529766666045	0.0807023555744375	0.567832942920629	0.012842039244971	0.933900595291799	0.129657334308929	0.280840208393655	0.651663946748006	0.373735172591508	-0.319531807304682	0.891230589007847	0.904689223218935	0.809820219050769	0.462670439376336	-0.0213686500355081	0.567425111696885	-0.126154091658468	-0.0578890341496894	0.580130420077986	0.526350081606006	-0.0478887796811729	-0.00530397546587142
SDC2	0.944461433938663	0.899292919932593	0.961592994074877	0.89664951480615	0.931764706053283	0.931220128982094	1	0.747230118853359	0.963559985977255	0.919904867450462	0.803353923687908	0.848184640241291	0.942300950658467	0.938222737078262	0.879787450243713	0.860678798019579	0.86862852281113	0.89052772328563	0.929461624008015	0.870495038349543	0.869487148175751	0.897579301818106	0.829917094635181	0.918333659691776	0.931028999404501	0.940187419915537	0.806523713474285	0.931992632972582	0.816082972063797	0.867874334096434	0.925267902076267	0.935742263716063	0.905541155320455	0.965696394118926	0.919395133912377	0.918263574093488	0.649579825991655	0.861108848858416	0.856038772245578	0.840305323032362	0.950859811135934	0.951233842469635	0.881850841163906	0.922926824103099	0.92943697973108	0.906400518931295	0.940692477949255	0.897556702627436	0.939312601681468	0.850727048298041	0.960407244268672	0.929957730832864	0.943842629781171	0.870857609312882	0.927579357194049	0.93754017848899	0.914545739227801	0.771021929399008	0.943489848810214	0.895140405090684	0.857148065833726	0.807138956492823	0.792863236241456	0.82450428180756	0.924734041001544	0.862718124878094	0.909747531198194	0.911497124632755	0.959981157067422	0.79435153182025	0.93921262583799	0.871905793488053	0.840610639145728	0.817065862045695	0.9598330440327	0.813762789121355	0.633363315085729	0.736056105054021	0.854430530964326	0.677758953821785	0.877484665285314	0.833937927062473	0.864148474141743	0.663314254455585	0.760119427063003	0.907450371235406	0.827033024053789	0.814504035591175	0.729442093068502	0.907494120130306	0.725645286530324	0.636300168802267	0.948514217470738	0.64635914037724	0.951743367593939	0.942423379455245	0.841030149492555	0.567696730778588	0.906735912770154	0.902479966935813	0.755223545430245	0.645445932698234	0.853100351353457	0.857271160078854	0.876521006436921	0.656286878852885	0.711762615094777	0.838441414785263	0.633161643246968	0.286051530148541	0.490403569609516	-0.0838514320093915	0.921760363373544	0.826173970963116	0.865326394734196	0.842553649478687	0.912392074086151	0.851335152194783	0.851788560687352	0.0673058677131955	0.565874845889734	0.0193331696285591	0.958137895981127	0.126379815358038	0.255890340777564	0.765063718278873	0.378781912203449	-0.369584328899347	0.905630395261497	0.932240711701665	0.899436859931813	0.484967972510858	-0.122172277276232	0.541583254907618	-0.149622644616096	-0.0739290679398182	0.636482948557496	0.591488775913124	-0.0720167051560493	-0.0522784034458508
PTPRS	0.875671642494441	0.948380821720203	0.83402671293395	0.934875649474923	0.755873401815068	0.746388469708537	0.747230118853359	1	0.865242364940082	0.889815338233908	0.625666707560646	0.777441089539064	0.80669971744397	0.893560041153693	0.730984274486745	0.955348935666775	0.858162974656935	0.881889773015666	0.910845148487487	0.869381190283631	0.856722012738545	0.855245700275457	0.841131391634234	0.820066511808672	0.860716553540194	0.809309752580204	0.726414322333221	0.803487507745212	0.917516701374809	0.930587744869036	0.897279553464786	0.884781665969416	0.83442192985735	0.792502799710745	0.696976332681145	0.883008397305464	0.654225403833512	0.792689344590152	0.765258096212934	0.904634856309329	0.746454732435686	0.831539221175832	0.81380118319587	0.919912271053662	0.869036509893716	0.92879366606631	0.735086234124323	0.734443219219378	0.745571795174413	0.827605383156462	0.830003808234319	0.822547756177569	0.780186610097673	0.873154140640772	0.848884130508666	0.787268581845736	0.871123022841431	0.905685072436399	0.874681369229142	0.851150325703394	0.729965784800868	0.901455961286727	0.378188953610908	0.909276328280947	0.90197802817232	0.569990225443852	0.825804474021218	0.880211965935349	0.729338954286493	0.738243526199094	0.783741376786317	0.828492057123995	0.604604789588816	0.905615315518697	0.855231363911335	0.784378393872878	0.751828108665182	0.703345825305496	0.599047303490385	0.779985188047793	0.909222215520487	0.830593872893893	0.817301852293946	0.537422174408074	0.776347853180486	0.86746105307533	0.829596525727855	0.798670515878336	0.603047964557969	0.809378311336018	0.678376255615307	0.504361141848736	0.841993867648334	0.600937038314774	0.830621286054382	0.769748618900009	0.911391866984553	0.624428324959561	0.831508269450795	0.739166434585719	0.782765777395103	0.285994842673042	0.838713545032553	0.802605381878418	0.890714434604561	0.689157686773605	0.86968563167542	0.548772611783133	0.587544483961184	0.400310417723276	0.632835551736833	0.038623645030277	0.885828413436319	0.550977025443987	0.770952127084425	0.761880562328195	0.891476695962842	0.946494424523191	0.575283563212175	0.207321217534765	0.784350418954605	0.0653325958471621	0.816094831767358	0.241625742460362	0.198337761738353	0.662049645483124	0.482065190687059	-0.315197522753813	0.90175371882129	0.856879576541372	0.836201754178077	0.622009450298377	0.0470258612500448	0.817340138143809	0.000231642008846388	0.0463252187706405	0.163810411860919	0.694731100852804	0.0583406282363175	0.097553413006937
NRXN1	0.982961653654946	0.971760794015952	0.988098639512256	0.955637761456574	0.945288292819817	0.941579499648583	0.963559985977255	0.865242364940082	1	0.972224093235097	0.8007642193421	0.893044588561982	0.960258740490444	0.986362982987323	0.900486667863421	0.940487234318391	0.917842070453626	0.933408925689801	0.983345684052465	0.931951818614431	0.918029287398969	0.93061985816883	0.882863151354523	0.948543364990991	0.968350348885396	0.955636458422484	0.826883907892955	0.964007473162959	0.901888269473107	0.926573075083295	0.971990389198651	0.986697331537476	0.946157696674224	0.967945839379258	0.918767179915208	0.963464549705212	0.652246401700007	0.889924208034228	0.886530398710297	0.909183279007737	0.949565047904903	0.978809635398283	0.922393739694322	0.967136394922822	0.967037694153549	0.972821774333949	0.948183727207488	0.914951597705279	0.940303359660752	0.904508318329335	0.981216099699675	0.951698700363432	0.942438533548599	0.928892739443071	0.969519625714003	0.950754402193089	0.970106933843126	0.856588854873821	0.98187706561701	0.941223541884468	0.87686636322853	0.892757524369196	0.744628242717781	0.898676045764692	0.965076770316904	0.840399101243673	0.944778980954189	0.95567093500831	0.954788394384486	0.830434928883087	0.948719190667337	0.926581327900827	0.810274657468986	0.87571170971633	0.991616462754789	0.861126032980807	0.676362168704263	0.760667698319526	0.812026644869587	0.751615988410541	0.948163008168937	0.878241124537709	0.895515505304113	0.660017043559596	0.800456643452549	0.949300984130724	0.868169029812754	0.850518519946116	0.722883776030402	0.942898140345278	0.755269390106829	0.643235024879335	0.967579388770479	0.656611450843937	0.976955560577083	0.949223985810177	0.925847343771441	0.608004571083656	0.938473957317609	0.890982826581015	0.810206561007573	0.591213878904695	0.909516908692735	0.874418777121013	0.923151048225682	0.699260379730441	0.791232366753114	0.80677077232501	0.652673335352144	0.326517764776894	0.549060783936308	-0.060831755295812	0.96832096502166	0.814157190269092	0.864592861663166	0.862693000286874	0.963670120028354	0.921215503355645	0.830288745685685	0.102323650969623	0.658137137993109	0.0245677136300807	0.975950000776349	0.155546544632849	0.251560457891998	0.769397722961119	0.417284132547678	-0.383749049095178	0.971067192541187	0.964335425283132	0.930289184714306	0.548500960883753	-0.0778391647124365	0.651447801392222	-0.125489337994971	-0.0495733972036679	0.521127774344297	0.638833013146568	-0.0458064082222581	-0.0188049726981765
NRXN2	0.974405891419774	0.970469226234189	0.954618157702082	0.953740041687771	0.892995855809037	0.900992227653149	0.919904867450462	0.889815338233908	0.972224093235097	1	0.723730088477065	0.837040009185657	0.953434795312088	0.965495327795274	0.864373461958083	0.964306736228332	0.893762594586658	0.94311182787132	0.968672356609387	0.904934197056674	0.920722564002932	0.922344654622622	0.901063486950751	0.911004949702001	0.977777816502411	0.944067634337176	0.804040185753032	0.922407171134007	0.927388153831685	0.945711164887599	0.963865493323847	0.974678235764945	0.960558655101895	0.934493170484981	0.9007337396898	0.955480211277148	0.730932221611722	0.87137114614809	0.855725164383327	0.93274071437685	0.908027215409837	0.965347445023357	0.874839132378867	0.970358749522019	0.93481605715328	0.979961267636699	0.910400725036496	0.883081300386426	0.886161787839003	0.881431666482995	0.943049804530582	0.93258012748925	0.928506745426114	0.912540369047659	0.92923576576015	0.916608483129122	0.952343580245928	0.878655815310838	0.990444959574812	0.926216122752989	0.841434299618797	0.859663968907434	0.665394325541952	0.927885378445634	0.957160429378552	0.743562698168396	0.903591031004452	0.953609174435031	0.910259290562148	0.788287777324181	0.896166690545336	0.912579100623879	0.763350695837886	0.885738918093472	0.977252670463542	0.778473508512457	0.681632387187681	0.738637222242019	0.771523326289147	0.772044323955726	0.933778203766931	0.908626925919686	0.85010504037242	0.639108635316662	0.806400187810126	0.952717388176268	0.88233207189327	0.842048458655023	0.654701690605382	0.896172745258732	0.783972646098493	0.574947503036186	0.932702020947803	0.658930203404233	0.962857288053361	0.901485280647633	0.924957427681423	0.632705906175811	0.903768379262774	0.844881170643301	0.795815810863047	0.455997268063922	0.887512861119737	0.856775216189124	0.941163240374728	0.71015289764827	0.824161734427734	0.725014216000202	0.67783677242497	0.374512628925121	0.578970082330498	-0.0132129959785053	0.968456989831305	0.746762111870738	0.880904726692844	0.85692169591925	0.970020061729882	0.944219945678494	0.746173602351407	0.158733907181265	0.7041367987882	0.0581324934241994	0.940600999130031	0.201747420564929	0.226531640573336	0.724511582928904	0.448320420081471	-0.382627085938502	0.960031201455383	0.962482335251489	0.92316335082212	0.576951717978699	-0.0318138658498274	0.704933720941478	-0.0730030403707647	-0.00368844652360353	0.469363770752095	0.678363582938269	0.00821888843667279	0.0393302389701634
