""	IL6R	TREM2	PLAUR	LRP1	SORL1	ITGAX	PTPRC	CD74	C3AR1	CD4	CD81	ABCA1	TMIGD3	PLXDC2	VSIR	ITGAM	C5AR2	HAVCR2	ITGAV	RHBDF2	GPNMB	AXL	TLR4	ADRB2	SLC1A5	C5AR1	TNFRSF1A	ITGB2	PTGER4	ADORA3	LAIR1	CXCR4	TNFRSF1B	LILRB1	HLA.DPB1	ALOX5	SORT1	ADCY7	SPN	FPR1	CD46	TSPAN14	INSR	ITGB1	LPP	TNFRSF13C	LILRA4	UNC5B	P2RY12	CD44	TLR2	TLR7	TREM1	ENG	MERTK	TFRC	KCNQ3	PLXNB2	PILRA	CANX	CD47	SIRPA	APLP2	CD9	C1QBP	CD69	PTPRA	RXRA
IL6R	1	0.623954119182505	0.678650407709719	0.739895368195771	0.636835218060326	0.588469285563229	0.680295847187091	0.707240256482209	0.654121744749158	0.519275423299268	0.669875949729407	0.608923041247138	0.51995289419339	0.696271778190984	0.626896938280594	0.48379769777519	0.298746474253587	0.58662360559987	0.594185894046904	0.619831398818789	0.590442763176856	0.66364199734767	0.504716798497752	0.401741545229027	0.623627367149899	0.658697151834858	0.503741737720183	0.664950066111987	0.581910351649143	0.387861913711496	0.678130684825054	0.613811374339136	0.49465256914138	0.497826837931724	0.659496182480862	0.447671374047846	0.520996324720565	0.470917932085835	0.470886480633406	0.62108862493846	0.4306576927577	0.690279050924699	0.422733206728266	0.704122924762209	0.622466526522741	0.376254586217067	0.566767185443082	0.648555199475872	0.421356098359348	0.651665117146449	0.564840079647358	0.670928002938488	0.438107991723174	0.271971196724444	0.569599725408269	0.540352285979269	0.479884763491849	0.430100748685371	0.632369466870263	0.588738124273004	0.632492387156207	0.533841442765907	0.731852741589782	0.433938637295975	0.596949984617603	0.642692555681142	0.506490537922066	0.452479193763504
TREM2	0.623954119182505	1	0.746917209685277	0.772853435691083	0.786303630001726	0.772667887460078	0.679880015793371	0.882041889285074	0.723010334376406	0.691367983618618	0.927171700972862	0.77844520132301	0.659953246129027	0.793081262191158	0.67440134464134	0.455207793354049	0.375575162804624	0.60649576794115	0.658821678278498	0.51979869665742	0.893204111299002	0.863509270012692	0.611633345994679	0.475189920204814	0.779473710871227	0.779292208000018	0.653016014036249	0.921023308897811	0.724782114635831	0.281865125325584	0.731481213817346	0.697548784748415	0.630018944914873	0.668293176654881	0.885681855067125	0.515455432809353	0.746983796855773	0.296566353633695	0.685856607539192	0.698622863755213	0.403583497666661	0.737679662922337	0.476173459043721	0.834752390624922	0.528101520000965	0.372728598020357	0.899646162606884	0.729727301158806	0.675604746021508	0.68051865142375	0.402619396447906	0.672060005963027	0.442953073154826	0.265559214915641	0.529865445119828	0.555374020451748	0.548098779294478	0.52682139959315	0.813047643484421	0.896914132676545	0.70962416170153	0.73496859799358	0.773157794463616	0.702093156850383	0.810507614311737	0.414571273587569	0.660862780111673	0.634042871668849
PLAUR	0.678650407709719	0.746917209685277	1	0.798981370998136	0.727741070344149	0.772031101164976	0.677644163017103	0.810329614738176	0.667525315466943	0.543268741354966	0.814056766145801	0.726693453762255	0.574354144143634	0.818731543202502	0.62942816354693	0.38447545883033	0.451651257435725	0.666168226174398	0.762103631630393	0.645629148333078	0.676585902248733	0.718205325489383	0.572185390421532	0.399870081465196	0.773948963986323	0.81968214231295	0.535269618767618	0.710919336772573	0.728374987715683	0.381997066384644	0.715006630326662	0.700808435748202	0.66629768792089	0.56838286507142	0.74233214275145	0.554678194824419	0.595034121508748	0.394543114636087	0.583377538006081	0.692113119691851	0.563399498084894	0.811272377013452	0.566710972666276	0.738822822507472	0.590883672614184	0.425288602465146	0.681053073585112	0.781703715244801	0.584124279797953	0.759627096727053	0.520419973438043	0.744620020581668	0.559192997154012	0.353657022908719	0.624469209247821	0.663188007927673	0.515414774505851	0.59498697574436	0.665212677316618	0.668263737678465	0.678972055086057	0.552194719305695	0.833782374291168	0.536091702718801	0.659453385209009	0.549580865110722	0.593825011915848	0.546636848168682
LRP1	0.739895368195771	0.772853435691083	0.798981370998136	1	0.781756887174001	0.756662400623171	0.721457709695092	0.85190932502271	0.709055952875298	0.610874551710935	0.843282408042473	0.724030417814328	0.653557768201704	0.841339186803039	0.691690076470213	0.470536379834212	0.412692281551127	0.644351835341821	0.760009305594761	0.647224855515263	0.733301625488418	0.792687237854931	0.519664252454843	0.500171424276794	0.75530013743796	0.7875683426557	0.670799673896544	0.809766209286504	0.692757034918567	0.432880581572092	0.736712923357183	0.763797137050684	0.730374812616296	0.644948780751952	0.790082983770395	0.584222538851698	0.649812120811799	0.486688705801734	0.683976429959151	0.763988757413613	0.582511964635051	0.791482906753081	0.525567273832141	0.816577149275704	0.671110722978786	0.407329543045759	0.701726118598299	0.724174478085879	0.609414937950299	0.760999280206166	0.52937256020317	0.785626491693605	0.616878162943958	0.394320369728459	0.608537527186374	0.674963252541557	0.640887652111687	0.53916643347318	0.711089963086181	0.738935029484962	0.679122468967519	0.606917421939789	0.824185559565567	0.596232225871932	0.682287869270589	0.597233514826538	0.59494152534794	0.565194644272619
SORL1	0.636835218060326	0.786303630001726	0.727741070344149	0.781756887174001	1	0.722596634951053	0.824089031425063	0.938162956120405	0.749121235143498	0.774188149363516	0.867036647384769	0.782662076728199	0.801225036504195	0.863039773696771	0.836182027228484	0.599759885890689	0.511890904106874	0.69359401974409	0.728745152950173	0.805173713596549	0.757246933561472	0.860337115447726	0.555835614800983	0.607759321157316	0.860257495223578	0.846688508546007	0.802216592049211	0.79923417507981	0.687932925816976	0.543862432036428	0.822854650712621	0.887536410805061	0.788480838985891	0.762598998681683	0.858938961132331	0.573027991693223	0.818839431970501	0.583702321594797	0.734330484327172	0.812621710279905	0.499797693829232	0.814791549261333	0.620203075428672	0.820121152850319	0.69909179699535	0.494720561582047	0.773739473198063	0.747438601885827	0.736799832466543	0.592506687907086	0.60349542882626	0.760148441287421	0.611379357359787	0.554418758089268	0.692977167398217	0.616570326501455	0.639783583555406	0.577739363687452	0.783339402261648	0.795488834778779	0.694307042846543	0.718693688035294	0.848186106248438	0.526772330413989	0.667940411722171	0.641890514610767	0.630601871212038	0.665365984573717
ITGAX	0.588469285563229	0.772667887460078	0.772031101164976	0.756662400623171	0.722596634951053	1	0.684162673391531	0.774559460401178	0.643410962706745	0.561999948996247	0.802991511162981	0.6773349598268	0.58036037993696	0.847474360610436	0.540278153882677	0.35311374253242	0.487955931550957	0.694816809248814	0.741796989553589	0.535048930277129	0.742224169660373	0.754881323136502	0.41615097461845	0.324395079318163	0.669503789393797	0.765321437864816	0.517498359203652	0.741605918855427	0.754747300364977	0.409506107541754	0.732795312177753	0.71011820585699	0.657808242639691	0.614715652735232	0.705310431898673	0.510526449646648	0.572913082128098	0.479708292354066	0.663319420255723	0.623618484065407	0.449349479600813	0.73485196057612	0.5823456744315	0.745378535220721	0.628797142095981	0.378232819066747	0.689357099565894	0.714815411738383	0.599013956586456	0.633441072222352	0.481194374852551	0.718061397513431	0.57181248048015	0.289486868057062	0.481991744950385	0.634174589263627	0.601713097679144	0.508434552897985	0.619041693792247	0.712074660110055	0.655321777191441	0.545046641405739	0.74516794416968	0.551948317867679	0.64892459985977	0.474118518075298	0.588298803450001	0.508576755103563
PTPRC	0.680295847187091	0.679880015793371	0.677644163017103	0.721457709695092	0.824089031425063	0.684162673391531	1	0.820694016161102	0.771606093000619	0.653299471385515	0.754567586669992	0.744668687008067	0.554771183321287	0.832314241736913	0.755625853170743	0.593369714916156	0.42159273452167	0.666732840324647	0.618835412613433	0.759546106743216	0.699295483528401	0.783392862014489	0.523645500794808	0.64475076002038	0.803377446110515	0.759816857546209	0.649136281440715	0.727526035165519	0.615949022167477	0.49143973959534	0.754144538229922	0.781848263102436	0.623743738901558	0.69225926953668	0.701667475168037	0.508518277497123	0.625633107781253	0.602232701687408	0.691688336391621	0.696226629830601	0.534584610204559	0.776483321391782	0.64492563334985	0.771920579766109	0.75348092995093	0.417157699599285	0.663388287052621	0.644350778110095	0.545722949664968	0.627448210011127	0.642095978379018	0.801389753739113	0.458548190629162	0.495955690871567	0.603345085921134	0.559537295042538	0.619410832500717	0.510866338568483	0.66925888146259	0.694593528278356	0.69596030848453	0.584982565426765	0.7836945928949	0.491443403644276	0.581775973679901	0.680244348585623	0.555337312769575	0.645532665923544
CD74	0.707240256482209	0.882041889285074	0.810329614738176	0.85190932502271	0.938162956120405	0.774559460401178	0.820694016161102	1	0.770619414450404	0.772015134946326	0.941021273338714	0.815551176083661	0.807460024084683	0.893548333413947	0.855040350301266	0.602836930213004	0.478596662915094	0.722304018265853	0.752067188713578	0.772385182439814	0.826664950703113	0.910220550356877	0.615121055246413	0.595231693735533	0.882505561848355	0.862033776360901	0.782022761243944	0.885078095815334	0.744841411438868	0.505474713648321	0.854157093050916	0.885705384984077	0.772370296273009	0.771238202005194	0.937308669870196	0.612059843576839	0.820141191536956	0.556910199724191	0.738318646070788	0.83252612853709	0.527952363489863	0.878542115701806	0.587267912468954	0.881063892596688	0.69926520422302	0.520725813522312	0.845016436053107	0.777374616745551	0.773158450869433	0.665105420673614	0.570686148347359	0.801976802442449	0.590434830003199	0.505872539377699	0.701092262563578	0.642134017629032	0.637584601870147	0.615522804340497	0.847030422619602	0.88157613170342	0.741771409121105	0.729197507887888	0.877467317596356	0.604923649657667	0.762947023637245	0.628641494838847	0.704800806134594	0.678448382832966
C3AR1	0.654121744749158	0.723010334376406	0.667525315466943	0.709055952875298	0.749121235143498	0.643410962706745	0.771606093000619	0.770619414450404	1	0.700652651634417	0.734674959970081	0.646820836963481	0.501719060726229	0.763900657506421	0.705696460892158	0.512200722556511	0.386064510146714	0.663976294878543	0.590225388996151	0.679942955845796	0.689543736533489	0.700261837855989	0.524038691086615	0.428371210334824	0.724572808989889	0.732203369001479	0.569716269056324	0.678864124099035	0.658159635237257	0.449060385432555	0.698003945455765	0.703618849762366	0.542731513815545	0.594714143085064	0.65869828101713	0.49077274181587	0.61901021291087	0.451678475502038	0.54474671356768	0.672594747208754	0.493855950122453	0.729261872348682	0.599969504994722	0.761685818883177	0.618365857485263	0.357072159364136	0.63397232420769	0.649349081777228	0.482365468468256	0.582591071217397	0.556083340549198	0.684488848634046	0.445713847893657	0.425555742947059	0.554262651074586	0.529874731582425	0.619187730274137	0.50802308522081	0.637363822099738	0.679766437600696	0.642076011001151	0.538744510625426	0.747837155263204	0.563236315161466	0.58500668083807	0.599330459916662	0.593082075427589	0.520118905261259
CD4	0.519275423299268	0.691367983618618	0.543268741354966	0.610874551710935	0.774188149363516	0.561999948996247	0.653299471385515	0.772015134946326	0.700652651634417	1	0.730750215964676	0.596175006733043	0.604309768152157	0.61983323076314	0.718936432731781	0.479262638964163	0.325226959282819	0.528200863581129	0.459104658632018	0.593901007355389	0.642240678682873	0.715224736467589	0.501124823763233	0.448151442480836	0.71637515431904	0.627129322259313	0.650874484721151	0.676629785825175	0.52615127580493	0.30270514217504	0.620914025573636	0.623453795442848	0.520791925532089	0.671232874349462	0.720593976823167	0.331651254974932	0.684483984792142	0.450450423998345	0.492091562241977	0.659298638081289	0.393262983298131	0.640866148412515	0.465372592735015	0.704809907474588	0.43901969962775	0.358600568596798	0.707396526651431	0.538121555658353	0.575278869627203	0.422758097743436	0.40597645432772	0.587381393443929	0.367557962402336	0.335521862783908	0.501404437935391	0.435084357971118	0.465203870611455	0.428495802987821	0.679036431274841	0.746780686628192	0.557508073328972	0.577582035882037	0.613344910792659	0.422707297420635	0.597867801527226	0.410943900460226	0.5060408206947	0.52054643795035
