""	CXCR4	CD3D	NCL	GPR171	RPSA	CD3G	CLEC2D	CD2	TIGIT	PTPRC	CD69	PTGER2	CD44	CD247	ITGB1	ITGB2	ITGA4	SLC16A7	SDC4	FAS	ACTR2	SELL	CD47	S1PR4	CD96	LRP10	SORL1	FGFR1	SLC16A1	CXCR3	RACK1	PTPRA	IL2RG	TNFRSF1B	CD63	CCR6	CD74	CD226	TNFRSF14	CD46	TNFRSF25	TRADD	ERAP1	NCR3	TSPAN14	LAMP1	CD6	TGFBR2	KLRD1	LSR	VSIR	DIP2A	CXCR6	ATP5F1B	TSPAN5	PTGER4	APP	IFITM1	SPN	PLAUR	MCFD2	STX4	JMJD6	APLP2	IL2RA	SMAP1	CD82	HAVCR2	SIGIRR	LY96	CANX	C1QBP	ICOS	CD4	CD81	TFRC	HLA.DPB1	LPP	CD68
CXCR4	1	0.956284180353084	-0.331908293640488	0.793764816968292	0.330395767308345	0.843886675410978	0.664498943904009	0.900626258061847	-0.0643167242871218	0.684609258964541	0.911089633156883	0.583088976440615	0.0724311089977101	0.754768509767351	-0.395967458773883	-0.132355641328339	-0.136197431172016	0.0735026189478312	-0.676347512593318	-0.317240091612193	-0.245118063987436	0.772806929284409	-0.0806026243937305	0.571722124143622	0.544601312330427	-0.0758031935088932	-0.460481522874365	-0.590789633227375	-0.725016488281819	0.634240596801285	-0.172364913792728	-0.683387451539876	0.589504524037907	-0.0423910468203388	-0.801585376347554	0.135228809433512	-0.404771194575151	0.722458871786643	0.190252002904439	-0.439883086346712	0.852715545894949	0.16934233666602	0.563156530151876	0.119238711388627	-0.112457907715789	-0.817252547578689	0.767119340831883	-0.502838482886349	0.820671716049089	0.174359657217994	-0.39093997219305	-0.573587896440177	0.492476119318905	-0.606472814224535	-0.397181973934371	0.0362329187950094	-0.822461250519555	-0.111292005938907	0.021847671846031	-0.612895035462844	-0.58365185347599	-0.690935103318948	-0.556835591695849	-0.794582959883694	-0.0146613165954125	-0.461773647805311	-0.530129544144543	-0.520097578214046	0.304817248861394	-0.675149361287037	-0.684003967309488	-0.278876759862452	0.78934975792393	-0.150580981974127	-0.736377378008297	-0.686477626995447	-0.311997263410102	-0.670685491243613	-0.620550201332857
CD3D	0.956284180353084	1	-0.264312969521532	0.719698735244867	0.336089957554055	0.931012612665705	0.698456357010501	0.930683033847004	0.0341428364599828	0.696578903023925	0.836336417939729	0.481880561433107	0.0227387862082931	0.821833035280245	-0.326285451253098	-0.107871831847416	-0.070739994036833	0.167692115044991	-0.604157020222435	-0.235096831682689	-0.15865193473945	0.757055712553365	0.00221545175928341	0.653296787035174	0.583872816367387	-0.0108015268805059	-0.506602039065211	-0.561183848714004	-0.607269167502617	0.718219078384579	-0.151736677988675	-0.628551105831412	0.725583790797007	0.0185120408192265	-0.761651347457291	0.23914347798921	-0.366158261483259	0.686278505868225	0.168682399759582	-0.305380452048641	0.867027510199118	0.273788507477409	0.534171708017398	0.268610333877672	-0.0140267169907528	-0.767094595183913	0.769333773907553	-0.439175375050206	0.731265809404933	0.119969976582663	-0.36122800938502	-0.55915113186439	0.522321944899578	-0.552311680433009	-0.291937988366322	0.0252929365741472	-0.732131851535711	-0.0178036315324351	0.0838473797489717	-0.620477137319654	-0.55318582858249	-0.696549007149121	-0.607053290772366	-0.737649398417397	0.0705543609246443	-0.36274642206745	-0.413192209293946	-0.495804263007767	0.37646816371287	-0.710789262293994	-0.654392608532143	-0.215433701369999	0.791615867598675	-0.146635496909197	-0.697198855159079	-0.653010594984094	-0.27392212777751	-0.58505085389017	-0.658273391022817
NCL	-0.331908293640488	-0.264312969521532	1	-0.50332189651558	0.495587599996793	0.00181982424536902	0.250813914116534	-0.190860399682191	0.408620618946959	0.36059052131378	-0.263505653484982	-0.239811517168103	0.667570199807997	-0.0194379321310688	0.936871330852089	0.656202516561914	0.820858667204696	0.605574171614977	0.890411275161919	0.748095369132785	0.944648411889532	-0.530114864060692	0.900296271545272	0.265802273995286	0.223159590829054	0.763831120197385	0.49383747476418	0.811873765825154	0.457892669971513	0.00532597742199731	0.827803881082772	0.674114190152967	0.00741184849030091	0.698387534619945	0.71874560991654	0.447237515761992	0.893472961361224	0.13705147769545	0.65306151753708	0.732147044597498	-0.198840710890788	0.717619939430817	-0.0977390623734203	-0.188380513728131	0.742023228112756	0.730050824910865	-0.316400659922378	0.71889233258186	-0.360605522240223	0.303643682141979	0.804260580215335	0.777966975339815	-0.0702797485160738	0.907444233320929	0.817437845458641	0.774151139978505	0.6672382485939	0.703129380879811	0.6359662126276	0.809889334028903	0.876695430717598	0.688812746765739	0.629861876209259	0.751207139978192	0.299809985471465	0.857434304021144	0.625264996704551	0.703541202863519	0.246626504481638	0.632147384862683	0.857188076952542	0.912118687083148	-0.414920365905656	0.793488334279722	0.802434410937447	0.728911492638083	0.902142984952733	0.830129395368268	0.693777708383477
GPR171	0.793764816968292	0.719698735244867	-0.50332189651558	1	0.364072539105339	0.504243611521346	0.397604045496517	0.533344599433924	-0.622831127654498	0.365332888003206	0.764499108479155	0.835281236477506	0.0893173274379846	0.701525674277318	-0.566732630991937	-0.450075612682911	-0.602801875927659	0.0273797646570706	-0.709852544686064	-0.733335506958618	-0.502179001834886	0.423565705645544	-0.279439090671295	0.262761592639847	0.225137453615632	-0.352363808014748	-0.435851423259383	-0.756100574726669	-0.855478706231379	0.47350439279083	-0.187818022176221	-0.866730940685576	0.119763289587076	-0.493406286815353	-0.82726760792235	-0.382477520358065	-0.616509586422013	0.598688249488248	-0.241162964819481	-0.549707351028124	0.804343210679318	0.0127654668950713	0.787320338464837	-0.169029753158617	-0.460853543285268	-0.844055621810728	0.795053031340386	-0.615213548693393	0.684294869481244	0.341817254624279	-0.611059833234222	-0.788638160254073	0.0222183202121551	-0.764705288050491	-0.57277018025661	-0.078632178869191	-0.892412891727558	-0.348762027507061	-0.0612606350587626	-0.690456430200913	-0.594402524995105	-0.766459359127424	-0.699191282760289	-0.879559554618661	-0.587750614548375	-0.713649148071347	-0.80950304482605	-0.71210926983518	-0.290246878222082	-0.76247875131189	-0.751866804050216	-0.351929506859954	0.481862321822533	-0.471383718975453	-0.834267419485232	-0.816637501868345	-0.519049404558226	-0.766423367409051	-0.646279228187147
RPSA	0.330395767308345	0.336089957554055	0.495587599996793	0.364072539105339	1	0.414378486395884	0.423589226741807	0.230399863830866	-0.169485981664707	0.618783301600748	0.395283778262022	0.514347924796169	0.826871856196213	0.608825393137569	0.435528640116656	0.233872940524666	0.22705124080579	0.586879047219625	0.204535699192574	0.0418835383660754	0.527075820811882	-0.101900382982776	0.713770164823263	0.511182817877136	0.20238759399294	0.517781193956941	-0.150032014659013	0.0496896542485281	-0.39954341751646	0.591753684939346	0.82645569220349	-0.260696574954327	0.111317998616332	0.23190525845141	0.0451824144848425	0.146580030362045	0.412119783475006	0.730225879905219	0.491613095277535	-0.00176621480510982	0.589214906879068	0.7248977884817	0.584564910179988	-0.505186297933526	0.338174112873656	-0.0808728569273069	0.389140437444964	0.00308195598468173	0.195330678572462	0.643872505863818	0.243205485193642	-0.0439561386183954	0.0149981642633849	0.203840452711886	0.208144015926337	0.796836283141011	-0.196953529934122	0.382996144503423	0.60108561896928	0.161462518104466	0.409902041254675	-0.0969470575908262	-0.0967351773985023	-0.0893436145610852	-0.267538471637917	0.0998236079133194	-0.109507922439084	0.0220236544714485	-0.00678917242687836	0.0841119646329039	0.230875285264878	0.721114119446719	-0.0268684837838905	0.387135382564268	0.00161350596989546	-0.120556328646314	0.536381621220198	0.0151460219415428	0.237770111853237
CD3G	0.843886675410978	0.931012612665705	0.00181982424536902	0.504243611521346	0.414378486395884	1	0.704354118727063	0.919441615963864	0.260047662738391	0.758390529302067	0.686547352090743	0.309026188684393	0.102823441578899	0.807418187892052	-0.0753605958443761	0.0731135547435641	0.18059463820229	0.372453553895889	-0.350053793550347	0.0232435386215771	0.130188374080045	0.679878428888386	0.24880565141711	0.717791432062082	0.648359505521361	0.185024012392713	-0.445445135140613	-0.321084734609441	-0.369549707803919	0.785974248917955	0.0311185286885162	-0.407098243912117	0.797950753306678	0.227597935090895	-0.547387489676039	0.396525506180546	-0.133339558652975	0.73560706310976	0.321431933357441	-0.110931819932041	0.775689015950977	0.43717768670167	0.452868884693772	0.329884801340016	0.256035178826477	-0.57074918139514	0.681905708448099	-0.271339472361321	0.657527516676247	0.152740479591724	-0.156758779657938	-0.365666096157775	0.655191779227567	-0.300427667707693	-0.0204276888774352	0.189669319968809	-0.495562531986252	0.219454079334332	0.17836327031431	-0.423001344224644	-0.368138628478298	-0.538650225466677	-0.483617954492895	-0.517157384952582	0.275559425994064	-0.0931140099402725	-0.132044145172874	-0.291471046460984	0.558138205338659	-0.540970964753331	-0.421430031218169	0.030408521004822	0.753016894238196	0.0437282997834201	-0.483598052781874	-0.463917582792746	-0.0414144633061865	-0.357230410430931	-0.488784722710438
CLEC2D	0.664498943904009	0.698456357010501	0.250813914116534	0.397604045496517	0.423589226741807	0.704354118727063	1	0.669953180270112	0.217391459822386	0.820147380372876	0.601285594856463	0.396567771374927	0.383205651969976	0.612043223046375	0.200293925328054	0.25935174053638	0.364621617147082	0.345408519417912	-0.0672299160665774	0.220419276862178	0.240076698000622	0.306047115913276	0.375986000667307	0.843526814418379	0.756542411771469	0.416141665167592	-0.0318594102922655	0.0143786898351555	-0.293993248018506	0.396302000060051	0.220501801142969	-0.125172971920965	0.614617908399587	0.351514344098957	-0.274983602952742	0.434928700891736	0.091946247493568	0.512896864549392	0.443440364616488	0.212623257012371	0.605537679467246	0.526399182610315	0.450546588486569	0.159459173502102	0.232954487443519	-0.230356789076543	0.454323527359073	0.09559325048866	0.301214419615161	0.340650787576432	0.0445502202785958	0.00255227333212229	0.173461905446881	0.00777936273097344	0.0964599804498261	0.27060729440276	-0.261140743410724	0.295580202094132	0.422718619732945	-0.132708365751335	-0.0302876099968012	-0.173217615927732	-0.105264861647526	-0.221084524789969	0.185943280318085	0.150325124125066	-0.120719938559654	-0.089533790984797	0.367360738315639	-0.323078111675056	-0.135482270200266	0.166263068055546	0.50803840701578	0.296322230638478	-0.165121640480249	-0.133582977824223	0.164451442514029	-0.0275362931940077	-0.29387884649564
CD2	0.900626258061847	0.930683033847004	-0.190860399682191	0.533344599433924	0.230399863830866	0.919441615963864	0.669953180270112	1	0.283888796791093	0.747074201151407	0.781815592650363	0.370284057452479	0.0154136379164207	0.676610573580851	-0.244611837547075	0.100854367235472	0.107511117732739	0.0503698529704464	-0.534365196478576	-0.0248349639670346	-0.0463768998136945	0.81536055821976	0.0821215333062555	0.621361639204871	0.693046346733329	0.009825698507199	-0.39330006305829	-0.415799248184457	-0.489728560425984	0.66009179199214	-0.166325099729439	-0.437765186899265	0.799686149384144	0.239760555342811	-0.64619239453579	0.451674741751404	-0.231666907824556	0.626065994021947	0.312182188640374	-0.235893281730734	0.79761899807419	0.291536349142606	0.410626511445818	0.288962947363268	0.133117990214629	-0.632270470565274	0.584021896332055	-0.357992121063458	0.658156710959488	0.119902328115837	-0.243460750130853	-0.404393409000356	0.713879404099168	-0.429275594366285	-0.198100319916507	0.041397393856467	-0.620518409160449	0.0177798786028576	0.0998293416094832	-0.496594450625193	-0.482463582368482	-0.539509403777132	-0.401989886101939	-0.606451260314079	0.33037492870752	-0.224001901846256	-0.24723537592951	-0.303904793224521	0.53923828939379	-0.543983101362844	-0.529830487772951	-0.186081691939882	0.810215886977337	0.0305003942919189	-0.559493539648979	-0.511437274092271	-0.166857910806196	-0.49978527819099	-0.532639068031845
TIGIT	-0.0643167242871218	0.0341428364599828	0.408620618946959	-0.622831127654498	-0.169485981664707	0.260047662738391	0.217391459822386	0.283888796791093	1	0.28730711681106	-0.191685425148971	-0.621982950313719	-0.0551280764386975	-0.107970412392202	0.457679285718186	0.577035040284027	0.810096769089786	0.124828889382544	0.347865777667555	0.806206928869901	0.533276001151152	0.268800584036386	0.396768832762366	0.396319224649105	0.343824074515479	0.536816589209625	0.136840451205817	0.543304541688994	0.537754155236928	0.119313800862241	0.108055885720368	0.595291847426772	0.625132031793108	0.770673350190918	0.366856393971732	0.829336439028588	0.484415878698513	-0.0591354047226581	0.532780397920148	0.423894033935946	-0.172410466483244	0.296771950862211	-0.480471795518422	0.520033458061336	0.694799305323759	0.373742158668535	-0.282565409479946	0.404036324646439	-0.174608325432316	-0.242124406604233	0.497055608995389	0.526406735643965	0.632528913026392	0.49956209543993	0.540974538598223	0.127121322828084	0.484133679062368	0.468848310548199	0.114807577418004	0.350003925947013	0.253030528622975	0.411018226967862	0.422342031971399	0.466933064059219	0.975155691404439	0.671872809878059	0.730931343479423	0.540784019200116	0.844879174291998	0.358554701110474	0.371732581719293	0.248922878854301	0.257120053187622	0.607273397640974	0.450988628586179	0.481374291509501	0.437365427868777	0.449369204158505	0.240093606153211
PTPRC	0.684609258964541	0.696578903023925	0.36059052131378	0.365332888003206	0.618783301600748	0.758390529302067	0.820147380372876	0.747074201151407	0.28730711681106	1	0.624314205489099	0.421390686641471	0.57810397201249	0.694528546235073	0.278972767416137	0.485749521734713	0.457623552398743	0.362262999322949	-0.0236730050826494	0.212551556395368	0.457736839096136	0.384780814526942	0.583170895568774	0.735165118938971	0.711108344712691	0.462282808668455	0.0719583966957253	0.00389831568211903	-0.396592524625917	0.600117818058788	0.406135198567805	-0.150902594342648	0.620496067587065	0.591720922810777	-0.25556000706832	0.543279478653484	0.313725045584436	0.741260562662958	0.642311245130752	0.155380037709918	0.722558911340512	0.747328569498756	0.502668485431332	-0.0381833841456736	0.515605335227528	-0.196222659806825	0.4370561373619	0.11692303474204	0.369849203924846	0.474439403767256	0.296539196802591	0.039219362869334	0.441290494427496	0.0514450789911503	0.168200168654092	0.578114722475054	-0.3163016065232	0.302081601184483	0.549172297571667	0.0672069525192126	0.110191740012011	-0.0556245545871566	0.0574990708683768	-0.196300114835592	0.23325131389612	0.173369611976169	-0.0643030782852037	0.168121173677192	0.421187813605106	-0.130054227018407	-0.0230004544092469	0.361697475975123	0.477732213043195	0.52443385491514	-0.0660002160560389	-0.0494172704951327	0.37737071027084	-0.0403763239447471	-0.0189185632430341
