""	TREM2	SORL1	C3AR1	HAVCR2	ABCA1	TNFRSF1A	VSIR	LILRB1	CD4	AXL	ITGAX	TLR4	ITGB2	PILRA	LILRB2	PLXDC2	CD33	LAIR1	HLA.DPB1	PTPRC	ADRB2	TNFRSF1B	CCR1	ITGB1	CXCR4	MERTK	C5AR1	SORT1	ITGAM	FPR1	LRP1	ITGB5	CD81	GPNMB	TLR1	IL18BP	NRP1	SLC1A5	CD9	ADORA3	LPP	TMIGD3	CD46	ST14	TLR2	TSPAN14	CD63	ENG	P2RY12	CD180	C5AR2	STAB1	PTGER4	C1QBP	TLR6	SCARB1	CD74	RIPK1	TNFRSF14	CD44	MRC2	RHBDF2	CSF2RA	NOTCH4	SIGIRR	HLA.DPA1	TFRC	UNC5B	LILRA4	CD69	RACK1	NRP2	ITGAV	INSR	SIRPA	CD163	CD47	PLAUR	SELL	TRPM2	ALOX5	ADCY7	TLR7	FPR3	ADGRE2	SDC3	CSF3R	CD300LF	TNFRSF12A	SPN	KCNQ1	IL6R	APLP2	CANX	ITGA5	PLD2	TNFRSF13C	ITGAL	SCARF1	PECAM1	NOTCH2	GPR84	CD40	FZD1	RXRA	TNFRSF10D	TREM1	IGF2R	PLD1	KCNQ3	RYK	FGFR1	STX3	ITGA6	SEMA4C	CD82	NCSTN	PLXNB2	TNFRSF10B	TSPAN15	MCFD2	STX4	TRADD	RAMP1	PILRB	JMJD6	ATP5F1B	LAMP1	AMFR	CADM1	SMAP1	NOTCH1	LRP10	PTPRA	SLC16A1	ADGRE5	CCRL2	RPSA	ERAP1	CLEC2D
TREM2	1	0.675306926203009	0.902211770001276	0.900797727293103	0.701700636418923	0.776592607250773	0.562206379746877	0.799809898130518	0.858057807857989	0.910420227506851	0.891846065374909	0.408758257624369	0.979306621198447	0.877378243605985	0.818894980800909	0.909396143899867	0.827591773547921	0.895760672985125	0.649992422935061	0.776621397238921	0.597862999883056	0.780816079977092	0.809570448019814	0.918547348751964	0.41652203998193	0.322988766775624	0.675922362195776	0.834269334629415	0.709642208346969	0.86088780747875	0.842895435677455	0.943509916360168	0.966162507493733	0.925370222237783	0.718326429427242	0.831788584769944	0.576617348779152	0.787248983708366	0.979360165157191	0.642511511422005	0.828404593727944	0.898157188835593	0.759225683421007	0.649335410523341	0.527083079551269	0.733494761736583	0.983734249168511	0.904274697297536	0.62739803977944	0.771116910650394	0.471756753188811	0.533020585194219	0.54563054639464	0.912530698737897	0.319674049663941	0.695264658857193	0.762422596121052	0.655188949315044	0.819046677811461	0.86931275833716	0.847738613100371	0.791470619091705	0.783586305568216	0.0781221595346792	0.689607949608493	0.729715710312959	0.668533119013327	0.639894399446575	0.913565607982294	0.466151230961505	0.793408655029108	0.78891340660111	0.814092479628116	0.234745695989731	0.923892989761231	0.671969506273841	0.846792997742895	0.638640860152016	0.765601178057382	0.648939865755111	0.721447008319321	0.616136266361252	0.69287693781991	0.795868504666539	0.725747343405871	0.563933609687831	0.537356165877248	0.822807460512578	0.775434385869671	0.831740093935077	0.684872019851886	0.753805890123956	0.858084525435409	0.917638149803908	0.583201429515505	0.738885995127588	0.208187841225425	0.841882712756894	0.531486954039702	0.609246983060717	0.662739558635349	0.484879785612405	0.670429137368911	0.812957024644245	0.685690504566088	0.581945199312906	0.577986204920312	0.887803059552553	0.872359906485241	0.64119682499001	0.46216262969743	0.360904116440388	0.655492537971151	0.914263417519593	0.443790306108937	0.917247749570512	0.84776887702315	0.688118580263079	0.651406083273047	0.406288397748792	0.918453048358312	0.643452290603945	0.814553263526172	0.82837086487527	0.202159017603392	0.584633463897493	0.928904023452819	0.875352222754792	0.782609372855684	0.886045368518652	0.901547512605167	0.509596294902339	0.958459804908005	0.784742868222393	0.517384948248461	0.816636723980486	0.579203958175664	0.89303827181525	0.571094029511184	0.266636876697562
SORL1	0.675306926203009	1	0.831194049406134	0.868894575286035	0.901259441136999	0.91492308320244	0.930559842946897	0.852591767075597	0.902493910481921	0.887601648763514	0.751040066336249	0.738903803250509	0.728605486308401	0.907359878967439	0.816114211787289	0.872867091855615	0.854241247319226	0.869074841329257	0.900127131042296	0.905338053670981	0.816669331658641	0.893579000031467	0.855411155539325	0.822105664378099	0.763833598473843	0.764049726533446	0.737094435160806	0.876114956308524	0.885816064658413	0.757124122831463	0.897631929789313	0.731357297776496	0.815575991830991	0.616794067777799	0.882316296351767	0.75973985595915	0.897756553956372	0.910180836212866	0.543904985145335	0.902953112604803	0.856439071903939	0.841439250944773	0.895387196415091	0.686364399169615	0.898823521952096	0.89438845946764	0.615689943001148	0.660682347959608	0.949296054949495	0.712105088504536	0.609936983938089	0.832501621916088	0.751885162714434	0.832967694475021	0.781526865269726	0.841688835564306	0.9597074406526	0.810082073161332	0.84634787915186	0.736289913653364	0.728722527501755	0.841609812595138	0.938584987411332	0.304406066844738	0.853795792601539	0.924955714726073	0.641538160416339	0.857913347878255	0.71349786743909	0.56560801329178	0.916016440119344	0.787611188016672	0.769440471534387	0.547440499970212	0.811402413414139	0.608553398319554	0.803635172455888	0.650650293885137	0.652683202601558	0.836924742807292	0.839756024087228	0.830147124725253	0.931893885834982	0.806496533143934	0.641147986670349	0.807619006073421	0.844861606878137	0.827217380282542	0.76457115252116	0.556275209673056	0.915894968939161	0.664337457322296	0.894015859516963	0.841355463435478	0.831427394893894	0.704264756331487	0.731457258933751	0.582770557718805	0.822647907569279	0.910019740441299	0.85998729986631	0.717638352722917	0.856616158209962	0.526876712530797	0.863456849129129	0.624073675951928	0.642246214410857	0.700383374312258	0.672653125845176	0.847449270096214	0.790482614780331	0.71198309182413	0.883494843186685	0.51060092822716	0.741164923732322	0.759190488660475	0.857570865772598	0.866478285225483	0.797735336186993	0.777251474961812	0.799211228716448	0.760672931048304	0.746442517242719	0.441085688980552	0.485598766901113	0.782569666316756	0.792579849347342	0.887903937181172	0.775732952675669	0.631092025163128	0.833046112917715	0.518067642144879	0.737856778982225	0.844615247552997	0.681093443821145	0.600574780672692	0.745934855716498	0.865949583106708	0.827032622126029	0.470158660097503
C3AR1	0.902211770001276	0.831194049406134	1	0.924554809294341	0.844913174830071	0.902492608244554	0.755243393391501	0.839533318551736	0.931969438632243	0.950024796371867	0.886241208798054	0.535238355331984	0.883625493721811	0.931245099266278	0.842908733432077	0.932128395488322	0.866022348057664	0.921416238343891	0.762420200748425	0.859680813084376	0.773762941454555	0.893524615535721	0.862058778092572	0.901644559835941	0.656650308671853	0.566262514614839	0.791325696268374	0.904204369491803	0.830258721122421	0.906954621372905	0.889919422052869	0.944901478575602	0.929596152231588	0.794157262081411	0.823782923518102	0.854111546021632	0.750978105574527	0.914203087152377	0.827991517874497	0.771430376485981	0.861772726901694	0.90110179220582	0.821402733639843	0.667915367851076	0.765608343586818	0.853548068846484	0.849839186693515	0.805132808272671	0.783807858440067	0.809205990445227	0.587693556134668	0.741077144421146	0.693202667714851	0.887853018908974	0.50967635293194	0.78092179725577	0.88870969120312	0.751921897543657	0.855720385911395	0.786268324940597	0.827929356134569	0.911649543805327	0.894311918457042	0.200258590992741	0.827519929799949	0.832767219912443	0.728764513419565	0.776296699220523	0.844614189222978	0.634279575496236	0.851963320142953	0.822963262114747	0.794092123821828	0.379238676173107	0.937356962026746	0.679441976669965	0.839038542262964	0.716655341398805	0.736438244857317	0.791406482898297	0.807061371068874	0.777336816027325	0.865718166152504	0.8300555217588	0.765686227283204	0.625925203386586	0.718124216477806	0.845990721464032	0.801693042473139	0.700001066333189	0.819757419865833	0.759995751674889	0.90413811081251	0.925073088448949	0.74308406845308	0.741496567831671	0.481095570307565	0.707936220224749	0.701072687039118	0.722602960576129	0.75721003127121	0.672284139448504	0.77401703150033	0.791086105844956	0.768831153371482	0.724000098466197	0.739548631474656	0.825574478637625	0.851105799391498	0.776373555367679	0.657829482657277	0.523632725643728	0.790656822323396	0.786414819267465	0.585560153392257	0.897371030760958	0.877724297528085	0.731126650252498	0.817666405127497	0.622191901339138	0.898774529088284	0.785825469886962	0.720171177268011	0.680045222942891	0.375301931267943	0.766978001469339	0.871717783963781	0.916929037393716	0.795310506132013	0.80336577123114	0.881798752446497	0.561714931917472	0.886611532030125	0.804506800010201	0.701558466842063	0.729506762278995	0.76371054062498	0.876337985472868	0.707575155471531	0.33600963150421
HAVCR2	0.900797727293103	0.868894575286035	0.924554809294341	1	0.892584597217792	0.919376098535559	0.794646652303253	0.931927406365195	0.960446461851449	0.965615912224015	0.94332782618748	0.675251954013622	0.925089713172156	0.935506900055179	0.86099941655792	0.983524715839599	0.901574806068103	0.973398932909442	0.747751212323791	0.942586021987611	0.761620791639427	0.948260301550989	0.857626478369969	0.973410861400623	0.661475749204942	0.643736202478963	0.797408155234431	0.960107872423425	0.836102917951513	0.919639996626359	0.946398056401855	0.898355802949989	0.945018229572797	0.808494306392154	0.866532266293631	0.891400316831737	0.757951640759286	0.893883550405928	0.833984132706317	0.816129062529072	0.953055612024412	0.936502639103973	0.910089008115025	0.721552604182968	0.792363254357335	0.91931451124632	0.87068377243548	0.879208021477447	0.858342735968533	0.851445603438032	0.648101030776346	0.750579447004145	0.743160836821777	0.925078719657621	0.630603136215965	0.832041088357708	0.878661221965344	0.843476707451373	0.889989525912636	0.853920137236553	0.909918853213039	0.912956794792522	0.934624331431482	0.351072505740895	0.829060365543647	0.818814830951721	0.793920155602006	0.810931981591857	0.874722942390496	0.631568646497169	0.856338801582743	0.889500948996382	0.900766578142787	0.478964944840181	0.960260322100285	0.641662735466115	0.914361333272078	0.750579231213222	0.826272130235919	0.82543667143574	0.818557983034633	0.798204048185478	0.85838187327987	0.878957337431055	0.815606448671691	0.712414910960188	0.79927261500772	0.878475280370714	0.855944503594287	0.835822524136458	0.816502937969895	0.847612581357267	0.959126588313874	0.96754673481998	0.765451535766601	0.829353467315638	0.497388318665014	0.834205121206294	0.702158056386417	0.763715561979382	0.814920882057449	0.687835102903905	0.814623562436387	0.729569633056791	0.861980475863308	0.707998569758891	0.705576342554461	0.873578830411358	0.875655996460382	0.832181369929505	0.677308804341842	0.594441407336999	0.836023839248867	0.800140191242002	0.653975996595427	0.89668994542038	0.921741687612912	0.842706376462034	0.807405408518927	0.597745064096882	0.937079141184867	0.819245930031751	0.850340408760047	0.729952189448781	0.421155780668363	0.793509293884661	0.937017940941987	0.919776893837666	0.83841251628559	0.854647356765711	0.933803869634442	0.603444051023476	0.914771490824916	0.888124716750964	0.67633656539248	0.823088254594283	0.732505201705544	0.907044296362111	0.762422200535093	0.481529495351194
ABCA1	0.701700636418923	0.901259441136999	0.844913174830071	0.892584597217792	1	0.915966302485557	0.867232442270188	0.851691796456146	0.912560507712737	0.890172048185988	0.861441247978668	0.802674173939206	0.747890506377317	0.883696129086811	0.805505252345864	0.904044690822399	0.818915998583948	0.868178577001222	0.759998272828804	0.948524643325255	0.787297567247211	0.923141597555149	0.776889646464935	0.85866600322887	0.849435364566974	0.865573656616898	0.857795739334464	0.906424507231024	0.800168318952836	0.8071329479876	0.91131577443497	0.756996144637495	0.811373873955557	0.66883601673987	0.852641903418318	0.834871487965428	0.838973442293336	0.892988775328739	0.601085941884851	0.82878071455972	0.899652828171477	0.83809965554263	0.919484991093967	0.780942212032426	0.920382858698594	0.962098921990538	0.655240531096287	0.680324182965021	0.889897184657288	0.806999519916048	0.763793259488766	0.835952797830617	0.860944836282465	0.791782009326684	0.746767795223647	0.884554307674056	0.880743818171661	0.852548162491759	0.853310275119913	0.755217459024111	0.786561957855935	0.853834993753074	0.951352109290123	0.515745906251565	0.82874782647886	0.814875399829868	0.822780897311754	0.864952293450692	0.733081310043678	0.735993662051391	0.808880321761206	0.870936963012476	0.850614412798331	0.638479946621804	0.85584023528943	0.638595267775575	0.827602918767689	0.796041285039991	0.735645915962112	0.852150675112238	0.799663108480369	0.849473833825231	0.898367989569342	0.909099713011034	0.768213421191746	0.789697517005879	0.924664165347451	0.862992582253527	0.797273868797294	0.644488949729976	0.838351236125487	0.79102421004567	0.931502596945291	0.882176265431572	0.818173379423143	0.759315120400408	0.631201608703785	0.670647812868426	0.727373916829634	0.827082298716448	0.891752266383717	0.79737743104129	0.86207141887799	0.609460560479216	0.891151564019778	0.784268907651033	0.772719827829516	0.793480014530572	0.757055172899037	0.917303773316584	0.808393766685448	0.780649795150608	0.896438361266882	0.57614940189497	0.802672750256777	0.779429592338272	0.871165650098048	0.832301778994262	0.873074195134678	0.676849921213853	0.807965313684879	0.910789898463729	0.752365519604677	0.525101981940687	0.597476565510962	0.877426637306261	0.79424512162407	0.871810870051526	0.849293450307676	0.709600724469409	0.861336609712033	0.649413498511989	0.744022892764386	0.8470459164423	0.756696177309746	0.717325250165881	0.851389806033322	0.805166895419722	0.833783893526268	0.590005286817922
TNFRSF1A	0.776592607250773	0.91492308320244	0.902492608244554	0.919376098535559	0.915966302485557	1	0.889208457668531	0.881452171852119	0.927324943988215	0.928036574924692	0.830315221979766	0.667847858573951	0.796742356337351	0.922730519084971	0.847011429178232	0.916008631638235	0.890098708746598	0.925360820173075	0.814371786642301	0.915148743244363	0.831826124676358	0.943938392277207	0.866737959796939	0.889509041453083	0.768366340467295	0.744811018039415	0.778403795322822	0.925363284192135	0.87838655884653	0.863796970481636	0.890469748335608	0.823526688567439	0.867135974944265	0.682517960997403	0.866878535881322	0.8210964237313	0.828517317546658	0.940652813260267	0.674538156014334	0.880771046677681	0.912339690676854	0.888917677431068	0.876841664663852	0.655564896807185	0.883809645126837	0.915331392897774	0.723426745327417	0.771994070916674	0.881352877988504	0.77918648176338	0.61510598067577	0.806517991344287	0.765046208156909	0.857368207705968	0.716545358631397	0.839602275953126	0.9212809607928	0.810915003825101	0.87205490345028	0.752101708409014	0.807949700151807	0.90332312688743	0.935730852031275	0.370560339828232	0.849799277853738	0.863700014608105	0.730289202430468	0.820915044325663	0.777521855177962	0.641957906544637	0.872925373927493	0.817297610969079	0.792438996254764	0.561419966994096	0.885335767621674	0.665597737458823	0.845466102239132	0.698203000679577	0.717048476258845	0.84228434074485	0.85191947011699	0.867402090907496	0.898771902140099	0.831216402845411	0.725362196761363	0.703460303617271	0.835106278654371	0.843889572433961	0.832130776853939	0.676713289988319	0.860917094968928	0.7643163386815	0.909192356255774	0.892877136098779	0.815900817745804	0.74576082494519	0.630694936775297	0.680935257751522	0.79164511261106	0.834292168227401	0.824711731727258	0.740586055107357	0.842180455775822	0.647254651165938	0.866171967554404	0.714780265296397	0.731743394402421	0.751392423532442	0.791443109806056	0.812292472155699	0.741147505432982	0.652311674716333	0.836143825772705	0.637587527138806	0.71318755695213	0.836965921805588	0.893781978945844	0.835446928626969	0.842578103788795	0.73161989750625	0.843993110102718	0.833738146381904	0.743038610101319	0.552379381781664	0.534944061516096	0.824667560563097	0.842960006702323	0.887652808344048	0.785471349841239	0.721110172923355	0.85504359068224	0.545459838661257	0.785651802780573	0.84850581962062	0.710431524914338	0.676715940977736	0.770843894044038	0.862741732392438	0.791530169115689	0.488965639170668
VSIR	0.562206379746877	0.930559842946897	0.755243393391501	0.794646652303253	0.867232442270188	0.889208457668531	1	0.796555851656969	0.825172478673186	0.822718317952391	0.656633310694145	0.700047661007007	0.61510273835612	0.841780649483	0.710883198692649	0.776818726537076	0.831660127734243	0.81513606373707	0.86723197216459	0.85810148238903	0.783582567823985	0.850697779912684	0.813820433776662	0.730996075736727	0.811192871222705	0.816106323769522	0.690666156269794	0.799700224292443	0.843001514009613	0.672644356841099	0.800789602489061	0.624110752484104	0.729514980135832	0.532756933845249	0.824651280470956	0.674311041226681	0.86863242898782	0.867093008960317	0.413518826007508	0.924732480810792	0.773161233977016	0.796810732816731	0.846798438089447	0.669436932368342	0.901865787141431	0.854330496900946	0.497103675195367	0.572744168173956	0.906224926616438	0.600082442115201	0.519580951710796	0.813374561932293	0.750615959569614	0.74946772428541	0.805459904479668	0.82686415513593	0.91583231128561	0.732954320025475	0.828665257525092	0.659887803934014	0.628339189541334	0.772080043697451	0.894310609120712	0.364533422117498	0.816381971356244	0.883689541962461	0.563762539650639	0.814229492759385	0.598407418253478	0.535510479398578	0.858454476204464	0.743942138997413	0.675304100152468	0.669974693538956	0.709468575357906	0.568265988236183	0.70989406641657	0.576373627019525	0.561806649418118	0.814182050045273	0.802800720034683	0.834220917337969	0.884909086236821	0.759084465779385	0.551561871130209	0.777201264392186	0.872888678615892	0.766097637314129	0.690424878548603	0.471274603470483	0.895005510294243	0.591595845832968	0.809163546487854	0.748418230850549	0.816832040653948	0.684168281854145	0.754238631212489	0.470492660410859	0.743539885426148	0.891139337651855	0.827432941322222	0.689385208865958	0.801199373519953	0.435656648445915	0.797388684016082	0.574463693640827	0.615298846226046	0.597388250223947	0.561600065960767	0.795760319832167	0.768647728815559	0.677042892308621	0.846400808321448	0.384728672549996	0.74496440141391	0.684480906472407	0.796162594422985	0.834629649060986	0.783655379333235	0.804966124734431	0.687147533073371	0.740092143478762	0.684875390767237	0.273812254029184	0.60733017603385	0.767252068765767	0.687825048234103	0.8305880432273	0.683885420043132	0.493579191312134	0.739597362593086	0.427155216148167	0.630493749542341	0.789599248139581	0.643257580880413	0.482033412832354	0.720138233709613	0.779777975222141	0.75139408322621	0.486891183145842
LILRB1	0.799809898130518	0.852591767075597	0.839533318551736	0.931927406365195	0.851691796456146	0.881452171852119	0.796555851656969	1	0.926732436135162	0.912650441800395	0.869963875748852	0.651621422527438	0.849364576865675	0.890350179106725	0.845671126652657	0.925523141083763	0.878037915015055	0.929519092372592	0.730820285524797	0.917525724716974	0.764939350066834	0.911196881548157	0.829155312333051	0.924392895260713	0.707507666914259	0.665729379650505	0.79799640381056	0.913126019387576	0.831020693256992	0.874553897680891	0.894149276575816	0.810628696088416	0.868523983538585	0.726668474489524	0.826453091653312	0.853726192142523	0.768769281585542	0.858629401064476	0.729970947392768	0.815840897904763	0.92446472895408	0.894618980897081	0.881078349292038	0.664926639469126	0.776126347505254	0.87724422672033	0.789017487485956	0.835857621214456	0.856186552593916	0.765258900429685	0.619688125031634	0.707877114866027	0.748211203855635	0.87890860719727	0.687262581921746	0.795122518700296	0.850337100817948	0.853179546857895	0.856020781870724	0.787879416914458	0.88557385695733	0.853353252523974	0.882023488373645	0.339295245440263	0.810001224733694	0.786585440016281	0.740229803707532	0.792192046932128	0.843122085873283	0.607715014354541	0.836150486931614	0.849453767929458	0.84581890882365	0.54066005821193	0.887317713861799	0.572390103024873	0.877471654574112	0.700484949937516	0.832300886762539	0.830383430227928	0.80332575748851	0.801222126362225	0.836728008332699	0.817349686725965	0.768936107405292	0.692267826007324	0.782319287159198	0.823106159691822	0.812549862995314	0.80631356976195	0.798599505878088	0.796818534748565	0.921167393675145	0.90352186289014	0.737339197144882	0.837027371620791	0.539455595321058	0.796982818106726	0.707433009220345	0.76667728722812	0.773372057712817	0.703211624749016	0.825863093109802	0.601010446475713	0.880927152273397	0.656102250595813	0.660493845423001	0.787390012871637	0.794702288715068	0.785652763964078	0.634354459993677	0.569423438200912	0.828873777962963	0.720493982442768	0.68040262527685	0.843711214097733	0.900122950958429	0.871041645668636	0.798969875760562	0.649923830853326	0.901195783675937	0.781037491784864	0.841842403226604	0.626383901673137	0.403844031048102	0.791911493383785	0.888533883075734	0.842994115273951	0.78326732780407	0.776381026148674	0.866087971092198	0.542998417156624	0.845449400178374	0.85075379755693	0.672927582652912	0.768689060176868	0.716554563322007	0.869317940506236	0.777992191351762	0.492851524565829
CD4	0.858057807857989	0.902493910481921	0.931969438632243	0.960446461851449	0.912560507712737	0.927324943988215	0.825172478673186	0.926732436135162	1	0.974251887843141	0.910761598947324	0.683958483167786	0.88448502965804	0.95338306049722	0.885968527051553	0.967757098661774	0.916973678766585	0.954472150034496	0.79894777831719	0.942276190390982	0.797550403285301	0.951196764695484	0.852091853972543	0.936698989535503	0.734818242191184	0.688798770259533	0.848342859958697	0.943638546533813	0.862714402771385	0.905931525122443	0.94505996455346	0.898549255450082	0.92310331229547	0.76036082865028	0.866411230978487	0.881536886420113	0.820498924345321	0.924495279828736	0.770910412324343	0.82079827493698	0.9320028539399	0.923686537779962	0.911471151079937	0.746223744680089	0.832570860578041	0.931578950549209	0.813460112974697	0.820214697801286	0.876024649979548	0.801730493378659	0.662107380999894	0.800345183385479	0.793397221499722	0.916241544158028	0.645710867717283	0.847950445775966	0.921362785975032	0.864594907717961	0.880719093110728	0.828950605811997	0.88962626825883	0.916583586667143	0.955545849741606	0.330289334828555	0.863828875649914	0.862221279128239	0.770816667958297	0.853194401903237	0.866374123269927	0.677882605842651	0.888342328998038	0.855598348808607	0.880207669969719	0.515447380058603	0.94389752039794	0.622768497730828	0.895431167905515	0.785461875732727	0.843313566759309	0.825427882855873	0.799005365020737	0.829878114994905	0.909848128843138	0.878953049619991	0.818425698610053	0.746739818768135	0.813779081893109	0.882857682180569	0.85035616733761	0.748228885013345	0.871191582041062	0.803536615793401	0.970016335402823	0.953742630030677	0.791271819284375	0.794160207601878	0.534069422765364	0.777845253323689	0.735481464959372	0.801470009419285	0.821363807467905	0.765616572788846	0.869674881140161	0.697692532336016	0.889543813911567	0.756340448374866	0.719501618131407	0.827431971023647	0.834249513483599	0.865803407346388	0.727604528848206	0.642612942108009	0.861927533121002	0.738651198819297	0.683558568857841	0.883824766119482	0.915340270938212	0.822728631693821	0.866571679837101	0.674378779149463	0.938169923285808	0.840729711770996	0.837875992274281	0.663093691539372	0.426738231483414	0.840555331296021	0.905482931555311	0.923561199773892	0.836314207174223	0.830642464643297	0.925984126219081	0.609540592928583	0.880115659444737	0.884421615172887	0.742074244640101	0.787014705631873	0.815053547399018	0.914654353890999	0.800354763932877	0.48416332252974
AXL	0.910420227506851	0.887601648763514	0.950024796371867	0.965615912224015	0.890172048185988	0.928036574924692	0.822718317952391	0.912650441800395	0.974251887843141	1	0.906307606801511	0.618240562627374	0.923257967572604	0.974679704458111	0.886050946330972	0.972265662270116	0.931340062632705	0.966701019812228	0.83322694687625	0.929982328762387	0.779100340332582	0.923479092539463	0.908936458637006	0.948179105453738	0.683581048267362	0.624507790256039	0.808175702213338	0.93320512062362	0.868551467750171	0.893850738456743	0.942535035109732	0.921549228846363	0.968262384223915	0.835889742500438	0.869284081143291	0.877721490884874	0.804549182376975	0.933411441768495	0.827158582412787	0.846156894022293	0.922691528808341	0.958045379795831	0.90517661749022	0.746624436062042	0.792064605889767	0.903231572391821	0.867112694643841	0.853452163100355	0.850448860683088	0.78567922757027	0.594963042805109	0.756651895479792	0.743208167677789	0.950318905605426	0.595720720146423	0.844056070036343	0.936293808404253	0.818644008093689	0.919406011203505	0.878535715928577	0.86769790457495	0.89211033361953	0.945076316467189	0.254429783657467	0.838781157289237	0.89423805509013	0.728456555569275	0.821012013943012	0.892566243278621	0.605586617454913	0.922621510392486	0.866147492813543	0.86892139350988	0.486981638607832	0.945193495945334	0.705738598508365	0.906169170840561	0.737331717232133	0.793925565718447	0.8207806845609	0.851159875247168	0.817298620392661	0.893089878788987	0.88364513919994	0.776373864385634	0.733206108833163	0.781658369241295	0.90795557415112	0.85171949770996	0.766849268736703	0.8759799004786	0.780436492570453	0.960271153703934	0.963096812599697	0.777880098419084	0.796190653600684	0.478498401052698	0.779981839001333	0.71147064182613	0.818543402138992	0.827887371370313	0.700249416975155	0.850599356729645	0.734003604609139	0.866990440262534	0.701470039563169	0.695670834044407	0.861777756089589	0.848882270739852	0.832472951721179	0.686985444679774	0.589446185886959	0.84534067335744	0.775613699161369	0.652696816700198	0.924517288294231	0.928662768858868	0.829973011269454	0.826757197707077	0.669673573674825	0.945640161260992	0.794084850075017	0.869103160748137	0.676029472955602	0.412892657888896	0.783811696503926	0.93130188592001	0.95689597769253	0.836536147820229	0.840407139755313	0.940537318696699	0.563931356770407	0.914222327009298	0.890011950618578	0.692076603914802	0.780272864453956	0.762295890240989	0.950803855736392	0.765550676648972	0.430166893366213
