""	CD74	APLP2	LRP1	NCL	PLXNB2	SDC3	SDC2	CXCR4	ENG	SORL1	SIRPA	PILRA	LAMP1	TREM1	TSPAN15	NRP1	RPSA	STAB1	ITGA5	CD93	CD44	ITGB2	ITGB1	TLR2	LRP10	TNFRSF21	ITGAM	ITGA4	ASGR1	NCSTN	LILRB3	LILRB2	MERTK	CD163	CD81	TLR1	TLR4	ITGB5	AXL	NRP2	PLAUR	ACTR2	BMPR2	CSF2RA	TGFBR2	VSIR	KCNQ3	KCNN4	CSF3R	THBD	TLR7	CD36	HAVCR2	ADCY7	NECTIN2	PECAM1	CD46	EPHB2	NOTCH2	MCFD2	PLXDC2	PTPRA	ABCA1	FPR3	DIP2A	GPR84	ITGAV	TREM2	CD33	ERAP1	AMFR	ACKR3	GPNMB	CD69	ADORA3	CCR1	STX4	ITGA6	CD63	CD47	CADM1	FPR1	TSPAN14	RHBDF2	RACK1	CLEC2D	PTPRC	PTPRJ	C5AR1	LILRB1	RXRA	IL6R	UNC5B	TMIGD3	TRADD	ST14	TNFRSF14	C3AR1	TFRC	SCARB1	HLA.DPB1	C5AR2	CD4	PTGER4	TNFRSF1A	TNFRSF1B	ITGAX	IGF2R	CD68	TNFRSF12A	SORT1	SMAP1	CD180	JMJD6	CANX	C1QBP	SIGIRR	MRC2	SLC1A5	LPP
CD74	1	0.58643817535486	0.554923460676492	0.410294800774152	0.433484056905801	0.479505837348694	0.254983728701171	0.740883396435933	0.555987142945171	0.74497583189625	0.661231397938846	0.744615640592204	0.5152582520803	0.100639205419657	0.60629489927008	0.480289321636342	0.403513862880734	0.496291769585793	0.190994414466122	0.54891518890741	0.435577467253438	0.641658081114479	0.638529991200682	0.736484187037713	0.766250918454269	0.429531588898596	0.517431073022276	0.586372657642334	0.364761341686732	0.588085863274703	0.615605721541114	0.770539719672037	0.598505839671498	0.593195670798965	0.640404747189983	0.876311949869853	0.678629511978	0.362837267750362	0.91243696423984	0.304128699093924	0.572909825059649	0.526163093157947	0.685885216063633	0.910233968655493	0.720710009515188	0.83047390803718	0.697360870145518	0.317279774937631	0.834337726910103	0.293992566967194	0.796290332643661	0.0138615393156393	0.69054982702093	0.681309189879566	0.649055659397073	0.827758065373492	0.711355927516906	0.539556683395767	0.449460699768975	0.468706870372197	0.837793840307385	0.559913283786922	0.00595502396921613	0.613186393185531	0.470444049145082	0.678052136456778	0.790358536235695	0.824382914852333	0.620178792772721	0.554553913621631	0.450147694569435	0.118662501196241	0.07375435299662	0.61986232552743	0.810213177366787	0.408487451542141	0.687492506761001	0.713503968858665	0.59552778106031	0.590629122722863	0.74910378583344	0.891415931043721	0.693993079958913	0.778166420582521	0.537144305132271	0.626794052205943	0.699690252039484	0.530216531344402	0.674592669807101	0.821440484504121	0.318144033575826	0.328984319973465	0.782510310163918	0.501839978470113	0.731368709037252	0.44763186819746	0.509450188152388	0.833671555336106	0.748884750125878	0.636164041884196	0.981483924156781	0.135899542164784	0.545020395530107	0.817026856600675	0.703870961582211	0.696556890551739	0.171204474034647	0.172774354129425	0.59712291711176	0.274670430979923	0.524581308633886	0.579191247575344	0.295915999255062	0.404150658518196	0.529064496853586	0.40064740131446	0.595344975971369	0.62066454550448	0.48000959632482	0.596374621409094
APLP2	0.58643817535486	1	0.884176941132713	0.687219353920429	0.899689125243141	0.630669253446227	0.577458635608575	0.571759148471552	0.908184905407277	0.755382574036904	0.92581717546307	0.447906378826694	0.869855109427587	0.68948602782288	0.884937767774592	0.894884454217275	0.681171334844752	0.804143104407425	0.770243432188917	0.834056416907934	0.821788593263938	0.874458381631687	0.961022241281621	0.870732825899472	0.804553639568904	0.83743243917396	0.8971457591555	0.763944149861315	0.695088735278566	0.882116236305418	0.710133679268758	0.758471896853764	0.779928279436286	0.916286620596335	0.956362190617208	0.744495227149588	0.852740306015178	0.838495737459807	0.501443377694529	0.824679510659055	0.916856925592296	0.867129339181705	0.835430578261207	0.66410078071893	0.867389793311781	0.679275591581231	0.759647141942041	0.669596455595282	0.708148175725816	0.721097568552729	0.745965000902327	0.642983757367305	0.838871803091173	0.831082191407947	0.863398263633414	0.607987001831727	0.854919528045202	0.842354337521012	0.748744415001622	0.894017451525965	0.825416769775106	0.815267441186842	0.478158959443124	0.88887544267468	0.800162021970438	0.742039021382381	0.839907695119987	0.848329059360409	0.850018135679059	0.820795994844972	0.818878362661197	0.671109476284968	0.540550805202725	0.558127741824288	0.755324922796007	0.901769306786476	0.905768452915109	0.759384101966277	0.945789719297599	0.840555863947244	0.66127738813213	0.727693532766488	0.868475866071881	0.802670737173913	0.768107857047078	0.719509049956181	0.788874966020719	0.874464796683714	0.610578707984194	0.829553286599274	0.810126940457763	0.740246943823542	0.73107883117857	0.772603044405829	0.838266853198795	0.907643758556527	0.762848321535664	0.842378146247271	0.740858854086008	0.846792911401385	0.468546678495513	0.592949425943753	0.940614758612256	0.654684556744168	0.900830626905435	0.820900192903336	0.550626085939949	0.729090484982856	0.781389773800647	0.7469373299186	0.67284097341548	0.868177875200768	0.716056917781453	0.693333429004245	0.91285880397822	0.646726760615927	0.798443530789009	0.779227756630635	0.687919646197449	0.895559931993816
LRP1	0.554923460676492	0.884176941132713	1	0.384095682303507	0.755083866559341	0.807832559682949	0.616299679430484	0.402192361787725	0.780541209179449	0.562634358324187	0.821654221153025	0.590441837720277	0.852255285038545	0.546962109536809	0.741612636367679	0.879272810109318	0.383284940771708	0.860073215582394	0.57430910006144	0.758386552725207	0.634049077417182	0.672070637234033	0.859314065512687	0.797175815045152	0.679943173731786	0.76802663332056	0.767226047320665	0.510844960053439	0.412170855201818	0.736850381165948	0.714463342848037	0.643856075338494	0.883902595488911	0.918417964346676	0.874765377966478	0.647831206872603	0.870389135814458	0.888098123452969	0.462114683683296	0.793891030776244	0.786377989755516	0.640759093550166	0.731471531309975	0.642624392729205	0.883008678380733	0.482080287668598	0.720576482959791	0.375440559561895	0.745393278042404	0.495236037405083	0.656578344960631	0.502016029650815	0.655787264042829	0.690732262516509	0.655925367438659	0.704008829991338	0.727110910468528	0.793710483870657	0.651424525830913	0.704463113153422	0.726692221829857	0.622001752947858	0.582867740963421	0.888566804535481	0.707914133591931	0.543692497546121	0.79462748705579	0.767211104407313	0.636904387441951	0.685577240403614	0.752539560942551	0.590420532467457	0.60814442136438	0.308971176923686	0.77626743526179	0.796429331312241	0.815040754838325	0.624092663392886	0.790721880709337	0.595766537041642	0.738147321653225	0.592023610717111	0.849896485273163	0.778878839902006	0.516965667327654	0.671379825074428	0.564643779881131	0.78784484681548	0.756968071970452	0.723407709917804	0.621966612258571	0.508049954009824	0.735380018620517	0.839156819716809	0.68497514724853	0.739380240044351	0.766057921582809	0.715079734115537	0.744629902017698	0.759807784205571	0.46040990066107	0.571277836116845	0.869917842936106	0.56307952084473	0.729077088751294	0.766026796546261	0.657108537004953	0.734812265160771	0.836723272631546	0.520428166306358	0.511567571433242	0.715361127512559	0.438644389523931	0.508903902203037	0.702442477850647	0.336015475488226	0.58975480569102	0.686750989110561	0.394069190881163	0.840871011359533
NCL	0.410294800774152	0.687219353920429	0.384095682303507	1	0.752538433919004	0.0582517616277807	0.102564223588287	0.636687889414708	0.792852384910708	0.811586521951199	0.732197041597837	-0.0347649049014554	0.431139865085475	0.568240691641227	0.784310778340495	0.518825322386027	0.963800125959318	0.397578521653967	0.761473114191933	0.652633418782613	0.804877815381284	0.810114356570487	0.69387940190771	0.678293935684498	0.710354167406966	0.631593176697595	0.746187837480931	0.908657946422	0.910732283592934	0.748082213878114	0.392096858520522	0.698802824657657	0.285995856004924	0.511159079033274	0.688475106189277	0.531302166660942	0.4523670267766	0.321267070764011	0.351272148356717	0.466404267805683	0.708714703855357	0.907820353963077	0.675630537888466	0.431283432524048	0.48307463763582	0.735101420796153	0.458493988648499	0.950603065794152	0.387375567899745	0.886168711795686	0.631890012824304	0.561399874146026	0.769752356480373	0.764518107081079	0.848000834656961	0.201548671146362	0.705269266333371	0.575694233612159	0.579764918523989	0.831828374540925	0.686742286145563	0.83338415932871	-0.0225256672073334	0.541818636954622	0.659909651610612	0.835264377690565	0.583762633238432	0.591483388381769	0.865682115899571	0.733707870283852	0.6132166112452	0.480375939706039	0.0426846179779176	0.783269032492735	0.343581191599693	0.615717135993795	0.68799323583537	0.650595073845701	0.74099406597047	0.923310765834717	0.215839709431663	0.641823077130418	0.513445641761009	0.489835021350661	0.924420493340009	0.542582395853837	0.855488288698098	0.672773581381284	0.0724302163315456	0.655495112242894	0.79994002592055	0.838342054721875	0.414189217560415	0.205944160642666	0.724564005374403	0.794755001437405	0.339673891861746	0.686476802056866	0.491138199993751	0.646357077618723	0.31663031610869	0.380112191181048	0.63268437814946	0.564077050125488	0.831929941087562	0.516685189702536	0.0598906466315939	0.338140161796322	0.248043440898995	0.819705015171433	0.66802888280695	0.729574900263272	0.858260971521802	0.722282813468417	0.884776316570105	0.988431667419156	0.847236491153957	0.625365256443646	0.96025528066523	0.666130656371918
PLXNB2	0.433484056905801	0.899689125243141	0.755083866559341	0.752538433919004	1	0.461365382971833	0.417402826592011	0.535893136007802	0.853056462137229	0.747699750172598	0.870079205189282	0.214820177074353	0.701142783954535	0.691416421870415	0.827372602869154	0.796594451437176	0.745725803114253	0.710808678762406	0.821871306106756	0.807821729722697	0.837760683338268	0.829145907229451	0.885469564376667	0.797806929353609	0.723113505460235	0.776125526080692	0.871669510294836	0.791575700377059	0.742209655751446	0.851434325872184	0.581131340515465	0.679223745675373	0.636579760021167	0.775215578250365	0.877583044325376	0.604610085167424	0.73439602276415	0.714934873948444	0.361174400927214	0.781063085828066	0.839104827710045	0.881287584067909	0.788564755372813	0.538454808995888	0.742508430542165	0.619050789439836	0.666520034087845	0.727277232496581	0.59057234581075	0.77022814029472	0.667438242811772	0.6170581092224	0.768410494425909	0.775467302103514	0.838972234333834	0.445465389559198	0.775080210375507	0.777976225209899	0.724347077476354	0.870635957533965	0.758123775263023	0.823719637124576	0.407356278465906	0.785128772147433	0.777266854413896	0.697670342304155	0.74293903808417	0.709634691037523	0.805319263112808	0.791161022900118	0.817840713492505	0.711973278656247	0.439589165618997	0.585089306570251	0.574401382402068	0.815547306917692	0.819273390743692	0.717396341276698	0.844854372739359	0.813809313486918	0.5260502516837	0.611346470503056	0.761042656087018	0.700555150822224	0.787479157605947	0.684502471422134	0.775799757876369	0.835942081309982	0.442095335684058	0.723198726262048	0.852149030511957	0.776019838401959	0.609222044608101	0.604351768032722	0.754109975125002	0.8888893906893	0.668786245483722	0.72817152372658	0.632523702198505	0.77266062065474	0.31166230428145	0.647885783549199	0.891332909065497	0.591754013309542	0.845268433294813	0.730025241115595	0.45007065832566	0.659321241560483	0.564214536877331	0.773118020447942	0.669234190446922	0.82530592855856	0.778396478672481	0.693124963665353	0.88994948270779	0.701890975862041	0.812257395297542	0.764036812510542	0.7303336997602	0.84593331499268
SDC3	0.479505837348694	0.630669253446227	0.807832559682949	0.0582517616277807	0.461365382971833	1	0.444912900532021	0.113067823418567	0.550499639920308	0.268763615429934	0.602284799788509	0.615145407258546	0.687556541327002	0.163806383816058	0.497220015575602	0.732141039453185	-0.00296159184875751	0.844944203414971	0.235680416039842	0.581324457184502	0.231779729976385	0.320768311229306	0.584826377057951	0.571105359577158	0.393574643260778	0.527914491576331	0.468315110075967	0.191187450302593	0.0618509112513817	0.471419257083152	0.496329224867303	0.492495451400643	0.87352881428173	0.805938013555995	0.6763289145319	0.489531236670979	0.720408861827206	0.793501061928446	0.36014960353612	0.521029157077558	0.457983595628686	0.353174343235208	0.483467911128708	0.475832373012902	0.737564397395661	0.200106146755879	0.532809673956383	0.0524253714929952	0.599332814859738	0.147462284225453	0.494456166577866	0.215425004326427	0.357238943285003	0.480421574907256	0.353140194522572	0.677829583444665	0.467646565895339	0.636877545455427	0.325981717406779	0.361388586360753	0.507162823283764	0.321780017341875	0.426054981806421	0.759196754243344	0.42806961225463	0.287340690541765	0.651476369474897	0.585380050507581	0.315069977270933	0.465697545106322	0.453974971006301	0.249541562592492	0.398837600570617	0.031116912623628	0.732665591959186	0.553143291471771	0.579467834958385	0.468708623670576	0.507437623601819	0.301267783967243	0.612782045110092	0.411122147231522	0.683578888666148	0.601621034380225	0.126543067097368	0.457542187330713	0.222415812638118	0.56636856162818	0.691949211603456	0.582616687828686	0.254612583295961	0.168356091560273	0.661082325455799	0.786729754717842	0.419764070699148	0.476949481095137	0.505306993365128	0.485766738393726	0.56827005169133	0.553890864319649	0.412594745295624	0.222246218078133	0.646552172986612	0.366315054055995	0.456567272612796	0.499013480318152	0.507606850715267	0.515070930676696	0.718439011252096	0.180896741444477	0.197954660929311	0.365515354886219	0.0556487220700881	0.110003099412376	0.366256993390466	0.0168572639127618	0.210253205846441	0.505999462013623	0.0945803778439329	0.575163117522362
SDC2	0.254983728701171	0.577458635608575	0.616299679430484	0.102564223588287	0.417402826592011	0.444912900532021	1	0.287124410645474	0.360969144708699	0.185933668981628	0.434765001319038	0.54986344000008	0.742989625953937	0.640427671008729	0.34576147820847	0.54099740563171	0.157704278997318	0.340974882848859	0.405740737717229	0.24746776058377	0.502467649721574	0.446545023614265	0.547798451804973	0.407998660297548	0.444067006099318	0.538334843563133	0.483468412967962	0.162829233424344	0.169331274173387	0.382446841938971	0.641052284250772	0.246796172000275	0.461552148033737	0.530818787057372	0.472179349665883	0.344200511923433	0.577351059198975	0.614179615849912	0.230016816452504	0.679166848259629	0.618211890532085	0.249582147231161	0.349349793146141	0.327271383117483	0.501555207609315	0.220570417837712	0.404764066058588	0.144506920655246	0.343489386218166	0.224059756979482	0.172452309945645	0.481519581958577	0.414594882284196	0.271609375045626	0.362424367025486	0.389535921080565	0.4490901626345	0.430789574063376	0.542120448300444	0.467532195138801	0.284266018924093	0.299678172513482	0.780500987737318	0.479470714831894	0.392721367438403	0.220664239287017	0.356009143712843	0.431808202909999	0.358023809310105	0.296972659009064	0.544887088436362	0.445457535605476	0.853352558877369	0.0645030723590179	0.390420204551829	0.628743085510806	0.506719149792247	0.194242315514294	0.578955124506298	0.290911856788005	0.487310793901778	0.266679763418508	0.531469004112052	0.416789727313541	0.286167920155856	0.376514422521334	0.279193496086035	0.374917532404007	0.648074646326516	0.322226735520126	0.415040516648498	0.347710448516081	0.306315597315563	0.611538156067624	0.443136126966037	0.393013291916457	0.721612870251811	0.398161871304397	0.465766530991148	0.440492442546757	0.215524718131693	0.473233037847258	0.474765043868016	0.246188811856254	0.352786760938238	0.549471323929261	0.766440103302236	0.658426625069592	0.797994687374877	0.346328652372155	0.286056689958434	0.518550533452865	0.308700157652865	0.406016476956131	0.431251963658879	0.086048468547959	0.359771254578318	0.235463195859546	0.130351758586617	0.466150575549581
CXCR4	0.740883396435933	0.571759148471552	0.402192361787725	0.636687889414708	0.535893136007802	0.113067823418567	0.287124410645474	1	0.534276714152839	0.779359454298863	0.618984475200211	0.390414871273335	0.446869172906738	0.459186215817965	0.598658031526684	0.342282012250183	0.704425142591435	0.234752031961702	0.464453968073674	0.455809109354289	0.727518151155719	0.794613413306969	0.64631726513058	0.669414276111313	0.826633847314222	0.494701428848241	0.665698452527737	0.77216250146571	0.641877828840284	0.625703063085485	0.653158913210396	0.64988589830331	0.275357240374181	0.399076423793919	0.560320508223867	0.72775667742123	0.549920994433526	0.228336576693646	0.748596327526069	0.390455489355577	0.695958263926828	0.638352240929192	0.675057543491815	0.781938711391131	0.54192465584453	0.872883063143734	0.594402299302131	0.581567993046967	0.665344006207483	0.52485707727287	0.611672431163992	0.207215182138496	0.797795921737487	0.673855612187198	0.758556205966905	0.516897430574467	0.734090291157768	0.448009774671579	0.585731322089682	0.624497002130293	0.760808672512994	0.690810885913382	0.100831812696929	0.469891618024712	0.584090628262806	0.756420402084121	0.616332007535817	0.666182454627512	0.725138293562304	0.52609915754089	0.581320526487756	0.321980099357723	0.212747643541469	0.856279663368405	0.478825021703447	0.480429228994606	0.66261752046088	0.611079048369139	0.661672532816144	0.707827143108244	0.536517286283427	0.798100928134883	0.605893992533925	0.62827557078982	0.780206175928227	0.659929617578995	0.873046707799211	0.480001166010915	0.425546532282394	0.680601716149568	0.592955600994075	0.582160516197074	0.545364952031159	0.259873209462183	0.791404092490058	0.513502074051952	0.548532689522967	0.760201075359147	0.649657762360962	0.602515020466706	0.716625316897021	0.364803435568249	0.51666715563261	0.831477013646864	0.721958007929916	0.697407296401641	0.256550198417157	0.252373351077362	0.447821004464596	0.522532060964697	0.719921612695329	0.745752905594971	0.642590494888938	0.700797279509472	0.663369538257219	0.633695586879439	0.785833281982302	0.555015752014486	0.670724758253323	0.606543756854834
ENG	0.555987142945171	0.908184905407277	0.780541209179449	0.792852384910708	0.853056462137229	0.550499639920308	0.360969144708699	0.534276714152839	1	0.781093422491069	0.934046532884392	0.275733167980157	0.707636162165179	0.626849361420909	0.940736150200523	0.864108340524442	0.75423698733931	0.818439109125796	0.755071113113766	0.900248541868909	0.756688327734552	0.856378312699718	0.897000421440584	0.881369940490437	0.77414346536841	0.803552649757734	0.85876916483783	0.834541369366969	0.771136158356644	0.853166691068557	0.605454472746454	0.800868509965659	0.740161293539202	0.875199899611368	0.942908895684944	0.697328968939886	0.733727055516236	0.739228018009467	0.467637732099865	0.662145372103708	0.860869693093368	0.928521792167568	0.800072692313432	0.608819328454318	0.80370891776616	0.691858539337848	0.68433753982231	0.785768485101282	0.647272989459369	0.811564538872006	0.771417685949214	0.600916058812117	0.840071060354758	0.876759092915958	0.872650378482992	0.522128479807076	0.793032058719498	0.819941236739277	0.617069634543153	0.865686939302241	0.828989208648594	0.838133821173804	0.210017843755375	0.863533893610892	0.742561656054486	0.822716957436261	0.790347093895301	0.83655874770879	0.866771186497203	0.848663942831706	0.717713701225624	0.616582026128872	0.270089933823489	0.617913223052426	0.719297358485735	0.810945316609791	0.871057925692415	0.781043787098803	0.891374927760152	0.884515913785858	0.524730523585678	0.742273644808795	0.800278493587986	0.755506687205081	0.801258687683899	0.646706825242704	0.794275720874978	0.891061632487837	0.420739528355431	0.828088223844154	0.81365000564897	0.714929445434139	0.71187063082125	0.657304865303918	0.805389557601779	0.923451140162433	0.54213740958667	0.834110712447116	0.688448311089738	0.82916047892066	0.437272277740251	0.493630559741658	0.904275066310725	0.660098340448976	0.907572410325064	0.691321521346399	0.326680761103922	0.567631428991232	0.598239362730389	0.788761634533207	0.638591552312069	0.776029102757808	0.706737795616609	0.650754634581494	0.890799591777837	0.759685576678151	0.777444252146187	0.794950645898611	0.78172030860281	0.854432664585295
SORL1	0.74497583189625	0.755382574036904	0.562634358324187	0.811586521951199	0.747699750172598	0.268763615429934	0.185933668981628	0.779359454298863	0.781093422491069	1	0.814854428597833	0.347815873230743	0.520739191143959	0.432767930431941	0.799635750429248	0.573834921484846	0.808835208333372	0.52233484824605	0.601373590950784	0.733066337411957	0.763522834707602	0.857339392306408	0.800445613467886	0.833226655427153	0.856825648482144	0.617995866255138	0.769687494941427	0.891551458160962	0.750606426434709	0.789588556105711	0.585375227929996	0.804122573445076	0.504615023687807	0.617873879889897	0.771416694222664	0.797988298837203	0.673054629317029	0.416055550097102	0.709008526992318	0.502068706051645	0.752767056938973	0.8490035796489	0.838258970416809	0.770525005126909	0.698366179975351	0.893258892640295	0.719284671775055	0.727500152776702	0.730710579962133	0.707021970640028	0.824303587920646	0.32042130839887	0.856193605404012	0.843355878442253	0.872251958813624	0.583192975528104	0.834841969166773	0.653862702751756	0.656604385095172	0.776219179276297	0.897934073605658	0.860791031748424	0.0476050638039159	0.6551054244943	0.7222432761242	0.852225556405884	0.820691162757223	0.802302110330091	0.860404931360313	0.760169966377856	0.678739821772657	0.445936105002967	0.100489072967573	0.833081843724516	0.640967105828471	0.592402485690075	0.810335015669879	0.818983558369985	0.762448491313572	0.857177143819483	0.598307144505948	0.847296775369788	0.728330900795991	0.78114710949493	0.870409979808608	0.742099725079261	0.918932466595023	0.744232115971523	0.416793918832385	0.833620554478988	0.706266197777933	0.697879069184345	0.699030678934753	0.39504533254195	0.828746507454324	0.722521334749828	0.519967531167396	0.869202819824291	0.70946123712315	0.740781835458521	0.666779032830543	0.398058352525501	0.728909018824457	0.78925031702859	0.89021296492679	0.761199797116612	0.166838694831719	0.350642062086875	0.438334743785177	0.662164900397452	0.767098122644977	0.785332950871242	0.689085164788963	0.693473508198414	0.822747209222558	0.781738303273899	0.864294293557691	0.772094024703654	0.813208869261197	0.79946672606733
