""	C3AR1	CD68	ITGB2	CD4	LAIR1	ITGAX	NRP1	CD93	TLR4	TREM2	ITGAM	ITGB1	HLA.DPB1	PLXDC2	HAVCR2	CD33	TLR1	TLR6	CD163	STAB1	TNFRSF1B	SORL1	SCARB1	MERTK	CR1	LRP1	CCR1	C5AR2	PTPRC	TLR2	CD81	TMIGD3	PTGER4	CD46	TNFRSF1A	SDC2	FPR1	ABCA1	GPNMB	LILRB1	C5AR1	ENG	CD74	APLP2	LILRB2	AXL	CD44	COLEC12	ADORA3	PLAUR	P2RY12	CD180	RIPK1	IL18BP	ITGB5	ITGA4	TFRC	ADCY7	CANX	UNC5B	ITGAV	CXCR4	TLR7	PILRA	SLC1A5	LILRA4	ITGA6	ST14	PECAM1	CD47	CD226	C1QBP	CD40	VSIR	SORT1	ADRB2	MRC2	RHBDF2	ALOX5	ASGR1	TSPAN15	HFE	CD9	IL6R	LPP	TSPAN14	CAP1	NOTCH2	SIGLEC10	FPR3	IGF2R	TSPAN17	CD300LF	TNFRSF21	ITGAL	FAS	SEMA4C	PRLR	PLXND1	CADM1	TRPM2	ADGRE2	CD82	CD69	SIRPA	PLD2	RYR1	IL2RA	SPN	ADGRE5	SELL	PTPRJ	SIGIRR	STX4	CD99L2	PILRB	INSR	SIGLEC1	IFNLR1	FZD2	GPR84	PLXNB2	TNFRSF10B	TRADD	ITGA5	KCNQ1	SDC3	RACK1	MCFD2	NRP2	FZD5	CD72	OPRL1	KCNQ3	PLD1	PDE1B	STX3	IL17RC	THBD	MGRN1	ATRN	TREM1	RYK	NCSTN	ATP5F1B	AMFR	JMJD6	ANTXR1	RXRA	TNFRSF14	EPHB6	ERAP1	SMAP1	NOTCH1	CD63	TNFRSF12A	LRP10	EDNRB	LAMP1	RAMP1	RPSA	EPHB2	PTPRA	JAML	CXADR	CCRL2	SLC16A1	SDC4	DAG1	CLEC2D	NCL	PTPRZ1
C3AR1	1	0.631067746264443	0.953605886978824	0.940605208586381	0.909835995726617	0.888256334058535	0.793589848060298	-0.0657871769652542	0.627714221809758	0.932325732261715	0.874128816718858	0.928565531672888	0.334176081797498	0.934391101215646	0.921475306317655	0.931424573954418	0.903159277646957	0.775616712169669	0.907280917261194	0.777340424836923	0.681322581668365	0.897333799921779	0.711253303968209	0.772816852800196	0.373718601620058	0.851408075639006	0.862993135696063	0.707267746402702	0.894668230032016	0.756505557632013	0.90747506114718	0.850862945532277	0.745911148998177	0.777822337740342	0.884028595713463	0.75761129160596	0.785150437096742	0.615474090178043	0.451882701513137	0.867452328881254	0.839224405603869	0.906267785761249	0.674258061104171	0.894386263895434	0.0591698032115062	0.717953031762397	0.0270899135050801	0.584375680570427	0.799993777263396	0.725760883723831	0.639864304411311	0.850990851501552	0.896460177378121	0.857776432855888	0.845179146472255	-0.120452286268047	0.709118077817705	0.895568652911008	0.840019140175062	0.802552211461874	0.812854625251754	-0.102284718321869	0.857069283667456	0.915324362155961	0.889584102856128	0.535155190253685	0.886799677454666	0.658522669262358	0.346152773626925	0.73921238527911	0.59855789453524	0.807616304724153	0.877993946139512	0.3866285638175	0.856166840973503	0.848630502866808	0.753274304935927	0.800080525566343	0.811894395420857	-0.048310878670703	0.814400692943692	0.727385868411876	0.367983089968275	0.811296388202572	0.832026230879662	0.920895350295658	0.914333911442566	0.464951967997231	0.771195335922349	0.428640280121453	0.715892521240449	0.711297466236627	0.612630681383548	0.383889562690079	0.765247808308317	0.782583741755036	0.699204767364254	0.148846788756008	0.578842709975933	0.424288449885425	0.910118291052907	0.720455365880159	0.561443763236284	0.606195326624168	0.912083066109754	0.811591028755087	0.643919238429073	0.0261124309264291	0.5913898400383	0.734726650805167	0.479881534492574	0.926627612322236	0.717744145191458	0.927008312100559	0.78352623187131	0.671807275183669	-0.0855796269352235	0.157786010730021	0.827538212813266	0.577836914592599	0.672595263081866	0.91040678075511	0.754257119654998	0.81752054416852	0.597202994761927	0.835040358860662	0.390205495577465	0.877933562924911	0.88297913340123	0.824619630677373	0.399959799737555	0.27742264616034	0.716985583570134	0.78430827840862	0.857450804803874	0.762232836591224	0.688186934184302	0.523513076462213	0.181903006167396	0.710372916588831	0.823045032485849	0.545773070293801	0.707150074009662	0.853973685119972	0.800947088659719	0.622421959916772	0.786440595195353	0.214579575294455	0.783149519602159	0.525443897971472	0.685982082193057	0.680261313402427	0.726408651157147	0.35788374557734	0.779707771766906	0.734317244962588	0.924421934179859	0.572335735611786	0.825577550050937	0.766537437772895	0.858760537721257	0.394090345705363	0.765212317583753	-0.182616931551498	0.659582827908859	0.837153582388461	0.618286724585714	0.134016380069269	0.388327338975143	0.34419607673378	0.828519749100635	0.0634404055567679
CD68	0.631067746264443	1	0.680800569891266	0.529695761556529	0.840318142346802	0.724322252002016	0.554469473588554	-0.515863404665266	0.899582786796961	0.694242499500898	0.4660108226694	0.5813006311598	0.587996534091489	0.715495695220365	0.440242929524131	0.709617408451256	0.40680408187586	0.401852786863981	0.407900384024399	0.357476288982419	0.044140817724462	0.417599759039303	0.935813773370821	0.690763245048924	0.755024466323131	0.874429895199379	0.669789281201828	0.0843405728507	0.338806002490251	0.150591153711477	0.852507865424332	0.297835961815904	0.585400010245593	0.863775446585834	0.727300697688156	0.78320626492593	0.113726536435005	0.897189082677914	0.944178278113735	0.370865560481557	0.579190600513824	0.425687504839825	0.711983459901195	0.846006585775287	0.315212888626181	0.892024844662934	0.636708861888739	0.922081484646017	0.918420901046263	0.961959346483056	-0.0742385589259422	0.748723833836042	0.578094318957798	0.580478859121104	0.69857635932872	0.286115138206086	0.128556040033233	0.520958877701156	0.83601802902191	0.313121256462273	0.17799183078638	0.0456854112990212	0.501378124021272	0.738354494835344	0.590857824677583	0.81410408740287	0.644743278817494	0.897574926994475	0.848638910895781	0.858228123770959	-0.0774439239541253	0.684196251002693	0.438067034098005	-0.274943651738887	0.508946443863204	0.299340411686084	0.241561086728242	0.155141330015248	0.247447226661415	0.576654718782855	0.241695933220383	0.492039296139893	0.891120606162027	0.651233093609239	0.724138537213731	0.754212553503081	0.781700047332754	0.873757954331684	0.0835240182445537	0.861133667135842	0.926809673491121	0.806417309604117	0.856738117252317	0.881597945512885	0.238326784052882	0.221005261185703	0.284164165232302	0.657798784953525	0.83735845923321	0.8141017485088	0.532806070656997	0.129607880247099	0.881651574399182	-0.108932820259786	0.773568366560872	0.51570778927254	-0.0168094876690825	0.345800203179936	0.840761567245278	0.430977998009479	0.0747339823564811	0.668620611300209	0.489266097645691	0.731826862160194	0.734363349212785	0.508496657651454	0.405529725823377	0.780342628799967	0.310693978505489	0.570912285082103	0.0181340265105329	0.626815636757547	0.180855164893377	0.816935830228504	0.685699273339847	0.220821726498122	0.84785962818572	0.689000400157371	0.831328297851432	0.861518198800997	0.693486868469298	0.731883370591687	0.289661827853042	0.18476519660038	0.543391524753449	0.284344325228973	0.864423449344722	0.709175916545287	-0.325747431720415	0.484450459203476	0.637843054993824	0.0897451665667293	0.671081893232339	0.794197736804948	0.832371547361049	0.753696980551669	0.211066142708451	0.125624955441842	0.677286338603814	0.926158626405771	0.256022022976536	0.64501599163729	0.853556601661068	0.367568866175888	0.942826189731154	0.557604325156261	0.737503692348384	0.621094967965683	0.916225149672364	0.187679144855796	0.651232727036482	0.664444620670298	0.666322736137699	0.289820752428863	0.0873522485385214	0.783222695162656	0.460278270905854	0.718173594723362	0.461356163623554	0.213517880724092	0.731249063250497	0.0659634330988164
ITGB2	0.953605886978824	0.680800569891266	1	0.943772680046724	0.924489877187754	0.949235037816871	0.827906945033183	-0.0954058673257938	0.634920842929842	0.974989012658778	0.912315037657646	0.969329516363726	0.229167200296008	0.941393564157519	0.933230965336273	0.943042286417244	0.842186874236761	0.776601617680613	0.913789957000361	0.757629373257726	0.650000310095782	0.928182267984495	0.727991404500825	0.729047075640299	0.393137675622837	0.885867515377784	0.916435316206381	0.671391787158529	0.854885421880367	0.668205445725392	0.918434261979082	0.868393687704998	0.681023021242248	0.750795105915231	0.879497642989756	0.753630659163262	0.768340500201277	0.645149280050091	0.486837630643697	0.869639540868588	0.818929833780811	0.928093126460637	0.584644065027839	0.931741223508201	0.0172003628353073	0.714820066732208	0.0446383798808702	0.672115026832501	0.832623609039888	0.751839790763389	0.610515219414579	0.920126095709184	0.890452648554847	0.872698374306778	0.874027644505328	-0.175477175321855	0.704157849185068	0.904397796208328	0.866988332118758	0.804779448294145	0.816350312306785	-0.183385271856045	0.851872330957438	0.911286296967703	0.878182608403038	0.544646514487513	0.928518202849135	0.710280942115295	0.364753503327653	0.727982282015074	0.569899759854241	0.819574645580164	0.891383771410947	0.288761051692416	0.906034638053496	0.839537046302985	0.726287106502059	0.775234605467032	0.814869219036362	-0.045873852424505	0.835951571903771	0.67559619127264	0.386260891356962	0.863139017946274	0.847769992447597	0.936840939725369	0.942039943468308	0.4736426105116	0.741183391173245	0.443249653702015	0.773021206393143	0.781838367771414	0.635693674872868	0.402582448816528	0.810105889741438	0.797234933682673	0.646947976256419	0.121143323643484	0.607491038227984	0.417926139336579	0.910186932567911	0.674949573281527	0.623139184361506	0.554541545278103	0.947364295040824	0.841104880556888	0.640819485422257	-0.0749217328639837	0.687297730699372	0.752691299800753	0.416290174909017	0.951762279163964	0.677207901524926	0.947382488241832	0.812602649000382	0.721361539920963	-0.0791689483957621	0.164927549210693	0.820017423573957	0.537328566431699	0.667872255079671	0.923380104952381	0.755978530928452	0.799434726441113	0.693156099365178	0.839009526516581	0.415092620778051	0.86185582186878	0.900988251728884	0.860860727452396	0.405399217564502	0.214085229906629	0.728522683919326	0.785571005928183	0.878355316254183	0.758918405466171	0.717693992531879	0.553000157009134	0.14580775646797	0.741847024301267	0.802651592580451	0.614466282845723	0.709704311968316	0.881209610989679	0.826567828265463	0.601299121237161	0.751648129812893	0.187988997753362	0.799740375027887	0.545686734053495	0.703197896103965	0.731031534445849	0.709273472367566	0.3569002487195	0.825788570072199	0.765105128768839	0.922427150973427	0.578565101853846	0.851957154569866	0.778340728122015	0.861483265440243	0.430620777162314	0.780956477290044	-0.212291965241268	0.67967500905703	0.902172128420714	0.643569042744548	0.204914891675186	0.407468399636603	0.302685593893094	0.832485005127522	0.0731619229741281
CD4	0.940605208586381	0.529695761556529	0.943772680046724	1	0.878285862798089	0.85112737757468	0.866270946575555	0.0251886869785301	0.54471885908267	0.900449488510694	0.912687465962422	0.929505638487562	0.171874114212176	0.926772629738277	0.964789505427185	0.904635533438901	0.91412319703636	0.819123396140802	0.964728799421278	0.867749103393868	0.800292515800482	0.923638017967306	0.628462166332474	0.772549720703703	0.281986962825026	0.812808235502634	0.882099833191539	0.778057522703454	0.934258576951582	0.799608285627518	0.826168579395334	0.897766651103161	0.742677389218813	0.67922838585562	0.885124484950785	0.698881225905787	0.859755653095295	0.569384376752627	0.311118893718811	0.914449370875085	0.849529494625785	0.955173236404229	0.569917186134826	0.856366044412919	0.00585367567887995	0.624090372324754	-0.085269771520291	0.537118286346567	0.755398767402094	0.629608669437984	0.742527973385085	0.822557699730783	0.897360081234072	0.85442263974479	0.878580410257156	-0.20002262769379	0.802536159738183	0.937421933941366	0.833896127915525	0.871505122311564	0.900914533103274	-0.188105683304716	0.888626035343832	0.8686019934798	0.869033620613099	0.355364205434581	0.907510860124181	0.621281763672172	0.269054918871601	0.635582315822103	0.702852898610887	0.76718899984619	0.886790634404176	0.474276824863625	0.894964841288832	0.917389265849485	0.836470279300171	0.881902101556766	0.869965559886234	-0.180173006986076	0.867311842190838	0.711548564606745	0.214609528374898	0.814979173008408	0.813213577621257	0.90030028544584	0.872183103342971	0.335635246763456	0.851611175357939	0.342798062057993	0.642847510746582	0.696441757834082	0.49976492729145	0.314802248411389	0.787567069190239	0.847588942837013	0.729777408291454	0.0215935990036021	0.571294761352939	0.321650570849737	0.954590783180148	0.79915842323894	0.503597050427209	0.672613015196504	0.889767822221367	0.854256905286403	0.734739813420661	-0.0996602183681762	0.5674849461928	0.720932125636385	0.500528638973861	0.928274407357024	0.662087790899397	0.902691610336123	0.780343160020737	0.724094007203771	-0.123750412480661	0.0557672291809313	0.85474724540871	0.49755176832488	0.781582844852736	0.940725220963864	0.853411535388163	0.723645610159691	0.619147127117298	0.88593463171014	0.325759552706579	0.82580203735529	0.831375018086393	0.771233367516435	0.370408525679123	0.0824609975401224	0.769095973149134	0.879915275166807	0.89349636384282	0.817149070607996	0.621218215589494	0.517185378372702	0.264220503963024	0.779844963729509	0.823304587786241	0.577005175723104	0.689818705186345	0.826330700657555	0.755245591461796	0.568445188559568	0.854805699208944	0.233715887003505	0.779189277721043	0.421336429744407	0.754650585297293	0.737979456877374	0.634742477910424	0.353195757490847	0.675376467354957	0.728724353894442	0.890437349314993	0.570108091280437	0.765398244640304	0.803433291655163	0.838244153448733	0.414076351914238	0.754529056961856	-0.342482200192113	0.75997985082929	0.807166163561244	0.657448198269642	0.0658788089124269	0.402914895160535	0.387452240255609	0.814205995316342	0.0973581118953053
LAIR1	0.909835995726617	0.840318142346802	0.924489877187754	0.878285862798089	1	0.871691839661929	0.793581346102514	-0.204346614319472	0.791844744591807	0.905096080183716	0.802166327143647	0.8604188431736	0.457424712452956	0.931261043377649	0.818101988004951	0.927169066067299	0.782299344111915	0.71085501536988	0.795837565557874	0.710075455272841	0.529998682662403	0.769045072767206	0.854422067672832	0.828159769019053	0.541085986461814	0.936681702572684	0.870188976196511	0.530979658011399	0.762087779065953	0.605300574811264	0.960114512666146	0.703183691127074	0.770496286748773	0.879414111315173	0.936080179768267	0.848645696513755	0.600670160652373	0.790856123862098	0.678308348510934	0.752101132646683	0.832603245505167	0.800114634570299	0.761983533844086	0.961866826665165	0.200904578171731	0.832561503380873	0.301009060958519	0.79267208289654	0.932819183702831	0.883885828737269	0.423301947801912	0.861541504167335	0.87639036863443	0.817544969662304	0.882735100095917	0.0535639244941419	0.565677004112859	0.840735687286451	0.938240824786597	0.689707290368363	0.635979126499957	-0.0236794588580041	0.799754632065867	0.930897774030194	0.853598118895938	0.66097145418769	0.872610981954265	0.83942031308313	0.602690908560776	0.850868196100099	0.403280976767218	0.833987028116704	0.77813564483801	0.204811015506219	0.812048252799452	0.729757386220245	0.649188678454828	0.620237532157906	0.674290457991482	0.226439091819577	0.650406106344552	0.696199496354272	0.619421831681913	0.822896810218591	0.855260150497237	0.938202466669156	0.938471043526879	0.67219235734524	0.57567384882005	0.639133019090998	0.847777696390516	0.860269596883626	0.778269872574861	0.640803393929709	0.593492166382141	0.636633224540592	0.603965867407362	0.356815298928927	0.766358879283523	0.619283496598302	0.867809647301396	0.588298794641987	0.755357086375182	0.371348902101022	0.93154010568561	0.788773036952324	0.431970347953714	0.123974688552264	0.769034178678846	0.653772990641334	0.394276796564239	0.895899899961932	0.701941903698739	0.935254756611673	0.851853857715193	0.713418715415418	0.167218582239844	0.428363936505941	0.676723074583217	0.616352885553943	0.479432478291465	0.900270050902977	0.629423791390349	0.884863883224761	0.713329182875189	0.647901538163736	0.622935707585371	0.896172004946531	0.949547539765609	0.910303009975521	0.598350423729246	0.467649107401112	0.653460833285442	0.622546946587653	0.818368577316395	0.641655166250476	0.822453130479241	0.683400767718831	0.0433134025754519	0.72205046787828	0.837250443486173	0.416654687548378	0.777145171502005	0.930663835268847	0.901208806822736	0.75150193685221	0.661032634003734	0.210271758086549	0.849983641578477	0.735455081373639	0.624502333110874	0.751302346084483	0.860705817911969	0.406530099419775	0.909672677103919	0.733517758206288	0.933689908055643	0.679628595457606	0.938088598037041	0.590963784337192	0.874612866264376	0.588154612523248	0.814324002127336	-0.0134661793662082	0.507049346915836	0.890056477765209	0.633755136362986	0.377988813507378	0.484727878327803	0.327835429310954	0.879478552541755	0.0974076893306061
ITGAX	0.888256334058535	0.724322252002016	0.949235037816871	0.85112737757468	0.871691839661929	1	0.794986305240889	-0.234636249168705	0.669124519327595	0.947988741548393	0.856178219380325	0.945072912526783	0.207986183275587	0.90704477288205	0.839056604112938	0.872660224780568	0.736079788723469	0.737230499777563	0.830928509079614	0.647489284431133	0.48230569520034	0.875854298174461	0.759934998237678	0.711656845378991	0.470183186474427	0.894168726887328	0.894698017385661	0.568175632463572	0.741757787715629	0.523405162514233	0.886334835284723	0.763568835846334	0.624860549909609	0.736884257467807	0.805985576950148	0.758903336900933	0.621475580379206	0.711880799264741	0.571274799014867	0.789713733319705	0.773512772464397	0.833711814042848	0.519863056496646	0.920844227822842	0.00216440332612713	0.751995191454857	0.111816362398029	0.72455701361561	0.824048620020493	0.783669166153699	0.458388788199997	0.932380141616997	0.808585399405968	0.837313426204522	0.837730438367552	-0.146035200512911	0.618010728350014	0.824343338596633	0.849240335610618	0.710213865516048	0.715696621972864	-0.199169504584317	0.774884903114928	0.861282185036415	0.788800967200415	0.595618667240035	0.916711885339853	0.714075451768222	0.418717461846718	0.73482116289255	0.445492569098622	0.773076444995586	0.806347994349977	0.0757708083662122	0.851975345117294	0.716752240739218	0.635323214336711	0.639332197865093	0.678347710557272	0.00500881516865814	0.742220105415139	0.61703945498941	0.455384418181228	0.851301960281589	0.873368255400562	0.917176836211491	0.921728836618822	0.530649282349157	0.608541147488134	0.500699525749753	0.843674557510783	0.747566061960581	0.634813352097678	0.459862461700867	0.773076258129409	0.714526125008164	0.555346211392037	0.202971931837488	0.634282365778653	0.468465133306086	0.813556433966232	0.53282616257528	0.677239073710817	0.413825627868857	0.94449681969878	0.802425706293182	0.569051891019195	-0.0461123332140951	0.736835348003251	0.770084639415463	0.277632150906673	0.907400797808322	0.604650033324768	0.915774589041755	0.823967683717494	0.711164311292558	-0.0225011973222026	0.249948718433063	0.78388701846975	0.499177640451116	0.537576708598887	0.854572269803318	0.628661596656885	0.741716741780389	0.685407486641847	0.728354237714131	0.489920790512379	0.773447533482788	0.864526106241384	0.885947928550261	0.404642934183362	0.265756895841012	0.60961567345022	0.694557446498655	0.828020554729128	0.700599608430887	0.748827748578185	0.552347923047348	-0.0127527551373097	0.726128237163164	0.768623564954717	0.587461640486675	0.70679810800199	0.859112314374109	0.80271188555354	0.57661226995592	0.625394752009795	0.185394276208201	0.75149020748954	0.592147042914756	0.591152890273525	0.686587917985353	0.691582560937992	0.374245128689569	0.845122219054154	0.731198328082645	0.877709606761973	0.57143827191416	0.851951693038408	0.718015649419037	0.769631978348597	0.452155638182047	0.773725180866086	-0.16880347115009	0.600854544738142	0.895592134218226	0.615814964814755	0.32074228586969	0.431748901726774	0.308576152029035	0.808714042728188	0.098668273910603
NRP1	0.793589848060298	0.554469473588554	0.827906945033183	0.866270946575555	0.793581346102514	0.794986305240889	1	-0.178722983803748	0.581324404726097	0.782186475276846	0.801477512835364	0.818417670532509	0.0743593272072422	0.856517478347805	0.821026000674259	0.743638029707029	0.755422686040051	0.742177540856618	0.857472522696622	0.892320117922906	0.622075643459366	0.802679289593007	0.665055492346676	0.827657868573453	0.370635387704861	0.811218577000242	0.833457297060201	0.677499677731542	0.751827454452018	0.597217881270679	0.716363967278965	0.716530147604283	0.709988872288972	0.614278907992274	0.821622287214445	0.710710309523204	0.644313730177722	0.69497114068697	0.373291513197869	0.79877282075075	0.729214133294753	0.844899568708877	0.45333760889214	0.806114525642912	-0.0171308403644434	0.682126225861922	-0.0384397520987855	0.644590741185493	0.770136221993616	0.616240507405531	0.563000469190103	0.800209798245635	0.758504414537342	0.771272521384595	0.912579253614346	-0.156650116639089	0.646986452758371	0.83454760614973	0.8038681567486	0.837558923814326	0.757254254038341	-0.349296205803614	0.798405329863257	0.710320954934798	0.755133750039709	0.318772046617043	0.880173637292497	0.646112237040874	0.377058984334684	0.573694723671144	0.544657770090265	0.63575775984906	0.700144757758259	0.197802456544115	0.777521175681104	0.768084268969284	0.768749141158588	0.723924829517787	0.655642570734017	-0.167760727254265	0.705572770487348	0.739841680990001	0.255568193069677	0.760376146364763	0.808821908097395	0.817567782279304	0.770133575377427	0.355911501440652	0.652903817454026	0.456536658860721	0.681335518494269	0.641542265754681	0.420188658670328	0.441509566197331	0.598191090358048	0.637857663179865	0.629713098200548	0.0914042459561163	0.706800180732539	0.431080828424552	0.851717240950447	0.626081724951976	0.560701470486947	0.432614881036458	0.857289935640395	0.807091030076108	0.605571622532191	-0.0192845572381952	0.618908567892851	0.596245397609535	0.270748704955907	0.868910031870986	0.386252853025532	0.777504888251879	0.769950849937853	0.648801648970808	0.0246710340339202	0.210015762352603	0.721152748459992	0.396976807669475	0.59906111359015	0.870370565252799	0.683259432139185	0.587630848325132	0.588102320253557	0.691823940319342	0.493419084360285	0.626796987063755	0.728609311503763	0.776510334237606	0.461283287981955	0.0870901278002852	0.620553021925486	0.794634020069547	0.798590157932419	0.709167931458081	0.610862325661269	0.629862381956415	0.0628169995171392	0.742318778812238	0.763067823348472	0.358880661196842	0.652049032968713	0.736581468963951	0.674880809080103	0.560018372607726	0.618214337427722	0.274562079170328	0.720835440588321	0.471876102989922	0.540478657267413	0.748694113856121	0.554775571213434	0.37712763566533	0.619323843743653	0.625261077596571	0.806111752656011	0.556730352090825	0.735505301780091	0.638949343894422	0.642934543723104	0.563744870101395	0.689489838673408	-0.413483823832388	0.648004437325069	0.761985000726326	0.634754994491305	0.187613774820638	0.45626084792641	0.427158468104268	0.745519262390812	0.103241878170287
CD93	-0.0657871769652542	-0.515863404665266	-0.0954058673257938	0.0251886869785301	-0.204346614319472	-0.234636249168705	-0.178722983803748	1	-0.401933044893385	-0.194024634328793	0.122736112990311	-0.0728972199292054	-0.229161301061921	-0.155063133387987	0.0613823573936906	-0.0753250802692246	0.0986100501526731	0.125228244136065	0.0829404184761599	0.0491430712315291	0.473224021073633	0.0554703161300195	-0.503771321502236	-0.298745386585378	-0.389064295864266	-0.362716890131825	-0.137128718781491	0.247839943248397	0.217665644418551	0.390910592720175	-0.300648058167886	0.0988959388706981	-0.136611433867552	-0.321763723254862	-0.177689148570712	-0.286582979674005	0.331165565152803	-0.543808815315444	-0.605416831926346	0.1732467760721	0.144922315739166	0.0995469808186642	-0.164267052209924	-0.257799372188698	0.250495273636638	-0.495817918009331	-0.218613823432756	-0.505701169990676	-0.419918727759609	-0.410278811550935	0.320304917614369	-0.272202420182907	-0.0223660703302661	-0.169624499849578	-0.233734416944102	-0.0809108157910119	0.285415406601872	0.0448796572897249	-0.255095788256044	0.0104282903566472	0.19074457340768	0.30933037102594	0.00254886454431968	-0.108091510410966	-0.0828402660927203	-0.466260039003869	-0.202050536269971	-0.288357324056319	-0.441905398832069	-0.352635831574991	0.337907888635352	-0.155512358155056	0.00211637642678881	0.659718629267967	0.00245052255165341	0.14033639764786	0.0729764944196052	0.233630516377149	0.324578097699927	-0.183216950671071	0.119998712950997	-0.140392315313392	-0.51174030591842	-0.03532476848873	-0.269305508388212	-0.175108740443396	-0.162815508707439	-0.43420972224217	0.341418736290811	-0.496968358015285	-0.463037710675553	-0.231789515729586	-0.228729868156994	-0.549066464754162	0.212023855535375	0.194432672231569	0.0557995915129509	-0.444288957939689	-0.401763430866776	-0.510810288095089	0.00722359983798006	0.386101881375169	-0.448391013949788	0.398699781696389	-0.223464553103584	-0.0921275223877995	0.235180987265183	-0.268062147972097	-0.378099052837806	0.0402840377621966	0.403630630110775	-0.152414017613401	0.227265878618362	-0.154566507823804	-0.255041582253348	-0.0416375505975297	-0.215710289779023	-0.610046700342049	0.0481711372051801	-0.0878784160958168	0.305896540633749	-0.0893381017297185	0.248642858869613	-0.219797851454969	-0.00164857093840264	0.220420609612336	-0.621983245637968	-0.085005719806884	-0.229176715648825	-0.37630413613075	-0.383557282362548	-0.456041124071492	0.156632917463552	0.161970089603866	-0.0427434049195661	0.134217153899967	-0.273945258304166	-0.377812238848441	0.80873448373936	-0.011099688796432	-0.146361011627618	0.501293287608823	-0.250573207114987	-0.183114390205392	-0.264413378418499	-0.240663996813109	0.291737344987058	-0.0663839379142492	-0.0398877849352393	-0.467260272462455	0.335994838660862	-0.0962539752772465	-0.302583180585394	-0.235992185545365	-0.41941309887312	-0.155055459593031	-0.164454161188401	-0.217690560926028	-0.386442025369924	0.135894051879273	-0.0276788575785918	-0.37156784854205	-0.222673563703091	-0.0479996916534517	0.176473223841234	-0.246673408765715	-0.128306728679739	-0.477667594195856	-0.265570193461298	-0.149769518249906	-0.173641026772291	-0.0997513754139136
TLR4	0.627714221809758	0.899582786796961	0.634920842929842	0.54471885908267	0.791844744591807	0.669124519327595	0.581324404726097	-0.401933044893385	1	0.629546604618589	0.446301612629755	0.564228850876637	0.647607018859595	0.756086996768469	0.417687665705653	0.682555723058189	0.456476356053267	0.435398674126344	0.437300461466991	0.463102246392429	0.108580881543498	0.427578553511618	0.908547943912722	0.788978352017033	0.750738060434134	0.843830724684291	0.650015356316762	0.109114012142072	0.379116659544853	0.261376007599962	0.773503545437978	0.244338304911416	0.688690728284126	0.857882520776494	0.718368453329315	0.751835985345432	0.114883912203269	0.912300252582869	0.846139161358427	0.418986261727535	0.658382581508546	0.417317066921287	0.78553634501411	0.789178767299359	0.472521732066548	0.914215236489391	0.663797973694356	0.832193656529948	0.882825376303269	0.882226714249568	-0.0920391796868904	0.685186729941187	0.575780251026204	0.609211992458368	0.699730403506969	0.428890661146282	0.178797824158955	0.555335090198392	0.84270335932493	0.35005122329994	0.204788172900324	0.175925311247467	0.609401345125854	0.719473180544593	0.570625338289133	0.730398023447438	0.627424695738728	0.898119259578053	0.880982145436571	0.81967533682236	-0.0675563557798836	0.64206409636631	0.354449685495501	-0.19626715177353	0.48788214646505	0.334391873339083	0.292540839991686	0.196692773834998	0.223594395644257	0.57185616960798	0.223860645368327	0.604680677399168	0.769197173973753	0.724998002164131	0.79351486522904	0.771125966962722	0.772928160636775	0.848515414753356	0.109008441481939	0.916566557831864	0.903188818986534	0.714431143320434	0.797021685586914	0.886511129726867	0.205603760386181	0.19225345601135	0.324733801883334	0.718741584121587	0.892407080115792	0.866822947133123	0.560146823269953	0.166430551472843	0.816009043986382	-0.109382145115333	0.753603847679378	0.575552091853013	0.00619171868520083	0.507539688932395	0.805865155337836	0.403647572635197	0.128729409877921	0.668438815912618	0.532005746638356	0.706065745507156	0.703436058633852	0.517111092979161	0.473380362308363	0.781916887036572	0.340160092055977	0.669613051427651	0.0179153745024531	0.61275932926623	0.19541713928094	0.780225457980146	0.706659142421181	0.219322440087827	0.858245747994657	0.659979607574842	0.77749365078372	0.825096964820784	0.727733038171676	0.698400128370043	0.313636572436566	0.222901914219441	0.526226652064735	0.312623507341541	0.882288909027243	0.73636945438577	-0.225280942987336	0.546267242127361	0.667306726628992	0.0561273901546424	0.700250196471659	0.772588562765989	0.787777655520753	0.817354681773312	0.230658116108811	0.227233041734134	0.73268184471253	0.921688171156027	0.305140503419676	0.707143894869155	0.838923707762965	0.434202302579244	0.823331636280699	0.464740696376451	0.743027578825256	0.657013487853042	0.874179187372187	0.159808210156743	0.628542617133111	0.716265232585522	0.668019128913955	0.306055673645903	0.0878913241192555	0.747582425683547	0.463539577710605	0.71561221081485	0.482776530529005	0.301671444238696	0.752765581202414	0.067078087289593
