""	PARD3	TNFRSF1A	EGFR	ERBB2	F2R	CD9	CD63	LRP6	LDLR	INSR	SDC4	PTPRA	TNFRSF12A	ITGB8	CAV1	LPP	NRCAM	AR	PODXL	SMAP1	SIRPA	ABCA1	CANX	EDNRB	DDR1	CNR1	THY1	ADORA1	IGF1R	PILRB	CD99L2	CADM1	NOTCH1	ATP5F1B	APLP2	ITGB1	RAMP1	ITGA3	MET	CHRM3	MCFD2	PVR	NECTIN2	AMFR	ITGAV	CD47	ACKR3	FAS	CD44	ADGRE5	TNFRSF10B	NOTCH2	TFRC	CD81	TSPAN5	TLR4	RIPK1	PDGFRB	SDC2	DPP4	SORT1	RAMP2	PLXNB1	TSPAN12	DDR2	LIFR	MTTP	SMAD3	ITGA5	PLXNB2	TYRO3	CALCRL	NOTCH3	GPC1	RXRA	SLC16A7	GPR37L1	TNFRSF19	TSPAN17	LRP8	SORL1	GPR37	ERAP1	SLC16A1	LRP1	CNTNAP1	AXL	MCAM	NT5E	SCARB1	NCSTN	LRP4	ITGA7	APLP1	PTPRZ1	IL17RC	NRP2	FGFR1	TREM1	SDC3	LAMP1	TRADD	TNFRSF21	CD46	ITGA6	ITGA2	RACK1	NRP1	LRP10	TSPAN14	NCL	CXCR4	RPSA	C1QBP	PLAUR	GPNMB	STAB1	CD163	CD68	CD74
PARD3	1	0.899391539886185	0.778263026365539	0.637229738883774	0.694876011445856	0.759762259854305	0.876505588090857	0.740772378199645	0.810721263108577	0.638704298564397	0.409402952447416	0.891357685348552	0.744677640162018	0.87103656657726	0.155758673228596	0.811059301128278	0.81531558461665	0.796954237338985	0.839900398845266	0.785948016158389	0.803199712666537	0.786992720558369	0.830159765778578	0.582316339155058	0.773544209714939	0.784351399227321	0.750612899129241	0.829937623655041	0.659572222643482	0.773382606500479	0.809828355510292	0.756840925796225	0.721040803058009	0.833692200514766	0.84276911172036	0.567502194254872	0.756999549820699	0.707980403837978	0.71657011883296	0.786447896279551	0.806653973285531	0.811101680610244	0.737124535123541	0.752671894475997	0.881047881193411	0.818876991629486	0.568404335858089	0.545209056508249	0.676353147960549	0.752773659402862	0.637160598249168	0.71985308417698	0.529249935546391	0.77311860334218	0.719227251237472	0.638199334159131	0.791128052131963	0.374466542654389	0.647021678438496	0.622970665526823	0.85500374061695	0.758801270686296	0.62114148738992	0.458442522469806	0.456819037252904	0.5760682423137	0.828527936000718	0.597440797987654	0.302435269058635	0.723827648219382	0.732768789822282	0.802173129643154	0.334704888482215	0.798815010420975	0.771347383227455	0.817857127104973	0.605926841429436	0.587806115157566	0.804335332126517	0.682671779519975	0.788248574588474	0.751052110064654	0.742338606202363	0.487619296809649	0.766134710430153	0.728779588349168	0.631332929667141	0.711012881298662	0.380943965845863	0.574458239711678	0.854527018149971	0.65667398867613	0.845108519097502	0.839320676620647	0.811844914196371	0.848397318133811	0.741459955136324	0.833311238414289	0.163741192764149	0.539247215870533	0.846424391360009	0.744045048080544	0.846492226601604	0.805348690188975	0.422719198457397	0.440628993245391	0.726789009493295	0.508330517332644	0.881193900311594	0.756565302772787	0.778179314082836	0.432813192523931	0.688046308309288	0.804058736157347	0.32561410882238	0.0693752292214312	0.306607182308911	0.117547950060594	0.500488325896598	0.253999457834188
TNFRSF1A	0.899391539886185	1	0.838891609967084	0.714913318371591	0.78696976702315	0.832443626410744	0.958907836089271	0.797060483138373	0.888521638853507	0.719781259206181	0.460314018975245	0.965890413010689	0.827353010147665	0.92107386618727	0.225021327779343	0.881093786683072	0.872807340905523	0.859639966253687	0.877329331842871	0.885951073558926	0.859269919593977	0.840565456274181	0.891797864376012	0.689405236281822	0.846816071649351	0.83001528405295	0.75477059541372	0.876309082237407	0.755825676653351	0.846291750616779	0.895513571497636	0.854446522797034	0.785401255842811	0.922760576077279	0.963626698143606	0.653886156824357	0.849774194411425	0.781679275911667	0.704851336964719	0.815191394635932	0.884852388977853	0.875874479079246	0.840890032959171	0.835343068495672	0.955054886710592	0.916854663312401	0.624449077144007	0.651620127526368	0.80323756048326	0.86174898962445	0.683378627471243	0.790451329527151	0.640318022847624	0.874336235347441	0.856908675252868	0.703731941161691	0.851524067282295	0.441917360424049	0.747679745759476	0.725928420607723	0.924620411750364	0.870069423161091	0.704110945990706	0.556701558426099	0.554154219575089	0.648594790601342	0.904938787599923	0.662689769426866	0.411309858953469	0.785761436543934	0.798660144409293	0.85153743574418	0.429925321675903	0.893583437612921	0.824630888200183	0.856044043019291	0.603099003279431	0.701961312212076	0.886648506440487	0.768704491697702	0.848721471147915	0.736944568058064	0.788157518026839	0.571918505688456	0.840077905050658	0.799903185853851	0.742364021689326	0.752988415772746	0.474363153433119	0.666205316704799	0.899824784346327	0.76538787828653	0.884593530203697	0.922107360991769	0.851219068580052	0.925668915647976	0.861354609771988	0.908797713953485	0.213403382580005	0.64284841727809	0.952632639402354	0.849134486855177	0.902899504951564	0.855476403999741	0.517180256894978	0.523157930194956	0.808662042725857	0.597521084080389	0.953604300611916	0.835624730448547	0.885235445345482	0.474417124049021	0.794162596250312	0.899853602335215	0.424212095996063	0.0907391323994617	0.359010907273806	0.146375768754885	0.559779881941553	0.2721721252493
EGFR	0.778263026365539	0.838891609967084	1	0.664147217192538	0.769012034153322	0.697022077672391	0.828598467769135	0.667831386543205	0.723004870525539	0.763868124332909	0.620855798215069	0.819388280565942	0.809682252521065	0.787028753251812	0.435831091700465	0.848250227510672	0.822419206006304	0.796684080631103	0.657571728685666	0.825568851096287	0.754661881243915	0.836236745963903	0.840144739398648	0.543444554824998	0.704180621444748	0.603098555677579	0.682319961076482	0.730663332147136	0.76297703444294	0.788894353699332	0.771416787721935	0.66152793134298	0.600880271801746	0.767957281105429	0.856832365535166	0.724043976109284	0.634064617703509	0.765109640543035	0.714356758309482	0.720920613580554	0.800907565840261	0.824141455786658	0.812940423455181	0.786293364867287	0.841920042248493	0.81414495571626	0.479251975705336	0.720527536083318	0.760321217664232	0.840225562686974	0.686136248629393	0.829935970013469	0.689922632931708	0.813215204702857	0.787780165675572	0.611753518169551	0.811721946916807	0.534214681836923	0.767534508082707	0.714910474853503	0.758721083817293	0.682570488327824	0.644379433246568	0.387761049012618	0.636650103417087	0.536951132926927	0.712731812321453	0.689531974774199	0.567080860492646	0.775629802202353	0.653418069151689	0.743624307483672	0.56740967839542	0.80352296349112	0.755495763921678	0.825517653741213	0.515515174212677	0.615459183570783	0.7960313858573	0.826698492897293	0.66471425306807	0.660385179647232	0.802400642989449	0.68339203350902	0.850042203140143	0.702947324204824	0.720659826022033	0.595116378737927	0.633498982113775	0.70842904386283	0.80449358046467	0.645218969772613	0.734743532946667	0.85166266582014	0.682291578698865	0.778288704775001	0.8150326102642	0.856994893813622	0.422831693672044	0.463533530501966	0.839841036656744	0.79395065868449	0.747319055790687	0.850517350303186	0.339537626978978	0.649129120591698	0.765836387577742	0.673459374344036	0.845535096199558	0.71625230693664	0.816092842836123	0.553205474673797	0.713264690387205	0.789453378408491	0.553345535894155	0.171773041369828	0.327228955905969	0.0988158383783198	0.582435731024687	0.171929737919864
ERBB2	0.637229738883774	0.714913318371591	0.664147217192538	1	0.603249278200225	0.419016012727686	0.625262041511215	0.665628679825838	0.713429096988853	0.602301718967581	0.280036350447294	0.725956092537069	0.556645995556017	0.696540638108738	0.129977033494216	0.706219019088291	0.644122156055603	0.670921363959005	0.609494395436276	0.563425943154841	0.65478790652532	0.623995822855885	0.601188122071992	0.617905848220579	0.736664885343365	0.688138999282209	0.4787179039963	0.683862117800277	0.627618542089242	0.714478280359804	0.702355017581559	0.620779511411526	0.681754915711905	0.583341517330858	0.707091443048026	0.498904547692099	0.56955833819992	0.606728202421302	0.436242558801251	0.611810435927341	0.620682141986917	0.706904434534516	0.656978547667476	0.629043847431592	0.711512720444058	0.606478539709942	0.507551441249341	0.51548047456649	0.622818955213602	0.634019097817874	0.54943431994881	0.61006112740249	0.483156326905262	0.777212240926149	0.620112238406019	0.678543000815747	0.69585386084866	0.464101944177237	0.642526172794451	0.464403643168085	0.705346299348167	0.539054411761716	0.701909209819981	0.418720653231764	0.442371381463672	0.718498139830454	0.649786018831952	0.672614511749351	0.399703220517604	0.695781368024001	0.625267793352531	0.681817815481653	0.470826634666352	0.733134922828899	0.636148174605515	0.586828148093373	0.551282071698288	0.69612986084038	0.58496187447475	0.611572028446791	0.657366431036396	0.526140843109524	0.564951097794311	0.378063030016138	0.722285968428734	0.717262896739966	0.567980348461144	0.617480628795191	0.327020698375434	0.580936863512256	0.721591845878101	0.650299105547541	0.73623526877095	0.745329082192818	0.686526777865255	0.618586162121423	0.714422279618481	0.691104598123682	0.125395956763791	0.554900177280435	0.695700114107481	0.576188474801082	0.649302634988267	0.6304267087821	0.51960731443089	0.50246805309081	0.469336602751426	0.422388565954977	0.700182713062729	0.620798599622894	0.635387474380486	0.290934439750618	0.483761720963725	0.591886194928075	0.376379660916894	0.0622783390081716	0.353301168449262	0.148825933394787	0.36066230768321	0.18080892208582
F2R	0.694876011445856	0.78696976702315	0.769012034153322	0.603249278200225	1	0.611790588391778	0.825680188172084	0.596175663627685	0.735801496631923	0.759491345704094	0.654867783751711	0.757449663929137	0.847407046743004	0.738550596143066	0.54844685166886	0.856169724521628	0.747492904615617	0.748008242159771	0.602953647637877	0.786456199611618	0.755182535609903	0.805216956689682	0.816860785156134	0.42654067800735	0.615224372504748	0.552759032679799	0.801952786996853	0.645376640766311	0.780572835088454	0.755585801383817	0.767054717406385	0.54412904303002	0.540430044733025	0.78043507455871	0.826379615084529	0.871189557219337	0.534370868983174	0.734656694263371	0.696719078000416	0.601675631813491	0.881497919463214	0.798782779785447	0.907352142090572	0.759025539339353	0.830420232468555	0.860908876388054	0.417796518651364	0.800088274256079	0.824966375423698	0.828545448072009	0.73473805302965	0.860345986808595	0.713157395235266	0.817935137110553	0.811262341602469	0.628312355790765	0.788769289701585	0.76750703211419	0.875217592233594	0.792646552151014	0.698739171085268	0.650355693074676	0.543609858761988	0.294152164139373	0.820898254762231	0.466068846748638	0.626241633826122	0.678702800335827	0.705129737146778	0.801280005773186	0.597413316043836	0.731029484686544	0.751108901673871	0.818251620279647	0.767301742553612	0.792022964282534	0.403796709130108	0.480287108027967	0.800104791309942	0.79962020957738	0.590205834166252	0.59844277129243	0.813951645810063	0.667550577438419	0.789982170025674	0.661189574270984	0.843780175404018	0.659511952273533	0.702778399797366	0.73519618817942	0.799403212657217	0.558843054618308	0.654729034795731	0.830402615178597	0.572088690879298	0.804905267363818	0.811248379377851	0.768693527831814	0.513301696583814	0.341250175123716	0.829707428348918	0.822993758774887	0.694323482111577	0.812140358374479	0.22002137514313	0.698510299062282	0.835730767200264	0.703136000460822	0.851005781129561	0.730000488491419	0.847720436619771	0.657109619262611	0.805248555758436	0.833338947613404	0.69295169479355	0.308825279494912	0.360710185567083	0.163338760127404	0.685236052516058	0.23035760711035
CD9	0.759762259854305	0.832443626410744	0.697022077672391	0.419016012727686	0.611790588391778	1	0.844352341395764	0.55769894341827	0.657730753922787	0.601602563460138	0.439943583236009	0.803572735917649	0.701921443037927	0.76412499186007	0.27824650628803	0.703262528015969	0.750476538509868	0.647302022479361	0.759090663451634	0.870914028977944	0.67164666219848	0.712579902855677	0.833869507607534	0.504358633934514	0.616066340499087	0.66556037378343	0.65832126266863	0.679159772729893	0.668219587095271	0.625520780710435	0.693280426224395	0.73312909928388	0.557982058340359	0.831495608891693	0.802761094594579	0.478170636973611	0.721209327480744	0.638275981124374	0.686310297733566	0.734002516346267	0.787014940290121	0.667253009848245	0.64579938489431	0.718100599581664	0.799884486278252	0.794638835173732	0.429534590172373	0.52437108030364	0.634338898604146	0.666729434319525	0.536661554726064	0.615415952786845	0.595311596225872	0.578460293979197	0.724393504951984	0.466402472495195	0.679484793573042	0.188638562141923	0.51840602215559	0.584568544632266	0.75464861499644	0.762701697579644	0.383472825201127	0.43714970738987	0.377147816444382	0.414037565080388	0.800290810603935	0.413810341296663	0.230917593014768	0.511121738464364	0.60689511333027	0.674568340294227	0.204405703766478	0.680380293002961	0.693279282814386	0.768547972307557	0.412053863356773	0.476573534443969	0.767949524540258	0.614582910006333	0.709033930588796	0.639883909823541	0.684687473098579	0.637719592700622	0.636608961692729	0.610810882979771	0.606539204701282	0.538813003773586	0.39706322480912	0.599947008898049	0.723783092503053	0.644119784325201	0.665234203780805	0.718689950219435	0.672013828537236	0.802656329765273	0.632124880582227	0.771094336425939	0.185405488840193	0.462836859331622	0.795399633680463	0.767581129615414	0.760897315583515	0.765778511042113	0.309522166017314	0.340827277900027	0.783932372422731	0.602945356096011	0.791781377912697	0.66840236421876	0.716163130145388	0.399766933163171	0.715082224219709	0.760891959911908	0.245639380269652	0.0516923552583786	0.178600081281252	0.0375073819148881	0.465811571700639	0.172829880337608
CD63	0.876505588090857	0.958907836089271	0.828598467769135	0.625262041511215	0.825680188172084	0.844352341395764	1	0.682489446951412	0.836534387018621	0.711695635839005	0.56210704779696	0.9212883116363	0.914850820055474	0.874146450918472	0.356370436369446	0.88838106952074	0.866598302774316	0.810067727390096	0.820699390279886	0.906887824095973	0.825030015904096	0.866988743033363	0.923455302032918	0.569090355317947	0.742238084342544	0.739784162717373	0.814531618858196	0.82044709376015	0.756065213794458	0.80646185572816	0.859246291177945	0.765472118782265	0.676072307876339	0.954293610016649	0.951670375536615	0.759399685408326	0.791869229904005	0.774897579572897	0.75624264013501	0.75972058305186	0.933958892487915	0.871006516124994	0.884105863192439	0.827276691734069	0.943385729096892	0.96263658738102	0.526935182060911	0.741433643679697	0.825864390235336	0.884747706003825	0.739039855663796	0.830990091614987	0.681479629801012	0.845434772049769	0.876763649369083	0.660601290018426	0.856208510969561	0.526212013739414	0.807417705356197	0.796359208510207	0.874339617446389	0.869660879676851	0.624094058574116	0.465802975259735	0.645044498240236	0.522690869886483	0.844678722141722	0.639851948102144	0.510318992043116	0.780101995391635	0.713421681074813	0.828450055279214	0.502346008384918	0.880054132436552	0.817763010473763	0.868717273430796	0.503636733152511	0.59110399831644	0.924776195623314	0.795963830095182	0.782144433977901	0.71856029615003	0.836270223159821	0.625689776635959	0.812594797442341	0.745615546087893	0.797489373931596	0.711242395197343	0.586839815526869	0.671577042716585	0.890391326698907	0.668649087441326	0.804788403748322	0.913990090793184	0.75494433929749	0.916540230778678	0.86354897446729	0.878605229383405	0.343911589738638	0.533200198748251	0.958326657915034	0.871562440741123	0.850177780099589	0.88075778685512	0.35858328000878	0.600327541016939	0.90216638824044	0.667956727424313	0.959208631239513	0.809987927866768	0.922881049006005	0.589355288998961	0.885582901110642	0.956802856185349	0.521763655416859	0.160249468130038	0.346377358811527	0.139304472767548	0.640047930021281	0.279394672269633
LRP6	0.740772378199645	0.797060483138373	0.667831386543205	0.665628679825838	0.596175663627685	0.55769894341827	0.682489446951412	1	0.777274608620063	0.590937054771339	0.170634461695582	0.828647705853934	0.507555747185976	0.824825670547081	-0.0650825666343245	0.68049000517579	0.68921708404197	0.799965580414898	0.759366393227742	0.633455042312923	0.729590140063101	0.600364630002856	0.64464392024412	0.727416806117167	0.849052849963496	0.784224555055531	0.537035008729518	0.758053439663311	0.565894425186642	0.759977842235439	0.76607335992082	0.792329136553034	0.794018322072617	0.668877998462836	0.769377902773457	0.38456352365294	0.745431392566759	0.595919718587845	0.472873892093272	0.73733062036718	0.627929411207261	0.748949670986089	0.591504822496974	0.666816060950096	0.769161129246345	0.642301895002305	0.691390073400007	0.39389892099835	0.564992868575483	0.629707635394768	0.505221238075591	0.583699384282445	0.384370481393786	0.752968628224266	0.627880181780655	0.636307441625469	0.731060464320407	0.272136931197307	0.536665680191807	0.464059500844488	0.797422750311876	0.668070035675517	0.740973259016355	0.595572407568484	0.335982198730279	0.650486618231572	0.74646111082267	0.581202918077639	0.18226554325034	0.661871161259075	0.766249205799654	0.708778565040667	0.298655238494961	0.708910287584011	0.657469960455782	0.625044846375698	0.664821857614451	0.716895729589647	0.642867881060338	0.566681949670434	0.731247624010922	0.640024956298471	0.552641647828845	0.290151032672762	0.706225588409014	0.681184470919841	0.490747767681007	0.698319867846992	0.16898997798173	0.49560609207876	0.740332872772897	0.687369018517557	0.832558430572754	0.749246419376301	0.841210081994202	0.733550041186718	0.685741963051592	0.755675077835904	-0.0524343441076988	0.665851260893835	0.743816458204045	0.609050266901957	0.790642154163599	0.649570647298438	0.64579587142251	0.326187699372167	0.46547738722555	0.312546766012635	0.732438951610176	0.73001187178506	0.665507039329994	0.204888454012735	0.454328818172116	0.616301082878141	0.173313448098223	-0.0267196233932333	0.290959874736026	0.130671931394993	0.303761033887514	0.20956294691119
LDLR	0.810721263108577	0.888521638853507	0.723004870525539	0.713429096988853	0.735801496631923	0.657730753922787	0.836534387018621	0.777274608620063	1	0.727979427087913	0.389536211551957	0.898558867461025	0.707916178082043	0.896926566041678	0.157092565164349	0.877718829013822	0.843602132376658	0.850901437959663	0.820515966254401	0.745085676260527	0.868582410069723	0.817106986234727	0.810284125048764	0.626055089808331	0.84316724443933	0.854290441129408	0.703425066250956	0.871715588769531	0.736977662354405	0.857912156980382	0.872321268895944	0.755018658818906	0.784977233702895	0.769164107991016	0.85924921440644	0.5828971427287	0.728139373656451	0.7657221864076	0.674978605073326	0.81228457992405	0.780615665704192	0.846312930846543	0.768139273719687	0.813916542283914	0.89216672267917	0.795643772530151	0.595402992077269	0.562324779860047	0.77316890581695	0.775587556184078	0.685110000275187	0.73799017842952	0.579911298268516	0.870798944252218	0.72579155896081	0.807327054958666	0.802334982468068	0.454117353732439	0.71200082236507	0.657747256568095	0.882647852308684	0.701784349102009	0.758648430605153	0.442339537065218	0.538127734698648	0.709861426893865	0.852162782093709	0.692637456479162	0.370360086816743	0.814824205250978	0.772977005809855	0.881651673272622	0.396079579813828	0.894673464645565	0.829375556779173	0.769658469393186	0.590413614599017	0.660064346234244	0.721327668332865	0.711110170987613	0.861334853441617	0.766177316473387	0.704026485124573	0.486261170878916	0.851272912825471	0.843311264430171	0.667708096707547	0.72558731415486	0.353652946612735	0.632680117453376	0.872184549420446	0.737053459262753	0.884412613268433	0.884403238445837	0.849671666833349	0.842949514881776	0.815086202978156	0.84239002766057	0.143798021365918	0.536457582428424	0.851365040662371	0.779911827023248	0.787773852591395	0.809499815543483	0.487530985048035	0.489296626483916	0.65740346559373	0.513866268123528	0.882944698463814	0.791584255758383	0.772377847460383	0.415487414789386	0.624801414623517	0.758123633568946	0.384914351370959	0.12517317031937	0.385081929359694	0.198918865785741	0.514149864101691	0.264738859418146
INSR	0.638704298564397	0.719781259206181	0.763868124332909	0.602301718967581	0.759491345704094	0.601602563460138	0.711695635839005	0.590937054771339	0.727979427087913	1	0.695256212005109	0.720575606837672	0.747131776872955	0.720443920817214	0.560186938162665	0.870425567495226	0.818880375992963	0.706632405421868	0.572170695382173	0.739128926284354	0.721414977629224	0.838104414517243	0.8198536166069	0.358003156462971	0.61074431246476	0.516523023938482	0.631906198488914	0.633770824199233	0.794023828239581	0.731109194592736	0.72697799005963	0.498868764770274	0.481219582772485	0.593970391237854	0.758818704423676	0.664499320103379	0.441555410509133	0.80929705952462	0.762175997604885	0.693787009943104	0.760191689703107	0.783660519044803	0.739784452464233	0.810471170050471	0.769083200193917	0.696335866415193	0.331721425108691	0.680483336520702	0.785275314081115	0.732619217905168	0.732994620279105	0.773895682704479	0.743451460388726	0.75864185112155	0.633786599967529	0.640011629362736	0.725072097947009	0.49397817234613	0.698662727552308	0.672219485878645	0.630251634231136	0.514205587951616	0.588582525356644	0.186362749989159	0.612828155813544	0.503343168666775	0.641606190760434	0.746302386640324	0.597745169899189	0.800412559444879	0.545315769578511	0.742881480609623	0.544955763830504	0.771394238414025	0.747894073973804	0.780010037758936	0.321647346743613	0.41243915369121	0.62822761279543	0.779407621682296	0.626531966735296	0.654221521258138	0.749984452388124	0.765479534276862	0.854193101671843	0.687893717270093	0.651383944363925	0.497161539654719	0.662881172070214	0.774805873872151	0.775643363926849	0.58730698703321	0.662337436557427	0.799790759248577	0.568842126094177	0.714328348947763	0.77142402667398	0.793542526703228	0.525628327864827	0.249341542481744	0.716521992062626	0.797968728885578	0.587609333527122	0.838928548433788	0.195043830593891	0.658148391692486	0.684453013597179	0.739825079675498	0.765544818506507	0.660936471085568	0.658917365021105	0.590866846674931	0.562050128502253	0.626155279693669	0.610204173867359	0.262957635673988	0.333215156574991	0.151009944941967	0.622556114436685	0.181992295317874
