""	PTPRZ1	NRXN1	NLGN1	EGFR	NLGN3	RPSA	NRCAM	GFRA1	NLGN2	NCAM2	ROBO1	NOTCH1	CHL1	APLP1	CDH2	GPC1	TNFRSF21	NOTCH2	NRXN2	LRP6	SDC3	NOTCH4	RTN4R	RGMB	NRXN3	BMPR2	PDGFRA	PTPRD	EPHB1	APLP2	PTPRS	PTPRA	NECTIN1	ERBB3	LRP1	FGFR1	NCL	TSPAN15	CDH10	CADM1	FLRT3	DAG1	THY1	UNC5A	CNTN1	NEO1	NPR2	PTPRK	VLDLR	DCC	PLXNA3	LINGO1	ADCYAP1R1	TRPC3	TSHR	INSR	ADCY9	PLXNA1	LDLR	NCSTN	LRP4	PLXNB2	LRRTM2	ITGB1	S1PR2	SLC16A7	DSCAM	GPR19	ADAM23	EPHB2	CD47	ITGAV	SLC16A1	IGF1R	ATP1A3	EPHB3	ATP5F1B	LIFR	RTN4RL2	LRP8	MOG	ACVR1B	ACTR2	ADAM22	DDR1	CD46	LRRC4C	SMAP1	ANTXR1	MCFD2	GPC2	TFRC	LRRC4	PTPRG	F2R	PLXNB1	BMPR1A	ACVR1	RYK	TYRO3	ASGR1	TRADD	SCARB1	PLXNA2	ITGA6	GPR37L1	AMFR	FLOT1	KCNQ3	ERAP1	LAMP1	CD9	TMED5	CHRNA4	SIRPA	JMJD6	TSPAN17	TSPAN5	NRP2	KLRC2	ABCA1	STX4	SORT1	CD82	CANX	CD99L2	TSPAN14	PILRB	CD81
PTPRZ1	1	0.972598312508564	0.979153672965875	0.939351153842652	0.910760416781713	0.871982076065692	0.984119642380857	0.97852565139846	0.917443444678992	0.97821176839058	0.988944764058627	0.951111547079753	0.968457559282862	0.832524169666624	0.971702791005487	0.904811536074514	0.903710319659653	0.898033901619107	0.931988240277784	0.978905962102505	0.930295270430388	0.837614382052348	0.822091503966935	0.974334297458594	0.914146641878315	0.980852285145715	0.964944564312093	0.845780613226487	0.918780078743172	0.98480437078704	0.955441249994981	0.963694300401059	0.930889834045592	0.904837742848235	0.953120101056446	0.946508707606124	0.980781577088189	0.845019785057352	0.860701127502777	0.931272043531582	0.950549994616407	0.948342058395209	0.897303217250317	0.830320864452686	0.990529901333077	0.940207531948067	0.870295154065453	0.962047317277439	0.919092729130105	0.877880485614122	0.912142143118701	0.902933729649637	0.868631655258057	0.91838438849788	0.938885146865586	0.960557075286028	0.907599442322865	0.924853683637776	0.944495572732835	0.900212494704612	0.973698497005747	0.877925992558109	0.952508499146461	0.963460908881686	0.883589495673044	0.956383196347697	0.948681952305229	0.910449856744478	0.959962355555272	0.860197172578547	0.971080250886936	0.980306332343904	0.933746243764804	0.972352405305035	0.885079379605148	0.883088333803661	0.866431165264648	0.822361888981039	0.890119569330562	0.965159951835972	0.751502751962415	0.935588021972382	0.960622313022827	0.982608427146027	0.8854347078205	0.978824865833579	0.964829764655944	0.926672706867901	0.947888436427087	0.951121436473317	0.898869639275604	0.87755414421964	0.959614054510456	0.971426091365151	0.941575208238957	0.91438137281246	0.929522035268094	0.878012069819753	0.95673730952628	0.898758138556152	0.811565265223944	0.838980391582063	0.905111811945453	0.877318393818058	0.915464866926508	0.864762327189858	0.926737576683169	0.909221510863372	0.924110983772515	0.921880901057673	0.910256488649506	0.69241059386857	0.886814353680295	0.873007476230674	0.872043120511874	0.932605587442364	0.818230788247179	0.936294505622575	0.681299507165523	0.916435454387558	0.625141036569211	0.918021667420551	0.848039839685593	0.829047563728396	0.980779864109121	0.920632791157321	0.759580418510143	0.930928149232292	0.877873777613413
NRXN1	0.972598312508564	1	0.960401301665647	0.970532313895638	0.876067457579967	0.84657215938072	0.969720567628703	0.952561278403751	0.886114036427585	0.968761787693305	0.963098855809726	0.929943930002434	0.975459887237593	0.787509158672413	0.939945906384452	0.866558417014027	0.853972959552864	0.906152626252106	0.91812226619227	0.958395032043844	0.911578112164734	0.808818934180036	0.784782091572275	0.945429331579386	0.907018624311258	0.959914454114711	0.981629688573845	0.895208023754756	0.885613306834409	0.947292711893649	0.926507909290494	0.936331592752362	0.903643149961781	0.871345122582088	0.942827763132333	0.959869451573752	0.932991895509198	0.784903813934546	0.912648606470665	0.892225388530627	0.954011078724714	0.920768326017068	0.860070574884753	0.816498101810444	0.963543033255694	0.897481073384514	0.849569015142257	0.927994891828303	0.883670567261834	0.90617374546232	0.896496492772488	0.906770197775086	0.883674600692267	0.904848604292829	0.922333985814341	0.944441801086189	0.878080498986078	0.902094699115311	0.931980462666916	0.88542091315725	0.967608675527632	0.868531467075209	0.953690927937931	0.933218346194176	0.871371198766812	0.932805573882232	0.928070662397042	0.908687972177861	0.918022648988401	0.821261783843224	0.947209228135314	0.957696958746476	0.905616453568451	0.952622244139893	0.860556559093413	0.856748561023591	0.83750134974669	0.874122121659386	0.867508046590247	0.946190910536479	0.697506815779697	0.917870349593685	0.931164711983347	0.970432840284608	0.85461705161365	0.955193001446901	0.973387734979114	0.904914574931209	0.928759983519964	0.933403264202382	0.875669642408491	0.868787894946728	0.934986931436928	0.958626420812814	0.914688200441463	0.889615145848767	0.931619175138486	0.844681751336296	0.939566522029941	0.875798845841861	0.838496569091224	0.781531804634201	0.856841356453286	0.848584379018747	0.868938812769406	0.818566109121566	0.89025783854171	0.878166016372622	0.924435230942339	0.897251315510817	0.866257268216543	0.66604586326346	0.851560210117624	0.833943260355611	0.855723873826319	0.93156715630535	0.791106021031323	0.916981390301609	0.719728771773202	0.938250156490718	0.648777778975123	0.901753703819852	0.832124270201715	0.843715702818879	0.944199930082994	0.887370925741255	0.751920533161314	0.925593447164167	0.853646954847506
NLGN1	0.979153672965875	0.960401301665647	1	0.939861752536528	0.949761772295372	0.91400660213784	0.986702626647336	0.981942637538394	0.952343932275	0.960729767628959	0.98896402847249	0.976772796832863	0.954518072381975	0.891246236523059	0.980787748639703	0.929855085577215	0.942936106685124	0.902868895705424	0.964902776630643	0.983131929520678	0.961004938048442	0.839082805970557	0.871897712522729	0.985070390589517	0.903885619624631	0.980928892490596	0.938953097959768	0.829272177838083	0.959174854418988	0.981397761794274	0.929550128059583	0.981237273827247	0.961365936715521	0.936826612427824	0.97530373181995	0.955133376268461	0.958072212268491	0.881562014566058	0.848759175889066	0.962541139391534	0.955153752658325	0.973379111019236	0.935265752245643	0.880774212152706	0.977111366760697	0.951109002294187	0.87639186084003	0.959425982405538	0.935788049186198	0.874132341717157	0.946829674737832	0.93049471904183	0.892402371230385	0.918946439317055	0.92283652060125	0.96957087889631	0.912828682194778	0.946026978462013	0.965826464063146	0.929996664010292	0.980954159268852	0.903896704855815	0.935877983831789	0.971428943380764	0.917460953854312	0.949285163727378	0.976093635909467	0.922159038443562	0.957575362234395	0.904442682640512	0.977100292838237	0.979269808199213	0.944779667410446	0.978647663912909	0.922849868937378	0.911026894905711	0.914743384018466	0.813747778468417	0.9016388985315	0.972886731778823	0.803203885080306	0.953787532729038	0.976358759786338	0.974089160045742	0.93054956084698	0.961224350021985	0.960702917808987	0.955516888557623	0.958850283298431	0.965962371959352	0.926865619773628	0.879131999433273	0.976552555492474	0.956335943106438	0.962472487327291	0.954637779028521	0.940994563896177	0.88031937504136	0.972295100627914	0.93976256475881	0.840031682637296	0.874399210413305	0.944065102008122	0.891104006843774	0.921423547686763	0.907134375009141	0.942069863131075	0.92507762252962	0.916060482190349	0.922862765186321	0.943053333695511	0.721193442506003	0.881670144569981	0.905053966193212	0.895625623542318	0.936762711442167	0.870342195084073	0.96330270549163	0.682752335334884	0.925909172771757	0.621207262503604	0.936660644174739	0.851794008986214	0.869898075633483	0.985776554148634	0.941014600329245	0.772217098446977	0.947754105362859	0.919485187391203
EGFR	0.939351153842652	0.970532313895638	0.939861752536528	1	0.868688479077786	0.839277399267397	0.951926806762959	0.940943874985673	0.878405817907973	0.954107664047179	0.944036196538303	0.91550279995038	0.957804674670807	0.78782571237399	0.922993265041109	0.842016359742932	0.841775601184956	0.927555648132902	0.912967936825808	0.930058995449638	0.911857740644449	0.8029773446607	0.774189728795652	0.929310947219298	0.883802789159695	0.940778518915822	0.960870292152401	0.902548965202388	0.880890973653284	0.919091574873489	0.888333842685714	0.920504915678473	0.904999606756308	0.884383062126408	0.929833361303508	0.943549727730227	0.905408545965533	0.756778567873878	0.907263227876959	0.881191944880482	0.953781767632057	0.901442057981753	0.838144353137723	0.832856742804373	0.929880278306172	0.879962619176413	0.82810011752838	0.904183090102921	0.85605838855951	0.886839911265382	0.900718193460414	0.911894117556641	0.901745508158841	0.88221309624679	0.888337577327913	0.936669725485434	0.853426729801645	0.896235369713946	0.91178796348348	0.871119173131593	0.947774092391646	0.869807765231231	0.945096412627502	0.906470005723057	0.889033938689069	0.914423339602395	0.90524348720739	0.908141453697713	0.888536983531661	0.820479439619096	0.922396118868041	0.938147156508629	0.884114601250753	0.948447596870917	0.854505399805889	0.838664196620973	0.834757932356448	0.89143867437142	0.831370140232452	0.930697446961721	0.691717680575429	0.900629145047954	0.911723006841368	0.948112201640431	0.845401506210048	0.920881943675366	0.942178061612307	0.889015002331179	0.926699432175415	0.909090796194482	0.862246442402963	0.869234555835137	0.917582911633176	0.943304160101106	0.888495797474774	0.886773072892732	0.916768065274923	0.815808191430741	0.914158869041928	0.855061899998951	0.837632523824018	0.761716782329766	0.839160951085804	0.815315071750831	0.843309761690315	0.800096824188138	0.881321444957377	0.870696373587625	0.905854021887274	0.895577622975564	0.856980775865883	0.667202667712537	0.840044508198165	0.827289719584063	0.847331850941842	0.910735907921408	0.787492452259775	0.915087361452451	0.714930819977188	0.932238454472398	0.653886866454659	0.89224325595431	0.82637625002304	0.858939803929742	0.918993503468394	0.86373041451193	0.761244536397269	0.895822604406901	0.851398938891975
NLGN3	0.910760416781713	0.876067457579967	0.949761772295372	0.868688479077786	1	0.972308458066664	0.929057601304597	0.942770334593725	0.985555144896612	0.87301042956231	0.940192364133991	0.970878992655132	0.879543363273727	0.966937924016374	0.957791271665317	0.970069297581784	0.979652182454879	0.855373041801361	0.979515141610469	0.926691889123532	0.977843913582681	0.838384817486386	0.95301186776174	0.95683978441086	0.851309602394985	0.927721247074429	0.862411722692994	0.707293251100092	0.975831731988857	0.930438294565563	0.832199254541315	0.964257950781185	0.974413616430035	0.94510770551682	0.967952957153916	0.911628062867413	0.889884958948213	0.908878425843918	0.765131544242995	0.973348958420544	0.906779836639724	0.974936646425033	0.980587885261351	0.904145253001809	0.926479793807975	0.922705021722629	0.858099682337691	0.923233657344119	0.918281775204513	0.79698188716766	0.941200361114472	0.948524896757672	0.867770642140379	0.88662270033128	0.844543793638849	0.926313723850352	0.873328863487964	0.92857192591831	0.941554265677529	0.947284356174347	0.930347573144235	0.899089736329839	0.841959378516145	0.93382668979724	0.919829530254386	0.877190517389209	0.969973875911304	0.889980347733783	0.900894534791852	0.930322726448499	0.918775975145206	0.929250865904308	0.92939876629464	0.926735684462787	0.962481781381696	0.944888832727014	0.977614080635311	0.707764792177594	0.918121924874321	0.911967369433837	0.818756079985003	0.941117012097605	0.960237929339537	0.899518377334072	0.981802203016534	0.879351363998551	0.901684537065169	0.974763176442705	0.927325386389352	0.946535258350155	0.943664043869075	0.804064446742338	0.958372382286886	0.871678322314981	0.956332218395056	0.975376371791727	0.901993149180346	0.862779276059353	0.941877368382897	0.9647124887622	0.849139642666599	0.922490684177236	0.968285280862343	0.857362704623407	0.886175532891102	0.955229988147311	0.93619259424076	0.935625657911353	0.839151746119131	0.88128721885663	0.969397229399032	0.713769008310009	0.836226009909217	0.962337464238622	0.885615595819134	0.899118984379619	0.934722548793968	0.967660276459428	0.586341846361906	0.898760693241609	0.536755905844165	0.935371522099843	0.776035305120917	0.887499456182984	0.948256328089881	0.941314489883673	0.768825380557824	0.901886374880234	0.971448451383691
RPSA	0.871982076065692	0.84657215938072	0.91400660213784	0.839277399267397	0.972308458066664	1	0.896293923856324	0.90234558851545	0.972159501565879	0.831839919202988	0.904074202146758	0.948751769489679	0.843307974825711	0.952904939603115	0.929956822098391	0.975105282514614	0.955546486740714	0.824469144072405	0.96552738368866	0.884797299910427	0.949345131952095	0.833487389750068	0.965334155271116	0.929237548049602	0.806622535657708	0.887752094335342	0.835189728828287	0.651842514962711	0.944876004664477	0.89277086506005	0.780886239652583	0.94366289247532	0.949990045637792	0.898085818752851	0.945964504909153	0.893508584211767	0.84712952306286	0.879755299909435	0.744676275929415	0.940917748494753	0.884783368131252	0.949491619973016	0.986896571021685	0.891824604842601	0.892598541033948	0.877690037255704	0.83552498026067	0.88180558556139	0.877549598704116	0.771484030742853	0.912799031759883	0.947897582805165	0.841414281426513	0.859002650374809	0.807572912205627	0.895874722761825	0.849321405612759	0.894355365928965	0.908358946406878	0.93808682139961	0.894214731619075	0.885464880588702	0.799646432985331	0.908053011354577	0.905864692747647	0.840058493906871	0.942770287298582	0.866442059619369	0.850773913720333	0.910170031510271	0.882713670828885	0.889827661483971	0.906865722779478	0.881609361309152	0.964544842001517	0.94371578488531	0.992290838323263	0.666125183483543	0.919060751657164	0.863360118213516	0.766446979076819	0.914315368640409	0.944768338074236	0.858453133212296	0.975353257608353	0.837710238414855	0.881559838601064	0.977999946098457	0.902143858441302	0.933109705249561	0.944042853903843	0.772320286704834	0.930993443820745	0.827261977059198	0.939804686159117	0.944164071682161	0.888297559062192	0.842788127608997	0.91651424701169	0.95043103126628	0.866755805279339	0.925997801067505	0.937909024661398	0.815737165517387	0.828838913038384	0.94725145070884	0.899175442467227	0.924292086957216	0.81541291868736	0.836805481422596	0.954722120061135	0.701160219898494	0.792637812932271	0.953366136728226	0.86563531469976	0.889166495071972	0.942570159192437	0.951392062868637	0.574020957683875	0.904427782223762	0.521351044042393	0.931918921241379	0.725694175418464	0.886695394609273	0.913425491557504	0.929218829087879	0.762146019307563	0.885663317602764	0.982318386270461
NRCAM	0.984119642380857	0.969720567628703	0.986702626647336	0.951926806762959	0.929057601304597	0.896293923856324	1	0.981225774061544	0.93320616919138	0.972036129276398	0.988767273262866	0.966572724519544	0.962052398385588	0.861705557413613	0.979772433418848	0.912787144587794	0.921722389779418	0.909323804396635	0.95394022115937	0.98268332909972	0.947347109784931	0.835238977378315	0.845472202587705	0.982816023165466	0.90658838210731	0.984159587881576	0.949448841866966	0.848949479003967	0.941272078746399	0.981020489119999	0.941094336216252	0.974021788697053	0.951811581285394	0.925571858060522	0.966650705436725	0.952604758155467	0.964630103922021	0.86007595645782	0.865639937579755	0.94720815300552	0.960575179427401	0.958251827927065	0.913215615021003	0.866092605135824	0.979141042724489	0.945157234089507	0.876914861840119	0.964026265899836	0.923426130768811	0.879422970594948	0.936220787505931	0.925816429297071	0.897541990781878	0.9232286516725	0.928754607327491	0.968335599709641	0.903987181842197	0.937680541318805	0.955630825583004	0.917379518956786	0.979492937469177	0.907423177521233	0.954130032348896	0.967777560015294	0.913623668057191	0.953242766943405	0.9653072350946	0.921008247767348	0.959926222456645	0.890395548925998	0.976407058155245	0.975467593310407	0.942863490472887	0.982405897314063	0.910718206643367	0.891395060479369	0.89378962609945	0.836145051032743	0.886873390035687	0.975944878416872	0.77140634190455	0.950324639304693	0.967958471180583	0.981319044775948	0.907919532265139	0.968739403843709	0.962935045499922	0.939952202620263	0.96167801696161	0.962075969846541	0.921920493315439	0.891664201381594	0.962651480550286	0.966340107874151	0.949065447574989	0.94075932976849	0.943420614961568	0.883894297060515	0.969303105091564	0.918345443498239	0.838606869850204	0.846606557807711	0.922571238715227	0.883617988071856	0.91592480707586	0.879890124164649	0.937860417888955	0.91924821296079	0.920066024653809	0.92317330835031	0.924005963430546	0.704421161564496	0.886407890934478	0.889690321215617	0.889705372017654	0.93725785349181	0.849293460366743	0.955439706723734	0.694536307361828	0.930068450585645	0.644799061790767	0.925516741505995	0.863437146073498	0.861444194366253	0.982519880910628	0.929600769668019	0.776202419491599	0.942102478251708	0.900008431626185
GFRA1	0.97852565139846	0.952561278403751	0.981942637538394	0.940943874985673	0.942770334593725	0.90234558851545	0.981225774061544	1	0.944633148791267	0.959739965879621	0.986599602758192	0.96620013061453	0.948247906116544	0.883478324054371	0.980671133351236	0.923501515552078	0.938065945174138	0.903448254300758	0.955914705961903	0.976861509409183	0.962359431476193	0.827440540179447	0.860721957534241	0.980647277733186	0.899732560145925	0.979806021152211	0.93930927186379	0.827339725115068	0.957941311714385	0.974982312941443	0.920096784116418	0.972821967349049	0.960050087253386	0.944520412892872	0.965831917677363	0.946263836451451	0.962860290307966	0.873295653759026	0.835883101298439	0.960396095749032	0.948386443871509	0.959736066929066	0.924834752953936	0.868373906644434	0.97618049036343	0.94856350077856	0.876537906399502	0.966311348175918	0.927299873681683	0.871236745640992	0.938314296691516	0.930407796791369	0.893420341536993	0.900771379777654	0.917330290809783	0.965453197514528	0.896310390812377	0.941016321991061	0.958904571605883	0.924098117602815	0.972294470605309	0.905758707611009	0.932600826044933	0.960539035289659	0.905513489280425	0.941642525151724	0.967401632268136	0.916207125014404	0.957312674133911	0.893513326727604	0.967668576583274	0.97884410568224	0.932916353654437	0.980901965025212	0.912701059473082	0.899324439786214	0.903373289773122	0.815724911377615	0.898119571727863	0.964450653324205	0.791370681935406	0.944758686576866	0.971763241167492	0.96767884436192	0.920064618214387	0.955391821647738	0.949850530758512	0.944102450183019	0.959590221580916	0.95044319671501	0.920800538592904	0.869199660465612	0.968491533919877	0.957023007242876	0.949519537014099	0.949863236062881	0.934596592597431	0.870884287166683	0.963552251390677	0.921852387984906	0.837059991318977	0.867933178867814	0.932295597734941	0.879781505779893	0.919917532907444	0.895410352744118	0.944416728237099	0.926303936123326	0.910377111112351	0.928932703809433	0.935419636025646	0.71271032045828	0.886374601167389	0.90197449739314	0.889746945053542	0.921928464313869	0.856146156875338	0.9547052610327	0.649327829310467	0.916768161101238	0.608180077384909	0.924672827383393	0.849581159265442	0.860656588576541	0.983222096340194	0.930861309536396	0.761072286097245	0.929559127682438	0.908852658851723
NLGN2	0.917443444678992	0.886114036427585	0.952343932275	0.878405817907973	0.985555144896612	0.972159501565879	0.93320616919138	0.944633148791267	1	0.883533849950876	0.942932361046738	0.976101967919112	0.88378156688341	0.96357534198893	0.956118525526694	0.96983583939415	0.97981148401411	0.863881530247805	0.981666179325482	0.932053438834146	0.976704045142082	0.829601231324676	0.953257829634133	0.961297973498311	0.857849966383928	0.932159669085107	0.868710931412474	0.712184578773933	0.977911429776201	0.93396578281365	0.834856910635474	0.971419748791769	0.97156075544961	0.947712437768808	0.972602469202795	0.918237006160412	0.893538014837785	0.904395575344255	0.766576244092885	0.976751340395843	0.910082707761943	0.976001302569264	0.979813553719064	0.901833154141451	0.930996586311481	0.922829941904597	0.870364545333204	0.92175642206904	0.922845136953156	0.804930411647441	0.943244269423771	0.950715959849321	0.87089584933483	0.892888395106729	0.852038737168383	0.933058345605764	0.883570138964711	0.926459682202147	0.945937994636757	0.94626852728394	0.934018822547826	0.901883174075003	0.845829245120468	0.938336048100963	0.92242667272901	0.8790160335459	0.972174517134393	0.894510718247648	0.906249641215764	0.934635841641958	0.921377036839215	0.933658118308902	0.925413659420118	0.934859708139758	0.965887813821499	0.942522496128247	0.978274190261683	0.713723244511125	0.916544901460743	0.92148988858296	0.817985959122267	0.942096963466312	0.966344943444522	0.906718772809397	0.983860711316783	0.890197007112425	0.911284016430198	0.976616164905162	0.921343616654689	0.948057162977402	0.946141342148811	0.811302542441751	0.960969369986901	0.881235443383671	0.960103792827399	0.971083840983189	0.910643512693797	0.85844388246062	0.944690993941265	0.961411309519332	0.845979081009656	0.929120229111989	0.968106814715095	0.860948422610511	0.883039929938788	0.952058368498634	0.926016006892818	0.935075257761467	0.855113668430201	0.8862867376994	0.970633848668864	0.7175462426485	0.830038994328009	0.962764926795361	0.887086249454194	0.907395704682278	0.928441821736699	0.967756112492735	0.597416912855173	0.897785029164076	0.546769342253195	0.93730270171074	0.77861987874386	0.88523948072366	0.953155919954045	0.948669780498281	0.763575305802282	0.915433504283899	0.969943815357151
NCAM2	0.97821176839058	0.968761787693305	0.960729767628959	0.954107664047179	0.87301042956231	0.831839919202988	0.972036129276398	0.959739965879621	0.883533849950876	1	0.969885588322251	0.923608830654783	0.969627414847834	0.801170368435298	0.944519518439467	0.861657259739709	0.864069885008785	0.895183294896812	0.905570938616428	0.961742710759551	0.908409714222568	0.823166833806229	0.775199981355924	0.948203851798566	0.899793340347842	0.967596476513201	0.956684687789337	0.885896949707006	0.892489646598747	0.960306388408446	0.942814819326636	0.941477018684136	0.903376623974769	0.892801493581725	0.931046468656574	0.925240934959328	0.966212880784596	0.809201411158489	0.871793224442938	0.905279871689729	0.948365459845941	0.920560717100376	0.850819552585422	0.812904739382193	0.960456536455146	0.92221574877295	0.844751587653553	0.943497507494184	0.899548065345231	0.892172704787831	0.898309837959349	0.882960573261611	0.879583555199294	0.893697550320196	0.92647742758361	0.956347322060633	0.888958780174689	0.907152525822231	0.925170428203723	0.879116227896502	0.960155827938514	0.870573732223667	0.962264252887415	0.943260481084932	0.866521139678177	0.948612596468288	0.919811750922327	0.907860416785184	0.940208400200843	0.831949619539293	0.958871728172524	0.963280670970343	0.900932813167433	0.966876507701415	0.851000568566489	0.841290604523486	0.830916308254014	0.867268467139818	0.849132808390644	0.956985880092765	0.745610244048407	0.910469242749191	0.934685902589814	0.973383435178228	0.849088152445245	0.960193659172235	0.946595725981981	0.88971487451116	0.935959672679394	0.929144032365024	0.863017620414179	0.885600571125633	0.936187167542431	0.974037339020976	0.91472369125522	0.889087452228841	0.924146134462004	0.841442849245363	0.933075109034897	0.862102078630811	0.808907495951582	0.794004718189476	0.866412973446242	0.860447990741514	0.878894866778947	0.823121188825155	0.911835853609719	0.877554704472006	0.919534586860584	0.922185077007164	0.882524639603033	0.708593908908102	0.873365893961024	0.832964550002943	0.864408651588752	0.914621842407081	0.783944199319775	0.919740363362294	0.721101630853361	0.903904312979066	0.661141707153237	0.894641681349556	0.869984389462294	0.838485740851102	0.959872631237594	0.894187950904985	0.756386894489948	0.915710598708484	0.847653359522889
