""	GPR171	NCL	CD69	CD2	LRP10	TNFRSF14	CLEC2D	ITGB1	F2R	CXCR3	CXCR4	S1PR4	SORL1	RPSA	SLC16A7	CCR5	PTPRA	PTPRC	NOTCH2	PDCD1	CD3D	PTGER2	SELL	CD44	DIP2A	ADCY7	LAG3	SLC16A1	FAS	LAMP1	ITGA6	SIRPG	NOTCH1	TIGIT	LDLR	CD47	CD3G	CD6	ITGA4	TFRC	CRTAM	VSIR	JAML	ACTR2	SMAD3	CD247	KLRD1	CD74	TRADD	CCR4	PILRB	PTGER4	HLA.DPB1	CD46	CD8B	CD8A	RACK1	KLRB1	JMJD6	CD81	CD4	HAVCR2	TNFRSF1B	TSPAN5	APLP2	SIGIRR	IL2RA	STX4	IL2RG	CD63	SPN	ITGAL	TSPAN14	ITGB2	C1QBP	SMAP1	IL6R	TNFRSF1A	CANX	CD82	PTPRJ	LPP
GPR171	1	0.566067863839315	0.859444955980609	0.590605722087233	0.649043319269123	0.73966194372303	0.632035621305149	0.576247100568971	-0.127323638849742	0.254350771742572	0.763656301227303	0.681316087466012	0.812256557494306	0.869777435908046	0.600257928821888	0.0477620158070896	0.614732864661074	0.534811017144949	0.642601040762042	0.455537658706356	0.729316804183634	0.845781905035749	0.796070778335558	0.64018601964916	0.191910387319949	0.397683114636682	0.195767910347766	0.349860584831879	0.626276393138704	0.50393424057102	0.316542578957428	0.323311413505963	0.421619369321839	0.13843106477837	0.586503811155829	0.718039903168915	0.741243536894794	0.785082431450437	0.398104421062094	0.487563758024929	-0.111874062207083	0.780301271213614	0.441143544830762	0.543079448638743	0.663596301438176	0.598676927663951	-0.166425680316515	0.303580753614679	0.841221696555461	0.723441892511365	0.164022231119751	0.876898046080245	0.224743606027138	0.605541768245941	-0.148825046930057	-0.166566754092111	0.848109030477091	0.843848056121976	0.283243275826322	0.333244939159465	0.62876681148949	0.207698046553131	0.353855255527262	0.544654656791263	0.232757103885792	0.691401371096354	0.402362072265993	0.510064027041296	0.658998284670939	0.325490919862614	0.598510940908056	0.244467779295366	0.654372051188452	0.549984741940903	0.619388818321898	0.75319977818902	0.554480041596731	0.296865602844545	0.454844702014207	0.717619286908739	0.210399999510788	0.436081144816313
NCL	0.566067863839315	1	0.672283936833134	0.742317207843884	0.848008009692049	0.794046906875553	0.803016006805036	0.937245684601269	0.461198721176967	0.483537683334815	0.713564331452846	0.766563766514288	0.779542521162534	0.720333663088392	0.832023789281219	0.456827318585818	0.907619078616943	0.827180886031563	0.777291898385128	0.495949809636918	0.74149134153812	0.531640364984169	0.696199118483218	0.905876189100391	0.684696169837737	0.725171760167776	0.428766708446835	0.826869455072792	0.749314741521381	0.876488759439067	0.803038178588137	0.611954480510586	0.877409235317467	0.440625541056578	0.866552042852421	0.909118120212919	0.784593657050244	0.770756794956214	0.790847148031877	0.788727910488461	0.182311114322382	0.820574157950326	0.804406640206878	0.936426887422529	0.86493467278612	0.688473237305368	0.00931748477606377	0.814232205877271	0.653241349651978	0.673696740495163	0.646709965578284	0.66656094740788	0.737387881188168	0.882449789295078	0.103128698511949	0.134072034861586	0.801613019152372	0.513402351769411	0.671544046102599	0.840360176775344	0.785713914283716	0.607974817209477	0.720682209127178	0.807073946373836	0.798302930753057	0.797983332556042	0.612438141876549	0.88883558269672	0.741145638341475	0.816746755440382	0.807876865617101	0.613033694542386	0.89263610872483	0.844334743003472	0.894024185617626	0.841084246956794	0.821189446398231	0.818542960891904	0.927738088306288	0.75013265755145	0.706904952803975	0.904492028889978
CD69	0.859444955980609	0.672283936833134	1	0.685683666183289	0.709293072567283	0.86964502417346	0.739301945133673	0.618753683104238	0.0081065477727827	0.324687157579498	0.908465782729447	0.775414277174539	0.826894379641915	0.894586976975992	0.692707279670347	0.139161127418902	0.685986257055935	0.699707857396781	0.604275996818111	0.413129060840018	0.822860232893138	0.833213783818904	0.843148458470532	0.759262488952557	0.355951681211665	0.507223230253355	0.159634614114437	0.446763804652577	0.72087126193634	0.540202905176117	0.346957011873882	0.407955517058971	0.486953061928009	0.292773139780366	0.69197380413057	0.821018953931376	0.84939909582695	0.776437713210435	0.484003822251475	0.48954593619546	0.0741390539369577	0.810827127530201	0.525697120483646	0.626456539864773	0.722608691134361	0.68499467453869	-0.0959633901714043	0.341148258105193	0.857993692359479	0.788315610498653	0.252981819354454	0.925157380442284	0.268515525269983	0.669841491708053	-0.00702912412511158	-0.0370078160630868	0.898681656632363	0.797840239831348	0.450990136729766	0.410820557668962	0.624271506911461	0.14686550381744	0.487639296728235	0.665313648871196	0.254824699311104	0.77715949082133	0.431182589068353	0.596669296297811	0.713697591814191	0.331643080765687	0.629988744488097	0.361568547985978	0.71644702527796	0.610895387606019	0.667529026031443	0.777315491420574	0.607622246386273	0.316810966410643	0.486205933121766	0.708345214401105	0.298032914905395	0.487344660369176
CD2	0.590605722087233	0.742317207843884	0.685683666183289	1	0.90102821193214	0.86833984661905	0.852872734105191	0.682797481626882	0.315647625457928	0.757699000592996	0.755082785872908	0.88552759047799	0.653204552276391	0.614434181199127	0.723226823135598	0.621649744812897	0.830863852166156	0.879276573718597	0.812436958497962	0.784277006493597	0.947135607765857	0.428261827972589	0.566401552693942	0.790892212661253	0.659019595461457	0.66211123054795	0.709988266674122	0.740904584440817	0.88873988278062	0.742110225483487	0.350069731710083	0.864223924164694	0.666637163902739	0.739084898448499	0.77381983552118	0.832829715899445	0.912940960420817	0.864979753880722	0.861748613457534	0.836498453313832	0.162208056543039	0.815179192377263	0.769832925570081	0.819531409992387	0.690626840026903	0.954984455136417	0.0160622155611281	0.567846181594815	0.749702976801855	0.659191433581994	0.464749283909988	0.570571807707972	0.479052364176753	0.751698648669161	0.128189509029833	0.148431611067653	0.707077481682569	0.644121373300078	0.614580072556882	0.59991090476205	0.864227186699716	0.576795473593596	0.884819726561769	0.893303002544992	0.44540939180151	0.888331921953171	0.843415888834028	0.706817610604998	0.960804963847843	0.483167875342832	0.86812131530694	0.719555910133184	0.808859248574263	0.83041635494061	0.663918588999375	0.823406189183415	0.780358599545283	0.499435432635348	0.640610163924963	0.886172328373715	0.712145697541908	0.632474780935802
LRP10	0.649043319269123	0.848008009692049	0.709293072567283	0.90102821193214	1	0.869161125585958	0.845353807536404	0.832476565701778	0.256630389074967	0.606700958453255	0.719512377760971	0.866500961977465	0.756273606822548	0.717774769281006	0.75404114714205	0.479895747894429	0.889048890715626	0.832725265337302	0.857193128292695	0.669132830522101	0.890750278942572	0.540922057935978	0.687835390546593	0.852627938997607	0.631889150525476	0.673916492002428	0.578149271214698	0.810953417915636	0.898367669516706	0.825118352352636	0.562755769668121	0.789665902814126	0.760148004113789	0.670941109214146	0.862338053141367	0.887231657546888	0.868579874613337	0.854403976886805	0.821139245661361	0.876076380442429	0.0192351265707215	0.884675392643299	0.770175278729843	0.898661396798979	0.774721742683994	0.867163516575935	-0.119699916386939	0.691280339343457	0.800790289152679	0.751741490686132	0.472179188005438	0.640414318325821	0.585847498493123	0.809742653021862	-0.0496531040313573	-0.0249225407157504	0.799871090709049	0.667369833611384	0.540502962860684	0.659514999956804	0.910568803348301	0.61003752135864	0.871174591249109	0.857294110898558	0.62781771110902	0.872776415033233	0.827076627821812	0.793713331900266	0.910696068423301	0.660362850671356	0.858498363309448	0.609420292806571	0.88943598802956	0.839153928038943	0.785549277167183	0.877319984094802	0.87937360524268	0.643393888185004	0.791984311971638	0.896111596891958	0.703111057270824	0.788160847973485
TNFRSF14	0.73966194372303	0.794046906875553	0.86964502417346	0.86833984661905	0.869161125585958	1	0.852039545918063	0.755377586868075	0.187291365452952	0.578106017265892	0.881377652156426	0.885576089846663	0.813131635929004	0.813005862492192	0.765572525554618	0.404004041005025	0.848884193346353	0.840797845344762	0.77290590965658	0.607704631832413	0.924755932785168	0.690048370034036	0.774062225845828	0.863788360331965	0.572634620295541	0.652089078397194	0.415781180581806	0.687297303905702	0.862920024938499	0.747931343594944	0.446183382047633	0.664267246058104	0.677810767315857	0.557967431834382	0.834897509136549	0.903962833905035	0.927088743191127	0.857598499695332	0.720012908465792	0.742894065106459	0.10791176983288	0.888368522856329	0.720375336438202	0.81958709392671	0.773078592938456	0.856404285815073	-0.0693409525328061	0.57045232102075	0.854897032711846	0.792361246986243	0.424612375718442	0.793161103540853	0.489622652149701	0.785831004648529	0.0497519045185892	0.0652994832883591	0.874403988133568	0.756778697697233	0.590157753971162	0.601979964810596	0.814551675533647	0.444475338396853	0.753320743144679	0.839069530555872	0.469948450787387	0.90663308046459	0.683821062576372	0.759839637140671	0.885342064162285	0.515874761954202	0.793593906084626	0.573824052234687	0.861405551355804	0.814270824356332	0.749585597108792	0.881459103739026	0.799036217819681	0.521069900015086	0.666158218622414	0.856865209816716	0.594612548875328	0.67118406147415
CLEC2D	0.632035621305149	0.803016006805036	0.739301945133673	0.852872734105191	0.845353807536404	0.852039545918063	1	0.704856845735246	0.35495151422263	0.574389048006626	0.792604367865944	0.797541436004995	0.778369576708177	0.641834289330833	0.773583998362888	0.505800138706484	0.865076825008737	0.922661391181081	0.751617202229463	0.58487367503043	0.841407243144593	0.529041276098703	0.664651028823289	0.864388079089618	0.747907022488277	0.688818933056141	0.494310948617207	0.717559923169498	0.826853227929323	0.701692716791987	0.446216207351609	0.649326336745873	0.699668150494626	0.630745642236482	0.832443176761155	0.864018740886337	0.871941290075811	0.789766669880087	0.812877875216079	0.744650849736906	0.178587824012741	0.763855544413017	0.741301030592137	0.800187213975468	0.746989430432322	0.815243945603434	-0.0231346241072575	0.546050214010294	0.676347208987475	0.726437328479506	0.56550171033321	0.684102575672482	0.467034188426425	0.819859162629837	0.13844654594598	0.162847088197426	0.719090530644864	0.567291969783791	0.620602625208576	0.574750227345051	0.78182941888516	0.462232346619272	0.757600285374022	0.830439220181778	0.475477807234993	0.812058686574148	0.69094644939841	0.72116859949174	0.837806669728773	0.493611019342556	0.792984059689877	0.70197992712573	0.832734252950682	0.767062097014835	0.622404316950897	0.789403196831685	0.788573996128562	0.481267063065537	0.648927199767047	0.750023314511004	0.66582362318588	0.706069737226316
ITGB1	0.576247100568971	0.937245684601269	0.618753683104238	0.682797481626882	0.832476565701778	0.755377586868075	0.704856845735246	1	0.334265698585716	0.431604694142943	0.625297859152046	0.764765210281351	0.749884588112893	0.721295354401964	0.756400250598848	0.352986653512954	0.873352680042307	0.696353232411944	0.801002817926376	0.476474835886094	0.696044270134184	0.550828093285389	0.681636055370516	0.833691094308272	0.575400827280865	0.658572662521298	0.381994362167296	0.833138981356941	0.716075834899792	0.88397678557769	0.864687052440669	0.577716605799397	0.869683439541001	0.390379669947488	0.853052283538595	0.870128175512015	0.722729736369255	0.748420742627079	0.710130706597616	0.776726500177423	0.000648974408870372	0.831116140593204	0.751778663530512	0.91874451442761	0.842528576626687	0.640272604955603	-0.0938611951183421	0.81952498130622	0.696232835606243	0.663111988301418	0.550407448095981	0.627322318614669	0.727269922128756	0.846638216411726	-0.0654930164533294	-0.0235608095184637	0.794768171472044	0.572998058928833	0.548672820950655	0.815881998357022	0.802848634764451	0.618775790977515	0.694210906177803	0.747428466972319	0.850666791532675	0.767418847180345	0.609998789416479	0.858930719903414	0.715253098641402	0.877049088185122	0.768791904229687	0.491345898061	0.891541522418767	0.80209275024984	0.898693667198962	0.850501684393894	0.825481737613167	0.861894020203329	0.94573188531188	0.770445080570616	0.657806490045208	0.930427826172524
F2R	-0.127323638849742	0.461198721176967	0.0081065477727827	0.315647625457928	0.256630389074967	0.187291365452952	0.35495151422263	0.334265698585716	1	0.508714067396653	0.289466393555255	0.187134676633961	0.142265791847165	-0.0838806463534053	0.433569861066127	0.729587742058294	0.40331938813475	0.509990097802357	0.201909100252758	0.313922101755101	0.202965555561932	-0.17168362351954	-0.046842061867195	0.39820925382608	0.687294934008921	0.578148244365843	0.471766932499012	0.439652292710403	0.106610669217948	0.427896598314673	0.388485732874521	0.310697199231077	0.555447868577403	0.266714079929277	0.296707114997967	0.32427341904463	0.2317897297979	0.182023784820318	0.537945630328862	0.297244974995757	0.708076851645597	0.0803119582675799	0.516538709224909	0.403399459591876	0.280993895958576	0.269792724852387	0.547306776257189	0.492604960789314	-0.134478610414486	-0.153874217189991	0.789532664834552	-0.0320969911909494	0.533156995938638	0.428554153304503	0.7422017982587	0.779428414973039	0.0297836214755545	-0.245988551665768	0.731752355256854	0.67147607189081	0.141580526375462	0.400911568502885	0.281307946330641	0.439530765295624	0.478793877710679	0.30548749423243	0.133823388764016	0.487603740607773	0.224010007972318	0.450964309600057	0.366776965165164	0.714894860371559	0.323478603056902	0.47692453510685	0.234923493529681	0.186442182931029	0.193116197003168	0.500315159662972	0.455290720019172	0.110123083883303	0.566437950064311	0.477225433889534
CXCR3	0.254350771742572	0.483537683334815	0.324687157579498	0.757699000592996	0.606700958453255	0.578106017265892	0.574389048006626	0.431604694142943	0.508714067396653	1	0.544774757943481	0.643161389836417	0.307997417423409	0.219997442407393	0.468173557683004	0.745581725943248	0.569336899224001	0.658665398944011	0.542179547073014	0.772393883913879	0.683926850124433	0.0909151648236043	0.18278740358643	0.525409222155643	0.586783105146738	0.532070304389463	0.695021702388705	0.558531156820122	0.54779549893964	0.564167826004751	0.184808998474841	0.748723163512026	0.540510013216569	0.66932660478782	0.470797724650537	0.538316108773168	0.638234345265274	0.588051263147738	0.72297240756115	0.60141396718718	0.342095866522145	0.477042975656242	0.666283717755969	0.588169913414588	0.41850032379664	0.754239475770194	0.326259240149012	0.496958692371072	0.383881148146561	0.218484440930099	0.505975690086151	0.204538339740574	0.473348773231972	0.492841920101857	0.430254126436824	0.463585902748272	0.33535937998985	0.295143925425299	0.690095350034317	0.575195716954914	0.55484573321371	0.575703926645399	0.684408906678495	0.685273303223521	0.338562276341306	0.649371354380541	0.608415443694693	0.540206308018019	0.715968873504929	0.376464498387986	0.676500695736427	0.724375004682779	0.549681916802799	0.694374527513629	0.382500513616518	0.541745377842129	0.462303684020071	0.42676026275455	0.454226434083449	0.61719395292365	0.681794695471446	0.451669646621632
