""	TREM2	SORL1	CCR1	C3AR1	CD4	ITGB2	LRP1	TMIGD3	LAIR1	PLXDC2	PTPRC	ITGAX	CD81	CD33	ABCA1	CD74	TFRC	PLAUR	PTGER4	RHBDF2	CD47	LILRB1	CD68	AXL	HAVCR2	ADRB2	TLR4	ITGAM	IL6R	SLC1A5	HLA.DPB1	C1QBP	CD163	ADORA3	C5AR1	SORT1	TNFRSF1A	CXCR4	FPR1	VSIR	TNFRSF1B	ITGB1	CANX	TLR2	P2RY12	TSPAN14	MERTK	TREM1	ITGAV	ADCY7	CD46	LPP	ADGRE2	LILRA4	PILRA	CD69	INSR	ENG	STAB1	TNFRSF13C	GPNMB	KCNQ3	CD9	TLR7	APLP2	RACK1	SMAP1	SIRPA	CD63	PTPRA
TREM2	1	0.780832249429129	0.879884739725551	0.800452752714914	0.890164982531366	0.941166165871955	0.885243176234836	0.962678663531741	0.903638360187617	0.928198371909909	0.741337807188026	0.837493392801933	0.937887485223063	0.759054130060846	0.79795456409126	0.931436439286413	0.843700255306236	0.799760447816983	0.812702006409046	0.719627931985019	0.602673267509604	0.831939424998902	0.922923083430459	0.91226729061884	0.844357883100586	0.172180766035842	0.583042675474061	0.779331756065114	0.725304705820285	0.633565050474202	0.863779719323605	0.840999640079326	0.864598724677503	0.799584903148004	0.806207934220684	0.720745228581071	0.86919475222191	0.255648800467338	0.880465887719129	0.618780944806855	0.820719425490036	0.872617103137124	0.893412144658468	0.561559331382064	0.160405159538921	0.784985327019296	0.859471234810443	0.674679227868225	0.89564622506965	0.72367288716198	0.687993363363188	0.814645142770229	0.739831039227324	0.758573391422666	0.811882686672661	0.816926421716513	0.281589930036146	0.801775541305467	0.886333807880695	-0.182683774098681	0.733094717210627	0.775318901697801	0.883360071885401	0.700865112290086	0.856971365470327	0.898325389803654	0.67938521964427	0.865864810417879	0.920339808861358	0.641754327655904
SORL1	0.780832249429129	1	0.73400872409731	0.823640407280998	0.786832923585494	0.730638076116947	0.804286847211745	0.766543034469177	0.809493605520829	0.878329009603292	0.878117707610634	0.835887171584838	0.765697516276878	0.688025389454492	0.62616211692622	0.887041543243423	0.724772468706346	0.65084297455118	0.733154546401584	0.864864793468055	0.55324477002863	0.795423239236408	0.637841616145607	0.859432151068666	0.817564872827495	0.418151766405127	0.612452806702137	0.758489749262052	0.774863547928322	0.775311646131518	0.865201611071664	0.683605459236587	0.636815194794986	0.757037776255223	0.709062794022874	0.798582384594026	0.782299166832202	0.587388168267111	0.78578914715651	0.80588708049716	0.700091328825652	0.713173828813618	0.670835089609346	0.731404950572445	0.344515900647463	0.841877555606348	0.802490945317491	0.673778783403373	0.74523283296554	0.739364753389883	0.69527370556713	0.816398128253997	0.738239199391792	0.796546562191097	0.803413537881958	0.773681421438197	0.474750217853892	0.574268440607483	0.664300397732987	0.224865101731224	0.436597744278147	0.758623119593652	0.725635842152101	0.811137870002589	0.650517240667003	0.795469000535682	0.652817167472447	0.738885632538904	0.631778874484778	0.61204338265255
CCR1	0.879884739725551	0.73400872409731	1	0.766470181238469	0.889150476114869	0.918317996897404	0.901738155274367	0.88597394266195	0.894113318351799	0.894716464307712	0.704652322219988	0.828402721254522	0.943860823116628	0.60239673743006	0.884427371667929	0.818371308894993	0.874167124580078	0.78474004400115	0.869681429196385	0.715737819082992	0.618731079032211	0.830459693835838	0.905637961379741	0.805470279196563	0.836749441971109	0.285747067478437	0.622688447270647	0.788213943680917	0.748536478962163	0.606216411983391	0.734652975637546	0.787017436744588	0.91414083710108	0.840357105949434	0.833650662390677	0.699807994373627	0.847700472685922	0.396935350647253	0.855403516447296	0.601064666214434	0.884435620556677	0.87836569607631	0.909398949234066	0.605339647010847	0.135999935535238	0.775021098854277	0.892316958660669	0.684662928770052	0.899729496000535	0.76687500701815	0.695011823928177	0.80925568761753	0.659521277782717	0.715152475110654	0.805565148730249	0.746628405113289	0.334888625204328	0.83257853932505	0.892035920371811	-0.121047859915999	0.817443336923785	0.799509335508343	0.804529165972353	0.687998686645495	0.905187549628836	0.809701063714302	0.644225717881983	0.894961554182395	0.875372339075725	0.701192418685332
C3AR1	0.800452752714914	0.823640407280998	0.766470181238469	1	0.79383514561594	0.776255735467647	0.782656666089922	0.77316990632122	0.835715955045043	0.84709202892147	0.793197091855582	0.804103566575424	0.781072180949448	0.633647199960417	0.70016395966651	0.842578143191069	0.734988681591441	0.694828719874464	0.772826612510154	0.834478829837859	0.624391094965842	0.783128289777871	0.713667006506239	0.789454987271404	0.834576901177307	0.440974748950528	0.695965215755736	0.768554639928318	0.774581258716027	0.691747342414024	0.768463440897083	0.682050922106813	0.690971493633753	0.786266809718628	0.74448438992448	0.703171550387078	0.781097030707825	0.527708975961002	0.799094746917285	0.758534804670988	0.743049158948722	0.737407927118091	0.716408998575839	0.709067828352484	0.396419600014845	0.81174461104212	0.803378201712119	0.684975804282556	0.768379251366641	0.696550006602624	0.655798299106654	0.750256058622259	0.65794437591021	0.7249266912558	0.786271805220425	0.735008496315304	0.432904032217683	0.673363913386043	0.714110096085475	0.122819026699502	0.557492096919481	0.749323255782273	0.687668405546176	0.69914372421498	0.730762655745657	0.72131106509194	0.643616562128687	0.743207596059032	0.71122687305023	0.628233397629337
CD4	0.890164982531366	0.786832923585494	0.889150476114869	0.79383514561594	1	0.926185607023295	0.925406802093839	0.907249126091716	0.902595310750789	0.914952502018075	0.791214192904396	0.846745250448662	0.939073128461348	0.707632900094143	0.877192600944314	0.885332038476449	0.855558529672206	0.85237987348985	0.854034703356081	0.763437997649854	0.651368680390016	0.840257919089663	0.898739396684485	0.854357879596174	0.874466094583829	0.297553524484985	0.657983237189588	0.851283766975908	0.7533717478499	0.657741879511298	0.812715144042547	0.817879432217664	0.905002391870953	0.814641549463236	0.880426641859654	0.729149320959359	0.903835295270808	0.376416091708525	0.878336144905568	0.66460077769731	0.869539297411315	0.897275276163244	0.877101136431847	0.682686832493243	0.174304905940836	0.809886995927842	0.876205940200193	0.748020466665683	0.901482511151733	0.76386025990133	0.743397484936294	0.842294288672088	0.739123867299764	0.724364610455729	0.832816069590117	0.800489458936669	0.397672553828054	0.836772979222236	0.904137859463574	-0.0172560957163884	0.771604802710575	0.785117598820457	0.789743169962799	0.716184832346366	0.899393673587912	0.867676159422115	0.697138057190446	0.903992527840394	0.870881199891681	0.674669562886232
ITGB2	0.941166165871955	0.730638076116947	0.918317996897404	0.776255735467647	0.926185607023295	1	0.907583948116513	0.931076179212304	0.922162223801056	0.900339430260939	0.705082280133652	0.827872320182133	0.951311918337593	0.664605019730496	0.88618038920014	0.867263041895689	0.829787611341443	0.809585260705072	0.843131799155262	0.680730019939784	0.639567716876791	0.841286380648603	0.948760803121516	0.829103546149758	0.850515594414044	0.250349976069903	0.601710451785501	0.834585887348545	0.72710387851341	0.591424723245549	0.782235428235089	0.82741137081441	0.925205702634061	0.825428415345415	0.828129386544266	0.683407502509999	0.890306459963555	0.308245253945943	0.887193658020277	0.589627066853566	0.879590876055855	0.914708648717172	0.918689809383561	0.585255845516879	0.152575376154402	0.732945495616478	0.866417939217813	0.670351718791536	0.899187225583815	0.751568764219512	0.683511410085383	0.809545968015203	0.669042180403926	0.692277510337154	0.783502682993329	0.756039020965827	0.298061067754353	0.890415962951207	0.930324626523412	-0.135117466269528	0.844187615210702	0.8132214202797	0.829472474954674	0.662225206474203	0.922384189981005	0.858310088525443	0.667342939180667	0.906171465578422	0.943586214897723	0.67121277610265
LRP1	0.885243176234836	0.804286847211745	0.901738155274367	0.782656666089922	0.925406802093839	0.907583948116513	1	0.905752984296591	0.901261815542055	0.92954032650208	0.790858753470467	0.874083156996793	0.945276539840064	0.674690740899726	0.892732304343729	0.870162252487166	0.89689282661193	0.843408091508275	0.842522390643484	0.771230353451301	0.699817777196651	0.823541166250636	0.895778678590481	0.850030304507804	0.885822881062687	0.245726483353707	0.664430885563646	0.857638506443945	0.788904046380781	0.663992790975435	0.809080799661732	0.850883951548929	0.922751086487263	0.807536022461007	0.870456873619935	0.731568844021269	0.886433204631307	0.397971986640113	0.871486062088391	0.639308899113943	0.886463215751642	0.928895449091796	0.914267914627027	0.681449964613588	0.0951781845497409	0.837674862364121	0.911748004839198	0.749046525505277	0.925779892868863	0.774450604905538	0.76112682959422	0.868385338949798	0.772745752286528	0.715154639687491	0.842038424155387	0.799443527988913	0.425642545034747	0.821094858879924	0.906230861872814	-0.0285450925764133	0.774056880951603	0.787371649413924	0.852204191480315	0.718428680312266	0.919229263388644	0.867974457708796	0.731680720056937	0.907763250844144	0.885245252178332	0.755353776872334
TMIGD3	0.962678663531741	0.766543034469177	0.88597394266195	0.77316990632122	0.907249126091716	0.931076179212304	0.905752984296591	1	0.899283977364329	0.914705375566849	0.741958085730607	0.808099385369273	0.942950148684972	0.7633950613545	0.82257878480934	0.920227711231956	0.848925502111709	0.792719734822627	0.815109919442146	0.709590749104705	0.598512635779142	0.8190534448792	0.922906968104425	0.91149676613634	0.827438074469266	0.189012665287173	0.571069706441276	0.80252283254893	0.704450630727207	0.64780751273627	0.876994603797642	0.855719983566629	0.887896314539848	0.813787337763924	0.805580243767983	0.732331841798446	0.876391579937607	0.254462967889897	0.857976749552299	0.635252626232043	0.830136119853387	0.877593022587731	0.90018612668082	0.565014205023789	0.142634248147993	0.786704306266287	0.856384711033591	0.680580925856548	0.895430029246441	0.739952318439223	0.706193960360168	0.8151941147247	0.732811515347926	0.746589412324285	0.83765091188019	0.80557690057416	0.313197350843864	0.79652611108499	0.890759292619886	-0.127340118130038	0.739970800496266	0.766772394657597	0.843492536440913	0.719033842353422	0.867270116328253	0.937618939601266	0.68228673935374	0.873124399869741	0.902682326445178	0.664372797578398
LAIR1	0.903638360187617	0.809493605520829	0.894113318351799	0.835715955045043	0.902595310750789	0.922162223801056	0.901261815542055	0.899283977364329	1	0.913303752823131	0.761977728947598	0.859491754915304	0.917748288722611	0.658500422296213	0.862260046967942	0.879151577763787	0.824012194478792	0.79198105581256	0.851890885307837	0.748481289068053	0.659089004667576	0.863890481830998	0.884574160917641	0.850447767320963	0.859822297564422	0.305697393751731	0.635744120578659	0.827876343168028	0.767683771454872	0.663830509949097	0.811514553532701	0.801498349858224	0.8684034625438	0.837448722410871	0.845982343634715	0.730036303475657	0.875611785975336	0.43811574040339	0.874346267951518	0.666430935524042	0.87102763957017	0.870979151659939	0.865741047914641	0.650944186279327	0.203185176676014	0.789879128287877	0.873639552471034	0.706802839324988	0.881037630899653	0.764081851272665	0.700402929302913	0.8467236483082	0.689931035258166	0.732161592578048	0.795589342253584	0.78235357067456	0.436628562791271	0.833392478703813	0.86068742784295	0.00512123224225392	0.76744405261081	0.781474582887791	0.800204317473649	0.712338268434716	0.872968262076034	0.851407940334743	0.689760565736981	0.881247565800628	0.867093289830661	0.658526667890801
PLXDC2	0.928198371909909	0.878329009603292	0.894716464307712	0.84709202892147	0.914952502018075	0.900339430260939	0.92954032650208	0.914705375566849	0.913303752823131	1	0.839450773411698	0.899656611726598	0.936043320227393	0.736561825153976	0.809135811502082	0.937310024775444	0.899015282756836	0.83329497344863	0.86333133858365	0.829372458256755	0.631228161136964	0.858030089364614	0.871509545139335	0.918230007275239	0.898600895127336	0.291182127762389	0.670372523967204	0.832311595156868	0.799647582765312	0.727804843179344	0.859705276439609	0.813744103127155	0.853127899332558	0.834523401933334	0.853425059689576	0.777389691352229	0.888747739110327	0.454003071006527	0.896729759280457	0.732508974717874	0.855680675427004	0.884716744317488	0.874669675042829	0.703311759230024	0.212171845485759	0.879211220096179	0.911617496800638	0.754316011227035	0.918802068766045	0.795590283868046	0.753094096925253	0.868011151273917	0.79561421596565	0.796033207080483	0.868634431139679	0.851416017066271	0.422144666621288	0.767389812339764	0.878432722422178	-0.0120473862368977	0.688474825785581	0.806403796951306	0.86697381628753	0.776890575584915	0.849665931700533	0.867890992159825	0.715276694621887	0.889379351904404	0.861759013768943	0.688512434950365
