""	CCRL2	CCR1	C5AR1	TNFRSF1A	TREM1	THBD	TLR4	SIRPA	CD53	CD163	TLR2	PILRA	ITGAM	CSF3R	CD44	NECTIN2	APLP2	FPR1	SDC2	SIGLEC10	CD40	FFAR2	LILRB1	CD86	LILRB2	IL3RA	CSF1R	ACTR2	SCARF1	LILRA1	CD9	FLT1	SDC4	LAMP1	PECAM1	CANX	VSIR	INSR	KCNJ15	STX3	LRP1	KCNN4	TMIGD3	ABCA1	IGF2R	RXRA	PLXNB2	TNFRSF21	ITGA5	HAVCR2	TNFRSF10D	TRAF3	GPNMB	LPP	SORL1	ITGB8	IL6R	ENG	STAB1	NRP1	ITGAV	TLR6	SORT1	NOTCH2	TNFRSF10B	IGF1R	ACVRL1	TNFRSF10A	HLA.DPA1	TNFRSF14	BMPR2	RIPK1	ITGB1	MCFD2	CD300LF	ERAP1	CD47	ITGB2	TNFRSF1B	TLR1	LRP8	CLEC12A	STX4	ATP5F1B	CSF2RA	SELL	CD81	PTPRA	NOTCH1	CXCR4	SMAP1	NCSTN	ADCY7	CD74	CR1	ADGRE2	CD4	AMFR	JMJD6	TSPAN14	CD63	CCR5	RHBDF2	TFRC	PTPRC	SLC16A1	CD226	RACK1	ADGRE5	TRADD	SDC3	CD69	ITGAL	IL2RG	CD82	S1PR4	CD36	SPN	CD68	PTGER4	IL2RA
CCRL2	1	0.368930207636899	0.468237649293015	0.42332690793347	0.349025437117362	0.330439867066771	0.47886674207368	0.354806388374562	0.379707864253535	0.431084531404193	0.443889052596146	0.259685043770785	0.272746219178027	0.21993386397471	0.363914482871053	0.268113998358726	0.357816230225019	0.436588276861081	0.265168762249427	0.298804404726883	0.182741229174038	0.445803636472493	0.376373024567659	0.285647014281889	0.430738434014994	0.293995099103785	0.265312228815262	0.328061450067528	0.333139827141015	0.423352072351315	0.262286097748012	0.291143247417814	0.318406962218659	0.355483485390147	0.387333221143752	0.304115700981599	0.338419332692374	0.277662354525695	-0.052915182965901	0.293443047896603	0.308661175914395	0.240061852583161	0.376850229954518	0.359939881118031	0.249238728969915	0.452256643379801	0.240434255473831	0.216334046506757	0.334236757823216	0.357315932554749	0.378263529317252	0.326455803413507	0.217366555591901	0.267155279823844	0.120006592247287	0.327399291910034	0.493844396980427	0.306263718346781	0.450308428754847	0.215389493959213	0.352239633112399	0.250290271438352	0.25095428760978	0.295080692366338	0.329137532513656	0.247601197976838	0.341919218032852	0.364018478282789	0.208950623473788	0.488521916788894	0.279196384407018	0.26567989798187	0.316263251869949	0.323585986142834	0.349626413876105	0.219192742303928	0.294257477630149	0.236869411393472	0.319356516127016	0.369298136807051	0.246640658551953	0.313159886306407	0.339592119550372	0.220856320206116	0.319772969883821	0.21660342844364	0.261649182146202	0.281217914100602	0.465935146855314	0.131687075865999	0.30960641559033	0.285866010438355	0.279930674724153	0.22261445216585	0.404022600268372	0.378749748293135	0.212239586787166	0.279827461433401	0.361387671952073	0.342936779465979	0.373420261818191	0.185271444451332	0.275264039479989	0.269080315273601	0.273040672915024	0.232348703636657	0.18877869681052	0.235837927822345	0.338391824105001	0.129290354912925	0.335680540867289	-0.0677551449059751	0.205293135129732	0.244309397490262	0.290290647094534	0.187533227060436	0.31394446910046	0.248608068768528	0.291447442242815	0.261591115373087	0.180532024377324
CCR1	0.368930207636899	1	0.964327304593066	0.961291335072745	0.965697372028106	0.989958944066649	0.91750049457801	0.981540681414714	0.985525214768585	0.944422339605658	0.966824864094162	0.940828782984637	0.974064932995992	0.0675272624218353	0.985853887901366	0.967684060413341	0.97606895625662	0.884419159253284	0.96320297182592	0.964392197968339	0.920296341328703	0.337948126061836	0.987224268126793	0.974405070197683	0.936598966433069	0.951826167228321	0.97404686887026	0.987280006944448	0.973321426988789	0.891997207694173	0.912363392522488	0.985556376372183	0.97880943461587	0.961261976930557	0.877310056149226	0.964620405843169	0.980144591154087	0.986117275214504	-0.505803093399444	0.807083743099114	0.972993925197942	0.952359934161595	0.899431753607486	0.976644596989791	0.962621731704592	0.975806757810143	0.957715774487945	0.926025561420938	0.991597547472811	0.968694675676007	0.967396776320223	0.976649230509997	0.915767814669719	0.974953047824781	0.730014577366323	0.947454166495629	0.951947305981074	0.983478578080294	0.81454726239805	0.930138078960535	0.97328921104514	0.849850624175509	0.972353701606994	0.955023403862426	0.973535267899897	0.897148988583336	0.977245810183088	0.989512616307646	0.919636353441449	0.770289022263062	0.940856238902891	0.9351241196149	0.981004287334098	0.960763579010812	0.958089116035337	0.933125117726047	0.964621143663322	0.954499755982011	0.950718469227869	0.971751502487942	0.955955388956923	0.977012632891582	0.988709476688622	0.947659924861002	0.941598820690081	0.507485604077348	0.970920896501834	0.974420399669333	0.901181302230064	0.526476984310738	0.947049622072588	0.982661879427051	0.952718719400235	0.937270235090876	0.780166672264399	0.989580428838033	0.941170622332107	0.962335895226374	0.965161086738867	0.975845638927298	0.968705391096467	0.901767141205001	0.957049955140094	0.956759786295039	0.880524812952165	0.948583180611445	0.928607673694479	0.950188633625221	0.959254057207978	0.778655749399492	0.977470067768919	0.21651860996146	0.946872413353297	0.903497319481012	0.972219528894429	0.924961099683766	0.989591435801722	0.966285261277427	0.951997716306756	0.881698577312573	0.808074391822211
C5AR1	0.468237649293015	0.964327304593066	1	0.992647562459072	0.921118536123623	0.957956077970758	0.964206164963811	0.935059149807729	0.968744278837733	0.986712332617103	0.990250168298311	0.880119603369162	0.902273280452403	0.187955327559312	0.965448507522375	0.905234506124345	0.979223821713388	0.935840569887392	0.901491697750457	0.935140843633547	0.807704366820031	0.417059133958032	0.983568559373309	0.934440707025405	0.977959203464578	0.908490465859012	0.894987720048863	0.958299158052142	0.91305409898116	0.959908753125991	0.831361857878231	0.927447960614158	0.939690702722529	0.935357371053026	0.957823753561222	0.899600225081866	0.970638351191523	0.917573913180285	-0.435128246934591	0.777118640429478	0.937548968959844	0.873019254485686	0.935874368576342	0.95182495253002	0.913270432461228	0.993234486119823	0.874751053578766	0.840700497983587	0.954655831854392	0.954043538578395	0.962534341686706	0.952835289375151	0.832452308957106	0.899665661864246	0.755594922442285	0.931694550227112	0.973663288158399	0.941920569963926	0.921253659436594	0.833117476218926	0.965874065911217	0.7560892975284	0.887844629311131	0.895998959061912	0.937748042692542	0.873472277758127	0.950747988185227	0.957556959463761	0.841085714618923	0.706855151947241	0.893818158071255	0.927439746140876	0.960978205731726	0.90462744737183	0.963726736590462	0.86572838918175	0.93036963321555	0.870390560561061	0.923924541870952	0.947516166640359	0.870404139587506	0.929367208057851	0.949326771979896	0.857171428013018	0.899694890309657	0.609872577533415	0.903000907746497	0.929732429090583	0.931387033196065	0.486057429667784	0.905995620918662	0.933417187281781	0.932144684780367	0.855792019512728	0.882743943723791	0.982295017605348	0.858297479785904	0.920303444748647	0.956456297214857	0.954857057143162	0.940908049197507	0.801203620643797	0.9025884134849	0.892829757076203	0.873397949505807	0.868148578308433	0.827973119429621	0.890836308880626	0.95166564356994	0.723440894998018	0.960866732681781	0.132404056272293	0.863362090586371	0.822332096587369	0.927904706051239	0.849303192405629	0.930890391756924	0.883994471575326	0.904183678572908	0.825761214516209	0.743152800728675
TNFRSF1A	0.42332690793347	0.961291335072745	0.992647562459072	1	0.920997205207123	0.953971372409585	0.977531453418055	0.934152346098012	0.975086109312234	0.987922607936175	0.993911718841381	0.885367278980247	0.903305671984731	0.243591371058917	0.965895015130066	0.906120334754139	0.978531124057169	0.956041979417396	0.897241308955332	0.941510232524603	0.813145240208826	0.434482411916366	0.985851778900075	0.933703417305783	0.98356552325189	0.913633072378754	0.895900033749533	0.961512871277862	0.920939983246255	0.952244340607395	0.832188816475708	0.925818931875417	0.940594613928651	0.935749350073653	0.963491701448554	0.900677891487406	0.978856496589351	0.91452008082286	-0.403029894243913	0.779899490282614	0.937690639080703	0.877713248351615	0.934473255130944	0.953225090342922	0.909438616889165	0.991444271214912	0.878367762734312	0.844024625278733	0.954624469475046	0.954730108807491	0.96064672612741	0.955891315763866	0.83600894001545	0.904246702681576	0.758271121264536	0.92049941271528	0.972590088837068	0.941723108713197	0.912779263055292	0.835667961498404	0.967169734972097	0.759707511537034	0.886722038372398	0.896451506511279	0.946597673765392	0.87471020182045	0.950194919038481	0.953932537318185	0.852222578537002	0.694349975001958	0.901089030778697	0.94035378648346	0.959097964680419	0.904363637888628	0.977536582700603	0.867348228005272	0.938602757570037	0.875594999192904	0.932289567252202	0.956832599182226	0.87355884224573	0.931746488144219	0.947502809757584	0.862324284110276	0.906760211974968	0.646647487489692	0.905485789640142	0.935210924051069	0.922735254116365	0.498156865909123	0.91076632391983	0.934276115568162	0.938501128567128	0.865351812871253	0.892040562842762	0.983589039037811	0.863500061451096	0.924007737362618	0.960950778764532	0.958469963194983	0.940781595097661	0.809339260081104	0.909038196088938	0.895496750831538	0.894230693512332	0.87476168247113	0.830923822954724	0.897598741321083	0.961311652125757	0.734778448010348	0.95488240697846	0.166577197670009	0.868464946221048	0.829461315096639	0.925456854652885	0.855620009176129	0.930577591270968	0.88694405279979	0.907337361583748	0.833159532844163	0.752850128694229
TREM1	0.349025437117362	0.965697372028106	0.921118536123623	0.920997205207123	1	0.985470691063359	0.871204095664873	0.995243604492063	0.971822962271348	0.886039270610833	0.943681479196125	0.991828226796145	0.987616478413028	0.0348490048638326	0.983005462257625	0.973588840802448	0.965307949050162	0.822980160806228	0.99106651280791	0.964936537463075	0.947331160597848	0.274733098425767	0.954021172149746	0.981239921314267	0.864034247504623	0.983781574361394	0.981990988834725	0.976168816196718	0.98302944701685	0.802435426941017	0.972206916575697	0.985580820003962	0.967070812430354	0.986108929856893	0.83725347939846	0.992225943655828	0.955668795486471	0.971688694857165	-0.528157744804726	0.82576606855364	0.992350536099826	0.984234178312642	0.934156688920188	0.990030454384207	0.976538869133644	0.942562772322765	0.981107424868392	0.975286014291186	0.977914187197425	0.973910812836093	0.886011406949855	0.952259211791173	0.979015923010818	0.973993300192777	0.741610418526489	0.955252830333444	0.896188453058633	0.98711585083804	0.708795387899427	0.974526454926665	0.974910314771162	0.874035010010563	0.976631035111825	0.96956691026867	0.969550427901448	0.958885914971771	0.973741221987305	0.970474189113422	0.924634940706655	0.837719619868243	0.978386271439426	0.90560947148222	0.969503966680163	0.987476638653094	0.957070954572296	0.959234978634598	0.961196463280771	0.980525483002225	0.947629636699067	0.959112542699155	0.977052437375386	0.990252678882356	0.961790947169693	0.977231987594113	0.965494921373906	0.374329052379734	0.986466506978696	0.962742018042863	0.854018943355059	0.52361513163136	0.964159627138251	0.980886970719391	0.938873118352174	0.953848507388668	0.718158553491746	0.956518611752455	0.971722578597625	0.984024307690521	0.931337855748276	0.973329885397585	0.99161083411577	0.954491343628262	0.988576526696363	0.976118545580117	0.830186222652237	0.971549855001392	0.951718617465884	0.971173253554431	0.921104108640723	0.783169722031971	0.965266733295429	0.232086702125421	0.954352105718244	0.929658369758554	0.97418445542196	0.932162554883942	0.968508487955962	0.973044159664733	0.994300014167331	0.885962023012902	0.772139031205402
THBD	0.330439867066771	0.989958944066649	0.957956077970758	0.953971372409585	0.985470691063359	1	0.900019088567415	0.990814796052833	0.985937148082102	0.931362304669671	0.964663719721351	0.968718843309785	0.98357995190958	0.0390069882743411	0.993705019179884	0.975626565807191	0.986811953414635	0.858784258475034	0.985605273677773	0.971835049854742	0.931055093748161	0.297598268386941	0.98213209532055	0.990838265539756	0.914287833134542	0.972908599304614	0.97940323507596	0.991526022407118	0.97578182359523	0.875098189200577	0.940196045337652	0.99378143143376	0.983413116721754	0.980645669673657	0.881587414426934	0.979929515425464	0.978013600022197	0.984063127186285	-0.541949449807338	0.814004798077096	0.990456024411834	0.970209608853733	0.933492623543482	0.990691325041642	0.981051648825179	0.971449694394541	0.970028244762889	0.951558891728372	0.992702227270847	0.982463623317596	0.939589108604642	0.975703535771813	0.948474332881276	0.97613145112317	0.761098975155138	0.972928047715936	0.932956377135301	0.993628600167509	0.791311096684886	0.950915130110261	0.985550898969242	0.84599832705347	0.97687123674695	0.96744081226976	0.975045793159653	0.937913047549291	0.983721831861373	0.988583910054635	0.923342422813057	0.787533890603256	0.964723769938057	0.934194930184382	0.990939019044005	0.978134810460789	0.967564424887554	0.954606022627381	0.971320628183393	0.967826246472947	0.958387464163627	0.965279514104089	0.96662290333831	0.990075407047707	0.983528411717023	0.962227543921224	0.956918325052883	0.460258337024735	0.984128652520548	0.976668427948818	0.89325877234135	0.529380292911118	0.962070498963947	0.990007172092942	0.95974759462896	0.946148146245861	0.768545682696032	0.984457151198297	0.959609241667643	0.982490665576762	0.958579107851962	0.985288156644533	0.986076554058389	0.926653236052515	0.976457070786898	0.971723394880723	0.866878024317902	0.962079628133466	0.941813951621326	0.967755758668818	0.952448559856964	0.792197128968799	0.986463561873303	0.215042465267017	0.955761977307418	0.916794815214687	0.984630816456263	0.936652102475651	0.982670146498639	0.971880231473736	0.978178120080558	0.88982774095732	0.797767441233652
TLR4	0.47886674207368	0.91750049457801	0.964206164963811	0.977531453418055	0.871204095664873	0.900019088567415	1	0.889247736186029	0.940120318068507	0.969494093025493	0.973302510627474	0.828579922888671	0.848533730020827	0.384815313194757	0.919757958018848	0.846729715302481	0.934217220929947	0.964481694432322	0.829331776040644	0.900014604767361	0.73643937509407	0.533386659595046	0.949821951305012	0.87184594101962	0.97044673154393	0.86702830009211	0.836220666838829	0.912282726139825	0.875106281090277	0.933590333575189	0.761713842552266	0.868484876845694	0.878492583932604	0.883334270659159	0.947250806089105	0.83906343694096	0.93746533030472	0.857302844481644	-0.305848323319063	0.767115288897951	0.883221584993914	0.810626784713893	0.895769271011137	0.906120286321447	0.842914577637463	0.960466227700255	0.818290942259103	0.781864716154597	0.907372766758892	0.905179628975684	0.925077141612126	0.901176800822675	0.766200441057417	0.846266388061929	0.702758241695828	0.854443987963588	0.949855086882772	0.886754778094894	0.909091261532012	0.766626756512769	0.920155856804408	0.705479977526323	0.825688139758168	0.832859402530326	0.897039258580652	0.817521613947065	0.899377902818654	0.910319575284736	0.794388852729792	0.633528977519718	0.842170065277954	0.882241058685839	0.901277266041565	0.840402623249376	0.945688782085673	0.795498805166304	0.883001521810123	0.812883722574206	0.867427462269594	0.930748759159655	0.810338491387642	0.874884055268735	0.894230347597466	0.795018878377982	0.855759220534057	0.671781184690497	0.838462530873275	0.874860464163226	0.877956063409705	0.427645789934566	0.846379421262097	0.880969779533982	0.885692512553296	0.804688470109669	0.907346781737982	0.950151409366424	0.794394853784249	0.860222675022268	0.920909477536916	0.903601524914273	0.887169587833175	0.7324938731793	0.847329849468444	0.834434485383011	0.851406127454489	0.80914596153116	0.76101164040207	0.828946187994155	0.923595288022316	0.653156258001853	0.907900792455639	0.114604677249511	0.797373605254879	0.762980237940829	0.862546698399063	0.770616414490146	0.87247761372342	0.823526002076492	0.845744222146371	0.764959693716824	0.682935791103468
SIRPA	0.354806388374562	0.981540681414714	0.935059149807729	0.934152346098012	0.995243604492063	0.990814796052833	0.889247736186029	1	0.980603261776686	0.906545628224559	0.952943152323884	0.984363734914842	0.992142393193941	0.0400335319276758	0.989892043246976	0.983022651580523	0.971578848303838	0.844513279253535	0.988329323107864	0.975901537240488	0.949398143905277	0.288831358237939	0.968057339405329	0.984438862286401	0.886308000252608	0.98105197749975	0.988005909333137	0.985759615835913	0.987402751262885	0.826815989742069	0.962809711160929	0.991283737688731	0.975206059590001	0.985357529768858	0.850450189285013	0.991304113051605	0.969009820919396	0.984501305420224	-0.521172637757493	0.832724361455908	0.993526176695418	0.982856957441497	0.925530240460297	0.991867761755706	0.982210159851175	0.954270769550602	0.984258139094615	0.970741302349137	0.987973929326433	0.978143241924556	0.912983020489672	0.965859087495022	0.967214397027842	0.982619992795512	0.752722334298133	0.948944495614661	0.91600540668448	0.992935661131731	0.738124482037613	0.969727882050027	0.979385150684985	0.883851859565768	0.984196421852474	0.975343812444293	0.976952526055492	0.947867607567625	0.978814352589055	0.983427099642288	0.934982080010483	0.830587180102151	0.974811346920793	0.919446509062284	0.978008057103698	0.986301187545105	0.959748261864156	0.960810242759256	0.969812220219425	0.982118778221926	0.952564419304821	0.97192067841052	0.978965394635633	0.991120853471343	0.975484274925046	0.977258891763839	0.966625735239411	0.41643852389997	0.988034245788532	0.973789919694695	0.873852014586305	0.536693223371879	0.965238393976426	0.988900807288423	0.951391625598853	0.959887092195211	0.735118369724174	0.971514787849073	0.972828327474151	0.983058538350471	0.948292901684728	0.978094208525512	0.989173159934264	0.948146259940449	0.986525828726755	0.980221986811818	0.851803007373099	0.974060707153306	0.957069390452338	0.972606589949146	0.935230083725073	0.792901587341099	0.973868508980502	0.235090575596079	0.961729014486795	0.933807530811346	0.980036857772725	0.93774458919025	0.979758560205982	0.980129588493735	0.987202846490249	0.893498665167042	0.792689923740436
CD53	0.379707864253535	0.985525214768585	0.968744278837733	0.975086109312234	0.971822962271348	0.985937148082102	0.940120318068507	0.980603261776686	1	0.953914603404575	0.983080076319236	0.949899281981284	0.966459459607328	0.132162404347912	0.992717453314484	0.966476940901789	0.984609332684332	0.91494594924296	0.957972515388694	0.977495134184937	0.909027525792547	0.369207257236168	0.98972673554718	0.981091305907483	0.94568449063814	0.969166932801474	0.958977114505274	0.992689342701772	0.975178904467461	0.894300220610754	0.912935228757305	0.976947257807099	0.983896398649811	0.978013189005196	0.913102124437795	0.964821763871397	0.991669163702462	0.965111007364382	-0.479465044846402	0.813775548781355	0.976723385106952	0.952056052795874	0.931301907072072	0.98772923565048	0.962262702960811	0.982302740854764	0.953044056663058	0.928933529423877	0.98521769067332	0.983613966799351	0.946152954880126	0.982822404134119	0.918613517502338	0.9695991090555	0.760318134821013	0.951693586195502	0.967883278239119	0.983264826649673	0.821720749885859	0.919836643555354	0.98443612003411	0.84707481688228	0.951887676509714	0.963532292473366	0.983575542602376	0.918293699607395	0.979046853073594	0.986625241713319	0.929527323706854	0.792771805089666	0.960190730251529	0.95183261691985	0.987221556007472	0.966295378598726	0.98091372028864	0.941079535210223	0.979058370233115	0.951634081152192	0.972230017548576	0.974789191930872	0.949142635751856	0.974485285760774	0.986078839175334	0.940660766925617	0.966706803735157	0.555993028954389	0.9674402919845	0.979005003737511	0.918840400809138	0.57891912369598	0.965080923627358	0.981613895195021	0.970999076960149	0.944643009836	0.813084239982713	0.990710825398563	0.94462846402002	0.975649232690434	0.979212668329675	0.990267246703741	0.980009530381458	0.908131047233479	0.967213859682214	0.964527526818447	0.915097095747836	0.950889509014113	0.925392930256346	0.959004624928377	0.980839054577915	0.814262393587203	0.978311245875439	0.274261362472807	0.945552385865303	0.923802916149845	0.977905852571034	0.930105486323862	0.967465193617506	0.959556081425874	0.960899012771964	0.910038135727766	0.830113789186826
CD163	0.431084531404193	0.944422339605658	0.986712332617103	0.987922607936175	0.886039270610833	0.931362304669671	0.969494093025493	0.906545628224559	0.953914603404575	1	0.979943512453323	0.848978858966557	0.876835106988703	0.200208394262715	0.947939470998381	0.887683042039985	0.960236558345971	0.967708500987428	0.86356997780614	0.935051878171651	0.772600909500854	0.400422489981948	0.979299767274746	0.909674524414821	0.9934229458732	0.892472894291852	0.866583012451495	0.945390426539701	0.880661551898072	0.962982349773022	0.789492865784241	0.899201475271079	0.91889959017789	0.917048115642796	0.969410318653214	0.870524306140938	0.964930301570879	0.890529790755702	-0.410735492015822	0.725576299942349	0.913842377543801	0.841941788490385	0.910750154832965	0.931355304712613	0.882047910111162	0.981341765853898	0.85025610503348	0.816309281129825	0.929561087093529	0.943649564467104	0.952689533758409	0.937286743980175	0.793207954067994	0.878947238113557	0.746733104197352	0.885687316072363	0.967216573551208	0.92429250082541	0.936272981052819	0.795221411717121	0.949685711089998	0.713386043912336	0.855688455131734	0.877361282116958	0.932794585586821	0.834406207637854	0.937955217226392	0.94134660886937	0.844892574826243	0.671660597031855	0.880526017058468	0.939749988972568	0.945136686109439	0.87626080583853	0.957699658574747	0.849511297421069	0.928404696507724	0.8463678034567	0.90787411796755	0.939326783746757	0.847259031737064	0.897348708520254	0.93457841709117	0.827549670750187	0.889004681616434	0.67941971688104	0.873774062364511	0.92336952776249	0.929239369207042	0.502362070063173	0.894721039066628	0.916678873844317	0.932319540252414	0.847740039240011	0.901584669818376	0.973997542863201	0.834808582998026	0.898142214271192	0.961425304352363	0.939994603874043	0.918215547499807	0.770272612714315	0.881264506025906	0.874726221278077	0.894343129101093	0.85052727989907	0.807071223556482	0.876695542249121	0.946303833132771	0.738466050539478	0.949772981659605	0.150385424202202	0.846285087035471	0.803309723099236	0.907531701132332	0.834146627068251	0.903863404895583	0.863019094404647	0.87346954529089	0.823296019321226	0.752039734283045
