""	THY1	LRP6	LRP4	EGFR	GPR37	CHL1	GPR37L1	SORT1	AR	ITGB8	FZD3	EDNRB	ITGAV	AQP1	RAMP1	CD47	SDC1	ITGA2	LRP8	NRCAM	MYLK	LRP1	PTPRK	CALCRL	IL17RC	ADCY1	TNFRSF11B	SMAD3	INSR	CD9	C1QBP	TSPAN5	SLC16A1	SDC2	TNFRSF1A	NOTCH1	CCR10	FGFR1	ADORA1	MRC2	EPHA7	CANX	VASN	FZD7	ITGA3	FGFR2	LPP	TNFRSF19	ABCA1	SORL1	TSPAN12	LIFR	CD44	CD82	MUC1	FZD6	NOTCH3	ATP5F1B	ACKR3	RAMP2	PTK7	CD63	SLC16A7	TFRC	CADM1	AMFR	SCARB1	PTPRA	ITGB1	PILRB	CELSR2	TNFRSF21	ADGRV1	SLC1A5	FZD5	CCR1	SDC3	SDC4	RXRA	KCND2	NOTCH2	TLR4	CD46	NRP2	APLP1	PLXNB1	CD99L2	TSPAN10	NRP1	RYK	HMMR	APLP2	ANTXR1	KCNJ10	TNFRSF12A	IGF2R	GPC1	CD81	CXADR	NCSTN	JMJD6	LAIR1	ITGA4	TNFRSF10B	PLXNB2	SMAP1	TNFRSF14	RACK1	TRADD	MERTK	ITGB2	MCFD2	PLAUR	HAVCR2	ADORA3	RHBDF2	HLA.DPB1	TSPAN14	C3AR1	CD68	CD163	SIRPA	CD4	PLXDC2	ADGRE2	TREM2	CD74	CXCR4	GPNMB	ENG	LAMP1	ERAP1	PTPRC	LRP10	STAB1	RPSA	CLEC2D	TREM1
THY1	1	0.720293220171009	0.191578604634949	0.541642289468912	0.512069011323151	0.616339681293596	0.552760125477689	0.721846429520975	0.58162114719381	0.641911309320843	0.575284792418019	0.696526455908754	0.772395375736864	0.578786340324589	0.634798444789096	0.833223190169061	0.53538570886175	0.604347870774425	0.557300579114596	0.599985631392121	0.825189533118401	0.782264504532144	0.578942298163351	0.570357999778563	0.799189986612242	0.544801634068888	0.612813965335437	0.517845303556043	0.428744693683465	0.787251108205908	0.775923037409385	0.692793353163733	0.744148976753027	0.7278716324281	0.872945027960978	0.896921137066095	0.757435722326716	0.410978879429106	0.620261659273295	0.752601443357574	0.417444008747853	0.904190651057886	-0.0520711371081099	0.60202241704312	0.273791244350721	0.236481330885777	0.699790261411845	0.501397792374497	0.692701657739672	0.709559475475392	0.562461964216781	0.492641305548898	0.846072475900568	0.657425625787639	0.645160463245767	0.699527500824069	0.908086964637492	0.878048403973338	0.747466333418009	0.541502546843527	0.781620707609657	0.859703692440832	0.671801432315719	0.676111093760183	0.816188962439508	0.762679091772121	0.743725708221967	0.844140178586019	0.878662264513044	0.776832093292619	0.672524142306622	0.558284070024424	0.502606568956343	0.90877887275645	0.528420778312934	0.658360641690153	0.877610888827009	0.887384168345676	0.743154984007162	0.490276478762906	0.740568717138062	0.741408750508052	0.81978907547084	0.654700034449023	0.566315573420221	0.742894176503151	0.782417063515025	0.255971177551324	0.827274726817181	0.680841642014155	0.708826410345585	0.804656365825752	0.666417504585086	0.327468893430436	0.801763755671166	0.833150881077591	0.723711248220484	0.776428667149963	0.791898592684223	0.782622381323374	0.830599596081119	0.689914380874539	0.655847557943823	0.783718079664023	0.787511324741282	0.764208990853834	0.610861031996025	0.792174933288339	0.877770111982351	0.697243312024917	0.702269374411707	0.809983595505816	0.750881746835128	0.760978219839913	0.722282506106583	0.831528681800833	0.702656516840398	0.77076108818305	0.733338190704955	0.700012265815966	0.765007339916803	0.805496089767743	0.695296193259884	0.704564544865224	0.709464002427063	0.738947102998869	0.740030474009981	0.807967799005538	0.546842135028283	0.807799988680579	0.867952985867657	0.813632720795558	0.704145049974931	0.760118912129636	0.732063228951472	0.803037181589277	0.749400585892848	0.715930456701787
LRP6	0.720293220171009	1	0.580485395618216	0.680003487061903	0.48376390878717	0.637072842200126	0.833537783286474	0.827820461409866	0.585675049113207	0.753992823452702	0.684317432997007	0.589334787570779	0.823753949478661	0.681427649754143	0.587803180091451	0.799284808053106	0.400262173501235	0.72841122604658	0.7639059281601	0.696014854376224	0.476698610021095	0.840148431582258	0.382512346511494	0.636164199782556	0.632707312467702	0.886851010954035	0.749028610301619	0.807390989028914	0.288627871856518	0.796566618565844	0.646368174820396	0.727508927238293	0.807820686978489	0.395561125308839	0.876100934269624	0.681475390694736	0.643007638279837	0.303121663128263	0.592905613082646	0.888917792646187	0.312380949739481	0.826376538851472	-0.0466757147659532	0.588367522308073	0.69122817275824	0.376524301259954	0.862569667035602	0.873820743834574	0.857345180872414	0.821349002644461	0.544775730884495	0.786961101604065	0.826223566839232	0.800698089582197	0.742428000377505	0.852450543636456	0.694286707553419	0.804902251338618	0.531589514288453	0.398222836227456	0.782600025184363	0.815495941120528	0.929210146240912	0.847560489629544	0.819952087670961	0.773096484314862	0.833523287872782	0.883735262683615	0.742388251206204	0.869364133282168	0.767147163172147	0.852112800896242	0.671041429683621	0.711776963413252	0.841286681545721	0.739421180395187	0.863260301417764	0.686963770476314	0.757519934201299	0.487357999993445	0.908011048323409	0.794354555926137	0.844126494324894	0.822126434106948	0.552535932154427	0.676145399041434	0.728124917361788	0.00437708243268108	0.749504705395947	0.821499493208455	0.558648834481851	0.842154071607851	0.557700511136118	0.428222708507482	0.761530380166754	0.853404538598278	0.538225452508148	0.810911855305786	0.794560703062132	0.775246852401001	0.8067058562553	0.688598236798395	0.498748335002168	0.700065485097764	0.790053016043911	0.727838966066045	0.714099604908586	0.753653663379484	0.848514965439079	0.776254642906897	0.599750219568167	0.76767539784545	0.721072720494908	0.665321133546475	0.608137911394884	0.7931241448976	0.697659061264525	0.883472775939623	0.665507669845545	0.731761208156289	0.776429221469707	0.684622891210241	0.667393215060811	0.685164485289544	0.794161794183973	0.660661679684506	0.677361750372053	0.746811148567663	0.706048482065493	0.743003988993478	0.794967320136757	0.859086971160691	0.657165797897022	0.85784398555398	0.774905100040222	0.662729690999852	0.766549838218304	0.724619661599004
LRP4	0.191578604634949	0.580485395618216	1	0.653655891673942	0.445594092319402	0.42791775190281	0.741237381894563	0.665010644939573	0.509558642836778	0.532876038265031	0.591816674226794	0.317705379201045	0.649813682683133	0.453791191419348	0.470271659717587	0.590041313588051	0.232832600930201	0.514795088170806	0.752688491273282	0.570074122383447	0.00146216630006806	0.640438073012719	0.175664327181483	0.316219513130722	-0.0135720534789804	0.732620733997134	0.517566616797519	0.761031124808797	0.133031708474352	0.612872109137411	0.398368169473902	0.424321481536029	0.69925135000669	0.0212278593115229	0.556830023081652	0.32098999894974	0.40270704940454	0.416217322318281	0.387171259866741	0.694137859750884	0.318658970396676	0.476671982867766	-0.306394150805775	0.436146295154846	0.633492635467959	0.606413187662846	0.719230322173624	0.704938901763087	0.717443290563253	0.624218710439408	0.427580620342296	0.803779632824926	0.560903635234882	0.686722270457621	0.658415444360788	0.56555477848143	0.229676856016725	0.486747719881345	0.204609831390716	0.253659206382603	0.376429432464882	0.544282111939587	0.697264312489429	0.596552616320208	0.615652735979531	0.441963162501979	0.611696853730851	0.586956941797973	0.3821729019022	0.665632412028287	0.698340116980373	0.741989399669778	0.717003251750615	0.380879419295333	0.799053169162941	0.536329260236682	0.497695510353221	0.322447261008863	0.586419040236458	0.434456533776984	0.708906842973664	0.593974688625393	0.531625825405839	0.763954892431881	0.480557069049293	0.246508578694756	0.48699955601903	0.0766354006860239	0.440492909402029	0.646360541240862	0.153203843738209	0.581081792322192	0.26170078806962	0.591005218115035	0.547531866686255	0.550127154343062	0.411024237628159	0.550537103310752	0.607522837481911	0.458275511065181	0.399400981748565	0.450869967327162	0.200364195432169	0.575079060678163	0.469258629216371	0.464904863128768	0.60875438290545	0.484797495193324	0.484799387080837	0.52401648579744	0.385070862848546	0.574873468307206	0.502353755093411	0.40153734597026	0.306776505999345	0.487537604846614	0.447755614464095	0.629230109089083	0.446697540210999	0.569435220106588	0.471696462954695	0.426153430999109	0.384512149753447	0.424177477198873	0.53890693530231	0.400489190223232	0.408078398289295	0.508938015991986	0.716225323763887	0.391747787386731	0.4960874497787	0.592553264588849	0.430690316414746	0.538494098096317	0.433916222493043	0.384645185345312	0.68037492087568	0.539815378927393
EGFR	0.541642289468912	0.680003487061903	0.653655891673942	1	0.913292849983649	0.916842458921065	0.941202829414138	0.948626008405926	0.961119344583102	0.953859966673493	0.98106417845399	0.836736317999747	0.909690956968734	0.927183116014423	0.938551894942177	0.856447434150489	0.810875406561773	0.88156008241761	0.961357272734958	0.976873467735859	0.0955413410250664	0.883651369375202	0.739804976069279	0.853620569415376	0.351890581032743	0.871110604533236	0.622065472631247	0.930954495131779	0.678711607490662	0.89047937533257	0.420134745750017	0.903947325012255	0.913980213023136	-0.00299422354220134	0.748602183273604	0.755854208927462	0.812162411611152	0.862494790825759	0.809374468992211	0.788930849182803	0.84745922937363	0.769367047026591	-0.412922388544934	0.9036631695088	0.331383572209514	0.543306348314424	0.778912812368384	0.773336576278081	0.750939617558868	0.581567513396451	0.936005467119341	0.937999359638077	0.756886010078225	0.944241972032873	0.96484314790626	0.861456961077366	0.497748075334717	0.649609492711378	0.43667036239418	0.847823648876099	0.406730117371145	0.860063925389012	0.820232155745002	0.529617930703516	0.770159844553166	0.470882587861937	0.581189150086797	0.859882647781767	0.493607042585909	0.882071954189743	0.929464781434087	0.816905331512285	0.969220361282566	0.588860546204547	0.756731164919135	0.419086039844294	0.740679312230569	0.640952594424127	0.639277949819558	0.920693456326058	0.718908396503155	0.561238692255741	0.689015084132053	0.885692426433253	0.833900895314006	0.750306981166312	0.576652984816261	0.12496976864398	0.53338016617135	0.856852187744266	0.0709923608626013	0.669437701406352	0.186901231217737	0.896624491131628	0.627851452107313	0.691042966694561	0.869502817925183	0.550426227558468	0.811111073389365	0.515660076799568	0.509033643315707	0.337552596138089	0.100332451434591	0.71484001763525	0.47022105913689	0.497415991192313	0.432770266410734	0.512171437411278	0.653969676809335	0.439145315803152	0.290013104486687	0.658253753083764	0.483893642446643	0.385950069716541	0.243574383246691	0.565373759191732	0.358268414268343	0.727775472286205	0.37093379678722	0.511679960815611	0.428665892287388	0.447709718127395	0.264796758345666	0.328354335023203	0.464599952059513	0.343896442235574	0.341294472646087	0.587054761210862	0.586408797206644	0.433304472006809	0.693005877171535	0.66496433375247	0.31386430110596	0.586155223738598	0.381655369714184	0.417215124527155	0.803317100296729	0.487466315068755
GPR37	0.512069011323151	0.48376390878717	0.445594092319402	0.913292849983649	1	0.942179829797513	0.778775391840714	0.847035273806152	0.965372054423382	0.902832527233198	0.947241364993016	0.890943343595808	0.790254805466684	0.926312490724204	0.959541856478577	0.754911312679859	0.952730378277854	0.860129822175337	0.814524399113439	0.94844756443158	0.0542485323466816	0.759182424873313	0.895792928154338	0.896749076526167	0.336068082960103	0.667078467556704	0.422188150015466	0.727639095727131	0.807174040629657	0.786085296748286	0.24305419239289	0.866781471641822	0.795793031466771	-0.0826361213844058	0.589350635578122	0.75021341046105	0.738664980706625	0.938478812335657	0.838595934201493	0.583069286071054	0.964625609368267	0.671952797463511	-0.342391626703531	0.939473661722672	0.0475124426930104	0.584872634009241	0.559614641348976	0.53721313922829	0.545132787275988	0.335871357283573	0.973327882714002	0.76100809195293	0.618662994897467	0.812800078035196	0.90523073079098	0.71476493215804	0.478789398902899	0.478164609915268	0.343200898282338	0.944860988489025	0.161107206054345	0.753333819184699	0.640135822120614	0.265382558231638	0.614085287603297	0.294249580961966	0.335201151503444	0.736731749583822	0.352985677039749	0.75467631638715	0.820540723976689	0.5983323942342	0.880493580310735	0.479566781488019	0.516388990831281	0.190115319388018	0.606958078872613	0.561840418683881	0.428721747581628	0.979430651420493	0.491085055474981	0.344739689956813	0.538016356793471	0.698284707290303	0.881021785995166	0.7951920948661	0.414232503957195	0.103926030705402	0.384956159246672	0.664335962171581	-0.111285317963693	0.47558436774251	0.0275419134789659	0.842862363292145	0.434857465419469	0.540987995138659	0.913855612599682	0.342920780530222	0.683453891052298	0.312602541954268	0.317505790698158	0.107528266958843	-0.059196557594326	0.584904381468038	0.27874743557018	0.311557140313476	0.191189268139344	0.31349345510731	0.497823192054658	0.21178637271094	0.101531342994666	0.455746139641261	0.287475421936666	0.209338472336758	0.0755409016243909	0.404960292473766	0.137203859668782	0.526063968945178	0.160256448307694	0.284143315532838	0.242937092957718	0.286826923640148	0.0543840086601494	0.119672689119346	0.238476262858881	0.146729968404879	0.148166261405561	0.430880231611799	0.356448723154115	0.254106073683145	0.554912494754203	0.45372217219261	0.101449299090971	0.350202533033098	0.159834603119355	0.247398935877747	0.655880296845508	0.271325676483249
CHL1	0.616339681293596	0.637072842200126	0.42791775190281	0.916842458921065	0.942179829797513	1	0.852017022393797	0.897268333139935	0.960721833045655	0.967449913427427	0.96596599430855	0.93179302910144	0.843173868925415	0.973986815800184	0.946514350087391	0.817157033174358	0.89749189908184	0.93517397140578	0.838200354842751	0.971141914064336	0.162294263958682	0.82293080767913	0.879727645373432	0.96744266290575	0.509380735485897	0.741920269245183	0.538602928025588	0.790863562108096	0.787927955449235	0.844373501115377	0.328570224880521	0.935485533892258	0.857432720280851	-0.00778271972652299	0.687375884853764	0.800414543570525	0.748417409597726	0.845030548070372	0.880029025791782	0.652352974263024	0.898400757191923	0.764454374413493	-0.221528192777346	0.952328025151328	0.194858166318203	0.485017439589143	0.646734594000518	0.622911375223174	0.650345462202602	0.437057431973715	0.974349866345439	0.796916050100588	0.70233736384251	0.869752648959628	0.90439898613952	0.842420524228986	0.523269822010331	0.578989644992394	0.421712393555115	0.913105300124784	0.325407069933396	0.817811433447718	0.720917703156609	0.379823450501195	0.683014534678877	0.396316903539926	0.453306627543434	0.821855813429675	0.43812077425846	0.797520850105479	0.82226690242066	0.707002859621969	0.884136395888062	0.564955211688548	0.584528040426581	0.282659386636128	0.69880499353436	0.688562636519474	0.543278003883488	0.95630996044704	0.597619344863695	0.428956856114829	0.655508463163693	0.749322335559919	0.865310709689977	0.825713648570179	0.498096032731768	0.049231323814288	0.496524506949992	0.745349165047861	0.0300035902872975	0.577010207062964	0.140226195360782	0.820301817931529	0.503405432194953	0.638459267392819	0.898687776701742	0.433234527558199	0.757354758312515	0.427951981110632	0.427201691912782	0.210113793700064	0.0278659075328263	0.604621935936812	0.404612151750355	0.424692179390538	0.29948337955043	0.418946515862046	0.589875099976958	0.330366587519228	0.186794071093937	0.52633385816799	0.36657368111602	0.289938591891051	0.161646323318442	0.492963893264816	0.241822050638276	0.620492320609117	0.252324760561361	0.369734938215649	0.350958916771418	0.35720133508143	0.161835640439729	0.211840333087041	0.325054111018787	0.228110965594739	0.232899214061496	0.512933138396446	0.429847971266955	0.350265803257669	0.639768746126067	0.556079670612691	0.195712228130069	0.484375565472363	0.266291090875306	0.336563721360295	0.700319696055804	0.363077196222093
GPR37L1	0.552760125477689	0.833537783286474	0.741237381894563	0.941202829414138	0.778775391840714	0.852017022393797	1	0.956627205149053	0.86742201075492	0.928793548034615	0.929060431829337	0.757978704895289	0.92138994639887	0.882730895396278	0.828940873244102	0.861162153254458	0.646390833753429	0.886003034309011	0.970272860397637	0.924701638366331	0.156721889246384	0.909514145217529	0.586569652936033	0.803936150630022	0.413938415711365	0.965528677001697	0.711981552513947	0.980725664451089	0.550346157406297	0.894353151229266	0.501926232779882	0.855319305093832	0.934807937444696	0.0716832037966942	0.812374316622758	0.713634723506605	0.7553610751418	0.688559441613591	0.724982399664216	0.869175107176019	0.673813544735643	0.797291530090348	-0.30649947401232	0.804335348689802	0.5595163826124	0.468269531614048	0.871200110822097	0.886437565521671	0.864411986024591	0.709709020845353	0.819429860520724	0.987277131561721	0.809665746395467	0.957827303285172	0.930221814855972	0.91111216556055	0.517688147724073	0.711183754892004	0.444748321329762	0.686054582029004	0.54174640461765	0.858771993326704	0.921359397007963	0.699487171642228	0.823364810695815	0.589576460176887	0.713789330028631	0.896219378782123	0.569838810983459	0.921229289564743	0.933872194015856	0.918079987093902	0.934417999763073	0.617796889563695	0.899057777784329	0.577857505983343	0.781982989427699	0.651912470851351	0.723696203138507	0.798890610968718	0.830615464195491	0.674223125321914	0.776077292282413	0.933369750004706	0.772847679164475	0.696049958992937	0.659916560582749	0.0273511995339111	0.618704543267304	0.897528728727078	0.209723815148799	0.760950514300937	0.312212609468043	0.809777907929558	0.697433373546001	0.758004592387075	0.769284675707671	0.660420225630217	0.850850556766692	0.626389578752136	0.62362146801706	0.477938458629278	0.218016959027171	0.72999569616391	0.586104727867011	0.594704630765223	0.596932550737785	0.612401630945297	0.736684550777173	0.597228975514834	0.402357079772311	0.718920557970548	0.586667850015599	0.493469802011717	0.358653384241521	0.654581191800566	0.491016901197939	0.823035288152182	0.487244326155268	0.623417650030746	0.563554717006939	0.533676234428713	0.407899368875263	0.464379052772109	0.602956990318402	0.453214986400772	0.457964362050289	0.662104021527443	0.715264470176407	0.53611770755456	0.735065239665323	0.755547647516946	0.451786722831667	0.71484791281139	0.518912197531796	0.499010839882357	0.811860394288736	0.599610364605353
SORT1	0.721846429520975	0.827820461409866	0.665010644939573	0.948626008405926	0.847035273806152	0.897268333139935	0.956627205149053	1	0.915852664856564	0.947774423087647	0.948459907160077	0.856190527659293	0.979419994093108	0.903860732464208	0.911848859205605	0.952422911519482	0.746756590266541	0.895954561217018	0.957622951540551	0.951873653257849	0.323951852831334	0.97759447584099	0.705213049385485	0.835414225965228	0.532969862963068	0.912332569130949	0.754061796110953	0.930962871299714	0.634160418593756	0.970427016127396	0.603210727408143	0.900954751083873	0.978669713491173	0.239415602774682	0.899744004988441	0.864204635903979	0.842446381041968	0.753873572420537	0.822094478750316	0.908988600229153	0.744554737996528	0.910425470520903	-0.326664677319123	0.873822347155962	0.449407286204808	0.516287004873293	0.893373590488452	0.829117987397867	0.879815290100129	0.747058748630657	0.87512715375147	0.939705902859139	0.899367963526558	0.974377001203296	0.969518896017468	0.926849574285587	0.671396192759714	0.808350632017117	0.59421788112209	0.769188438612054	0.598315826042489	0.954280034044116	0.91784018223052	0.713594169506161	0.899518977116791	0.678025298820548	0.76166829453577	0.967689309941915	0.702247763962477	0.974597888593956	0.963951491874908	0.882903487815446	0.928362208170987	0.758337397669247	0.849303329515912	0.621067271381365	0.888287732407635	0.779609093128898	0.784159871895244	0.844175042708705	0.864599440075247	0.742554477218857	0.853988770871337	0.947169003023663	0.823193989404194	0.798643252377311	0.740596906844169	0.132153067521688	0.737030666721103	0.919113739752201	0.314889898010578	0.830569578338121	0.415445636650382	0.787482534264886	0.781745805378639	0.85647523090862	0.873229586802007	0.736367165957606	0.929242898964707	0.708953575190445	0.713525444197505	0.549326867204191	0.335560031931234	0.826522941376341	0.675762563577661	0.681272765360899	0.631810369547022	0.696474573514089	0.834050195570194	0.646338427708532	0.503290406679301	0.793990736941063	0.672974803283907	0.59969593415087	0.469794532927396	0.761510155700027	0.566053611073371	0.876086940598161	0.579219972259998	0.685370031049522	0.656250808281301	0.650944350227289	0.494114968723209	0.550712962871031	0.669359872001413	0.554085111841152	0.557889691819224	0.763350799602569	0.724028719488233	0.647690882823519	0.845103646365488	0.827147745527218	0.535490018153097	0.758230237623052	0.598151790861233	0.611278768162852	0.892690676479811	0.669598880439213
AR	0.58162114719381	0.585675049113207	0.509558642836778	0.961119344583102	0.965372054423382	0.960721833045655	0.86742201075492	0.915852664856564	1	0.949001835987773	0.976853170777665	0.921210545530851	0.869684709917672	0.962643533885234	0.96589060633732	0.833607661278722	0.904641793674293	0.875488576422738	0.889254341652265	0.977659871399021	0.113382883508665	0.845747276890093	0.865969234482961	0.914026268939446	0.432913668033265	0.760749132996906	0.552932213297927	0.828606737787079	0.826460510509191	0.873052947001651	0.358416198906291	0.914356002342276	0.882379725132709	-0.00916472979575409	0.700103875806769	0.819517339891479	0.810225438920075	0.924205300599802	0.85541058550841	0.692286545058365	0.940963781982233	0.764352994776308	-0.390620131016931	0.959206674558624	0.162781166742262	0.53595678039259	0.678169634015681	0.659105653399758	0.66912766988866	0.464298112384018	0.973025533130635	0.849718981920252	0.719102594508832	0.892312792058491	0.946566424659013	0.831949480461961	0.538767041531935	0.595772497198235	0.470191227527227	0.935847834207093	0.321933510177316	0.836324394028111	0.725081107083657	0.417747582402542	0.712231324545047	0.40506192007293	0.478636969653146	0.825812359178136	0.46536195240052	0.834322494719609	0.88069362312492	0.706929463668672	0.932044149210494	0.572168674080599	0.631250725155755	0.316418643612093	0.706716636161604	0.663055607925675	0.56324121281916	0.96605837887296	0.613700104279256	0.46759830469916	0.666714160442935	0.80134427963484	0.876744410432762	0.80867299672597	0.51408699773922	0.172253998260755	0.514170731627497	0.776765581013237	0.0131420991383899	0.592621622194627	0.142785899898169	0.884775484272383	0.555572826716631	0.655492288056757	0.935861140621259	0.459350176468028	0.779996168934558	0.452950863146104	0.461220649202344	0.237719397611526	0.0450247771829344	0.657145781830928	0.398294947960125	0.424817409573046	0.337550519922426	0.43669915603511	0.61281785341891	0.330527673930038	0.215623475690688	0.581747068607511	0.402138143138917	0.328012633204456	0.178631071293579	0.510615438968383	0.261022065137226	0.641153062292776	0.292542542534668	0.414583206541844	0.359915393876762	0.390837205844452	0.173818013575033	0.240565182944278	0.356257790226672	0.261195774486207	0.259515861992982	0.540988245814909	0.492070917591481	0.36509855940604	0.651857181076235	0.58520582078095	0.232918923738558	0.486596073735915	0.280241159658368	0.359776265380782	0.74800257891286	0.398749305756632
ITGB8	0.641911309320843	0.753992823452702	0.532876038265031	0.953859966673493	0.902832527233198	0.967449913427427	0.928793548034615	0.947774423087647	0.949001835987773	1	0.977072566666193	0.867781544598268	0.890161906228802	0.965107533525426	0.942623238270941	0.850600566626464	0.845565311984893	0.932463674710145	0.8996468552183	0.98221908506926	0.176368107067641	0.879057654806106	0.811782817377961	0.926132731110475	0.54571146472426	0.862894302199405	0.596011832707606	0.882855851360528	0.686701684708661	0.879106058890193	0.387396644796751	0.974641271213361	0.898413190898803	0.0205342996810189	0.763911715602875	0.794346418001364	0.796147926713455	0.796368701834414	0.884400629682827	0.765343805196202	0.821926779761967	0.799859486706657	-0.303201546148611	0.944665080775843	0.302358754617781	0.514391087219959	0.743057964423997	0.771036844900695	0.732298207982142	0.544688374653868	0.951173240174727	0.886083847977338	0.753778981685594	0.912420456160471	0.94183318196953	0.920632845805239	0.586318448245037	0.654608386498789	0.426257936097731	0.859508972804903	0.472565598796962	0.866070049181901	0.811447167519041	0.516070281884429	0.747482628764763	0.467656743775504	0.572277699062023	0.879225992169796	0.500557347026966	0.876752606969318	0.885246590068355	0.790536131189144	0.925800263883709	0.603453565251026	0.704277820466823	0.382475758988132	0.769218126652009	0.676959481467629	0.608197768158938	0.91482673747033	0.716409838678828	0.525272318803845	0.703032377722569	0.827685951131507	0.876571136028407	0.846205279678332	0.557164894471151	0.0605617121249798	0.543460228017945	0.814964259868577	0.107562469945913	0.656629467214093	0.176658766610271	0.819760730171203	0.590807841258274	0.713919831495362	0.880782107509039	0.529027131963126	0.803112249669465	0.503408975420523	0.549361835898087	0.305865529658489	0.0845130236680766	0.656517816123293	0.476417420614071	0.483776520548007	0.392379217765952	0.494846556132895	0.680335099495721	0.435765331095524	0.25466317953203	0.617840542274175	0.446290032903649	0.356831707466327	0.225743990019927	0.557219012531697	0.331268189994872	0.714864193580664	0.332479865902251	0.457418929953458	0.42964000932601	0.425216030247381	0.250975781445483	0.305484618763038	0.443451666929661	0.312608621328651	0.315624364936086	0.568336959881458	0.512571724086353	0.432944853062471	0.689249565323366	0.660006799561698	0.286407617573514	0.582434504249634	0.376530229240361	0.397395499862936	0.749117358783783	0.443077921255902
