""	TREM2	CD68	ITGB2	CD93	HLA.DPB1	PLAUR	CD44	CD4	SORL1	CD33	CD81	C3AR1	LRP1	ABCA1	SCARB1	PTGER4	TLR1	C1QBP	HAVCR2	TNFRSF1A	TLR4	ITGA4	TNFRSF1B	LAIR1	FPR1	ITGB1	TLR2	NRP1	ITGAM	PLXDC2	ITGAX	CD163	ITGAL	C5AR1	AXL	ENG	CCR1	LILRB1	TFRC	PTPRC	CD40	ADORA3	CD180	SLC1A5	CD46	RHBDF2	RXRA	UNC5B	MRC2	LILRB2	ADCY7	TMIGD3	ITGA6	SDC3	TNFRSF14	MERTK	GPNMB	STAB1	VSIR	CD74	ADRB2	KCNQ3	APLP2	ITGB5	SIGIRR	TLR7	CD69	SIRPA	CD47	LPP	ITGAV	PILRA	ASGR1	TREM1	FPR3	TSPAN14	ADGRE2	SORT1	TSPAN15	PLD2	CANX	THBD	CD63	SMAP1	GPR84	RACK1	MCFD2	IL6R	AMFR	PECAM1	CLEC12A	ST14	PLXNB2	SIGLEC5	ALOX5	ITGA5	FZD1	TRPM2	IGF2R	P2RY6	KCNN4	SPN	TNFRSF12A	TNFRSF10B	CD9	NOTCH2	CXCR4	NCSTN	CD72	ATP5F1B	TRADD	NRP2	TSPAN17	JMJD6	STX4	CCRL2	CADM1	IL2RG	LAMP1	CD82	ADGRE5	SIGLEC10	ERAP1	PTPRA	NCL	SLC16A1	PILRB	CLEC2D	LRP10	RPSA
TREM2	1	0.778704568682524	0.950509869061021	0.694167887662997	0.75042654245924	0.801792260813526	0.107749431025148	0.908498719755102	0.925641272663537	0.930282228810966	0.900414466332099	0.963205971699301	0.815597585390268	0.141840394689477	0.786497406502045	0.628526164620964	0.901622295454658	0.844585741003898	0.940154876811878	0.936833785434183	0.661294235423301	0.86324222633841	0.707425431364447	0.960967270299207	0.960713327102318	0.914985758362374	0.866009920516988	0.85834694092494	0.825176680850738	0.891882108197088	0.13318711722308	0.96126118805455	0.812900551518355	0.493135768619927	0.870417071953841	0.946572379464022	0.843082504165427	0.900043665201069	0.480715885864316	0.932220260539654	0.852949203232283	0.956394674235179	0.5185577103048	0.866674934157651	0.888888502253287	0.893778446739791	0.405257496025907	0.800397096945946	0.788938695249911	0.701512193756146	0.826265413763664	0.866333154752503	0.82972186784762	0.766932918340431	0.302658815782508	0.811978767322558	0.051371768202072	0.857224433071652	0.905480961273152	0.886640791988478	0.707593128177712	0.759099985826995	0.915289568660791	0.743270191722978	0.708014123412354	0.814185010760463	0.646288483407609	0.833243962810307	0.890056144306274	0.86483793844522	0.865633926610052	0.50866167605322	0.126136465529349	0.204118624504804	0.782410309898899	0.812620229760992	0.76228745117457	0.757758107656843	0.932639397772028	0.831355837056868	0.856398015582532	0.684405418514526	0.880329637267505	0.676717794493774	0.913335203787644	0.791048165651907	0.813082832397038	0.456214442665104	0.472555862563934	0.759927590751686	0.604075988778188	0.763066820505435	0.800400827309458	0.835987446148123	0.883934607779476	0.493409935681962	0.658790613572872	0.843783108569624	0.374648853848497	0.866541530263259	0.750597537435805	0.588981308028555	0.668916330635587	0.744422477059749	0.519544096812478	0.449873628640454	0.333488713910708	0.894259670602276	0.588120136081742	0.871330518969977	0.874502692393826	0.351318041439767	0.845497206485326	0.773400416411622	0.847536277992426	0.789090169981178	0.759393077665598	0.467509303124611	0.880272391916591	0.758578200404453	0.637845643016046	0.831948083537658	0.853090687195788	0.776196238863357	0.857197078527162	0.783526021849927	0.729086140709589	0.649016326168459	0.865097317321553	0.793843418347738
CD68	0.778704568682524	1	0.81844602883992	0.551876377648205	0.585940018423012	0.880710297941095	0.51521776899166	0.781168585025521	0.804740972159597	0.705256960718275	0.748278786222917	0.769777287003162	0.802384437035813	0.613562150103399	0.811627964823067	0.652464274974353	0.876468466108048	0.671900498768918	0.863715307388475	0.832785196536799	0.757521185325635	0.715333649235192	0.861350085563585	0.768857493135965	0.683942543680712	0.895421122899526	0.74749705639639	0.827254679389599	0.794187778245091	0.805763715587931	0.57779702006003	0.762197900657505	0.708177207703607	0.726649905441348	0.720164373445012	0.748580912634009	0.881911558341242	0.723527097284461	0.440409749426954	0.834064700429075	0.846612596674016	0.76212709986344	0.733151589918242	0.71768220910696	0.838848483139645	0.755140984159152	0.648998141493927	0.626733990256843	0.533207563839634	0.577578681959004	0.681968644341194	0.824074282043744	0.684072384917566	0.618296091777881	0.766769363928055	0.727029226534578	0.557148057992517	0.644894709645264	0.726170600014617	0.664972987032927	0.587915865847159	0.770809442806661	0.845024478135127	0.749439735826511	0.800833582528163	0.679731296822465	0.561270955337091	0.82548140764037	0.761330663191661	0.744531918863396	0.73072193878058	0.806500522119462	0.164415723190917	0.371211762735761	0.712778868110651	0.845142812983404	0.635845167071446	0.825306596088719	0.778100118289068	0.745455888930535	0.879344447378646	0.571923445876711	0.897128022998658	0.912362284723228	0.736348450184769	0.872060808170941	0.855042735859373	0.785134057102407	0.762600727549128	0.695179179722872	0.332459354150848	0.671524627329107	0.753655119393046	0.713082142071479	0.703117061214346	0.57243083297731	0.641447277847421	0.663676797262263	0.692049665887329	0.729000820620586	0.587513205383271	0.533530097111722	0.681255061013301	0.616450540516779	0.715643635946559	0.68023612619552	0.509128860348093	0.761223006519435	0.743592204392459	0.726239775997235	0.876848450013011	0.796699583431164	0.72493417037708	0.803169916877543	0.790217011422313	0.866930005473935	0.835392766657425	0.71790823817614	0.934718958163467	0.793804179461007	0.603388709233456	0.627882572365152	0.689275227531599	0.817933090698173	0.700934541658299	0.592621818782897	0.620617776318507	0.700813063983184	0.825980016596607	0.825625467008111
ITGB2	0.950509869061021	0.81844602883992	1	0.751170334274598	0.65498782061959	0.879565943475839	0.314741170834121	0.891411637700373	0.911598130556301	0.937329796204614	0.843291594770475	0.947491928731784	0.803194546963817	0.279810239789938	0.794988595297393	0.584431787331382	0.917746375403586	0.91343850660982	0.959305848900946	0.933328472739563	0.648519824797015	0.915384996169947	0.771369754737079	0.934010252479267	0.944148567038886	0.954848328943415	0.877185501784551	0.906103908352298	0.893955573395105	0.865238299981078	0.233822620584588	0.932680791429552	0.789031628008184	0.507334762286592	0.785403083465092	0.963482944849886	0.882594387980825	0.843725552424745	0.399811118795466	0.946971661943157	0.876843239869999	0.902298452425783	0.698978363986085	0.911485742009483	0.913562240468804	0.877108864590828	0.556444534438219	0.721399675049358	0.694672772709174	0.661429744671268	0.778198753500698	0.913380521653571	0.795723761905106	0.653609187334102	0.419097215049424	0.719548563835105	0.209640009299445	0.822492174412138	0.861949228974491	0.796769608765993	0.634975466674063	0.736731326650091	0.967277755926463	0.738838159907528	0.812658391025667	0.733339158127903	0.588724547533895	0.88713149678672	0.946344034803791	0.86337123654935	0.823678235745443	0.549114775589264	0.272020926772319	0.413849349124699	0.803323486417772	0.77906193945173	0.693444067421378	0.791631971944029	0.931472342525179	0.811086620296608	0.936102547613994	0.711928189054314	0.944019218771485	0.776429574969473	0.896278285279376	0.865579173098156	0.858732608678391	0.592555131536325	0.565937468391002	0.667048452281024	0.517218128894233	0.817819697294335	0.852107175196227	0.881051348422766	0.934907926184792	0.655086043444073	0.615007852676445	0.831098522228687	0.513189266200756	0.913908619543089	0.845757181754717	0.672273236821429	0.799200856896954	0.759659893919328	0.623866784878755	0.526963310355913	0.409104684510936	0.916660014498649	0.612173884716048	0.944569064216137	0.892576841736784	0.454343945438815	0.858129410363505	0.812567014031333	0.809608617520499	0.821156786079616	0.805999978936253	0.578686530909229	0.920912309719331	0.849761379040892	0.606890147797431	0.731538866996724	0.889548183825455	0.781545410822536	0.918350427992016	0.835896646502244	0.671595590015067	0.702414729917547	0.858432514238559	0.896624053063346
CD93	0.694167887662997	0.551876377648205	0.751170334274598	1	0.414788664141183	0.690709864275705	0.375660135074757	0.801463378895325	0.721482522045194	0.756069922911419	0.765486743407464	0.619647193898184	0.740775713145407	0.0294406573946427	0.663449273743642	0.490639796047826	0.631966584582123	0.833657076024131	0.649044229285273	0.730988523192733	0.515141959367006	0.856401338721275	0.524122115186738	0.771423526330771	0.711332020732698	0.704794714447944	0.716082034907513	0.80621768234873	0.801016074304652	0.712873573544254	0.126767067278781	0.768569114378881	0.706555703527387	0.310366238532432	0.564877974663065	0.820585737002478	0.66701664550088	0.716665479306459	0.415991897701866	0.71086406624165	0.607014296257106	0.711479400946896	0.514142108330874	0.752142358410054	0.64056219433442	0.738404428495441	0.551404407238905	0.660749234998964	0.578181821058265	0.651367206084306	0.694167026457878	0.772718827847294	0.712184674190144	0.545901160214981	0.1443577323322	0.600806161741311	-0.0414766171566146	0.849831836877473	0.585155690616201	0.510708803684011	0.531395529609496	0.522596668135888	0.762644565040473	0.702941261091319	0.704561889036292	0.571377335514228	0.527612416627662	0.796042331581632	0.800445893224962	0.781000146723619	0.755002897452938	0.116475381784077	0.514256098492	0.432168548020566	0.731683880096942	0.589571299173748	0.676358133513664	0.623672460103233	0.797271139411578	0.559288783441836	0.778923146925095	0.813117930631414	0.68982781091994	0.567040825707186	0.777315638946965	0.753861930600388	0.73113235759393	0.481774576661743	0.397234445266597	0.478835820652608	0.429386607908432	0.851663602111113	0.814232337515436	0.792410602781425	0.780788688302442	0.702478964359552	0.528227913477491	0.834298080129685	0.420953829702417	0.744930077612512	0.784714134506448	0.789939165013006	0.680144218823612	0.658794520299086	0.285158550576771	0.409358241425394	0.134727013292298	0.721650556920404	0.28193435928038	0.777461068437854	0.618512234169917	0.315759448261769	0.770809119192157	0.625614702363052	0.611562780726202	0.551318902243393	0.523931107161368	0.415395043974495	0.613367129819677	0.691033996490707	0.590121829270049	0.582169386914295	0.763418768877673	0.700539040695785	0.830768763038837	0.789811486537178	0.57609651505014	0.582227070674878	0.714959454391522	0.822833899008686
HLA-DPB1	0.75042654245924	0.585940018423012	0.65498782061959	0.414788664141183	1	0.542703084741986	0.0618741061689611	0.74641312866432	0.774051622000033	0.732710647419647	0.736528470105642	0.745919455272487	0.661850980028703	0.0381398829668741	0.651117346427474	0.769050352678051	0.703224620207906	0.535207767534946	0.665466310529405	0.755665789920819	0.717186009082216	0.642770065268175	0.601966367504129	0.769371248067675	0.705971847649409	0.654290456919201	0.730226938597146	0.499448989195131	0.600598446880523	0.826310457144713	0.106999260227207	0.73601872255589	0.739998715496926	0.568723998590544	0.894329519487793	0.63078214433911	0.628832934047113	0.829477893386274	0.678678010909454	0.765696220099823	0.67605695653615	0.808083153831491	0.145294059623936	0.637119464315461	0.698207014194045	0.756065357315511	0.203679996177389	0.749896837962384	0.652014160929951	0.777920863263171	0.793488836522459	0.481273606862757	0.71480133880451	0.781605924645743	0.316771184948929	0.821744575180012	-0.143040468163342	0.642903308146895	0.887895728274868	0.956463118025163	0.739434977659511	0.721083856922757	0.544162110153244	0.599584244259295	0.539631356249637	0.850654731329183	0.751577263811211	0.625595319331107	0.629959762981508	0.700937060164204	0.778902569143364	0.545268513287079	-0.102090701194697	-0.156888475246295	0.729193624353515	0.755725416547337	0.791613845709197	0.669663649289065	0.650426228317406	0.722469745507207	0.552976178934937	0.551300350081933	0.509390860104372	0.524056483806215	0.721022852834955	0.689718715651966	0.58564605230705	0.31717882329809	0.418857894257085	0.887521257584651	0.789830304510771	0.499926624477202	0.598844664626811	0.449721739173381	0.640917208710949	0.133892478087216	0.701985577916984	0.64947365792518	0.159477271193991	0.54529306024272	0.302637419445411	0.361390757088535	0.201093510326465	0.632702647440758	0.263733536734974	0.512467600975512	0.491038641061707	0.58908305230552	0.683578211882618	0.516420296698632	0.756319001140554	0.218790195265475	0.66698715264527	0.695215013054154	0.744574957608728	0.617606819644765	0.645263526890404	0.405090552317702	0.587685630270079	0.413539520348604	0.707106539632004	0.907149897671159	0.655009477089724	0.675295651485569	0.573571948698139	0.488137481761212	0.827453112192063	0.579813372560975	0.782153232120242	0.571481248433609
PLAUR	0.801792260813526	0.880710297941095	0.879565943475839	0.690709864275705	0.542703084741986	1	0.520720210682255	0.828568840238756	0.825272103984471	0.767380047032416	0.789965134747166	0.799152192957935	0.830878233524913	0.529215974936661	0.735557693940466	0.683960066749409	0.854964673130238	0.74889581075713	0.90038437848669	0.838589422554346	0.703480161484591	0.814104697483194	0.885098147886949	0.802072033150835	0.757059316058689	0.921612550876404	0.796382419569197	0.852815601842553	0.869451693984139	0.820186021527006	0.563442877317349	0.815619552749151	0.752528327532318	0.728355328880642	0.707223858071829	0.83694043504092	0.846518854789057	0.746454039880187	0.515880431658261	0.878492953750919	0.842557154235027	0.757752575933651	0.775185079501472	0.776307722783634	0.842878141155141	0.78649183168398	0.689012076805386	0.646833556472866	0.607518105168892	0.557918553905363	0.694677078880704	0.885406510387101	0.668003075380436	0.602212502691703	0.636324522497061	0.704735714126137	0.480456975220505	0.697840974487875	0.714823461916421	0.649591077016626	0.620129354191267	0.744974111890803	0.891535881442048	0.74999402941661	0.866576145994816	0.665744073552722	0.639572841909187	0.898530884735956	0.810437443445052	0.822976431799451	0.742648768215502	0.671496263943416	0.288050169103629	0.569453902397317	0.720338899259097	0.811712745026185	0.687615610388926	0.805673967592303	0.815499018883082	0.77744528992749	0.899032641466247	0.7003357566524	0.885700703259479	0.875454656707372	0.81420053763616	0.885118373292396	0.839898682898282	0.743091706921159	0.707536517562726	0.633807218600679	0.352665151517396	0.747855531114762	0.8294489338381	0.779918379497856	0.787076527447139	0.703630202956282	0.701789437361642	0.743272039199944	0.661676247834909	0.762965531831453	0.744940494885425	0.649961283581267	0.828490678227087	0.72024257347059	0.763995101681328	0.605449544115106	0.566192502874093	0.798791071075052	0.691435127750965	0.789612228242652	0.842721412959826	0.705861336999957	0.765987901337853	0.846945683159628	0.840176370453415	0.894658757286523	0.839865184181595	0.670313210947762	0.869418990897349	0.862788165086089	0.644894326364798	0.59427187071111	0.72637227864626	0.77979427524628	0.79488897145748	0.719909615210309	0.617395456022946	0.722829067411008	0.813902728378598	0.868394454104795
CD44	0.107749431025148	0.51521776899166	0.314741170834121	0.375660135074757	0.0618741061689611	0.520720210682255	1	0.277119527269229	0.245537826140963	0.222795058214667	0.180135430704027	0.16798606705898	0.335430385685526	0.622662069757926	0.356135171630589	0.3075947751432	0.307374098564241	0.376299484990645	0.298665715186316	0.269193074591392	0.399935480643396	0.360813179021297	0.517824404742048	0.187404118005802	0.113692082903411	0.404545404792296	0.328772081955825	0.36358427146218	0.498886504886382	0.272008479008937	0.598523288712846	0.18297607574261	0.253317331105184	0.481641324264656	0.045195228437149	0.23222056219268	0.42475046268449	0.159709803732365	0.181542613394862	0.331684193976784	0.366303256742973	0.111453294887051	0.651311578115926	0.340654892595678	0.345611794443317	0.19550422558941	0.683404758559456	0.0274688895989468	-0.0459107641890569	0.252519448100782	0.226736445920712	0.333001418349642	0.176919918543229	0.00655848606474024	0.679639342740186	0.155656369232728	0.612771466681998	0.136818288554761	0.135940324448975	0.0369862417301357	0.130940919329588	0.229410545379532	0.369953959036634	0.303384055181697	0.660319572303938	0.111897746370772	0.228427456024438	0.464177375350695	0.376947174090421	0.285648687676765	0.201595295548064	0.452587148429224	0.577167595086744	0.680125600606673	0.426955258953458	0.362562393680036	0.178794778198392	0.440243715305298	0.212295806536045	0.192794959499696	0.518829806397144	0.446984608037328	0.427752898317551	0.641438576973109	0.230048734125712	0.579095396720098	0.462591642309115	0.761344930492738	0.621602485453902	0.155004745978254	0.0067078515369964	0.430634208869597	0.420585664057196	0.29571806241823	0.330809188411449	0.639330026666257	0.251158006059214	0.240763176027133	0.634265773034243	0.283874986805886	0.349334053662555	0.483025363747322	0.446224037319837	0.295399109038268	0.52224801703871	0.598898021525256	0.552352730285034	0.288195243483299	0.41879769630293	0.37120207735652	0.396622785273633	0.677940813092908	0.275047721349223	0.442006055562319	0.272168329687497	0.454180687493302	0.402387845703625	0.664430783404116	0.406391714314477	0.516670738257726	0.369956705578714	-0.000389341179471208	0.314119960034905	0.411976470173765	0.40311706786424	0.305525126056845	0.201407551922034	0.428075091242265	0.337396320354293	0.585572249379303
CD4	0.908498719755102	0.781168585025521	0.891411637700373	0.801463378895325	0.74641312866432	0.828568840238756	0.277119527269229	1	0.945334274224427	0.891014157130846	0.962238425306982	0.853532700945463	0.907629115793762	0.195536583796282	0.842391040862826	0.791109079401043	0.869309136459477	0.8347128133555	0.874636533722657	0.940898492877294	0.769813402299017	0.913577793867012	0.778543230725132	0.960743529335273	0.862440631921381	0.894045500889752	0.881457010274978	0.880502051351989	0.876310343596652	0.951465020202757	0.25229160483973	0.94498695816321	0.909302495320158	0.612936023080923	0.867736186809997	0.913209091420967	0.87727992507338	0.941241254232561	0.672344934254282	0.936105348729397	0.808277045298239	0.940496371209404	0.51540360431693	0.867459881770525	0.850662832039815	0.93748390177644	0.533368667509642	0.884855420267851	0.783095485144541	0.774398880609276	0.905477081101062	0.860303397687064	0.887849619554518	0.835150419678173	0.359098501005294	0.890536604249747	0.0363736473061219	0.934737899322806	0.864846591282221	0.833874257763121	0.789476659065879	0.816042570799389	0.868680479564357	0.883387467569599	0.782197194667554	0.863496469305627	0.796493909610533	0.921784644780406	0.877572869811039	0.946362072906283	0.950195507026143	0.467552720299357	0.190620424740157	0.218182747586906	0.827487116849119	0.86740947550526	0.885203628671064	0.833557566815793	0.919721901626943	0.828227478466376	0.881210134546264	0.804756245253757	0.808695191727428	0.755489666706514	0.930552099119473	0.90234169302557	0.885506867686808	0.559651829170257	0.580990721755138	0.81250610012547	0.587361553355267	0.841041894426015	0.886419035559409	0.793465881301791	0.8572307180597	0.523139722949068	0.7817641218696	0.911016220549022	0.469617227442569	0.798699131253945	0.684305219269368	0.707727462319598	0.635839201188834	0.798110372259076	0.431118576239841	0.574579402154399	0.341587505923919	0.851026452952364	0.609834430301145	0.816499057393933	0.870085458128718	0.47441832494657	0.91133342288049	0.82255113732306	0.876186490713722	0.800516533452324	0.76313422207728	0.535029172340411	0.808792355353432	0.73788610518641	0.771333241065821	0.852682583889109	0.84509831169502	0.88886241535987	0.875212332334907	0.810574716498284	0.84009727988256	0.76313388195017	0.931330465182239	0.884777921420975
SORL1	0.925641272663537	0.804740972159597	0.911598130556301	0.721482522045194	0.774051622000033	0.825272103984471	0.245537826140963	0.945334274224427	1	0.895265698290047	0.923849959077382	0.896175136010944	0.902908122071395	0.274014081189578	0.838090482529474	0.737832599140398	0.892717502422907	0.81143142585534	0.905441541872776	0.951019005457779	0.792457133018319	0.883433550894267	0.801128825977096	0.950989286279581	0.881415814871328	0.915968400573671	0.898658537636924	0.873941537909482	0.864885001371074	0.949309310773603	0.256691951169927	0.948161993875858	0.883191781051628	0.632444840920919	0.884090213143965	0.910558244109687	0.888825659677945	0.914682960078424	0.61067720396361	0.946891978141889	0.830154017037412	0.945530595820049	0.534396240806783	0.847606536112362	0.889140585746775	0.938096536081816	0.553287826691457	0.856734042176213	0.75947416005341	0.752363269135319	0.877622972197584	0.835491280397296	0.879108685417751	0.821041063665259	0.420220497405101	0.867721163083111	0.103418060887547	0.878120306434355	0.902599376760529	0.868968322732854	0.752717683693523	0.835614834152023	0.888188595850336	0.846592538271178	0.772967010793793	0.851398101962672	0.730499584540168	0.889734140626892	0.874926704965857	0.914365537063262	0.915258561238335	0.572821400795232	0.104589212612768	0.195639462605913	0.808590726976815	0.876447085860839	0.849713148387375	0.867935673161528	0.896981424212963	0.843757007057172	0.881749220407446	0.719409724562282	0.834498374134928	0.747430711121774	0.891835024954091	0.878049094302811	0.879150902440791	0.575234371114894	0.597075551320845	0.816475589219789	0.592729131944066	0.791080783401643	0.87699996265593	0.791881718772509	0.855702769011426	0.512782683043754	0.750341962431258	0.864224715348424	0.493325396843044	0.812440333694761	0.68683860778736	0.615681210281229	0.645927103461673	0.767051128563683	0.507860374016272	0.583443420711842	0.374110080714825	0.866518219746863	0.648050438185376	0.81696729081897	0.892557151666515	0.491194973732758	0.899560573544676	0.812852929149946	0.874466013908114	0.803612384004449	0.817613470711507	0.551666120623634	0.851725103132232	0.760164404133763	0.735486702505242	0.853254804878032	0.845149627653118	0.871540915917988	0.841500137649877	0.768921913067405	0.826729707545251	0.75571865435736	0.915780651611859	0.846804475404188
CD33	0.930282228810966	0.705256960718275	0.937329796204614	0.756069922911419	0.732710647419647	0.767380047032416	0.222795058214667	0.891014157130846	0.895265698290047	1	0.839276846551209	0.919538548861095	0.769527653851928	0.0676360793995284	0.756168129446959	0.612620635364321	0.852262915053072	0.913303730483261	0.880859979014885	0.921299870844174	0.644992044296561	0.914848317500762	0.664814604286347	0.945369841937086	0.944869450636929	0.872076885614129	0.866891752594991	0.826680595945516	0.843036405952644	0.86157595498571	0.0569699831847701	0.932643881604946	0.783902866053815	0.408219142878886	0.803185017436273	0.9282474243796	0.831271201416219	0.885127334486715	0.463206639572338	0.911884697897564	0.815460074491483	0.928503700455509	0.51376827998929	0.905694243951151	0.833647764085941	0.888547631823121	0.4457816247628	0.774018013675902	0.718627558205529	0.744943377694958	0.820866110124267	0.82349504896141	0.841245031528889	0.686635144227535	0.2628702159619	0.748031615502694	-0.0243460438853453	0.849606501888795	0.899793744371679	0.849293388220997	0.719877482727481	0.699810628819684	0.890020705714137	0.699330017001185	0.736237583531215	0.766430103213276	0.651151511636394	0.832212327507297	0.920426855839217	0.849758613591536	0.838367985135373	0.42011285439533	0.257273206580901	0.25649253745158	0.828167064319034	0.755953364189422	0.73627045284027	0.740403559027709	0.906726656077497	0.759456915548206	0.85682225911419	0.761366332341352	0.840961988088982	0.65737564159667	0.902551691089503	0.82511932041762	0.806740256186878	0.478760018775714	0.471162986391681	0.70767375718578	0.674085040297729	0.808441890109379	0.833124109879184	0.851916868429997	0.939617926110023	0.55998685310836	0.592650858294115	0.855385182627801	0.354017777468854	0.873889580438045	0.780625738603755	0.670565747452529	0.665423641933484	0.779291961504647	0.439554148101163	0.4806777868155	0.348165036216547	0.875780502085003	0.531942371551046	0.906167725976027	0.85684014459418	0.299400822328435	0.878613676412268	0.785565415462267	0.768697962956972	0.737483713487296	0.695008301801694	0.46729920060581	0.816373528036518	0.729263342138848	0.640430552648533	0.81581767759786	0.884545487085237	0.766043731756701	0.911411406026348	0.82332380087705	0.721945081816109	0.634277313010938	0.849358278462747	0.852710853888912
