""	CXCR4	NCL	CD2	RPSA	CD44	CD69	PTGER2	LAG3	CLEC2D	CD3D	GPR171	LRP10	SLC16A7	APLP2	CD46	TIGIT	ITGA1	CXCR3	PILRB	SORL1	ITGB1	ITGA4	LAMP1	IL2RG	CD47	TNFRSF14	PTPRA	CD96	CD74	ENG	JAML	CD3G	ADCY7	S1PR4	TSPAN14	TRADD	PTPRC	NRP1	PILRA	RACK1	ACTR2	KLRB1	MCFD2	ABCA1	TFRC	CCR5	F2R	ITGB2	SPN	CD6	STX4	IFITM1	SLC16A1	VSIR	LY96	KLRC1	CD247	PECAM1	KLRD1	C5AR1	CD8A	CD8B	CSF3R	PLAUR	CSF2RA	CCR1	JMJD6	KLRK1	TNFRSF1B	CADM1	CD63	PTGER4	GPNMB	HAVCR2	CD81	TREM1	CD163	SMAP1	SIGIRR	ITGAX	ATP5F1B	PLXDC2	TREM2	C3AR1	TNFRSF1A	HLA.DPB1	C1QBP	SLC1A5	CD4	CANX	CD68
CXCR4	1	0.466132813807734	0.901012985651978	0.573536386702218	0.260639581025067	0.892803313980994	0.746998144975116	0.851338627331036	0.764794507247786	0.882225044082262	0.802933553055224	0.0696646286761234	0.789016545886588	-0.342966319561535	0.0104889088721587	0.803083867976704	0.805345209318134	0.899230731447856	0.859429441671884	-0.0146439964774464	0.187139789672275	-0.0673363927362555	0.00938088753376205	0.922026446559149	0.773364834308948	0.43315054294355	0.824976022344675	0.876128598712663	-0.143928973440398	-0.18255293791702	0.791960088488822	0.892801629622556	0.00172879971848577	0.807286143243225	0.656451048241062	0.474949816953518	0.945090017675644	-0.4401832624146	-0.364351821289715	0.215814621811062	0.141502125259872	0.565115903660886	-0.0508607716935756	-0.600641955804453	0.0692469116702744	0.894329835750575	0.905555453072284	-0.0712951667287206	0.884234710632353	0.920043985474903	0.0500190421086598	0.903609847891698	0.62151450492092	0.0229939826029551	-0.466629059998443	0.552483614138338	0.815798019965907	0.00772375597458597	0.452916166685655	-0.382611990383958	0.865239481515241	0.849912035158616	-0.303500912452417	-0.347305778658345	-0.253552238095076	-0.237754955982338	0.797765581922622	0.844912594129753	0.237045590821943	-0.413210257926012	-0.213173231258373	0.697180780461512	-0.52060906437497	-0.173728823270066	-0.306837000625227	-0.451784336802942	-0.454011566414207	-0.0483703924187961	0.829744316942565	-0.508032661670896	0.5287055310281	-0.328445611751554	-0.161147204515636	-0.354699509545745	-0.0954929632924795	-0.0930243011906218	0.472680915260413	0.730574719295497	-0.239021538519622	-0.238591249597787	-0.384644817900244
NCL	0.466132813807734	1	0.209629633316907	0.905870392483876	0.634999443027632	0.357099369431841	0.129412572923209	0.181461004295906	0.293816241714669	0.198588594321899	0.193357429882841	0.797667785605794	0.246573810471767	0.4968425357732	0.590427006754697	0.184910041912089	0.176106088599886	0.211753906270784	0.43802240942758	0.71181235997284	0.844648651286814	0.79059363256723	0.651350440100159	0.288358996529154	0.847069321170968	0.587300229562988	0.768364307571191	0.195552397715986	0.703578546423231	0.662817598941969	0.456224825955965	0.181227757877687	0.777735827574964	0.228803540915651	0.688506731213745	0.534509842117822	0.603187309679444	0.36239407389408	0.257715539731484	0.83369445050371	0.861877009073059	0.0690313803644725	0.455917221906649	-0.0585973700800971	0.582832787968934	0.459127826497742	0.216801721259194	0.711625938641789	0.302663313865927	0.25859607519756	0.693814475004094	0.211408790667271	0.754939311172023	0.796825954753051	0.253437770760754	0.0701662557706887	0.148250466972529	0.645781637545023	-0.0971415107297822	0.248282299640117	0.179540824680962	0.168299053260234	0.50564493451392	0.480132588344976	0.589099259142138	0.429207723116447	0.715559266559565	0.172123935155274	0.742504112330762	0.342900793224694	0.583016540209776	0.815774554003317	-0.0484449653541562	0.633354504783381	0.551349450591856	0.297993137440164	0.398259233596904	0.542488987458116	0.689673088994098	0.167951614156789	0.940304580206906	0.547009668417137	0.697110236916961	0.480836050830606	0.64873257900922	0.715576730861527	0.932937648823936	0.773165037125886	0.590248801408052	0.563352881705567	0.316906016480125
CD2	0.901012985651978	0.209629633316907	1	0.325160092127406	-0.116518197740733	0.94955908829771	0.904989560168232	0.946200649274662	0.797452773086221	0.995731751876196	0.90131745197982	-0.148009138479409	0.931396563620165	-0.645908431305441	-0.260309735643543	0.936785107384624	0.946683069720686	0.985920472568515	0.852011412774588	-0.357259977726967	-0.14092061795003	-0.313534210817981	-0.292066368106619	0.987387573048726	0.605184543164186	0.19722648437856	0.609847795444042	0.984296939131933	-0.460049865951501	-0.459192406900828	0.691648580555514	0.989923842256951	-0.264491321450918	0.873874030113544	0.461995116194384	0.325822217001539	0.883220282404708	-0.704459449327668	-0.678219066450921	-0.12504286859122	-0.160721421457224	0.72925588015154	-0.360596200091958	-0.814912710230305	-0.224517750110762	0.892728899327101	0.941724367894735	-0.409520092596965	0.967931542738584	0.985865837791906	-0.278326311956039	0.992472217833179	0.399143211294553	-0.328829622684003	-0.755258563111188	0.745028568071798	0.957367847447807	-0.299418469959716	0.633799932386972	-0.700086056918802	0.978948673248654	0.969305567996063	-0.61608915215591	-0.658931768371423	-0.576579307168982	-0.539847005970067	0.551528834195984	0.962429696768227	-0.133039704628312	-0.726773944382681	-0.543326765723853	0.460469178088082	-0.758160429779379	-0.509448890076943	-0.561287446926289	-0.728991584778905	-0.70563853832233	-0.422534967426194	0.60722743501284	-0.759358043087951	0.273781197217348	-0.632201142803703	-0.443430502647206	-0.647552419391621	-0.454856534185488	-0.435017584013385	0.233906795959499	0.525363939282438	-0.528347259727912	-0.586610162837129	-0.687846529886587
RPSA	0.573536386702218	0.905870392483876	0.325160092127406	1	0.676667640283617	0.476403804588453	0.304147059189928	0.258758135043829	0.478568357638214	0.316229222081503	0.382599638112068	0.646104507727485	0.369825152316582	0.335454437175206	0.501947912455817	0.256063933423197	0.280297316679348	0.311053033085388	0.565996755844857	0.527132575489965	0.681850476848295	0.609429304264817	0.580004827737328	0.416701078089393	0.838818255898376	0.731554445151023	0.762230332718058	0.330129585296309	0.51302229150095	0.437694913352383	0.558715670909875	0.320574741082351	0.601719736531286	0.406374369809619	0.667563470090253	0.659691964655657	0.655944337660047	0.144794519021279	0.174381250190965	0.869360830919618	0.710686011471323	0.286523544829438	0.386461687027283	-0.14961937737111	0.416884691586675	0.493279602009748	0.320003146794335	0.584533423641898	0.401729628917479	0.366331005056192	0.55448702051468	0.330424084588412	0.745838796288359	0.707490569613047	0.173017370553002	0.190451095832431	0.305534971697426	0.446527952786672	0.0657292378484056	0.131898683041233	0.270915871103882	0.244710730487307	0.299138680812951	0.328277527032844	0.410968913441274	0.237540518708713	0.823037101359692	0.326650085565985	0.617174188663089	0.214613992883394	0.468480807008409	0.769022893078421	-0.0722432170085239	0.457078192053059	0.333041692770325	0.186788482671556	0.172495486976116	0.534566081173076	0.763312146036861	-0.0171127411000745	0.889767587156715	0.336000750642061	0.502513664936281	0.295590384102547	0.491853182013059	0.548477918632016	0.909518583316397	0.774983172298102	0.405288854857864	0.436773345558371	0.238514729825264
CD44	0.260639581025067	0.634999443027632	-0.116518197740733	0.676667640283617	1	-0.0459159484033321	-0.241189431215591	-0.116506336979249	-0.0169277806287077	-0.135711383390107	-0.16494773031406	0.622760928071938	-0.13854352139534	0.667216813513315	0.77071880169636	-0.175511323119833	-0.200969887355763	-0.0758531628183552	0.153346090615007	0.685966436266874	0.756480996885324	0.509917437579874	0.784129499076493	-0.0502438418254858	0.460517727492568	0.6563183021635	0.564242158440774	-0.140865456319968	0.649347212717349	0.563542286835422	0.328520142455412	-0.121460589247343	0.569381812000963	-0.147380042260088	0.47720985583151	0.408893701892783	0.228639831959006	0.533853853135207	0.722824184774888	0.865485823337524	0.691071059873054	-0.279640279476474	0.715369897150653	0.467028651332965	0.617888805513978	0.0847090884188396	-0.066174434607845	0.789146918503277	-0.057884393184314	-0.0690475687680248	0.727057714298858	-0.105178866172459	0.440891102504482	0.800326181947035	0.68418170876225	-0.273306728157195	-0.20998535625596	0.675725910334322	-0.343693640765652	0.695619716487158	-0.10682543824125	-0.124805820474612	0.626138320664858	0.684473846726085	0.676908480029728	0.672559581030572	0.641294234128257	-0.156518528998664	0.814124204800936	0.666264759040278	0.770809543697669	0.539878160156302	0.562016874144146	0.725018122979683	0.529399831196113	0.613177040164887	0.4840029149377	0.859291293081027	0.557707836800758	0.498098722826979	0.645223152144681	0.60822590878192	0.591043603922209	0.630330078694878	0.796485496883241	0.725425453572201	0.597022444526956	0.586974038056609	0.596527054825356	0.776253964119426	0.723677818051385
CD69	0.892803313980994	0.357099369431841	0.94955908829771	0.476403804588453	-0.0459159484033321	1	0.916797065637563	0.868681715070051	0.885278456903797	0.955260538875661	0.931842478401385	0.0127880239312329	0.915156373159826	-0.551060679835658	-0.185931011234509	0.889027509374741	0.92955054514369	0.92019169574721	0.883246733161489	-0.232387355272869	-0.0178384849949456	-0.141272784738612	-0.202412296378172	0.9564514014606	0.682551685624887	0.332722023897987	0.645732899443028	0.936488857125062	-0.309551780290671	-0.346031730805225	0.655663140711664	0.955271805318194	-0.0942973327903932	0.920239004333393	0.535896762638406	0.460236231933529	0.910986131121856	-0.629858715799382	-0.628644526487972	0.0403942474519641	-0.0307111774399218	0.790272942571661	-0.305525152318055	-0.824565004845902	-0.133988298477417	0.898145988212852	0.886330999583592	-0.307495912605011	0.956482417239717	0.938670925506901	-0.13036312437475	0.948779080508172	0.562236352299499	-0.170348085239257	-0.701567395786331	0.73677910526231	0.940565049438534	-0.217722546814048	0.649459995453004	-0.64715852174278	0.908808640632608	0.899647506813127	-0.49882546131746	-0.568872300535286	-0.445200083612702	-0.505665192178954	0.618931131147005	0.937218318122165	-0.0500129238555901	-0.659572056280229	-0.459620987136026	0.588233045936427	-0.774281997447978	-0.404574867870092	-0.45996752740105	-0.672952577902604	-0.609471283003699	-0.3418713188447	0.672808272270383	-0.697437697551712	0.368564918724113	-0.515416912585991	-0.300495159799021	-0.569234930167913	-0.360837595651498	-0.285195246044111	0.351356094853303	0.545329057425329	-0.41628786084993	-0.487765628540565	-0.631574865207072
PTGER2	0.746998144975116	0.129412572923209	0.904989560168232	0.304147059189928	-0.241189431215591	0.916797065637563	1	0.83407279071269	0.833893708718156	0.925110304520366	0.932869854978181	-0.164668311046331	0.921160041275987	-0.737434353995602	-0.323012260100169	0.902906006434657	0.945232496887754	0.84421619258507	0.823549023978535	-0.484296947036709	-0.27252413578663	-0.321744876739529	-0.405838274378464	0.908779902799487	0.496140454661825	0.16494393842612	0.412612394780125	0.932479440783414	-0.536337493390177	-0.574738611656304	0.466616527858266	0.910468040470053	-0.326405072142459	0.894612182375756	0.26859606152988	0.406587012082838	0.782273001779795	-0.810798305950591	-0.748757090125497	-0.142211974842736	-0.301894459583194	0.933004438900848	-0.531688160883705	-0.884249785885311	-0.388294461577376	0.73384199364143	0.796603041958198	-0.531847908384419	0.885682526908775	0.866900713059686	-0.368966021024694	0.881747293030655	0.349037623486666	-0.375746105245213	-0.815256511123695	0.895885079774635	0.980955969488737	-0.428037075279068	0.836251187653493	-0.783501656716889	0.862865491844901	0.860876379176453	-0.70516920272591	-0.746223956548821	-0.651195976506352	-0.709681844387742	0.432996601471347	0.960154829714326	-0.343498873078443	-0.80516658465298	-0.649581939655618	0.334849446994375	-0.819299633084685	-0.590105416630185	-0.663440172020069	-0.813300613067122	-0.78445859722478	-0.493257712687849	0.493926528288262	-0.830379211065112	0.120539943773966	-0.714190689387048	-0.525161845569647	-0.760414280167593	-0.586604529210901	-0.513688308735195	0.128009542115568	0.335576770454526	-0.639111201318348	-0.682218000901531	-0.76365166430716
LAG3	0.851338627331036	0.181461004295906	0.946200649274662	0.258758135043829	-0.116506336979249	0.868681715070051	0.83407279071269	1	0.653800095725301	0.943220529144155	0.774580079159883	-0.133846541742342	0.878566622967031	-0.613960546023123	-0.258712816993518	0.928124410604014	0.879819121267376	0.943592627797371	0.785071045188092	-0.347111027686319	-0.125304662600637	-0.285374641141219	-0.281956328049203	0.933683434137372	0.580140308750293	0.0590210898517511	0.617672108442121	0.945266417408161	-0.426615222848774	-0.430150191597257	0.635580863219153	0.92983844192759	-0.247442214221766	0.730414478957381	0.382767459129522	0.226397550987307	0.847538000862301	-0.65365908910586	-0.647152929634703	-0.166232755818059	-0.171852511539833	0.619350534845761	-0.369130707845859	-0.770329643116496	-0.211246411411546	0.832232434751506	0.894409153131039	-0.372864943764781	0.911916512705402	0.93575452616579	-0.300547235248499	0.944026230789091	0.28057489286879	-0.322137382831568	-0.706711764760402	0.74153189471567	0.901212875130107	-0.232079596201803	0.633053165293577	-0.666954558292949	0.955512932514414	0.960055532700256	-0.573442695983295	-0.620606172931159	-0.540467576644225	-0.487909333959382	0.485565014870606	0.912538771611765	-0.144692975504881	-0.687600813456297	-0.504723737369002	0.445768702769177	-0.711594161101013	-0.444833647764426	-0.527102005758323	-0.681597103346384	-0.669158043303283	-0.418541920665866	0.551428918954233	-0.724947912179671	0.255276728438297	-0.594782701413997	-0.408801109068073	-0.601826842362051	-0.422792090573563	-0.399760552460449	0.225511245734422	0.526172658209022	-0.500774330626004	-0.556559687069996	-0.64389437938273
CLEC2D	0.764794507247786	0.293816241714669	0.797452773086221	0.478568357638214	-0.0169277806287077	0.885278456903797	0.833893708718156	0.653800095725301	1	0.80720228136228	0.935754290282098	-0.0121489939503798	0.75348010095791	-0.478993154821867	-0.112283527648954	0.691358616830444	0.776590984895701	0.75075763435423	0.847734567539257	-0.208055247641053	-0.0627086541003875	-0.149078339385684	-0.207600012122024	0.826650994837011	0.563319174570728	0.498636609737918	0.508590436708467	0.797151440625241	-0.302367976313249	-0.345974004510983	0.592023071341873	0.834813610100753	-0.0931748126030355	0.935002761060223	0.492125968335811	0.583387076313942	0.757453599686639	-0.56694671212367	-0.523444615160322	0.108913749902606	-0.0495789195839616	0.813241492077275	-0.211574463953804	-0.685380011302472	-0.117586825613167	0.78177691440655	0.782260116351727	-0.28337334527752	0.826270187805034	0.798860631384477	-0.110949648253233	0.80604889796925	0.625279762736203	-0.148945099557114	-0.583114116481822	0.574499500410974	0.829522096110186	-0.268175759376785	0.603504181590953	-0.557162815464445	0.713775991445353	0.693061439325286	-0.446473731171746	-0.516723541283181	-0.401945190759989	-0.465831583299386	0.59846457669413	0.814305663646506	-0.0230762184492604	-0.589382037915883	-0.42388817111866	0.504668598124343	-0.653889094237349	-0.410405998545707	-0.436925132624026	-0.617385524364747	-0.535595083373309	-0.285373746120476	0.635575068040543	-0.595434959083581	0.29901256334826	-0.467622888970815	-0.29345470443187	-0.501780962304466	-0.357209244788365	-0.283663663518266	0.310937638386067	0.397145339068597	-0.377360235604731	-0.409161467213974	-0.546731077709889
CD3D	0.882225044082262	0.198588594321899	0.995731751876196	0.316229222081503	-0.135711383390107	0.955260538875661	0.925110304520366	0.943220529144155	0.80720228136228	1	0.90586759582985	-0.134659640147137	0.93736148908591	-0.663324723677139	-0.2731230181829	0.953363212522245	0.956651048479648	0.980000092879312	0.853816913561724	-0.376042904887225	-0.15757171965673	-0.307756955642299	-0.312720823396833	0.981216603884261	0.592607672016688	0.188139850315062	0.590410273071603	0.980963585491592	-0.469333568816699	-0.477178174001157	0.650499290653554	0.988994116614988	-0.266843165998531	0.877447619988686	0.433750838418436	0.333798636556494	0.880314652740391	-0.722735451328532	-0.693991851728199	-0.133123007311737	-0.181080700127468	0.757086270465433	-0.398878342472046	-0.835105962278526	-0.244141363969603	0.885272626340251	0.924507082129394	-0.43032663034791	0.971476013966803	0.974676299368792	-0.283652018453468	0.987333179850879	0.388011172971276	-0.337944124312581	-0.772631621920701	0.771738453820421	0.967421703982504	-0.307489816682616	0.681964179630949	-0.713779239037101	0.980712398431564	0.975281471428217	-0.628731663654262	-0.674188437189332	-0.587635099778965	-0.567184756735273	0.525967128233838	0.967436219947865	-0.167134213100797	-0.745830636566966	-0.565502829924989	0.458543711647538	-0.778247045710388	-0.523906152867638	-0.576294613193657	-0.746338592304308	-0.719234552382877	-0.44298669032929	0.595680601389038	-0.771156273201316	0.246437590189116	-0.647000741496964	-0.452484580908995	-0.668737137897688	-0.474258435736033	-0.443131878742563	0.213655911118978	0.500539318404968	-0.547647399536442	-0.608761792168967	-0.704603219896056
