""	CD3G	CD3D	CD2	KLRB1	KLRK1	CD44	ADGRE5	CD69	TNFRSF14	CXCR4	ITGA4	APLP2	PILRA	IFITM1	S1PR4	PTGER4	ITGB1	PTPRC	CD47	HAVCR2	CD4	ITGB2	AXL	CD46	SLC1A5	CD74	TREM2	ITGAX	TNFRSF1B	SORL1
CD3G	1	0.958725036453032	0.846812581920695	0.789157908482705	0.762375779763534	0.916395332090584	0.820551971829666	0.940695091264394	0.937336314104019	0.273744593042822	0.885010855969276	0.0626421576415802	0.00357565542746978	0.939572905944727	0.807286104997717	0.928375640358904	0.0628583657409225	0.511688731609015	0.806723273566698	-0.539919557493318	-0.0848266457032807	0.304262214382475	0.0547444065592759	0.33867281943728	0.286309034012215	-0.112825513590035	0.0421175542718727	-0.564176324946152	-0.505216496407781	-0.236786217792569
CD3D	0.958725036453032	1	0.944564421371143	0.908797502698309	0.866080781768402	0.926493787060884	0.753906464985138	0.954192340124163	0.896331557349501	0.13607454506861	0.944639034319371	-0.0808646439004203	-0.0533828472592033	0.987468762222352	0.912702037022954	0.954870072769433	-0.0746403613994137	0.452834479453426	0.739845627335555	-0.663052726259526	-0.228741336769136	0.190936325977025	-0.136139309484864	0.296905547706411	0.147542079855602	-0.268824518309815	-0.125025371969162	-0.652906037329883	-0.651813040793595	-0.385033662950863
CD2	0.846812581920695	0.944564421371143	1	0.913846081596443	0.828221653736415	0.834886983001384	0.618336468828902	0.884374887190831	0.832339780236649	0.0366443952995029	0.933594024240698	-0.133026771714703	-0.0711007715510641	0.920101052970474	0.887216133445578	0.878753432080221	-0.148454672176991	0.442934466369077	0.608109347009693	-0.768004293677525	-0.36079669148216	0.09571325614196	-0.187710243924211	0.223458548748453	0.101748064197823	-0.338218128998052	-0.231724593873772	-0.69416082480657	-0.702682461932438	-0.429611144735628
KLRB1	0.789157908482705	0.908797502698309	0.913846081596443	1	0.896063728115747	0.835947594898695	0.477295080414716	0.824349068529278	0.690010345550077	-0.103918546916769	0.930305022289119	-0.332495418917424	-0.0185384501858491	0.936574281144004	0.980235973061733	0.850148308678124	-0.209832349710395	0.211122349135838	0.600633587726766	-0.735036157353349	-0.411578567342595	0.0517316880599292	-0.387306688884307	0.244533933942106	-0.032107016114144	-0.419388134924245	-0.302377708922719	-0.738506140115784	-0.731229178141661	-0.527299346772453
KLRK1	0.762375779763534	0.866080781768402	0.828221653736415	0.896063728115747	1	0.91382230763464	0.610376178221475	0.877129334158302	0.632418899530421	0.165768100930362	0.799824762097266	-0.0753187916385311	0.080607587801939	0.893721900162112	0.935662322146927	0.901087527803573	-0.00555119317169227	0.452603082646143	0.666788630450213	-0.489274248411218	-0.0566690236800907	0.245721611680693	-0.265831359045017	0.476054073459691	0.0609198529889583	-0.218673903021433	-0.0857067735064327	-0.427516254994023	-0.574466935777012	-0.324090314528014
CD44	0.916395332090584	0.926493787060884	0.834886983001384	0.835947594898695	0.91382230763464	1	0.76615429056712	0.952462247073311	0.830788538768029	0.333733187964169	0.87010246422453	0.120128435442984	0.174798373713842	0.938775229113999	0.891229321242339	0.935182895449419	0.172664959248745	0.574501540797589	0.84747212453604	-0.437235402733237	0.063702534279315	0.423149847147833	-0.00158665876046304	0.572839307500741	0.278105731784053	-0.0285965211318784	0.125492701338863	-0.459434170621682	-0.468866888768695	-0.158215321543724
ADGRE5	0.820551971829666	0.753906464985138	0.618336468828902	0.477295080414716	0.610376178221475	0.76615429056712	1	0.795890677096551	0.78083125718596	0.468771147827962	0.614727600974361	0.204861462746716	-0.164230632613588	0.711748900262081	0.519687860117549	0.799634477468194	0.163699223456331	0.663290592791604	0.58046095616055	-0.324992391364436	0.193454165067324	0.293349109245195	0.182599729959576	0.23757840330019	0.228127197854407	-0.00378021286308166	0.146673531266704	-0.252316359563167	-0.336456820600146	-0.069621073763201
CD69	0.940695091264394	0.954192340124163	0.884374887190831	0.824349068529278	0.877129334158302	0.952462247073311	0.795890677096551	1	0.851679564319328	0.376815746202213	0.867035545631759	0.154945749377941	0.132646865583904	0.947920129597682	0.86449941755248	0.973434042192912	0.149154510709226	0.625519065791837	0.837883710580478	-0.485821901835263	0.0278529464755984	0.403111344836772	0.0602865214115836	0.457388572702721	0.337734883795868	-0.043160805824103	0.10123951470705	-0.462986598354825	-0.45220057905903	-0.168623004689771
TNFRSF14	0.937336314104019	0.896331557349501	0.832339780236649	0.690010345550077	0.632418899530421	0.830788538768029	0.78083125718596	0.851679564319328	1	0.198744102835924	0.839704731505138	0.110275299594678	-0.0535298582684295	0.8432306261829	0.695149504247141	0.798705213219631	0.0100484740684069	0.535925353972914	0.738006943449139	-0.531148361920666	-0.154768010907583	0.222300752279075	0.0858710357547809	0.336164068257113	0.254767851939372	-0.130051357598588	-0.00698917731795268	-0.568240060485889	-0.505938621296466	-0.236402658707594
CXCR4	0.273744593042822	0.13607454506861	0.0366443952995029	-0.103918546916769	0.165768100930362	0.333733187964169	0.468771147827962	0.376815746202213	0.198744102835924	1	0.0441958746642463	0.824718435338949	0.59158754661937	0.123189006607468	0.00563844948580193	0.341554222132285	0.869357386715858	0.808124914484013	0.492279630445233	0.37436266094732	0.853926988129292	0.871620831890712	0.845348233264812	0.569059034938076	0.747910999268432	0.819997972957647	0.873583430333212	0.49448217281039	0.552309159628386	0.795044106178132
ITGA4	0.885010855969276	0.944639034319371	0.933594024240698	0.930305022289119	0.799824762097266	0.87010246422453	0.614727600974361	0.867035545631759	0.839704731505138	0.0441958746642463	1	-0.183270603276917	0.0352941278428143	0.950786846526308	0.905122789270439	0.86138535316677	-0.0352493374246048	0.321598483171989	0.703243493117475	-0.695239918363312	-0.343829516390028	0.19655032992887	-0.140871183745907	0.256796224675188	0.181505147794424	-0.255607228079005	-0.128828567354987	-0.760918802557385	-0.61933490513603	-0.377154621214852
