""	CD3G	CD3D	CD2	KLRB1	KLRK1	CD44	ADGRE5	CD69	TNFRSF14	CXCR4	ITGA4	APLP2	PILRA	IFITM1	S1PR4	PTGER4	ITGB1	PTPRC	CD47	HAVCR2	CD4	ITGB2	AXL	CD46	SLC1A5	CD74	TREM2	ITGAX	TNFRSF1B	SORL1
APLP2	0.0626421576415802	-0.0808646439004203	-0.133026771714703	-0.332495418917424	-0.0753187916385311	0.120128435442984	0.204861462746716	0.154945749377941	0.110275299594678	0.824718435338949	-0.183270603276917	1	0.634404183972267	-0.120289661591058	-0.216872827921474	0.0525479107900718	0.770483058698568	0.696203279868888	0.421530558113373	0.570900620894842	0.828828357526487	0.785391750742018	0.845474608710261	0.645062827011096	0.75128687110315	0.86083671420821	0.855435646569108	0.611015089725452	0.628647809211742	0.842249050371389
PILRA	0.00357565542746978	-0.0533828472592033	-0.0711007715510641	-0.0185384501858491	0.080607587801939	0.174798373713842	-0.164230632613588	0.132646865583904	-0.0535298582684295	0.59158754661937	0.0352941278428143	0.634404183972267	1	0.0108463722200884	0.0752030006240257	0.0452616297764325	0.817869781728925	0.351754817420801	0.513749303338042	0.455358097523127	0.588913929496566	0.857955551508073	0.622040764839448	0.727228575842446	0.754952777609456	0.816102013882772	0.800410965313832	0.335813724554696	0.615809221692277	0.74242933335008
IFITM1	0.939572905944727	0.987468762222352	0.920101052970474	0.936574281144004	0.893721900162112	0.938775229113999	0.711748900262081	0.947920129597682	0.8432306261829	0.123189006607468	0.950786846526308	-0.120289661591058	0.0108463722200884	1	0.94940146639073	0.951896859457251	-0.0497908319355926	0.395040803101318	0.763417408603653	-0.635413323898477	-0.214382264951689	0.218708383691374	-0.169383802820521	0.323254225232044	0.148745674535377	-0.255426738264539	-0.108419887146343	-0.669147446062909	-0.633334440974267	-0.382822799011415
S1PR4	0.807286104997717	0.912702037022954	0.887216133445578	0.980235973061733	0.935662322146927	0.891229321242339	0.519687860117549	0.86449941755248	0.695149504247141	0.00563844948580193	0.905122789270439	-0.216872827921474	0.0752030006240257	0.94940146639073	1	0.880983417625601	-0.12169866826224	0.300985967839133	0.679532749491222	-0.645766774314671	-0.26808450331813	0.157148036581467	-0.32496206105814	0.382751745354543	0.0147409517836202	-0.321217658153327	-0.196641009946134	-0.659749055185523	-0.67260622950055	-0.435204251165308
PTGER4	0.928375640358904	0.954870072769433	0.878753432080221	0.850148308678124	0.901087527803573	0.935182895449419	0.799634477468194	0.973434042192912	0.798705213219631	0.341554222132285	0.86138535316677	0.0525479107900718	0.0452616297764325	0.951896859457251	0.880983417625601	1	0.0861997826370321	0.583568852640387	0.747004896880212	-0.55162653926885	-0.00845031580217513	0.339690317666877	-0.0129624780195694	0.363155553888974	0.239247941210283	-0.114629875243148	0.0365929032260868	-0.464757258411534	-0.51949648975934	-0.218207898294085
ITGB1	0.0628583657409225	-0.0746403613994137	-0.148454672176991	-0.209832349710395	-0.00555119317169227	0.172664959248745	0.163699223456331	0.149154510709226	0.0100484740684069	0.869357386715858	-0.0352493374246048	0.770483058698568	0.817869781728925	-0.0497908319355926	-0.12169866826224	0.0861997826370321	1	0.564630891545613	0.449926073199126	0.546920147135904	0.810037834931724	0.93488439837891	0.868422968200578	0.601137369877085	0.856581469422318	0.948673528888592	0.968327776921099	0.522175302414826	0.754901959103029	0.900765139467113
PTPRC	0.511688731609015	0.452834479453426	0.442934466369077	0.211122349135838	0.452603082646143	0.574501540797589	0.663290592791604	0.625519065791837	0.535925353972914	0.808124914484013	0.321598483171989	0.696203279868888	0.351754817420801	0.395040803101318	0.300985967839133	0.583568852640387	0.564630891545613	1	0.538405420278381	-0.0224521767683951	0.571127665118775	0.646115579236642	0.587554793910595	0.612048822623338	0.531113488911026	0.47884439199674	0.542136829147571	0.231491738532514	0.104293480293187	0.462448526043939
CD47	0.806723273566698	0.739845627335555	0.608109347009693	0.600633587726766	0.666788630450213	0.84747212453604	0.58046095616055	0.837883710580478	0.738006943449139	0.492279630445233	0.703243493117475	0.421530558113373	0.513749303338042	0.763417408603653	0.679532749491222	0.747004896880212	0.449926073199126	0.538405420278381	1	-0.0746165600704425	0.266935168384463	0.681185975926318	0.318988990758167	0.709300588461255	0.628404313166607	0.324303503673127	0.446169236789919	-0.270222937580285	-0.0783838678779798	0.159383651708458
HAVCR2	-0.539919557493318	-0.663052726259526	-0.768004293677525	-0.735036157353349	-0.489274248411218	-0.437235402733237	-0.324992391364436	-0.485821901835263	-0.531148361920666	0.37436266094732	-0.695239918363312	0.570900620894842	0.455358097523127	-0.635413323898477	-0.645766774314671	-0.55162653926885	0.546920147135904	-0.0224521767683951	-0.0746165600704425	1	0.702761839850323	0.396516801738598	0.48256595687391	0.279439476452225	0.373775084563868	0.686440881173788	0.617649628696582	0.783354310158762	0.850177601809853	0.695204030662703
CD4	-0.0848266457032807	-0.228741336769136	-0.36079669148216	-0.411578567342595	-0.0566690236800907	0.063702534279315	0.193454165067324	0.0278529464755984	-0.154768010907583	0.853926988129292	-0.343829516390028	0.828828357526487	0.588913929496566	-0.214382264951689	-0.26808450331813	-0.00845031580217513	0.810037834931724	0.571127665118775	0.266935168384463	0.702761839850323	1	0.758895408776334	0.726696557284691	0.578176052847471	0.563740160100361	0.855395576090494	0.869076104124078	0.761378141598247	0.710505213927389	0.85791524259166
ITGB2	0.304262214382475	0.190936325977025	0.09571325614196	0.0517316880599292	0.245721611680693	0.423149847147833	0.293349109245195	0.403111344836772	0.222300752279075	0.871620831890712	0.19655032992887	0.785391750742018	0.857955551508073	0.218708383691374	0.157148036581467	0.339690317666877	0.93488439837891	0.646115579236642	0.681185975926318	0.396516801738598	0.758895408776334	1	0.791636083947701	0.742319788462247	0.881067930099997	0.878790884053418	0.928636178384725	0.349321941110967	0.557412946933135	0.795236878636268
AXL	0.0547444065592759	-0.136139309484864	-0.187710243924211	-0.387306688884307	-0.265831359045017	-0.00158665876046304	0.182599729959576	0.0602865214115836	0.0858710357547809	0.845348233264812	-0.140871183745907	0.845474608710261	0.622040764839448	-0.169383802820521	-0.32496206105814	-0.0129624780195694	0.868422968200578	0.587554793910595	0.318988990758167	0.48256595687391	0.726696557284691	0.791636083947701	1	0.375900809760657	0.84172115467283	0.907382855538548	0.897629971470858	0.503894675171978	0.747021209748349	0.899618423592657
CD46	0.33867281943728	0.296905547706411	0.223458548748453	0.244533933942106	0.476054073459691	0.572839307500741	0.23757840330019	0.457388572702721	0.336164068257113	0.569059034938076	0.256796224675188	0.645062827011096	0.727228575842446	0.323254225232044	0.382751745354543	0.363155553888974	0.601137369877085	0.612048822623338	0.709300588461255	0.279439476452225	0.578176052847471	0.742319788462247	0.375900809760657	1	0.503725094776536	0.558374891559666	0.61099595389284	0.23425887981908	0.217753191594529	0.468683716430148
SLC1A5	0.286309034012215	0.147542079855602	0.101748064197823	-0.032107016114144	0.0609198529889583	0.278105731784053	0.228127197854407	0.337734883795868	0.254767851939372	0.747910999268432	0.181505147794424	0.75128687110315	0.754952777609456	0.148745674535377	0.0147409517836202	0.239247941210283	0.856581469422318	0.531113488911026	0.628404313166607	0.373775084563868	0.563740160100361	0.881067930099997	0.84172115467283	0.503725094776536	1	0.820907998620875	0.847789635926043	0.239015487923518	0.581778813641025	0.722433033650149
CD74	-0.112825513590035	-0.268824518309815	-0.338218128998052	-0.419388134924245	-0.218673903021433	-0.0285965211318784	-0.00378021286308166	-0.043160805824103	-0.130051357598588	0.819997972957647	-0.255607228079005	0.86083671420821	0.816102013882772	-0.255426738264539	-0.321217658153327	-0.114629875243148	0.948673528888592	0.47884439199674	0.324303503673127	0.686440881173788	0.855395576090494	0.878790884053418	0.907382855538548	0.558374891559666	0.820907998620875	1	0.981674380578284	0.648606026591477	0.85080307010706	0.979397965691755
TREM2	0.0421175542718727	-0.125025371969162	-0.231724593873772	-0.302377708922719	-0.0857067735064327	0.125492701338863	0.146673531266704	0.10123951470705	-0.00698917731795268	0.873583430333212	-0.128828567354987	0.855435646569108	0.800410965313832	-0.108419887146343	-0.196641009946134	0.0365929032260868	0.968327776921099	0.542136829147571	0.446169236789919	0.617649628696582	0.869076104124078	0.928636178384725	0.897629971470858	0.61099595389284	0.847789635926043	0.981674380578284	1	0.58080710013788	0.774400691595911	0.939405598432489
ITGAX	-0.564176324946152	-0.652906037329883	-0.69416082480657	-0.738506140115784	-0.427516254994023	-0.459434170621682	-0.252316359563167	-0.462986598354825	-0.568240060485889	0.49448217281039	-0.760918802557385	0.611015089725452	0.335813724554696	-0.669147446062909	-0.659749055185523	-0.464757258411534	0.522175302414826	0.231491738532514	-0.270222937580285	0.783354310158762	0.761378141598247	0.349321941110967	0.503894675171978	0.23425887981908	0.239015487923518	0.648606026591477	0.58080710013788	1	0.778947308118005	0.729987052684266
TNFRSF1B	-0.505216496407781	-0.651813040793595	-0.702682461932438	-0.731229178141661	-0.574466935777012	-0.468866888768695	-0.336456820600146	-0.45220057905903	-0.505938621296466	0.552309159628386	-0.61933490513603	0.628647809211742	0.615809221692277	-0.633334440974267	-0.67260622950055	-0.51949648975934	0.754901959103029	0.104293480293187	-0.0783838678779798	0.850177601809853	0.710505213927389	0.557412946933135	0.747021209748349	0.217753191594529	0.581778813641025	0.85080307010706	0.774400691595911	0.778947308118005	1	0.868618198873955
SORL1	-0.236786217792569	-0.385033662950863	-0.429611144735628	-0.527299346772453	-0.324090314528014	-0.158215321543724	-0.069621073763201	-0.168623004689771	-0.236402658707594	0.795044106178132	-0.377154621214852	0.842249050371389	0.74242933335008	-0.382822799011415	-0.435204251165308	-0.218207898294085	0.900765139467113	0.462448526043939	0.159383651708458	0.695204030662703	0.85791524259166	0.795236878636268	0.899618423592657	0.468683716430148	0.722433033650149	0.979397965691755	0.939405598432489	0.729987052684266	0.868618198873955	1
