""	PARD3	EGFR	F2R	ITGB8	KLRC2	PLXNB1	SMAP1	CD9	THY1	KCND2	CD44	IGF2R	TNFRSF21	ITGAV	SMAD3	IL1RAPL1	FZD3	ANTXR1	ADGRV1	KCNJ10	LRP6	LRP1	NOTCH1	CANX	PTPRA	IGF1R	C1QBP	CD81	S1PR1	CD47	ADCYAP1R1	PTPRS	CELSR2	PTPRK	VANGL2	LRP5	TGFBR3	AR	SDC2	ADCY8	GPR37L1	TSHR	INSR	LRP4	RYK	EDNRB	ASGR1	CACNA1C	LRP8	CD99L2	MCFD2	LINGO1	APLP2	NOTCH2	SLC16A1	ITGB1	SEMA4C	PLXNB2	CD46	PILRB	SLC16A7	S1PR2	LPP	TFRC	ABCA1	SCARB1	SORT1	TLR4	SORL1	SIRPA
PARD3	1	0.749496188659272	0.896685665617211	0.898715109484151	0.514660254196366	0.822490582123571	0.871915988251598	0.445067219598383	0.553461274945646	0.816357722138726	0.491760728277843	0.846261184258382	0.766089112970887	0.862199721824731	0.742899621316557	0.831427235272152	0.915701334940424	0.869095766832647	0.403190040244051	0.925649976292462	0.932697625158518	0.850424842706373	0.830872492434931	0.921476019333274	0.897205961652655	0.854748767181559	0.641579197387735	0.732967649041089	0.471352507148225	0.885274229151082	0.462464262349087	0.708727607548717	0.886898234055814	0.780782446799978	0.902108780125302	0.737128478153906	0.546941109153054	0.870698777744959	0.426883421332627	0.423604031649598	0.78599487692807	0.589052725104995	0.855290778257526	0.901585374149291	0.823587547459703	0.444058640546413	0.57648290022174	0.680256738956956	0.71476079719621	0.847470520966101	0.911660961255367	0.620198456840548	0.942053495959972	0.87401990707288	0.799340519201618	0.827147457319143	0.733101503079706	0.803497955174647	0.747015963388135	0.862442455712309	0.856156703758296	0.633878984910675	0.826363824354576	0.804792487679978	0.740662108330472	0.736815550887804	0.903649901319675	0.413330161336193	0.603246076861053	0.551435116835392
EGFR	0.749496188659272	1	0.637512688580978	0.562198250648961	0.886113032953257	0.771903771008741	0.780373351975334	0.0198888375966335	0.898267876659341	0.913037419358093	-0.0818673282914223	0.916794126021486	0.909818449571531	0.490028917306321	0.961954681072445	0.844931264644132	0.626765787418963	0.859583864814882	-0.124850427243262	0.777196799832056	0.863653367440801	0.913252836224643	0.905627995175511	0.785466124717	0.635005091294305	0.941419182341185	0.841624624785048	0.641042860782032	-0.0898555045206026	0.62559862755184	-0.0140224308042745	0.94678167174964	0.66911649838062	0.950354717434515	0.829983148745271	0.897918250850517	-0.0468414447628433	0.793200338477686	-0.108657736700474	-0.173894137252316	0.757798386105018	0.871522634283356	0.900650123415294	0.860152425445087	0.940228823252664	-0.125113789077628	0.870103632355198	0.910014679891045	0.932496554720491	0.796565572450293	0.713915140249524	0.914624382187384	0.766486363996443	0.907786353329226	0.935247751938951	0.953181089183123	0.869200712233085	0.739224778396475	0.882122088345833	0.779858501737808	0.865932698142226	0.90876292104228	0.393658604487441	0.730287650701393	0.216143797205883	0.778273523419323	0.611187511056733	-0.0610640932700323	0.0409525243173802	0.0867748138450925
F2R	0.896685665617211	0.637512688580978	1	0.892672423703331	0.453891160187712	0.860488655870269	0.884610593767064	0.57295773405717	0.503712820362395	0.730196527313369	0.620442839089971	0.79794277428763	0.730021778776546	0.912297772332455	0.66100193196636	0.704265352521353	0.934355088830353	0.860364534383956	0.526573660924476	0.898436536473326	0.870024312693229	0.8166532695066	0.802530750996259	0.933885923844237	0.939948496275948	0.782625838629928	0.658664128791927	0.810740268199993	0.607532648411431	0.883786285528406	0.587107583368827	0.575865211135785	0.901295200681754	0.678855259531882	0.805741800175438	0.694044833275628	0.659073501011158	0.869544266056326	0.570714046232196	0.571091867497159	0.831907196585434	0.570820719493859	0.808926270256119	0.883153798626578	0.748217833223897	0.577928138309717	0.561548168741809	0.581053322008492	0.612603326341248	0.87178804152626	0.931593087803578	0.578544522738898	0.921924249410334	0.853267547175384	0.739349896023516	0.763337943545138	0.68715724017905	0.857585990836611	0.589816008529925	0.847539020645971	0.784043822550559	0.560501298818773	0.85231323941566	0.740165810470993	0.810149456430792	0.756488824219183	0.89858334884088	0.532840413477867	0.715416443577381	0.652247818246583
ITGB8	0.898715109484151	0.562198250648961	0.892672423703331	1	0.295085034199119	0.687064930902031	0.738655946382766	0.448779365610564	0.321969322661705	0.667493990938239	0.622667613463738	0.700314425496198	0.555006205314775	0.868577159409644	0.546000707821449	0.742540295168159	0.937285370397924	0.745161004143258	0.499824687984951	0.836078749544944	0.847580215853222	0.693114291089914	0.650544429680035	0.828701605209875	0.859246433062958	0.706947502134026	0.416998129005684	0.584430589350798	0.614681761924564	0.839925473282642	0.505746660856333	0.534153469569284	0.827568059079507	0.642909574985609	0.829894276278129	0.575879464887464	0.726552028215506	0.783362036163771	0.534393045119164	0.607906922384731	0.631637911689254	0.398465710599451	0.719257944530278	0.790879448943718	0.658182590872284	0.554716902670561	0.380997707439877	0.511613654812903	0.516718483409733	0.730598507163364	0.83139123842857	0.407197752254376	0.866144822783475	0.74057960332272	0.608138443833319	0.651574495422636	0.585112542278333	0.707680868563232	0.638478282239682	0.754819694194132	0.734266647822598	0.424409698417816	0.857713577412991	0.713158803831043	0.873490321755075	0.541924167914559	0.894881281279712	0.455658180963574	0.721456092170937	0.572883566621373
KLRC2	0.514660254196366	0.886113032953257	0.453891160187712	0.295085034199119	1	0.661885106464009	0.668450789625147	-0.0948532946954645	0.940313806714457	0.805500213138818	-0.25873529951089	0.785117437175776	0.855416448845546	0.289056445365434	0.886463452219028	0.639769843113277	0.421017559706323	0.75189762469859	-0.309961499477149	0.573200901844799	0.669691314256892	0.813890971555564	0.824791473494751	0.624458899841748	0.451452543764037	0.818608777453055	0.877589875356861	0.577607732339112	-0.293654588170772	0.409578747962409	-0.138347085187549	0.885307130032062	0.464939480989406	0.832434052568323	0.621525550209858	0.861293590412788	-0.279124987365332	0.614297933415264	-0.273934216671861	-0.365772877530088	0.699243196132343	0.863880263382209	0.791049473240694	0.668911887018124	0.833040582902234	-0.300044724644235	0.886150758207977	0.857199897998388	0.848483899234656	0.685317986739725	0.557696073702974	0.940756646929324	0.576449662216157	0.751940554484441	0.859657268636368	0.836758089950677	0.777350255046988	0.63581647429439	0.743498669178792	0.575719425601104	0.713194299997135	0.892337898374941	0.144656348080405	0.562060019560469	-0.0347077279184513	0.719179418635711	0.360290136376987	-0.211360915367139	-0.165241140236159	-0.0750884849125746
PLXNB1	0.822490582123571	0.771903771008741	0.860488655870269	0.687064930902031	0.661885106464009	1	0.944940594204519	0.509478883964779	0.745723626546752	0.803245478459754	0.422363204351013	0.87493570254301	0.897201479327321	0.795885710607128	0.817270006348213	0.682395942819698	0.814440336356616	0.924958912329032	0.341076033847551	0.891640847658696	0.850008301947579	0.914217209666001	0.929692332947672	0.940653053520479	0.891230075232758	0.845562376780123	0.86941568363554	0.932660081107986	0.3721836324748	0.829967463696452	0.488122105804835	0.69172670975823	0.875420376866092	0.763498533590509	0.77118121551884	0.803533502915871	0.372211059491564	0.893856760674168	0.407306180196354	0.3079620641332	0.939262580613383	0.746793292941895	0.8752224958567	0.891716896344478	0.847305500041649	0.383321747588475	0.756156236078827	0.693502212107926	0.750969593517444	0.917844373754567	0.913226925161587	0.780452633128226	0.887833916615409	0.911326429319104	0.869434524581126	0.874206732557483	0.826950198038883	0.917436661553438	0.605143232044816	0.894042556325412	0.803012274538479	0.744490600478423	0.703070269352046	0.695718342630431	0.567833374392369	0.923632227632649	0.79787536348856	0.411257481797523	0.512437883114924	0.561126992705113
SMAP1	0.871915988251598	0.780373351975334	0.884610593767064	0.738655946382766	0.668450789625147	0.944940594204519	1	0.572094382400618	0.721472598784651	0.868440169905522	0.468382526649624	0.886942409406927	0.903096195733498	0.856798787008366	0.827662088407844	0.727137618307457	0.859687652604374	0.948823599589697	0.392582527471982	0.929942345230731	0.8821919791827	0.937029298734999	0.938799551810115	0.971981120193893	0.933987270913214	0.864919139364552	0.852067594507222	0.935989324715922	0.430648632918981	0.883835873634993	0.55051522740694	0.705261943284446	0.914469131512972	0.769896058700435	0.805804288580607	0.817344999371212	0.414652490894261	0.861259077426821	0.450177156806748	0.344515812768028	0.955925405849262	0.6935157991013	0.894432651762518	0.907946465123952	0.844567008576633	0.443788785095054	0.731748877898787	0.727181741502757	0.761203901662626	0.940003356155015	0.952378177761923	0.779410405982727	0.945090768769258	0.903684291453561	0.879036573322034	0.866388938041682	0.819188255915412	0.896729262552299	0.654017472954785	0.863668592829069	0.854841973850761	0.72489713433251	0.766240759863269	0.717266221786779	0.629526249640778	0.921536738987272	0.828787531278652	0.478593236568554	0.567950047818479	0.613293805991479
CD9	0.445067219598383	0.0198888375966335	0.57295773405717	0.448779365610564	-0.0948532946954645	0.509478883964779	0.572094382400618	1	-0.0450974613123125	0.267748769809216	0.837362675024575	0.247049469614395	0.274064373539049	0.766126749838615	0.10384046113028	0.155116981492151	0.541142100592508	0.414933605758068	0.880550663681002	0.545921910974606	0.3160010576678	0.329541724815977	0.336888077473613	0.551850208891059	0.698514080922641	0.17626282229402	0.227237022596407	0.673012824013568	0.851236857724816	0.672836161817648	0.959709049986614	-0.0387935963536395	0.662794523695799	0.0408647411576848	0.242289230104705	0.119489437746691	0.708870320527332	0.308940497300167	0.90518681993933	0.751930463561537	0.574271171994808	-0.00519336302759898	0.275267927066212	0.384488950109986	0.132617348595755	0.925774713650137	0.00401664469108624	-0.00738378663967603	0.0797528153957201	0.458805656006399	0.588592125153169	0.0620209027308703	0.53403232732517	0.290808602572896	0.194594434423103	0.164285172945166	0.191918729663237	0.455727762161251	-0.0560038778468762	0.389896208358221	0.279856301172278	-0.0194716557795932	0.751034826897287	0.219803681457043	0.720115126010553	0.481082842692345	0.593028804050543	0.949223864223766	0.872530600020633	0.947707277583301
THY1	0.553461274945646	0.898267876659341	0.503712820362395	0.321969322661705	0.940313806714457	0.745723626546752	0.721472598784651	-0.0450974613123125	1	0.785066380879187	-0.204778233009138	0.827509211784334	0.905933825959754	0.324807347369335	0.912480946533583	0.632509873710542	0.457011344471339	0.774361540106976	-0.257965941984224	0.615142121054552	0.694130385221816	0.851502062136704	0.861587218794079	0.673824607323106	0.501671959922949	0.830512088337019	0.934694193446605	0.671670023825282	-0.237012895184181	0.458060742482909	-0.102799327186047	0.844555303714622	0.518900392152831	0.847390329672629	0.623433145599906	0.881035667523691	-0.228405459472785	0.708473461236612	-0.224001171876986	-0.304591383061628	0.743378062890185	0.885373771784194	0.81828919626479	0.729271976290138	0.86036807208046	-0.254462766423231	0.933466435307528	0.862994917217676	0.845890064055149	0.744316852615539	0.610838803324693	0.94521475314867	0.62208330139167	0.812030860686211	0.877462992140065	0.882738312516087	0.823258183767322	0.707178829804336	0.716094109458486	0.672055897374511	0.710027749067094	0.895872850409526	0.194472877557184	0.586177240770036	0.0175837309133292	0.802648814572369	0.41495499255558	-0.163813557392305	-0.105657264024315	-0.0288380298007669
KCND2	0.816357722138726	0.913037419358093	0.730196527313369	0.667493990938239	0.805500213138818	0.803245478459754	0.868440169905522	0.267748769809216	0.785066380879187	1	0.171921056910919	0.886261119017915	0.873506643044248	0.675193989971908	0.900268947767246	0.844076590137883	0.74571025415019	0.901696294394181	0.109267491612348	0.855071258068999	0.884744243850457	0.939031999106137	0.915611138178667	0.85932026820415	0.76644935642027	0.921820650651853	0.787592060800965	0.719404355438971	0.138191010861572	0.739548007401285	0.262113759623144	0.857654313404047	0.78320225229698	0.875874336111577	0.818214019610448	0.849199401258242	0.153931983151621	0.747109112773422	0.135549390846322	0.0486257554559719	0.840373279652241	0.730596147148196	0.884168338804297	0.862466813004808	0.876452280121115	0.131835707012256	0.767210840832135	0.857162296997744	0.889449430947442	0.845829612352576	0.805664312611299	0.869487928680105	0.845103403921738	0.86256692398698	0.901553406485453	0.884721122979799	0.817070634755334	0.767823228764499	0.823971105085942	0.767038112960253	0.890873861262844	0.823662508827128	0.569808661642331	0.698631381594445	0.411055538870235	0.799640233270237	0.708077431651908	0.182995088524179	0.276271816698487	0.329361208401515
