""	CD74	ENG	SORL1	ADCY7	TLR1	ITGB1	PTPRC	TLR2	VSIR	CX3CR1	KCNQ3	HAVCR2	ACTR2	PDE1B	TREM2	CD163	TNFRSF1B	TLR7	KCNQ1	ADRB2	C5AR1	SIRPA	TLR4	ITGAM	PLXNB2	TREM1	LAMP1	TNFRSF10D	CD69	CD93	APLP2	RPSA	STAB1	PLAUR	FPR1	CD33	P2RY12	NRP1	HLA.DPB1	TSPAN15	ADORA3	AXL	LRP10	GPNMB	PTPRJ	PILRA	CXCR4	CD46	TNFRSF14	CD63	PLXNA1	IL6R	CD44	SORT1	NRP2	LILRB1	RHBDF2	LILRB2	P2RY6	FAS	RYR1	PECAM1	LILRA1	TSPAN14	FLT1	STX4	MILR1	PLXNA3	ITGB5	LILRB3	NCL	ABCA1	LRP1	CD81	NCSTN	PLD2	UNC5B	CD226	ITGA6	RXRA	LILRA4	BMPR2	SMAD3	ACVR1B	FPR3	ITGA5	ITGAV	CADM1	FZD2	NOTCH2	DIP2A	RAMP1	STX3	CD47	NOTCH1	TLR6	FZD1	JMJD6	PLD1	ERAP1	CD40	PTPRA	SCARB1	MCFD2	AMFR	TFRC	TNFRSF1A	CLEC2D	APP	SDC3	CD151	RACK1	RYK	SLC16A1	ATP5F1B	TNFRSF12A	SMAP1	PILRB	CANX	EGFR	PTGER4	PTPRZ1	CD4	LPP	EDNRB
CD74	1	0.695611427910973	0.939071779281514	0.844159668338441	0.826157891875894	0.654502060109709	0.877783149028393	0.820531928972373	0.89264187407028	0.934879563256566	0.801058917052725	0.778125273282734	0.772131451379113	0.749736643684179	0.809911835621058	0.0723763231714377	0.696519221660513	0.898889400334278	0.808146691546475	0.925906454373868	0.587364223945176	0.724476035441313	0.657713881349104	0.74805208231705	0.604906636005346	0.483154443735236	0.657220566729035	0.636781064700992	0.868062965221198	-0.0361688469753043	0.544707359396762	0.751108365637166	0.816370934356968	0.396963173529693	0.794749119032913	0.840588494248876	0.866342267245876	0.599054203716663	0.950387626965147	0.715488879995457	0.935468697628844	0.903055333821671	0.798565871259119	0.219499900326852	0.787790595358725	0.872979173600454	0.581312767238133	0.544947117155601	0.475167776549115	0.504194128401617	0.626348259733389	0.788896586959891	-0.119898618834746	0.857992745255632	0.296279217394842	0.869145369040534	0.857845444501557	0.324270005350879	0.827620859041751	0.640915580750053	0.787475798234232	0.683865727071402	0.638992766775777	0.837668266426303	0.0415737342261017	0.764442819464816	0.910130230464054	0.580117367299442	0.666646451740513	0.215913640608288	0.711397222483701	0.405778761172892	0.636522712052698	0.861763030811355	0.551636405325933	0.395361852686371	0.746338675295191	0.801964384144714	0.542255906844352	0.595868765318535	0.868520131986948	0.560339779089151	0.576317589162468	0.537063080904548	0.28850790640058	0.40555782865141	0.504022424926917	0.408042911407903	0.67504121613964	0.23817546537179	0.523572402605924	0.668118426789303	0.340271827344038	0.634026513980515	0.326525922563522	0.812561607441436	0.70264608237793	0.832780782875578	0.627151529314989	0.514308664951556	0.793901030612733	0.406726620258804	0.584555590682875	0.491573455812445	0.480148604670606	0.586284568504342	0.798944648555455	0.630086270159263	-0.0559096095512098	-0.029053597787492	0.25332415082645	0.8145620691534	0.340465498695846	0.164561671646583	0.678864788799538	0.268977826037083	0.62703756159923	0.25518744710428	0.531089715141903	-0.187263819747004	0.698665817521942	-0.149378140237566	0.917283778239686	0.698159911466043	0.0325754359358075
ENG	0.695611427910973	1	0.640008972323893	0.827550179155274	0.773972501641013	0.889000226656178	0.839875819482721	0.627218769784442	0.456661190321166	0.499513273463568	0.755731527129357	0.953169599184129	0.909842709290629	0.523506900278125	0.90389150965596	0.458576596178885	0.730455213782898	0.795130030748057	0.622898416857891	0.560251479455644	0.856022578330293	0.912481137426106	0.773910141791908	0.929569007521678	0.861448656982132	0.925953060848557	0.877382803425176	0.832497909534278	0.8084295606616	-0.128300925638318	0.871159409221847	0.879762000593308	0.922028471522918	0.892343250036019	0.94706972378428	0.679414616696769	0.382759213562759	0.878724745244215	0.560762909789611	0.655434056387249	0.77289185159331	0.885883959139684	0.851683795454717	0.752697024220456	0.776406961357607	0.779858261086195	0.495262640096886	0.473980685307109	0.835992140271623	0.880266230690295	0.876556389059157	0.896337689780092	0.451268593942731	0.847757386015733	0.758547251113584	0.846118761965382	0.778769338212478	0.498583567039293	0.766229107499205	0.862551997680692	0.684951895168296	0.735022770387784	0.453826425777782	0.833471345793498	0.678183683744709	0.850213039763167	0.608469404683863	0.469259336019259	0.917811568480885	0.679619820970513	0.83535825484721	0.801296818898278	0.826181277143911	0.909047761890765	0.702006933370395	0.824212011143677	0.911044777207495	0.811099206153918	0.752221217115811	0.725726431811093	0.766126041953658	0.691735844688065	0.619613091668943	0.653992656388513	0.702217542727675	0.789026581200253	0.679851868267296	0.725368859940147	0.239573201615046	0.635747365263762	0.464455929325705	0.827692621262715	0.762736490793794	0.775864008429948	0.660292219196797	0.418694503207027	0.734746955595479	0.888981424147834	0.887667056637081	0.749825018608044	0.79369372398355	0.559892652683065	0.766274838854177	0.76819059857478	0.469835852698404	0.920966596556613	0.87061325345076	0.451819217320976	0.0611324154138103	0.118437083082198	0.561814137743197	0.838841521244641	0.568952332311081	0.270477850601061	0.772377028100728	0.80384831783918	0.777457368394616	0.131072227191843	0.834301057994355	-0.0934793570321322	0.916814954371661	-0.0451573280806548	0.829605909564105	0.647646911861513	0.167852429133393
SORL1	0.939071779281514	0.640008972323893	1	0.847439386381507	0.815954519794933	0.600610456532553	0.86814773590706	0.871052718699982	0.834270799365946	0.939005858413488	0.880738301290857	0.711864140755702	0.729265837760804	0.792360006090215	0.703848466104846	0.0716689685392229	0.654770054026729	0.910706257932059	0.745149579212503	0.935545416544628	0.512860952517704	0.697645109469747	0.697022753405568	0.699138172268042	0.578414291193918	0.391110074763512	0.601945432038042	0.673474836375278	0.846193015588505	-0.00755070623915008	0.53907381247562	0.628304947232792	0.722228968228083	0.322832618930303	0.71484022139162	0.804632634322386	0.865959417621357	0.62340635358157	0.866446574215635	0.647318816153837	0.887101356164071	0.831220854169873	0.771266530795119	0.162764803159971	0.834176587429118	0.798212206305889	0.549250039341361	0.640848599985813	0.363604889475883	0.400253064871332	0.641036377424664	0.780418197801467	-0.186774808557723	0.861307060460205	0.325597662597304	0.870577197597906	0.874532434341995	0.244808039811805	0.73084509589159	0.604642032589046	0.830127871292325	0.745410215302615	0.580543679296785	0.831462601213989	0.0160419020618741	0.773952259374987	0.873262091463013	0.685830730496938	0.631417070802102	0.195475529536252	0.721874261397367	0.436868106040332	0.687140008714552	0.774964970862635	0.50177210217452	0.302361431239001	0.701539681410151	0.843051307967689	0.596583823887137	0.537076942976557	0.753317489452362	0.652963167004423	0.706514093568155	0.548277354730287	0.301791438282611	0.400320725288271	0.569688833725152	0.41627350243132	0.729054162792446	0.295693594553399	0.678222412545184	0.619385427695305	0.397449614905832	0.614374660431785	0.383214178528666	0.897905932507424	0.61955644613625	0.766557918678888	0.576865700070248	0.486165032773059	0.723459206668785	0.522107238923577	0.614622061040926	0.502404255454058	0.548658589825792	0.549702177993073	0.751964856891489	0.744889050652684	0.066480861539497	0.0715478658648563	0.26133574259598	0.717400384149873	0.395591624287594	0.230122375597941	0.656780829289512	0.21079522960113	0.587693581389514	0.381235191728477	0.542013016160397	-0.0789072056318152	0.690325327760347	-0.0204873421663691	0.875186213464881	0.804453378105793	0.126911105165518
ADCY7	0.844159668338441	0.827550179155274	0.847439386381507	1	0.840139980574691	0.791931874017963	0.924818725786673	0.829831196831579	0.644170278966003	0.724081576334909	0.906519946087267	0.856196535400918	0.897784758223723	0.753105735814377	0.837046108623695	0.272948427553775	0.816972821796173	0.900426012835527	0.832912908664482	0.777499705115798	0.777076092820207	0.863437300782666	0.87043162856463	0.873000554799482	0.745136711708667	0.699194872351941	0.731580295982764	0.77838181246528	0.9171946578109	0.0569970735801145	0.753199836917781	0.766774418114585	0.835213380158244	0.606404022246628	0.866433172251481	0.761006057061068	0.576741332023193	0.748893835574011	0.712702760238497	0.633813975613048	0.824777788127502	0.880067973862688	0.866538701239171	0.448667833674747	0.889405186883286	0.755537329365948	0.707606483685685	0.622491624341276	0.673063260868085	0.645438523596543	0.798741728090448	0.929629360479952	0.182957359810733	0.927261831141427	0.523241924358348	0.946968978121803	0.91204375841305	0.553018684808323	0.727788719809947	0.801862956547229	0.835369911551123	0.882029006863081	0.587411590817271	0.911372442430725	0.347565682611409	0.865260464348007	0.77638338739015	0.64311418921857	0.800621376213973	0.507583069226605	0.834030395271387	0.593384577321504	0.785495551521181	0.853271448929189	0.579241186626311	0.581934783111138	0.868297021559028	0.893978419987542	0.699971614186148	0.798896717687957	0.755658159962384	0.765536549497556	0.833124919314712	0.716362554514933	0.527602090598617	0.641691346451628	0.66953820689882	0.614262824543448	0.4997751859415	0.56225272309251	0.677569716604194	0.786922506083731	0.61278755664928	0.747464135339231	0.632467477640351	0.645923251364461	0.665320559224479	0.831255023513505	0.778748094049175	0.695020854322108	0.704436563705352	0.592779877530056	0.7367923776544	0.640953882264123	0.559198547044938	0.831785325611032	0.895443589687127	0.743811457589474	0.0827293858111409	0.1324999143218	0.428217828823982	0.783645221317537	0.536292299935207	0.313307104669847	0.708545166010028	0.48775570218625	0.695470259231298	0.331251593418993	0.707387332951642	-0.0712051447185077	0.879896069171853	-0.00281221479022889	0.937718583450852	0.755634601947672	0.170686382861584
TLR1	0.826157891875894	0.773972501641013	0.815954519794933	0.840139980574691	1	0.779348046346376	0.929550504347674	0.840608791747328	0.688744080145312	0.69411710955198	0.777845594095912	0.862376853988925	0.860670408999998	0.685681624226717	0.864901091176828	0.35415989241803	0.716086513754454	0.818841255342541	0.746226546093313	0.708770330036987	0.629113163066504	0.809203020305347	0.764655370200583	0.869705888304643	0.764022072991358	0.652488636669447	0.772371454655352	0.749339447324201	0.745741837126502	-0.098124985703961	0.713295299751644	0.805957166347526	0.787657915637715	0.629068416849345	0.875652694858151	0.909369809338498	0.668800224324453	0.711285681979061	0.755979309106405	0.750886512694459	0.827294402422221	0.87666793931129	0.829248704396852	0.507245560010707	0.830364134539652	0.878010663336247	0.464134038390345	0.62353043514738	0.666072409342177	0.689218774317076	0.700038274415295	0.89424250534749	0.23468469888929	0.824012024638952	0.492001861201992	0.857218652500353	0.836557921034453	0.51525608565051	0.776957615419779	0.756033886220436	0.633767064298853	0.78098948542097	0.632793310497254	0.809193056114412	0.343841332892037	0.684442980230747	0.827080405206701	0.402153800617439	0.801568576646524	0.507705391728995	0.694360447117344	0.601837485635485	0.679466434243724	0.864369716860472	0.595257077508912	0.612970508440708	0.735656263134166	0.836170937210628	0.634082701131664	0.685622813622176	0.773208501289812	0.54873154861549	0.608540087506761	0.589405056077684	0.581480088762061	0.620693741181831	0.546031858319147	0.540152308606065	0.514920899210733	0.42322430410358	0.534255834516819	0.68579164235944	0.633750337142074	0.687255900336001	0.430982844652414	0.733200061722532	0.569887261744063	0.715492705062541	0.787448464766891	0.638785447070964	0.807904553838714	0.443215023497474	0.64953840064942	0.579416961657747	0.38240663473452	0.707373455387217	0.875639330155671	0.627512029722872	-0.0716397316093352	-0.0373725807438496	0.317422995618544	0.800698687191309	0.487413334608621	0.173154085673178	0.627176432053546	0.476534538767128	0.602423184319519	0.117370153919819	0.627895770688341	-0.215326575664429	0.809368600634376	-0.182036168187506	0.823371202942422	0.617989782559318	0.0282110647314527
ITGB1	0.654502060109709	0.889000226656178	0.600610456532553	0.791931874017963	0.779348046346376	1	0.809010711055248	0.623897392009246	0.368598129621468	0.420731378365477	0.714530939235587	0.935408627955518	0.907542988797566	0.528089568226475	0.925605750971125	0.526685911210885	0.760005840869076	0.718943682288773	0.684480094211799	0.511714351401609	0.796606875705026	0.94285446411646	0.821982969269024	0.908493697008303	0.779666993549437	0.827318564097896	0.904474516539196	0.8270747315108	0.783661955470504	-0.170243053577924	0.915240661093958	0.892005643682352	0.853830186317037	0.847686700537539	0.907492244045337	0.718183299580944	0.291471320350175	0.878982489599417	0.53706429617824	0.60313320110734	0.766053773353244	0.873771459602765	0.863018584916672	0.824294412023318	0.853890882387294	0.77390601432834	0.539263849789035	0.557568628079735	0.828147881464338	0.933306708369122	0.879692454089641	0.846852446032518	0.492607808626583	0.806561844502547	0.717451504129701	0.785145683929178	0.791462654842696	0.513020685240461	0.737295223724822	0.866328532676867	0.62159496051821	0.803183304531515	0.3314062642852	0.88009881577764	0.636979719102411	0.787770119995269	0.619123249627134	0.455619530879574	0.850666121139669	0.737934235731362	0.803014466847069	0.84861987768657	0.846923760287331	0.904195497161677	0.732961204585786	0.727529550882936	0.73635962034247	0.820398827437844	0.835509392375544	0.75076132282077	0.717705662755704	0.631055909081021	0.597734853173158	0.80615604774079	0.677777708826172	0.802892117781587	0.73819183479967	0.819744867420876	0.193774751959766	0.654339089776992	0.523573053061768	0.865573189753126	0.736307278502173	0.815623988093325	0.694341210627985	0.372442977937801	0.521552739833661	0.765368880148529	0.889860857474654	0.794946763409159	0.651167524025153	0.595517440405242	0.828629708779128	0.821323819568254	0.403970583735834	0.851374611005461	0.871322689131413	0.524981359173566	0.0918640172988861	0.193073599479396	0.574472671886073	0.85060377034323	0.493559560018691	0.362410331762734	0.769777021490132	0.754580899915996	0.776037022541947	0.0134890379884793	0.88749869694506	-0.0371676517277923	0.899052852116981	-0.000682365451470743	0.788273177359391	0.631737128609375	0.248627014001872
PTPRC	0.877783149028393	0.839875819482721	0.86814773590706	0.924818725786673	0.929550504347674	0.809010711055248	1	0.850124145983755	0.745197190953468	0.740516638584453	0.851870417239784	0.895027215689136	0.934817864821545	0.716754682841873	0.875618475860753	0.399559303028323	0.867902375646617	0.910557356912166	0.759755680564123	0.792252909757745	0.787445206095505	0.867115032404062	0.848602292417881	0.912515587023312	0.795122501117301	0.719197195012507	0.836328940996436	0.805461969939041	0.844544984110467	0.0795079036776042	0.793282955550249	0.843695613443265	0.878758521876405	0.673774633192565	0.901996529998266	0.866887699374937	0.679986248365904	0.773738623762972	0.801633876529228	0.742277109690573	0.874882232153699	0.912435910743185	0.865506643756613	0.522866740772993	0.85974968749927	0.884837384610957	0.667855407101932	0.659387920622778	0.729035512783222	0.701903781573229	0.774877097345365	0.927924075019117	0.278876720196255	0.884955664451424	0.569731861664051	0.902148799158325	0.870494079828453	0.603523892891476	0.763580920297039	0.792331995512268	0.738546052853845	0.853431373266436	0.692064734151863	0.87479922504	0.354562664471886	0.816750243417527	0.822267360131394	0.526610030813185	0.820244799127669	0.584049522474179	0.806403041166041	0.653430625009459	0.779922383923521	0.903713116260862	0.644686380565543	0.633051409875953	0.824298110044165	0.873255622070062	0.713193466389521	0.770272278529142	0.836232956117848	0.650236300993234	0.715346577206172	0.605504386443867	0.567212959649553	0.681429565512243	0.614057833109583	0.595617531250439	0.495118376849726	0.551903682360432	0.582619854515935	0.732058239148536	0.66104877954582	0.729235667264944	0.502272325625714	0.730606519824921	0.66311129260238	0.847636440955794	0.80585139416937	0.710152640802785	0.811750437751247	0.533949296141955	0.699668611786282	0.661912290718775	0.528571489351457	0.759445647910247	0.919942428569566	0.702846652595126	-0.0125061363573601	0.0251961216560103	0.414389925449142	0.867660185086056	0.550635231070654	0.201114480215959	0.731206263023451	0.53355275450014	0.716336675705833	0.242736274968331	0.703273479308893	-0.172953201827558	0.881064168205696	-0.117833043410268	0.89928275227592	0.732207138302951	0.100355569827785
TLR2	0.820531928972373	0.627218769784442	0.871052718699982	0.829831196831579	0.840608791747328	0.623897392009246	0.850124145983755	1	0.699681706687905	0.764672257941585	0.812969721677607	0.710364592989751	0.730957554458542	0.692838312912268	0.704719448512292	0.234362365804722	0.689404364405652	0.796678954343629	0.758114616672661	0.773223528746895	0.537340293983941	0.699348512445879	0.822499319417136	0.721691853933388	0.579135493247442	0.432935919999867	0.612459221517511	0.565470548087356	0.749174798635606	0.01320530216623	0.585180932469237	0.614224256005156	0.653141564922687	0.396939971049942	0.715894278105823	0.828963841329183	0.714094018656739	0.604535218766621	0.745532129459639	0.648483871420469	0.74729846593232	0.764515907966084	0.762603523783797	0.284574081747549	0.800065455843977	0.778170004134311	0.494104456103787	0.709757966743028	0.484516386384521	0.46577849082381	0.67311777962201	0.812869866206998	0.0234976839538297	0.794051382461088	0.379976678022372	0.855789323319048	0.817215914312798	0.389876062495121	0.637410318162217	0.67875353276298	0.679643276321341	0.753641789575725	0.570297325495034	0.762037536426159	0.166453201126129	0.623693147388792	0.775664719881611	0.570460247272175	0.654746175704554	0.344948427812094	0.633415789016168	0.436668405861677	0.641631487907377	0.71573185385561	0.521251225137022	0.380458867033449	0.638618412921389	0.843432732823887	0.545113952615243	0.571137316286979	0.661122329061005	0.581696652551404	0.689620581652458	0.612886477248961	0.481250735740866	0.515905851482093	0.477955310585701	0.445730096022084	0.60604319933293	0.358931735964395	0.569996940759463	0.552708594690955	0.469994643377261	0.556440480129733	0.353066611510563	0.818246263174546	0.490227119881939	0.659911653395589	0.642191296851737	0.524805356481679	0.668247374259431	0.430226402946236	0.540020463795268	0.466440827492032	0.504433665521592	0.586533011153223	0.769925710600674	0.795444172685969	0.00195114327518232	0.00359521217228114	0.216217173078331	0.6545223562976	0.430370966612009	0.182033176948412	0.539765354228583	0.268750024371561	0.503190613325756	0.297476689633104	0.520172212706866	-0.138140020373907	0.668370259856122	-0.0966811812139615	0.801603661171442	0.702502938822101	0.0458556406274653
VSIR	0.89264187407028	0.456661190321166	0.834270799365946	0.644170278966003	0.688744080145312	0.368598129621468	0.745197190953468	0.699681706687905	1	0.879924039794133	0.555223537395237	0.533371968801637	0.567681120550158	0.602884869528231	0.591727536595671	0.0500406584871652	0.580791336403068	0.714056451062209	0.624172270412874	0.857148669399076	0.424038389780187	0.485871913110355	0.433477664416064	0.545641289976101	0.455039375291164	0.273195444186414	0.494061191343941	0.38000320002324	0.651422903091752	0.116082453423703	0.305989780869546	0.580700131562961	0.622605648333658	0.189833148911014	0.582692194892067	0.729726955274668	0.884942396411805	0.353649359716898	0.943788067582416	0.657581975312266	0.794341116546829	0.712306786133426	0.588988355837478	-0.0042459971786875	0.548337497306808	0.763099923473894	0.536626917394225	0.425666145821616	0.287368633856425	0.254732870999262	0.334657199260282	0.560751598118082	-0.212099794762337	0.636026515820232	0.0999814890335755	0.648631091978353	0.67122954054837	0.300982955339648	0.649219688348177	0.389835554926822	0.570796163196408	0.478068631179768	0.656432521873639	0.597760312714386	-0.218426314030034	0.515010564839568	0.792558507318263	0.354689165326154	0.420404904292299	0.0865504346713829	0.486966711145156	0.167126800418684	0.388530103953676	0.664527061150818	0.326852686514958	0.212165933623027	0.526211405611303	0.538658331919591	0.304198668592541	0.426100146834298	0.779285420241105	0.27745342498033	0.362662690787379	0.241769957738665	0.0813244355775418	0.195294899548668	0.2505880132517	0.152231944193111	0.7601087858249	0.0832158324389606	0.344943968767134	0.373324114820136	0.118235251105568	0.40319164271976	0.0229616349382112	0.789064637295047	0.587945041664312	0.632419435084132	0.356130793175407	0.283758137714494	0.73382415774803	0.176801571820955	0.299197657624152	0.23777185929224	0.342963849826775	0.321940139773418	0.612995311674625	0.48960212608436	-0.156262172784231	-0.183910205295403	0.060266688450546	0.674718683040643	0.270186909623346	0.014099765150854	0.489888468220751	0.054523534281918	0.398520223540161	0.22976079099299	0.251320638969672	-0.259611462011025	0.435686835036564	-0.247455629157064	0.71793862879113	0.523189183313467	-0.113230229259073
CX3CR1	0.934879563256566	0.499513273463568	0.939005858413488	0.724081576334909	0.69411710955198	0.420731378365477	0.740516638584453	0.764672257941585	0.879924039794133	1	0.767917745467846	0.571323181512649	0.590158036038087	0.785083094875556	0.589565634953421	-0.134475756970922	0.522109329837007	0.8305141129388	0.701532803812158	0.946271065300847	0.382886885616625	0.511598421952065	0.497061493274968	0.558494555816199	0.411700070491402	0.231172637897225	0.423564869862368	0.521696807510931	0.780493423728973	0.0331987176789472	0.324766051937248	0.527799529862672	0.637235986939818	0.12687272423323	0.607320681498887	0.739632561642929	0.930206118057382	0.413228460295277	0.886922680777265	0.560904658262352	0.829461225694473	0.740211315458122	0.638293712924303	-0.0787834151494002	0.691204749325983	0.716897920608567	0.464021029551284	0.450316049129075	0.183020463498085	0.219127136121749	0.452287462959849	0.641639349117302	-0.379517092318266	0.767096445169384	0.0751808702246648	0.784643333462085	0.771572575254729	0.140190331967343	0.700169606813282	0.411385598846549	0.799359084800622	0.577231305730462	0.621467032901514	0.721580228321811	-0.205352680641263	0.684292570803585	0.845848797714179	0.636836002196032	0.478446262752594	-0.0427199544881549	0.592725783892244	0.199195721831545	0.49597775834881	0.667045818659664	0.385444240702052	0.154656327606228	0.611938088207868	0.717670146562931	0.389439431229885	0.431619743407399	0.692991121073741	0.522433205092349	0.542490308895217	0.414837718607444	0.0762937990956755	0.163301030726397	0.396377996271387	0.192470001461984	0.775485627967221	0.0590469659492179	0.540951939160471	0.497354128127915	0.144842676119809	0.471105937317289	0.2056263882199	0.873383803988975	0.600539143000956	0.71097047573847	0.413611267488061	0.319830386692312	0.673604955720354	0.358611182328299	0.431848097453127	0.306038247749463	0.46442825323964	0.406516277372931	0.62210402496965	0.613943360119192	-0.0278417160730307	-0.0350255575157614	0.119920504854491	0.627400853474642	0.227508463557979	0.134758219079031	0.551211780531284	0.0101658394815709	0.476753613735766	0.334055961614987	0.338648567456727	-0.142814393505305	0.530037734825605	-0.0992659216314253	0.823080261805555	0.666159205629231	0.00695937739004096
