""	CD2	CD3D	CD3G	KLRD1	KLRB1	CD8A	CD8B	CD247	KLRK1	CXCR4	F2R	ITGA4	ITGB1	CD44	ADGRE5	ITGB2	S1PR4	CLEC2D	CD69	PDCD1	PILRB	TNFRSF14	EGFR	PTPRC	PTPRA	TFRC	SMAP1	PTGER4	CANX	ABCA1	RPSA	NCL	ITGB8	CD81	CD74	CD63	MCFD2	APLP2	SORL1	PTPRZ1	C1QBP
CD2	1	0.983624322367127	0.98850269784578	0.520109679441223	0.975016867778545	0.93621071085172	0.955177562141298	0.920790244570042	0.737711556518859	0.989810339176853	0.40474838030155	0.925793021048139	0.862495022812354	0.934261936389331	0.788488951481737	0.884027474847975	0.893316330139741	0.959000443756331	0.977255835043182	0.934143908329259	-0.109067377031534	0.787145054811349	-0.451696010130518	0.979626613563131	-0.14983350300893	0.263784263183324	0.329431703537184	0.901681574983721	-0.29049540876191	-0.56100598860318	0.709004411963472	0.322025444508017	-0.542255354217811	0.0884102004622403	0.324302515576554	-0.271850844432063	0.14686549721515	-0.189178317082514	0.26596200173286	-0.496175397911978	-0.170992647079625
CD3D	0.983624322367127	1	0.976928364100872	0.412706329261345	0.945549390001957	0.944849609918966	0.950872823101857	0.856400585948535	0.668121979910892	0.970826647588107	0.354719321253603	0.887975467042896	0.856724486255223	0.899919661484006	0.697997590967199	0.83782597738703	0.90042070536058	0.933859578553713	0.940962953364723	0.939424765032912	-0.174718705923725	0.863651462221253	-0.455142591416048	0.949516347199873	-0.159203208303586	0.295189997247259	0.300655439747703	0.84693896142894	-0.281628939211958	-0.566804963322595	0.729488065695814	0.321654607633561	-0.547574092293849	0.0957991947567864	0.301642832299224	-0.258999851072184	0.167426014975707	-0.189258126020492	0.199000839036346	-0.499508820359867	-0.134429224511438
CD3G	0.98850269784578	0.976928364100872	1	0.453469305603247	0.963712450707695	0.915943818590941	0.983143566696925	0.866561257348054	0.68954968573735	0.969778534528495	0.38770737547094	0.890507889106444	0.873565697666061	0.923688124117225	0.733591645400186	0.837687180478334	0.895339996729155	0.936787608172167	0.972186495951586	0.941311813255055	-0.120029695130691	0.779672112041286	-0.429306422312396	0.972257542770376	-0.144872821359481	0.289572058183682	0.335506814984813	0.858082570644352	-0.255316597938656	-0.526424027197849	0.721427487416053	0.320570637997678	-0.515610726194565	0.096287846883069	0.329341144720444	-0.263317728569783	0.171913829597248	-0.159733149845063	0.211412676680495	-0.462490570410566	-0.171122665398596
KLRD1	0.520109679441223	0.412706329261345	0.453469305603247	1	0.478800877165445	0.596336253330471	0.387134549372485	0.755061044730753	0.891855668455044	0.588458842625361	0.544200831800814	0.709048040121101	0.310651808381423	0.578787004862449	0.774904058619361	0.625996306111034	0.159328261493374	0.631394311220511	0.629760893585554	0.555248160473019	0.2565018486288	0.0835044926173462	-0.268714695932773	0.592492202672744	-0.0710355497249207	0.000705781596924691	0.229533813593973	0.819214917442857	-0.256623275813553	-0.355744161990489	0.0783662490188449	0.238612571574319	-0.312428488403564	-0.0455907116514349	0.0550975013210722	-0.200016643711656	-0.176665286293205	-0.197997309255144	0.429374235688773	-0.314840423160793	-0.245454847617947
KLRB1	0.975016867778545	0.945549390001957	0.963712450707695	0.478800877165445	1	0.881771232329717	0.937259938606459	0.895214167948622	0.721714974093622	0.96484108592127	0.386349214981551	0.91072180284247	0.837109809412799	0.929282540983658	0.803129387191721	0.855588571454416	0.929163956467368	0.943628846391964	0.952861354848655	0.887795679380013	-0.0650219108030875	0.722404762117923	-0.41739039765907	0.962936357681569	-0.129466221866934	0.196927318805476	0.350989392923047	0.862000003862386	-0.276146927406326	-0.512491227373687	0.722412935564527	0.300215896406159	-0.505366150913839	0.0784174048306988	0.327278815289987	-0.266569292551546	0.171838241241286	-0.195370712898117	0.249277666491263	-0.458307203980991	-0.194238973287399
CD8A	0.93621071085172	0.944849609918966	0.915943818590941	0.596336253330471	0.881771232329717	1	0.897078589799926	0.868017342852311	0.80371342486852	0.963367859708793	0.410668439618966	0.917352195041017	0.789889437018727	0.87873952649322	0.734454956712867	0.846786372205055	0.761797085155857	0.942573411270557	0.939822649997155	0.971642120343906	-0.13678370964333	0.786823817824447	-0.462315023029942	0.948390266921421	-0.174642286719565	0.276814840009128	0.268150975888154	0.919267092869053	-0.30402342866712	-0.583782061879596	0.607509805701166	0.336204374640122	-0.553190748738018	0.0691997160170467	0.285275079548825	-0.277671803675307	0.0765540171823879	-0.226528464308474	0.276450965819991	-0.513728826875186	-0.181871042054239
CD8B	0.955177562141298	0.950872823101857	0.983143566696925	0.387134549372485	0.937259938606459	0.897078589799926	1	0.803109504367215	0.63159714228669	0.941275225019636	0.341347129622699	0.834910544405257	0.88858605349289	0.898356891071396	0.668938443119567	0.805387297175488	0.893752661275023	0.907009908882305	0.948340284328452	0.939005333422496	-0.14066976528973	0.783486120400733	-0.409921514141978	0.9576663605925	-0.133485447486052	0.310186034976391	0.330711943055265	0.8063664313655	-0.215301848020669	-0.491992035508052	0.731610657750364	0.323339013946349	-0.493102426017944	0.123320648461383	0.389101982768206	-0.250464245838868	0.209730564217574	-0.12651798967419	0.182228745235941	-0.432253028837387	-0.157961885261064
CD247	0.920790244570042	0.856400585948535	0.866561257348054	0.755061044730753	0.895214167948622	0.868017342852311	0.803109504367215	1	0.83288225695004	0.936102938805112	0.465947249742276	0.918634557633805	0.759062777439758	0.88581981029955	0.90401652994927	0.929828055807242	0.741948409612509	0.918392995818814	0.927024766563536	0.820774103015734	0.00515202943777046	0.618876688516561	-0.438155777007228	0.919905446934911	-0.120189737435557	0.185578756751008	0.31522056800334	0.960333101317972	-0.316019211942676	-0.551731993719926	0.567961857510029	0.311661907146722	-0.521641080412049	0.0766739126707279	0.315665251829944	-0.255960357039523	0.0620792821335915	-0.19446427799991	0.427813873039342	-0.494675962315591	-0.172443038224564
KLRK1	0.737711556518859	0.668121979910892	0.68954968573735	0.891855668455044	0.721714974093622	0.80371342486852	0.63159714228669	0.83288225695004	1	0.790038649223002	0.583569557093812	0.918647414616256	0.472046758133621	0.777184304679124	0.845752807260955	0.729223930831686	0.43247169953718	0.839086164439633	0.817597133702415	0.787399235492189	0.168220077624163	0.301780022253308	-0.342681707202827	0.794822930256676	-0.121119381094129	0.0338207837250296	0.320820011496408	0.924589597592457	-0.309386550757952	-0.446901711646015	0.296925849214122	0.293045100754824	-0.41056284249447	-0.0515940114270591	0.0826035609541554	-0.262105306931558	-0.105953768904201	-0.287854337924164	0.360110714217439	-0.398719841327323	-0.309982935338247
CXCR4	0.989810339176853	0.970826647588107	0.969778534528495	0.588458842625361	0.96484108592127	0.963367859708793	0.941275225019636	0.936102938805112	0.790038649223002	1	0.42329728322555	0.944824978827255	0.855849554836983	0.936276609861349	0.815478891977221	0.912613905443664	0.86253056339028	0.97581279255537	0.984184236555751	0.948858881365904	-0.0921412502876029	0.773544915061052	-0.45802087887022	0.990667822744021	-0.149472381810763	0.256888833091627	0.326869031481456	0.936826021186157	-0.294875434426581	-0.565793036769158	0.683135076778903	0.338145255777745	-0.548521902568785	0.0969312463647928	0.360687614955889	-0.274914264156949	0.128866712491902	-0.195208576714331	0.319138095072645	-0.504818042574729	-0.180763279527214
