""	TNFRSF1A	CCR1	SIGLEC10	C5AR1	LILRB1	LILRB2	KCNN4	KCNQ3	IGF2R	CD9	NECTIN2	TREM1	CD163	TLR2	HAVCR2	THBD	CD4	PILRA	FPR1	APLP2	TLR4	SIRPA	SMAP1	TREM2	CD81	TFRC	PLXNB2	CANX	ACKR3	CD74	ENG	CD44	ITGB2	ITGAM	GPNMB	CXADR	CADM1	AXL	PTPRC	NRP1	ATP5F1B	ITGB5	ADGRE2	RXRA	TNFRSF14	TSPAN14	ITGB1	CXCR4	LPP	TSPAN15	PTPRA	RACK1	TLR7	UNC5B	NCSTN	PLAUR	IL6R	SDC3	CD68	TLR1	ASGR1	ADCY7	ITGA5	ITGA4	CD180	SDC2	ITGA6	HLA.DPB1	RHBDF2	FPR3	CD93	SCARB1	CD33	GPR84	PTGER4	SORL1	STAB1	LRP1	ABCA1	ADGRE5	NOTCH2	MCFD2	AMFR	ERAP1	ITGAV	C3AR1	SIGIRR	CD69	SLC1A5	TNFRSF1B	MRC2	LAMP1	C5AR2	C1QBP	ITGAX	CD63	CD47	CD46	SORT1	CLEC2D
TNFRSF1A	1	0.872752652860691	0.86261734315943	0.785070035002356	0.942727715000967	0.884969868330621	0.649707027327052	0.795711765504383	0.497616568644352	0.800024743943757	0.910016816053716	0.524196261429718	0.880539058620079	0.893626841331849	0.953798289185988	0.792666605000686	0.872136520822043	0.783655490606544	0.890385600291985	0.918750865792262	0.816290653290413	0.898534582157013	0.832058250410936	0.937375540713254	0.842992033849344	0.785648718341978	0.757434795249734	0.92087539387633	0.354503337342076	0.884171414330385	0.869089487097198	0.785742482217549	0.910291692655881	0.786781674059716	0.248089507681842	0.811209007769397	0.861512727853547	0.88349750570442	0.941434296080106	0.769289587314299	0.842187553571998	0.649852202686432	0.907066744789466	0.634688184344023	0.799218241225603	0.818688788847079	0.928597239175587	0.653482519531752	0.866798528026346	0.893516285312385	0.905839454502267	0.909375863377251	0.85882097794714	0.901122166234721	0.857151141034022	0.911179957437452	0.777513800267208	0.562258047308844	0.886180303349818	0.912548718876137	0.572074454428929	0.902426976120669	0.580057632144401	0.84817861465015	0.630154017665374	0.560001834883601	0.860775782766607	0.812372514513664	0.95944476526037	0.739371814855698	0.789688139816121	0.739327663710332	0.910672543883862	0.890882193337263	0.855579082930947	0.935342648966034	0.674646192226116	0.774652889614345	0.354706939789698	0.784761373909623	0.724623895200902	0.877569138804966	0.707843498598428	0.800964593072241	0.929367893409801	0.908331091617911	0.873319727141787	0.863673090408379	0.829397265037146	0.913120914580873	0.805184329920576	0.891597210608786	0.413490004213228	0.805398112162431	0.567303988420068	0.894891138584498	0.914925101626891	0.924703620217565	0.853742250150068	0.754345146833623
CCR1	0.872752652860691	1	0.688301578770433	0.706386105778828	0.837939620735361	0.787889911834536	0.697363147301166	0.766990256275791	0.595652416052111	0.768644840595662	0.859453088034297	0.68127555558111	0.836306663291745	0.801863680354524	0.8621361627504	0.827143213743741	0.895245824728747	0.64844443238606	0.780136074690919	0.926699498705145	0.760307763671846	0.870540807779616	0.843961539973789	0.840133504467211	0.858391221847035	0.688773426035758	0.778940707883829	0.923630800550521	0.447598066383116	0.694409880259904	0.879510229688624	0.815166612893781	0.876764210733405	0.853397582644571	0.445274552528051	0.809879708946114	0.812418415950328	0.696022638681692	0.834978636525138	0.821478234341911	0.806443914157454	0.727591428587432	0.812822377173341	0.773471583614389	0.785439190358698	0.804225070406471	0.906442080343168	0.487795868917469	0.837287203613016	0.850689700627774	0.863898032778414	0.845710507954063	0.774902479165752	0.842186165496153	0.858518344966526	0.909628646554165	0.836160501696454	0.574324153929113	0.850903297416318	0.804412689637673	0.625478298305093	0.814312003991523	0.708186118804329	0.789568535476742	0.720676505174465	0.575800492587207	0.795053768283222	0.593544135319204	0.854464866687152	0.717366514501903	0.784507975308598	0.772878533648828	0.824305846810261	0.827574357256363	0.747657105699483	0.840444816279661	0.72071449219317	0.773755292598311	0.528109274970568	0.823227745581596	0.697044909631299	0.893517222372022	0.782524076762581	0.775197166183283	0.858853260559767	0.785410968914886	0.848209870563401	0.742782608678347	0.766512611814025	0.849783713378977	0.796497071226306	0.867692509754876	0.522083066513213	0.78760348547784	0.649600629816508	0.892474533925843	0.886403031168517	0.842975351218279	0.825758588381718	0.775868425278309
SIGLEC10	0.86261734315943	0.688301578770433	1	0.738502784438204	0.876233001951135	0.819793750727387	0.445840306331058	0.674137348648179	0.308758291180366	0.662800447760274	0.771851119258022	0.230282100614696	0.760221213147474	0.813815525466887	0.875803875118906	0.600123082159276	0.669523082929617	0.817410923372246	0.860290081703979	0.728660593510911	0.706827861724389	0.711934238030122	0.626583086650116	0.877697236149995	0.663517002194807	0.740476362597111	0.549910684796585	0.705778391032254	0.151255383431808	0.951347458769007	0.670640204475447	0.513446113382346	0.751022220451852	0.531767799131829	0.0120772874010034	0.741459328561211	0.694981959677271	0.930172986421075	0.853934521853866	0.516470498779191	0.676562084359045	0.432454373137254	0.788490880668523	0.351196793272335	0.639587614617165	0.669421546398339	0.762769576893381	0.729093741430818	0.744683913520798	0.743719077138548	0.747732922733096	0.717766980223656	0.810269991874046	0.777337406107728	0.692831004644443	0.72367952367321	0.510074613443855	0.427625006673359	0.744777497449907	0.860799341557329	0.290751687888783	0.78788682023436	0.253345257658446	0.673927822849214	0.349805394403808	0.426119212285657	0.714302159487182	0.91546037488468	0.873095547671777	0.550532116634571	0.581268674622273	0.562712964755065	0.806182809078802	0.810048673189223	0.807322572726359	0.857686844332754	0.480830015775409	0.604628173484728	0.115580868057019	0.551328409198064	0.558010186710956	0.660218501021315	0.527542061071233	0.668340055697978	0.821397334546326	0.891138986722248	0.693820283919807	0.828618657196013	0.728342770183937	0.829265474609845	0.610292917348485	0.768946471156677	0.256088197970735	0.61620326454729	0.462878989979603	0.701165346487177	0.765011388202283	0.795291355121327	0.735857941147193	0.569066434693502
C5AR1	0.785070035002356	0.706386105778828	0.738502784438204	1	0.72719663941116	0.685124210419224	0.224999961801353	0.711714213202503	0.583076688323829	0.69121746980908	0.63724377861328	0.421447712476784	0.783018180704378	0.730377532062116	0.738262143545339	0.642471814211767	0.700949322090961	0.845082596698027	0.554167975133901	0.741667707270327	0.897129934879841	0.708316538992144	0.66068707973273	0.671123006368426	0.715078515558366	0.867230023999365	0.624776713691195	0.664519786522747	0.52421475921012	0.709006442848534	0.642522340252039	0.702437256779698	0.590992862755658	0.58158718586426	0.417026142712444	0.707489657558042	0.7749721225061	0.745178101257996	0.672792788352855	0.61299897371537	0.416845688582441	0.666654111586922	0.789039781325344	0.546618446696188	0.779792249486971	0.845526963273973	0.748976436088933	0.660012224416844	0.771349606057069	0.615897417186636	0.758709870360988	0.62734310011442	0.797740465929585	0.662286284983152	0.641864381035228	0.738049013128155	0.616489140005896	0.684675650862855	0.801302622994037	0.666702409662334	0.172833881288143	0.712490571465439	0.410867094024872	0.455284431231397	0.343295136428512	0.706997296496083	0.666789756871916	0.702231097112675	0.756596185125966	0.644377149121632	0.509737222905487	0.700867825221583	0.598920225214802	0.691177256140494	0.822121378665796	0.761195922713384	0.566743829438774	0.818592396971851	0.588732577145018	0.633756372685999	0.736952221724247	0.637638397682801	0.754862984234648	0.635024806523895	0.784106544171403	0.65170350386404	0.687168935460876	0.742876784704908	0.474671567236172	0.858351658818516	0.595710674369251	0.752531151709299	0.636612517947474	0.369862909200716	0.744286516948043	0.609325372142207	0.610016829221563	0.763650466815974	0.724211408176327	0.7530559500652
LILRB1	0.942727715000967	0.837939620735361	0.876233001951135	0.72719663941116	1	0.884206196394402	0.645335188981167	0.811257545905584	0.428995612453923	0.71991555635165	0.896363677862638	0.455388929119344	0.863661410480993	0.897861142112926	0.916238303951758	0.795163250850827	0.871136820426623	0.707839641832234	0.893306470421605	0.881623865038081	0.776218998618469	0.886132547325737	0.764913226364676	0.932489047060994	0.838536864844984	0.774668388039754	0.749950353712828	0.883925841864921	0.359109604844217	0.893655587823773	0.861477045041237	0.715473980452457	0.885161689815511	0.772779811686139	0.108753977378037	0.769128762580424	0.820437619863559	0.878503452873453	0.932052352649577	0.733131954748273	0.830028204452209	0.62529710511516	0.894037754079445	0.606367074933117	0.727055583325177	0.782421842375674	0.894992096424629	0.626335874924226	0.863280431583576	0.900368829592835	0.872854838918117	0.873842599465387	0.856622506712309	0.919165929799651	0.840292915339559	0.859057089953821	0.71774365897972	0.552165858125959	0.808336894993764	0.905931384547475	0.539756903604253	0.915079595616583	0.522820118773917	0.866134427246518	0.548528780507975	0.466610354807568	0.866183876133006	0.819469073605903	0.947873619127974	0.740796109205987	0.815876629849583	0.7189518711898	0.889993007803832	0.893088512448234	0.862016151034323	0.926621552592429	0.690526491707973	0.737413920430386	0.247656314529344	0.729903990618579	0.676700780326356	0.823033754987178	0.661467224932384	0.804227788219582	0.930850401659577	0.894718457997826	0.840406401885436	0.876307770004672	0.819254089467036	0.879763341678642	0.820073489888701	0.835725122905209	0.378247792540121	0.802385080696456	0.51246252146425	0.838803459072125	0.899379912964109	0.871195870037388	0.836653618954177	0.721358269108081
LILRB2	0.884969868330621	0.787889911834536	0.819793750727387	0.685124210419224	0.884206196394402	1	0.636347854490347	0.760027914479507	0.379837603880255	0.700411452720928	0.857795065702647	0.434056052804443	0.795751618727651	0.862877369647299	0.872441731222124	0.708619830062407	0.803127591807461	0.667690499048954	0.855294966737517	0.831459884376884	0.745147720348027	0.855261355199828	0.761961656459357	0.868910906850948	0.771403757233007	0.696151816885414	0.723730884005756	0.84080346958717	0.32931252698879	0.853454644311757	0.798506859003544	0.722651324158686	0.838594975292415	0.729554254443584	0.115184066933221	0.707478535965271	0.801771692357102	0.843589347750127	0.890558348978254	0.677982372697901	0.80395780950344	0.564975341721259	0.86008036510172	0.558899377780974	0.692326746466301	0.751566383137592	0.861056708379149	0.653870305254698	0.829630854199173	0.833764140269484	0.853742312884848	0.843671094384444	0.844137595165991	0.860243207920503	0.765724912378531	0.828135880863966	0.70787890160787	0.474767679338551	0.762617575568473	0.864882975619065	0.535712691832437	0.850970512127686	0.527847609479425	0.823226270227143	0.57051175753717	0.468270104808517	0.838709870292488	0.793309746214899	0.878280709581453	0.67262811526749	0.756708055818568	0.683851780617907	0.848916636782247	0.847882778270035	0.817131025833405	0.895964246444613	0.619955980965891	0.670438849183076	0.207684106561677	0.722860776615723	0.636541473486376	0.786391796374771	0.603629006318946	0.750105363187692	0.877637817107659	0.844092138133649	0.825113777985733	0.840245847104314	0.822749138801886	0.828964143382277	0.757234510098866	0.78882467489801	0.368155658895638	0.775406209391094	0.472917680788091	0.80404538183832	0.858596972708264	0.832661948620098	0.809664749616651	0.693034079015922
KCNN4	0.649707027327052	0.697363147301166	0.445840306331058	0.224999961801353	0.645335188981167	0.636347854490347	1	0.539729226458079	0.308382818962253	0.587930023828073	0.76712131792409	0.619451993257103	0.569262974758725	0.616166931471482	0.667023334081391	0.613050394567408	0.688738241634605	0.294080513062135	0.725903940483444	0.70564183689999	0.34552468587707	0.69727054907507	0.659020539834898	0.727373622473625	0.639644496734619	0.284165715193976	0.641189827646853	0.788138540672123	0.12151258460267	0.472713010478072	0.779364125536313	0.585057243737064	0.835006599359828	0.737063391957033	0.167696405640189	0.65245193088705	0.494301226687936	0.46857089245332	0.702610145418473	0.682955089259289	0.859501171302106	0.429136919717086	0.613830532259879	0.612692235462465	0.416914969689189	0.468423912058819	0.718157197003564	0.185652947720103	0.60949370289193	0.750795581069118	0.653083656331926	0.734643368059856	0.487537458071582	0.706345810080824	0.702858900622773	0.73906022505291	0.660746536805386	0.209190865965767	0.545278899995795	0.634055951562049	0.751945096755884	0.631997284185832	0.615982998195504	0.815070816845411	0.696717864711369	0.203774308289162	0.607983980232751	0.334744612293256	0.649726056560408	0.493753593721905	0.761834592051206	0.449631757206158	0.772871479798298	0.71513355057035	0.409285681648491	0.657476468904922	0.548073528710966	0.432366816940202	0.133533364933113	0.633916266538065	0.352800622607692	0.750827321269804	0.45178079008622	0.546472384258761	0.617017701650628	0.642916846405703	0.676729212967881	0.513330815901153	0.794642627656279	0.562948461192571	0.652467757445284	0.646869096597018	0.10111619894337	0.864325085642096	0.30093856974237	0.790547497497108	0.785939605551902	0.575866530059664	0.600927653819583	0.491605727120887
KCNQ3	0.795711765504383	0.766990256275791	0.674137348648179	0.711714213202503	0.811257545905584	0.760027914479507	0.539729226458079	1	0.447614144443875	0.675827279646308	0.796036492940908	0.523963884089618	0.75319505919586	0.817128778193906	0.785350607017086	0.724551924724394	0.822575715516655	0.599882190863275	0.698433217505654	0.793319622086142	0.777041141981401	0.816779078800993	0.758611523720265	0.756154984435731	0.774754112062912	0.708020147275663	0.802418792335394	0.805805735660015	0.500666167304753	0.726914841901728	0.769739452150749	0.786022540094094	0.766942071585105	0.798562167641537	0.241443776722002	0.64173902836991	0.816036468297781	0.736915892926081	0.810353242353617	0.687758323100001	0.672487227411448	0.61357184943484	0.846137355914908	0.68146907623863	0.713599396465	0.804725264941505	0.832813267693249	0.610917132194149	0.85851684057953	0.756055299583022	0.846128674993917	0.792694309792553	0.824621637017845	0.840027586031114	0.751700857261758	0.777034699415313	0.719405547037049	0.514753166734763	0.682653661639859	0.752753722951276	0.526344052370101	0.806871525546874	0.579461555503956	0.756217316690101	0.584556898216295	0.42683523802217	0.795837041468098	0.674345264050769	0.81025849674469	0.673439508368373	0.778267373806884	0.712253299913876	0.756336397437787	0.744402085465441	0.798509696628926	0.863769817000725	0.658177385682778	0.741069246625716	0.372207153851655	0.732302563307326	0.714689660452374	0.768301496471197	0.737584306408901	0.771853612850126	0.83094402118114	0.69795541579476	0.813037485806846	0.763679535949506	0.675880106511914	0.837458796723418	0.811026271691232	0.686101429836719	0.547665175589918	0.656189820970449	0.572231329913004	0.699012580841343	0.768164220503916	0.779013953445585	0.800594297749364	0.795637023028502
IGF2R	0.497616568644352	0.595652416052111	0.308758291180366	0.583076688323829	0.428995612453923	0.379837603880255	0.308382818962253	0.447614144443875	1	0.558578028927016	0.439078936879588	0.632788210637727	0.661498822202464	0.468917943881359	0.457805030344829	0.519719759120538	0.607651159496926	0.46598898715793	0.280488556628287	0.659021250187409	0.634736932035622	0.590234465386609	0.499361276012948	0.429003900245153	0.660778308033645	0.544833817933254	0.550523114935796	0.547931631235867	0.524161316232554	0.260974511476826	0.596733118042245	0.569855270319627	0.434627830999239	0.550127618107462	0.63951820275422	0.583422629453337	0.556224038520562	0.280535851955274	0.351104253659303	0.693551572425035	0.296332988784358	0.762198420946058	0.484430067837402	0.624190509690156	0.560290582903014	0.641910507208417	0.587649834528291	0.192945506847602	0.582015981308124	0.505258509650366	0.490777321227682	0.389524294651514	0.46700064827504	0.426141104494759	0.537762724031195	0.587235850204358	0.566642935344705	0.691811890204354	0.659914408940787	0.388278237602201	0.324250125469348	0.491342285131497	0.576597995936783	0.305260348209043	0.364166615555698	0.633285776354493	0.524980370082677	0.194819929520349	0.464475184979044	0.662011309636958	0.473195881893898	0.613073817223763	0.381826369850767	0.42986472303102	0.413135182077849	0.460633878451928	0.641055598661671	0.752310156187624	0.731447857194348	0.57785604866963	0.495857809681574	0.549996979316537	0.670946271925576	0.532129583909103	0.519489549127845	0.347503490631134	0.457444795360463	0.319033010828597	0.292245834828645	0.5319980580419	0.481905556415401	0.65425166077418	0.522921820669593	0.276977785040079	0.701040542289593	0.557944321217936	0.440209290337918	0.527090773923962	0.444650032147938	0.597205806887233
CD9	0.800024743943757	0.768644840595662	0.662800447760274	0.69121746980908	0.71991555635165	0.700411452720928	0.587930023828073	0.675827279646308	0.558578028927016	1	0.788876139288956	0.730742000544172	0.754318471685168	0.735501315246041	0.842103331375627	0.583138837099181	0.701491657844209	0.798264878068745	0.761512206573467	0.837133408408907	0.69108287032889	0.741341491967696	0.79745299302568	0.834044003734239	0.724284732110714	0.557610674559791	0.603500815619821	0.793492194415512	0.335569955047491	0.702487085209407	0.748218132276749	0.711423219819398	0.847533230149156	0.701321640308494	0.586202560224757	0.834384607841604	0.799105067363359	0.714279178662464	0.778227970918741	0.719100045236686	0.688173922130088	0.614514079714112	0.733882810101071	0.624338985593272	0.779795061148182	0.755195449810607	0.86862634242343	0.567845269205872	0.765406085472863	0.721911472100283	0.776640656425123	0.763927183246653	0.691593523508087	0.700962776504693	0.769269841305577	0.864567016205552	0.686634712681804	0.451738756677143	0.881349561267154	0.753737289062463	0.489426622037841	0.680771369157399	0.5244570367565	0.657271369049043	0.586961630831256	0.664904715165219	0.694330455676371	0.636125301736748	0.77972268920434	0.546985448726663	0.571396151832921	0.633453253634756	0.772439154955085	0.718267116892062	0.602087699387335	0.793030787682675	0.484186120811491	0.722846478017283	0.511006602575008	0.740465778884544	0.651682497887939	0.783581853510719	0.720632360036481	0.569559944504391	0.713453354827187	0.796187888586113	0.798777787606336	0.617610494417921	0.699866537919432	0.830496876592295	0.657504020051398	0.889210514643055	0.410915271875503	0.642357810960318	0.737926298783434	0.870414607616137	0.773260362590581	0.804602192858054	0.685823216230448	0.704025133308795
