""	CD44	IFITM1	CD3D	CD3G	LAG3	CXCR3	CD69	CD2	PTPRC	CD8A	CD8B	KLRD1	CD226	IL2RG	KLRK1	CD27	CD247	KLRC1	CD6	CD96	CXCR4	SIGIRR	CCR5	ITGAL	CD47	S1PR4	DPP4	JAML	TNFRSF14	CD46	ITGA4	C1QBP	ITGB1	PTGER4	CD82	ITGB2	SELL	TIGIT	ADGRE5	TNFRSF25	ICOS	TSPAN14	SPN	FAS	TRADD	SORL1	CD5	KLRB1	ATP5F1B	RACK1	SIRPG	SLC16A7	SLC1A5	CLEC2D	ADCY7	LPP	TSPAN5	CCR1	TNFRSF1B	HLA.DPB1	HAVCR2	PDCD1	CD4	LAIR1	VSIR	JMJD6	CD81	TNFRSF1A	SMAP1	CD74	PILRB	PLAUR	CD68	CD63	CANX	CD9	GPNMB	PTGER2	PTPRA	TREM2	STX4	LAMP1	NCL	APLP2	RPSA	LRP10
CD44	1	0.110963442875617	0.139749956832043	0.126456336622685	-0.11544607734349	0.148554295509275	0.283887340892877	0.0755108452291575	0.323039087968372	-0.0224867552018073	-0.0827921566400854	-0.128181027834683	-0.0210009972757131	0.291741558596765	0.000582099317981108	0.0580220011802477	0.147690134335453	0.0642730309941225	0.32453014858523	0.101519667655163	0.377971244538132	0.65403082214356	-0.0589398168060016	0.482553343206466	0.541542492089043	0.200845364826305	0.260384150485515	0.496668527176535	0.706223271160014	0.423258238712965	0.632392189707391	0.668443580953182	0.629660826795204	0.711038329270353	0.465674854919401	0.543821939961741	0.25552968809191	0.143249193851736	0.135447320197336	0.0927747401066932	0.0745298339405364	0.685242704890057	0.576587964118376	0.304356461184286	0.561871826389915	0.376551025903711	0.124130308265421	0.101985153851701	0.578492233734087	0.782696683350888	0.166051997748618	0.270756814213854	0.604815810075975	0.218899684703995	0.273143838976002	0.455493351454682	0.236500637060874	0.379035686226112	0.668671457058327	0.543923154599128	0.468374529526865	0.0355633098063538	0.405121025008263	0.426993072385999	0.625103223590785	0.206425567010671	0.164434377662063	0.529372446993779	0.690133810805834	0.470107399156947	0.274257603678317	0.454751890983584	0.43954169629989	0.505924421821008	0.544365458474878	0.385687874943607	0.272976295558713	0.285942514906105	0.486942568631553	0.361374722752825	0.454864103632254	0.617424497828436	0.66838886777587	0.42993865310487	0.703755028998754	0.72780651103646
IFITM1	0.110963442875617	1	0.946155395574074	0.933493250044816	0.777799853221235	0.848099841413284	0.746359807949013	0.846960884673942	0.775054846425359	0.856191834410888	0.914258903063111	0.581992191379576	0.726537459133929	0.897342869527948	0.85845765248284	0.862380804620842	0.856624070244995	0.515321719750125	0.842736311029541	0.875711925244683	0.825903126727917	0.64540870156425	0.645271515347602	0.695377009952475	0.595425928624772	0.603813822451405	0.379032877230274	0.77176957934288	-0.11400285805027	0.149891236021991	0.335673829622407	0.251079629929798	0.075864339561481	0.300275628541604	0.599989029980722	-0.15757256793845	0.396430844136464	0.722579418953361	0.85520407786808	0.34316862046638	0.780676731917113	0.265141634745534	0.62289943881045	0.382470198075006	0.471273577823961	-0.592210628644637	0.811340472472593	0.434820572103318	0.235415337026432	0.0340783629051297	0.916114377277437	0.763899987280796	0.179785980298062	0.762274843786297	-0.40183653989643	-0.161959112215866	0.691302118415569	-0.201742674106788	-0.403030180094162	-0.316883510408485	-0.407636343476948	0.591489772707016	-0.38962040394616	-0.275724207861285	-0.142355205714571	0.169502010844059	-0.550280705750514	-0.335160066863501	-0.198546951116886	-0.329509191048198	0.551769103002305	-0.60943023493646	-0.591945824480791	-0.394434499641047	-0.36029163017914	-0.621250066041722	-0.66431321402643	0.619566165065659	0.0804354675255036	-0.342595273546197	-0.337651629132472	-0.372244934308416	0.288636405788801	-0.52444775029789	0.380918753311704	0.139768160242086
CD3D	0.139749956832043	0.946155395574074	1	0.977261649165782	0.826351723243287	0.916760641601875	0.696993308384523	0.940862202849188	0.829179298963053	0.920524883364472	0.904001895143726	0.672996800035972	0.771942890194981	0.92536477934728	0.902301928895048	0.9535703435682	0.91649219134849	0.593068618419405	0.900625363245348	0.948212008356926	0.859098678361681	0.711631528368264	0.644021548337791	0.607118274556067	0.582819192192386	0.531286228821444	0.391114992556779	0.793391970719929	-0.0400476069871605	0.10199440293617	0.272438052122184	0.198628544885108	0.00263709772880805	0.308804431676971	0.697341848042018	-0.199284895911059	0.340135617184646	0.85652954206414	0.880500356366441	0.348405499857962	0.869740577786145	0.377911471438475	0.707934931631381	0.348380138024535	0.409545829749532	-0.624434654340509	0.900055665790587	0.414276904010307	0.17433532144604	-0.03525542066196	0.940578542671927	0.806561842679126	0.141802022267188	0.793863934853897	-0.357387208571105	-0.175285708045768	0.789614213320947	-0.24675145371234	-0.404140153095953	-0.350121321943209	-0.430178061564212	0.752255266858678	-0.41791693466041	-0.317611932815059	-0.193739245744908	0.154670146979515	-0.570685300122264	-0.379196022881273	-0.20994903420541	-0.374048304503706	0.657677282229801	-0.64793794392159	-0.629458515430938	-0.431060158834249	-0.398178691719209	-0.631582061742325	-0.676234290370645	0.647537574146842	0.0841141080895175	-0.393553898276975	-0.365922570152483	-0.401309127016989	0.259477100801823	-0.572867971157907	0.313441527964479	0.102350418806384
CD3G	0.126456336622685	0.933493250044816	0.977261649165782	1	0.828684378622266	0.931508627439972	0.631332376608263	0.931722605773047	0.774441191188815	0.899635545611555	0.873491424758489	0.618381540597901	0.75349744352328	0.906166355900646	0.860724202311135	0.949313040689516	0.879560657132919	0.535790911080356	0.910906161026109	0.908152500032799	0.829475704849353	0.652825607728417	0.647205476271261	0.581945335588373	0.514059940395419	0.524382558313116	0.389673583854994	0.766721957195153	-0.016795012445207	0.019097839388413	0.198060478085859	0.128433335889732	-0.0796373202467622	0.270061204145761	0.619748231584716	-0.270331412599975	0.324577819436443	0.821351904824519	0.896560406780946	0.3158653708759	0.836524510125825	0.299131596084327	0.659009827294701	0.292427994474591	0.394844583448907	-0.67277468134149	0.90609062462072	0.350590997412708	0.114714161489752	-0.0889352005906114	0.901414862455409	0.757028703917315	0.0597217870839631	0.728691770112199	-0.406004442744347	-0.204240436640387	0.729034325172556	-0.293215160953925	-0.443026965523917	-0.400257501813349	-0.487094521747281	0.720280586469891	-0.456743243591277	-0.374452594544929	-0.254826612801661	0.161823405669306	-0.602566472781173	-0.434448339157149	-0.278561308420818	-0.428770278468148	0.597275932322327	-0.676258057629436	-0.653590053230364	-0.489127781855994	-0.441967852278243	-0.650488642367051	-0.667656943997593	0.624512171534822	0.0691140872515403	-0.447369753170516	-0.433626417657853	-0.45228469413855	0.183634958128434	-0.617420936717391	0.246921151895428	0.0617108809657517
LAG3	-0.11544607734349	0.777799853221235	0.826351723243287	0.828684378622266	1	0.809620546307573	0.33257138422487	0.871131777718487	0.738338296928489	0.942656307335864	0.780644247970771	0.687221233484898	0.620567812822507	0.705747953644079	0.897292624289564	0.877122611639394	0.825942641143214	0.512920622473986	0.684097575659085	0.87014685374172	0.730465229715502	0.396149826687862	0.83624815637926	0.299732677361547	0.226403655906578	0.106964104011143	-0.0205536808372073	0.463531107804328	-0.172521373226672	0.0142478115018724	-0.0580203085031654	-0.069208688422823	-0.340785677222263	-0.0190670060433035	0.535851629948814	-0.240774076992498	-0.127346997344771	0.772792875648336	0.786625533313637	-0.0732684994553265	0.820312323127823	0.0561474999746798	0.392840488596686	-0.0688596573099606	-0.057579089766289	-0.724192538491789	0.81318443870116	0.114914845055849	0.00601768184839019	-0.390853526563499	0.779297930155631	0.689699209949289	-0.0246662597722921	0.505393774785646	-0.299932820355572	-0.38572964823708	0.474224937417277	-0.094678366363388	-0.449955985295855	-0.396404468569478	-0.356238923636599	0.7945642690879	-0.512571108930615	-0.384931619662062	-0.338633731040852	0.328335934768505	-0.523648946560833	-0.415957633573413	-0.406279929410949	-0.41076296732154	0.484249455894646	-0.629149698486793	-0.538675233599039	-0.414715823389548	-0.431044271234258	-0.580247402039044	-0.50263486117433	0.200405697035124	0.0941721525372844	-0.414803078711246	-0.468422460034987	-0.448236437800252	0.0392010525058643	-0.579615291659061	-0.139157924600268	-0.224975229467755
CXCR3	0.148554295509275	0.848099841413284	0.916760641601875	0.931508627439972	0.809620546307573	1	0.489352471099189	0.951376157085686	0.820300963638718	0.863090522488696	0.754319816237648	0.7012633651401	0.749424231339287	0.899286275609742	0.851417871392833	0.92737490091416	0.841311068817539	0.612140387415622	0.937453473917105	0.900134744978085	0.827973038858249	0.644411786862583	0.673652554029555	0.511813483843929	0.521435814501939	0.341824342810032	0.353084102564135	0.715503485428588	0.0187031840182127	-0.0546128620679406	0.220246253005939	0.204870735136302	-0.103875641968715	0.226635326902429	0.711255215465576	-0.160696047011595	0.137364139260176	0.86996733623037	0.92077310796193	0.183264794332152	0.878219439314763	0.355464260868238	0.707035043944774	0.184227635575256	0.315377674790099	-0.620822472357273	0.925041615581474	0.269036297787533	0.195026411117762	-0.0842549366074869	0.807816285966958	0.75609159786157	0.159131320803296	0.646476618956308	-0.330206729647831	-0.101591497982703	0.745061344091628	-0.164568114315967	-0.372804921278167	-0.301282245085476	-0.363074455185237	0.773021849178814	-0.343171353139588	-0.260969173831237	-0.171887804872947	0.28937860446214	-0.5209951729937	-0.333791892616991	-0.26883954037062	-0.314545658932144	0.701201681944784	-0.599035971762582	-0.573999220897485	-0.363593000755011	-0.346221852992921	-0.574863519736662	-0.631989136544188	0.570853596488825	0.131170959744889	-0.336390591571959	-0.392716150443824	-0.361560208291341	0.276907886847073	-0.524063855178911	0.208932295282783	0.0690930209452133
CD69	0.283887340892877	0.746359807949013	0.696993308384523	0.631332376608263	0.33257138422487	0.489352471099189	1	0.472471229958572	0.551644012236658	0.527820922997536	0.753150109270499	0.373064366117892	0.513966259351204	0.660450009348519	0.577438252084751	0.500732352816229	0.638963236609566	0.380761857298503	0.556139693216645	0.581520075323283	0.651556099162794	0.714082912365434	0.17486998798049	0.744275331148817	0.673122994286823	0.840903383582947	0.596198510074374	0.762008294736251	-0.100620905914047	0.400890590342306	0.578974960592991	0.393573958677864	0.425215694837998	0.594670791699177	0.511737102707447	-0.0266373758613635	0.742672622246261	0.408422497012926	0.586755065019607	0.616732239436717	0.422932187949529	0.38128926167968	0.601943427631917	0.722863182504688	0.676444055395508	-0.220613015070736	0.496964727199063	0.652345164329408	0.306311147908124	0.422546916313655	0.708273367989608	0.571975855638257	0.274502141300005	0.811134605371076	-0.205255542652706	0.159657995688169	0.59454019946319	-0.271327248647664	-0.209036103555188	-0.0899539216180599	-0.285949894666054	0.275913497087667	-0.154490681566084	-0.073325026037238	0.0743776360876113	-0.0747001515045659	-0.356219437453357	-0.13598833622084	0.139246915253738	-0.119712230093543	0.395061920738869	-0.360414777631823	-0.413211922822435	-0.250224824748877	-0.185253189899769	-0.45086182542181	-0.588423799047354	0.730494026594403	0.0982099650723521	-0.144093316248056	-0.00497153663864515	-0.196465317699958	0.382900439145765	-0.302589739071231	0.701489032156069	0.437503055479479
CD2	0.0755108452291575	0.846960884673942	0.940862202849188	0.931722605773047	0.871131777718487	0.951376157085686	0.472471229958572	1	0.833400890048233	0.917710137975902	0.799189578628726	0.751272515984358	0.796577431922951	0.855988064105029	0.871652508853845	0.984727111481763	0.871524319504044	0.622520717959087	0.881984600388557	0.928497015005104	0.798126781584212	0.604115323621331	0.685568838348683	0.413105440082614	0.470390821126793	0.284994425747901	0.274955634259721	0.64519044799487	-0.0216663520123956	-0.0820639434703661	0.137204619662482	0.0964119625882782	-0.171705479981837	0.144572733416903	0.671127208252465	-0.218241222659044	0.109231080410605	0.912715245220751	0.86417631969218	0.204663765678025	0.898359427155229	0.328715773486273	0.657502507257033	0.200043018165233	0.273016551930295	-0.671395923245025	0.898965223699197	0.281300619814664	0.0848860711750797	-0.20245687781491	0.82175219195877	0.737286034913923	0.073990833444187	0.659386367388483	-0.314135489802985	-0.248546811759002	0.749940114898666	-0.207094107873197	-0.410404598106349	-0.372395686948144	-0.399033979175281	0.859792661248088	-0.426997803985777	-0.326554688497322	-0.246951078177739	0.197828451400201	-0.554027471836383	-0.405470065248657	-0.331342953556639	-0.383392220844457	0.71089511841171	-0.654725276589794	-0.611330775863935	-0.432049840503651	-0.428720371848676	-0.636073027334447	-0.636072224314038	0.547416138719774	0.0670285722727971	-0.394166150516391	-0.422599898200351	-0.430613822876028	0.172846000866009	-0.582615747329981	0.108080344677378	-0.0251438247205647
PTPRC	0.323039087968372	0.775054846425359	0.829179298963053	0.774441191188815	0.738338296928489	0.820300963638718	0.551644012236658	0.833400890048233	1	0.79070697401371	0.668289787379719	0.56468825822371	0.660206833000603	0.812265674729584	0.777371587830365	0.799304461060264	0.785560860332449	0.459238863272151	0.79891600263286	0.826302842634135	0.870710804986912	0.724339111409854	0.697468138000959	0.549463538893502	0.728944423471708	0.234484735457611	0.23941302748493	0.679899717598683	0.0762057683453229	0.319710176506178	0.541597723483578	0.502716891554667	0.20977452763377	0.448564232198233	0.762700636661524	0.288951788115179	0.0442372800614999	0.811298828066277	0.769712002784209	0.0941842235064082	0.793256396084792	0.480676723163034	0.768271386206621	0.340911419304689	0.342504308552609	-0.267883447391697	0.806072286635304	0.150836558786335	0.528176987043869	0.162928890297026	0.778653405309625	0.810081667972494	0.517267771314848	0.621312697447687	0.117073967290972	0.147107895022319	0.684114052864607	0.195253397397444	-0.0551799460615689	0.121314660797444	0.0657262506633378	0.758491466347865	0.00503501901614946	0.168111903215276	0.249000979238393	0.415766302451667	-0.174147874336283	0.0810057518732805	0.0622353412006677	0.121411991018675	0.713412858293555	-0.255470492922845	-0.24548315827834	0.0150950806535545	0.022881622597538	-0.409470045426103	-0.496809518225516	0.388780719356773	0.355620157717638	0.102201446591718	0.051042784398908	-0.00618036832111986	0.588093828078677	-0.127522937692919	0.382783878897227	0.374814979204322
CD8A	-0.0224867552018073	0.856191834410888	0.920524883364472	0.899635545611555	0.942656307335864	0.863090522488696	0.527820922997536	0.917710137975902	0.79070697401371	1	0.884140211291719	0.741755736978127	0.663137881175184	0.800913825099121	0.94860705682577	0.932031258698733	0.88283961484935	0.555924683329594	0.772047013503774	0.930776496001748	0.818627402320288	0.543853615398646	0.785132460499067	0.445531377499618	0.354240753793765	0.302584496775366	0.121406787886996	0.64919261565122	-0.149466755133456	0.0716620885134393	0.0784934667605336	0.0439352233650959	-0.214703471746984	0.161113971894224	0.643083535595338	-0.232051710141012	0.079321549325436	0.833285917607972	0.837281049866937	0.0974918125769655	0.836465142686392	0.202975042747776	0.539378267092414	0.110554100913504	0.110622570573552	-0.700225967809246	0.878197243707233	0.260523960066471	0.0682331208114289	-0.255646797310662	0.876078236079719	0.793505421551779	0.0496995558416781	0.637211204866183	-0.320802604607457	-0.293307782211989	0.631140626146159	-0.171948490707115	-0.459164014711113	-0.390272111362024	-0.410685780354274	0.807945350028452	-0.500148538110079	-0.379286277133339	-0.301008974521663	0.274552749152733	-0.563883050395945	-0.425354660312233	-0.338987269142228	-0.416104639998141	0.608356712704917	-0.662273055649406	-0.606016814297677	-0.445325034528852	-0.435539016037489	-0.627889321134258	-0.603022633675611	0.387163674371253	0.0166055110933123	-0.428195839600895	-0.450322522513227	-0.454431367263584	0.130136010594734	-0.603198013111268	0.0476483999869195	-0.105592106523348
