""	SDC4	EGFR	PARD3	F2R	DPP4	PVR	TNFRSF1A	NRCAM	TSPAN5	ITGB8	THY1	SMAP1	GPC1	LRP6	TYRO3	NOTCH4	CANX	IGF2R	NOTCH1	NRP2	APLP2	CAV1	PTPRA	CXADR	PLXNB1	NECTIN2	ADCYAP1R1	NOTCH3	AQP1	PLXNB2	S1PR3	CNR1	ITGA3	ADGRE5	HMMR	PDE1C	EDNRB	LINGO1	MCAM	IGF1R	APLP1	ITGB1	NOTCH2	VLDLR	FAS	TSPAN17	LIFR	LRP4	TNFRSF19	EPHB2	FGFR1	ITGAV	RXRA	SLC16A1	PTPRS	PTPRZ1	ACKR3	CD99L2	LPP	SDC3	TFRC	ABCA1	LRP5	CADM1	SIRPA	AMFR	LRP1	CD81	NRP1	GPR37L1	CD63	TNFRSF21	MCFD2	NCSTN	TRAF2	PILRB	LRP8	LAMP1	SORT1	NCL	CD44	LRP10	RPSA	C1QBP	SCARB1	TSPAN14	SORL1	CD74
SDC4	1	0.495766653303028	0.461588709604392	0.375038775372754	0.481451356720837	0.490418353396616	0.612774399767941	0.572405932435495	0.414971250662804	0.309723679988876	0.333646139379751	0.451355213565131	0.69166213724566	0.259320484996439	0.211519569941036	0.327250868924923	0.614396629770937	0.529416465403213	0.335283813951147	0.639841927927991	0.601307215498385	0.794218463064439	0.39215995737364	0.546888271465493	0.215096040542486	0.472971302236914	0.13900870983604	0.625344926852044	0.0975930195864858	0.644347109649592	0.792526854301549	0.512520838264271	0.722785615301345	0.441185464459161	0.268544543340303	0.514897130977332	0.142967565917343	0.178345786063597	0.143734994067997	0.565022275280466	0.530436130974788	0.602070938488191	0.431044990876081	0.608427328037718	0.578666392173569	0.47448336356327	0.200447096557347	0.175139488416084	0.460942749227563	0.458147536354841	0.751395978439859	0.374602568386646	0.572226578137805	0.739811332279289	0.306243846269635	0.261795078019398	0.209948066974866	0.40204205651238	0.607438220965124	0.291041559811828	0.52918537737993	0.588004099088862	0.298167114882452	0.409762979920016	0.335505541473658	0.57408130578328	0.414945913244612	0.444171434629176	0.757049243358714	0.110656392647268	0.537787855330037	0.346468007679174	0.582518110511587	0.51528739260654	0.396169154714566	0.335544976314444	0.329950524920076	0.501975782257637	0.398962099992009	0.413263892964052	0.459721216503356	0.501654617953617	0.438029636591185	0.393971343635702	0.715304600043547	0.427332989167242	0.462905648084311	0.46075438873321
EGFR	0.495766653303028	1	0.840423980439428	0.766584944794754	0.856414164623687	0.879345857596625	0.65967449590647	0.747074900858621	0.843212872175553	0.900836537616733	0.844676605899968	0.881691120554311	0.798393001986633	0.84350163187168	0.768743047892105	0.655489730912115	0.908862602929213	0.822198186578052	0.887517615174145	0.783382251114816	0.920112660572498	0.217269941523509	0.870031690997638	0.90765757011769	0.670834523005486	0.71883820445414	0.42671915555317	0.695669347217777	0.238685527377431	0.854292520216065	0.602571283174614	0.858960139171822	0.729249037496497	0.806634208776923	0.640988206038958	0.758231666273421	0.565103792309127	0.725036951108788	0.748196961762066	0.587341025520519	0.740024010958026	0.890582337751106	0.820109206883611	0.661094655715855	0.599532922352255	0.83463268638173	0.513240707812597	0.781786225836985	0.883287816256386	0.832950331916533	0.732355557846276	0.739468588995681	0.849284987619728	0.836538744617412	0.852946241643294	0.777570341994569	0.742307349819775	0.845999244531811	0.851548969776209	0.721555677229545	0.883492673756344	0.526043073286227	0.845013265275348	0.847053574132302	0.621754164750397	0.820244381418623	0.853792935325933	0.743325655646962	0.384994291237306	0.683282081049679	0.802266460947726	0.726398712145025	0.91661532567377	0.851271810276003	0.779703253220281	0.687834590815527	0.781276161289439	0.834026579421118	0.829759009384575	0.885417255596114	0.309101946365535	0.691520556444398	0.782273420477992	0.789316734781182	0.752516004783962	0.799439851760462	0.726876171317317	0.680201636940803
PARD3	0.461588709604392	0.840423980439428	1	0.69585579419937	0.791587041368804	0.759603198243132	0.632032377170201	0.682990557635998	0.804099885678772	0.804625758037795	0.704945667927151	0.824098744953006	0.716606099576014	0.766303109146392	0.673746942438528	0.650737229657296	0.825764269468382	0.790934806069952	0.835205832049779	0.683502520572612	0.839676104711877	0.214083636889557	0.803885959456926	0.777321151873549	0.611127081453016	0.619374334005291	0.399953012481614	0.665223201044498	0.227080881761267	0.79069945673654	0.524563539987339	0.771993589529045	0.650420010506934	0.72019446735422	0.697681845836296	0.698007786874046	0.51139268306402	0.595856548954002	0.667213605672766	0.549886313235937	0.679363924979431	0.805946669357635	0.780666727311454	0.58712095396446	0.600720293833541	0.712336109403076	0.467250678331106	0.707935894023644	0.813821855804975	0.755022885377588	0.65889034248218	0.669887499961043	0.795257788448339	0.785376792010035	0.78662423777622	0.701873282690763	0.678112345934252	0.764773810244036	0.767427320336889	0.657358508115455	0.776122689064982	0.478186074479713	0.750761041066697	0.771095566353735	0.591341965901399	0.774825529255626	0.78028559996299	0.67862343933292	0.326421290115233	0.5804120501916	0.708464947473201	0.656127976925191	0.822949328027605	0.78979677215015	0.7808631098098	0.736009862582674	0.726705729590999	0.757176769878892	0.794244082521415	0.811649587861382	0.330623126204894	0.621947093674787	0.698787199628141	0.686371594188546	0.602568391747816	0.78154691822072	0.650295505286191	0.619862775327153
F2R	0.375038775372754	0.766584944794754	0.69585579419937	1	0.669452678082153	0.72817350338783	0.818335049353698	0.872386233089718	0.659953860651548	0.791170492410095	0.677969477573143	0.864775381196416	0.814069118907563	0.799334217981043	0.893481624297878	0.721913118196716	0.882598006461052	0.801879458409341	0.816603235980287	0.855698377197387	0.867498487754078	0.275805224021654	0.941453301117925	0.616921966966018	0.889346345261586	0.818369956473634	0.826771107776128	0.854545880280748	0.641709727015722	0.826172610951115	0.524436967132144	0.869810418197629	0.721631021399187	0.490237261783343	0.391960632194687	0.708830693047677	0.904206419923987	0.470170466498568	0.700513515159321	0.599382471004795	0.831958197874858	0.694003511851213	0.903680976416158	0.77267137242481	0.3718810434408	0.773174699788124	0.863023523979972	0.664671277267312	0.767037425342636	0.772063298228585	0.524808271074335	0.929994498042496	0.840140666817895	0.69326060890783	0.738286298174238	0.871624520654484	0.809800891604772	0.888323450729926	0.769537301819043	0.963030382708785	0.761036874075019	0.736920189115006	0.697499425713563	0.930222252341218	0.919082273315276	0.890704411823201	0.888141949740975	0.866811401457632	0.272556619310056	0.882923935099506	0.620128253333379	0.948200881744344	0.853722934290457	0.87087739413047	0.504530427936504	0.511706956940645	0.56928916633524	0.910190059923215	0.918998763632751	0.68544608491354	0.599700408280625	0.862261732981663	0.633810975759264	0.594233061143167	0.647431094923463	0.708812186696201	0.907401177588843	0.631973025851468
DPP4	0.481451356720837	0.856414164623687	0.791587041368804	0.669452678082153	1	0.8325787499691	0.608525411694722	0.638226318143713	0.89068481793239	0.825045728438685	0.848998944327625	0.831432324750768	0.755537713678342	0.754792922846589	0.668792055608314	0.578374454978707	0.835344358932393	0.743512121660261	0.844015738192787	0.66893809258727	0.87392308124234	0.162701428414469	0.78718336344057	0.831511776413826	0.548100415488523	0.654185986845118	0.265130105527387	0.613552427301093	0.106769080262054	0.783122405961863	0.548302858045544	0.796240078530354	0.62907020293417	0.74043715785999	0.696410727175664	0.689907510643008	0.418660679238555	0.757206306099216	0.735209197771841	0.48170441514232	0.693904949527167	0.895351786672851	0.736847655315644	0.532185995347032	0.679632404676871	0.798239922168363	0.373023800368865	0.729297388330506	0.867931750097856	0.80937398560086	0.705016887993064	0.614347671876839	0.798109355082312	0.799209742697132	0.805767335957387	0.666611194624062	0.665944836654126	0.789708517770811	0.741313727533941	0.607891514323698	0.837583408851409	0.389639302730282	0.79956718685858	0.736817419623481	0.527043741806912	0.781294885665151	0.781961609625998	0.705490176785912	0.307267123604319	0.562586879798025	0.856683456635557	0.630260220003652	0.876212630552477	0.83942911835666	0.809878301048798	0.644902173107981	0.821754664385969	0.80560106988576	0.796691383848902	0.909400666578171	0.290965374826634	0.62610670179291	0.827237777014198	0.844596876588458	0.616031310843465	0.799758469863233	0.60628893018239	0.606879683634121
PVR	0.490418353396616	0.879345857596625	0.759603198243132	0.72817350338783	0.8325787499691	1	0.631602489830298	0.700274310566046	0.822845435583298	0.849194666312352	0.814773613717023	0.818980963619985	0.766678584237303	0.780913047370554	0.722406200635705	0.617905333535253	0.854403773699189	0.753212887242292	0.848316393227423	0.724476482794055	0.869756639940913	0.214648534724036	0.809263679202185	0.831020924230385	0.632018069290977	0.674405159941903	0.382852465237683	0.672526020618769	0.225323457573747	0.80417652243491	0.599669411718946	0.802250523766764	0.689686088574907	0.712649786603147	0.557274680247212	0.728808792342279	0.505714887565383	0.711343275640426	0.74999313339655	0.565018498902581	0.703341673263256	0.852434827297525	0.760305305114868	0.590183571633349	0.558646138819269	0.765745104720867	0.468137865337362	0.73441221234543	0.837537391396445	0.793246594801906	0.709912254261318	0.687026094830565	0.809320155061022	0.802787962668028	0.797235394558778	0.725614423582188	0.691888689047176	0.783584217344283	0.79630670059275	0.672115985669252	0.850796894682995	0.486347998342914	0.81682036466346	0.797591922489478	0.575519614232984	0.778371774621558	0.812079880413094	0.712791599313658	0.357000386805475	0.627420912519298	0.782847940668417	0.687495845786464	0.861655335591234	0.804791123031598	0.715026158452519	0.602880667967259	0.780353677257565	0.790989975779919	0.790567661214723	0.865354978903605	0.322474425632482	0.659191792090003	0.761003584783626	0.771173626590531	0.693531326440812	0.800024024241295	0.681059018505556	0.598240766829078
TNFRSF1A	0.612774399767941	0.65967449590647	0.632032377170201	0.818335049353698	0.608525411694722	0.631602489830298	1	0.809336410493358	0.551285278465807	0.542092235229274	0.605383542108278	0.773086633098744	0.919110401896768	0.515575526531872	0.716064007002505	0.677799836725425	0.80800963941248	0.71208904231352	0.626730388677359	0.832066349959157	0.801605633773153	0.541466056331072	0.772617337663831	0.588726323638947	0.737976965667662	0.893147801496718	0.668888313737546	0.864061354290837	0.546733858891521	0.831984731690894	0.551607143933242	0.726635335368818	0.794341401390658	0.490970098393109	0.32636503180065	0.634414589938678	0.680791421106021	0.310041999001106	0.463080884600227	0.552372930806144	0.897204722091452	0.694172193120516	0.76706393437307	0.828870127883809	0.392414906693052	0.763235335302524	0.682483995251188	0.382467328818837	0.620834451199238	0.696721245047647	0.500926308756444	0.78975063379783	0.802764500131072	0.666125638115644	0.56457674059553	0.62883834798057	0.667346870237487	0.761181557157562	0.666604484767375	0.801521798057066	0.622070892794647	0.732341856064971	0.529614005231128	0.799252804860995	0.818920825020657	0.846627773945471	0.734836747768334	0.915011571644468	0.475072200028525	0.705167724065499	0.684002969372547	0.84456124965145	0.822660173842239	0.850978377187986	0.48520686404928	0.405615137545877	0.406410074308172	0.894889725049928	0.794481223034482	0.542407159498109	0.766058074563636	0.913746825318932	0.639289476777539	0.578407832707234	0.676234867388452	0.599432550968751	0.796934480349172	0.707193900690941
NRCAM	0.572405932435495	0.747074900858621	0.682990557635998	0.872386233089718	0.638226318143713	0.700274310566046	0.809336410493358	1	0.520366708115259	0.769073875230865	0.50233002765575	0.76317450989414	0.82171349572069	0.77729212822353	0.780585518385519	0.651272552055264	0.898695973035968	0.865206893898088	0.743945135445166	0.925041586215268	0.863743479893509	0.489129814257009	0.886327806499993	0.628738534126591	0.778543770213368	0.74298293361612	0.718908143309037	0.905989247289649	0.522889189665243	0.854252867842957	0.629488558891406	0.905701957745804	0.817039521591782	0.445105050838197	0.292547567171933	0.817001598652045	0.784072615538729	0.322071900315875	0.569725055745198	0.840837116044112	0.760003013456374	0.725078968333259	0.897250088067394	0.896400016008026	0.442055420158482	0.709350072326908	0.826890695801889	0.626178156298347	0.723277276833117	0.648933997183487	0.640276713758875	0.932682774628453	0.808734075123208	0.749885043380825	0.629185107174908	0.868461184401774	0.676254445797585	0.813405229983103	0.909097152337023	0.853377134539759	0.751204461223664	0.883356977343188	0.638747589657027	0.834848926699092	0.870427846802575	0.846283707448583	0.882564356500029	0.728981775711075	0.550195253219812	0.686919158767989	0.503270666589511	0.862222523138959	0.816174357112182	0.785549543906277	0.410851834525135	0.557865413709675	0.47795325474132	0.842324417700992	0.855971206892293	0.590165148705015	0.721074727296058	0.874436151771419	0.456274338265429	0.41723941751771	0.707112010012971	0.667626834434771	0.903395732728636	0.633934735002895
TSPAN5	0.414971250662804	0.843212872175553	0.804099885678772	0.659953860651548	0.89068481793239	0.822845435583298	0.551285278465807	0.520366708115259	1	0.787551019043181	0.904255222319084	0.869683158764041	0.70150172166298	0.723607615929756	0.643213006880551	0.559309918008055	0.801474895756824	0.669356793517011	0.836775934928875	0.583159937429513	0.835032013911104	0.0718020032974092	0.765321878143623	0.832991536434165	0.510108617607444	0.595309594126461	0.250260142595888	0.536376873568343	0.109275469777369	0.728763846857553	0.526551357170086	0.735309469680735	0.545845948110788	0.768530580992622	0.788606473950776	0.616451704165201	0.409015388968907	0.798056844809893	0.746145771351712	0.338041348182078	0.653036068287658	0.848339568973438	0.681168553826475	0.409497071113928	0.668218320945195	0.772480629354725	0.310055093272769	0.706089136625515	0.878440241534591	0.861149991774038	0.700478222058057	0.530780244574666	0.794122790423183	0.809366914438456	0.808694833099302	0.60620747088738	0.678327789989954	0.769030996609718	0.648709848740617	0.589178398211319	0.82238204621194	0.266599818202364	0.791926331997436	0.736729308641865	0.473757929146403	0.752844135332835	0.716881317962766	0.714931572602847	0.158881895916991	0.562725108960746	0.906329928761036	0.590501509354884	0.845201014537608	0.820958539546797	0.872805547051604	0.623063504950504	0.879350826626751	0.76313090667397	0.75570882331691	0.967078695276292	0.127490247625382	0.509434784164874	0.9164703450543	0.931459674651528	0.584711631586697	0.794019364532947	0.545803693455487	0.552920926389549
ITGB8	0.309723679988876	0.900836537616733	0.804625758037795	0.791170492410095	0.825045728438685	0.849194666312352	0.542092235229274	0.769073875230865	0.787551019043181	1	0.758919251877117	0.835564878598141	0.6665130529539	0.943493876108839	0.832258791764967	0.61167375143454	0.87150572415695	0.815319726001887	0.936050226906324	0.714806218915898	0.879067538150625	0.0401189775082892	0.910428769413585	0.801247125609696	0.709551188718947	0.601762081513459	0.472498305147955	0.667045340764962	0.242390961815137	0.771027646361563	0.468750716463034	0.882892483292201	0.607455610454887	0.682770817913418	0.581288380163843	0.778566263515262	0.641174411151554	0.736807411931998	0.822282267829541	0.625237840405919	0.619652573506874	0.809256772483721	0.865232486435974	0.573305062202732	0.497627591509811	0.76120418043054	0.598587734359229	0.915004248499813	0.887083695931304	0.748194228810361	0.637410321491426	0.786645434399155	0.779598294986306	0.754881637389359	0.850244389190134	0.910820046725889	0.768475979520586	0.854729302197458	0.842866556777971	0.770544253597325	0.879109040393686	0.495596013411071	0.878460180092989	0.833928018051141	0.655951310655442	0.775141697984704	0.925036571038314	0.652368914492012	0.230739112567382	0.722689317114792	0.637121493466267	0.737167175682604	0.835146367860573	0.791221740882115	0.673889023816516	0.66512970454053	0.764562834308266	0.778869619205331	0.858717262955156	0.864596335298261	0.278103348306603	0.650293057896914	0.637596385746155	0.655610072718104	0.599471382155195	0.816375230178767	0.719712721677868	0.565259646422036
