""	ITGB2	CD4	C3AR1	TREM2	PLXDC2	PLAUR	HAVCR2	C5AR1	ITGAX	CD33	FPR1	CD68	LAIR1	TLR4	CD93	TLR1	CCR1	ITGAM	HLA.DPB1	TNFRSF1B	P2RY12	VSIR	TMIGD3	ABCA1	CD163	TLR6	PTPRC	CD81	NRP1	CD36	ENG	LRP1	ITGB1	TLR2	ITGB5	ADCY7	CD44	UNC5B	TNFRSF1A	SCARB1	RHBDF2	APLP2	PTGER4	MERTK	CD74	RIPK1	SDC2	SORL1	SLC1A5	HLA.DPA1	CD47	LILRB1	ALOX5	STAB1	AXL	C5AR2	COLEC12	ADRB2	ADORA3	MRC2	TFRC	C1QBP	ITGAV	TSPAN15	LILRB2	IL6R	RXRA	NOTCH1	TRPM2	NOTCH2	CD46	TNFRSF21	GPNMB	SIGIRR	TNFRSF12A	TLR7	ITGA5	SORT1	TNFRSF11B	SIRPA	SDC3	CD180	TNFRSF14	CD82	LILRA1	PILRA	NRP2	SEMA4C	TSPAN14	PTPRJ	CD40	INSR	LPP	CD226	FZD2	ADGRE2	CD63	ST14	ITGA4	SPN	KCNQ3	IL2RG	ITGAL	ASGR1	ADGRE5	CANX	TRADD	GPR84	FPR3	KCNQ1	SIGLEC1	CD9	SELL	CD69	CXCR4	PLXND1	CD300LF	TNFRSF10B	TNFRSF10D	PLXNB2	SDC4	STX4	RYR1	SCARF1	CLEC12A	IFNLR1	FZD1	ITGA6	IGF2R	P2RY6	PDE1B	EPHB2	PLD1	THBD	PECAM1	TREM1	STX3	RYK	KCNN4	PLD2	NCSTN	JMJD6	PLXNA1	ATP5F1B	RACK1	SIGLEC10	CADM1	AMFR	SMAP1	MCFD2	CD7	PLXNA3	CD99L2	LAMP1	PILRB	ERAP1	SLC16A1	EDNRB	PTPRA	LRP10	RAMP1	RPSA	CLEC2D
ITGB2	1	0.904623932715118	0.6446008721019	0.531891140157666	0.823753231258939	0.585076567442166	0.90269842685571	0.793184834658549	0.675314631818419	0.862961108769841	0.386179696399099	0.884073050837078	0.933213666503288	0.829675586073574	0.427770098570492	0.564434228750767	0.810889689299667	0.624158088032246	0.0311208554137362	0.599484153793593	-0.0384960153421726	0.0640510488532935	0.913925360822668	0.821445127845919	0.862671280073434	0.637753633771356	0.599120857958153	0.803313026630101	0.858593721184546	0.731863405171954	0.889110375302048	0.864856947619186	0.882130654366372	0.647857905186765	0.917553873377234	0.877965440611983	0.642871681973775	0.253625284153125	0.937176548411206	0.910184331761274	0.460753027354234	0.882612677592971	0.485240480315067	0.821157829459808	0.244710949384371	0.672752723088418	0.651537649834867	0.248593565700719	0.128291730633509	0.0584993294673375	0.875365058916232	0.604143684558209	0.852129008614842	0.849602457310504	0.314938923003487	0.409068261210584	0.792185528721485	0.219789104956319	0.864592977526893	0.374763870662715	0.838231667357889	0.841526176823984	0.824773050420946	0.712180015549799	0.374554852746729	0.82603666487875	0.737874389173858	0.769108969965422	0.831612611241878	0.773844371829073	0.922687490129955	0.796444825793039	0.825569199251128	0.786389529739233	0.524167597011283	0.327601438475166	0.754146941975584	0.705960216414974	-0.0590409443601775	0.944370332712267	0.831177946070824	0.924213775134105	0.907245615198735	0.737099755521181	0.0650781553402624	0.618424924483483	0.835133841310825	0.627230226679753	0.946366468966476	0.902639704275678	0.340333200998197	0.496968476115969	0.868006508880239	0.665957323986367	0.811577215188316	0.394730085189067	0.91323863193581	0.785465360037755	0.682035248457413	0.858418371067692	0.235126678669805	0.300187633224304	0.405413478357147	0.660807741151213	0.467081603006171	0.881458659115963	0.827516620699119	0.356568130603709	0.794674663577186	0.694982100362787	0.831489947190424	0.816754993198241	-0.105445445919426	-0.0345419120604041	0.151879968294993	0.851147723427424	0.738787212690412	0.305570798846774	0.46040408361088	0.931113633361504	0.683694063752015	0.32443266114268	0.117135375411533	0.611450047046142	-0.15088447242358	0.347895326896426	0.198501691739335	0.803348823414217	0.781605566947535	0.552576376514066	0.753105645669237	0.814427146355431	0.847998088937696	0.639716289360121	0.854353214633323	0.370796870977462	0.755057270854632	0.785617387294366	0.8202810693135	0.681679734934011	0.908721431231816	0.237027975283972	0.879904857204125	0.937930317110178	0.529536790332764	0.608184153436114	0.9069527879743	0.812038272324444	0.879544688387509	0.88985413217549	-0.187844631674896	0.752559839441509	0.860868165341803	0.838901313758532	0.673121900205143	0.783621337172856	0.622324077265689	0.598341780845673	0.838334001741628	0.914203710531131	0.0362685192956095	0.648910650966148	0.22824591653224
CD4	0.904623932715118	1	0.741320614904317	0.673227719939962	0.868164264823598	0.546084395368295	0.861081326701707	0.617954554756201	0.613583755288834	0.832675972221971	0.336893807244601	0.682058198063918	0.802554995420121	0.705630981507339	0.344991785283014	0.715166200986055	0.577709874765057	0.767927737045807	0.173884711280743	0.491304687843567	0.12654035647326	0.185148592572792	0.810689685476332	0.668674582878803	0.742568620077232	0.609288207831457	0.58832013596496	0.840863017171094	0.76938486545145	0.446573991249315	0.796492533850627	0.756381322589821	0.723430092670071	0.647899386444474	0.77245991377077	0.857259643390116	0.406434341365707	0.501107665510579	0.894391791047779	0.85669808949839	0.605480170105723	0.680222592828147	0.616375726157405	0.839880758465657	0.419007105714535	0.696870875723283	0.361347572467259	0.371054314090263	0.301565909278257	0.209191258632295	0.673888279644211	0.664489880332247	0.701615236486863	0.802361351238892	0.523949136995053	0.205029813153238	0.62838309469793	0.376983669101403	0.9219799867476	0.58623936603744	0.659639073485306	0.725773591461133	0.897130814251282	0.876906213625283	0.235049359657422	0.648216420382265	0.572789580569461	0.634806593622105	0.922936377685893	0.589257756464285	0.8070422323057	0.580089169900367	0.629322824376703	0.638522813772583	0.561770233820464	0.562465523424882	0.557567903871448	0.678039172761803	0.123415335570119	0.797324291908679	0.75526352138889	0.791657218719411	0.782768045403137	0.5000071307481	-0.0071623241984721	0.652556766159867	0.820971841658604	0.781125577616226	0.852832041130437	0.8599376320109	0.470251165402953	0.397202292257809	0.768495728854602	0.478857998188667	0.671867904240366	0.365240236360242	0.713598821456287	0.561399396474552	0.681876156067056	0.615478275566199	0.45303624363888	0.292744175645755	0.338970510018027	0.391300606857175	0.440867689432218	0.7210327940908	0.746463839263983	0.486428013134311	0.666550627970782	0.831544709874871	0.737073758002241	0.802630886602327	-0.207380325058201	0.143079764696602	0.231119696501986	0.775508589703426	0.556166427361194	0.457396834066737	0.465298495581318	0.925421087291678	0.430027051370042	0.410566943646685	0.278075932822136	0.724525298443012	-0.265555260131913	0.432623627399398	0.406725235217264	0.843494777553708	0.55345895223984	0.701082480722088	0.580345636067838	0.797360139755388	0.773978071561694	0.398345620570451	0.760184067834344	0.164894004732889	0.564608307545883	0.750516708233082	0.814425617264367	0.782118962488451	0.755523936506789	0.310142046511422	0.831428049025744	0.806657619533327	0.537798598431239	0.651071506923144	0.861232374409407	0.625024989422637	0.743643706767978	0.690239621452105	-0.0712737165696871	0.597772281326963	0.754813033461434	0.608608513015151	0.605606104437902	0.645942345698761	0.648134320050212	0.423024597546668	0.789762285046516	0.797492919767988	0.0967259486621678	0.60456225510191	0.296738549840484
C3AR1	0.6446008721019	0.741320614904317	1	0.898029139730029	0.840520798929589	0.710840122808781	0.808237590544528	0.50637427219479	0.725413809363312	0.762671354606062	0.646180372300678	0.330348627420477	0.426606070371675	0.26724512716749	-0.0541402172965737	0.72933860923688	0.27227973628441	0.767956775513664	0.683285445041435	0.478869769288357	0.652471459619395	0.660964816457052	0.681201960539802	0.231307648017707	0.341025274313056	0.548008461562339	0.769246008770217	0.915924816433486	0.279390770096604	0.192432101566243	0.360344459935801	0.291435417483162	0.467404660806314	0.686470287784024	0.445314260382988	0.763048903446999	0.0826137357038901	0.774260353952216	0.646780895235074	0.473004196098694	0.889797598936385	0.320414353023619	0.733373610037313	0.568581844735077	0.846654865875294	0.778218406945248	0.0446152956753194	0.778218540421274	0.777734112423362	0.717168117353192	0.36908433814204	0.632592061995532	0.646541641956496	0.2935094781661	0.851391203618861	0.0730958042041128	0.15213134451838	0.739633630704101	0.8130103443438	0.629699791179783	0.517955369595837	0.696834669142441	0.745290822707976	0.617884634902416	-0.120774890350021	0.33946686026428	0.113876580522438	0.459751825489154	0.755087016346332	0.256332705345173	0.550961072816901	0.164907534376578	0.219273622114341	0.5653190020424	0.669853304526056	0.781072112468161	0.211446045241051	0.763166960840119	0.657394844581003	0.485801192384005	0.245028882073981	0.475724176557106	0.430353067356602	0.0867894275127867	0.151394553876745	0.923699295866965	0.694757950635059	0.787812287639432	0.615332311371732	0.703055682841884	0.828921601326426	0.242099014946538	0.427427772469302	0.465452128305768	0.330199730011031	0.542514119084279	0.441841902968358	0.14732273775838	0.141887132911764	0.387505682495225	0.680402572579108	0.279627249850485	0.484326143854849	0.00458645275157798	0.558494458048366	0.344267735722991	0.707285250702464	0.783359417580957	0.20376502422383	0.751263690701153	0.233893908153214	0.60496579178539	-0.0927033770257124	0.655364075945558	0.545819106610406	0.263963006434938	0.259285874284428	0.802879238644916	0.606107001791311	0.65469404646079	0.0972691401749468	0.798494608657339	0.701359273976885	0.75995868690884	-0.251118932018573	0.696515257645843	0.759203970951351	0.552421409701393	0.127884679754441	0.710629001860707	0.415946861572499	0.29862088985941	0.511337902531909	0.0373045306337961	0.393774343785365	0.178139778441535	0.189164525374906	0.476698488893176	0.535499512833281	0.770841966555974	0.373265040989931	0.699120756866156	0.504140578626793	0.642811306048487	0.812761309891756	0.92303717180817	0.55923701483143	0.199339522892221	0.529141169365314	0.412280345840992	0.365036355694862	0.443986651935776	0.38227586898476	0.281326750493816	0.377857675940562	0.169168660431044	0.607180994009659	4.44328961908231e-05	0.647170889315384	0.631763555023965	0.208173887063821	0.734789640116791	0.134955307511347
TREM2	0.531891140157666	0.673227719939962	0.898029139730029	1	0.747553336599303	0.522752545958243	0.733397159328701	0.262033383267643	0.597705916170817	0.664333848703738	0.567341861254754	0.14474295326216	0.252747548154505	0.084436598483419	-0.157531963601141	0.72882492629221	0.0588596543583671	0.74804012303869	0.731163411468163	0.309760886972276	0.736240398230384	0.741312508707857	0.551655978197966	0.0404135509017671	0.148267692227117	0.475046707982212	0.659103584672723	0.879407153548118	0.16542163060287	-0.0049355911198925	0.225111044892102	0.126227812907162	0.3149110454141	0.574900770487821	0.281513484304939	0.601095459785692	-0.137825480035267	0.837798661562499	0.510693909008225	0.31511788645026	0.920307222671022	0.124810620936943	0.698643841925514	0.435546753103442	0.881770356589657	0.634021137774279	-0.162678718741137	0.819004480194238	0.78539138408592	0.775250070690991	0.189359040119641	0.524862980353203	0.493285748732881	0.159706227212327	0.916764890727371	-0.118983895576144	-0.0304911957661131	0.789625454631132	0.753135299557104	0.711641363156017	0.313740727920941	0.611948747650721	0.674401322441833	0.617818574727126	-0.287040154665548	0.137083803850023	-0.0668999865199092	0.210687051915455	0.690837826710703	0.0394071187909388	0.391237781397934	-0.0250845119806355	0.0247700204483734	0.4700650588841	0.721726375274095	0.836427552340001	0.0177290591035877	0.703752679854296	0.62937069740936	0.329492604267649	0.100636183266257	0.342729529882551	0.255695190130035	-0.108868294272905	0.0568453786322612	0.858556584805632	0.512303248222941	0.770914645734886	0.453900258443336	0.572683743672697	0.868005226520032	0.166868190018214	0.309672120043348	0.320647236541449	0.176124789833439	0.389571350332954	0.272453924223789	-0.0501261973647011	0.0642735458889775	0.25970370483929	0.766305067260017	0.241696279294577	0.503898365195762	-0.206588079074091	0.495380685451888	0.162758903941085	0.649529350329752	0.684664763595101	0.0273871936455591	0.730174846624476	0.0768681973655286	0.588760746371545	-0.130021231317143	0.660374365793138	0.525384163017971	0.115251984435451	0.0565661081574606	0.785845500443995	0.451046892433517	0.543407919700537	-0.131674170306477	0.678846568288747	0.700060480065993	0.704459165224275	-0.304499614369455	0.711269371775582	0.716701927705933	0.502202818938095	-0.0720961904780999	0.745153501731949	0.233667024349045	0.186931332453928	0.357864374187976	-0.147621122699994	0.218246766308717	0.0289167999218144	0.0122433903294129	0.399709138367111	0.484996163809941	0.705802610964425	0.200570723615372	0.615329521058822	0.380828301797565	0.508883332914132	0.790148761798181	0.853839578719486	0.478666945294489	0.0283796325775849	0.39483636334766	0.245087706712915	0.477133406434563	0.295285100760415	0.194977114068127	0.0733398743238871	0.235648799090857	0.0101845522423321	0.52285067318139	-0.167022978000607	0.538896548070629	0.480706864114145	0.373011322019356	0.707895063938054	0.147172302042541
PLXDC2	0.823753231258939	0.868164264823598	0.840520798929589	0.747553336599303	1	0.658901298412731	0.91835741897707	0.668085463099975	0.80311610512435	0.787785519288413	0.543323797156063	0.557523128368194	0.668602995125671	0.596451212588598	0.230900591560933	0.85150105247361	0.514110553467748	0.819439443639518	0.359407780348774	0.671907097974116	0.386402992562847	0.345548583163093	0.768921037508565	0.541343376731199	0.641229398141612	0.773947547821441	0.830320921344368	0.844937192367102	0.615017213837288	0.371200252433211	0.661180483381991	0.609654190094216	0.732043738796975	0.837417568018623	0.662496548583821	0.9001940066657	0.371518420902533	0.66198706177709	0.810271561541948	0.713670248056619	0.793281315665396	0.592174490690789	0.778069031740608	0.831723800582427	0.593453963117826	0.85027435265769	0.294495929742244	0.650131305552179	0.502417207233789	0.391599781132395	0.618308760775448	0.771003423777271	0.772886229334774	0.598167271282503	0.662610385408145	0.260013580991096	0.457013491253654	0.580035707288057	0.89020686969035	0.661703762399557	0.673773214298769	0.769943691059214	0.929247188792761	0.72566493627637	0.138007394154478	0.625624784636175	0.444709719918245	0.692236579138946	0.881975933848092	0.561335858901604	0.812987706266415	0.451401105270484	0.482064319084746	0.633904737099864	0.646169860131612	0.683272383245959	0.513682823959012	0.813781673448158	0.318172788206408	0.743591460526133	0.526211198382669	0.689986318558011	0.647539668971511	0.380154557184469	0.15889954286007	0.771813854281327	0.828265126649951	0.80484968201628	0.848001580117877	0.907336030594712	0.549091656748942	0.428656003661974	0.753574160289705	0.580141800844084	0.55556757068084	0.597390808535009	0.629294942357478	0.42127099512725	0.48033092340948	0.60778125430522	0.668275112563581	0.369805291277773	0.546266230171569	0.25803897331839	0.671250374684222	0.638314948295375	0.714453565448333	0.671275944716551	0.511054553666426	0.782285439940272	0.516203596914231	0.811407594815767	-0.143912016460337	0.35538360402239	0.438532192312329	0.569891394459362	0.430797647726151	0.628096137865115	0.669441415758729	0.860573127360559	0.369895829817145	0.628949920705598	0.493947105801036	0.827052154161918	-0.224341500619626	0.686406997001822	0.592596093775208	0.761527318822694	0.423977552649553	0.633971490772788	0.633427726018885	0.618626804718269	0.745889357086599	0.326841986019186	0.68897472743357	0.295475702294848	0.501664849933663	0.753548422158715	0.719462825671906	0.83730747679606	0.625876431432253	0.568046554501093	0.770452694232164	0.763980695665722	0.658599892530034	0.830173789901205	0.783413394659192	0.519080438901213	0.766815938819195	0.658128258412848	0.0772384862985161	0.629857688210134	0.640067522920111	0.507220154759707	0.622570688116225	0.511811520583826	0.710506805778627	0.307433639912229	0.829620130085388	0.779777948532539	0.250846110645783	0.679420778860004	0.361471272944201
PLAUR	0.585076567442166	0.546084395368295	0.710840122808781	0.522752545958243	0.658901298412731	1	0.705796925528691	0.812746044961472	0.892380163793618	0.631611768587959	0.695007112585644	0.469963684338686	0.465914964386929	0.333548890979939	0.067624538043804	0.375460595729921	0.508079964176082	0.536552889816338	0.331099599637329	0.679406981714121	0.334309880673366	0.219047035254966	0.688811091802555	0.407270390916456	0.453951755174424	0.392325678423501	0.633795400602205	0.649065181488656	0.350602174974542	0.418681786698465	0.414072976832636	0.387538937032746	0.586903649949128	0.666641947879452	0.519888583342457	0.655357738196017	0.438727685830646	0.440483498278817	0.522470112878755	0.476393850144014	0.565720652826128	0.511810228484183	0.737449991833345	0.491625910054054	0.442625568185766	0.77846892739581	0.361758292432166	0.407050184816249	0.505190765543248	0.342143842394783	0.525866752121185	0.43913827428856	0.638060874906804	0.325731232855986	0.39699772441531	0.394111935174951	0.344966973359399	0.47481635908698	0.505760495236125	0.408581326385622	0.740067731713917	0.650506788019532	0.62647193821459	0.320803046265741	0.0568739574043453	0.581015618860475	0.285867106846469	0.62657525706617	0.580303831485116	0.441899551570554	0.609090283791308	0.38051130622275	0.393212067410584	0.480116931778766	0.628019187897543	0.280832312801702	0.489077974939396	0.624094781261813	0.466159027880898	0.576597179376033	0.297120590971794	0.484516480696272	0.511552387038178	0.338606590240901	0.178441671240817	0.668148543529564	0.801740694385844	0.439025594734147	0.616182251101347	0.640594090708636	0.548458662897242	0.253024623965402	0.46667401586562	0.619075345556949	0.326836320018581	0.672413228135406	0.557310692954153	0.369522575958543	0.0989794775370406	0.53760091074463	0.323525007308676	0.301848081543177	0.383765852897397	0.2717751199362	0.663137578726291	0.483606024383419	0.518330431238242	0.788335859600076	0.328638637578104	0.495398590577099	0.2966171073578	0.532600436254638	0.0229280090711711	0.535404055216285	0.482917148731657	0.321777796474693	0.359307849545255	0.71675330827777	0.690046413134917	0.559280520197031	0.428935906042902	0.831982648001261	0.521407036295016	0.616632969643895	-0.13528256268731	0.676177306894194	0.555959219983791	0.384806374333646	0.358569749611	0.260150942691297	0.587635708971967	0.321773829305283	0.50387936686942	0.389450145365863	0.405538122264333	0.622712526672107	0.401990860854672	0.477527825388518	0.401868249418702	0.585979668477797	0.449269552578787	0.76876968440776	0.528391050894166	0.64253668843652	0.564390604478598	0.732002262051898	0.510239548479262	0.356029982190266	0.597264921427838	0.553384561731948	0.0517836150224886	0.644437516948145	0.458816899362637	0.462191406864732	0.400462847959081	0.306165445447332	0.617920561397289	0.271839147525488	0.604316983403731	0.642086635891935	0.22554716580389	0.566605443071022	-0.00353340192450732
HAVCR2	0.90269842685571	0.861081326701707	0.808237590544528	0.733397159328701	0.91835741897707	0.705796925528691	1	0.760590158890268	0.835704757355852	0.856236854431875	0.545053347283287	0.697538691111042	0.766845225500517	0.638391812356651	0.221916993100944	0.701858918309354	0.663683387152319	0.720643834618028	0.292503660229341	0.656152484105746	0.29889776423319	0.305505534565191	0.894520346302754	0.640449931635721	0.696212769074674	0.704712309570638	0.736388340651204	0.885690140181157	0.672511458168242	0.549888093264431	0.730318154805561	0.677203263325101	0.810820820612185	0.757234423075761	0.766542175593748	0.885547574499079	0.474813541545568	0.493143273794221	0.853743527367653	0.768859816330765	0.72108771898157	0.712941338579607	0.676878248889076	0.789355560692101	0.508208395578984	0.797064662296559	0.471649021424796	0.553035311303821	0.42605563262426	0.326783322349062	0.736243333368692	0.665493508555262	0.83348795028907	0.6433218824846	0.546760451558122	0.334527457473294	0.579239702035448	0.50297401588265	0.881240435498566	0.556741613273726	0.786359762170873	0.853025007188035	0.87836347642859	0.646847151839019	0.158321759859872	0.71146361241991	0.522261586147124	0.679621352916093	0.867648987978116	0.61649889135181	0.842769406424074	0.592320700161524	0.61806837453953	0.728955149709186	0.686991608350487	0.516959678863303	0.617619689751986	0.826649535037831	0.226367331340803	0.832621883608562	0.596896277949853	0.811370035122842	0.75096779725527	0.527791396667404	0.113303000342476	0.786305229047115	0.861923883321084	0.711361210043231	0.891744142218462	0.903091312949278	0.543714470928256	0.410022543744937	0.790416328069559	0.682471770646176	0.63755838336031	0.536586391950109	0.775267041024825	0.568631320769408	0.429676364391393	0.748435862251433	0.492240346434903	0.334881957879859	0.510914213104009	0.397642602508548	0.649052386534655	0.72660853413717	0.78881718251249	0.593255114653171	0.588252494695007	0.736225184654511	0.59390267863541	0.838089096541011	-0.169767143906932	0.274626110293724	0.371153902182655	0.630251285755682	0.533922175130192	0.564629210643683	0.625161057154885	0.868565789040391	0.495158191848699	0.581512882411372	0.386806349595968	0.710706877919084	-0.281272737094738	0.608170630992553	0.453618137905882	0.721775936958168	0.559613774809314	0.583536706845641	0.726487068173217	0.647492895798469	0.783893223668532	0.455663841020397	0.691779286090545	0.409695333395891	0.594240284796081	0.758767834011553	0.738681511938375	0.773672137812069	0.721075336601531	0.512372617989514	0.79884289092063	0.863972419451334	0.673439828508918	0.801507593200517	0.830754690653504	0.622521002760631	0.829303844627694	0.781836641705996	0.0269774928113648	0.752893143847398	0.704288457627815	0.658045287963275	0.633952987975755	0.593456054897676	0.712175306996481	0.416441937769827	0.822736273993214	0.859860705445183	0.247068186219906	0.725225036317032	0.274573306156441
C5AR1	0.793184834658549	0.617954554756201	0.50637427219479	0.262033383267643	0.668085463099975	0.812746044961472	0.760590158890268	1	0.825598473182647	0.676518866369161	0.531346390272935	0.823217991399244	0.797416832273494	0.733922531963424	0.4221648254777	0.334881572398821	0.873944349426932	0.440457012933369	-0.102994038974455	0.791411614328998	-0.0952962516368198	-0.124901903986037	0.824956273897748	0.788641093073842	0.81009650333468	0.528893822530626	0.573147228580421	0.556221426612347	0.701454072798794	0.759355972983426	0.758210593813726	0.760116192870926	0.85961474391605	0.691549538127324	0.800364851520282	0.737423105393012	0.817444951299964	0.105054136356911	0.735205848504074	0.74009126501089	0.302781991943296	0.875150508337177	0.515713517817694	0.705400797106041	0.0676267268097433	0.708101922142074	0.770828884363507	0.112378889799072	0.0815431523557726	-0.0880436875621393	0.856601968278549	0.517217324523465	0.803974351040967	0.676390300572506	0.0716647529680837	0.687714303026027	0.738223619389123	0.161449416708376	0.55068324559192	0.200551005175634	0.920447430768632	0.724611371484332	0.677655698301167	0.35847416923985	0.453149137982913	0.903731490760197	0.716769962890603	0.854041019903526	0.597063442267009	0.80009480085179	0.846192835026049	0.777415925396714	0.769264577096011	0.629052448554034	0.477177692209266	0.0348394740684188	0.837939579391483	0.577964356780594	0.0076251557267916	0.868515273645059	0.649160047187349	0.753394832686813	0.798025800468615	0.766165036805642	0.230879417213668	0.491207092082726	0.850645741679616	0.356680851973156	0.845123521302474	0.79302517527975	0.207083331953568	0.407069155473525	0.758549375797597	0.754042411626786	0.672255506139811	0.624282795055441	0.856120835059437	0.779685736542912	0.432309741917618	0.80683897718891	0.0606201347279936	0.297076687122955	0.319427486382167	0.711286955261968	0.61052155520914	0.843787295209499	0.594443118192574	0.478514330943453	0.722994340699876	0.438102599858894	0.658094428576894	0.641968273558877	-0.00513892036623391	0.0490881379553704	0.156889613071566	0.682014538214207	0.6699885739732	0.338528166895486	0.623089791550613	0.734222813072651	0.811818081336682	0.496606965155066	0.126564239623979	0.520184170844246	-0.0681669387009182	0.420212403695057	0.189140495599415	0.539496836616384	0.779832104085394	0.171833114012173	0.833169134166568	0.636402348064442	0.741573318335451	0.779223847595735	0.734726111260043	0.729811695655048	0.792953235419704	0.662464063811239	0.575524575978063	0.529832099470953	0.793214170089724	0.442256765690465	0.738058729146143	0.817620899366801	0.3734101084361	0.5422381292869	0.702499912882517	0.748668077950558	0.833954986776809	0.865072777976685	-0.337171361779909	0.81044522910938	0.758100691963036	0.81949234049218	0.627443744100044	0.7149278863117	0.615683070095733	0.684435747101688	0.734113112859598	0.830482825283304	0.0602294095103342	0.484676894898836	0.0782321919502281
ITGAX	0.675314631818419	0.613583755288834	0.725413809363312	0.597705916170817	0.80311610512435	0.892380163793618	0.835704757355852	0.825598473182647	1	0.638968196093132	0.724470266395711	0.510946003236674	0.52946579465886	0.432036956351749	0.145446031444277	0.55669673910664	0.550994952585478	0.646402014387586	0.269334096695332	0.789581784006347	0.378153411316048	0.226829990514503	0.714535271630929	0.450591886451938	0.509702655856992	0.600734826999092	0.766233828915495	0.689598348292952	0.447102293804793	0.450498003073324	0.49800344713585	0.456804736285554	0.679415095308871	0.801929497120795	0.58374077456526	0.724742831367503	0.444883492516477	0.498859799582824	0.592547138353403	0.539152781989375	0.679686781562663	0.575963461743753	0.787020373350547	0.604649944778892	0.45440607196075	0.797971742892463	0.376527432375973	0.528125354956948	0.466123411297654	0.29861026558384	0.582435504306387	0.554882873990745	0.701011614459061	0.391389341889582	0.453381547734501	0.4391827908475	0.376318402142355	0.517724378468398	0.597792037765115	0.524011660198576	0.775478550570626	0.697489315836303	0.746514280665706	0.38262724520708	0.0905463281149539	0.659537913311164	0.364904030446571	0.678495652464057	0.663263415785431	0.516984216702551	0.711144138786981	0.415996193895847	0.429730933127923	0.517128860579712	0.692627966116288	0.380160924181456	0.534711037303874	0.758627004930979	0.379184416705668	0.667470459428288	0.353783622023469	0.575339772334874	0.53482987172371	0.373489816331274	0.253190629081654	0.664282841201226	0.81316919613372	0.51645240974724	0.721777181532889	0.762180975542501	0.503133615139586	0.340208880697879	0.604636732494843	0.636847301763014	0.37721515398415	0.765676388623695	0.606640445191809	0.400788792045326	0.188570460892472	0.643562605808794	0.485169908834119	0.310717541113541	0.552664008967797	0.295259060901487	0.794199174885298	0.549975160396556	0.57233452617133	0.74688948375996	0.366938261324991	0.518598890708982	0.343692171307655	0.674370544537953	0.00564430220078365	0.445785126691457	0.436413358793145	0.379501787218531	0.364887339562715	0.681064120674813	0.716394608082799	0.672670927160815	0.427058297708132	0.775987756340653	0.496037974436298	0.68104097822025	-0.141177116236426	0.785534866130046	0.536365690855157	0.509711564532019	0.401190266228352	0.289842267639498	0.648162919122786	0.396270939720968	0.630544801376536	0.413773815618054	0.505586674442808	0.592606774625672	0.475121408024949	0.599036552880982	0.500486592536203	0.64343396157178	0.519030933009372	0.731271145357957	0.607523208924406	0.692338120122277	0.56186130034358	0.771647361948763	0.621465239698329	0.448699266578009	0.680666433197083	0.631508527500195	-0.00141161787219386	0.668740082216106	0.509648942248543	0.495890999045407	0.485949389275025	0.387984584006763	0.683006932519458	0.323530319444833	0.709182531347036	0.696689501830288	0.382344881472164	0.580539823307117	0.134142748737583
