""	CD3D	CD3G	IFITM1	CD8A	CD2	KLRK1	CD8B	CXCR3	LAG3	CD69	KLRD1	S1PR4	CXCR4	CD96	CD44	PTPRC	CCR5	CD247	CD27	TIGIT	IL2RG	KLRC1	SIGIRR	CD46	F2R	PTGER4	CD6	TNFRSF14	CD47	TSPAN14	SPN	ABCA1	C1QBP	SORL1	TRADD	KLRB1	ITGB1	ADGRE5	TNFRSF1B	SLC16A7	JAML	TFRC	ITGAX	RACK1	SLC1A5	CCR1	ADCY7	CD82	ITGB2	SMAP1	PILRB	C5AR1	ITGA4	PECAM1	VSIR	HAVCR2	HLA.DPB1	CD68	CD4	LAIR1	C3AR1	CD81	CD9	NRP1	CD163	GPNMB	JMJD6	PTGER2	PLXDC2	TNFRSF1A	CLEC2D	PLAUR	CANX	ENG	ATP5F1B	CD74	CD63	MCFD2	TREM2	PTPRA	APLP2	PILRA	TREM1	SLC16A1	CADM1	RPSA	LAMP1	LRP10
CD3D	1	0.988994116614988	0.987333179850879	0.980712398431564	0.995731751876196	0.967436219947865	0.975281471428217	0.980000092879312	0.943220529144155	0.955260538875661	0.681964179630949	0.877447619988686	0.882225044082262	0.980963585491592	-0.135711383390107	0.880314652740391	0.885272626340251	0.967421703982504	0.988223862124962	0.953363212522245	0.981216603884261	0.771738453820421	0.595680601389038	-0.2731230181829	0.924507082129394	0.458543711647538	0.974676299368792	0.188139850315062	0.592607672016688	0.433750838418436	0.971476013966803	-0.835105962278526	0.213655911118978	-0.376042904887225	0.333798636556494	0.757086270465433	-0.15757171965673	0.957942190724318	-0.167134213100797	0.93736148908591	0.650499290653554	-0.244141363969603	-0.771156273201316	-0.133123007311737	0.500539318404968	-0.567184756735273	-0.266843165998531	0.235193275481759	-0.43032663034791	-0.44298669032929	0.853816913561724	-0.713779239037101	-0.307756955642299	-0.307489816682616	-0.337944124312581	-0.523906152867638	-0.443131878742563	-0.704603219896056	-0.547647399536442	-0.341421009229536	-0.668737137897688	-0.576294613193657	-0.731371975422759	-0.722735451328532	-0.719234552382877	-0.778247045710388	0.525967128233838	0.925110304520366	-0.647000741496964	-0.474258435736033	0.80720228136228	-0.674188437189332	-0.608761792168967	-0.477178174001157	0.246437590189116	-0.469333568816699	-0.565502829924989	-0.398878342472046	-0.452484580908995	0.590410273071603	-0.663324723677139	-0.693991851728199	-0.746338592304308	0.388011172971276	-0.745830636566966	0.316229222081503	-0.312720823396833	-0.134659640147137
CD3G	0.988994116614988	1	0.987126060478844	0.967540697930512	0.989923842256951	0.965333489538867	0.955003735289389	0.971713873371848	0.92983844192759	0.955271805318194	0.666139832461922	0.895699215667608	0.892801629622556	0.972130963638146	-0.121460589247343	0.866957781397202	0.868317907886512	0.958785841313077	0.976843209934908	0.917984087040577	0.974228076518391	0.719011901027874	0.619371577569674	-0.298141830204148	0.949536177557269	0.446237317613491	0.971512734125377	0.224058387691253	0.57796385303628	0.460406285729667	0.972701612376897	-0.824888992231815	0.215470447009701	-0.37154320248413	0.365199397794036	0.751540266326782	-0.174666504868935	0.949136293768083	-0.152537975052032	0.91329976637316	0.676556709939148	-0.247392470681131	-0.769024874175584	-0.126773454246015	0.514656958430026	-0.578629612356176	-0.279085746759441	0.276668686614919	-0.42612942894606	-0.443453882120542	0.861795258296761	-0.709908171763838	-0.327991875982908	-0.315061451875885	-0.33692281710257	-0.536831212708387	-0.443630280695648	-0.69913964339194	-0.544628898158184	-0.34305875045501	-0.663166174740188	-0.581053079729548	-0.724271334734262	-0.721751806120957	-0.718447622646739	-0.76747563349209	0.550807349271959	0.910468040470053	-0.646974740356355	-0.478718824645123	0.834813610100753	-0.674497072617876	-0.602974409466805	-0.482862101266157	0.238189366642149	-0.470146239333235	-0.563221633020713	-0.384186681764188	-0.455391551089363	0.599444604419646	-0.664705334303986	-0.688777852677442	-0.74491240121366	0.394790144365002	-0.738161961496967	0.320574741082351	-0.317015311300701	-0.168959595732811
IFITM1	0.987333179850879	0.987126060478844	1	0.972586786345734	0.992472217833179	0.945461097301025	0.963320348060263	0.990062824891649	0.944026230789091	0.948779080508172	0.609235321872459	0.871863261197529	0.903609847891698	0.971729790051448	-0.105178866172459	0.875431066951638	0.901910422715044	0.939470327546079	0.967048503657397	0.918027819542231	0.982104823796326	0.700811626443818	0.603264781013854	-0.26767574494701	0.947556569517776	0.478887948844822	0.987449687803636	0.211682153483706	0.5983340319763	0.471375056970124	0.965998454755348	-0.801340096945734	0.255121421000388	-0.338316445451581	0.302229879902597	0.695818527148851	-0.130980444782298	0.932041654570368	-0.112849564917138	0.910110688396301	0.707275404159752	-0.212791214779305	-0.750662520189441	-0.116162929891919	0.523643727095808	-0.51946068391923	-0.247223464367088	0.288896840494168	-0.392152778659602	-0.410064115378947	0.839972383939623	-0.690421438207647	-0.300557039349056	-0.293821102178018	-0.320674478127383	-0.502183789101002	-0.426300470661819	-0.673264917578809	-0.506911734125852	-0.307169654882753	-0.63160400912822	-0.543617176920778	-0.707167665770018	-0.686366680006025	-0.688307070069925	-0.746172269319894	0.54979719859117	0.881747293030655	-0.619662592938057	-0.438225450599442	0.80604889796925	-0.640336371074565	-0.569671580372241	-0.44133894404783	0.289711344133979	-0.449684136734586	-0.526689300529931	-0.331079970902393	-0.428477018982798	0.620960255254288	-0.628770576712125	-0.668096941609715	-0.708430176463445	0.403204345430494	-0.712981478222595	0.330424084588412	-0.281493851895624	-0.152512474357783
CD8A	0.980712398431564	0.967540697930512	0.972586786345734	1	0.978948673248654	0.935569790243531	0.993448708091817	0.983844039352775	0.955512932514414	0.908808640632608	0.632218569218432	0.78929507929419	0.865239481515241	0.951619223203427	-0.10682543824125	0.859487320415895	0.857137282185972	0.922540233673103	0.951624740443173	0.95245096733217	0.947239914718282	0.733015747767644	0.575974439850124	-0.26114860675961	0.898299729780176	0.431026826529138	0.953583872448763	0.123125434067555	0.571528105996884	0.420374313641927	0.959236673693823	-0.790117356977836	0.195964076714065	-0.365654520138468	0.262637310250489	0.658301318658539	-0.146392335360515	0.908816640440019	-0.156173306882999	0.918849914850133	0.658211285710147	-0.230903581282365	-0.740855898042528	-0.15630611940016	0.531874791783747	-0.51757810805784	-0.276413881298428	0.194581500750235	-0.39714451028541	-0.433435257292415	0.815655448971099	-0.676629082851496	-0.311748951828267	-0.257829120625391	-0.330828614317922	-0.492416668486911	-0.424695004884178	-0.666491929492156	-0.528518704348048	-0.329606835541759	-0.631812448513565	-0.548695108972229	-0.69750252682171	-0.685181873009854	-0.69249555342767	-0.73350503730731	0.496576896658551	0.862865491844901	-0.620497483327535	-0.436153290718835	0.713775991445353	-0.641655308216376	-0.583014673040912	-0.459159416916576	0.238482466309239	-0.452874266499715	-0.533093820442066	-0.379659122462939	-0.435878095842346	0.600475098180618	-0.638275204420004	-0.658081737340047	-0.708532929563043	0.304087521968496	-0.709153276807632	0.270915871103882	-0.289960373085201	-0.119302541762902
CD2	0.995731751876196	0.989923842256951	0.992472217833179	0.978948673248654	1	0.962429696768227	0.969305567996063	0.985920472568515	0.946200649274662	0.94955908829771	0.633799932386972	0.873874030113544	0.901012985651978	0.984296939131933	-0.116518197740733	0.883220282404708	0.892728899327101	0.957367847447807	0.977823379143725	0.936785107384624	0.987387573048726	0.745028568071798	0.60722743501284	-0.260309735643543	0.941724367894735	0.460469178088082	0.985865837791906	0.19722648437856	0.605184543164186	0.461995116194384	0.967931542738584	-0.814912710230305	0.233906795959499	-0.357259977726967	0.325822217001539	0.72925588015154	-0.14092061795003	0.944072984067163	-0.133039704628312	0.931396563620165	0.691648580555514	-0.224517750110762	-0.759358043087951	-0.12504286859122	0.525363939282438	-0.539847005970067	-0.264491321450918	0.270232031960977	-0.409520092596965	-0.422534967426194	0.852011412774588	-0.700086056918802	-0.313534210817981	-0.299418469959716	-0.328829622684003	-0.509448890076943	-0.435017584013385	-0.687846529886587	-0.528347259727912	-0.326271677545012	-0.647552419391621	-0.561287446926289	-0.716402593321945	-0.704459449327668	-0.70563853832233	-0.758160429779379	0.551528834195984	0.904989560168232	-0.632201142803703	-0.454856534185488	0.797452773086221	-0.658931768371423	-0.586610162837129	-0.459192406900828	0.273781197217348	-0.460049865951501	-0.543326765723853	-0.360596200091958	-0.443430502647206	0.609847795444042	-0.645908431305441	-0.678219066450921	-0.728991584778905	0.399143211294553	-0.726773944382681	0.325160092127406	-0.292066368106619	-0.148009138479409
KLRK1	0.967436219947865	0.965333489538867	0.945461097301025	0.935569790243531	0.962429696768227	1	0.927992617951905	0.922777897723532	0.912538771611765	0.937218318122165	0.775123117897789	0.890209236996711	0.844912594129753	0.977039179756612	-0.156518528998664	0.847518970687387	0.804871906971468	0.986040356607212	0.970078332375865	0.928941940262235	0.953632910227675	0.848959182632101	0.594913261564864	-0.311293672827287	0.886508956803922	0.413999688765211	0.931974339767451	0.184392797466809	0.555461576750019	0.367824478159717	0.934982995032633	-0.861840027425249	0.196253371376672	-0.41226514497998	0.37612430910887	0.85148584623807	-0.195983934798587	0.956029149418456	-0.23299574977225	0.925007659809961	0.586417256382045	-0.294734082682198	-0.798059579543058	-0.129150452730994	0.469703316335903	-0.62621200797457	-0.292460281347739	0.206779813178009	-0.451652716301831	-0.464255309419914	0.858549488231886	-0.751906659594362	-0.310118165746693	-0.338164573685829	-0.336097615851082	-0.534312661722003	-0.462984467025957	-0.725722888065906	-0.577485486941268	-0.376482976545364	-0.69688417829929	-0.60747312804699	-0.743638389602186	-0.756207984415239	-0.747949570581842	-0.798461287398633	0.51991361054247	0.960154829714326	-0.668005859892308	-0.515053845712077	0.814305663646506	-0.702540296481926	-0.630036554054287	-0.515107116775958	0.21334424932406	-0.485972676828663	-0.58878754877373	-0.450439539937318	-0.469587789401742	0.537738831703961	-0.693802030979801	-0.7190960150358	-0.771916438900539	0.348594922753489	-0.770863806097196	0.326650085565985	-0.342439451146106	-0.140444413863698
CD8B	0.975281471428217	0.955003735289389	0.963320348060263	0.993448708091817	0.969305567996063	0.927992617951905	1	0.972909052360989	0.960055532700256	0.899647506813127	0.659649479868362	0.771515652906304	0.849912035158616	0.941874084228159	-0.124805820474612	0.856283410467721	0.852199259823529	0.919240803268418	0.950156735857907	0.966619762398192	0.936432543231463	0.746992034981261	0.558468688568495	-0.27015451778331	0.885346031138925	0.440322069890014	0.941191782505506	0.0851238820932895	0.556124583742273	0.393385223936664	0.949322976670523	-0.797487381871042	0.174258240457948	-0.361898968261517	0.245812441167227	0.652099022577238	-0.142091196861169	0.903041593930888	-0.170342851270278	0.904216549030023	0.613393171995201	-0.227389247170232	-0.732403915305205	-0.176520772294519	0.504239653501194	-0.51624667463457	-0.271771291807538	0.153808574151318	-0.409676635293487	-0.441916649794501	0.797979948508791	-0.675684955338887	-0.302323148615651	-0.243822436122324	-0.337018186289189	-0.483647926249464	-0.422207831105626	-0.673512884711358	-0.535188825446484	-0.331687584390229	-0.638869435875836	-0.547500847022723	-0.702013584464516	-0.683945012707771	-0.687971403583053	-0.742219173074675	0.464795826220921	0.860876379176453	-0.618756628229679	-0.437297732119053	0.693061439325286	-0.643868817314607	-0.594282318535385	-0.455534960867703	0.216984920562722	-0.450151311503834	-0.542341725700874	-0.402561655071982	-0.434949359290043	0.590480531253777	-0.641812078938242	-0.661017320568696	-0.711832450353217	0.291385518386598	-0.71319864301895	0.244710730487307	-0.304689486201422	-0.112064474538026
CXCR3	0.980000092879312	0.971713873371848	0.990062824891649	0.983844039352775	0.985920472568515	0.922777897723532	0.972909052360989	1	0.943592627797371	0.92019169574721	0.566143396549073	0.823998093146679	0.899230731447856	0.955641771598301	-0.0758531628183552	0.869778774677956	0.903176225682544	0.908891884359018	0.944006038056707	0.916044941672633	0.966821321965832	0.675005550296753	0.598161837600856	-0.237580278679415	0.930629611913333	0.475392168208705	0.979337150202347	0.192678330646954	0.598472839979782	0.477667310320359	0.954291711865623	-0.76205827754502	0.25054984408154	-0.321234444946082	0.254813054109544	0.635689113697544	-0.105988810141494	0.909331067353578	-0.0854753651565398	0.905545003393408	0.72039148952563	-0.179053476583302	-0.718011278905629	-0.120510586325236	0.547688168110403	-0.473487917125574	-0.237004565136185	0.284083580498554	-0.363116584836815	-0.393799020503729	0.822492972109043	-0.65084081656933	-0.297441841301197	-0.256562635935643	-0.310870277506545	-0.475301060756729	-0.407487558994169	-0.637733043443713	-0.482937449843663	-0.288062214313567	-0.597491448107197	-0.514560249564624	-0.677559315485693	-0.651087226391987	-0.661515893757889	-0.706829712619104	0.542662146584949	0.84421619258507	-0.595257033336018	-0.401351051819407	0.75075763435423	-0.608668799243454	-0.542081086468835	-0.418871176011097	0.300236977263828	-0.432564857275564	-0.495834511015461	-0.299256655134787	-0.41047663199991	0.63630049933603	-0.600259431991728	-0.631755281277307	-0.675635350542154	0.372335337542778	-0.683506403292243	0.311053033085388	-0.2495134064862	-0.133232796661972
LAG3	0.943220529144155	0.92983844192759	0.944026230789091	0.955512932514414	0.946200649274662	0.912538771611765	0.960055532700256	0.943592627797371	1	0.868681715070051	0.633053165293577	0.730414478957381	0.851338627331036	0.945266417408161	-0.116506336979249	0.847538000862301	0.832232434751506	0.901212875130107	0.916927023131908	0.928124410604014	0.933683434137372	0.74153189471567	0.551428918954233	-0.258712816993518	0.894409153131039	0.445768702769177	0.93575452616579	0.0590210898517511	0.580140308750293	0.382767459129522	0.911916512705402	-0.770329643116496	0.225511245734422	-0.347111027686319	0.226397550987307	0.619350534845761	-0.125304662600637	0.873721597922917	-0.144692975504881	0.878566622967031	0.635580863219153	-0.211246411411546	-0.724947912179671	-0.166232755818059	0.526172658209022	-0.487909333959382	-0.247442214221766	0.153320382027144	-0.372864943764781	-0.418541920665866	0.785071045188092	-0.666954558292949	-0.285374641141219	-0.232079596201803	-0.322137382831568	-0.444833647764426	-0.399760552460449	-0.64389437938273	-0.500774330626004	-0.312138895238166	-0.601826842362051	-0.527102005758323	-0.671932325461187	-0.65365908910586	-0.669158043303283	-0.711594161101013	0.485565014870606	0.83407279071269	-0.594782701413997	-0.422792090573563	0.653800095725301	-0.620606172931159	-0.556559687069996	-0.430150191597257	0.255276728438297	-0.426615222848774	-0.504723737369002	-0.369130707845859	-0.408801109068073	0.617672108442121	-0.613960546023123	-0.647152929634703	-0.681597103346384	0.28057489286879	-0.687600813456297	0.258758135043829	-0.281956328049203	-0.133846541742342
CD69	0.955260538875661	0.955271805318194	0.948779080508172	0.908808640632608	0.94955908829771	0.937218318122165	0.899647506813127	0.92019169574721	0.868681715070051	1	0.649459995453004	0.920239004333393	0.892803313980994	0.936488857125062	-0.0459159484033321	0.910986131121856	0.898145988212852	0.940565049438534	0.959283735431969	0.889027509374741	0.9564514014606	0.73677910526231	0.672808272270383	-0.185931011234509	0.886330999583592	0.588233045936427	0.938670925506901	0.332722023897987	0.682551685624887	0.535896762638406	0.956482417239717	-0.824565004845902	0.351356094853303	-0.232387355272869	0.460236231933529	0.790272942571661	-0.0178384849949456	0.964581575367454	-0.0500129238555901	0.915156373159826	0.655663140711664	-0.133988298477417	-0.697437697551712	0.0403942474519641	0.545329057425329	-0.505665192178954	-0.0942973327903932	0.335839102252706	-0.307495912605011	-0.3418713188447	0.883246733161489	-0.64715852174278	-0.141272784738612	-0.217722546814048	-0.170348085239257	-0.404574867870092	-0.285195246044111	-0.631574865207072	-0.41628786084993	-0.189309203860467	-0.569234930167913	-0.45996752740105	-0.63995743890169	-0.629858715799382	-0.609471283003699	-0.774281997447978	0.618931131147005	0.916797065637563	-0.515416912585991	-0.360837595651498	0.885278456903797	-0.568872300535286	-0.487765628540565	-0.346031730805225	0.368564918724113	-0.309551780290671	-0.459620987136026	-0.305525152318055	-0.300495159799021	0.645732899443028	-0.551060679835658	-0.628644526487972	-0.672952577902604	0.562236352299499	-0.659572056280229	0.476403804588453	-0.202412296378172	0.0127880239312329
