""	EGFR	PARD3	KLRC2	CANX	NECTIN1	APLP2	TFRC	ERBB3	THY1	PLXNB1	ITGB8	F2R	KCNJ10	CADM1	NRCAM	NOTCH1	NOTCH4	SMAP1	LDLR	TSPAN5	PTPRZ1	CD99L2	TSHR	KCND2	TRPC3	ADCYAP1R1	LRP8	UNC5A	INSR	PLXNB2	ADCY9	IGF1R	PTPRA	ASGR1	LINGO1	GFRA1	LRP6	TSPAN15	NCAM2	S1PR2	VLDLR	ROBO1	AMFR	TSPAN17	SLC16A7	LRP1	PILRB	ITGAV	DCC	RTN4R	PTPRS	CHRNA4	CD9	SDC3	CDH10	GPR37L1	FGFR1	MCFD2	CD81	KCNQ3	NOTCH2	LRP4	ITGB1	SLC16A1	ERAP1	LPP	SIRPA	NCL	SCARB1	SORT1	C1QBP	ABCA1	TSPAN14
EGFR	1	0.899533720396114	0.932238454472398	0.918993503468394	0.904999606756308	0.919091574873489	0.869234555835137	0.884383062126408	0.838144353137723	0.886773072892732	0.948369346924483	0.888495797474774	0.904415925164868	0.881191944880482	0.951926806762959	0.91550279995038	0.8029773446607	0.889015002331179	0.91178796348348	0.915087361452451	0.939351153842652	0.86373041451193	0.888337577327913	0.908677951968737	0.88221309624679	0.901745508158841	0.930697446961721	0.832856742804373	0.936669725485434	0.869807765231231	0.853426729801645	0.948447596870917	0.920504915678473	0.837632523824018	0.911894117556641	0.940943874985673	0.930058995449638	0.756778567873878	0.954107664047179	0.889033938689069	0.85605838855951	0.944036196538303	0.881321444957377	0.787492452259775	0.914423339602395	0.929833361303508	0.895822604406901	0.938147156508629	0.886839911265382	0.774189728795652	0.888333842685714	0.827289719584063	0.667202667712537	0.911857740644449	0.907263227876959	0.800096824188138	0.943549727730227	0.909090796194482	0.851398938891975	0.905854021887274	0.927555648132902	0.947774092391646	0.906470005723057	0.884114601250753	0.895577622975564	0.91730045925033	0.847331850941842	0.905408545965533	0.839160951085804	0.82637625002304	0.804540858009151	0.653886866454659	0.761244536397269
PARD3	0.899533720396114	1	0.908017882052858	0.962837947913741	0.939181893814291	0.954376723834255	0.850074272658629	0.891977454332676	0.921877886354994	0.923499460115285	0.948691491700357	0.937425542072077	0.955028016375333	0.93424155620665	0.959159870644739	0.950384585089115	0.825266413897457	0.939493760128688	0.928724433804715	0.947522796172888	0.953237340494767	0.923172886301131	0.90488470956508	0.878192459598254	0.897800843347293	0.87050914542793	0.941939785080131	0.85469304264414	0.943292950430444	0.871645538509806	0.900473244058901	0.947388575445684	0.961025709849742	0.81331133103366	0.906404420054209	0.948899753649026	0.953981481645423	0.867523433983135	0.932411246591029	0.891366909361828	0.89940453970919	0.959716583305361	0.92426946204974	0.853114021281069	0.937815690273936	0.949955230285116	0.923349091912306	0.955735325663401	0.84195873282577	0.856821311045891	0.909827120350717	0.88652426621967	0.726352758862426	0.932163022847823	0.833910938766206	0.889142766975658	0.922472561756615	0.951684514281171	0.910604109060174	0.890030033025957	0.858599625876712	0.94726621325433	0.955179935244646	0.925454934433221	0.889702808755559	0.913878894386195	0.885309070473632	0.938956141130137	0.916315622293315	0.836929997410647	0.895034809822743	0.624155459451749	0.75771298803441
KLRC2	0.932238454472398	0.908017882052858	1	0.907948652218652	0.90434078717085	0.906271615211822	0.812960425660493	0.857971807462375	0.899568759275565	0.88714378301236	0.912278587240865	0.903018860281674	0.909825893296866	0.886463139272983	0.930068450585645	0.915281019691223	0.808151251179367	0.927782887308376	0.898700277277741	0.927132209307724	0.916435454387558	0.884757935222909	0.84876472614299	0.882127633890259	0.884582299994418	0.855002446884542	0.892569580536372	0.853473470964506	0.906271072546828	0.859085961691927	0.832517440742668	0.905646413539439	0.917855567647214	0.859374128035663	0.923010891174104	0.916768161101238	0.910411706023262	0.791342992238922	0.903904312979066	0.902638645584902	0.857478471457734	0.92301591274963	0.869581543039773	0.845787387498249	0.880489272900652	0.929803011355313	0.895954568354873	0.918082116724236	0.853489306493263	0.841693082168727	0.856904239402939	0.855665122973692	0.641776942504781	0.912174538635166	0.873801968391561	0.859148315481906	0.938781255807913	0.922271617168275	0.895646117831436	0.864687052033648	0.87942734486242	0.936964110007217	0.904980818219449	0.89616170434753	0.852222794059296	0.885571997297676	0.820308814564609	0.872860929877213	0.858499054770129	0.764505553950778	0.872321401767108	0.585384234204396	0.746721263862683
CANX	0.918993503468394	0.962837947913741	0.907948652218652	1	0.959907061077914	0.989839083883745	0.886746281351075	0.936998340428133	0.93546165491219	0.947946582055692	0.981646865211134	0.962807596849584	0.983325965836122	0.969197002292557	0.982519880910628	0.970247876171402	0.838202297792718	0.952256794611765	0.958201162682922	0.96246383042617	0.980779864109121	0.947106442988222	0.920832557901022	0.890366875941035	0.914725423522059	0.886270701344619	0.971709502545587	0.866863647168476	0.967383465111247	0.909592114934831	0.913219079840013	0.977339617635107	0.984086512777787	0.827315583367144	0.920365266240411	0.983222096340194	0.980075446757929	0.905349732423012	0.959872631237594	0.905345978626872	0.942124715528169	0.987728783716168	0.954101638507475	0.867564269888837	0.952620674670884	0.968591756394933	0.938152988065	0.978921010914051	0.861254567205298	0.87652226366393	0.93138355464948	0.911649430358738	0.755670618664787	0.960098339708371	0.825781314305672	0.910602313316318	0.938059279629984	0.965112906289817	0.925570484156305	0.907427632721764	0.889601637021649	0.970933047086717	0.980516092215409	0.946720175974424	0.934449041328751	0.937062988103127	0.905353925674122	0.975642210644998	0.952142131390589	0.872950242223784	0.908151154070578	0.647025813151953	0.788967851033584
NECTIN1	0.904999606756308	0.939181893814291	0.90434078717085	0.959907061077914	1	0.942603657565175	0.837704015647214	0.947532346793596	0.958347765024129	0.969680965278894	0.938454429036141	0.951112433957078	0.966770798105708	0.96721546998878	0.951811581285394	0.974894801166363	0.838790150670066	0.963767729333127	0.943218170286062	0.964620939803137	0.930889834045592	0.939380783254152	0.878995124087804	0.866118455738388	0.897966657330277	0.888879251896496	0.940233941783261	0.886442788954289	0.948734704139684	0.909304342615299	0.875331688803977	0.952268392951293	0.970889204254793	0.83470224358721	0.950393677034122	0.960050087253386	0.945898650955467	0.889779905865577	0.903376623974769	0.92007676222138	0.910902882733253	0.957738192818349	0.944844822406681	0.905288682705583	0.906338933772404	0.971635359864785	0.927476999830493	0.948340963321809	0.819690608731049	0.918808780672005	0.86391083738284	0.946589441493184	0.719941229874279	0.971554561651095	0.800793406683664	0.928166814329041	0.926456214349193	0.949886868674352	0.952507604741427	0.872557838669163	0.877038885900991	0.94258106025783	0.945480770560852	0.931696434551869	0.909632036278254	0.879029578941711	0.89314165887163	0.910919611035404	0.958168219444096	0.813552393662632	0.939205920715649	0.580559145689912	0.779285000991966
APLP2	0.919091574873489	0.954376723834255	0.906271615211822	0.989839083883745	0.942603657565175	1	0.898539899348396	0.920962492865866	0.915913108282171	0.931040345543965	0.98220596837356	0.950528763612897	0.974163411003416	0.951447978452357	0.981020489119999	0.957349369140879	0.843687388271903	0.939034462619588	0.946371272920689	0.945942153699206	0.98480437078704	0.931407319700802	0.921249936485066	0.886046158550486	0.917350847444003	0.873599848480039	0.964191879769084	0.851205499518568	0.957720537734971	0.893437145135447	0.915520509870568	0.971157646909939	0.975151725611523	0.809323090774702	0.901812059583857	0.974982312941443	0.97575493036393	0.8830593245711	0.960306388408446	0.898459386813038	0.930929863011738	0.98457933055528	0.941031808326662	0.845221083156119	0.951038291322809	0.954157633801102	0.927826410498139	0.975491715112896	0.853988451406208	0.847222103219822	0.940198673547453	0.890540402344526	0.746303060509197	0.943901946469647	0.833159366506168	0.892081272232637	0.935706491156231	0.961768999506985	0.905938859469981	0.911328399864449	0.892465817343834	0.96786434597085	0.977362964007191	0.942311716128502	0.924559030687148	0.942469899662145	0.892918071212663	0.981377707302954	0.934948729881873	0.868284573214956	0.887514787272705	0.656666645826037	0.792485950152449
TFRC	0.869234555835137	0.850074272658629	0.812960425660493	0.886746281351075	0.837704015647214	0.898539899348396	1	0.829857576308123	0.781302346582488	0.830304902108325	0.884221874481165	0.83010833927627	0.850601126088095	0.836317846975502	0.891664201381594	0.851437712398379	0.801289053075737	0.81930370437876	0.869524935718028	0.847434233123056	0.87755414421964	0.804026259684939	0.830987476776171	0.787354639698673	0.817067240640192	0.809537811935844	0.882300918813859	0.767066588230603	0.87929613965346	0.85097227224426	0.81279254259302	0.88722300203473	0.86542454698794	0.753281719404855	0.811040815148853	0.869199660465612	0.885307247409299	0.772410226657563	0.885600571125633	0.82358731940264	0.81198529167076	0.881250526198557	0.854713376993537	0.727778040563654	0.868365565242376	0.866205909875544	0.846963148704525	0.885163225891486	0.791821550432819	0.71430878390775	0.846505310613896	0.766839089435401	0.782993302102511	0.837996798780704	0.773930632671245	0.755131600807306	0.874590883885539	0.871312855693174	0.810800676066137	0.857479632011577	0.860649421246755	0.86750589075678	0.901642677631019	0.846705000400502	0.867074147630406	0.902396167369432	0.83994305825062	0.881027468722845	0.816183046991142	0.869789650714817	0.756835544470207	0.8222573966651	0.863387496309763
ERBB3	0.884383062126408	0.891977454332676	0.857971807462375	0.936998340428133	0.947532346793596	0.920962492865866	0.829857576308123	1	0.915890695104453	0.957090445354644	0.920366380038301	0.918559263404093	0.933631210014815	0.957467490260713	0.925571858060522	0.942717184397024	0.796219751099862	0.919534233146637	0.932664756579278	0.937778256230945	0.904837742848235	0.903074393886653	0.841145032674099	0.822156935840081	0.870943244164978	0.870173945976651	0.932435151898054	0.877346808479599	0.921048609258511	0.897749270490845	0.871472794404393	0.948159900689193	0.945678520370278	0.812297938191437	0.909647225740292	0.944520412892872	0.932860886652577	0.875298330139261	0.892801493581725	0.90339795305349	0.914893316630992	0.931932368193796	0.926781010373056	0.863466331886338	0.877066730113135	0.946667639853461	0.887863461853478	0.929517327117434	0.795287576864325	0.880384660310472	0.843327958378707	0.91458435333351	0.708412675277805	0.956389311347267	0.758840801649511	0.889632182392029	0.898469966969542	0.908778827288146	0.909103349768266	0.848732699737273	0.884030860245848	0.923053453071835	0.918639605542819	0.908276080238731	0.913524599530591	0.855493425653708	0.874968444751985	0.894675893363543	0.934105987998189	0.82186365806752	0.885537955832179	0.583995936969536	0.761328354022936
THY1	0.838144353137723	0.921877886354994	0.899568759275565	0.93546165491219	0.958347765024129	0.915913108282171	0.781302346582488	0.915890695104453	1	0.956847363507909	0.89357456073539	0.954191548709032	0.955001152454685	0.962212544086652	0.913215615021003	0.957429425636906	0.83417343315714	0.982228094377256	0.92956104865764	0.956599666573836	0.897303217250317	0.938854176256442	0.838306823244488	0.820579339555076	0.87232476259905	0.841045679889113	0.888536343572638	0.887400497812321	0.909000530453521	0.880305281529634	0.869764966946344	0.902190299702042	0.958319080272117	0.850070509884846	0.940327273793552	0.924834752953936	0.910768437995752	0.908574110489111	0.850819552585422	0.903860933276967	0.897863484432841	0.924621985159854	0.913203778461793	0.932074200100627	0.863744629235259	0.953823300792993	0.899381937267592	0.912582215184894	0.785731023033062	0.961993018799967	0.81199726898591	0.9552161436073	0.694098545389204	0.957611529374085	0.73790028627311	0.95702596608938	0.902083208147477	0.94197845440095	0.97154024477096	0.833007365030305	0.827207940616139	0.911750798120821	0.926622003479286	0.921240004560756	0.85044364179191	0.831051239416585	0.867614459288547	0.873037625917144	0.958713467633935	0.744211645023186	0.984404514593069	0.505099235027221	0.745549835794532
PLXNB1	0.886773072892732	0.923499460115285	0.88714378301236	0.947946582055692	0.969680965278894	0.931040345543965	0.830304902108325	0.957090445354644	0.956847363507909	1	0.925467285040503	0.943421867681165	0.957968321236959	0.965487704431929	0.94075932976849	0.973038397583771	0.821765333790903	0.955254521406488	0.94878579836722	0.956902099156798	0.91438137281246	0.926304569909664	0.85403224007002	0.833368487587569	0.880621481046531	0.888331037958723	0.932558000472035	0.906277704708223	0.936305397055307	0.910503929626723	0.870916217234105	0.946245152987783	0.961242089528947	0.835407074306982	0.943689550031582	0.949863236062881	0.940009735930865	0.892755190420399	0.889087452228841	0.922436645010505	0.911681343916769	0.944484050210071	0.931686988311337	0.910380538291759	0.879454783318609	0.969773104430318	0.909972137235116	0.936185062401822	0.805678458992788	0.921891825909538	0.846335292327357	0.93932737618818	0.707102155002323	0.97081417723976	0.765586018112581	0.930567541428446	0.917678547052581	0.939989815790934	0.946423188585896	0.845030867829303	0.880739977516114	0.936825918504567	0.933918639763495	0.925216761874419	0.89006831202425	0.86923833905708	0.882224876254374	0.889815741270889	0.960295221433593	0.807170903947336	0.935853405605945	0.569240190664448	0.770773209217273
