""	CD3D	PTPRC	IL2RA	IL2RG	ITGA4	TNFRSF1B	CD3G	CCR6	IFITM1	CD69	TRADD	CD27	SIGIRR	ICOS	CXCR3	CD2	ITGB1	LSR	CD47	SPN	CD247	CXCR4	CD4	FAS	KLRD1	S1PR4	ITGB2	CD226	CD44	CTLA4	CD28	CD46	CD82	CXCR6	C1QBP	SELL	CD5	CD6	ADGRE5	TNFRSF25	TIGIT	TNFRSF14	CD96	RPSA	ACTR2	TNFRSF9	VSIR	PTGER4	RACK1	SDC4	SORL1	SMAP1	HLA.DPB1	NCR3	FGFR1	PTGER2	TSPAN14	HAVCR2	TSPAN5	CD68	CLEC2D	PLAUR	JMJD6	CD74	ERAP1	SLC16A7	TFRC	HLA.DPA1	CD81	CANX	SLC16A1	PTPRA	LPP	LRP10	CD63	MCFD2	NCL	APLP2	LAMP1
CD3D	1	0.696578903023925	0.0705543609246443	0.725583790797007	-0.070739994036833	0.0185120408192265	0.931012612665705	0.23914347798921	-0.0178036315324351	0.836336417939729	0.273788507477409	0.499947078327271	0.37646816371287	0.791615867598675	0.718219078384579	0.930683033847004	-0.326285451253098	0.119969976582663	0.00221545175928341	0.0838473797489717	0.821833035280245	0.956284180353084	-0.146635496909197	-0.235096831682689	0.731265809404933	0.653296787035174	-0.107871831847416	0.686278505868225	0.0227387862082931	0.282037787419667	0.626664398732985	-0.305380452048641	-0.413192209293946	0.522321944899578	-0.215433701369999	0.757055712553365	0.455919884434517	0.769333773907553	0.7066218622586	0.867027510199118	0.0341428364599828	0.168682399759582	0.583872816367387	0.336089957554055	-0.15865193473945	0.243131794138667	-0.36122800938502	0.0252929365741472	-0.151736677988675	-0.604157020222435	-0.506602039065211	-0.36274642206745	-0.27392212777751	0.268610333877672	-0.561183848714004	0.481880561433107	-0.0140267169907528	-0.495804263007767	-0.291937988366322	-0.658273391022817	0.698456357010501	-0.620477137319654	-0.607053290772366	-0.366158261483259	0.534171708017398	0.167692115044991	-0.653010594984094	-0.319539731793649	-0.697198855159079	-0.654392608532143	-0.607269167502617	-0.628551105831412	-0.58505085389017	-0.0108015268805059	-0.761651347457291	-0.55318582858249	-0.264312969521532	-0.737649398417397	-0.767094595183913
PTPRC	0.696578903023925	1	0.23325131389612	0.620496067587065	0.457623552398743	0.591720922810777	0.758390529302067	0.543279478653484	0.302081601184483	0.624314205489099	0.747328569498756	0.309496119062228	0.421187813605106	0.477732213043195	0.600117818058788	0.747074201151407	0.278972767416137	0.474439403767256	0.583170895568774	0.549172297571667	0.694528546235073	0.684609258964541	0.52443385491514	0.212551556395368	0.369849203924846	0.735165118938971	0.485749521734713	0.741260562662958	0.57810397201249	0.167866204580301	0.481074036852982	0.155380037709918	-0.0643030782852037	0.441290494427496	0.361697475975123	0.384780814526942	0.660963339165726	0.4370561373619	0.725953656661045	0.722558911340512	0.28730711681106	0.642311245130752	0.711108344712691	0.618783301600748	0.457736839096136	0.161589531628725	0.296539196802591	0.578114722475054	0.406135198567805	-0.0236730050826494	0.0719583966957253	0.173369611976169	0.37737071027084	-0.0381833841456736	0.00389831568211903	0.421390686641471	0.515605335227528	0.168121173677192	0.168200168654092	-0.0189185632430341	0.820147380372876	0.0672069525192126	0.0574990708683768	0.313725045584436	0.502668485431332	0.362262999322949	-0.0494172704951327	0.333663169934796	-0.0660002160560389	-0.0230004544092469	-0.396592524625917	-0.150902594342648	-0.0403763239447471	0.462282808668455	-0.25556000706832	0.110191740012011	0.36059052131378	-0.196300114835592	-0.196222659806825
IL2RA	0.0705543609246443	0.23325131389612	1	0.599983613782546	0.74564204077921	0.698217072554968	0.275559425994064	0.786834167340464	0.397253962947358	-0.115261192618803	0.167283905909815	0.767404962894536	0.865304683984034	0.299516438187163	0.0733506407584591	0.33037492870752	0.350926482807083	-0.337505804010087	0.280330947629358	0.00458770125785166	-0.150063734148245	-0.0146613165954125	0.504058587898035	0.773703535127979	-0.0873600041984309	0.327739149839054	0.498829151498535	-0.0925087023288875	-0.155506347854873	0.870213387978505	0.613109626828683	0.336086812251374	0.662211908832683	0.669201453347548	0.114565282254613	0.34831332277837	-0.353417592508479	-0.276944893653743	-0.226138690897477	-0.17948799710599	0.975155691404439	0.507677826274906	0.358998089430194	-0.267538471637917	0.416153880814063	0.827243556479835	0.388862770414261	0.0351481744770514	-0.0259251682486179	0.255204848022523	0.0720879695909206	0.581813982983293	0.327912499445565	0.53793128542181	0.46533245301865	-0.624090874794819	0.582029292710811	0.441491324584605	0.440302063221279	0.150483902031242	0.185943280318085	0.25816708096677	0.36903168062332	0.375409919597772	-0.531337257786911	0.0323439337586904	0.400405458067177	0.348079522032203	0.357835611455095	0.276049030847177	0.501020266302422	0.547411850837962	0.355919957728502	0.412226294637488	0.284608269871261	0.126897749881178	0.299809985471465	0.38687477771309	0.289781949706682
IL2RG	0.725583790797007	0.620496067587065	0.599983613782546	1	0.381515796774961	0.447634248490835	0.797950753306678	0.717567438973561	0.288407134906867	0.376009085591432	0.371165238778928	0.821947224294428	0.751679184310174	0.693597806844025	0.599293361215424	0.799686149384144	0.0420910179672145	-0.0242030720316231	0.213957594203419	0.230359415406523	0.522319949265896	0.589504524037907	0.241961802797501	0.276570478070579	0.267768228207738	0.74576586954779	0.283972563011587	0.347875262676541	-0.0967312430086569	0.702818381778588	0.711180678437304	0.0953906597092053	0.183785360307497	0.687933962784062	-0.0177836599704848	0.662983248163759	0.231250550982215	0.353903622669492	0.218153734221607	0.522855828469095	0.625132031793108	0.307864789437504	0.63123662030253	0.111317998616332	0.199950810532176	0.61602907406603	0.00744495759945605	-0.00166461521177164	-0.0592710481923708	-0.254430625253127	-0.332526478956199	0.110602716807052	0.0611025535147088	0.609997269406828	-0.151488966371684	-0.034244913382472	0.402209314779307	-0.0493185003922221	0.0715883407880553	-0.372755752148275	0.614617908399587	-0.293233720869875	-0.247159347187109	0.0252735266535582	0.130322150087242	0.155592235664568	-0.198101594911584	0.0483899891359272	-0.24049715491895	-0.278615654399998	-0.0892718642416044	-0.137109760509664	-0.14616885236575	0.307724198600341	-0.336846802258033	-0.259374739856558	0.00741184849030091	-0.266268159975563	-0.308287979077505
ITGA4	-0.070739994036833	0.457623552398743	0.74564204077921	0.381515796774961	1	0.88973280036826	0.18059463820229	0.781242057549083	0.660031597661204	-0.124380210831591	0.591406116167233	0.302590638379218	0.67029462358351	-0.0655189383411993	0.0504061885755759	0.107511117732739	0.805486951174833	0.0156010436418211	0.754726295870358	0.470418148098064	-0.0601034917395215	-0.136197431172016	0.864949472606551	0.91784888494188	-0.236090902546199	0.436621536050296	0.736799307180622	0.0901781617722898	0.424294180724117	0.388323937532444	0.242176645652153	0.63152397501687	0.713464271896388	0.312836064314115	0.656500146994132	-0.103382536566507	0.0427915991080354	-0.323491491938411	0.0217320756712443	-0.18185586265497	0.810096769089786	0.806509920404982	0.384472417496772	0.22705124080579	0.850161324578255	0.415816974702834	0.783026294678354	0.588581710409261	0.559223708962835	0.678777413528834	0.376907781947674	0.856265005139264	0.803397715174214	0.142752456426277	0.770393857282134	-0.455635475454834	0.809629388952638	0.709573297963182	0.730110588082064	0.548220530618414	0.364621617147082	0.68195989919719	0.647360550133256	0.818002322153445	-0.354407607976448	0.397509717618173	0.696603601551043	0.805621116481627	0.707884885911019	0.695097412802375	0.479495489345448	0.697771014579422	0.708780470491212	0.789252881348653	0.585345593603263	0.655321893858441	0.820858667204696	0.668603300154475	0.596391896222735
TNFRSF1B	0.0185120408192265	0.591720922810777	0.698217072554968	0.447634248490835	0.88973280036826	1	0.227597935090895	0.852709985999581	0.442638905902244	-0.0454207854754729	0.630619899816015	0.32936924584142	0.567661511747297	-0.0244011167176905	0.0893132687543849	0.239760555342811	0.666747953456139	0.161252944061711	0.743119130009799	0.550723870731233	-0.00848198696191786	-0.0423910468203388	0.901651918874515	0.779809462795203	-0.25661534732205	0.396927929049318	0.899092781453926	0.133934936052312	0.477705793887813	0.440497920428308	0.30924711867046	0.543321105661413	0.565485344809443	0.414916692972495	0.59246117623936	0.005221064847019	0.177263260985723	-0.347362291413298	0.0523635769881484	3.42138496698089e-05	0.770673350190918	0.798114349767495	0.426905166187365	0.23190525845141	0.811510640548559	0.373888935870415	0.807950621278116	0.563036689579852	0.495647661666768	0.528586322227099	0.480162851585331	0.700163300540886	0.775137774845392	0.04342453211546	0.596426516205058	-0.268488112630525	0.816856125713194	0.786029783442637	0.546509247643564	0.5903405578329	0.351514344098957	0.662276965931953	0.673379449398175	0.813724087126882	-0.178844028334184	0.183280996799945	0.636896957557317	0.78325779680203	0.635050830174232	0.612155925018969	0.285441251884897	0.576923324154483	0.545886906306093	0.658118752371119	0.464174303940668	0.598101658051451	0.698387534619945	0.548366952807032	0.532668809736739
CD3G	0.931012612665705	0.758390529302067	0.275559425994064	0.797950753306678	0.18059463820229	0.227597935090895	1	0.396525506180546	0.219454079334332	0.686547352090743	0.43717768670167	0.597196482499643	0.558138205338659	0.753016894238196	0.785974248917955	0.919441615963864	-0.0753605958443761	0.152740479591724	0.24880565141711	0.17836327031431	0.807418187892052	0.843886675410978	0.0437282997834201	0.0232435386215771	0.657527516676247	0.717791432062082	0.0731135547435641	0.73560706310976	0.102823441578899	0.351796566608393	0.714416858037422	-0.110931819932041	-0.132044145172874	0.655191779227567	0.030408521004822	0.679878428888386	0.445071655006374	0.681905708448099	0.67418830003325	0.775689015950977	0.260047662738391	0.321431933357441	0.648359505521361	0.414378486395884	0.130188374080045	0.409847975079782	-0.156758779657938	0.189669319968809	0.0311185286885162	-0.350053793550347	-0.445445135140613	-0.0931140099402725	-0.0414144633061865	0.329884801340016	-0.321084734609441	0.309026188684393	0.256035178826477	-0.291471046460984	-0.0204276888774352	-0.488784722710438	0.704354118727063	-0.423001344224644	-0.483617954492895	-0.133339558652975	0.452868884693772	0.372453553895889	-0.463917582792746	-0.0844796766849817	-0.483598052781874	-0.421430031218169	-0.369549707803919	-0.407098243912117	-0.357230410430931	0.185024012392713	-0.547387489676039	-0.368138628478298	0.00181982424536902	-0.517157384952582	-0.57074918139514
CCR6	0.23914347798921	0.543279478653484	0.786834167340464	0.717567438973561	0.781242057549083	0.852709985999581	0.396525506180546	1	0.407256309066535	0.123175797932342	0.4811952330624	0.547496552203694	0.718590938791032	0.157331178208458	0.181986630205696	0.451674741751404	0.486347397029425	0.0520270265548256	0.58101961975043	0.514118899023888	0.0341881794112073	0.135228809433512	0.715682186698462	0.756846394581261	-0.191308026646387	0.554102712281895	0.755483660711492	0.0479443117582523	0.24948398376444	0.665507510282612	0.456600527949601	0.365489526338344	0.456173102864322	0.525345675928403	0.384201079490589	0.245075169372451	0.181000933720897	-0.271088032466066	0.038285693952468	0.156033505813042	0.829336439028588	0.708173085165289	0.56284286220096	0.146580030362045	0.604369053176419	0.445893204255039	0.45464565773938	0.294784067566725	0.300784393475903	0.239219032573722	0.0757000741442978	0.498437050145449	0.58360910201999	0.230726607470782	0.346770586942713	-0.225313791130504	0.593610737590908	0.436867247331949	0.331109063904756	0.259279991436603	0.434928700891736	0.280221760474959	0.355836907154579	0.586770447947984	-0.180879195377615	0.00221175156828522	0.317420931368607	0.595159113163121	0.335894471942842	0.347959328523663	0.155228474299885	0.370794413568499	0.294386766926595	0.517403073155169	0.269991901191751	0.329518752466211	0.447237515761992	0.28597608368247	0.281202658209299
IFITM1	-0.0178036315324351	0.302081601184483	0.397253962947358	0.288407134906867	0.660031597661204	0.442638905902244	0.219454079334332	0.407256309066535	1	-0.18703663669553	0.547211264849031	0.182580999176243	0.576151487514491	-0.0394620814444291	0.27590360581579	0.0177798786028576	0.807950863991028	0.130412270609001	0.631420492562565	0.434424632416823	0.153251826317035	-0.111292005938907	0.575527399852619	0.618957178786648	-0.158103524028864	0.419925090773459	0.35801963996691	0.207664618760238	0.309789215098484	0.0555858144743658	0.086789337502359	0.602934288786256	0.650529232862638	0.119634820074382	0.629391708324143	-0.198069471908788	0.159062531569171	0.0117634760319114	0.0950882278096394	-0.0476192543480872	0.468848310548199	0.454607114794781	0.317930803976628	0.382996144503423	0.711549971339458	0.253016364789618	0.47525790160172	0.512464658171746	0.593570018284384	0.601932032238918	0.0378332958960627	0.678668167427402	0.635369220504905	0.202466946017551	0.542851254282415	-0.316535157341652	0.653013756012488	0.338175002570804	0.684086306262219	0.266661672907635	0.295580202094132	0.418558622327509	0.24752102104938	0.584853477162155	-0.0890940352703886	0.656392889302854	0.412807462681524	0.614469703284045	0.47346587165419	0.472469213517218	0.425992727392971	0.386356466403197	0.636094703518175	0.710542720953632	0.397440041064806	0.450143832120567	0.703129380879811	0.438261514042617	0.394830803988085
CD69	0.836336417939729	0.624314205489099	-0.115261192618803	0.376009085591432	-0.124380210831591	-0.0454207854754729	0.686547352090743	0.123175797932342	-0.18703663669553	1	0.153960519593126	0.157562034673087	0.156105053263334	0.537900259219082	0.458151519120463	0.781815592650363	-0.354953044712989	0.164265914810723	-0.0260370818415658	0.0914388895466622	0.604943862070889	0.911089633156883	-0.117685721659304	-0.261375361692837	0.754705428471689	0.428493064692634	-0.114474615336442	0.629848755357748	0.231329048551684	0.0755269324415888	0.40685681702587	-0.47289670065318	-0.638947360513925	0.314387775523997	-0.206656993998082	0.615388947549099	0.456450722646344	0.595700292166748	0.841779391537957	0.794361115246068	-0.191685425148971	0.323949479264682	0.484357117726264	0.395283778262022	-0.237460121651972	-0.0738210970627717	-0.371226623602819	0.147243410848179	-0.0762254717315635	-0.60612705246937	-0.41057058252618	-0.484169978421013	-0.223461743558434	-0.172378109926945	-0.537864550271718	0.648238184091073	-0.241964362350728	-0.519934597845204	-0.440839446658335	-0.479041039717365	0.601285594856463	-0.51748139813598	-0.438555665487609	-0.32155564461846	0.484362319487748	-0.0493537628927276	-0.641196968128092	-0.275712754690235	-0.662753274978675	-0.550765673640146	-0.798462387207767	-0.638726372104618	-0.641815166483386	-0.127298082164048	-0.681155118799562	-0.430711712661869	-0.263505653484982	-0.722286395317938	-0.724969416606926
