""	CD69	LAG3	CXCR6	ITGAL	SIGIRR	ITGA4	PTPRC	IL2RG	CD2	CTLA4	CD6	CD3D	CD47	IL2RA	RIPK1	ITGB2	ADRB2	CCR4	CD28	CD4	TNFRSF1B	ITGB1	CCR5	ITGA6	SELL	SPN	CD82	PTGER4	CD96	CD3G	MCAM	CD27	S1PR4	TSPAN5	F2R	CD44	CXCR3	CD8A	CD7	CXCR4	IFITM1	SORL1	SLC1A5	RPSA	C1QBP	CCR6	NOTCH1	CD226	CD46	DPP4	TIGIT	PTPRJ	ADGRE5	ICOS	CLEC2D	PDCD1	CD63	TGFBR3	TNFRSF14	TSPAN14	RACK1	TNFRSF25	SDC4	HAVCR2	JMJD6	CD247	IL6R	IGF2R	SMAD3	SIRPG	TFRC	NCR3	PTGDR	SLC16A1	CD5	SMAP1	LRP10	NOTCH2	SLC16A7	TRADD	TNFRSF1A	ADCY7	CRTAM	LPP	PTGER2	KLRD1	CD8B	RYK	CAP1	CD81	ACTR2	FAS	PILRB	HLA.DPB1	VSIR	STX4	CD74	PTPRA	CANX	IFNAR1	ERAP1	ATP5F1B	KLRB1	LAMP1	MCFD2	APLP2	NCL
CD69	1	0.302371203782394	0.480995959245297	0.49079668968593	0.705578670371389	0.553904524001471	0.601684981809849	0.569628074500505	0.60293812472187	0.550387334996975	0.685434619441675	0.703473053754058	0.751763572437517	0.501391537615415	0.485006198769292	0.462429284971977	0.0798562381433607	0.71332026323561	0.663519186671825	0.642973651211125	0.567976190902365	0.780607133536047	-0.298890423834618	0.584749078924519	0.812141842717537	0.592700120123402	0.541324241353604	0.853501746127056	0.566547049970067	0.831437526188496	0.623626675304035	0.416960716164235	0.802228336913568	0.477368612815617	-0.310273321865645	0.699587889489585	0.433870329630037	-0.376249089997093	0.595375670991143	0.887241016576234	0.788761408613523	0.800943709191369	0.56732468257792	0.920826900357612	0.759748624234631	0.753371641413057	0.28847312934616	0.563167724443945	0.706706561366571	0.722974462189892	0.506421337909009	0.423012780650867	0.486015572928228	0.761982083816795	0.7427875776659	0.503096224761685	0.255381900355254	0.00609222346665464	0.799650931119426	0.713444521526268	0.876606235609143	0.847182045779887	0.45719450674491	0.318455303383842	0.535864342241014	0.65629048743957	0.68106951944043	0.205641601778019	0.685294260016744	0.610571949096877	0.539357552521452	0.716442960081262	-0.489599008266073	0.540920631718829	0.755486360870663	0.753090856856005	0.727125818070466	0.458404825580043	0.532265092711432	0.831654935261647	0.22556627735946	0.461112301005923	-0.227459028262709	0.434606273540439	0.778453394044609	0.055647470726295	-0.224667631627737	0.401158027450032	0.602895004127928	0.205959850327568	0.648111010977146	0.624172902732138	-0.402588373752917	0.223145284368439	0.850662975792643	0.567755376203564	0.311593129560347	0.652887918527928	0.545572473868174	0.587591531403786	0.216304361498012	0.643986579521478	0.738861604762842	0.572579944458418	0.521143198100642	0.137732260483143	0.70659922289445
LAG3	0.302371203782394	1	0.900271210980796	0.625961029548905	0.742868704834828	0.632096770383871	0.698643289838868	0.892917631859654	0.85722893080407	0.855727323208925	0.766969872375608	0.800226845736429	0.412646145978966	0.850351534192249	0.411794101288479	0.857962635965892	-0.120805866433023	0.316279689594759	0.756779892550281	0.737963325137457	0.679768957832102	0.424946673257261	0.38606779405198	-0.176385861435037	-0.0850067677790891	0.794330264000249	0.852320062974186	0.405296339390197	0.822461481131526	0.646578234393841	0.626102066672402	0.352558429165181	0.674817487392037	0.748649908448442	0.177532791634367	0.519104998047088	0.82955419988788	-0.0900851715178054	0.865963982108181	0.155933932119255	0.229288905118159	0.236069754571486	0.692747551988264	0.267547887198782	0.347920826485863	0.337293465868357	0.611605104513293	0.786337387380839	0.567411801112248	0.445070087712724	0.515852916501541	0.695154192617041	0.81899758592711	0.561724559930803	0.447673363005724	0.848489633215127	0.352939961743664	-0.057021699104303	0.55388247700769	0.605635358489395	0.277350868988662	0.566437507962098	0.774594359154756	0.877387400152464	0.593113911058637	0.843316800986459	0.507772132131547	0.373560433880163	0.278534527747134	0.783775757361067	0.776750601644931	0.646562002721725	-0.208181802795053	0.574840665661427	0.542638424363569	0.566311793568628	0.574783455412941	0.641439821478195	0.450135209989018	0.628416413066663	0.407128351153483	0.333332241377003	-0.0716383492143463	0.429642017137177	-0.0532361560022235	0.532652133439513	-0.211647064874648	0.0987434000475074	0.769067838531487	0.303951391125024	0.629041990367812	0.584959785073251	-0.277662836639956	0.152892862507415	0.276757671403802	0.475071278367275	0.269784555456454	0.374022633877874	0.516077236971113	0.470299248369366	0.38249974175354	0.581107442501621	0.58626832968252	0.622737505956132	0.536709779583487	0.124051095788459	0.479683645325812
CXCR6	0.480995959245297	0.900271210980796	1	0.677839623830263	0.859087024507111	0.763232322519612	0.74065501628924	0.963699266083652	0.944547359200151	0.947353927814448	0.920426093840208	0.901544881494276	0.502868668552363	0.878993557770731	0.443765583980419	0.867557743343742	-0.17749185783062	0.44754969289046	0.844314999509392	0.826023764484948	0.748969904166023	0.562412748092934	0.262153634743219	-0.0762052776351004	0.0280107095211413	0.877844060593622	0.929592814807997	0.509690304839304	0.921877973749103	0.784351278387618	0.827462736189009	0.352307507680266	0.767954941649647	0.797977781276285	-0.0177854666298984	0.597001478990035	0.919632411222612	-0.285698564477926	0.944405328648583	0.284014053984147	0.323331065420985	0.336749309081056	0.805526543278063	0.438612311376964	0.467704162594864	0.479223575649662	0.572321821669923	0.908852037019999	0.688334497608043	0.583840708062226	0.560704906865586	0.708220401473387	0.86980357108366	0.716124022796836	0.514403599602579	0.938860590152769	0.381855278046867	-0.0650411321079677	0.62494652284055	0.696081761653662	0.428920613379018	0.7619674156496	0.810256369859825	0.864986382690865	0.579712821703831	0.93377570246328	0.615049553979401	0.360420432434026	0.392944900011676	0.931646814580829	0.844643599474883	0.785704553610359	-0.337529287030782	0.61731599007437	0.7494619120195	0.708632250552209	0.693426241247403	0.696726974771636	0.514202518699653	0.783902326578201	0.470703195161278	0.447774304390634	-0.228472452401983	0.497921481408509	0.0746728963732164	0.500992967878759	-0.358249856359249	0.157756730225045	0.854794896702318	0.253631274424767	0.733914088715775	0.62770154183435	-0.402709891327031	0.147610473493299	0.449490271778755	0.535513148109557	0.274560107611071	0.47903452306728	0.585534909004986	0.560314117603618	0.295559336159598	0.663272130439533	0.799015348091977	0.695379134978997	0.593347152099824	0.130535077996773	0.558188324575192
ITGAL	0.49079668968593	0.625961029548905	0.677839623830263	1	0.71405769384099	0.793824933947155	0.890521226934757	0.716364804736207	0.805726186756371	0.641867693892463	0.632845723162777	0.802757485841832	0.579810658346967	0.691756746556727	0.616259821429812	0.750907402680526	0.269727966484964	0.567349932105925	0.716589121460939	0.645448537468628	0.699264195881436	0.554535538007296	0.399232575364375	0.0533190206382736	0.197417057918857	0.613585754735757	0.646854587019846	0.472919442305239	0.684774858271254	0.820106453931926	0.499816218166737	0.681895894520959	0.69718858302642	0.600440818835485	0.279414235404168	0.719175208036027	0.736689388149964	0.156036071639144	0.744244478418317	0.438030013102045	0.448381955077701	0.396381586644123	0.702152208563097	0.472229733918868	0.597343661718681	0.521033430411796	0.52061163075748	0.600514135120687	0.639579684690591	0.302258928000907	0.637262322089836	0.727810344043261	0.77312891703224	0.642166557805493	0.759828170436256	0.659660197993736	0.338885012940343	0.0158843493357105	0.662380898323638	0.639341138783348	0.484402246780894	0.571800024611683	0.604014229430535	0.643384270993382	0.779699545154425	0.793763029850531	0.511504044588677	0.506470479847928	0.370564990123597	0.722927015124796	0.686336339062708	0.59471585571773	-0.0763248992910509	0.616059162049032	0.696397491739727	0.571346883882554	0.637795050635608	0.628406534146299	0.755185781693351	0.576730355848388	0.371618416127059	0.527899329161208	0.229166979696643	0.515174693817176	0.149678236978876	0.513568519676474	0.182538097261099	0.235776659892048	0.769987545748767	0.401607571441896	0.734502053302127	0.638073932452652	0.0900003808223781	0.289860249231662	0.433073160314983	0.621361794134642	0.387376772661514	0.59744634015179	0.55496786452167	0.600388220487162	0.41892644948406	0.628939143934064	0.443382678317968	0.645836743605908	0.474557371582976	0.194784350090744	0.6870715944636
SIGIRR	0.705578670371389	0.742868704834828	0.859087024507111	0.71405769384099	1	0.748328994923415	0.823775844328601	0.919478305240497	0.923660014282971	0.83272283942487	0.895961767732191	0.946493111269693	0.702397093477416	0.787538588751872	0.586340368574769	0.85520287202147	0.0207625154185339	0.545092924681461	0.852088539235929	0.813319019700431	0.732272415205601	0.717037184158788	0.212863653216122	0.194729102341734	0.30662898763962	0.845076580593604	0.865046877470107	0.752494453646262	0.917020111575047	0.897493677174848	0.780682596388694	0.484741767863771	0.883906663897789	0.78320009322995	0.052199087355715	0.720965764849148	0.842684159072098	-0.176514032664405	0.877377592429503	0.580759693368307	0.645621442713303	0.547518636007257	0.812409887488924	0.706906217409348	0.705595835789051	0.598589407789789	0.519281612665298	0.857222490312622	0.783899085618157	0.700975469680353	0.57141374765917	0.685530962254871	0.836415819702375	0.753147879295924	0.705618943372092	0.841826058357597	0.435354201976163	-0.011831918367225	0.771674577986655	0.765265590854397	0.695125990859243	0.813536087172695	0.780944607574718	0.743835578961414	0.689670323283039	0.920926785221946	0.649522489468879	0.356946837450682	0.543242534247008	0.850056724962561	0.773803026556447	0.836170433437808	-0.385827075607814	0.651615512422123	0.833604692683952	0.812669541921672	0.775428180861459	0.645924590409853	0.597772696633494	0.862654503695812	0.4936177414241	0.618838351433612	-0.140648511652539	0.546136419679328	0.39541822335669	0.473545606503714	-0.156252633438604	0.309595818031672	0.868322821232176	0.400934357604982	0.810004876350813	0.66270188671906	-0.346289179425129	0.290126607997503	0.665027363089958	0.645406796567024	0.396961874042401	0.68482988917216	0.686945464669588	0.647300030756791	0.390155521649372	0.780447216842021	0.820168927281516	0.71944134326747	0.647430948101649	0.180653081038217	0.732062737965249
ITGA4	0.553904524001471	0.632096770383871	0.763232322519612	0.793824933947155	0.748328994923415	1	0.887749508171151	0.76689106139821	0.847960572487169	0.809863798578858	0.725827365532383	0.801011104972175	0.670462394550713	0.80413832783417	0.655367239492871	0.717088017132207	-0.0344600952831554	0.719077607832409	0.838805513805385	0.80998488974458	0.856423777407068	0.701602407829223	0.269303708453461	0.206319174445053	0.322447828683973	0.711889727501618	0.764846039934041	0.533961201255241	0.712579461667078	0.842416313837454	0.64812167790569	0.587780918819756	0.776762439180329	0.646497075211666	-0.00574652972130985	0.801753723480998	0.751586523816195	-0.224174635852741	0.827907324437876	0.389985004376163	0.37627400758989	0.538234050753343	0.785152674699653	0.56540876857937	0.664211077090886	0.708084929270646	0.549265407320408	0.704634776018404	0.77660030202184	0.479364500565998	0.785506113395802	0.829720630464534	0.779115039093737	0.815302574863021	0.780085814631834	0.685568692556924	0.408637254187724	0.0549674097138228	0.749945820371173	0.800830173704366	0.580423333424674	0.729266013862884	0.724812121032626	0.667585186255467	0.656312127655054	0.824347314852798	0.740909255093365	0.542287327984288	0.512191090290504	0.82219983540836	0.811042576673204	0.626782510028337	-0.170000606627115	0.748847158597072	0.761898347856642	0.691924127703319	0.782397657931863	0.729712482451857	0.770353885029721	0.701767521928016	0.478809054378249	0.620422282405985	-0.0299717164294549	0.686246143197206	0.286549115900601	0.24568722544384	-0.215054003220556	0.335594373186499	0.820380174806283	0.324161602603649	0.825857828184272	0.781385720741506	-0.106802078579107	0.347202963868152	0.598494130621829	0.628531820362103	0.454082501522503	0.717514759563792	0.657307130140839	0.678192726167255	0.501532561276719	0.696286507698371	0.587629256252843	0.764647031406627	0.684021038756083	0.282133477728801	0.772292799257134
PTPRC	0.601684981809849	0.698643289838868	0.74065501628924	0.890521226934757	0.823775844328601	0.887749508171151	1	0.799663684413323	0.882710858557819	0.76040459303297	0.714287660394377	0.875543655364871	0.735289784636398	0.79868360488826	0.765306232593735	0.813690913946473	0.151837800187127	0.697811298048531	0.849958470914474	0.794781783551194	0.846988739094437	0.707345990784563	0.359524448472236	0.224872672752148	0.335176302441678	0.747816861164512	0.757055428511103	0.654242287308161	0.757470187038219	0.888594562993797	0.584070463575109	0.721096410680008	0.843292875848693	0.70552648862901	0.216676559797833	0.863952187237091	0.740781811228688	0.0281865321745892	0.828397657572313	0.523204833756258	0.525048643371889	0.575234544166732	0.797536945433514	0.611128049274943	0.73873370267604	0.687889730819928	0.629438060394043	0.69212861353289	0.772385656664906	0.47072219933691	0.781789560583721	0.841029392643851	0.831551314942339	0.776431511477686	0.869385470173411	0.691678382332802	0.420100033864351	0.0433064556091891	0.824650217212773	0.832849989943176	0.632536506455506	0.693375286072999	0.749160277686439	0.692846950204014	0.840225298903682	0.852738283955325	0.694475171269369	0.561475813098614	0.505085536704289	0.762031614845545	0.806387314652611	0.659841441271019	-0.146595100057687	0.759122833233664	0.751914737027131	0.699934190661223	0.779392778649391	0.725838990639935	0.819175914852958	0.696107251178997	0.464823744821735	0.6306901058102	0.131225144751244	0.648694951274676	0.290538755227865	0.379459603109643	0.0290500973270126	0.360911277198595	0.861389251644	0.456388931239966	0.857492496836127	0.799846601121278	-0.031797462508258	0.422523481772246	0.608814856034294	0.697914853778369	0.526856374975663	0.758356158253616	0.702246610303642	0.696336704085719	0.614334737703775	0.753375272215392	0.538065487455918	0.768714614054932	0.666467437765705	0.272441599736245	0.839086224408984
IL2RG	0.569628074500505	0.892917631859654	0.963699266083652	0.716364804736207	0.919478305240497	0.76689106139821	0.799663684413323	1	0.967489004397711	0.93601730252538	0.934238561906441	0.927148716527857	0.621100451115016	0.917973868853734	0.545064166343336	0.94027064286421	-0.107500660554462	0.515029988304887	0.911793674132716	0.893150211748687	0.786464522030768	0.674398371089943	0.224112262808553	0.0426006679273709	0.151783104204582	0.930317716984473	0.96544391816454	0.621848026644008	0.92965954049548	0.83303130143052	0.815654900193686	0.388940864668766	0.839402687454902	0.831026212488672	-0.00395784211920159	0.697669359731588	0.929888343541478	-0.282038357704579	0.961897948089458	0.369043600943813	0.415889601625682	0.464605654393399	0.867166134617112	0.570315683635144	0.615943993313689	0.564111898877087	0.611706228410512	0.948156818234664	0.783628481997749	0.643379002360814	0.564102870821942	0.770121714348714	0.936149288021694	0.728414889781758	0.595442774101098	0.916461468976253	0.474685717487448	-0.00872996693186472	0.710846321143833	0.77924894227955	0.562983194823197	0.806701725271083	0.87917444367984	0.894395855348119	0.659724126995848	0.959534827325779	0.666673780098204	0.398307627689243	0.486684922647046	0.924522842318936	0.879977964076609	0.824689597471158	-0.341140018344476	0.690735084973322	0.784093557702624	0.791364815953545	0.778145254560902	0.760528177128341	0.56797666165759	0.860256995299725	0.54327917969536	0.557648532805106	-0.234631453935952	0.569802628842602	0.178788746167705	0.48703751020568	-0.321644406136218	0.276816082038236	0.924975637733021	0.369407677718195	0.827382762415022	0.68379197641161	-0.384210306449038	0.286128025200486	0.531534943113969	0.66610972055074	0.414094407073645	0.572321507872749	0.701403998578177	0.669933496817646	0.36732978786956	0.772295124466198	0.819862694670464	0.773576688846314	0.684163421774666	0.210953947257357	0.681546134329135
CD2	0.60293812472187	0.85722893080407	0.944547359200151	0.805726186756371	0.923660014282971	0.847960572487169	0.882710858557819	0.967489004397711	1	0.927424539506811	0.897978151296039	0.96184761753133	0.661105258872795	0.916765500408193	0.588878563364073	0.914565902137234	-0.0579556534125043	0.608809853931089	0.931960230699111	0.889938534887395	0.855814551596159	0.687557190085135	0.289378555256214	0.0814463543450307	0.211327517032217	0.882444982852258	0.92919682911795	0.623325290272302	0.913760927049969	0.895453665883074	0.766448736655168	0.549893777170658	0.871386046085264	0.809621009055626	0.0298304491454143	0.761727786727902	0.930268670386623	-0.192448205962633	0.97154963317884	0.436662913530682	0.471571184354661	0.464587768372631	0.87655577594946	0.58806122029906	0.648181971537051	0.627212000340875	0.653970415262103	0.891092026393141	0.79002474394266	0.591934302992134	0.697529778012739	0.806631956730161	0.923391055779808	0.80735833577655	0.70061758003731	0.883188173161984	0.428095687815186	-0.030306977646449	0.772216300956558	0.797202868436386	0.588067656176975	0.799129047628043	0.859294744319448	0.827357763459588	0.716317399792341	0.963061794173	0.693398580992513	0.432695469882738	0.459993498918638	0.937784284078813	0.879719853805178	0.815222334934593	-0.319571860976224	0.736908609870696	0.823329674760826	0.766443680544883	0.798027335228972	0.749337393083572	0.657051009592691	0.836223150090616	0.521252910982144	0.585273633745289	-0.12769522416931	0.599047092057954	0.196398207266061	0.46050531265496	-0.227469294975113	0.271523179692542	0.929616325247601	0.355314067803359	0.850879744160468	0.765176931318582	-0.287066390232045	0.291569497497246	0.572495605452621	0.674884859811425	0.419510093405241	0.64348800358167	0.68279057499348	0.671835190556603	0.425466456994167	0.769388152766414	0.76462749135034	0.77417636938561	0.665977488350917	0.195873338786665	0.724590613793858
CTLA4	0.550387334996975	0.855727323208925	0.947353927814448	0.641867693892463	0.83272283942487	0.809863798578858	0.76040459303297	0.93601730252538	0.927424539506811	1	0.875925986018082	0.870066067393713	0.610993853016726	0.939429403027454	0.508553355828115	0.839178414195096	-0.203096659671217	0.61938214579178	0.917370756831424	0.916121829643146	0.86896001265277	0.67162491787584	0.18221128988096	0.0872384086730316	0.193990369847577	0.886663715364014	0.936701648127977	0.534924714219964	0.858849652921133	0.798127026947711	0.822115447717784	0.423367592275571	0.831257092110034	0.779017009942825	-0.149680263038456	0.716038112513004	0.86201171881212	-0.430868938778814	0.963781751438071	0.322880250178269	0.308548227584598	0.477927840806566	0.865804866306075	0.538127082722469	0.583193775401526	0.652154675438151	0.612822174069233	0.8894960836724	0.777006988064304	0.617915760233503	0.703400588370328	0.798978077190966	0.858278827389835	0.818113484608787	0.600593673936103	0.851548165155878	0.446326456094766	-0.00684185414250444	0.709555322903279	0.790974806014846	0.542260745891077	0.82167078923446	0.860347531573222	0.847957423696335	0.552847223211914	0.917260783589232	0.7888677901828	0.427355121126366	0.474149679914504	0.936746103835922	0.906404298139991	0.787944678114213	-0.343954395028754	0.741998343662087	0.779264132551788	0.763518137395393	0.806345025326318	0.780234543330715	0.549751227218763	0.834111146583922	0.51633673351219	0.530384431597522	-0.314963436281312	0.613153122157688	0.155690478645467	0.303884211979979	-0.476101804325527	0.291236876395544	0.893355079765176	0.273978671229746	0.819031141507933	0.778150216867166	-0.405504853397272	0.279856927004114	0.573287915999155	0.625781034166935	0.412968194065982	0.600765821116974	0.677157156750873	0.663855788939732	0.367935142830788	0.732372735490767	0.769007366830476	0.778857743659999	0.713684949963848	0.229507684583907	0.668206360611687
