""	THY1	C1QBP	LRP1	LRP6	CD47	SDC3	ITGB1	KLRC2	LRP8	CD9	CAV1	NOTCH1	INSR	AR	ERBB3	LPP	SMAP1	CD46	ITGB8	CD81	TNFRSF12A	ITGAV	SORT1	MRC2	TNFRSF1A	ABCA1	CANX	FZD3	RAMP2	F3	MCAM	ANTXR1	TYRO3	CD82	RYK	APLP2	NRCAM	PDGFRA	FGFR1	VANGL2	CADM1	CD63	RACK1	PLXNB1	ITGA3	ADGRE5	TSPAN5	TSPAN12	NOTCH2	TSPAN17	CHL1	GRIN2B	LINGO1	GPC1	ACKR3	NCSTN	CD99L2	PTPRA	EPHB2	SLC16A1	MCFD2	AMFR	TFRC	LIFR	RXRA	JMJD6	GPC2	PTPRZ1	LAMP1	TSPAN14	NCL	HLA.DPB1	CD74
THY1	1	0.966729944748572	0.892809692263169	0.920996084957346	0.924151973767639	0.876070552410004	0.901318383025873	0.914563604567144	0.907160157978763	0.89764070615269	0.883131782827141	0.934084663713124	0.756426039363317	0.891189184918006	0.91594628706529	0.907162959419626	0.957113735324865	0.81473767145131	0.85205071888454	0.899273287528193	0.754095528714267	0.852645248339941	0.891800122583604	0.703209675389291	0.857027579911503	0.618486002232172	0.927326210550705	0.905660661809673	0.907782108071708	0.787672417356431	0.924831240529475	0.889838628176432	0.883921826355355	0.883665015804952	0.913981827640876	0.889180888485838	0.8452465607995	0.952926464735396	0.931438144232383	0.869638074697941	0.932084037168476	0.898114092942893	0.954073293623267	0.88448137813428	0.750632598270399	0.86590617140742	0.852745651786017	0.930595220448292	0.874147098619696	0.860501976574111	0.773794365327639	0.784833058443656	0.890351973523229	0.830612603104887	0.860980115677567	0.784954845415738	0.891399712295939	0.852474501295262	0.910614717607249	0.911779368734976	0.902204549551258	0.887370289732025	0.826801000964624	0.844445073579078	0.857600552754261	0.85771882188296	0.884148662867674	0.913566470277228	0.908697017219348	0.782425153754244	0.952753513363902	0.448664504592392	0.137901783891397
C1QBP	0.966729944748572	1	0.891902820608796	0.92999634647931	0.9213824374028	0.88028185454749	0.890872381172015	0.894230717387706	0.89918402849338	0.907302207125361	0.905830235737604	0.938154801293401	0.743208455604904	0.899712665563466	0.920765175409593	0.911601609999755	0.962049056214707	0.815141543094627	0.845506258381613	0.912663565514535	0.756461769336477	0.855266041171403	0.886185050388356	0.685295044472834	0.846500270783237	0.613872664217859	0.932646536490836	0.90212351442418	0.921595566866316	0.785827203662869	0.919497316877556	0.906981714018616	0.880322392996386	0.884431250166217	0.913819900110415	0.870626644115978	0.843205306145047	0.929357506571935	0.929773819648261	0.883469778251684	0.931724763486848	0.904572677552048	0.977236188373889	0.897280524093948	0.750625473145147	0.865245961165111	0.851624401083107	0.909187135910912	0.868863053659976	0.864241186145902	0.764565901725548	0.781251468697784	0.899241775608751	0.834522199511454	0.85236587022025	0.78241928585453	0.893754720559008	0.841159901807417	0.925141668037552	0.920167752002354	0.904079750971802	0.89869847312334	0.84884767135402	0.856790717302441	0.875172607116928	0.836488763143926	0.890348211950409	0.90058294896074	0.911858863205237	0.777191520482763	0.958000023097013	0.455252372008745	0.139675714725524
LRP1	0.892809692263169	0.891902820608796	1	0.932037708784055	0.928183989845778	0.961942028455182	0.947165840780347	0.874002196667249	0.881095839769799	0.915770936496211	0.898363353119747	0.93288180005993	0.851653246161155	0.896293916670236	0.933019474605019	0.955219191108814	0.881878816257371	0.886556751050639	0.942611511145899	0.959324797776287	0.81520754565174	0.951003193001577	0.950704266020518	0.856415020024261	0.907075708135961	0.811890442307396	0.963605394249701	0.946388662192085	0.933955083723553	0.846278695631266	0.839075055896177	0.934316298313946	0.943909371189291	0.820297938590894	0.901223084966422	0.94095582209615	0.942154802334633	0.928958059351296	0.908459490150246	0.920219288884203	0.907241065787619	0.937143114784812	0.926769654502033	0.925018500884699	0.873610271635511	0.909860200877671	0.903361984303763	0.907428487470296	0.917859936038292	0.849058965145965	0.905264373886823	0.884455953363064	0.922844189221819	0.927161375520233	0.834435085035599	0.879165508468559	0.903967205415665	0.941156597917882	0.910000081448499	0.889379608203298	0.928627124601176	0.92181408623388	0.880369523390476	0.858154125886636	0.909219847709888	0.805030499641217	0.848575884970946	0.967287717568989	0.947716763239223	0.866599956464097	0.880538894767445	0.527442031247185	0.275034515594974
LRP6	0.920996084957346	0.92999634647931	0.932037708784055	1	0.908702717189015	0.916850906135861	0.9136337699191	0.878102351373232	0.897622294616831	0.887097648781622	0.876090286125499	0.947675505738866	0.833221306558745	0.920964697977307	0.920315138730022	0.932441598332031	0.908130566737318	0.881359947070366	0.901814000945314	0.928720614083468	0.753807962951924	0.908170564109423	0.92516697996161	0.779375357938151	0.84128618639394	0.725478623367034	0.948922863570274	0.945655974966249	0.919875109270863	0.798952953358426	0.878173544573043	0.91790904390259	0.923448138021378	0.855317881404514	0.915629991797984	0.922277455082523	0.89561293460507	0.932381359731999	0.911546367796517	0.917324810791448	0.939052608889217	0.898194084878896	0.931036266721246	0.917725296120501	0.811329973635244	0.873204877082292	0.89682433432279	0.914985240141507	0.909766042256456	0.834558602911429	0.837075269753082	0.836441861260357	0.922714144176695	0.878529942883096	0.873125751915329	0.852365452745178	0.898009767603537	0.895012553095233	0.935923304925011	0.921426306478619	0.920495700557859	0.898369417378889	0.858307959560514	0.849036104802956	0.873896232282272	0.815458736339737	0.88564466874687	0.945633824247471	0.925181791888258	0.81503085494861	0.937182065195021	0.450799126798827	0.16743339841848
CD47	0.924151973767639	0.9213824374028	0.928183989845778	0.908702717189015	1	0.947136078771423	0.938032449448525	0.89931387712492	0.893337883200131	0.93579175861869	0.900344580133086	0.928041539369604	0.801744302266043	0.896402125248365	0.923000650952734	0.955567264728942	0.909005759039933	0.836096937044928	0.919255810542278	0.939528528617304	0.842391898935484	0.923578271761487	0.926822565197361	0.816835668979247	0.92258152094394	0.731576297566123	0.957241770180428	0.925535736758707	0.933133891687275	0.847783921513939	0.877640152017897	0.919594571610702	0.91241443733326	0.848198929276057	0.921380097684516	0.941964284897108	0.920644255559415	0.952284076270892	0.919706442929884	0.89269317558164	0.903312933060086	0.967460221822423	0.934627002598491	0.902910635451028	0.861789871085651	0.899801324554223	0.890698727282856	0.92163700657961	0.880251034427607	0.869526850401682	0.886715048582918	0.879357752057259	0.915434157582151	0.926721729134963	0.85666966098553	0.845342398631408	0.912959866835297	0.931753242130094	0.898661166031141	0.891466967956517	0.92375394252617	0.916651656328689	0.833611022179738	0.895383766326006	0.890760463813769	0.818732555530269	0.844801375828505	0.942638830122391	0.955175897318168	0.831896097774725	0.887377548716083	0.443515080030063	0.160511465723161
SDC3	0.876070552410004	0.88028185454749	0.961942028455182	0.916850906135861	0.947136078771423	1	0.952011630842794	0.872489610113438	0.866952235201933	0.933511375496554	0.911765515849576	0.92681022621725	0.842084466548382	0.896147999612125	0.935704874421249	0.968784368151539	0.868293294046637	0.87292487812621	0.961480122217642	0.964744264872217	0.865397005372307	0.963033935694338	0.946932810501949	0.879601356090869	0.920311766241301	0.825741907296405	0.968480778490793	0.949460414149568	0.94264027186528	0.883817816561343	0.83665418636746	0.946320204212757	0.943171216135745	0.807777702673134	0.906008666323823	0.951365250722326	0.964946481884511	0.926111579663201	0.907218207702536	0.926017743101098	0.889639240086913	0.965907579277737	0.919034182775842	0.911090988930942	0.912338983871474	0.908215326020517	0.910593059636888	0.903358943272453	0.906480891120616	0.861125713830544	0.939109783649542	0.911516646698133	0.935184759458801	0.965744228295413	0.823959098057784	0.890499342512323	0.908089402137156	0.950764356824813	0.901556467552482	0.886831813943755	0.934543975338352	0.933217146109546	0.847279699486255	0.888240358301089	0.910328324696645	0.778641181735815	0.833658046637327	0.96689152026146	0.95733056904104	0.860053063507198	0.851471668601429	0.45835408322991	0.205289567773834
ITGB1	0.901318383025873	0.890872381172015	0.947165840780347	0.9136337699191	0.938032449448525	0.952011630842794	1	0.875952844112655	0.891889398613487	0.915235751356419	0.885347412933362	0.925151554305427	0.844465413325487	0.90091208262665	0.889081063394163	0.965719747532658	0.886245981160232	0.885835499336794	0.933321163948891	0.939243483318222	0.856485738393435	0.947755431435897	0.9476633775051	0.856673327974115	0.91587071099287	0.798767350579591	0.963303325671758	0.939813732584791	0.919497299736809	0.851799530176612	0.856891439224694	0.912311948622435	0.937862142259398	0.787385094140881	0.915080276085726	0.962935507620717	0.934965511487582	0.92522392904158	0.913057970612117	0.905534242132197	0.894459463808554	0.954208461672156	0.920514102537527	0.905196950431604	0.895635141237675	0.900179704630137	0.915052436299531	0.91611808285281	0.896056387068356	0.854819993084024	0.895086930200375	0.908798011914307	0.915115656058568	0.943385775167645	0.842590199591665	0.88347420443923	0.911031985633472	0.948763021305368	0.921314180828763	0.899397796015885	0.927757536687188	0.912987098998749	0.858387110924577	0.866768230408643	0.893573338721425	0.824301952028666	0.86423590299756	0.960230634495967	0.957847986402465	0.86057092118247	0.895163474453918	0.502829870804671	0.242505508530239
KLRC2	0.914563604567144	0.894230717387706	0.874002196667249	0.878102351373232	0.89931387712492	0.872489610113438	0.875952844112655	1	0.873556605916143	0.869500933718706	0.856093586471824	0.908421865875142	0.766734660519138	0.882863772177359	0.889991419856672	0.887297241200189	0.888294355138767	0.780230914112638	0.862503320809827	0.882335930173825	0.733336316605815	0.856189749213748	0.868007987984118	0.723368419798868	0.842647340759052	0.688431393180164	0.899008418056777	0.878000056063949	0.872158866704651	0.812242015123193	0.853811149912782	0.869210028761682	0.884632043717089	0.834626893035733	0.899874647136571	0.866036414213418	0.86101352822804	0.908186570356664	0.902572872145664	0.859545246088455	0.891588555951014	0.874708261633863	0.904902713825625	0.846711238699639	0.77051079598764	0.823689071778396	0.853466297846432	0.894053941490184	0.843858798350061	0.802912100854749	0.802019600998162	0.781143413890195	0.886273926723717	0.835714064181226	0.840588707104868	0.791070817737565	0.88312771029706	0.858128630319838	0.869746330717	0.863423735970828	0.888742152630923	0.85600307566458	0.777224132709988	0.814344308260143	0.821973009391329	0.81357071207986	0.820906144431468	0.899118475866484	0.888665293335405	0.762977161942744	0.867038699536939	0.38280972299443	0.0911093478536446
LRP8	0.907160157978763	0.89918402849338	0.881095839769799	0.897622294616831	0.893337883200131	0.866952235201933	0.891889398613487	0.873556605916143	1	0.862459473469946	0.824856689515736	0.907413680544561	0.775061041598785	0.857571281722977	0.87294136950333	0.895532617491567	0.914248254396508	0.823328873969767	0.860737961307363	0.887557950198817	0.717101744687093	0.863381680301354	0.873986287721419	0.721685376242042	0.848455729777798	0.679165123911623	0.90394711733865	0.877460382577402	0.871477338163528	0.773266027512167	0.873084324115044	0.867005944888944	0.873958290981734	0.82040431729371	0.919734084275344	0.88757591324877	0.852968423249293	0.908523359683234	0.904022648309744	0.875784059711087	0.909429839913454	0.867205187405867	0.90960571804297	0.901091544932962	0.766023781726407	0.844310285451052	0.871314141583697	0.882133440058607	0.858466259456057	0.804425778817087	0.778481181454313	0.798530189667915	0.892943982729156	0.824291058683631	0.849894320171854	0.798233374377781	0.855735169155776	0.869089738753214	0.901449448073457	0.879687732153489	0.880370315671097	0.874788749670177	0.806646097522626	0.811502721541906	0.872573538780012	0.824603845729111	0.858518026542566	0.894882152777145	0.885359991172108	0.805993469010389	0.890270687090433	0.467428348489999	0.176737336668345
CD9	0.89764070615269	0.907302207125361	0.915770936496211	0.887097648781622	0.93579175861869	0.933511375496554	0.915235751356419	0.869500933718706	0.862459473469946	1	0.940442797556267	0.900216067196541	0.752127855115129	0.891341927338466	0.903225593422497	0.928700027612166	0.88837663699281	0.832169479664161	0.884165365180917	0.919957487521868	0.809201863292032	0.901231241144404	0.89810758319327	0.789330014684168	0.910163522244036	0.711237793661939	0.947156719407139	0.906867685242077	0.903123841853688	0.838729567782174	0.851453334402589	0.90641508833075	0.890191732600978	0.81757450892716	0.892331036822617	0.902617930420165	0.898003380732285	0.915520071692371	0.908873824350102	0.87722950071388	0.882255217180066	0.941094523349946	0.94320159910282	0.875454223748499	0.834097175307008	0.866444125946827	0.874593613149926	0.875641744422936	0.862353346208243	0.855830639427837	0.857598582805499	0.828856067522984	0.885822066196618	0.901320121014627	0.81260109692514	0.822033091073464	0.882063631965018	0.89527330722493	0.870158012749304	0.915268258653154	0.898663350339641	0.887258697989387	0.823792487400385	0.88014909830218	0.924259090738028	0.771025450348577	0.814998336151113	0.910705325989677	0.923169815496542	0.794241436488717	0.862078348762817	0.410903818523307	0.141152028536451
