""	CD3D	CD3G	IFITM1	CD44	CD69	CD8A	CD8B	CD2	ITGA4	PTPRC	PTGER4	CD247	CCR5	CD27	ITGB2	CXCR4	CXCR6	S1PR4	ITGAL	SIGIRR	ITGB1	CXCR3	CD47	CD6	HLA.DPB1	CD46	TNFRSF1B	SORL1	C1QBP	CD81	IL2RG	CD96	TSPAN5	CD68	ADGRE5	TNFRSF1A	TSPAN14	KLRB1	RACK1	SPN	PTGDR	TRADD	JAML	CLEC2D	VSIR	TNFRSF14	CD74	ATP5F1B	CANX	PTPRA	SMAP1	STX4	RPSA	CD63	APLP2	LAMP1	NCL	PTPRZ1
CD3D	1	0.977596882553508	0.872500917119326	0.96423017022908	0.945350563634048	0.743821525371987	0.831436790700683	0.973020884050044	0.913248255593635	0.959450527801529	0.883558022043763	0.916465945969496	0.807187731936539	0.8472212527008	0.428739773222499	0.952443112596741	0.827145095185026	0.799118036915533	0.823386885330426	0.885145042309623	0.675777430323845	0.617084467591369	0.713436324675089	0.871943537304454	0.182049113370756	0.602309218933915	0.664460720343849	0.128679689782545	0.0188547578157449	0.0142819830205835	0.939881827892051	0.970579353800379	0.764866282857886	-0.0600434664428132	0.919153617873862	0.254462851636038	0.759803713208708	0.744019202241686	0.552350644689618	0.915089756378561	0.842808000649118	0.740524462741762	0.92840248242055	0.869314426341092	0.490271785937702	0.838817730601313	0.128573600339815	-0.180383155868278	-0.230955280335383	-0.243367424845963	0.380926024138006	0.330529269985131	0.609210934856117	-0.296776660347384	-0.0693919780681495	0.316225878626781	0.0929907396538478	-0.481777941611956
CD3G	0.977596882553508	1	0.889203231273254	0.936363063531365	0.88284198945084	0.74384922553873	0.798934306530365	0.927911674082415	0.917310492930457	0.938978941917186	0.827705806243209	0.867792268512834	0.753664303525	0.87683151577674	0.444128610390619	0.905677226418432	0.784248583888718	0.811596887638779	0.865019695257227	0.829444732444573	0.662412286605482	0.560782429324736	0.728216997623033	0.848518258994743	0.206213499316729	0.581141311973827	0.6538879039558	0.145567123940913	0.0164756650476718	0.021211741258995	0.873288364679396	0.921738931079946	0.756648609052058	-0.0674844205416639	0.90267822908633	0.226459061072918	0.767710743858879	0.702861509568592	0.531833942390797	0.855644979013886	0.856215050316547	0.718580404349939	0.936126824038851	0.847790375212289	0.476326907092272	0.878232332260218	0.149699375170798	-0.130480893489522	-0.182702569372278	-0.178653157524324	0.430894532515566	0.388683531790389	0.587654737897555	-0.280682916480672	-0.0694976581937814	0.303233742487055	0.0820058303365851	-0.461227608660428
IFITM1	0.872500917119326	0.889203231273254	1	0.916977961100297	0.717340242445177	0.689652365901375	0.625048769450566	0.75236073978697	0.879710513725066	0.791285693036613	0.631420139979325	0.940511824468767	0.766666110126114	0.885945527465838	0.380042072442364	0.843518860313419	0.665011751269435	0.942982205082007	0.679115954362608	0.817115588017509	0.713857842573699	0.782040448738678	0.576513337678158	0.849732128462589	0.265722640460636	0.385726224359781	0.613494741769414	0.12479156789791	-0.0261533164330003	0.0294473976802942	0.703571009334627	0.786474607851372	0.659125819413795	0.00965659514911488	0.758433473318965	0.337934253005943	0.632102176750111	0.639901000344451	0.575225758105175	0.669303201211513	0.678321901980846	0.66388738772535	0.820548984990396	0.800589074498383	0.47482341107691	0.883732462667311	0.202964403113864	-0.0225942758969254	-0.173295663218955	-0.185717961457198	0.359345298345635	0.274334833141713	0.632976161696096	-0.235644055287694	-0.0400796830141554	0.152811588856777	0.0255873128006372	-0.450352222072827
CD44	0.96423017022908	0.936363063531365	0.916977961100297	1	0.884760888439925	0.727043573208343	0.783003384844482	0.913991142679236	0.943752219357737	0.924905609775312	0.817875164132679	0.958340602541143	0.883563928976959	0.877582305543222	0.466514479886051	0.958557970045723	0.782177957839257	0.886875881986068	0.782416906104711	0.926952225522158	0.754751824946958	0.733327139208984	0.707389596645907	0.872951432608568	0.273497240109842	0.609896957816274	0.663251938625989	0.180341170581798	0.0330062515900525	0.0902331888609105	0.873716359690204	0.924487116890619	0.760848914844902	0.031812675797502	0.913495537674149	0.359574226738273	0.772214676388754	0.680206594629041	0.584119238067143	0.871824156836538	0.810416720591986	0.704552492554662	0.881868979546027	0.837243925916829	0.535401740675837	0.864557644976858	0.215001804130434	-0.0831361079387534	-0.181792393621785	-0.217565669942449	0.395045841484422	0.363994646608037	0.642606289044533	-0.226376846418533	0.00917735276955662	0.308696780973747	0.0902704970930624	-0.449446602097936
CD69	0.945350563634048	0.88284198945084	0.717340242445177	0.884760888439925	1	0.602376406108513	0.770263656265141	0.97482069600309	0.830007395107607	0.951158214474192	0.96781680632182	0.841334785749745	0.731491823207016	0.657974281510168	0.463163636467374	0.952275268622184	0.796672604579706	0.617325732887291	0.719175152958174	0.890315926719015	0.666248569725867	0.536845449543308	0.716425146124648	0.852624768921137	0.229291284358915	0.674870326312329	0.729160928690831	0.209146872782031	0.16633329694133	0.102952082812729	0.991134606614576	0.984724002700853	0.745936458603867	0.0150158134018159	0.876042105700493	0.32154601667181	0.76135908647643	0.817439177319038	0.625728934048529	0.968345562117037	0.727244449706695	0.793033436789982	0.898072127857549	0.869905464709743	0.571120944024275	0.714738562184489	0.186265821715896	-0.165493162869026	-0.147156219507563	-0.206687451046686	0.40366726657927	0.34311787125445	0.666998303754911	-0.174680693772231	0.0489115111067723	0.452906035634069	0.248822583627915	-0.412742470950153
CD8A	0.743821525371987	0.74384922553873	0.689652365901375	0.727043573208343	0.602376406108513	1	0.930580799444208	0.735626233811887	0.577086386090327	0.672902861061555	0.53594186243747	0.658296243772827	0.670821110427783	0.862434772605667	0.279053869320766	0.620869961465578	0.899958218585638	0.681725709141991	0.842318640429725	0.558457789351346	0.377580408111903	0.555643727720946	0.478171039802688	0.378933419198281	-0.023178395775547	0.400100965799401	0.32852889635213	-0.0106180076122914	-0.209214448752178	-0.111147307670848	0.639417035330364	0.625145150811052	0.534119608324167	-0.141201446315123	0.626963333982054	0.0361694986218929	0.381079540482008	0.164574855003592	0.116152645104263	0.567067278236748	0.823538667566294	0.176369010132486	0.650714633042262	0.386202863016526	0.106996404414077	0.68400464146703	-0.0394505123419163	-0.189763782456985	-0.444931668560274	-0.323496096836567	0.0420363673256427	0.141307010659101	0.127659886118081	-0.437841976876311	-0.266367420335667	0.0669373443149507	-0.16055908313859	-0.476812766777798
CD8B	0.831436790700683	0.798934306530365	0.625048769450566	0.783003384844482	0.770263656265141	0.930580799444208	1	0.872356506959623	0.655254959796654	0.801356009809934	0.718978052840681	0.675009333216354	0.700895466314662	0.815172969256449	0.326824762119611	0.728896086350892	0.937377371169842	0.614960443709252	0.90158842374521	0.652410160026739	0.412593616191075	0.445711256336396	0.612437203255605	0.467140115184554	0.00232447297379192	0.574610089760007	0.405080709009496	0.0314979697075235	-0.101774731690765	-0.0681416552665233	0.800964201629934	0.771053478963842	0.646775493127044	-0.146062675409697	0.777899194432032	0.0368666297815858	0.519225396068581	0.316606487047422	0.199272239166661	0.761255264971185	0.912255536874646	0.319739911397477	0.733180778299216	0.482792364770909	0.197440531964768	0.669881342210549	-0.0260135271118903	-0.237779217753985	-0.405577081219783	-0.326710794549213	0.132839631454142	0.218394190170948	0.218601227794854	-0.401374019608511	-0.217876961808565	0.21430630005582	-0.0601434597280261	-0.471803817536856
CD2	0.973020884050044	0.927911674082415	0.75236073978697	0.913991142679236	0.97482069600309	0.735626233811887	0.872356506959623	1	0.851656757214993	0.955101028284209	0.928701385480913	0.843756819715816	0.783491244486116	0.770598002660218	0.420272540520631	0.934926173128183	0.8681257005131	0.675562063011704	0.824797443104788	0.863591528094913	0.611037134653295	0.547974190944251	0.71132632490616	0.803475542524148	0.14615821341485	0.656175280885351	0.646585676220302	0.122340390861956	0.062449746748951	0.017149965512402	0.980482004651943	0.977162522816113	0.745768245379901	-0.0772308426984832	0.907145105363692	0.224477465658798	0.737897743615797	0.710337436922835	0.51177598826707	0.950211325061923	0.840541336974795	0.691583861274905	0.897921967513499	0.81232752154698	0.456556559785891	0.753664989092935	0.0968633389598778	-0.207176641923073	-0.252296042398863	-0.258139316683221	0.350240456094704	0.322405340099175	0.556375884622994	-0.28407300050643	-0.0697685263489689	0.36534740794099	0.133768972550882	-0.461384904241747
ITGA4	0.913248255593635	0.917310492930457	0.879710513725066	0.943752219357737	0.830007395107607	0.577086386090327	0.655254959796654	0.851656757214993	1	0.900819950040186	0.763626193063088	0.887504294130519	0.820385963411682	0.844134289954961	0.483348542689392	0.925117260936709	0.642129763765994	0.872199891255675	0.753769152227684	0.895340846202129	0.761893250168746	0.651815585912364	0.705840518007123	0.899045857678138	0.37872921970146	0.622496157560178	0.688243655579101	0.223828283700032	0.114579044218991	0.147100203665864	0.804366164489072	0.879077541085323	0.742264584848792	0.0541658499021397	0.920635998074947	0.380641883149781	0.824968590218267	0.698811785289653	0.636429757213294	0.839159104798832	0.764736720789268	0.73359054867399	0.871588933379029	0.835305302932558	0.578975264269182	0.880766430624085	0.293363774666112	0.0260990613019195	-0.0813644397051452	-0.142388876963567	0.51637534418267	0.460026383870164	0.698518437012123	-0.122629231855852	0.0698298107711231	0.336097427759574	0.130113821709898	-0.406638417539704
PTPRC	0.959450527801529	0.938978941917186	0.791285693036613	0.924905609775312	0.951158214474192	0.672902861061555	0.801356009809934	0.955101028284209	0.900819950040186	1	0.935864633263731	0.845337503944837	0.740536219045208	0.774796562257167	0.626360373538036	0.959559015310621	0.788384147009285	0.718838728780678	0.833958785288619	0.884548257255981	0.777566514155779	0.517600177450852	0.800621213854189	0.841939701773326	0.365572228757629	0.745021761924386	0.783554909663398	0.365480814047904	0.168455489825827	0.245299687171506	0.937953901777317	0.955254516621346	0.806604695378699	0.153342519508216	0.936074687351961	0.407415342235188	0.873087380298028	0.745639260701368	0.634098806734898	0.951458823787459	0.822513603048748	0.773049470066349	0.949533406789386	0.853622021149845	0.661707794346979	0.836811745000851	0.340419460665229	-0.0562981055175625	-0.0585065281856405	-0.131291416045314	0.512736091531816	0.511084904369651	0.67120186210419	-0.104778621058834	0.156062757655682	0.539668011715355	0.246411909614629	-0.408344692852803
PTGER4	0.883558022043763	0.827705806243209	0.631420139979325	0.817875164132679	0.96781680632182	0.53594186243747	0.718978052840681	0.928701385480913	0.763626193063088	0.935864633263731	1	0.750504444866726	0.668665955969015	0.559381052129943	0.581103636752455	0.912190921942151	0.738816615599349	0.500996287022084	0.692518232056592	0.856699226779363	0.682755386647859	0.433238962648208	0.735534682321544	0.796535116563904	0.302268463712695	0.719876324720778	0.753761144640472	0.345807771777642	0.22829071343476	0.23280155493152	0.957095144062233	0.944387956367583	0.726664304654662	0.144291242591136	0.833183126525581	0.400459618037712	0.808094711538992	0.78851288125328	0.62189349616792	0.963144099403717	0.685727621537441	0.79282887586379	0.878258604252893	0.842537843260619	0.652985036265072	0.646900943717067	0.293217818374129	-0.121941007468203	-0.0469800505640726	-0.133377201880904	0.470837143382733	0.445587548759799	0.654267000649717	-0.0672711007449428	0.175542762772692	0.576485323803955	0.325808865893829	-0.351325409260762
CD247	0.916465945969496	0.867792268512834	0.940511824468767	0.958340602541143	0.841334785749745	0.658296243772827	0.675009333216354	0.843756819715816	0.887504294130519	0.845337503944837	0.750504444866726	1	0.840544975990597	0.816382668600613	0.37310012912982	0.92900796555177	0.71170801700565	0.89075519823753	0.627254384086239	0.904485014438898	0.737230555302733	0.820565679942741	0.596915892694398	0.896696946933578	0.249251175328166	0.472074279836868	0.638923064090958	0.115622063606254	0.0120613663416916	0.0341432089899745	0.831871519840081	0.880579558346092	0.697781878947777	0.0179351012870224	0.819095243690845	0.368859107184104	0.661264974603741	0.729271035726303	0.619289895401426	0.797496162313422	0.668341554157328	0.729812768926135	0.823545134973867	0.854727861184423	0.514035024298435	0.811283997884945	0.18334100124879	-0.097129926754773	-0.217791599496001	-0.265910770023656	0.328295884936424	0.210196950135248	0.683865701857214	-0.240194911621127	-0.02369435572133	0.213704263787794	0.0791373609231521	-0.466780227620228
CCR5	0.807187731936539	0.753664303525	0.766666110126114	0.883563928976959	0.731491823207016	0.670821110427783	0.700895466314662	0.783491244486116	0.820385963411682	0.740536219045208	0.668665955969015	0.840544975990597	1	0.786238706668737	0.364500117776338	0.820169803401618	0.719433632517502	0.799296195700555	0.638682243029367	0.866914421445143	0.606356226461452	0.798115446545061	0.453546872854436	0.712888509877416	0.120199502362639	0.489661479307007	0.471401580489292	0.0631392820606892	-0.147697797808755	0.0198223672329327	0.718239753686301	0.770969610939529	0.497781833951767	0.0172146301590518	0.738967053453469	0.318406330718789	0.6190246619546	0.442353826192908	0.350626107988809	0.727909193097069	0.691098800505788	0.430124898897124	0.623183338976408	0.63039629529941	0.367220484716799	0.710291852585788	0.0986588708122618	-0.176577502698566	-0.349838579056846	-0.373257741686327	0.17506910278096	0.290093833435383	0.407969680560141	-0.307363833505292	-0.091911128303662	0.140983879779638	-0.118421279983685	-0.484529755424785
CD27	0.8472212527008	0.87683151577674	0.885945527465838	0.877582305543222	0.657974281510168	0.862434772605667	0.815172969256449	0.770598002660218	0.844134289954961	0.774796562257167	0.559381052129943	0.816382668600613	0.786238706668737	1	0.344933137782774	0.756012120225007	0.766457754326528	0.900909749526059	0.870166061653927	0.707698243992887	0.577050657491016	0.652520743108191	0.586483141171849	0.643068176796121	0.157225944646645	0.462784119369779	0.463942018644893	0.0553143705987008	-0.141961476430727	-0.0335592043568253	0.665417900352174	0.718656469969004	0.637572380794317	-0.0846764299206926	0.797981867034196	0.157273855524975	0.577794988576748	0.364215128633452	0.329384882455819	0.65447408126887	0.861907325651277	0.400377453618385	0.748878652047687	0.571308079205241	0.284223560035356	0.888277993497771	0.0966518885730046	-0.078357851429585	-0.3087950008981	-0.260725453109703	0.246358029207455	0.302716161586753	0.374187506625625	-0.352559333255651	-0.173728521192624	0.0896517925786533	-0.128848737665271	-0.486450518418664
ITGB2	0.428739773222499	0.444128610390619	0.380042072442364	0.466514479886051	0.463163636467374	0.279053869320766	0.326824762119611	0.420272540520631	0.483348542689392	0.626360373538036	0.581103636752455	0.37310012912982	0.364500117776338	0.344933137782774	1	0.560072996384878	0.324156882186336	0.336712740130577	0.450989581307604	0.534695200252863	0.832402319862411	0.24491923881155	0.592536938594704	0.415619878343315	0.747501554436494	0.68761815722199	0.784901476288893	0.922259802708858	0.361701125741936	0.850329477485326	0.424417182820324	0.428230368466536	0.473737718887696	0.830984209285563	0.489616407392706	0.784070276484802	0.799121154995663	0.347166332148523	0.561495926087554	0.522974819007008	0.349018715260721	0.477279446203729	0.549841433026369	0.443069024409428	0.890433862869982	0.559269193924089	0.866876310013805	0.339980470995342	0.428510438877216	0.213653250197286	0.605659819593163	0.799601399966948	0.531102014990094	0.453771721759959	0.741577701335434	0.872234582778695	0.461669384486032	-0.102592534111938
CXCR4	0.952443112596741	0.905677226418432	0.843518860313419	0.958557970045723	0.952275268622184	0.620869961465578	0.728896086350892	0.934926173128183	0.925117260936709	0.959559015310621	0.912190921942151	0.92900796555177	0.820169803401618	0.756012120225007	0.560072996384878	1	0.76201657403308	0.782876869671053	0.721067057820021	0.967079109353956	0.811895824460928	0.696605208489031	0.750354972542873	0.910994409011011	0.402449700470197	0.689991213784093	0.791655428211607	0.308481652383616	0.211223574975139	0.225566385756095	0.935150087155974	0.961369497882518	0.788226518064476	0.144346921932112	0.907246266275698	0.474178759615292	0.824464454447156	0.789145507483751	0.72529673812388	0.93298740774265	0.72084467656203	0.806099562192465	0.919928019150499	0.890485065390887	0.671346667111864	0.823358490709687	0.345353559581355	0.00267342712646082	-0.0698697333296065	-0.152928910415539	0.502087427968477	0.421356479304146	0.767976601539307	-0.070171512903713	0.152709846136233	0.474987871536377	0.275868514935402	-0.412300979289143
