""	EGFR	SDC1	TNFRSF1A	ERBB2	NRCAM	PVR	CHRM3	CD9	F2R	NECTIN2	ADGRV1	LRP6	SDC4	TNFRSF12A	INSR	CADM1	LDLR	PTPRA	DPP4	APLP2	MET	NOTCH1	TSPAN12	PODXL	CANX	ITGB8	TSPAN5	SIRPA	AMFR	AR	KCND2	ATP5F1B	CD99L2	MCFD2	NOTCH2	CD63	SMAP1	EDNRB	LPP	CD44	IGF2R	CNR1	CAV1	PLXNB1	TNFRSF21	PILRB	ADORA1	SORT1	MRC2	LRP1	TNFRSF10B	CXADR	RACK1	PLXNB2	IGF1R	ITGA3	CELSR2	CD47	TSPAN17	MTTP	SDC2	TNFRSF19	SLC16A1	CD81	MCAM	GPR37	ITGAV	GPR37L1	RXRA	SDC3	SLC16A7	ADGRE5	ITGA5	LRP4	AXL	TREM1	ABCA1	TFRC	HMMR	ITGB1	TSPAN14	SCARB1	TRADD	ITGA6	C1QBP	SORL1	CD82	CXCR4	CD74	HLA.DPB1
EGFR	1	0.116482023878915	0.230939600532417	0.154457128892107	0.127547344165901	0.141830009870342	0.337144841803044	0.562264567137226	0.397466496150603	0.354015345693149	0.163457432364326	0.432538613076049	0.0427005299286188	0.244526663245861	0.26981544120269	0.67326105748066	0.0895366094991121	0.509783884655558	0.124925179762214	0.548588832207972	-0.00407913700314864	0.492492283149936	0.685189682343538	0.0870738879752615	0.411159611263815	0.633580581136565	0.649000220678779	0.176140808013873	0.212892159501051	0.540530755065375	0.695129035142026	0.610641400668549	0.31102993713975	0.400153843668636	0.644769054878703	0.318863777306825	0.61218059277967	0.645228307564266	0.179505153710493	0.118097874983031	0.109962925453656	0.118431475303213	-0.0108670900361821	0.350164967105879	0.376582634260228	0.357636821861776	0.119017616802915	0.439960883611598	0.120020095504383	0.171225710544958	0.185800536892942	0.343045044564292	0.37334927355479	0.078655834689704	0.459071773779755	0.0437484689808804	0.421727188491604	0.453937530061998	0.274201146495947	0.327179930547588	0.369369965547402	0.587590285260869	0.211175421676505	0.238829077544619	0.258750786623754	0.0599570096312435	0.401907077553783	0.574431482481871	0.346838748767341	0.596870221244225	0.183551815548729	0.415286603410432	-0.03777367781373	0.40755051713778	0.26127066479832	-0.008930800729951	0.132427140095478	0.0453906242450841	0.702017009704151	0.180386106574938	0.36434517333065	0.071862557213728	0.305326993384308	0.392596356851309	0.415160301018618	0.110353637407105	0.372500993026149	0.0443750199895289	0.0201506470769108	0.0539949032602073
SDC1	0.116482023878915	1	0.778584637658594	0.819783329205598	0.883473168577469	0.840785872589463	0.412485669439735	0.449700045400585	0.672457885831992	0.689472314204621	0.645785635930143	0.721109122947824	0.522084856721921	0.527795143504863	0.736567486444465	0.371801445252889	0.879488037518587	0.760248592113944	0.768954009804228	0.667281756690326	0.807258212473148	0.66532878347954	-0.146446122706247	0.838281795028752	0.775020223392949	0.538058004334902	0.326766937308886	0.798278567210564	0.725198898762536	0.441008582072008	-0.305523711402636	0.344722050858145	0.805094259469916	0.643610751492469	0.510467140622107	0.698932071688102	0.493791846572977	0.0674208135370607	0.809551314807457	0.706043070157502	0.826047104751814	0.90950722387902	0.397540723056834	0.542091024845368	0.567593452351361	0.695672764143619	0.861912121434775	0.761074566598162	0.872017586289657	0.860887661293694	0.687664875701684	0.716039129725104	0.552287790908419	0.84278538942722	0.603216369599322	0.682315053229292	0.739002376514182	0.563375979507946	0.58836933954253	0.188952751571812	0.594169597536483	0.58913533391429	0.630282206933864	0.811201514060525	0.423164835518873	0.841663970419264	0.736603871613204	-0.0504298753992685	0.816397946070948	0.384581256132629	0.74247599974293	0.717201073805137	0.414048734765679	0.198317049878256	0.602551102921118	0.168301250791048	0.838437946659521	0.614221117918283	-0.0521246042506308	0.622184171788584	0.640544799390697	0.770775308646771	0.646457667573833	0.197829197044765	0.518945729100671	0.795094918851072	0.334770378529176	0.229563343662634	0.267717655509132	0.166446625963942
TNFRSF1A	0.230939600532417	0.778584637658594	1	0.707179327233908	0.88016957205346	0.838722962358317	0.75390328359917	0.783342765759681	0.692136358441023	0.887158562707561	0.46500051070563	0.761321440779096	0.675144385432196	0.900691285865479	0.701224301356942	0.647046954002025	0.86022499940948	0.865304346041321	0.71060003031822	0.90331086639197	0.695259396588676	0.677554966074316	0.139870209076215	0.842227314728806	0.939247922930731	0.719299841273319	0.63985484308342	0.719671847210047	0.844012079534497	0.715353775811636	-0.19572248151267	0.665633626304615	0.834575050016632	0.908362925354158	0.661964951484043	0.934730099307995	0.787892625663095	0.312217137478027	0.895815084237103	0.928616765375054	0.763966248511695	0.79589165425617	0.511799024577153	0.496380277634701	0.77218522219175	0.523760086792754	0.78508205185329	0.750206998248322	0.838454671118296	0.797837241531095	0.82706996127849	0.832564689544566	0.86102431757593	0.75180288976027	0.73372658894158	0.860850619022658	0.687994062662889	0.86258357902567	0.83485801417584	0.643447663477464	0.735823125437388	0.732611802378802	0.725308523431465	0.865642493738429	0.407768762795784	0.687649479100873	0.908852633786922	-0.152883392050489	0.752957959213243	0.531959751585095	0.865467627359374	0.878867431562567	0.519469889195215	0.225437916134441	0.703239219597662	0.343094125587023	0.874616138229051	0.6902804929635	-0.00150446892061771	0.704051789248541	0.693628442692536	0.747416032102095	0.888624445978639	0.337162403307311	0.848208140485168	0.739818022833916	0.499826520414221	0.295482570065568	0.368120321005042	0.303906864775046
ERBB2	0.154457128892107	0.819783329205598	0.707179327233908	1	0.816682846845766	0.762854100937455	0.324853270134557	0.421841010019358	0.644765567619287	0.619922215602459	0.665561856185024	0.695809735938091	0.518706275175749	0.475759717346543	0.703376543513392	0.327381583507898	0.798611718833019	0.727884897683392	0.735044725349332	0.612631970267804	0.781009697137904	0.660939092640197	-0.148613619449943	0.800407142876907	0.742483278294299	0.529991561381785	0.255288191293967	0.803135876850163	0.703189342440589	0.49006196385708	-0.234531889645933	0.307967941067954	0.806245957519965	0.593460892121649	0.48413804554541	0.654685411937824	0.451473096966082	0.124388725472588	0.781012923430055	0.656989301468656	0.779064930161662	0.847628677655292	0.392053696353694	0.559720499996217	0.531311908428141	0.606507395118681	0.80507493205044	0.677411482242901	0.839311051069089	0.814124802456008	0.613989907955464	0.66963981144895	0.506382498180565	0.823669210874227	0.594529505713163	0.681433400029201	0.722504159810081	0.509606583029071	0.534778004511818	0.2608696065565	0.566795519616369	0.550169200493661	0.595218825747948	0.787830318297366	0.387855119274243	0.821875745253685	0.698202997236314	0.0477666220721925	0.797381481552679	0.416369913239269	0.768055949797794	0.643217591044534	0.437141640291966	0.168902603460762	0.621293147576687	0.186396191928506	0.798908819953757	0.570804091451907	-0.0383723129006563	0.587348210650623	0.555299269343712	0.680823552697599	0.6408011542845	0.276369437298533	0.456274436366742	0.746832994240863	0.309447507759612	0.204137363152265	0.219421137989473	0.119884288339677
NRCAM	0.127547344165901	0.883473168577469	0.88016957205346	0.816682846845766	1	0.887359898053904	0.55549704780358	0.547025427062066	0.726022720345025	0.831829453917615	0.583764894153977	0.761224813619975	0.753613164936298	0.707686925206208	0.754263612763005	0.382729414008143	0.911612640370244	0.79421315350121	0.845436340729608	0.750123062576881	0.905784604850951	0.622773990951014	-0.178269251289232	0.861683670418859	0.87501654556806	0.584507362834714	0.366182795597571	0.855975065560427	0.845176299289217	0.588641009066327	-0.40978306578253	0.409123339864594	0.827468838922495	0.775037545623969	0.577234459763165	0.795662089142957	0.569006495733216	0.0264893528908524	0.934364774883248	0.880286206738155	0.916311428476439	0.878271107988887	0.571438656147181	0.569258521984953	0.613497013044905	0.684326880956684	0.896284079081506	0.73283043807518	0.9410778805417	0.915800956895328	0.823825790859614	0.725054182214329	0.69347562249951	0.897366079907877	0.70999640382286	0.85380499191045	0.795141888979005	0.709339825982427	0.653531569693343	0.407300949608124	0.648489796701324	0.612908066393417	0.774114128509751	0.896178462796081	0.381488094789539	0.859552659881211	0.843503670746953	-0.168684508215403	0.85449253345113	0.395556771268242	0.911458549586088	0.831875018411304	0.607661971695763	0.163754913900018	0.669236218822578	0.421078989628283	0.954422363457735	0.711531956261967	-0.0839650083808814	0.742472399289653	0.601214950728225	0.855418966633577	0.793894392067987	0.169234146877567	0.622769627701817	0.791656534409518	0.526146471608994	0.329989617084148	0.325725874824705	0.253903737551252
PVR	0.141830009870342	0.840785872589463	0.838722962358317	0.762854100937455	0.887359898053904	1	0.547516884895192	0.561636749724581	0.689307807164919	0.803473329806794	0.530309110096409	0.758496885767884	0.645850690751116	0.690386812994582	0.752594021641544	0.432531232438282	0.842580986524235	0.778119548774548	0.773928142504578	0.746380395407756	0.789835022664105	0.626499933742478	-0.0427535213012124	0.79254551446686	0.826856965920147	0.601703328246009	0.424739907544673	0.740817439336779	0.749981993444448	0.585927960875167	-0.29403065105328	0.483474248626725	0.825070980324478	0.764203568568853	0.561145369753327	0.77489861170122	0.580284954809479	0.107367584046666	0.865726692679398	0.808439794897936	0.871932754979292	0.815397046681795	0.496702509970498	0.477548850415607	0.639014943740473	0.688470025528408	0.813777233573555	0.715728927021338	0.842878408536562	0.813468561593273	0.768650674253897	0.77268118891926	0.689846593899667	0.787352434047005	0.660515851699367	0.777796630206153	0.719842674426476	0.682661548621523	0.707642429067165	0.410723552953076	0.65498787730737	0.62645020933495	0.713677235404025	0.820938618746449	0.471706043040796	0.762373091145702	0.777880626619581	-0.139393844265689	0.806983775444732	0.458285218046229	0.801707973715136	0.821012131879611	0.528296500548641	0.135694655050689	0.655174975385933	0.313630439534403	0.847917466713979	0.667525600337529	-0.0551901615869326	0.71436840801159	0.642515020925382	0.825334599571906	0.721226207089802	0.176561715571109	0.66430732534687	0.756827546490041	0.487424338627828	0.3078371999771	0.30229852242058	0.237262405258123
CHRM3	0.337144841803044	0.412485669439735	0.75390328359917	0.324853270134557	0.55549704780358	0.547516884895192	1	0.771288666832715	0.387173970581548	0.678636335348346	0.208467161364815	0.493487048372173	0.40651537732844	0.815075208635883	0.467208915542887	0.670109596852005	0.484473215108495	0.668916033550728	0.378208158065977	0.774046579486917	0.300617856271585	0.524324376966396	0.399517393255566	0.524176840548022	0.709690416690687	0.594613895110828	0.698320936827742	0.330731673335699	0.53924719123492	0.667807339187848	0.0613137576220009	0.708704571765863	0.524471830927951	0.715145041052722	0.533458964965859	0.758040727912247	0.752616580015989	0.439627767731415	0.60113829822643	0.675371438823987	0.425826041394519	0.469972517676724	0.322590080490882	0.326158161502198	0.623517136858574	0.268701067681788	0.436621561160665	0.562906767741882	0.476286626438131	0.398240023213037	0.612409184831923	0.686066379232822	0.731902680473631	0.352390412507885	0.56322939122767	0.649772034239808	0.348071075305473	0.724946153951647	0.743997604101118	0.691791486262543	0.50862598639457	0.621036397854074	0.535517603028405	0.512404586940583	0.264319232011713	0.306137333315898	0.621455796011397	-0.139220986748091	0.432812458143273	0.603062917821318	0.564057117126132	0.677608182152224	0.288766269443281	0.258812299790497	0.438378775637585	0.204559298776948	0.510413156037889	0.424894504030372	0.132944542782674	0.411779370712677	0.580783546204993	0.504509875028782	0.67457289227054	0.282004848395423	0.7606125707111	0.427605577276911	0.321308426038708	0.152493999778228	0.213703530040459	0.198128547660774
CD9	0.562264567137226	0.449700045400585	0.783342765759681	0.421841010019358	0.547025427062066	0.561636749724581	0.771288666832715	1	0.516057719890185	0.755600965490505	0.157734879754879	0.633318625788208	0.455958319666289	0.837562273182613	0.43939761715609	0.872722403335313	0.51222378546545	0.778412227223769	0.492906724946131	0.91497738447434	0.346102658719802	0.646494085478589	0.623375345294864	0.556965942716856	0.819857237724408	0.782772456701331	0.853958249343419	0.410629908863965	0.623641113221778	0.720560521886265	0.32794484881983	0.932203870509237	0.60846343925475	0.831833977386972	0.719683337191895	0.867257425223051	0.920593936902265	0.590510416325942	0.61798519090287	0.662638072282229	0.409684741825706	0.489354607893706	0.350727949974449	0.2962182739546	0.691763887687933	0.314688872200427	0.488559311386905	0.599762625225498	0.446334281655922	0.425708207912565	0.593165939796261	0.795368737417251	0.867052634560065	0.403063754956959	0.686367326717726	0.635017743899074	0.524276633393141	0.886774042243132	0.833067557824608	0.713270960795322	0.617440941763965	0.785280691836117	0.597949233300156	0.568117540075804	0.328448966796606	0.370990233217126	0.762059964068906	0.108181984203171	0.489126303409929	0.702304288491321	0.584240044488435	0.783073946644703	0.29162872166578	0.201229783708937	0.539302036067566	0.226985980679561	0.577565550247171	0.399101022907605	0.405272013877917	0.467538115285376	0.625901164786313	0.430307693182962	0.755318190356071	0.33197510162338	0.914542299392485	0.428305856846714	0.472746356556324	0.199538083150568	0.249478366831302	0.254741699342785
F2R	0.397466496150603	0.672457885831992	0.692136358441023	0.644765567619287	0.726022720345025	0.689307807164919	0.387173970581548	0.516057719890185	1	0.814750910304721	0.414409568225663	0.692524514026757	0.588539044980201	0.577952849231791	0.701233935025159	0.458752252471276	0.688814103392523	0.747859349101862	0.643417324099509	0.710378165972514	0.662017041761973	0.623783423061696	0.0621873365596458	0.656123414563244	0.783390060011593	0.579068459223966	0.533950074971152	0.696766861152953	0.713661992539604	0.607777649887648	-0.115194913098952	0.537087296497746	0.726864098664213	0.760145642399127	0.780689456117769	0.679587629814404	0.614827665987069	0.165084800092128	0.786390138171091	0.678293216663784	0.762839418161305	0.603715127016861	0.544425294618342	0.511754200092767	0.616265612950239	0.661932332995523	0.62276186188679	0.66655111750488	0.749244272539199	0.756063287246703	0.681375037616486	0.551314718990644	0.696211227240347	0.746431181958572	0.775533850480856	0.605960659461575	0.713720482888953	0.725226204588534	0.545857227126265	0.313317952190083	0.838571605079636	0.626786050833025	0.645714642937588	0.797479652805895	0.628619928111921	0.593427824356953	0.784220627836724	0.0479142602147416	0.738527701635866	0.404558366511057	0.725858329017441	0.74577460308466	0.608058015595492	0.191908378698961	0.725054117864525	0.356691784440485	0.731326021743323	0.594546788411519	0.246488560413468	0.862933861202647	0.610571124743764	0.716103520059935	0.698659164606553	0.255842927409246	0.623293898350119	0.601465817487982	0.67208053258946	0.306565366080891	0.296098619518157	0.271974581120298
NECTIN2	0.354015345693149	0.689472314204621	0.887158562707561	0.619922215602459	0.831829453917615	0.803473329806794	0.678636335348346	0.755600965490505	0.814750910304721	1	0.325665789587818	0.739996611038645	0.726814807174273	0.855336213614397	0.714338957670115	0.593526119043777	0.76288673421806	0.819689917803556	0.713113381775694	0.88448210466428	0.685682345989192	0.640379520132472	0.159468682155927	0.754390968875711	0.922002777603254	0.664185849838719	0.668263268699136	0.665519047195572	0.812519607465914	0.727876029161085	-0.154080111238125	0.70674864458793	0.779051115910157	0.936432652928401	0.749210581042413	0.874839471014543	0.78490668895122	0.239458714663327	0.907280279540514	0.890296905184749	0.790164216174663	0.659486989048165	0.643965307413608	0.483582959810129	0.728782919766221	0.576547607590716	0.696169591259943	0.70304823618664	0.76531362510429	0.734336862748474	0.818234776907276	0.706226479128677	0.908398504363681	0.743865613673576	0.82514047342186	0.814547981581912	0.710617772517903	0.915200852459657	0.778412913890466	0.587495742538269	0.860741261458904	0.723399042903828	0.795119300695076	0.861662633040014	0.607968452564345	0.603119521672642	0.901745512403604	-0.134594206050473	0.75041562355763	0.505554509928592	0.845966923346927	0.908762262886225	0.632869145856558	0.163599588328793	0.79041229726329	0.475962973182756	0.841444918556715	0.691253523436953	0.166881465259681	0.86785582445787	0.725423590389743	0.769100730281308	0.883222698482554	0.258679578943878	0.856427583716424	0.638753252587009	0.705649879321614	0.406769078060135	0.43725012348409	0.425888826393659
