""	CD3D	IFITM1	CD69	CD8A	CD3G	CD44	CD2	PTPRC	KLRD1	CXCR4	KLRK1	ITGA4	CD8B	CD247	CD27	CXCR6	PTGER4	IL2RG	S1PR4	ITGB2	ITGB1	CD46	CD7	CD47	TNFRSF14	CD96	TNFRSF1B	C1QBP	SORL1	CD6	CD81	F2R	ABCA1	TFRC	TIGIT	EGFR	SPN	ADGRE5	JMJD6	PILRB	PDCD1	RACK1	HLA.DPB1	CLEC2D	ITGB8	VSIR	MCFD2	CD74	ATP5F1B	PTPRA	CANX	SMAP1	RPSA	CD63	APLP2	NCL	PTPRZ1
CD3D	1	0.909852801563088	0.940962953364723	0.944849609918966	0.976928364100872	0.899919661484006	0.983624322367127	0.949516347199873	0.412706329261345	0.970826647588107	0.668121979910892	0.887975467042896	0.950872823101857	0.856400585948535	0.949841969038281	0.960898812230595	0.84693896142894	0.969721442885638	0.90042070536058	0.83782597738703	0.856724486255223	0.223268145158729	0.844108736066811	0.706834246480302	0.863651462221253	0.950061833776486	0.849732836953051	-0.134429224511438	0.199000839036346	0.955874882712769	0.0957991947567864	0.354719321253603	-0.566804963322595	0.295189997247259	0.94841282250562	-0.455142591416048	0.892011690523195	0.697997590967199	0.655289270150064	-0.174718705923725	0.939424765032912	0.211140655417495	0.497154968713813	0.933859578553713	-0.547574092293849	0.717411367938832	0.167426014975707	0.301642832299224	-0.317167253883338	-0.159203208303586	-0.281628939211958	0.300655439747703	0.729488065695814	-0.258999851072184	-0.189258126020492	0.321654607633561	-0.499508820359867
IFITM1	0.909852801563088	1	0.895265109788167	0.817406570670084	0.937118704966944	0.866969524348055	0.925217896690935	0.921117910726339	0.301391772526235	0.909710641195433	0.55095663293188	0.783723260868874	0.947981524651018	0.794376153629236	0.800431521699128	0.863777476623164	0.741579129760517	0.965676959111841	0.972501460030596	0.804851090748533	0.884734620981045	0.274297540819915	0.792488694011263	0.733452632897191	0.765934109777966	0.857462639202312	0.767511777022221	-0.122356782359647	0.20992186176605	0.903170383906204	0.152356661661497	0.274019969314912	-0.450758689287391	0.263421290882277	0.922084192059019	-0.381442344119099	0.849848075658403	0.689779128500942	0.770997075151202	-0.149887618364561	0.834785684957496	0.261685292147139	0.628766680570876	0.867161905721479	-0.461799367056509	0.807220880955151	0.272851692728386	0.441986087526309	-0.295603257855595	-0.100618223672215	-0.194840907347264	0.326415303334939	0.782557472387224	-0.220761584774042	-0.103832025471214	0.290769001662774	-0.404651854584705
CD69	0.940962953364723	0.895265109788167	1	0.939822649997155	0.972186495951586	0.941652423041406	0.977255835043182	0.992138749345386	0.629760893585554	0.984184236555751	0.817597133702415	0.945715256624527	0.948340284328452	0.927024766563536	0.891880654160978	0.95875613081015	0.941851841040466	0.943746918373012	0.820717833481911	0.889174710356101	0.840728326463113	0.291315290650521	0.912970387978545	0.76609243275575	0.68977693268966	0.986902700092195	0.855624263432111	-0.205285468430926	0.314074200899199	0.919672967610357	0.0908818872063635	0.462525745595869	-0.530078416933018	0.255918080920725	0.960145837879938	-0.434756282552211	0.954778584188425	0.827842435415956	0.678493098638162	-0.0475667781117671	0.949786563039268	0.179109643080638	0.519726675353183	0.970734209483512	-0.518892375339816	0.746937464282558	0.122078878252757	0.344427265172864	-0.344094960977143	-0.137116659539449	-0.270525137798126	0.358611612055246	0.655319051786368	-0.268127566490084	-0.175921021238817	0.345005541596171	-0.473752185973065
CD8A	0.944849609918966	0.817406570670084	0.939822649997155	1	0.915943818590941	0.87873952649322	0.93621071085172	0.948390266921421	0.596336253330471	0.963367859708793	0.80371342486852	0.917352195041017	0.897078589799926	0.868017342852311	0.94249551564604	0.92073180945097	0.919267092869053	0.903017705136928	0.761797085155857	0.846786372205055	0.789889437018727	0.214473864059407	0.865910918252251	0.658691619360545	0.786823817824447	0.959785109592276	0.872066333993174	-0.181871042054239	0.276450965819991	0.867222390591224	0.0691997160170467	0.410668439618966	-0.583782061879596	0.276814840009128	0.922182375511059	-0.462315023029942	0.885327973267263	0.734454956712867	0.569278133185692	-0.13678370964333	0.971642120343906	0.136330551570533	0.435295755384	0.942573411270557	-0.553190748738018	0.689236894861723	0.0765540171823879	0.285275079548825	-0.325666264280389	-0.174642286719565	-0.30402342866712	0.268150975888154	0.607509805701166	-0.277671803675307	-0.226528464308474	0.336204374640122	-0.513728826875186
CD3G	0.976928364100872	0.937118704966944	0.972186495951586	0.915943818590941	1	0.923688124117225	0.98850269784578	0.972257542770376	0.453469305603247	0.969778534528495	0.68954968573735	0.890507889106444	0.983143566696925	0.866561257348054	0.887679308524252	0.961905307458271	0.858082570644352	0.985502091656314	0.895339996729155	0.837687180478334	0.873565697666061	0.276144910592809	0.845120950765253	0.755133991721742	0.779672112041286	0.96766740986741	0.813329711916165	-0.171122665398596	0.211412676680495	0.953846574896256	0.096287846883069	0.38770737547094	-0.526424027197849	0.289572058183682	0.959705753586938	-0.429306422312396	0.917002590576119	0.733591645400186	0.730581296043403	-0.120029695130691	0.941311813255055	0.206473298073144	0.517335932738327	0.936787608172167	-0.515610726194565	0.730061167572212	0.171913829597248	0.329341144720444	-0.33157472680547	-0.144872821359481	-0.255316597938656	0.335506814984813	0.721427487416053	-0.263317728569783	-0.159733149845063	0.320570637997678	-0.462490570410566
CD44	0.899919661484006	0.866969524348055	0.941652423041406	0.87873952649322	0.923688124117225	1	0.934261936389331	0.936357010672909	0.578787004862449	0.936276609861349	0.777184304679124	0.914535555342864	0.898356891071396	0.88581981029955	0.855875440845851	0.894929907568529	0.892710095381008	0.89885431149825	0.807265506696663	0.844805538176447	0.846836895983657	0.506495369851618	0.880747218595923	0.87209729767098	0.679262871966134	0.92605934551523	0.791501630515143	-0.124739365100321	0.386666545381209	0.866811095438086	0.177146395069587	0.594577602320595	-0.300313499089472	0.360650322573752	0.934326733895656	-0.207890107460768	0.914971115597906	0.846102332224896	0.717479054929649	0.128568168126099	0.894554613791853	0.250026389170105	0.490518745332568	0.960702703535403	-0.324197120408409	0.685192909822082	0.245138072472366	0.298630827081235	-0.247088381805951	0.0588319280859834	-0.130187405510607	0.455923905579118	0.670501872824209	-0.163696559843307	-0.0299521817990898	0.451379251612767	-0.275864709913093
CD2	0.983624322367127	0.925217896690935	0.977255835043182	0.93621071085172	0.98850269784578	0.934261936389331	1	0.979626613563131	0.520109679441223	0.989810339176853	0.737711556518859	0.925793021048139	0.955177562141298	0.920790244570042	0.93831722755388	0.976981251118054	0.901681574983721	0.966578982308962	0.893316330139741	0.884027474847975	0.862495022812354	0.249622783593031	0.907455573941628	0.75112128292889	0.787145054811349	0.97533140369673	0.865545650744115	-0.170992647079625	0.26596200173286	0.964736308042107	0.0884102004622403	0.40474838030155	-0.56100598860318	0.263784263183324	0.96725222677805	-0.451696010130518	0.942033428813012	0.788488951481737	0.666433792113917	-0.109067377031534	0.934143908329259	0.198243972653221	0.521502703221792	0.959000443756331	-0.542255354217811	0.747000454959681	0.14686549721515	0.324302515576554	-0.342682848069986	-0.14983350300893	-0.29049540876191	0.329431703537184	0.709004411963472	-0.271850844432063	-0.189178317082514	0.322025444508017	-0.496175397911978
PTPRC	0.949516347199873	0.921117910726339	0.992138749345386	0.948390266921421	0.972257542770376	0.936357010672909	0.979626613563131	1	0.592492202672744	0.990667822744021	0.794822930256676	0.936235609514971	0.9576663605925	0.919905446934911	0.900861725950623	0.949610306911673	0.929365300918277	0.957233314062213	0.853940596110131	0.90805920015698	0.865129176850368	0.287483050205602	0.911789545399608	0.754681480681334	0.729212525869399	0.980177566651773	0.881399807211738	-0.210848570633973	0.340075473417358	0.923428980860442	0.094264422452033	0.422331847909259	-0.536864913669283	0.259709403753955	0.969928864620159	-0.441639492307157	0.955629523671624	0.815396194479526	0.678612398358724	-0.0765676789704819	0.947905006183914	0.168046233663826	0.568189215974513	0.969652301195722	-0.527591366862044	0.792312083045176	0.126225432789028	0.404795474616085	-0.357797306588326	-0.151809344712193	-0.282249920148298	0.327483818863359	0.668544933296537	-0.286731623800024	-0.182856484036186	0.324930121655558	-0.483251876688627
KLRD1	0.412706329261345	0.301391772526235	0.629760893585554	0.596336253330471	0.453469305603247	0.578787004862449	0.520109679441223	0.592492202672744	1	0.588458842625361	0.891855668455044	0.709048040121101	0.387134549372485	0.755061044730753	0.537575171044828	0.551074722127074	0.819214917442857	0.360767392160381	0.159328261493374	0.625996306111034	0.310651808381423	0.150465421395452	0.758578897094563	0.441592937582699	0.0835044926173462	0.640215151074526	0.569530606534318	-0.245454847617947	0.429374235688773	0.415366792058137	-0.0455907116514349	0.544200831800814	-0.355744161990489	0.000705781596924691	0.516672940813376	-0.268714695932773	0.64134935618972	0.774904058619361	0.134624191475892	0.2565018486288	0.555248160473019	-0.0583680913851126	0.124850698685841	0.631394311220511	-0.312428488403564	0.33624467804122	-0.176665286293205	0.0550975013210722	-0.252575727589702	-0.0710355497249207	-0.256623275813553	0.229533813593973	0.0783662490188449	-0.200016643711656	-0.197997309255144	0.238612571574319	-0.314840423160793
CXCR4	0.970826647588107	0.909710641195433	0.984184236555751	0.963367859708793	0.969778534528495	0.936276609861349	0.989810339176853	0.990667822744021	0.588458842625361	1	0.790038649223002	0.944824978827255	0.941275225019636	0.936102938805112	0.94685811662348	0.966406107982069	0.936826021186157	0.951956798988467	0.86253056339028	0.912613905443664	0.855849554836983	0.252770620195615	0.930677861140686	0.744028681104499	0.773544915061052	0.980472245985123	0.900272988492537	-0.180763279527214	0.319138095072645	0.941330444765599	0.0969312463647928	0.42329728322555	-0.565793036769158	0.256888833091627	0.968048168563926	-0.45802087887022	0.949137783938306	0.815478891977221	0.641057284840657	-0.0921412502876029	0.948858881365904	0.184002415856847	0.542700687952198	0.97581279255537	-0.548521902568785	0.774501064214233	0.128866712491902	0.360687614955889	-0.342705954684395	-0.149472381810763	-0.294875434426581	0.326869031481456	0.683135076778903	-0.274914264156949	-0.195208576714331	0.338145255777745	-0.504818042574729
KLRK1	0.668121979910892	0.55095663293188	0.817597133702415	0.80371342486852	0.68954968573735	0.777184304679124	0.737711556518859	0.794822930256676	0.891855668455044	0.790038649223002	1	0.918647414616256	0.63159714228669	0.83288225695004	0.730824632900915	0.708027220764214	0.924589597592457	0.629054198992477	0.43247169953718	0.729223930831686	0.472046758133621	0.252736269557759	0.85496131728323	0.609518096977584	0.301780022253308	0.819861450524588	0.692246670596512	-0.309982935338247	0.360110714217439	0.584491932130387	-0.0515940114270591	0.583569557093812	-0.446901711646015	0.0338207837250296	0.792758757947671	-0.342681707202827	0.849648523047133	0.845752807260955	0.339964535936624	0.168220077624163	0.787399235492189	0.0084877371635111	0.210160980606872	0.839086164439633	-0.41056284249447	0.448528275980702	-0.105953768904201	0.0826035609541554	-0.353345521703446	-0.121119381094129	-0.309386550757952	0.320820011496408	0.296925849214122	-0.262105306931558	-0.287854337924164	0.293045100754824	-0.398719841327323
ITGA4	0.887975467042896	0.783723260868874	0.945715256624527	0.917352195041017	0.890507889106444	0.914535555342864	0.925793021048139	0.936235609514971	0.709048040121101	0.944824978827255	0.918647414616256	1	0.834910544405257	0.918634557633805	0.898796153782333	0.890272910200888	0.960061273982449	0.849088779880705	0.723540519532301	0.85636177853032	0.700517239057851	0.287115948871548	0.929147347470653	0.730413795267134	0.589169829516005	0.94046280426078	0.836849119558102	-0.265706395874262	0.342043587466619	0.821765311733309	0.00891393243787584	0.527478254329375	-0.525433585855436	0.140774614887118	0.94874551783855	-0.415009080136578	0.969231348704049	0.864472722834818	0.5195941121927	0.0443895668255093	0.907135031445327	0.113166209277324	0.397520901780104	0.964599434868257	-0.500535736316069	0.631224240768054	0.0234854288030486	0.216815649511864	-0.383144449280243	-0.147099792888032	-0.327612144921885	0.35605630813107	0.543828828137972	-0.288020670144363	-0.267482782639273	0.321800752786686	-0.475046433877597
CD8B	0.950872823101857	0.947981524651018	0.948340284328452	0.897078589799926	0.983143566696925	0.898356891071396	0.955177562141298	0.9576663605925	0.387134549372485	0.941275225019636	0.63159714228669	0.834910544405257	1	0.803109504367215	0.831006214666395	0.917299569118884	0.8063664313655	0.988317932433511	0.893752661275023	0.805387297175488	0.88858605349289	0.286679793385663	0.780322783270188	0.734509984703491	0.783486120400733	0.937868371857267	0.774199843730515	-0.157961885261064	0.182228745235941	0.918792803273468	0.123320648461383	0.341347129622699	-0.491992035508052	0.310186034976391	0.939004837403434	-0.409921514141978	0.869167203043307	0.668938443119567	0.775490573462018	-0.14066976528973	0.939005333422496	0.216552373677158	0.56132461626292	0.907009908882305	-0.493102426017944	0.746466270844202	0.209730564217574	0.389101982768206	-0.305507697424807	-0.133485447486052	-0.215301848020669	0.330711943055265	0.731610657750364	-0.250464245838868	-0.12651798967419	0.323339013946349	-0.432253028837387
CD247	0.856400585948535	0.794376153629236	0.927024766563536	0.868017342852311	0.866561257348054	0.88581981029955	0.920790244570042	0.919905446934911	0.755061044730753	0.936102938805112	0.83288225695004	0.918634557633805	0.803109504367215	1	0.905545000419253	0.924487395331555	0.960333101317972	0.808889022390646	0.741948409612509	0.929828055807242	0.759062777439758	0.202280402027412	0.992295791129169	0.704250674561223	0.618876688516561	0.921706572701793	0.887445184712738	-0.172443038224564	0.427813873039342	0.888268607514284	0.0766739126707279	0.465947249742276	-0.551731993719926	0.185578756751008	0.871184978623269	-0.438155777007228	0.923523914743348	0.90401652994927	0.489457208392198	0.00515202943777046	0.820774103015734	0.149853924005843	0.497476961752732	0.918392995818814	-0.521641080412049	0.729652168979676	0.0620792821335915	0.315665251829944	-0.328381489050673	-0.120189737435557	-0.316019211942676	0.31522056800334	0.567961857510029	-0.255960357039523	-0.19446427799991	0.311661907146722	-0.494675962315591
CD27	0.949841969038281	0.800431521699128	0.891880654160978	0.94249551564604	0.887679308524252	0.855875440845851	0.93831722755388	0.900861725950623	0.537575171044828	0.94685811662348	0.730824632900915	0.898796153782333	0.831006214666395	0.905545000419253	1	0.935644888998512	0.889744946315834	0.860250491217648	0.806681987999463	0.873922410427123	0.771895231793357	0.151976847098233	0.905276563206854	0.641094608850012	0.832741525990522	0.911522564400258	0.906178012378026	-0.114893595300912	0.30062335700833	0.914296039568758	0.0824725023990781	0.377361105850456	-0.604932759921835	0.251756661012365	0.889172629094408	-0.473618360335155	0.874994956288761	0.751389811749823	0.474173569301094	-0.157104227857756	0.880248806919206	0.177152279631816	0.45444281282803	0.916423023316465	-0.567024058705274	0.691155544427007	0.0963427762688586	0.264571339203379	-0.305504862415731	-0.159754895058235	-0.329106184313359	0.263235504117967	0.641868396437068	-0.251868265678185	-0.229046733926384	0.316376293670023	-0.537046708889829
CXCR6	0.960898812230595	0.863777476623164	0.95875613081015	0.92073180945097	0.961905307458271	0.894929907568529	0.976981251118054	0.949610306911673	0.551074722127074	0.966406107982069	0.708027220764214	0.890272910200888	0.917299569118884	0.924487395331555	0.935644888998512	1	0.896955322318346	0.923148005807989	0.835826589083103	0.878895910350028	0.857710423878671	0.216911890858377	0.895013547753075	0.708676375487422	0.788942825215775	0.963730705243155	0.878821464540297	-0.138485438040276	0.293803017131948	0.979096736508834	0.0919774266878726	0.397958203030703	-0.570399796194078	0.304598116382809	0.899892253045057	-0.458616074936234	0.903936571876446	0.767787088440129	0.613808320035701	-0.120452799066285	0.903051279941355	0.184616995805984	0.494086179786988	0.928084685031924	-0.543359911373734	0.731633439408646	0.125902441033543	0.312966126739581	-0.322111339205022	-0.157754954054596	-0.294217470808718	0.290045062889177	0.66951079804303	-0.262529426035637	-0.159228622155514	0.311518430294765	-0.503396649461599
PTGER4	0.84693896142894	0.741579129760517	0.941851841040466	0.919267092869053	0.858082570644352	0.892710095381008	0.901681574983721	0.929365300918277	0.819214917442857	0.936826021186157	0.924589597592457	0.960061273982449	0.8063664313655	0.960333101317972	0.889744946315834	0.896955322318346	1	0.800328462457225	0.655390990020872	0.902635442725202	0.715796233034916	0.248687641700596	0.958146199165893	0.699538938707497	0.577593443216158	0.943898224313178	0.8750712819019	-0.227523917462106	0.432519491657825	0.821898936333455	0.05682609425843	0.531272789890284	-0.5444603747235	0.182016249486813	0.885246360528363	-0.423116350470557	0.935790603151492	0.890342401571574	0.489855936663145	0.0298956436909783	0.891293395777041	0.105128472805004	0.439395038490559	0.938090580522831	-0.507297033165352	0.678577585817557	0.00768778760150243	0.289264545591861	-0.337242457812343	-0.132119030023572	-0.309936342775497	0.333364515986267	0.50229693932524	-0.266957205102475	-0.218848157916895	0.342714032740588	-0.480736463957193
IL2RG	0.969721442885638	0.965676959111841	0.943746918373012	0.903017705136928	0.985502091656314	0.89885431149825	0.966578982308962	0.957233314062213	0.360767392160381	0.951956798988467	0.629054198992477	0.849088779880705	0.988317932433511	0.808889022390646	0.860250491217648	0.923148005807989	0.800328462457225	1	0.929631090293141	0.801636062755223	0.881600408723949	0.276014996277906	0.796477190282465	0.738132008279357	0.807705791638742	0.932226497816754	0.789633978023402	-0.154310343215303	0.167747423261692	0.929255246764424	0.111607745406351	0.333700781406503	-0.501259744706034	0.294683945675986	0.956572395794403	-0.416039538501489	0.88047273508966	0.678262460194963	0.760854713795927	-0.153069996443477	0.931356062727945	0.222430275669362	0.53728111066843	0.91759081044375	-0.500507636457007	0.744348126505818	0.214442201946517	0.355506896853177	-0.318683763410715	-0.138456370625211	-0.229872941073313	0.320164460849806	0.752195812189114	-0.253251513242111	-0.145490827508735	0.313244372036568	-0.442382678887173
S1PR4	0.90042070536058	0.972501460030596	0.820717833481911	0.761797085155857	0.895339996729155	0.807265506696663	0.893316330139741	0.853940596110131	0.159328261493374	0.86253056339028	0.43247169953718	0.723540519532301	0.893752661275023	0.741948409612509	0.806681987999463	0.835826589083103	0.655390990020872	0.929631090293141	1	0.764201574277436	0.857554508616326	0.219258636730412	0.741220574356003	0.674856882962939	0.82403974409822	0.785882551964323	0.752227450276589	-0.0807168677712772	0.175805658476886	0.902732980497185	0.141480301864583	0.187788861304214	-0.45065076392499	0.255148294421396	0.873754902886044	-0.383031838328554	0.795529446224106	0.612953067742281	0.703649496878528	-0.202503044620844	0.759393006587134	0.272314730017531	0.620845478697159	0.811690845872183	-0.46309525362688	0.780604406163685	0.285512369839043	0.422177583871768	-0.284358839530352	-0.113512158036853	-0.208394923710053	0.276234045277659	0.7982184960497	-0.213527323655647	-0.112344714175758	0.244185694086283	-0.412459546539821
ITGB2	0.83782597738703	0.804851090748533	0.889174710356101	0.846786372205055	0.837687180478334	0.844805538176447	0.884027474847975	0.90805920015698	0.625996306111034	0.912613905443664	0.729223930831686	0.85636177853032	0.805387297175488	0.929828055807242	0.873922410427123	0.878895910350028	0.902635442725202	0.801636062755223	0.764201574277436	1	0.836386521722124	0.237304530433126	0.922294534956298	0.676584231282181	0.692322340067125	0.873271246658443	0.961513854958835	-0.115802639421013	0.57851552004525	0.876947751834691	0.190178363861395	0.375878570693852	-0.505560922580463	0.270776611974665	0.836482334248133	-0.418491056829165	0.892133943348392	0.829376509776778	0.510539671754285	-0.0978187838647547	0.788721481011687	0.189904768788873	0.746912047591016	0.877455008550107	-0.509081396629074	0.903310054856035	0.129124206353432	0.617627275159457	-0.275862483831918	-0.111066264872965	-0.262101066901201	0.297394313507804	0.614090115708913	-0.221605068695434	-0.116951717539023	0.319641755341862	-0.476817904475234
ITGB1	0.856724486255223	0.884734620981045	0.840728326463113	0.789889437018727	0.873565697666061	0.846836895983657	0.862495022812354	0.865129176850368	0.310651808381423	0.855849554836983	0.472046758133621	0.700517239057851	0.88858605349289	0.759062777439758	0.771895231793357	0.857710423878671	0.715796233034916	0.881600408723949	0.857554508616326	0.836386521722124	1	0.463022793883788	0.72897500986555	0.784734973605642	0.809395882938169	0.824067859630761	0.817883303542845	0.058383549990836	0.428550817749446	0.895323629571202	0.368255442705168	0.421219696256613	-0.290635472830423	0.59072138383601	0.797304993578275	-0.154930654241347	0.76432685979112	0.681384572956489	0.78978468998623	-0.171213518741738	0.781684203540634	0.321867568755293	0.709437380666299	0.807597562872426	-0.254255810663387	0.856323681203387	0.411206547211985	0.581821146505596	-0.0940492616344672	0.11745278690208	0.010062052113401	0.397194937321731	0.756563221436163	-0.0666545135850732	0.188745002218276	0.457640707470751	-0.1981875281306
