""	CD69	CD44	PTPRC	PTGER4	CD3D	ITGA4	S1PR1	CXCR4	CXCR3	IFITM1	CD3G	ITGB1	C1QBP	ITGB2	CD8A	KLRD1	CD8B	KLRK1	CD2	CD247	KLRC1	SIGIRR	CD47	CCR6	CD46	S1PR4	CD226	SORL1	KLRF1	CD27	CXCR6	CD96	DPP4	TNFRSF1B	IL2RG	TREM2	ADGRE5	KLRB1	CD68	RACK1	HLA.DPB1	TNFRSF14	SPN	TIGIT	CD74	CD81	TNFRSF1A	CD82	LPP	TSPAN14	CD6	HAVCR2	FGFR1	TNFRSF25	NCR3	TRADD	VSIR	PTGER2	SLC16A7	GPR171	TMIGD3	CAV1	PDCD1	ATP5F1B	CLEC2D	RHBDF2	PTPRA	SMAP1	CD9	STX4	CANX	CD63	RPSA	MCFD2	LAMP1	APLP2	RAMP1	NCL	PTPRZ1
CD69	1	0.904892040330795	0.871760549856907	0.946852975467192	0.971031569991686	0.886832780635249	0.95393216673008	0.896649730732888	0.715024817529537	0.771683914566362	0.845857399604593	-0.533597135037832	-0.381153113515325	0.533219540580736	0.451986221378771	0.219372952249664	0.460334946575105	0.0364659713323552	0.898726727710847	0.615108004526173	0.0691213299621338	0.761781036320708	-0.579321388459587	0.92021278955079	-0.275159078969809	0.893421644646057	0.910700744502738	-0.066365193969952	-0.0279929634829305	0.942437673551749	0.533819428351577	0.931213841810362	0.830486483837166	0.443136020288775	0.955735848342971	-0.157554338691889	0.923948273093574	0.904075658273512	-0.238804731056145	-0.331596148164995	0.261857414959141	0.883367745501836	0.754699379404225	0.832961578102069	0.232895621982522	-0.801440617118009	-0.790364341936265	0.255150061960259	-0.713237801087664	0.508133901582248	0.898099928253426	-0.295362758341438	-0.629626810692291	0.910114299443839	0.495300355049646	0.923053680864012	0.522229303937642	0.839536752303536	0.647169936815863	0.957036700059	-0.125097040415761	-0.71874658952284	0.709723347234544	-0.49816129048564	0.768255084622783	0.456165240834539	-0.45271222931192	-0.557103982198426	-0.761422430602209	-0.603496547147809	-0.754165986340884	-0.722914833901534	0.559389642735859	-0.643302317963986	-0.690996768839208	-0.869613427389526	-0.706516774511609	-0.534656032034413	-0.747686432689462
CD44	0.904892040330795	1	0.967283511733859	0.853835672626033	0.948793475799834	0.834428187137929	0.842330889913305	0.951972577522115	0.829493697391185	0.754281078526433	0.960097555032301	-0.36459726138481	-0.286738082248226	0.639095846566279	0.661533334067866	0.556473631628788	0.715957491606769	0.350558190777685	0.970004307665861	0.851724684375167	0.203650643370998	0.910767820556438	-0.515581036187302	0.911258372986469	-0.267878515359227	0.928392733708535	0.931975340418678	0.253792131130709	0.226276172574489	0.785511461431748	0.748499418265139	0.857297489088638	0.846215540217339	0.524033200153408	0.91731085922637	0.0306910180489952	0.802601512058655	0.919453856125848	-0.0261780176999622	-0.239459371136976	0.488661974590961	0.916624024981742	0.547478294815468	0.884574826698761	0.388680241983121	-0.685094464351691	-0.608108531442975	0.378032082973117	-0.550564659818299	0.672232810546104	0.853211490090091	-0.0533882134200932	-0.476470839365216	0.784353886065782	0.477380720532838	0.866942469770667	0.68040305422007	0.93653773373964	0.716510417963627	0.905827230622518	0.0739142864671732	-0.661553233497438	0.906653534523058	-0.3886942450295	0.601727612780897	0.481518268644035	-0.333445538205239	-0.451276168312722	-0.670672435854224	-0.360069845785394	-0.686798209394615	-0.612058973496955	0.530092518840805	-0.605182993681527	-0.546224179929746	-0.765638054869069	-0.677471117730148	-0.425032494054951	-0.723922278697753
PTPRC	0.871760549856907	0.967283511733859	1	0.83879843068559	0.918506071801808	0.853867234980297	0.810290949766264	0.944403994149561	0.804925423371513	0.75645500280951	0.929421478911665	-0.408117961432674	-0.344055623676758	0.734466930255113	0.683660405837772	0.585524121869474	0.742631617647161	0.393356580406274	0.962688812612762	0.842873459352385	0.191349531438272	0.918499759931867	-0.58610674370318	0.854008498551018	-0.355724735319756	0.935321388879227	0.901129567768855	0.292978204499921	0.26847461434787	0.759746486486165	0.824282993042207	0.866951345372456	0.82557794805407	0.578467513464642	0.888309812770892	0.143878015599073	0.776779532099043	0.880477755925563	0.0701556478958719	-0.335923597959349	0.54998164264045	0.859103617736515	0.560135852029691	0.836940738210682	0.477929477683405	-0.681674594200294	-0.619013964233862	0.393987557168166	-0.604755068592605	0.720340426872097	0.809360297659652	0.068780695728302	-0.552544035014638	0.717499904958888	0.468844059161336	0.803886532721611	0.743427254872288	0.888502719200355	0.638471984611911	0.887228662137818	0.202922207219116	-0.73958015223166	0.90735918595622	-0.44818009014993	0.566509433655489	0.550435920319676	-0.420247892904848	-0.524579096550669	-0.746745970088098	-0.412373804849842	-0.734505619769751	-0.630211199955864	0.445345508997597	-0.645917199175756	-0.54792307006307	-0.76708674256883	-0.712569863597154	-0.489964990114491	-0.74680550585989
PTGER4	0.946852975467192	0.853835672626033	0.83879843068559	1	0.949723360989189	0.906760864297007	0.909976679014201	0.859234807602671	0.762610743614259	0.720548564890387	0.796469114440051	-0.557041581460503	-0.409428454714302	0.514013098057814	0.536858543368837	0.200550017028994	0.503350381648735	0.0832264891350211	0.877758291640147	0.561964233279922	0.108208438468201	0.725242278421703	-0.627831465202171	0.841182183527526	-0.368025884089851	0.89465575366493	0.799649065542571	-0.0520891610775484	-0.0570321048923965	0.960135035018465	0.516524094225028	0.952273544820981	0.722317482842464	0.517059583491205	0.898123867865207	-0.135589287581482	0.950573443605824	0.788394912133122	-0.194806944324894	-0.385740243003225	0.246127759801307	0.831331521997464	0.816262135628655	0.741278884284073	0.23310462131756	-0.8033086625938	-0.782290617248333	0.193519298238294	-0.767818729658408	0.562324973161705	0.792329910455279	-0.234977127425688	-0.675214728394022	0.872322436328343	0.569585277726059	0.839722218190828	0.517475820579349	0.802473651768981	0.59417637131016	0.884979780904812	-0.123026103857698	-0.722516430386298	0.675940364758419	-0.488127342524989	0.842393851373794	0.480214746989385	-0.517830584912806	-0.579622038255789	-0.770035429820661	-0.621454522989648	-0.779963505036816	-0.717169962107758	0.468138767990055	-0.652458869199707	-0.675233868283792	-0.871251229479726	-0.723361610346922	-0.553969618009724	-0.766534714016835
CD3D	0.971031569991686	0.948793475799834	0.918506071801808	0.949723360989189	1	0.895869466371589	0.919416477762539	0.937663231479584	0.824874979064622	0.731307464553388	0.920070968988499	-0.522362994686789	-0.39885519529291	0.521523730580772	0.621102582061892	0.361545345807063	0.632960620201548	0.184493176075759	0.949518042789725	0.710108749082106	0.105399437261973	0.803104000218174	-0.600572448740367	0.921106411628589	-0.320326614437464	0.941818349835246	0.88727996782161	0.0350480278047244	0.0209732781108678	0.914517693456827	0.647939571777983	0.945044089983036	0.807261091266398	0.484188613265187	0.936568037907123	-0.155712100976822	0.911262086944624	0.887141705742402	-0.217498939116616	-0.358790907273314	0.298019456485557	0.906342268102615	0.6935710643277	0.835343626208945	0.223820914335801	-0.815590275052865	-0.762486867538182	0.261307961342623	-0.684432090629375	0.571087922564508	0.865249393508098	-0.253146167340998	-0.583410133850167	0.86742282070214	0.497685507501864	0.880454436288127	0.529984435299191	0.900415152113145	0.676418475844523	0.929283434997785	-0.121119502641336	-0.725336501445673	0.804737811054712	-0.4979414224216	0.777578729078165	0.408609510215841	-0.434812547810089	-0.553585490875247	-0.765275452582655	-0.548016738291322	-0.764676712080254	-0.735652427654459	0.486581818541388	-0.676894886814651	-0.69182422426323	-0.873447847019615	-0.726289463776997	-0.529332525073153	-0.760089395004367
ITGA4	0.886832780635249	0.834428187137929	0.853867234980297	0.906760864297007	0.895869466371589	1	0.911452393186395	0.877615518772197	0.662437263289303	0.711788405650762	0.744402538724429	-0.566330567804005	-0.397766556008874	0.674178644092939	0.598098834901519	0.365849224520681	0.588172038745076	0.257320578928387	0.882466482546552	0.593416538471967	0.172768205778828	0.724886894521229	-0.63517393624013	0.85163823190807	-0.421088362427164	0.825068313884338	0.730586584590816	0.034092316163308	0.127837328120662	0.923045536408582	0.580890928440631	0.93347971587532	0.671311251764197	0.438356913728365	0.835005469211844	0.0377169419004694	0.921526586620046	0.723446451202447	-0.056425822043385	-0.404886142971394	0.373572466496675	0.77263425808367	0.808839036006147	0.692052087270655	0.389415401495179	-0.746596263296356	-0.729764002074434	0.255018322435139	-0.759177313025424	0.694303675289882	0.699904056700951	-0.0452390934150964	-0.784370160588145	0.778820743176456	0.638695231212722	0.737440119501796	0.603478169904788	0.800508448648853	0.410419326100574	0.880608115193055	0.100030325682144	-0.723015954522648	0.732053501144419	-0.464137476402296	0.794200254261338	0.519926120240417	-0.560248957060377	-0.608900100307548	-0.779101716034319	-0.656200292065719	-0.808293566988509	-0.689601011406652	0.427704689597795	-0.613563249380618	-0.644450888180242	-0.852779343377923	-0.725618819285702	-0.55819349444045	-0.783324620728766
S1PR1	0.95393216673008	0.842330889913305	0.810290949766264	0.909976679014201	0.919416477762539	0.911452393186395	1	0.863397125890819	0.606259915262705	0.734969792158397	0.77285762819374	-0.502987568842143	-0.35342996563461	0.567481002517195	0.414627353357459	0.22701319770427	0.40959391399977	0.0702818379371489	0.866394681220211	0.572274978187108	0.1570902421644	0.720597605215867	-0.553329070770455	0.907349166361805	-0.236322726446892	0.802726895460963	0.824729596686779	-0.0602538333382651	0.0150265748861682	0.942238184101621	0.413947231590685	0.918275498083293	0.788617726068469	0.370986361810571	0.912239036824329	-0.0934659873575743	0.93505815058918	0.838462222915452	-0.191994105221313	-0.323335910748785	0.293835470445246	0.859292553883152	0.817251340011184	0.812386161259547	0.295766637525373	-0.728666384971151	-0.745375119669574	0.207967654756317	-0.674389738059688	0.56309124446497	0.834240735293998	-0.228844134808976	-0.690166521744309	0.876656919633247	0.578891239274412	0.835349926743682	0.536188712049265	0.801488714570871	0.528140991930906	0.923952138826692	-0.0647681184040128	-0.676123428685292	0.669628258540766	-0.458279059520624	0.779607110547211	0.49405440808847	-0.443830907107665	-0.545237295671587	-0.741330300836154	-0.601057403193779	-0.732928146003967	-0.676994459067157	0.566550955902434	-0.581301630749986	-0.648821664290269	-0.824882195355578	-0.650261968384507	-0.504294598725762	-0.702547724627738
CXCR4	0.896649730732888	0.951972577522115	0.944403994149561	0.859234807602671	0.937663231479584	0.877615518772197	0.863397125890819	1	0.747751363248349	0.718870407730632	0.902572099471099	-0.391673346202397	-0.306748508581381	0.67096480830917	0.720763435659675	0.564789715510771	0.720217610692396	0.393895926226849	0.950736223548961	0.813593383609037	0.227925725604733	0.897307584515052	-0.533613825514834	0.910553218577929	-0.207351996965156	0.86553122194514	0.866414664976689	0.319171661824043	0.165226401855539	0.809735979102853	0.688616549947372	0.898952884649164	0.738121939991358	0.464512006112405	0.863760754435336	0.0381647069782922	0.844194604055957	0.850969722201798	0.0018893414810377	-0.237383467131798	0.560506628730299	0.937519496009464	0.607055160042917	0.824178437626527	0.43469973921333	-0.691326767862128	-0.605864873635894	0.350277368178332	-0.520901717979444	0.728558698920467	0.767148587899723	-0.0297171952858727	-0.53795260236594	0.798853258482305	0.61682666326829	0.780665181293137	0.693282272280701	0.936116394397167	0.67739804409439	0.94053362694973	0.0926615496863773	-0.663360510357377	0.863119605162195	-0.385105356868279	0.721982650305158	0.487114408372137	-0.293447002977413	-0.462517619436172	-0.680621287186645	-0.376600714594752	-0.664072437083135	-0.611737243683803	0.504012624544588	-0.536351707113325	-0.540218187689638	-0.745526488221647	-0.667806651758067	-0.431406464818338	-0.713858762073523
CXCR3	0.715024817529537	0.829493697391185	0.804925423371513	0.762610743614259	0.824874979064622	0.662437263289303	0.606259915262705	0.747751363248349	1	0.522746813926008	0.875545661856189	-0.36935643121186	-0.313672298607931	0.325759993091407	0.762556891462333	0.500750089749069	0.793210727816161	0.366649142038401	0.831447206537627	0.747768009228008	0.129024215584146	0.686873764124607	-0.480048217895225	0.732195618151874	-0.395840566879467	0.898027220113764	0.719307772765676	0.155191818278907	0.147432542788141	0.636447122712601	0.758081817378307	0.724058790847245	0.598869265333472	0.486661654713615	0.726053763671121	-0.122243719107717	0.66627970688576	0.675814176167891	-0.176668039388257	-0.324196743373472	0.242906372058037	0.693319500252797	0.353132065807598	0.659533507462008	0.126581557382252	-0.646095314841557	-0.532042095647732	0.292516016075046	-0.519213019923012	0.54019529102085	0.644576788150401	-0.138502071616734	-0.291074803364306	0.631663420646292	0.288742509288667	0.70081237180902	0.437663590838195	0.838317570449002	0.634324673636341	0.657900812600658	-0.0976693216481772	-0.574473432524505	0.849461426506476	-0.390407435812977	0.580482221181777	0.210806001588941	-0.316800119564108	-0.388985422286417	-0.592693177957466	-0.391894703694765	-0.622994515375713	-0.606288269214314	0.239455752395931	-0.627955573056129	-0.517207142751317	-0.700768466823062	-0.589257022651136	-0.391444612179134	-0.596770788483503
IFITM1	0.771683914566362	0.754281078526433	0.75645500280951	0.720548564890387	0.731307464553388	0.711788405650762	0.734969792158397	0.718870407730632	0.522746813926008	1	0.667582066314295	-0.0690841527853576	0.101135257820129	0.573038851106824	0.353323473416511	0.363279855393959	0.370294826809003	0.24843403661654	0.769770057505136	0.624030030640865	0.469528474827842	0.735392451544305	-0.177426436498496	0.715015281077223	-0.165750732712304	0.725283108711656	0.760381410313736	-0.0025960542450926	0.444238226162871	0.675424336859526	0.506587079330838	0.788617128607947	0.766376511010391	0.335861387641838	0.826282731653142	-0.000514531889338725	0.765810546966852	0.752120241738345	-0.0903534110312243	-0.0230062142073783	0.313996039674085	0.659385382329884	0.702950952563068	0.686004036961367	0.320205930862396	-0.401157914090539	-0.424327069202493	0.664368293331761	-0.464127646388695	0.614358079509157	0.699288543654679	0.0159212298856896	-0.422309542664931	0.662906380487232	0.55947584152147	0.769708807746718	0.520269873873232	0.662872918516654	0.575533795251714	0.780305770516164	0.100714468302698	-0.384607861242314	0.600105884653783	0.00403351280395099	0.506057841729587	0.452366377964392	-0.288261173983355	-0.175820865885555	-0.467808102360042	-0.286114366767252	-0.468757630178587	-0.248108006045974	0.755868039021965	-0.309689153699515	-0.262082420760523	-0.540507324537796	-0.394387924807313	-0.0677026226953722	-0.449657961050598
