""	EGFR	CHRM3	ERBB3	ITGB8	ADGRV1	CD9	KLRC2	F2R	NRCAM	THY1	NOTCH4	CANX	LRP6	SDC2	TNFRSF1A	CD99L2	SMAP1	ITGB1	TSPAN5	INSR	NECTIN2	PODXL	APLP2	TFRC	TNFRSF12A	LDLR	PLXNB2	CD81	PTPRA	LPP	IGF2R	ITGA5	KCNJ10	CADM1	NOTCH1	RACK1	AR	KCND2	PLXNB1	ADCY1	ITGA3	ADORA1	NOTCH2	CNR1	EDNRB	MCAM	IGF1R	LRP1	TNFRSF19	LINGO1	NGFR	ITGAV	AMFR	SLC16A1	RIPK1	LIFR	TSPAN17	LRP8	SIRPA	PILRB	MCFD2	S1PR2	GPR37L1	LRP4	ERAP1	GPR37	SORT1	TNFRSF10B	ADGRE5	TLR4	SLC16A7	GPNMB	RXRA	SCARB1	ABCA1	CD63	CD44	C1QBP	NRP1	LAMP1	AXL	SORL1	CD74
EGFR	1	0.930301715699919	0.703246256804862	0.934394755914657	0.567306643186274	0.871319003599034	0.788556973868614	0.8341164892402	0.882606458061721	0.915776341840856	0.741781868010247	0.940130094089268	0.915331898958385	0.819051774445642	0.834194366252031	0.904555751765539	0.895399485931436	0.921239079264181	0.919550106504124	0.656503341889691	0.87764261388095	0.624428023332524	0.930198746247056	0.929152525952619	0.676707806788265	0.917045462475608	0.894021514263143	0.861388445037439	0.894135535127575	0.923243157106615	0.856510041711208	0.797359044094963	0.738695732072619	0.928854850854528	0.866793366375991	0.866438553144991	0.824972656704612	0.857105572017153	0.705478594313321	0.892710708369128	0.862425613942526	0.774399695158357	0.906836372686389	0.72626862074504	0.714321465158758	0.69476604562884	0.782155873423398	0.868256336403361	0.910555242690601	0.850024767671036	0.684086953212176	0.871521390110297	0.891510487545805	0.830277773094911	0.896265590114466	0.868025494368087	0.847114292687773	0.887995742388115	0.702611245223893	0.852985375153166	0.915315847803092	0.778283611928301	0.744006403128773	0.892841952580594	0.834509335993142	0.841481205250013	0.89944582480815	0.866954818895762	0.865325431439398	0.818339269303112	0.803497317698725	0.502135442958581	0.848387485780767	0.800866247967734	0.684506790748191	0.913228351932826	0.468926192323961	0.902703823403836	0.775971321667489	0.900317578617496	0.773081137862539	0.597890594727883	0.329303593793052
CHRM3	0.930301715699919	1	0.77986145994587	0.972880384679901	0.65052635854562	0.871785563357815	0.854126835906228	0.856412797253383	0.932735105567913	0.923481780649461	0.734656290618272	0.946623252359892	0.964915454441134	0.818151523581338	0.863892961476895	0.914549080503646	0.903219586231698	0.900268117662886	0.885323816684497	0.733244603655596	0.907930492708963	0.666673095927218	0.936377358820837	0.930522747003503	0.661142717327567	0.913206267757307	0.891642928290007	0.881221698532946	0.943217758684152	0.947003965558541	0.90362772516794	0.780537284627513	0.84246757280496	0.898013508456593	0.908477426210509	0.810351736164917	0.896050911201165	0.902797723477407	0.786553950019555	0.911527377714233	0.889869832529157	0.840840397624269	0.937060858038656	0.791252509002763	0.766189138583176	0.732139221832563	0.857794253368899	0.939387309429126	0.899786489574154	0.888029698141348	0.710186968590337	0.916732068701897	0.905697626817398	0.785821228675845	0.913015781842643	0.921423597905019	0.800719471109982	0.898421964636633	0.755738399211439	0.879100838208163	0.947040879112527	0.832921533941116	0.819466651724105	0.947004419370437	0.910455426633049	0.906300714620305	0.905231912159196	0.862515028709735	0.88741580129763	0.845827629571973	0.874836105204238	0.508370463935768	0.904550423063446	0.777152878116981	0.745738058582859	0.883754866485588	0.438703850639641	0.871882471275914	0.717606490060525	0.927785362780512	0.788551474314545	0.646536880016487	0.374447639366645
ERBB3	0.703246256804862	0.77986145994587	1	0.818146182164494	0.764340179341066	0.718766856601616	0.732062014345654	0.755607126262611	0.844456926895712	0.762595709829085	0.770560870604931	0.767192659450772	0.816524666667366	0.70026841334723	0.746740671936328	0.780260862078365	0.757909805734176	0.678744902214339	0.678291167199769	0.772957670083726	0.776067611422963	0.724432342132908	0.752036149733049	0.71728714303772	0.3256792225844	0.688623875433868	0.67536571863337	0.832541136099796	0.87009993510344	0.808650967378221	0.782654626813752	0.568227731660782	0.924405923160063	0.682225266491719	0.877928931443386	0.527220687292802	0.811244679470442	0.854196245810789	0.865484335065813	0.857975083292467	0.78058348095813	0.869191947540409	0.796677588339236	0.763928138347532	0.82299900340277	0.761915184356642	0.680109042985097	0.882475089568154	0.741974859174891	0.827386453992679	0.786918900211123	0.862124211171499	0.788436026800414	0.447651327821239	0.693899623367239	0.872847716917915	0.671893590235503	0.715727573981826	0.846573581442665	0.77890455241614	0.776047157434317	0.876427419895877	0.935394861470783	0.850040967614372	0.793488037999814	0.846256216016815	0.783537299178438	0.641636732588342	0.673995621814795	0.745626126047183	0.721008383791709	0.300227004270178	0.782252273310979	0.557226768732576	0.661171987520165	0.657042942642527	0.115288427927172	0.643274892621215	0.382660114459748	0.816123835294462	0.661925142733873	0.566097798469687	0.302289127298875
ITGB8	0.934394755914657	0.972880384679901	0.818146182164494	1	0.678643664289212	0.858514472987087	0.849301014493799	0.88165016640834	0.948280288371769	0.927150585346262	0.795922764420764	0.953861678053991	0.976961332747456	0.814183634345404	0.858687860798671	0.937256543457031	0.896598049212904	0.917645833115417	0.888356898838129	0.783084348612082	0.908099298919139	0.724907488440079	0.946644894258632	0.935172072084533	0.593626603414822	0.905707341424472	0.887778478179381	0.90044039715121	0.963764940422941	0.969164812565383	0.922719440267191	0.783008907428507	0.870540727139824	0.908944187889574	0.944564406078992	0.797089921883752	0.923231506742538	0.929372149027042	0.836900573110272	0.940248837054693	0.906693130026614	0.87746016936002	0.947748959601812	0.812654458214939	0.789579192605941	0.78555201336905	0.860836836523475	0.958242557366214	0.905508072853789	0.910515847140059	0.74688998102654	0.935166126101295	0.915324049383239	0.749867050624969	0.914304214848571	0.947865334091305	0.836212850829049	0.910777173161704	0.792556333908779	0.902736254305491	0.947545307717816	0.845936181675565	0.853490888279792	0.960100509173884	0.898667022292241	0.920642946249895	0.93582811092618	0.872907108807224	0.870603300187769	0.888508954275301	0.895048649388539	0.486754198068656	0.912796411811915	0.75932484845188	0.756596359858372	0.879299179918248	0.383626331020001	0.86895759561629	0.701539310022707	0.93957045673006	0.778797365598654	0.677365838037647	0.398924947830085
ADGRV1	0.567306643186274	0.65052635854562	0.764340179341066	0.678643664289212	1	0.68402940949022	0.431474983714033	0.785929974337444	0.826886658717533	0.611225088446684	0.717253094387992	0.736483814071896	0.669450831798423	0.83915768981713	0.735672664765847	0.747063288358448	0.639979129038448	0.620210658085198	0.657899669074878	0.608795761473021	0.661933700619832	0.626339731094702	0.722923413138821	0.649174924975435	0.327678024833948	0.648949560542004	0.669491731268016	0.773963823804797	0.774083073886892	0.692828462307145	0.742618207253012	0.475916034766956	0.848775810934589	0.655707922865326	0.790723369258776	0.527710063695139	0.738720617338437	0.727213816977159	0.822629360290394	0.612570438997284	0.695294156394672	0.867153537832101	0.725492637006744	0.822869685424999	0.954868009048069	0.58013035761575	0.604710514750136	0.684965687197543	0.654970303732807	0.519932385072081	0.893649924761859	0.869380256724526	0.745940223014054	0.484566350811946	0.661277111443523	0.846708153824831	0.496654033675991	0.61706596235879	0.922495574758437	0.631075641632457	0.71153075925158	0.640963818626058	0.782502125377731	0.659684048854702	0.632639084442571	0.778639492235275	0.758223409589232	0.634370296506085	0.416195820742833	0.680136543922662	0.480169079639357	0.24639667124227	0.761548219149846	0.617723086494721	0.722324208189694	0.621511471073969	0.18584745448492	0.608075503267538	0.414772639164849	0.77326567901166	0.78481480958643	0.690199345725874	0.337145326423587
CD9	0.871319003599034	0.871785563357815	0.718766856601616	0.858514472987087	0.68402940949022	1	0.737477980756282	0.875202857017831	0.907818672367292	0.91221356407674	0.755183282315378	0.935794526753908	0.823223647841666	0.904760476942079	0.939002672534991	0.881599017485227	0.943247474619109	0.874181783881311	0.919046337048488	0.639318449553279	0.91772424606626	0.640210458215721	0.92801367404601	0.891307389908522	0.704054865322923	0.828400033985247	0.859482829012237	0.95216291379017	0.899313651615768	0.864585845687086	0.816802448355546	0.785801666917612	0.758059510780325	0.917869441540853	0.838696784482374	0.902142850954843	0.835851351374869	0.809459363313463	0.675748392640791	0.812926582744271	0.89639094261412	0.84459103317894	0.912102746234955	0.813324968010259	0.832367765525738	0.645320556800287	0.74793355171975	0.845968118733162	0.880670364202692	0.804986198030989	0.763807229500145	0.88930469634498	0.931693042541439	0.867161948078939	0.850571168616186	0.871680695674684	0.821453451176953	0.769313874559274	0.795415329338182	0.767025763473906	0.935298192094669	0.796857908172415	0.780130050197007	0.833541223590745	0.813578868265647	0.864617139143027	0.880856742041216	0.815446392112925	0.796061992798513	0.769720034922077	0.7220670062834	0.538098828808402	0.80352519755439	0.857596232201394	0.777263851160303	0.949076849393926	0.511290646440395	0.912371711711095	0.734257269777119	0.923873549878035	0.839523378477564	0.546243086167244	0.212374421439667
KLRC2	0.788556973868614	0.854126835906228	0.732062014345654	0.849301014493799	0.431474983714033	0.737477980756282	1	0.624932395965684	0.753765379958407	0.867921253708197	0.629067093120324	0.758114030927416	0.841299634885577	0.552271538427088	0.658403233957074	0.73187505855821	0.826707159725484	0.717433160255319	0.727150480721967	0.66594764801758	0.791418805058581	0.571589931241106	0.747395805340306	0.75632970243892	0.43429495025643	0.72201100627886	0.633989475899744	0.776463498171644	0.834968330778309	0.787902468042848	0.691291785717314	0.586440712468319	0.777835302991412	0.68254955265785	0.770116412092146	0.614405892091647	0.736522062163249	0.852015395571456	0.665507478063551	0.879555871508398	0.739169883904905	0.736856819835717	0.777697286445052	0.566436027624687	0.564185655076561	0.646144774544493	0.674288533391741	0.896076098498379	0.697411216432222	0.914009636938483	0.541316716278427	0.728541194332973	0.733757536822369	0.51495534808116	0.719080788814609	0.768753924450417	0.759140582320556	0.759392548025709	0.557826289830426	0.767505299203623	0.784874210585166	0.858402486409684	0.813919056997443	0.914671061827771	0.781211476420401	0.785024166362624	0.712422471347987	0.67019091833651	0.856908350102908	0.69152594245243	0.885397344109399	0.349124097298364	0.700982705415226	0.485417167628202	0.490206343093692	0.736020492462419	0.147304896805265	0.73693128075314	0.423966170289306	0.772269402146587	0.510779880386373	0.416764133963035	0.24436215445154
F2R	0.8341164892402	0.856412797253383	0.755607126262611	0.88165016640834	0.785929974337444	0.875202857017831	0.624932395965684	1	0.934964502661602	0.822820834372289	0.846535612816445	0.936208332797033	0.868930433439244	0.892287810712693	0.904539204123743	0.900342832885213	0.842516156718705	0.921060616651924	0.876262329032812	0.797124745423628	0.884639209741618	0.816453675014264	0.936504690737712	0.888919735418754	0.63205631322017	0.865967038058044	0.915295397153759	0.887433682380864	0.888823526692615	0.901031966333344	0.905082959483785	0.829475501913097	0.797850016203341	0.92506865143815	0.903558927197389	0.825889463909188	0.894087295335318	0.81738072145959	0.807486363829253	0.790559072006476	0.893918907626186	0.855925471927175	0.916939292284417	0.881992434276641	0.869246956368349	0.802860907442672	0.822501855512281	0.837039406957293	0.90249551473631	0.744588272163493	0.818230137267004	0.926287679259276	0.927702471036028	0.816656472382897	0.869010872313661	0.913330552862396	0.776511572779025	0.831855894312795	0.870574915681431	0.835044518546283	0.91186655481075	0.745891988485616	0.772240446316127	0.820639828971904	0.836799706220846	0.893444241658522	0.947414945371119	0.881145871083404	0.730706916808755	0.831803366613402	0.69315044498472	0.513322173833859	0.885175140631447	0.857474167338424	0.839263317290035	0.861365496813624	0.515062499283961	0.832140958974952	0.775083644106704	0.922563197822528	0.883850307567762	0.714526661888477	0.380466876187595
NRCAM	0.882606458061721	0.932735105567913	0.844456926895712	0.948280288371769	0.826886658717533	0.907818672367292	0.753765379958407	0.934964502661602	1	0.894942724407702	0.831627267318737	0.963573134769856	0.926351190935374	0.911420369414041	0.937809468282058	0.942702463383329	0.896548504578294	0.894317650642262	0.883013494318217	0.779006003127271	0.918054785858799	0.743375835606004	0.955889561156997	0.91648089042749	0.611386979055892	0.878040722150632	0.907451520659509	0.942661409899107	0.961728615713596	0.943925330259228	0.934758543135687	0.776968292549466	0.899351270004428	0.910920558926477	0.945688691245458	0.808990414134648	0.926518864587882	0.906140065399509	0.868505525824813	0.879722496884211	0.916728838595949	0.93044914604205	0.957387833384867	0.90470048359918	0.91305691103428	0.766254849079221	0.85744943985892	0.927360601655895	0.90404559930818	0.835406725474942	0.851256233756528	0.978263156175673	0.949728371060041	0.776153654867505	0.917218531338081	0.977838426939426	0.776485679585874	0.854218127595491	0.902230024589894	0.855712784044093	0.959214054782631	0.842176848366419	0.877080944286697	0.919948783118086	0.889307192909493	0.948008897107032	0.948217413380312	0.879089440941634	0.798057754129373	0.857304040519801	0.800098818144314	0.501282479401331	0.931689138428144	0.820764039356089	0.85897977807726	0.883751863021433	0.448098272051148	0.85992188222393	0.699006252777808	0.960786490539714	0.868293595950869	0.701892163547474	0.35609890340522
THY1	0.915776341840856	0.923481780649461	0.762595709829085	0.927150585346262	0.611225088446684	0.91221356407674	0.867921253708197	0.822820834372289	0.894942724407702	1	0.803100019515823	0.931400448216608	0.885344005511425	0.81251423137315	0.843257900402266	0.900941428164416	0.959682585286844	0.898097284429602	0.932618489924017	0.702810631611904	0.931553442462208	0.676054828780994	0.928656695324729	0.899874351828637	0.620985988039511	0.856103292146811	0.827642314110248	0.935852052719012	0.925080746056072	0.87831819034148	0.825842356486004	0.76009761945207	0.803864784732654	0.883371876481652	0.870991165571857	0.858468277552627	0.82880119380111	0.905479413528445	0.70927989144535	0.921823057210594	0.864508197155045	0.84051100434087	0.887703479162994	0.725989367748624	0.755106173585386	0.739688553144363	0.712143582469567	0.906792156821353	0.869084760887249	0.916281841559389	0.749965330464152	0.87550212120364	0.897811338155898	0.746314000728192	0.858698565605956	0.887476419607543	0.875362619076406	0.853790959602821	0.729575885318959	0.80795205033776	0.925801292709368	0.85080745682704	0.843150656243828	0.923906744240956	0.84191992776635	0.882251336996606	0.879068485162397	0.825935343580343	0.8589293054293	0.777790930050433	0.841365777088337	0.445357843159303	0.809204907398433	0.727601267482508	0.639472262863395	0.942730402666489	0.335818979788308	0.945391720491551	0.666838032967065	0.926975532402883	0.724274943156855	0.512680816249506	0.236675873571482
